variant,symbol,direction,entry_date,exit_date,entry_price,exit_price,qty,days_held,exit_reason,gross_pnl,net_pnl
55_vol_3x_atr_floor,BAJAJFINSV,LONG,2021-04-30,2021-06-29,1100.00,1230.00,130,60,MAX_HOLD,16900.00,16597.10
55_vol_3x_atr_floor,DIVISLAB,LONG,2021-05-03,2021-07-02,4061.80,4519.65,35,60,MAX_HOLD,16024.75,15724.40
55_vol_3x_atr_floor,COFORGE,LONG,2021-05-07,2021-07-02,675.00,843.75,212,56,TARGET,35775.00,35453.03
55_vol_3x_atr_floor,MARICO,LONG,2021-05-04,2021-07-05,453.00,530.55,317,62,MAX_HOLD,24583.35,24271.56
55_vol_3x_atr_floor,SUNPHARMA,LONG,2021-05-06,2021-07-05,689.85,680.20,207,60,MAX_HOLD,-1997.55,-2281.15
55_vol_3x_atr_floor,PERSISTENT,LONG,2021-07-01,2021-07-07,1485.30,1391.46,97,6,INITIAL_STOP,-9102.89,-9381.94
55_vol_3x_atr_floor,SIEMENS,LONG,2021-05-14,2021-07-13,1540.35,1528.80,92,60,MAX_HOLD,-1062.60,-1344.96
55_vol_3x_atr_floor,ASIANPAINT,LONG,2021-05-17,2021-07-16,2782.00,2989.30,51,60,MAX_HOLD,10572.30,10277.96
55_vol_3x_atr_floor,HCLTECH,LONG,2021-07-16,2021-07-19,1044.90,1006.75,145,3,INITIAL_STOP,-5531.50,-5828.99
55_vol_3x_atr_floor,MARUTI,LONG,2021-06-24,2021-07-20,7448.80,7145.73,19,26,INITIAL_STOP,-5758.40,-6035.70
55_vol_3x_atr_floor,PIDILITIND,LONG,2021-05-25,2021-07-26,1037.00,1160.60,137,62,MAX_HOLD,16933.20,16632.13
55_vol_3x_atr_floor,MCX,LONG,2021-07-16,2021-07-26,1707.05,1607.58,88,10,INITIAL_STOP,-8753.32,-9045.00
55_vol_3x_atr_floor,IRCTC,LONG,2021-07-19,2021-07-28,481.00,454.86,317,9,INITIAL_STOP,-8287.05,-8583.72
55_vol_3x_atr_floor,ASIANPAINT,LONG,2021-07-22,2021-07-28,3130.00,3013.94,48,6,INITIAL_STOP,-5570.88,-5865.79
55_vol_3x_atr_floor,PERSISTENT,LONG,2021-07-27,2021-08-04,1623.50,1507.38,93,8,INITIAL_STOP,-10798.81,-11089.98
55_vol_3x_atr_floor,SBIN,LONG,2021-08-05,2021-08-06,461.00,439.50,324,1,INITIAL_STOP,-6966.55,-7258.31
55_vol_3x_atr_floor,HINDALCO,LONG,2021-07-30,2021-08-09,458.10,429.51,329,10,INITIAL_STOP,-9405.91,-9697.93
55_vol_3x_atr_floor,SUNPHARMA,LONG,2021-08-02,2021-08-20,785.00,744.27,192,18,INITIAL_STOP,-7819.49,-8113.11
55_vol_3x_atr_floor,BEL,LONG,2021-06-24,2021-08-23,56.30,58.40,2551,60,MAX_HOLD,5357.10,5064.50
55_vol_3x_atr_floor,BAJAJFINSV,LONG,2021-08-25,2021-08-26,1654.50,1570.44,89,1,INITIAL_STOP,-7481.72,-7768.74
55_vol_3x_atr_floor,HAL,LONG,2021-07-07,2021-08-27,555.00,693.75,275,51,TARGET,38156.25,37812.84
55_vol_3x_atr_floor,AMBUJACEM,LONG,2021-07-07,2021-09-06,353.80,438.30,431,61,MAX_HOLD,36419.50,36078.10
55_vol_3x_atr_floor,HAVELLS,LONG,2021-07-23,2021-09-07,1158.90,1448.62,130,46,TARGET,37664.25,37325.27
55_vol_3x_atr_floor,IRCTC,LONG,2021-08-10,2021-09-08,533.00,666.25,277,29,TARGET,36910.25,36578.06
55_vol_3x_atr_floor,WIPRO,LONG,2021-07-16,2021-09-14,284.35,330.15,533,60,MAX_HOLD,24411.40,24083.87
55_vol_3x_atr_floor,LT,LONG,2021-07-16,2021-09-14,1609.35,1696.45,94,60,MAX_HOLD,8187.40,7876.65
55_vol_3x_atr_floor,GAIL,LONG,2021-09-15,2021-09-21,94.91,89.45,1736,6,INITIAL_STOP,-9471.45,-9791.50
55_vol_3x_atr_floor,GODREJPROP,LONG,2021-09-22,2021-09-23,1738.95,2173.69,94,1,TARGET,40865.32,40497.54
55_vol_3x_atr_floor,SBILIFE,LONG,2021-07-28,2021-09-27,1115.00,1222.80,136,61,MAX_HOLD,14660.80,14342.86
55_vol_3x_atr_floor,IRCTC,LONG,2021-09-15,2021-10-07,758.80,948.50,217,22,TARGET,41164.90,40794.42
55_vol_3x_atr_floor,SIEMENS,LONG,2021-08-12,2021-10-11,1653.80,1703.95,89,60,MAX_HOLD,4463.35,4164.51
55_vol_3x_atr_floor,TATAPOWER,LONG,2021-09-30,2021-10-11,152.50,190.62,1110,11,TARGET,42318.75,41937.88
55_vol_3x_atr_floor,TATAMOTORS,LONG,2021-10-12,2021-10-14,423.00,528.75,420,2,TARGET,44415.00,44015.26
55_vol_3x_atr_floor,HINDUNILVR,LONG,2021-08-23,2021-10-19,2625.00,2531.56,56,57,INITIAL_STOP,-5232.55,-5521.31
55_vol_3x_atr_floor,MCX,LONG,2021-10-12,2021-10-21,2046.00,1892.31,87,9,INITIAL_STOP,-13371.45,-13714.08
55_vol_3x_atr_floor,WIPRO,LONG,2021-10-18,2021-10-22,352.50,332.54,517,4,INITIAL_STOP,-10318.74,-10672.91
55_vol_3x_atr_floor,LT,LONG,2021-10-20,2021-10-25,1855.00,1772.45,98,5,INITIAL_STOP,-8090.06,-8445.55
55_vol_3x_atr_floor,HAL,LONG,2021-08-30,2021-10-28,695.50,641.26,216,59,INITIAL_STOP,-11715.51,-12004.25
55_vol_3x_atr_floor,ITC,LONG,2021-09-17,2021-10-28,201.50,194.23,817,41,INITIAL_STOP,-5939.80,-6263.12
55_vol_3x_atr_floor,FEDERALBNK,LONG,2021-10-25,2021-10-28,105.00,97.96,1708,3,INITIAL_STOP,-12030.57,-12377.22
55_vol_3x_atr_floor,ICICIBANK,LONG,2021-10-26,2021-10-29,828.70,785.55,215,3,INITIAL_STOP,-9277.90,-9624.96
55_vol_3x_atr_floor,BHARTIARTL,LONG,2021-09-01,2021-11-01,655.70,712.50,229,61,MAX_HOLD,13007.20,12693.88
55_vol_3x_atr_floor,VOLTAS,LONG,2021-09-08,2021-11-08,1194.65,1239.90,132,61,MAX_HOLD,5973.00,5651.64
55_vol_3x_atr_floor,NTPC,LONG,2021-09-16,2021-11-15,124.50,137.15,1323,60,MAX_HOLD,16735.95,16389.79
55_vol_3x_atr_floor,SBIN,LONG,2021-11-04,2021-11-16,531.50,500.16,330,12,INITIAL_STOP,-10343.61,-10684.06
55_vol_3x_atr_floor,MUTHOOTFIN,LONG,2021-11-09,2021-11-22,1659.00,1550.34,106,13,INITIAL_STOP,-11517.94,-11858.13
55_vol_3x_atr_floor,APOLLOHOSP,LONG,2021-11-18,2021-11-22,5733.95,5321.08,30,4,INITIAL_STOP,-12386.18,-12717.83
55_vol_3x_atr_floor,GODREJPROP,LONG,2021-09-24,2021-11-23,2199.85,2177.35,76,60,MAX_HOLD,-1710.00,-2042.67
55_vol_3x_atr_floor,BANKBARODA,LONG,2021-10-22,2021-11-23,85.65,79.10,2107,32,INITIAL_STOP,-13796.00,-14143.13
55_vol_3x_atr_floor,MARUTI,LONG,2021-11-17,2021-11-25,8035.00,7614.20,22,8,INITIAL_STOP,-9257.51,-9601.79
55_vol_3x_atr_floor,TITAN,LONG,2021-10-08,2021-11-26,2420.00,2299.47,71,49,INITIAL_STOP,-8557.86,-8892.94
55_vol_3x_atr_floor,LT,LONG,2021-11-04,2021-11-26,1900.00,1797.81,92,22,INITIAL_STOP,-9401.69,-9741.88
