date,daily_pnl
2024-07-19,-4533.70
2024-07-22,-7193.67
2024-07-23,-17720.52
2024-07-24,-6173.48
2024-07-25,-9937.25
2024-07-26,-3469.38
2024-07-29,11.72
2024-07-30,-1905.23
2024-07-31,-3896.17
2024-08-01,-12679.68
2024-08-02,-6171.59
2024-08-05,2043.48
2024-08-06,10.47
2024-08-07,-5159.12
2024-08-08,-1436.49
2024-08-09,-4931.44
2024-08-12,-7028.57
2024-08-13,-10005.01
2024-08-14,-85.04
2024-08-16,-7892.30
2024-08-19,-7278.20
2024-08-20,-7157.38
2024-08-21,-4608.27
2024-08-22,-272.05
2024-08-23,-4557.11
2024-08-26,-5308.23
2024-08-27,-5832.50
2024-08-28,-5756.04
2024-08-29,-12599.44
2024-08-30,-778.61
2024-09-02,-9172.30
2024-09-03,-6590.37
2024-09-04,-4307.25
2024-09-05,-3491.81
2024-09-06,-8958.28
2024-09-09,-7843.03
2024-09-10,-7536.40
2024-09-11,-5366.26
2024-09-12,-5016.84
2024-09-13,-5799.31
2024-09-16,-9179.60
2024-09-17,-7418.47
2024-09-18,-8228.77
2024-09-19,-18710.46
2024-09-20,-2970.34
2024-09-24,-6095.48
2024-09-25,-9381.68
2024-09-26,-7500.57
2024-09-27,-3365.60
2024-09-30,-4509.01
2024-10-01,-26.84
2024-10-03,-8589.28
2024-10-04,-9687.69
2024-10-07,-7636.72
2024-10-08,2134.47
2024-10-09,-23.24
2024-10-10,-8485.02
2024-10-11,-1162.07
2024-10-14,-4173.36
2024-10-15,-7189.15
2024-10-16,-8652.81
2024-10-17,-106.94
2024-10-18,-12899.31
2024-10-21,-11512.76
2024-10-22,-8222.13
2024-10-23,-2440.42
2024-10-24,-3745.74
2024-10-25,-54.45
2024-10-28,-7854.68
2024-10-29,-4122.27
2024-10-30,-6818.50
2024-10-31,-8066.51
2024-11-04,-338.02
2024-11-05,-11051.64
2024-11-06,-10858.29
2024-11-07,-7111.33
2024-11-08,-11078.63
2024-11-11,-2433.09
2024-11-12,-9348.05
2024-11-13,-5194.63
2024-11-14,-1352.49
2024-11-18,-1048.73
2024-11-19,-6486.59
2024-11-21,-12476.11
2024-11-22,-12869.24
2024-11-25,-7147.36
2024-11-27,-11503.95
2024-11-28,-9914.30
2024-11-29,944.53
2024-12-02,-5864.47
2024-12-03,-9346.68
2024-12-04,61.72
2024-12-05,-2178.85
2024-12-06,-6412.46
2024-12-09,-4800.91
2024-12-10,-12031.65
2024-12-11,-5361.53
2024-12-12,-818.68
2024-12-13,1157.43
2024-12-16,-3599.74
2024-12-17,-11482.46
2024-12-18,-11012.55
2024-12-19,-6514.96
2024-12-20,27.55
2024-12-23,-1826.65
2024-12-24,-4765.11
2024-12-26,-6660.34
2024-12-27,-5087.04
2024-12-30,-10788.95
2024-12-31,-5658.86
2025-01-01,-7029.57
2025-01-02,-3744.41
2025-01-03,-5905.78
2025-01-06,-17701.40
2025-01-07,-9154.90
2025-01-08,-7350.82
2025-01-09,-4525.51
2025-01-10,-973.38
2025-01-13,-72.79
2025-01-14,-2341.75
2025-01-15,-3425.79
