symbol,date,direction,entry_time,entry,stop,target,qty,atr_at_entry,deviation_at_entry,exit_time,exit_price,exit_reason,gross_pnl,net_pnl
TRENT,2024-11-25,LONG,2024-11-25T11:40:00,6750.00,6738.78,6761.22,44,11.22,-3.22,2024-11-25T11:45:00,6738.78,STOP,-493.74,-938.87
TRENT,2024-11-27,SHORT,2024-11-27T11:35:00,6745.90,6764.71,6727.09,44,18.81,2.08,2024-11-27T11:50:00,6764.71,STOP,-827.51,-1273.36
TRENT,2024-11-28,LONG,2024-11-28T13:45:00,6802.80,6790.31,6815.29,44,12.49,-1.91,2024-11-28T13:55:00,6815.29,TARGET,549.37,99.97
TRENT,2024-11-29,LONG,2024-11-29T11:50:00,6729.25,6717.43,6741.07,44,11.82,-3.64,2024-11-29T11:55:00,6741.07,TARGET,519.99,75.47
TRENT,2024-12-02,LONG,2024-12-02T12:35:00,6797.25,6785.08,6809.42,44,12.17,-2.13,2024-12-02T12:50:00,6785.08,STOP,-535.54,-983.76
TRENT,2024-12-03,LONG,2024-12-03T11:35:00,6712.10,6701.01,6723.19,44,11.09,-2.18,2024-12-03T11:40:00,6701.01,STOP,-487.93,-930.56
TRENT,2024-12-05,LONG,2024-12-05T11:35:00,6731.50,6716.23,6746.77,44,15.27,-3.79,2024-12-05T11:50:00,6746.77,TARGET,671.94,227.16
TRENT,2024-12-06,LONG,2024-12-06T11:35:00,6981.80,6962.71,7000.89,42,19.09,-2.63,2024-12-06T12:05:00,6962.71,STOP,-801.75,-1241.00
TRENT,2024-12-09,LONG,2024-12-09T13:50:00,6896.30,6881.77,6910.83,43,14.53,-2.05,2024-12-09T14:05:00,6881.77,STOP,-624.88,-1069.22
TRENT,2024-12-10,LONG,2024-12-10T12:05:00,6860.00,6848.91,6871.09,43,11.09,-2.33,2024-12-10T12:10:00,6848.91,STOP,-476.99,-919.11
TRENT,2024-12-11,SHORT,2024-12-11T13:00:00,6932.55,6945.99,6919.11,43,13.44,4.06,2024-12-11T13:20:00,6919.11,TARGET,577.89,131.17
TRENT,2024-12-13,SHORT,2024-12-13T12:00:00,6995.05,7021.19,6968.91,42,26.14,2.57,2024-12-13T12:10:00,6968.91,TARGET,1098.00,658.14
TRENT,2024-12-16,LONG,2024-12-16T13:25:00,6958.25,6946.00,6970.50,43,12.25,-2.34,2024-12-16T13:30:00,6946.00,STOP,-526.60,-975.01
TRENT,2024-12-17,LONG,2024-12-17T11:40:00,6933.00,6917.09,6948.91,43,15.91,-2.29,2024-12-17T12:15:00,6917.09,STOP,-684.01,-1130.67
TRENT,2024-12-18,SHORT,2024-12-18T11:35:00,7020.00,7039.53,7000.47,42,19.53,2.75,2024-12-18T12:15:00,7039.53,STOP,-820.20,-1263.08
TRENT,2024-12-19,SHORT,2024-12-19T11:55:00,7168.85,7190.27,7147.43,41,21.42,2.80,2024-12-19T12:00:00,7147.43,TARGET,878.13,437.91
TRENT,2024-12-23,SHORT,2024-12-23T11:35:00,7042.00,7059.49,7024.51,42,17.49,4.38,2024-12-23T11:50:00,7059.49,STOP,-734.40,-1178.60
TRENT,2024-12-24,SHORT,2024-12-24T11:35:00,7050.40,7067.64,7033.16,42,17.24,2.82,2024-12-24T11:55:00,7067.64,STOP,-724.20,-1168.92
TRENT,2024-12-26,LONG,2024-12-26T11:50:00,6952.85,6938.68,6967.03,43,14.17,-1.83,2024-12-26T12:05:00,6967.03,TARGET,609.53,160.61
TRENT,2024-12-27,LONG,2024-12-27T12:25:00,7145.00,7131.63,7158.37,41,13.37,-2.24,2024-12-27T12:45:00,7158.37,TARGET,548.08,108.25
TRENT,2024-12-30,SHORT,2024-12-30T11:55:00,7053.45,7068.41,7038.49,42,14.96,1.88,2024-12-30T12:45:00,7068.41,STOP,-628.50,-1073.34
TRENT,2024-12-31,SHORT,2024-12-31T11:35:00,6964.90,6982.79,6947.01,43,17.89,2.21,2024-12-31T11:50:00,6947.01,TARGET,769.09,320.43
TRENT,2025-01-01,LONG,2025-01-01T11:35:00,7067.85,7046.81,7088.89,42,21.04,-3.04,2025-01-01T11:40:00,7088.89,TARGET,883.80,437.86
TRENT,2025-01-02,SHORT,2025-01-02T11:35:00,7179.40,7195.79,7163.01,41,16.39,3.18,2025-01-02T11:50:00,7163.01,TARGET,671.96,230.93
TRENT,2025-01-03,LONG,2025-01-03T11:35:00,7346.60,7322.05,7371.15,40,24.55,-1.84,2025-01-03T12:10:00,7371.15,TARGET,982.00,540.47
TRENT,2025-01-06,LONG,2025-01-06T11:35:00,7142.20,7116.90,7167.50,42,25.30,-3.24,2025-01-06T11:40:00,7116.90,STOP,-1062.45,-1511.61
TRENT,2025-01-07,LONG,2025-01-07T12:10:00,6982.95,6967.69,6998.21,42,15.26,-3.27,2025-01-07T12:20:00,6967.69,STOP,-640.80,-1080.25
TRENT,2025-01-08,LONG,2025-01-08T11:45:00,6651.00,6631.11,6670.89,45,19.89,-2.10,2025-01-08T12:10:00,6631.11,STOP,-895.18,-1343.45
TRENT,2025-01-09,SHORT,2025-01-09T12:45:00,6659.30,6675.66,6642.94,45,16.36,2.08,2025-01-09T12:55:00,6642.94,TARGET,736.39,287.44
TRENT,2025-01-10,LONG,2025-01-10T13:55:00,6528.85,6514.29,6543.41,45,14.56,-1.87,2025-01-10T14:10:00,6514.29,STOP,-655.23,-1095.44
TRENT,2025-01-14,LONG,2025-01-14T13:10:00,6183.30,6167.16,6199.44,48,16.14,-1.87,2025-01-14T13:30:00,6167.16,STOP,-774.86,-1219.47
TRENT,2025-01-15,SHORT,2025-01-15T11:35:00,6299.45,6319.42,6279.48,47,19.97,2.82,2025-01-15T11:40:00,6319.42,STOP,-938.66,-1383.47
TRENT,2025-01-16,LONG,2025-01-16T11:35:00,6222.15,6194.94,6249.36,48,27.21,-3.45,2025-01-16T11:50:00,6194.94,STOP,-1306.11,-1753.13
TRENT,2025-01-17,SHORT,2025-01-17T12:15:00,6256.00,6272.58,6239.42,47,16.58,2.49,2025-01-17T12:25:00,6239.42,TARGET,779.19,338.73
TRENT,2025-01-20,LONG,2025-01-20T12:45:00,6103.25,6091.94,6114.56,49,11.31,-2.03,2025-01-20T13:15:00,6114.56,TARGET,554.05,105.05
TRENT,2025-01-22,LONG,2025-01-22T11:35:00,5595.55,5576.46,5614.64,53,19.09,-3.09,2025-01-22T11:50:00,5614.64,TARGET,1011.92,566.32
TRENT,2025-01-23,SHORT,2025-01-23T13:10:00,5721.00,5732.46,5709.54,52,11.46,1.80,2025-01-23T13:25:00,5732.46,STOP,-595.77,-1042.46
TRENT,2025-01-24,LONG,2025-01-24T12:40:00,5604.85,5586.53,5623.18,53,18.32,-3.82,2025-01-24T12:50:00,5586.53,STOP,-971.22,-1416.08
TRENT,2025-01-27,SHORT,2025-01-27T12:00:00,5528.70,5554.16,5503.24,54,25.46,4.14,2025-01-27T12:05:00,5503.24,TARGET,1375.07,928.28
TRENT,2025-01-28,SHORT,2025-01-28T12:15:00,5436.60,5456.98,5416.22,55,20.38,2.37,2025-01-28T12:20:00,5416.22,TARGET,1120.82,673.14
TRENT,2025-01-30,LONG,2025-01-30T11:35:00,5573.90,5559.88,5587.92,53,14.03,-1.98,2025-01-30T12:05:00,5587.92,TARGET,743.32,299.64
TRENT,2025-01-31,SHORT,2025-01-31T11:45:00,5782.80,5808.40,5757.20,51,25.60,2.00,2025-01-31T12:30:00,5757.20,TARGET,1305.42,864.01
TRENT,2025-02-01,SHORT,2025-02-01T11:40:00,5810.00,5835.85,5784.15,51,25.85,1.83,2025-02-01T11:45:00,5784.15,TARGET,1318.53,875.06
TRENT,2025-02-03,LONG,2025-02-03T12:45:00,6076.95,6053.09,6100.81,49,23.86,-2.05,2025-02-03T12:55:00,6053.09,STOP,-1169.35,-1615.13
TRENT,2025-02-04,LONG,2025-02-04T11:35:00,5772.00,5742.25,5801.75,51,29.75,-2.43,2025-02-04T11:45:00,5742.25,STOP,-1517.25,-1957.67
TRENT,2025-02-05,SHORT,2025-02-05T11:35:00,5871.95,5888.72,5855.18,51,16.77,2.26,2025-02-05T12:10:00,5855.18,TARGET,855.16,406.60
TRENT,2025-02-07,SHORT,2025-02-07T11:40:00,5430.20,5464.56,5395.84,55,34.36,1.96,2025-02-07T12:05:00,5395.84,TARGET,1889.84,1443.27
TRENT,2025-02-10,LONG,2025-02-10T11:35:00,5310.95,5295.12,5326.78,56,15.83,-3.74,2025-02-10T11:45:00,5295.12,STOP,-886.40,-1331.85
TRENT,2025-02-11,LONG,2025-02-11T13:05:00,5173.25,5156.62,5189.88,57,16.63,-2.62,2025-02-11T13:10:00,5156.62,STOP,-947.83,-1389.43
TRENT,2025-02-12,SHORT,2025-02-12T12:50:00,5251.25,5270.18,5232.32,57,18.93,1.84,2025-02-12T13:00:00,5270.18,STOP,-1078.93,-1528.72
TRENT,2025-02-13,LONG,2025-02-13T13:25:00,5278.70,5263.61,5293.79,56,15.09,-1.97,2025-02-13T13:35:00,5263.61,STOP,-845.00,-1287.78
TRENT,2025-02-17,LONG,2025-02-17T11:40:00,5044.70,5024.94,5064.46,59,19.76,-2.05,2025-02-17T11:55:00,5064.46,TARGET,1165.67,718.34
TRENT,2025-02-18,LONG,2025-02-18T11:35:00,4965.00,4949.63,4980.37,60,15.37,-3.65,2025-02-18T11:45:00,4980.37,TARGET,922.07,474.53
TRENT,2025-02-19,LONG,2025-02-19T12:50:00,5029.40,5021.26,5037.54,59,8.14,-2.73,2025-02-19T12:55:00,5037.54,TARGET,480.01,34.55
TRENT,2025-02-20,SHORT,2025-02-20T11:35:00,5025.70,5037.21,5014.19,59,11.51,2.74,2025-02-20T11:55:00,5037.21,STOP,-679.34,-1124.63
TRENT,2025-02-21,LONG,2025-02-21T12:10:00,5057.95,5042.66,5073.24,59,15.29,-1.89,2025-02-21T12:25:00,5073.24,TARGET,901.86,453.55
TRENT,2025-02-24,SHORT,2025-02-24T11:40:00,5002.70,5016.56,4988.84,59,13.86,2.21,2025-02-24T11:45:00,5016.56,STOP,-817.78,-1261.13
TRENT,2025-02-25,LONG,2025-02-25T11:35:00,5008.00,4997.38,5018.62,59,10.62,-4.57,2025-02-25T11:50:00,4997.38,STOP,-626.66,-1069.40
TRENT,2025-02-27,LONG,2025-02-27T12:00:00,4835.00,4824.87,4845.13,62,10.13,-3.03,2025-02-27T12:05:00,4845.13,TARGET,627.97,177.85
TRENT,2025-02-28,LONG,2025-02-28T12:10:00,4756.00,4738.34,4773.66,63,17.66,-1.84,2025-02-28T13:00:00,4773.66,TARGET,1112.40,662.12
TRENT,2025-03-03,SHORT,2025-03-03T12:35:00,4882.50,4899.45,4865.55,61,16.95,3.33,2025-03-03T12:40:00,4899.45,STOP,-1033.73,-1481.26
TRENT,2025-03-04,SHORT,2025-03-04T11:35:00,5051.70,5069.75,5033.65,59,18.05,3.36,2025-03-04T11:40:00,5033.65,TARGET,1065.16,618.88
TRENT,2025-03-05,SHORT,2025-03-05T11:35:00,5275.05,5299.36,5250.74,56,24.31,4.68,2025-03-05T11:55:00,5299.36,STOP,-1361.40,-1805.53
TRENT,2025-03-06,LONG,2025-03-06T13:25:00,5008.95,4998.99,5018.91,59,9.96,-1.99,2025-03-06T13:45:00,5018.91,TARGET,587.89,144.16
TRENT,2025-03-07,LONG,2025-03-07T12:05:00,5018.60,5007.17,5030.03,59,11.43,-2.89,2025-03-07T12:30:00,5030.03,TARGET,674.50,229.84
TRENT,2025-03-11,SHORT,2025-03-11T11:35:00,4880.00,4897.81,4862.19,61,17.81,2.47,2025-03-11T11:55:00,4897.81,STOP,-1086.24,-1533.57
TRENT,2025-03-12,LONG,2025-03-12T11:40:00,5012.00,4993.26,5030.74,59,18.74,-1.85,2025-03-12T11:55:00,5030.74,TARGET,1105.83,661.44
TRENT,2025-03-13,LONG,2025-03-13T11:45:00,5011.30,4994.81,5027.79,59,16.49,-2.89,2025-03-13T12:00:00,5027.79,TARGET,973.08,528.85
TRENT,2025-03-17,SHORT,2025-03-17T11:35:00,5158.05,5170.65,5145.45,58,12.60,4.11,2025-03-17T12:00:00,5170.65,STOP,-730.80,-1180.10
TRENT,2025-03-19,SHORT,2025-03-19T11:35:00,5298.00,5309.77,5286.23,56,11.77,3.34,2025-03-19T11:45:00,5286.23,TARGET,659.00,214.46
