variant,symbol,date,direction,entry_time,entry,stop,target,qty,atr_at_entry,deviation_at_entry,exit_time,exit_price,exit_reason,gross_pnl,net_pnl
baseline,HINDUNILVR,2024-06-04,SHORT,2024-06-04T11:35:00,2462.60,2480.78,2444.42,121,18.18,2.61,2024-06-04T12:05:00,2444.42,TARGET,2199.61,1754.29
baseline,HINDUNILVR,2024-06-05,LONG,2024-06-05T12:40:00,2625.95,2613.91,2637.99,114,12.04,-3.18,2024-06-05T12:55:00,2637.99,TARGET,1372.07,922.00
baseline,HINDUNILVR,2024-06-07,SHORT,2024-06-07T11:35:00,2569.00,2574.02,2563.98,116,5.02,4.79,2024-06-07T11:45:00,2574.02,STOP,-582.49,-1029.93
baseline,HINDUNILVR,2024-06-12,LONG,2024-06-12T12:15:00,2527.70,2522.60,2532.80,118,5.10,-2.15,2024-06-12T12:25:00,2522.60,STOP,-602.22,-1049.17
baseline,HINDUNILVR,2024-06-13,SHORT,2024-06-13T11:35:00,2503.75,2507.64,2499.86,119,3.89,3.51,2024-06-13T11:50:00,2499.86,TARGET,462.82,16.25
baseline,HINDUNILVR,2024-06-14,LONG,2024-06-14T11:35:00,2481.30,2478.02,2484.58,120,3.28,-2.95,2024-06-14T11:50:00,2478.02,STOP,-393.43,-839.77
baseline,HINDUNILVR,2024-06-18,LONG,2024-06-18T12:30:00,2478.50,2475.67,2481.33,121,2.83,-3.24,2024-06-18T12:40:00,2475.67,STOP,-342.69,-792.28
baseline,HINDUNILVR,2024-06-19,LONG,2024-06-19T12:45:00,2472.50,2469.51,2475.49,121,2.99,-2.23,2024-06-19T13:10:00,2475.49,TARGET,361.70,-87.33
baseline,HINDUNILVR,2024-06-20,SHORT,2024-06-20T11:35:00,2479.45,2485.14,2473.76,120,5.69,2.37,2024-06-20T11:50:00,2485.14,STOP,-683.14,-1129.96
baseline,HINDUNILVR,2024-06-21,LONG,2024-06-21T11:35:00,2440.75,2436.46,2445.04,122,4.29,-2.30,2024-06-21T12:00:00,2436.46,STOP,-522.86,-969.12
baseline,HINDUNILVR,2024-06-24,SHORT,2024-06-24T12:10:00,2459.95,2463.56,2456.34,121,3.61,2.73,2024-06-24T12:15:00,2463.56,STOP,-437.33,-884.14
baseline,HINDUNILVR,2024-06-26,LONG,2024-06-26T13:15:00,2446.80,2443.85,2449.75,122,2.95,-2.21,2024-06-26T13:20:00,2449.75,TARGET,359.46,-88.57
baseline,HINDUNILVR,2024-06-27,SHORT,2024-06-27T12:30:00,2480.50,2487.31,2473.69,120,6.81,2.00,2024-06-27T12:55:00,2473.69,TARGET,817.29,371.41
baseline,HINDUNILVR,2024-07-01,SHORT,2024-07-01T11:35:00,2517.00,2522.83,2511.17,119,5.83,2.97,2024-07-01T11:55:00,2511.17,TARGET,693.60,244.84
baseline,HINDUNILVR,2024-07-02,LONG,2024-07-02T11:55:00,2489.00,2487.00,2491.00,120,2.00,-2.01,2024-07-02T12:35:00,2487.00,STOP,-240.43,-688.27
baseline,HINDUNILVR,2024-07-04,LONG,2024-07-04T11:55:00,2510.50,2505.49,2515.51,119,5.01,-1.88,2024-07-04T12:20:00,2505.49,STOP,-596.27,-1043.95
baseline,HINDUNILVR,2024-07-05,SHORT,2024-07-05T11:35:00,2520.70,2523.49,2517.91,119,2.79,2.46,2024-07-05T11:40:00,2523.49,STOP,-332.35,-782.54
baseline,HINDUNILVR,2024-07-08,SHORT,2024-07-08T11:50:00,2584.00,2590.38,2577.62,116,6.38,1.97,2024-07-08T12:10:00,2577.62,TARGET,739.91,290.85
baseline,HINDUNILVR,2024-07-09,SHORT,2024-07-09T11:35:00,2594.85,2600.37,2589.33,115,5.52,1.94,2024-07-09T12:15:00,2600.37,STOP,-634.96,-1083.05
baseline,HINDUNILVR,2024-07-10,LONG,2024-07-10T12:15:00,2575.10,2569.70,2580.50,116,5.40,-2.67,2024-07-10T12:35:00,2580.50,TARGET,625.99,177.45
baseline,HINDUNILVR,2024-07-12,SHORT,2024-07-12T12:45:00,2628.10,2632.36,2623.84,114,4.26,2.04,2024-07-12T13:00:00,2632.36,STOP,-485.72,-935.49
baseline,HINDUNILVR,2024-07-16,SHORT,2024-07-16T11:35:00,2679.60,2687.55,2671.65,111,7.95,2.91,2024-07-16T11:55:00,2687.55,STOP,-882.05,-1328.87
baseline,HINDUNILVR,2024-07-18,LONG,2024-07-18T13:00:00,2699.75,2693.10,2706.40,111,6.65,-2.00,2024-07-18T13:05:00,2693.10,STOP,-737.75,-1186.71
baseline,HINDUNILVR,2024-07-22,LONG,2024-07-22T12:10:00,2720.75,2715.59,2725.91,110,5.16,-2.22,2024-07-22T12:30:00,2725.91,TARGET,567.29,117.94
baseline,HINDUNILVR,2024-07-23,SHORT,2024-07-23T11:35:00,2772.00,2778.66,2765.34,108,6.66,2.67,2024-07-23T11:40:00,2778.66,STOP,-718.97,-1168.57
baseline,HINDUNILVR,2024-07-24,SHORT,2024-07-24T11:35:00,2735.10,2741.06,2729.14,109,5.96,3.91,2024-07-24T11:40:00,2741.06,STOP,-649.72,-1097.39
baseline,HINDUNILVR,2024-07-25,LONG,2024-07-25T11:35:00,2677.55,2671.54,2683.56,112,6.01,-4.20,2024-07-25T11:40:00,2671.54,STOP,-673.20,-1122.52
baseline,HINDUNILVR,2024-07-26,SHORT,2024-07-26T12:20:00,2710.05,2714.41,2705.69,110,4.36,2.19,2024-07-26T12:30:00,2714.41,STOP,-479.68,-927.20
baseline,HINDUNILVR,2024-07-29,SHORT,2024-07-29T12:35:00,2709.90,2713.92,2705.88,110,4.02,2.27,2024-07-29T13:05:00,2713.92,STOP,-442.36,-889.82
baseline,HINDUNILVR,2024-07-30,LONG,2024-07-30T11:35:00,2721.50,2717.04,2725.96,110,4.46,-3.36,2024-07-30T11:45:00,2725.96,TARGET,491.07,41.66
baseline,HINDUNILVR,2024-07-31,SHORT,2024-07-31T13:25:00,2695.00,2697.61,2692.39,111,2.61,2.93,2024-07-31T13:30:00,2697.61,STOP,-290.19,-739.12
baseline,HINDUNILVR,2024-08-01,LONG,2024-08-01T11:35:00,2697.65,2693.27,2702.03,111,4.38,-2.29,2024-08-01T12:05:00,2702.03,TARGET,486.42,36.89
baseline,HINDUNILVR,2024-08-02,LONG,2024-08-02T11:35:00,2697.95,2690.51,2705.39,111,7.44,-4.37,2024-08-02T12:35:00,2701.00,TIME_STOP,338.55,-110.91
baseline,HINDUNILVR,2024-08-05,LONG,2024-08-05T13:20:00,2700.75,2694.91,2706.59,111,5.84,-3.08,2024-08-05T13:25:00,2706.59,TARGET,648.16,198.00
baseline,HINDUNILVR,2024-08-06,SHORT,2024-08-06T11:35:00,2764.20,2769.98,2758.42,108,5.78,3.09,2024-08-06T12:00:00,2769.98,STOP,-624.09,-1072.35
baseline,HINDUNILVR,2024-08-07,LONG,2024-08-07T11:55:00,2759.55,2755.17,2763.93,108,4.38,-2.11,2024-08-07T12:10:00,2763.93,TARGET,472.89,25.48
baseline,HINDUNILVR,2024-08-08,LONG,2024-08-08T11:40:00,2731.50,2725.35,2737.65,109,6.15,-2.47,2024-08-08T12:05:00,2725.35,STOP,-669.96,-1116.06
baseline,HINDUNILVR,2024-08-09,LONG,2024-08-09T11:35:00,2728.70,2725.49,2731.91,109,3.21,-2.65,2024-08-09T11:45:00,2725.49,STOP,-349.97,-795.85
baseline,HINDUNILVR,2024-08-13,SHORT,2024-08-13T12:10:00,2753.45,2756.78,2750.12,108,3.33,1.89,2024-08-13T12:15:00,2750.12,TARGET,359.49,-86.30
baseline,HINDUNILVR,2024-08-14,SHORT,2024-08-14T11:35:00,2736.95,2741.69,2732.21,109,4.74,2.29,2024-08-14T11:55:00,2732.21,TARGET,516.19,69.09
baseline,HINDUNILVR,2024-08-16,SHORT,2024-08-16T14:00:00,2735.00,2738.26,2731.74,109,3.26,2.24,2024-08-16T14:10:00,2738.26,STOP,-355.42,-802.86
baseline,HINDUNILVR,2024-08-19,SHORT,2024-08-19T11:35:00,2755.95,2759.68,2752.22,108,3.73,1.97,2024-08-19T12:10:00,2752.22,TARGET,402.69,-43.48
baseline,HINDUNILVR,2024-08-21,SHORT,2024-08-21T13:50:00,2774.10,2776.93,2771.27,108,2.83,1.91,2024-08-21T14:00:00,2776.93,STOP,-305.87,-755.51
baseline,HINDUNILVR,2024-08-22,LONG,2024-08-22T12:45:00,2786.60,2783.79,2789.41,107,2.81,-1.84,2024-08-22T13:05:00,2789.41,TARGET,300.36,-147.11
baseline,HINDUNILVR,2024-08-23,SHORT,2024-08-23T11:45:00,2803.50,2807.62,2799.38,107,4.12,2.14,2024-08-23T12:05:00,2807.62,STOP,-440.99,-891.29
baseline,HINDUNILVR,2024-08-26,SHORT,2024-08-26T13:30:00,2828.35,2831.57,2825.13,106,3.22,1.86,2024-08-26T13:35:00,2825.13,TARGET,341.47,-107.98
baseline,HINDUNILVR,2024-08-27,LONG,2024-08-27T11:35:00,2794.95,2791.15,2798.75,107,3.80,-3.60,2024-08-27T11:50:00,2791.15,STOP,-406.22,-854.50
baseline,HINDUNILVR,2024-08-29,SHORT,2024-08-29T11:45:00,2786.95,2790.93,2782.97,107,3.98,2.20,2024-08-29T12:10:00,2790.93,STOP,-425.71,-873.33
baseline,HINDUNILVR,2024-08-30,LONG,2024-08-30T11:35:00,2786.85,2782.52,2791.18,107,4.33,-2.73,2024-08-30T11:45:00,2782.52,STOP,-463.16,-910.10
baseline,HINDUNILVR,2024-09-03,SHORT,2024-09-03T11:55:00,2818.60,2823.36,2813.84,106,4.76,2.36,2024-09-03T12:15:00,2813.84,TARGET,504.64,56.86
baseline,HINDUNILVR,2024-09-04,SHORT,2024-09-04T11:35:00,2821.05,2826.48,2815.62,106,5.43,2.29,2024-09-04T11:40:00,2826.48,STOP,-575.43,-1024.41
baseline,HINDUNILVR,2024-09-06,SHORT,2024-09-06T11:35:00,2859.30,2865.31,2853.29,104,6.01,2.07,2024-09-06T12:30:00,2853.29,TARGET,625.11,179.53
baseline,HINDUNILVR,2024-09-09,SHORT,2024-09-09T11:50:00,2875.95,2880.64,2871.26,104,4.69,2.42,2024-09-09T12:00:00,2880.64,STOP,-487.69,-936.70
baseline,HINDUNILVR,2024-09-10,SHORT,2024-09-10T13:25:00,2917.40,2920.97,2913.83,102,3.57,2.39,2024-09-10T13:45:00,2920.97,STOP,-363.92,-810.56
baseline,HINDUNILVR,2024-09-11,LONG,2024-09-11T13:05:00,2924.00,2919.14,2928.86,102,4.86,-1.93,2024-09-11T13:40:00,2919.14,STOP,-496.16,-943.16
baseline,HINDUNILVR,2024-09-12,LONG,2024-09-12T12:50:00,2908.60,2904.77,2912.43,103,3.83,-1.84,2024-09-12T13:00:00,2912.43,TARGET,394.71,-54.96
baseline,HINDUNILVR,2024-09-16,LONG,2024-09-16T11:55:00,2854.05,2848.88,2859.22,105,5.17,-2.21,2024-09-16T12:10:00,2848.88,STOP,-543.00,-992.11
baseline,HINDUNILVR,2024-09-17,LONG,2024-09-17T12:05:00,2872.65,2868.51,2876.79,104,4.14,-1.95,2024-09-17T12:10:00,2876.79,TARGET,430.49,-17.97
baseline,HINDUNILVR,2024-09-18,LONG,2024-09-18T13:05:00,2874.20,2870.53,2877.87,104,3.67,-2.01,2024-09-18T13:10:00,2870.53,STOP,-381.83,-829.92
baseline,HINDUNILVR,2024-09-19,SHORT,2024-09-19T11:35:00,2926.45,2932.17,2920.73,102,5.72,3.22,2024-09-19T11:40:00,2932.17,STOP,-583.22,-1031.41
baseline,HINDUNILVR,2024-09-20,SHORT,2024-09-20T11:40:00,2938.30,2944.42,2932.18,102,6.12,2.19,2024-09-20T11:50:00,2944.42,STOP,-624.02,-1074.05
baseline,HINDUNILVR,2024-09-23,SHORT,2024-09-23T12:00:00,3006.00,3010.19,3001.81,99,4.19,3.04,2024-09-23T12:05:00,3010.19,STOP,-414.39,-861.09
baseline,HINDUNILVR,2024-09-24,LONG,2024-09-24T11:35:00,2978.10,2973.75,2982.45,100,4.35,-3.63,2024-09-24T11:45:00,2973.75,STOP,-435.36,-881.75
baseline,HINDUNILVR,2024-09-25,LONG,2024-09-25T11:55:00,2913.35,2908.64,2918.06,102,4.71,-2.64,2024-09-25T12:05:00,2918.06,TARGET,480.13,34.03
baseline,HINDUNILVR,2024-09-30,LONG,2024-09-30T11:35:00,2965.70,2960.01,2971.39,101,5.69,-2.11,2024-09-30T11:45:00,2960.01,STOP,-574.26,-1023.13
baseline,HINDUNILVR,2024-10-01,LONG,2024-10-01T11:35:00,2895.70,2888.41,2902.99,103,7.29,-4.21,2024-10-01T11:45:00,2902.99,TARGET,750.43,302.48
baseline,HINDUNILVR,2024-10-04,LONG,2024-10-04T12:40:00,2855.40,2842.03,2868.78,105,13.37,-2.70,2024-10-04T12:45:00,2842.03,STOP,-1404.38,-1853.05
baseline,HINDUNILVR,2024-10-08,LONG,2024-10-08T11:40:00,2849.45,2842.26,2856.64,105,7.19,-1.94,2024-10-08T11:50:00,2842.26,STOP,-755.25,-1203.47
baseline,HINDUNILVR,2024-10-09,SHORT,2024-10-09T13:10:00,2803.60,2806.42,2800.78,107,2.82,2.43,2024-10-09T13:15:00,2800.78,TARGET,301.51,-148.24
baseline,HINDUNILVR,2024-10-10,LONG,2024-10-10T11:35:00,2736.70,2729.76,2743.64,109,6.94,-2.50,2024-10-10T11:45:00,2743.64,TARGET,756.38,308.36
baseline,HINDUNILVR,2024-10-11,SHORT,2024-10-11T11:35:00,2768.50,2773.49,2763.51,108,4.99,2.82,2024-10-11T11:40:00,2773.49,STOP,-538.84,-987.74
baseline,HINDUNILVR,2024-10-14,SHORT,2024-10-14T11:40:00,2795.20,2800.66,2789.74,107,5.46,1.87,2024-10-14T11:45:00,2800.66,STOP,-584.68,-1033.75
baseline,HINDUNILVR,2024-10-16,SHORT,2024-10-16T12:10:00,2784.55,2789.57,2779.53,107,5.02,2.22,2024-10-16T12:25:00,2779.53,TARGET,537.29,90.78
baseline,HINDUNILVR,2024-10-17,LONG,2024-10-17T12:15:00,2753.75,2747.48,2760.02,108,6.27,-2.14,2024-10-17T12:25:00,2747.48,STOP,-677.31,-1122.91
baseline,HINDUNILVR,2024-10-21,LONG,2024-10-21T13:05:00,2689.35,2683.20,2695.50,111,6.15,-2.33,2024-10-21T13:20:00,2695.50,TARGET,682.25,233.97
baseline,HINDUNILVR,2024-10-22,LONG,2024-10-22T13:25:00,2687.10,2682.02,2692.18,111,5.08,-2.43,2024-10-22T13:30:00,2682.02,STOP,-564.12,-1011.10
baseline,HINDUNILVR,2024-10-24,LONG,2024-10-24T11:35:00,2478.50,2470.41,2486.59,121,8.09,-4.72,2024-10-24T11:45:00,2470.41,STOP,-979.24,-1428.35
baseline,HINDUNILVR,2024-10-25,SHORT,2024-10-25T12:40:00,2536.10,2540.84,2531.36,118,4.74,3.83,2024-10-25T12:50:00,2531.36,TARGET,558.81,110.34
baseline,HINDUNILVR,2024-10-28,SHORT,2024-10-28T11:35:00,2581.50,2586.31,2576.69,116,4.81,4.42,2024-10-28T12:10:00,2586.31,STOP,-558.46,-1008.06
baseline,HINDUNILVR,2024-10-29,LONG,2024-10-29T12:30:00,2546.15,2542.85,2549.45,117,3.30,-2.50,2024-10-29T12:35:00,2542.85,STOP,-385.68,-832.24
baseline,HINDUNILVR,2024-10-30,SHORT,2024-10-30T12:05:00,2559.95,2563.36,2556.54,117,3.41,1.97,2024-10-30T12:20:00,2556.54,TARGET,398.64,-50.34
baseline,HINDUNILVR,2024-11-04,LONG,2024-11-04T12:50:00,2511.35,2506.46,2516.24,119,4.89,-2.05,2024-11-04T12:55:00,2516.24,TARGET,582.25,133.54
baseline,HINDUNILVR,2024-11-05,LONG,2024-11-05T11:55:00,2511.00,2507.96,2514.04,119,3.04,-2.03,2024-11-05T12:00:00,2514.04,TARGET,362.10,-86.39
baseline,HINDUNILVR,2024-11-07,LONG,2024-11-07T13:05:00,2474.55,2471.02,2478.08,121,3.53,-2.08,2024-11-07T13:40:00,2471.02,STOP,-427.39,-876.20
baseline,HINDUNILVR,2024-11-11,LONG,2024-11-11T13:50:00,2481.85,2477.83,2485.87,120,4.02,-4.90,2024-11-11T13:55:00,2485.87,TARGET,482.57,35.48
baseline,HINDUNILVR,2024-11-12,LONG,2024-11-12T11:55:00,2472.00,2467.97,2476.03,121,4.03,-1.87,2024-11-12T12:15:00,2467.97,STOP,-487.89,-936.19
baseline,HINDUNILVR,2024-11-13,LONG,2024-11-13T11:35:00,2454.95,2450.93,2458.97,122,4.02,-2.39,2024-11-13T11:40:00,2450.93,STOP,-490.61,-939.50
baseline,HINDUNILVR,2024-11-14,LONG,2024-11-14T11:55:00,2415.30,2409.48,2421.12,124,5.82,-2.94,2024-11-14T12:10:00,2409.48,STOP,-721.86,-1170.56
baseline,HINDUNILVR,2024-11-18,SHORT,2024-11-18T11:55:00,2401.75,2406.50,2397.00,124,4.75,2.88,2024-11-18T12:15:00,2397.00,TARGET,589.00,142.72
baseline,HINDUNILVR,2024-11-19,SHORT,2024-11-19T13:30:00,2435.10,2437.92,2432.28,123,2.82,2.32,2024-11-19T13:40:00,2437.92,STOP,-347.04,-796.57
baseline,HINDUNILVR,2024-11-21,LONG,2024-11-21T11:45:00,2387.25,2381.76,2392.74,125,5.49,-2.81,2024-11-21T12:00:00,2392.74,TARGET,686.61,238.48
baseline,HINDUNILVR,2024-11-22,SHORT,2024-11-22T12:35:00,2408.05,2413.52,2402.58,124,5.47,1.80,2024-11-22T13:15:00,2413.52,STOP,-678.46,-1126.86
baseline,HINDUNILVR,2024-11-26,SHORT,2024-11-26T11:40:00,2484.70,2489.19,2480.21,120,4.49,1.85,2024-11-26T12:10:00,2489.19,STOP,-538.29,-985.94
baseline,HINDUNILVR,2024-11-27,SHORT,2024-11-27T12:35:00,2479.80,2484.59,2475.01,120,4.79,2.30,2024-11-27T12:45:00,2475.01,TARGET,574.71,128.78
baseline,HINDUNILVR,2024-11-28,LONG,2024-11-28T11:35:00,2480.60,2471.45,2489.75,120,9.15,-2.46,2024-11-28T12:35:00,2471.45,STOP,-1097.57,-1543.26
baseline,HINDUNILVR,2024-11-29,SHORT,2024-11-29T11:45:00,2499.50,2504.48,2494.52,120,4.98,2.34,2024-11-29T12:40:00,2504.48,STOP,-597.43,-1047.79
baseline,HINDUNILVR,2024-12-04,SHORT,2024-12-04T11:35:00,2491.50,2494.35,2488.65,120,2.85,3.24,2024-12-04T11:55:00,2488.65,TARGET,342.00,-106.21
baseline,HINDUNILVR,2024-12-05,SHORT,2024-12-05T12:10:00,2487.75,2492.46,2483.04,120,4.71,4.22,2024-12-05T12:15:00,2492.46,STOP,-565.29,-1013.50
baseline,HINDUNILVR,2024-12-06,LONG,2024-12-06T13:35:00,2479.80,2478.45,2481.15,120,1.35,-1.99,2024-12-06T13:40:00,2481.15,TARGET,161.57,-284.91
baseline,HINDUNILVR,2024-12-09,SHORT,2024-12-09T12:00:00,2405.25,2409.05,2401.45,124,3.80,2.05,2024-12-09T12:20:00,2401.45,TARGET,470.76,23.73
baseline,HINDUNILVR,2024-12-12,LONG,2024-12-12T11:35:00,2362.20,2357.54,2366.86,127,4.66,-3.02,2024-12-12T11:55:00,2357.54,STOP,-591.46,-1041.01
baseline,HINDUNILVR,2024-12-13,SHORT,2024-12-13T11:35:00,2359.65,2365.40,2353.90,127,5.75,1.91,2024-12-13T11:50:00,2365.40,STOP,-729.80,-1179.86
baseline,HINDUNILVR,2024-12-16,LONG,2024-12-16T12:10:00,2366.00,2362.47,2369.53,126,3.53,-2.16,2024-12-16T12:20:00,2369.53,TARGET,444.60,-2.91
baseline,HINDUNILVR,2024-12-19,LONG,2024-12-19T11:35:00,2341.75,2336.60,2346.90,128,5.15,-1.84,2024-12-19T11:55:00,2336.60,STOP,-659.66,-1108.78
baseline,HINDUNILVR,2024-12-20,SHORT,2024-12-20T11:55:00,2362.25,2366.25,2358.25,126,4.00,1.87,2024-12-20T12:05:00,2358.25,TARGET,504.45,58.36
baseline,HINDUNILVR,2024-12-23,LONG,2024-12-23T12:30:00,2330.25,2326.82,2333.68,128,3.43,-2.46,2024-12-23T12:55:00,2326.82,STOP,-438.40,-885.48
baseline,HINDUNILVR,2024-12-24,SHORT,2024-12-24T11:55:00,2354.60,2358.19,2351.01,127,3.59,2.12,2024-12-24T12:00:00,2351.01,TARGET,455.39,7.18
