date,baseline,stoch,rsi,stoch_and_rsi
2024-10-31,-5304.70,-1234.21,-1037.44,449.92
2024-11-04,-2225.82,-2474.73,-3030.39,-1185.14
2024-11-05,-7335.86,-2731.54,-1840.06,-1612.34
2024-11-06,-3763.81,-4716.56,-4853.37,-4330.03
2024-11-07,-8492.14,-2297.84,-3759.35,-2035.42
2024-11-08,-4466.28,-4958.79,-3353.48,-776.40
2024-11-11,-6933.52,-7621.68,-8772.45,-7217.52
2024-11-12,-3971.85,-2893.79,-7628.40,-4416.41
2024-11-13,-1295.67,-816.25,438.56,311.11
2024-11-14,-7562.62,-7797.47,-6193.40,-3263.38
2024-11-18,-687.06,150.12,-830.56,0.00
2024-11-19,-7066.34,-7158.50,-6074.01,-2813.14
2024-11-21,-2150.53,-1629.20,-3058.60,-906.82
2024-11-22,-11986.18,-10499.96,-9665.07,-5616.74
2024-11-25,-2072.48,265.35,-3197.85,-998.79
2024-11-26,-985.94,-992.79,0.00,0.00
2024-11-27,-7649.40,-7195.24,-3553.42,-1115.31
2024-11-28,-5190.18,-5847.46,360.66,0.00
2024-11-29,-8477.63,-3400.50,-3639.20,-456.65
2024-12-02,-5458.95,-2615.17,-1349.03,-901.14
2024-12-03,-3746.77,-229.22,-540.30,-820.78
2024-12-04,-965.30,-133.63,30.79,0.00
2024-12-05,-5659.24,-2896.25,-5554.61,-5155.31
2024-12-06,-3820.35,-1916.56,-830.32,-830.32
2024-12-09,-5257.82,-3962.77,-3143.09,-1585.44
2024-12-10,-8516.90,-3402.16,-4006.78,148.67
2024-12-11,-5160.22,-1114.07,-3819.78,498.74
2024-12-12,-1017.94,-963.43,-1847.94,-904.43
2024-12-13,-6802.39,-7988.09,-3723.74,-2246.24
2024-12-16,-6290.96,-3938.11,-2002.01,-1134.41
2024-12-17,-6942.74,-6551.02,-3653.13,-4186.15
2024-12-18,-6049.99,-1001.05,-990.98,-319.37
2024-12-19,-7027.18,-1432.15,-3072.64,-549.44
2024-12-20,306.20,0.00,0.00,0.00
2024-12-23,-8305.95,-4611.43,-3946.81,-1970.70
2024-12-24,-2468.09,-1844.41,-1930.93,-947.94
2024-12-26,-7329.76,-2533.11,-1904.58,-858.52
2024-12-27,-3989.65,-5920.25,-3897.15,-2822.14
2024-12-30,-3137.41,-4836.95,-6653.53,-3709.87
2024-12-31,-4261.08,-1542.30,691.93,-732.64
2025-01-01,-6234.23,-1813.91,-706.88,-979.39
2025-01-02,-5305.23,-4300.06,-5007.47,-5131.35
2025-01-03,-8124.64,-4557.64,-5075.87,-2935.48
2025-01-06,-9303.34,-811.21,-5888.54,-385.56
2025-01-07,-6499.07,-3302.88,-1656.86,-1871.81
2025-01-08,-3808.85,-7313.51,-933.30,85.00
2025-01-09,-5193.20,-550.28,-5894.76,-1041.73
2025-01-10,-7652.21,-7022.41,-1900.42,-2516.55
2025-01-13,119.03,0.00,0.00,0.00
2025-01-14,-10168.13,-6341.70,-6731.91,-4230.44
2025-01-15,-5912.16,-720.41,564.87,-1465.06
2025-01-16,-6708.73,-6078.99,-5025.78,-3193.83
2025-01-17,-6163.03,-2681.71,-4958.36,-2711.24
2025-01-20,-2564.17,-2737.28,-1518.42,-1670.94
2025-01-21,651.78,0.00,303.14,0.00
2025-01-22,-3058.28,-3089.82,-1116.65,-1277.44
2025-01-23,-6797.19,-4784.41,-7217.94,-2780.94
2025-01-24,-11834.67,-3625.66,-6683.64,-2953.39
2025-01-27,-6099.04,-5059.51,-2749.31,-763.47
2025-01-28,-5563.33,-3296.87,-4178.00,-125.46
2025-01-29,-1049.72,-1007.92,0.00,0.00
2025-01-30,-4372.33,-1037.38,-2255.77,420.98
2025-01-31,-7650.05,-8233.33,-5975.69,-6009.27
2025-02-01,-6121.99,3361.36,-3702.28,-414.33
2025-02-03,-10950.58,-9380.90,-5071.53,-2730.13
2025-02-04,-6752.81,-5086.98,-5700.55,-951.76
2025-02-05,-3693.48,-3131.49,-2275.02,-1760.30
2025-02-06,-1905.47,-149.95,-71.55,0.00
2025-02-07,-6374.53,-4802.01,-2651.92,-2089.10
2025-02-10,-9688.11,-9012.57,-4257.43,-2232.14
2025-02-11,-11618.69,-9575.94,-12203.96,-11078.83
2025-02-12,-3782.74,412.66,115.39,0.00
2025-02-13,-7009.00,-3477.45,-3394.73,-2476.02
2025-02-14,-2488.28,-2279.03,0.00,0.00
2025-02-17,-4522.79,-4676.86,-2878.60,-1191.24
2025-02-18,-4207.57,-4558.41,-2244.57,-2244.57
2025-02-19,-3582.31,-5349.29,-3212.47,-2410.69
2025-02-20,-6929.46,-3277.97,-3293.83,-959.35
2025-02-21,-5435.90,-2384.74,-4414.86,-3240.96
2025-02-24,-5592.21,-1708.24,-865.58,161.57
2025-02-25,-8465.80,-4872.84,-6949.05,-2814.04
2025-02-27,-9375.49,-6623.24,-3765.78,-642.19
2025-02-28,-11184.04,-7912.89,-5887.96,-4468.04
2025-03-03,-3236.14,-2829.37,-2781.25,-643.03
2025-03-04,-3463.64,-1715.46,25.68,-1425.34
2025-03-05,-10002.29,-7556.08,-4631.59,-3980.56
2025-03-06,-10816.48,-6303.17,-2648.08,-1505.50
2025-03-07,-3811.45,-3322.72,-2975.28,-1020.76
2025-03-10,170.96,162.60,156.23,15.59
2025-03-11,-5082.86,-3847.91,-2392.77,0.00
2025-03-12,-3110.20,-2606.24,31.63,-264.73
2025-03-13,-8193.09,-5772.83,-3436.50,-2001.87
2025-03-17,-8818.56,-2392.79,-3353.14,-1349.48
2025-03-18,-1014.43,-1003.43,-976.37,-1003.43
2025-03-19,-6443.72,-4135.93,-2314.92,-1926.24
2025-03-20,-5984.97,-4456.49,-4269.63,-2440.66
2025-03-21,-5183.70,-5171.09,-8180.24,-3953.48
2025-03-24,-3780.34,-3124.39,-608.59,-658.77
2025-03-25,-1763.51,-2861.89,1510.32,-95.84
2025-03-26,-1812.15,-1093.59,-1032.87,-1032.87
2025-03-27,-2802.89,-2644.14,389.96,-1017.31
