seg_idx,seg_dir,seg_entry_dt,seg_end_dt,seg_bars,cst_idx,cst_dt,cst_close,cst_atr,continuation_pts,reversal_pts,outcome,mfe_before_cst,mfe_after_cst,mfe_extension_pct
20,1,2024-11-06 09:30:00,2024-11-08 10:30:00,27,1804,2024-11-06 14:30:00,24464.95,69.74233596397664,35.29999999999927,323.75,CST_CORRECT,181.79999999999927,181.79999999999927,0.0
21,-1,2024-11-08 11:30:00,2024-11-22 11:30:00,73,1824,2024-11-08 12:30:00,24142.8,57.8601015833521,879.6499999999978,91.10000000000218,TREND_CONTINUED,7.849999999998545,850.4499999999971,107.3375796178541
22,1,2024-11-22 12:30:00,2024-11-28 14:00:00,40,1899,2024-11-22 14:00:00,23850.35,74.51960029752806,501.2000000000007,49.599999999998545,TREND_CONTINUED,223.54999999999927,677.1499999999978,2.0290762692909863
23,-1,2024-11-28 15:00:00,2024-12-03 09:30:00,26,1938,2024-11-29 09:30:00,24063.65,87.80773679320319,100.80000000000291,274.3999999999978,CST_CORRECT,73.25,73.25,0.0
24,1,2024-12-03 10:30:00,2024-12-17 09:30:00,95,1965,2024-12-03 11:00:00,24426.15,64.58131263509382,342.75,59.85000000000218,TREND_CONTINUED,29.950000000000728,359.7000000000007,11.01001669449055
25,-1,2024-12-17 10:30:00,2025-01-02 09:30:00,131,2062,2024-12-17 11:30:00,24383.8,59.228570627726626,923.3499999999985,76.25,TREND_CONTINUED,109.80000000000291,1025.2000000000007,8.336976320582638
26,1,2025-01-02 10:30:00,2025-01-03 15:00:00,22,2194,2025-01-02 11:30:00,23937.4,65.59119730047108,289.2999999999993,10.05000000000291,TREND_CONTINUED,41.400000000001455,293.9500000000007,6.100241545893488
27,-1,2025-01-07 10:00:00,2025-01-29 15:00:00,179,2225,2025-01-07 15:00:00,23694.6,65.99524470982661,907.6999999999971,32.900000000001455,TREND_CONTINUED,121.04999999999927,971.9499999999971,7.029326724494035
28,1,2025-01-31 10:00:00,2025-02-01 15:00:00,23,2397,2025-01-31 11:00:00,23403.45,74.03406124387439,229.0,85.15000000000146,TREND_CONTINUED,58.5,242.25,3.141025641025641
29,1,2025-02-04 14:30:00,2025-02-10 09:30:00,27,2443,2025-02-05 10:00:00,23774.35,79.12756048611631,11.950000000000728,371.0,CST_CORRECT,51.20000000000073,51.20000000000073,0.0
30,-1,2025-02-10 12:00:00,2025-02-13 10:30:00,34,2473,2025-02-10 13:00:00,23351.95,55.523809097529856,553.6000000000022,57.95000000000073,TREND_CONTINUED,41.04999999999927,567.25,12.818514007308405
31,1,2025-02-13 11:30:00,2025-02-14 12:00:00,14,2507,2025-02-13 12:00:00,23195.1,75.58260525334684,11.75,380.0,CST_CORRECT,14.650000000001455,14.650000000001455,0.0
32,-1,2025-02-14 13:00:00,2025-03-05 11:00:00,129,2523,2025-02-14 14:00:00,22860.45,77.20773709104428,868.8500000000022,189.5,TREND_CONTINUED,63.900000000001455,847.1500000000015,12.257433489827577
33,1,2025-03-05 12:30:00,2025-03-26 14:00:00,148,2658,2025-03-06 09:30:00,22314.4,53.15112183917172,1555.199999999997,9.30000000000291,TREND_CONTINUED,39.900000000001455,1514.5999999999985,36.95989974937201
34,-1,2025-03-28 14:00:00,2025-04-08 09:30:00,52,2819,2025-04-01 12:00:00,23213.9,78.78719747245268,1417.0,136.09999999999854,TREND_CONTINUED,398.7000000000007,1774.8999999999978,3.451718083772246
35,1,2025-04-08 10:30:00,2025-04-25 09:30:00,119,2870,2025-04-08 13:30:00,22546.4,129.18982653454773,1801.449999999997,193.15000000000146,TREND_CONTINUED,322.7999999999993,1973.449999999997,5.113537794299881
36,-1,2025-04-25 10:30:00,2025-04-25 15:00:00,10,2986,2025-04-25 11:30:00,23872.5,64.63274271135887,13.25,278.15000000000146,CST_CORRECT,91.25,91.25,0.0
37,1,2025-05-02 09:30:00,2025-05-08 14:30:00,47,3021,2025-05-02 11:00:00,24387.3,77.2889466130064,139.10000000000218,148.79999999999927,CST_CORRECT,17.150000000001455,17.150000000001455,0.0
38,-1,2025-05-09 09:30:00,2025-05-09 15:00:00,12,3068,2025-05-09 10:30:00,23987.3,66.25472854592647,26.349999999998545,134.0,CST_CORRECT,63.29999999999927,63.29999999999927,0.0
