seg_idx,seg_dir,seg_entry_dt,seg_end_dt,seg_bars,cst_idx,cst_dt,cst_close,cst_atr,continuation_pts,reversal_pts,outcome,mfe_before_cst,mfe_after_cst,mfe_extension_pct
4,1,2024-04-22 10:30:00,2024-05-02 15:00:00,82,365,2024-04-23 10:30:00,22381.6,57.181818146419154,401.75,32.14999999999782,TREND_CONTINUED,140.35000000000218,504.2999999999993,2.593159957249672
4,1,2024-04-22 10:30:00,2024-05-02 15:00:00,82,370,2024-04-23 13:00:00,22387.85,51.454160173448386,395.5,38.39999999999782,TREND_CONTINUED,144.54999999999927,504.2999999999993,2.4887582151504795
4,1,2024-04-22 10:30:00,2024-05-02 15:00:00,82,374,2024-04-23 15:00:00,22361.0,48.640679694940424,422.34999999999854,-23.0,TREND_CONTINUED,144.54999999999927,504.2999999999993,2.4887582151504795
4,1,2024-04-22 10:30:00,2024-05-02 15:00:00,82,379,2024-04-24 11:30:00,22456.1,45.537250051800655,327.25,72.09999999999854,TREND_CONTINUED,197.40000000000146,504.2999999999993,1.5547112462005854
4,1,2024-04-22 10:30:00,2024-05-02 15:00:00,82,408,2024-04-29 14:00:00,22613.65,44.557249598988804,169.6999999999971,45.25,TREND_CONTINUED,349.3500000000022,504.2999999999993,0.44353799914125125
4,1,2024-04-22 10:30:00,2024-05-02 15:00:00,82,414,2024-04-30 11:00:00,22729.3,46.90411946968271,54.04999999999927,160.89999999999782,CST_CORRECT,490.0499999999993,504.2999999999993,0.029078665442301848
4,1,2024-04-22 10:30:00,2024-05-02 15:00:00,82,418,2024-04-30 13:00:00,22733.1,43.269811267677696,50.25,164.6999999999971,CST_CORRECT,490.0499999999993,504.2999999999993,0.029078665442301848
4,1,2024-04-22 10:30:00,2024-05-02 15:00:00,82,421,2024-04-30 14:30:00,22693.95,44.51408488731478,16.549999999999272,125.54999999999927,CST_CORRECT,504.2999999999993,504.2999999999993,0.0
5,-1,2024-05-06 10:00:00,2024-05-14 11:30:00,76,445,2024-05-06 14:30:00,22427.05,55.44306776380908,606.0,66.29999999999927,TREND_CONTINUED,86.29999999999927,674.7000000000007,6.818076477404477
5,-1,2024-05-06 10:00:00,2024-05-14 11:30:00,76,449,2024-05-07 10:30:00,22344.0,57.74774704063349,522.9500000000007,24.650000000001455,TREND_CONTINUED,196.84999999999854,674.7000000000007,2.427482854965739
5,-1,2024-05-06 10:00:00,2024-05-14 11:30:00,76,462,2024-05-08 11:00:00,22265.3,61.32269390118596,444.25,103.35000000000218,TREND_CONTINUED,310.5499999999993,674.7000000000007,1.1725970053131616
