seg_idx,direction,first_cst_idx,outcome,entry_atm,safety_threshold,t_db,t_safety,category,db_lead_to_safety
59,-1,4003,CST_CORRECT,14450,13950.0,,,neither,
60,1,4028,TREND_CONTINUED,14750,15250.0,4059.0,,DB_only,
61,-1,4068,CST_CORRECT,14550,14050.0,,,neither,
62,1,4096,TREND_CONTINUED,14850,15350.0,,,neither,
63,-1,4134,CST_CORRECT,14350,13850.0,,,neither,
64,1,4169,CST_CORRECT,14650,15150.0,,,neither,
65,-1,4183,CST_CORRECT,14300,13800.0,4229.0,,DB_only,
66,1,4251,TREND_CONTINUED,14550,15050.0,,,neither,
67,-1,4295,TREND_CONTINUED,14750,14250.0,4321.0,,DB_only,
68,1,4369,CST_CORRECT,14900,15400.0,,,neither,
69,-1,4393,TREND_CONTINUED,14750,14250.0,4406.0,,DB_only,
70,1,4427,TREND_CONTINUED,14850,15350.0,4480.0,4522.0,DB_first_then_safety,42.0
72,1,4690,CST_CORRECT,15900,16400.0,,,neither,
74,1,4754,CST_CORRECT,15900,16400.0,,,neither,
75,-1,4848,TREND_CONTINUED,15700,15200.0,,,neither,
76,1,4873,TREND_CONTINUED,15800,16300.0,4908.0,,DB_only,
77,-1,4923,CST_CORRECT,15750,15250.0,,,neither,
78,1,4968,CST_CORRECT,15900,16400.0,,,neither,
79,-1,5011,TREND_CONTINUED,15750,15250.0,,,neither,
80,1,5029,CST_CORRECT,15800,16300.0,5045.0,,DB_only,
81,-1,5080,CST_CORRECT,15650,15150.0,,,neither,
82,1,5095,TREND_CONTINUED,15800,16300.0,5118.0,5162.0,DB_first_then_safety,44.0
83,1,5357,TREND_CONTINUED,16650,17150.0,5407.0,5388.0,safety_first_then_DB,-19.0
84,-1,5558,CST_CORRECT,17550,17050.0,,,neither,
85,1,5588,TREND_CONTINUED,17750,18250.0,,,neither,
86,-1,5633,TREND_CONTINUED,17600,17100.0,5666.0,,DB_only,
87,1,5700,CST_CORRECT,17750,18250.0,,,neither,
89,1,5731,TREND_CONTINUED,17900,18400.0,5744.0,5792.0,DB_first_then_safety,48.0
90,-1,5826,TREND_CONTINUED,18300,17800.0,5858.0,5909.0,DB_first_then_safety,51.0
91,1,5974,CST_CORRECT,18050,18550.0,6028.0,,DB_only,
92,-1,6070,TREND_CONTINUED,17900,17400.0,6084.0,6088.0,DB_first_then_safety,4.0
93,1,6197,CST_CORRECT,17400,17900.0,,,neither,
94,-1,6217,TREND_CONTINUED,17050,16550.0,,,neither,
95,1,6234,TREND_CONTINUED,17200,17700.0,6275.0,,DB_only,
96,-1,6288,TREND_CONTINUED,17400,16900.0,6328.0,6340.0,DB_first_then_safety,12.0
97,1,6360,TREND_CONTINUED,16850,17350.0,6381.0,6457.0,DB_first_then_safety,76.0
98,-1,6514,CST_CORRECT,17700,17200.0,,,neither,
99,1,6539,TREND_CONTINUED,17950,18450.0,6587.0,,DB_only,
100,-1,6627,TREND_CONTINUED,18100,17600.0,6662.0,6652.0,safety_first_then_DB,-10.0
101,1,6725,TREND_CONTINUED,17350,17850.0,6741.0,,DB_only,
102,-1,6788,TREND_CONTINUED,17400,16900.0,,,neither,
103,1,6821,TREND_CONTINUED,17450,17950.0,,,neither,
104,-1,6838,TREND_CONTINUED,17350,16850.0,6851.0,6858.0,DB_first_then_safety,7.0
105,1,6872,CST_CORRECT,17300,17800.0,,,neither,
106,-1,6953,TREND_CONTINUED,16550,16050.0,,,neither,
107,1,6969,CST_CORRECT,16700,17200.0,,,neither,
108,-1,7020,TREND_CONTINUED,16200,15700.0,7033.0,7047.0,DB_first_then_safety,14.0
109,1,7064,TREND_CONTINUED,16250,16750.0,7096.0,7068.0,safety_first_then_DB,-28.0
110,-1,7215,CST_CORRECT,17050,16550.0,,,neither,
111,1,7242,TREND_CONTINUED,17350,17850.0,7268.0,7276.0,DB_first_then_safety,8.0
112,-1,7319,TREND_CONTINUED,17700,17200.0,7328.0,7380.0,DB_first_then_safety,52.0
113,1,7423,CST_CORRECT,17250,17750.0,,,neither,
114,-1,7452,CST_CORRECT,16950,16450.0,,,neither,
115,1,7495,TREND_CONTINUED,17250,17750.0,,,neither,
116,-1,7511,TREND_CONTINUED,17100,16600.0,7529.0,7549.0,DB_first_then_safety,20.0
117,1,7650,TREND_CONTINUED,16150,16650.0,,,neither,
118,-1,7674,CST_CORRECT,15950,15450.0,,,neither,
119,1,7684,TREND_CONTINUED,16150,16650.0,,,neither,
120,-1,7727,TREND_CONTINUED,16050,15550.0,,,neither,
121,1,7754,TREND_CONTINUED,16350,16850.0,7779.0,,DB_only,
122,-1,7841,TREND_CONTINUED,16450,15950.0,7876.0,7887.0,DB_first_then_safety,11.0
123,1,7974,CST_CORRECT,15600,16100.0,8020.0,,DB_only,
125,1,8101,TREND_CONTINUED,15950,16450.0,8125.0,,DB_only,
126,-1,8184,CST_CORRECT,15950,15450.0,8197.0,,DB_only,
127,1,8220,TREND_CONTINUED,16200,16700.0,8255.0,8264.0,DB_first_then_safety,9.0
128,-1,8294,CST_CORRECT,16500,16000.0,,,neither,
129,1,8323,TREND_CONTINUED,16800,17300.0,8366.0,8350.0,safety_first_then_DB,-16.0
130,-1,8505,TREND_CONTINUED,17800,17300.0,,,neither,
131,1,8552,CST_CORRECT,17700,18200.0,,,neither,
132,1,8598,CST_CORRECT,17600,18100.0,,,neither,
133,1,8681,TREND_CONTINUED,17900,18400.0,8697.0,,DB_only,
134,-1,8738,TREND_CONTINUED,17900,17400.0,,,neither,
135,1,8775,CST_CORRECT,17850,18350.0,,,neither,
136,-1,8804,TREND_CONTINUED,17600,17100.0,8814.0,8823.0,DB_first_then_safety,9.0
137,1,8886,TREND_CONTINUED,17150,17650.0,8905.0,,DB_only,
138,-1,8966,TREND_CONTINUED,17000,16500.0,,,neither,
139,1,8999,TREND_CONTINUED,17350,17850.0,9021.0,9111.0,DB_first_then_safety,90.0
140,-1,9204,TREND_CONTINUED,18050,17550.0,,,neither,
141,1,9222,TREND_CONTINUED,18350,18850.0,9253.0,,DB_only,
142,-1,9290,TREND_CONTINUED,18200,17700.0,9297.0,,DB_only,
143,1,9336,TREND_CONTINUED,18350,18850.0,9356.0,9397.0,DB_first_then_safety,41.0
144,-1,9416,TREND_CONTINUED,18650,18150.0,9441.0,,DB_only,
145,-1,9540,TREND_CONTINUED,18500,18000.0,9570.0,9605.0,DB_first_then_safety,35.0
146,1,9644,TREND_CONTINUED,18150,18650.0,9669.0,,DB_only,
147,-1,9723,TREND_CONTINUED,18050,17550.0,9741.0,,DB_only,
148,1,9754,CST_CORRECT,18100,18600.0,,,neither,
149,-1,9792,CST_CORRECT,17850,17350.0,,,neither,
150,1,9845,CST_CORRECT,18050,18550.0,,,neither,
151,-1,9907,TREND_CONTINUED,17900,17400.0,9938.0,,DB_only,
152,1,9960,TREND_CONTINUED,17800,18300.0,,,neither,
153,-1,10016,CST_CORRECT,17650,17150.0,,,neither,
154,1,10091,TREND_CONTINUED,17950,18450.0,10100.0,,DB_only,
155,-1,10122,TREND_CONTINUED,17900,17400.0,10135.0,10190.0,DB_first_then_safety,55.0
156,1,10247,TREND_CONTINUED,17550,18050.0,10280.0,,DB_only,
157,-1,10316,TREND_CONTINUED,17300,16800.0,10344.0,,DB_only,
158,-1,10437,CST_CORRECT,16950,16450.0,,,neither,
159,1,10486,TREND_CONTINUED,17300,17800.0,10503.0,10562.0,DB_first_then_safety,59.0
160,-1,10604,TREND_CONTINUED,17600,17100.0,10617.0,,DB_only,
161,1,10658,TREND_CONTINUED,17750,18250.0,10682.0,10747.0,DB_first_then_safety,65.0
162,-1,10762,CST_CORRECT,18050,17550.0,,,neither,
163,1,10778,CST_CORRECT,18250,18750.0,10831.0,,DB_only,
164,-1,10854,TREND_CONTINUED,18300,17800.0,10877.0,,DB_only,
165,1,10895,TREND_CONTINUED,18250,18750.0,,,neither,
166,-1,10940,CST_CORRECT,18200,17700.0,,,neither,
167,1,10946,TREND_CONTINUED,18400,18900.0,10999.0,,DB_only,
168,1,11061,CST_CORRECT,18700,19200.0,,,neither,
169,-1,11075,TREND_CONTINUED,18650,18150.0,,,neither,
170,1,11109,TREND_CONTINUED,18700,19200.0,11119.0,,DB_only,
171,-1,11168,CST_CORRECT,18650,18150.0,,,neither,
172,1,11180,CST_CORRECT,18850,19350.0,,,neither,
173,1,11248,TREND_CONTINUED,18900,19400.0,11289.0,11282.0,safety_first_then_DB,-7.0
174,-1,11335,CST_CORRECT,19300,18800.0,,,neither,
175,1,11377,TREND_CONTINUED,19550,20050.0,11401.0,,DB_only,
176,-1,11458,TREND_CONTINUED,19750,19250.0,11477.0,,DB_only,
177,-1,11522,TREND_CONTINUED,19650,19150.0,11562.0,,DB_only,
178,1,11597,TREND_CONTINUED,19550,20050.0,11605.0,,DB_only,
179,-1,11650,TREND_CONTINUED,19450,18950.0,11690.0,,DB_only,
180,1,11727,TREND_CONTINUED,19400,19900.0,11745.0,,DB_only,
181,-1,11763,CST_CORRECT,19400,18900.0,,,neither,
182,1,11807,CST_CORRECT,19450,19950.0,,,neither,
184,1,11850,TREND_CONTINUED,19450,19950.0,11866.0,11912.0,DB_first_then_safety,46.0
185,-1,11989,TREND_CONTINUED,19950,19450.0,12022.0,12101.0,DB_first_then_safety,79.0
186,1,12120,TREND_CONTINUED,19550,20050.0,,,neither,
187,1,12162,TREND_CONTINUED,19700,20200.0,12220.0,,DB_only,
188,-1,12245,TREND_CONTINUED,19650,19150.0,12275.0,12289.0,DB_first_then_safety,14.0
189,1,12331,TREND_CONTINUED,19100,19600.0,12377.0,12467.0,DB_first_then_safety,90.0
190,-1,12512,CST_CORRECT,19700,19200.0,,,neither,
191,1,12586,TREND_CONTINUED,19900,20400.0,12609.0,12623.0,DB_first_then_safety,14.0
192,-1,12721,CST_CORRECT,20800,20300.0,,,neither,
193,1,12729,TREND_CONTINUED,21150,21650.0,12773.0,,DB_only,
194,-1,12792,CST_CORRECT,21200,20700.0,,,neither,
195,1,12810,TREND_CONTINUED,21350,21850.0,12823.0,,DB_only,
196,-1,12900,CST_CORRECT,21550,21050.0,12967.0,,DB_only,
197,1,12992,TREND_CONTINUED,21800,22300.0,,,neither,
198,-1,13035,TREND_CONTINUED,21700,21200.0,13076.0,,DB_only,
199,-1,13086,CST_CORRECT,21350,20850.0,13113.0,,DB_only,
200,1,13125,TREND_CONTINUED,21600,22100.0,13148.0,13173.0,DB_first_then_safety,25.0
201,-1,13233,TREND_CONTINUED,21700,21200.0,13254.0,,DB_only,
202,1,13297,TREND_CONTINUED,21900,22400.0,13337.0,,DB_only,
203,-1,13355,CST_CORRECT,21950,21450.0,,,neither,
204,-1,13418,CST_CORRECT,21950,21450.0,,,neither,
205,1,13436,TREND_CONTINUED,22300,22800.0,13483.0,,DB_only,
206,-1,13532,TREND_CONTINUED,22150,21650.0,13554.0,,DB_only,
207,1,13607,TREND_CONTINUED,22050,22550.0,13624.0,13707.0,DB_first_then_safety,83.0
208,-1,13784,TREND_CONTINUED,22550,22050.0,13821.0,13822.0,DB_first_then_safety,1.0
209,1,13850,TREND_CONTINUED,22350,22850.0,13869.0,,DB_only,
210,-1,13947,TREND_CONTINUED,22500,22000.0,13969.0,14003.0,DB_first_then_safety,34.0
211,1,14041,TREND_CONTINUED,22200,22700.0,14073.0,14117.0,DB_first_then_safety,44.0
212,-1,14172,TREND_CONTINUED,22750,22250.0,,,neither,
213,-1,14225,CST_CORRECT,22100,21600.0,,,neither,
214,1,14249,TREND_CONTINUED,22750,23250.0,14292.0,14265.0,safety_first_then_DB,-27.0
215,1,14589,TREND_CONTINUED,24550,25050.0,14600.0,,DB_only,
216,-1,14635,TREND_CONTINUED,24550,24050.0,,,neither,
217,1,14696,TREND_CONTINUED,24800,25300.0,14720.0,,DB_only,
218,-1,14755,TREND_CONTINUED,24800,24300.0,14788.0,14765.0,safety_first_then_DB,-23.0
219,1,14829,TREND_CONTINUED,24350,24850.0,14837.0,14921.0,DB_first_then_safety,84.0
220,-1,15068,TREND_CONTINUED,25050,24550.0,,,neither,
221,1,15099,TREND_CONTINUED,25100,25600.0,15129.0,15181.0,DB_first_then_safety,52.0
222,-1,15279,TREND_CONTINUED,26000,25500.0,15301.0,15298.0,safety_first_then_DB,-3.0
223,1,15526,CST_CORRECT,24400,24900.0,,,neither,
224,-1,15577,CST_CORRECT,23950,23450.0,,,neither,
225,1,15601,TREND_CONTINUED,24400,24900.0,,,neither,
226,-1,15660,TREND_CONTINUED,24100,23600.0,15692.0,15674.0,safety_first_then_DB,-18.0
227,1,15709,CST_CORRECT,23750,24250.0,,,neither,
228,1,15739,TREND_CONTINUED,23700,24200.0,15776.0,15742.0,safety_first_then_DB,-34.0
229,-1,15790,CST_CORRECT,24000,23500.0,,,neither,
230,1,15825,TREND_CONTINUED,24400,24900.0,15853.0,,DB_only,
231,-1,15927,CST_CORRECT,24350,23850.0,,,neither,
232,1,15938,CST_CORRECT,24550,25050.0,,,neither,
233,-1,15958,TREND_CONTINUED,24400,23900.0,15996.0,15976.0,safety_first_then_DB,-20.0
234,1,16098,TREND_CONTINUED,23950,24450.0,,,neither,
235,-1,16125,TREND_CONTINUED,23700,23200.0,16147.0,16184.0,DB_first_then_safety,37.0
236,1,16355,TREND_CONTINUED,23200,23700.0,16370.0,,DB_only,
237,-1,16395,CST_CORRECT,23250,22750.0,,,neither,
238,1,16419,CST_CORRECT,23750,24250.0,,,neither,
239,-1,16461,TREND_CONTINUED,23350,22850.0,,16484.0,safety_only_VALUEADD,
241,-1,16524,TREND_CONTINUED,22800,22300.0,16591.0,16626.0,DB_first_then_safety,35.0
242,1,16671,TREND_CONTINUED,22350,22850.0,16686.0,16781.0,DB_first_then_safety,95.0
243,-1,16858,TREND_CONTINUED,23550,23050.0,16892.0,16925.0,DB_first_then_safety,33.0
244,1,16960,TREND_CONTINUED,22650,23150.0,16981.0,16990.0,DB_first_then_safety,9.0
245,-1,17087,CST_CORRECT,23950,23450.0,,,neither,
246,1,17102,TREND_CONTINUED,24250,24750.0,17149.0,,DB_only,
247,-1,17200,CST_CORRECT,24100,23600.0,,,neither,
248,1,17221,CST_CORRECT,24700,25200.0,,,neither,
250,1,17261,CST_CORRECT,25100,25600.0,,,neither,
251,-1,17322,CST_CORRECT,24700,24200.0,,,neither,
252,1,17343,CST_CORRECT,25050,25550.0,,,neither,
253,-1,17408,CST_CORRECT,24550,24050.0,,,neither,
254,1,17452,TREND_CONTINUED,24800,25300.0,17464.0,,DB_only,
255,-1,17521,TREND_CONTINUED,24850,24350.0,,,neither,
256,1,17544,TREND_CONTINUED,24950,25450.0,17594.0,17648.0,DB_first_then_safety,54.0
257,-1,17725,TREND_CONTINUED,25350,24850.0,17786.0,,DB_only,
258,1,17895,CST_CORRECT,25150,25650.0,,,neither,
259,-1,17917,TREND_CONTINUED,24900,24400.0,17934.0,,DB_only,
260,1,17975,CST_CORRECT,24900,25400.0,,,neither,
261,-1,17991,TREND_CONTINUED,24600,24100.0,18034.0,,DB_only,
262,1,18070,TREND_CONTINUED,24650,25150.0,18112.0,18157.0,DB_first_then_safety,45.0
263,-1,18168,TREND_CONTINUED,24950,24450.0,18190.0,18222.0,DB_first_then_safety,32.0
264,1,18264,TREND_CONTINUED,24750,25250.0,18320.0,18379.0,DB_first_then_safety,59.0
265,-1,18438,TREND_CONTINUED,25200,24700.0,18450.0,18481.0,DB_first_then_safety,31.0
266,1,18541,TREND_CONTINUED,24950,25450.0,18580.0,,DB_only,
267,1,18645,TREND_CONTINUED,25450,25950.0,18670.0,18682.0,DB_first_then_safety,12.0
268,-1,18706,CST_CORRECT,25750,25250.0,,,neither,
269,1,18742,CST_CORRECT,26100,26600.0,,,neither,
270,-1,18773,TREND_CONTINUED,25750,25250.0,18799.0,,DB_only,
271,1,18856,CST_CORRECT,25650,26150.0,18867.0,,DB_only,
272,-1,18887,CST_CORRECT,25750,25250.0,,,neither,
273,1,18928,TREND_CONTINUED,26050,26550.0,,,neither,
274,-1,18968,CST_CORRECT,25950,25450.0,,,neither,
275,1,18989,TREND_CONTINUED,26150,26650.0,,,neither,
276,-1,19036,TREND_CONTINUED,26050,25550.0,,,neither,
277,1,19078,CST_CORRECT,26150,26650.0,,,neither,
278,-1,19096,TREND_CONTINUED,25950,25450.0,19117.0,,DB_only,
279,1,19147,CST_CORRECT,26000,26500.0,,,neither,
280,-1,19185,CST_CORRECT,25800,25300.0,,,neither,
281,1,19218,TREND_CONTINUED,26150,26650.0,19237.0,,DB_only,
282,-1,19273,CST_CORRECT,26050,25550.0,19286.0,,DB_only,
283,1,19301,TREND_CONTINUED,26100,26600.0,19323.0,,DB_only,
284,-1,19356,TREND_CONTINUED,26150,25650.0,19365.0,19394.0,DB_first_then_safety,29.0
285,1,19440,CST_CORRECT,25750,26250.0,,,neither,
286,-1,19466,TREND_CONTINUED,25450,24950.0,,19478.0,safety_only_VALUEADD,
287,1,19491,CST_CORRECT,25400,25900.0,19551.0,,DB_only,
288,-1,19700,CST_CORRECT,25550,25050.0,,,neither,
289,1,19730,CST_CORRECT,25750,26250.0,,,neither,
290,-1,19761,CST_CORRECT,25450,24950.0,,,neither,
291,-1,19830,TREND_CONTINUED,25300,24800.0,19845.0,19839.0,safety_first_then_DB,-6.0
292,1,19980,TREND_CONTINUED,23600,24100.0,,,neither,
293,-1,20006,TREND_CONTINUED,23200,22700.0,20025.0,20021.0,safety_first_then_DB,-4.0
294,1,20051,CST_CORRECT,23250,23750.0,,,neither,
295,-1,20072,TREND_CONTINUED,22800,22300.0,,20084.0,safety_only_VALUEADD,
296,1,20090,CST_CORRECT,22850,23350.0,,,neither,
297,-1,20104,CST_CORRECT,22250,21750.0,,,neither,
298,1,20124,TREND_CONTINUED,22850,23350.0,20166.0,20138.0,safety_first_then_DB,-28.0
299,1,20223,TREND_CONTINUED,24300,24800.0,20244.0,,DB_only,
300,-1,20282,TREND_CONTINUED,24000,23500.0,,,neither,
301,1,20325,CST_CORRECT,24150,24650.0,,,neither,
