label,axis,slots,slot_pct,select,idle,cost_bps,rot_score,rot_margin,rot_max_per_day,rot_entrant,trim_mult,trim_when,min_fill_frac,seeds,cagr_med,cagr_min,cagr_max,maxdd_med,maxdd_worst,calmar_med,calmar_min,cagr_med,maxdd_med,calmar_med,sharpe_med,trades_med,trades_per_yr_med,win_rate_med,avg_win_med,avg_loss_med,expectancy_med,max_loss_streak_med,invested_pct_med,w1_cagr_med,w1_dd_med,w2_cagr_med,w2_dd_med,days_signal_med,days_bind_med,days_full_med,turned_away_med,cash_refused_med,entries_taken_med,swaps_med,swap_attempts_med,swaps_per_yr_med,trims_med,trims_per_yr_med,trim_notional_med,partial_fills_med,tax_paid_med,tax_st_med,tax_lt_med,turnover_x_med,pos_rs_med_med,cap_pct_med_med,cap_pct_p95_med,cap_over1pct_med,profit_total_med,top10_share_med,top10_share_all_med,mult_all_med,mult_drop10_med,med_seed,secs
A_held_m160,A,16,0.0625,random,0.052,25.0,held,160.0,1,tv,0.0,month,0.0,10,19.24,18.16,19.83,-35.62,-36.95,0.54,0.492,19.24,-35.62,0.54,1.106,775.5,35.75,47.2,34.72,-11.65,10.23,17.5,72.77,16.245,-35.62,22.285,-33.89,1880.0,573.5,46.0,1138.0,1775.5,775.5,70.5,2863.5,3.25,0.0,0.0,0.0,0.0,6914017.5,6907853.5,6451.5,2.689,426671.0,0.351,3.758,25.5,49623069.0,42.95,42.95,2.0425491169752908e+19,326145169948672.0,2,1.9
A_held_m320,A,16,0.0625,random,0.052,25.0,held,320.0,1,tv,0.0,month,0.0,10,21.37,20.38,21.62,-35.16,-37.69,0.615,0.554,21.37,-35.16,0.615,1.209,695.5,32.05,48.95,37.485,-11.725,12.478,15.0,72.685,19.31,-32.74,23.53,-35.16,1880.0,474.0,41.0,979.0,1953.5,695.5,7.0,2924.5,0.32,0.0,0.0,0.0,0.0,8945289.0,7927464.0,996447.5,2.49,551345.0,0.43,4.774,33.25,72692004.0,39.45,39.45,2.3138748976741325e+21,1.876279870829363e+16,10,1.9
A_null_p005,A_null,16,0.0625,random,0.052,25.0,rand,0.05,1,tv,0.0,month,0.0,10,21.81,19.12,22.99,-35.965,-37.5,0.603,0.521,21.81,-35.965,0.603,1.192,818.5,37.75,49.6,32.645,-11.52,10.66,15.0,72.94,18.605,-33.94,24.98,-35.965,1880.0,579.0,66.5,1245.5,1699.0,818.5,145.5,2781.5,6.71,0.0,0.0,0.0,0.0,9363331.0,8409795.5,629991.0,3.211,572678.5,0.5,5.598,35.8,78649917.0,41.05,41.05,2.6326105466393267e+21,2.059016394820813e+16,5,1.8
A_null_p015,A_null,16,0.0625,random,0.052,25.0,rand,0.15,1,tv,0.0,month,0.0,10,18.87,16.21,21.53,-36.74,-41.18,0.508,0.399,18.87,-36.74,0.508,1.062,1070.0,49.3,49.85,25.83,-11.08,7.123,17.0,73.065,17.785,-35.86,19.87,-36.31,1880.0,705.0,176.5,1540.0,1392.5,1070.0,387.0,2511.5,17.85,0.0,0.0,0.0,0.0,6833693.5,6642048.0,162308.5,4.461,570609.5,0.469,4.418,32.75,46798437.5,39.3,39.3,2.7462106102775153e+18,52413050388480.0,10,1.8
A_null_p035,A_null,16,0.0625,random,0.052,25.0,rand,0.35,1,tv,0.0,month,0.0,10,17.525,15.12,18.82,-36.345,-41.35,0.478,0.399,17.525,-36.345,0.478,0.995,1416.0,65.3,50.15,20.105,-10.145,5.012,15.0,73.31,17.4,-33.855,17.275,-35.24,1880.0,795.5,275.0,1744.0,1211.5,1416.0,752.5,2133.0,34.695,0.0,0.0,0.0,0.0,5802822.5,5656748.0,126645.0,5.972,605329.5,0.397,3.42,27.1,36796590.0,34.15,34.15,5.296630012470886e+16,2739509788672.0,9,1.9
B1_trimM_k150,B,16,0.0625,random,0.052,25.0,,0.0,1,tv,1.5,month,0.0,10,21.0,19.21,21.95,-33.53,-34.77,0.626,0.552,21.0,-33.53,0.626,1.198,718.0,33.15,48.85,36.635,-11.71,12.126,14.0,72.585,18.205,-33.525,23.855,-31.605,1880.0,718.0,146.0,1479.0,1421.0,718.0,0.0,0.0,0.0,70.0,3.23,47859122.0,0.0,8146302.5,7353190.5,917044.5,2.587,509279.5,0.399,3.924,30.6,44731226.5,44.55,28.95,2.528693433306217e+21,1.901269815918592e+16,2,1.2
B1_trimM_k200,B,16,0.0625,random,0.052,25.0,,0.0,1,tv,2.0,month,0.0,10,20.595,19.54,21.41,-35.68,-38.02,0.582,0.514,20.595,-35.68,0.582,1.18,695.0,32.05,48.6,37.22,-11.61,12.059,14.0,72.765,18.83,-32.59,22.445,-35.68,1880.0,515.5,65.0,1041.0,1885.5,695.0,0.0,0.0,0.0,9.0,0.42,9309498.5,0.0,7879694.0,6798343.5,1051703.5,2.475,518236.0,0.406,4.474,31.3,57265383.5,38.15,35.25,4.061136445105064e+20,3493519687680000.0,2,1.2
B1_trimM_k300,B,16,0.0625,random,0.052,25.0,,0.0,1,tv,3.0,month,0.0,10,20.93,20.01,21.53,-32.65,-36.0,0.623,0.556,20.93,-32.65,0.623,1.191,689.5,31.8,49.0,36.72,-11.59,12.2,14.0,72.925,19.08,-32.59,22.675,-32.515,1880.0,474.5,41.0,1000.5,1933.0,689.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8570553.5,7570234.0,1005116.0,2.491,552058.0,0.427,4.75,32.95,67311111.5,36.7,36.7,9.083588044983055e+20,8376161184776192.0,6,1.2
B2_trimD_k150,B,16,0.0625,random,0.052,25.0,,0.0,1,tv,1.5,demand,0.0,10,21.71,20.59,22.83,-34.75,-38.83,0.633,0.566,21.71,-34.75,0.633,1.238,719.5,33.2,48.9,37.505,-11.83,12.448,14.0,73.08,18.78,-33.64,24.655,-32.27,1880.0,806.0,213.0,1679.5,1220.0,719.5,0.0,0.0,0.0,82.0,3.785,62381744.0,0.0,9704870.0,8589709.5,1029697.5,2.622,532960.0,0.415,4.912,32.85,49767162.0,43.95,27.85,6.045764433021208e+21,4.051408720075162e+16,2,1.3
B2_trimD_k200,B,16,0.0625,random,0.052,25.0,,0.0,1,tv,2.0,demand,0.0,10,21.395,20.73,22.04,-33.81,-35.8,0.635,0.591,21.395,-33.81,0.635,1.208,696.0,32.1,48.95,36.775,-11.615,12.2,13.0,72.92,19.17,-33.81,24.075,-33.29,1880.0,551.5,67.5,1115.0,1809.0,696.0,0.0,0.0,0.0,16.0,0.74,21809064.0,0.0,8786512.5,7655040.0,1081015.0,2.477,544944.5,0.423,4.966,32.75,60409101.0,37.85,31.95,1.6728002626450107e+21,1.4967727756148736e+16,2,1.4
B3_fill_f025,B,16,0.0625,random,0.052,25.0,,0.0,1,tv,0.0,month,0.25,10,21.375,20.64,22.41,-34.185,-38.29,0.611,0.539,21.375,-34.185,0.611,1.194,743.5,34.3,48.85,36.76,-11.66,12.032,14.0,74.385,18.855,-33.41,24.02,-34.185,1880.0,1109.5,808.0,2384.5,485.5,743.5,0.0,0.0,0.0,0.0,0.0,0.0,168.0,8348198.5,7074461.0,1307973.0,2.474,511958.5,0.39,4.744,30.95,72523630.0,36.1,36.1,1.1642041194258192e+22,6.588521493246771e+16,5,1.1
B3_fill_f050,B,16,0.0625,random,0.052,25.0,,0.0,1,tv,0.0,month,0.5,10,20.575,20.18,21.36,-36.68,-38.16,0.558,0.538,20.575,-36.68,0.558,1.157,725.5,33.45,49.2,36.065,-11.785,11.791,14.0,74.26,18.72,-33.45,22.445,-36.68,1880.0,875.5,337.5,1820.0,1072.5,725.5,0.0,0.0,0.0,0.0,0.0,0.0,128.0,7555489.0,6182514.5,1234518.0,2.473,510485.0,0.389,4.444,31.15,62989914.0,36.55,36.55,1.535246150723164e+21,1.276266711875584e+16,8,1.1
B3_fill_f075,B,16,0.0625,random,0.052,25.0,,0.0,1,tv,0.0,month,0.75,10,20.495,19.13,21.55,-37.015,-38.13,0.546,0.513,20.495,-37.015,0.546,1.152,710.5,32.75,48.55,36.46,-11.71,11.74,14.0,73.69,18.915,-32.61,21.955,-37.015,1880.0,692.5,148.0,1417.5,1488.5,710.5,0.0,0.0,0.0,0.0,0.0,0.0,75.0,7473139.0,6268001.0,985431.5,2.503,525583.5,0.421,4.581,32.1,61775146.5,36.85,36.85,2.806054301388526e+20,2382119053557760.0,10,1.1
