label,axis,rot_score,rot_margin,trim_mult,trim_when,min_fill,cagr,cagr_worst,maxdd,calmar,invested,streak,tr_yr,swaps_yr,trims_yr,cash_refused,slot_refused,entries,tax,turnover,w1_cagr,w1_dd,w2_cagr,w2_dd,w1_w2_drop,robust_w2,cagr_wins,cagr_delta,calmar_wins,calmar_delta,w1_wins,w2_wins,top10,top10_all,cap_med,cap_p95,cap_over1,pos_rs
A_held_m040,A,held,40.0,0.0,month,0.0,16.505,15.84,-41.37,0.4,73.11,20.0,66.3,34.145,0.0,1021.5,1897.5,1438.0,4749737.5,5.257,16.37,-35.72,16.435000000000002,-41.37,-0.07,True,0,-4.56,0,-0.218,0,0,30.1,30.1,0.259,2.536,19.75,432642.5
A_held_m080,A,held,80.0,0.0,month,0.0,18.47,17.7,-36.39,0.502,72.29,17.0,47.5,14.48,0.0,1295.5,1605.5,1030.0,6477105.0,3.615,15.925,-34.665,21.155,-36.39,-5.23,True,0,-2.55,0,-0.11,0,3,41.3,41.3,0.295,3.184,23.3,431213.0
A_held_m160,A,held,160.0,0.0,month,0.0,19.135,17.79,-35.62,0.537,72.74,17.0,35.8,3.23,0.0,1775.0,1134.5,776.0,6592973.0,2.689,16.22,-35.62,21.94,-33.835,-5.72,True,0,-2.06,0,-0.079,0,7,43.05,43.05,0.354,3.744,25.25,422516.0
A_held_m320,A,held,320.0,0.0,month,0.0,21.24,20.38,-33.815,0.621,72.7,15.0,32.0,0.32,0.0,1957.0,975.5,694.0,8693678.5,2.484,19.31,-32.74,23.35,-33.7,-4.04,True,22,0.34,18,0.009,30,20,39.35,39.35,0.435,4.794,33.3,552081.0
A_null_p005,A_null,rand,0.05,0.0,month,0.0,20.575,17.51,-35.735,0.575,72.935,14.5,37.9,6.5,0.0,1738.0,1208.0,821.5,8159092.0,3.183,18.205,-33.435,22.615000000000002,-35.045,-4.41,True,13,-0.19,11,-0.03,5,16,39.8,39.8,0.463,5.059,34.0,557392.0
A_null_p015,A_null,rand,0.15,0.0,month,0.0,19.49,16.21,-35.855,0.544,73.155,16.0,48.6,17.405,0.0,1406.0,1528.0,1054.0,7729764.5,4.471,17.96,-34.145,21.105,-34.495,-3.14,True,6,-1.62,5,-0.067,7,10,37.35,37.35,0.492,4.827,33.9,602944.0
A_null_p035,A_null,rand,0.35,0.0,month,0.0,17.81,13.38,-36.485,0.48,73.285,15.5,65.0,34.215,0.0,1224.0,1728.0,1409.5,5925199.5,6.062,16.935000000000002,-33.975,18.265,-36.03,-1.33,True,0,-3.25,0,-0.125,1,1,35.85,35.85,0.398,3.604,27.65,598305.0
B1_trimM_k150,B,,0.0,1.5,month,0.0,20.96,19.12,-33.53,0.625,72.585,14.0,33.1,0.0,3.23,1432.5,1467.5,717.0,8050545.0,2.584,18.240000000000002,-33.52,23.740000000000002,-31.22,-5.5,True,13,-0.2,15,-0.002,0,23,45.0,29.3,0.398,3.972,30.7,509579.0
B1_trimM_k200,B,,0.0,2.0,month,0.0,20.475,19.47,-34.905,0.593,72.765,14.0,32.05,0.0,0.42,1883.0,1043.0,695.5,7674612.0,2.479,18.83,-32.615,22.115000000000002,-34.905,-3.29,True,6,-0.55,9,-0.029,0,11,39.2,36.0,0.406,4.359,31.5,521838.0
B1_trimM_k300,B,,0.0,3.0,month,0.0,20.975,20.01,-34.045,0.613,72.91,14.0,31.8,0.0,0.0,1953.0,978.5,689.0,8466719.5,2.479,19.025,-32.615,22.85,-33.980000000000004,-3.83,True,1,0.0,1,0.0,0,1,36.8,36.8,0.429,4.772,33.1,548749.0
B2_trimD_k150,B,,0.0,1.5,demand,0.0,21.595,20.36,-34.35,0.629,73.035,14.0,33.2,0.0,3.78,1223.5,1673.0,720.0,9391322.0,2.618,18.564999999999998,-33.08,24.545,-32.12,-5.98,True,21,0.46,19,0.019,5,23,45.0,28.8,0.418,4.68,32.35,530991.5
B2_trimD_k200,B,,0.0,2.0,demand,0.0,21.33,20.25,-33.81,0.623,72.91,14.0,32.1,0.0,0.74,1809.0,1115.0,697.0,8786512.5,2.497,18.99,-33.775000000000006,23.745,-32.93,-4.76,True,22,0.27,20,0.006,13,23,38.1,31.9,0.422,4.973,32.8,534793.0
B3_fill_f025,B,,0.0,0.0,month,0.25,21.11,20.09,-34.26,0.615,74.395,14.0,34.4,0.0,0.0,496.0,2378.0,746.0,8146569.5,2.485,18.855,-33.41,23.270000000000003,-34.26,-4.42,True,17,0.19,10,-0.011,4,19,36.2,36.2,0.389,4.66,30.85,517526.0
B3_fill_f050,B,,0.0,0.0,month,0.5,20.675,20.1,-36.64,0.567,74.23,14.0,33.5,0.0,0.0,980.5,1911.0,726.0,7761683.0,2.493,18.71,-33.455,22.64,-36.64,-3.93,True,10,-0.26,3,-0.04,1,12,35.8,35.8,0.397,4.583,31.35,512471.0
B3_fill_f075,B,,0.0,0.0,month,0.75,20.715,19.13,-38.01,0.557,73.715,14.0,32.8,0.0,0.0,1479.0,1422.5,711.0,7843334.0,2.506,18.91,-32.62,22.4,-38.01,-3.49,True,10,-0.28,5,-0.062,2,11,37.9,37.9,0.422,4.726,32.5,524126.0
X_plat_unre_m002,X,unreal,2.5,0.0,month,0.0,19.945,18.71,-39.56,0.504,73.12,20.0,49.25,19.83,0.0,2121.0,857.0,1068.5,6899378.0,4.189,19.49,-33.53,20.27,-39.56,-0.78,True,1,-1.15,0,-0.121,30,0,48.0,48.0,0.407,4.464,30.9,596533.5
X_plat_unre_m007,X,unreal,7.5,0.0,month,0.0,21.4,20.47,-35.61,0.601,72.905,16.0,36.1,6.32,0.0,1993.0,979.5,783.0,9453099.5,2.911,21.39,-32.12,21.28,-35.61,0.11,True,22,0.51,10,-0.019,30,2,36.0,36.0,0.482,5.806,37.05,691789.0
X_plat_unre_m012,X,unreal,12.5,0.0,month,0.0,21.675,20.31,-33.74,0.641,73.105,16.0,32.8,2.375,0.0,1918.5,1043.0,712.0,9501644.0,2.561,19.0,-31.76,24.335,-33.74,-5.34,True,24,0.71,19,0.013,20,24,37.7,37.7,0.406,5.185,32.3,553532.0
X_plat_unre_m015,X,unreal,15.0,0.0,month,0.0,20.355,19.51,-33.03,0.609,73.01,15.0,32.4,1.01,0.0,1954.5,986.0,702.0,7348094.0,2.491,18.41,-32.980000000000004,22.15,-32.99,-3.74,True,5,-0.79,10,-0.021,0,10,37.8,37.8,0.402,4.281,30.4,527724.0
X_plat_cush_m007,X,cushion,7.5,0.0,month,0.0,24.08,23.41,-43.82,0.55,75.41,13.0,77.3,56.67,0.0,1482.0,1693.0,1676.0,19045892.0,7.813,21.06,-43.82,27.155,-37.13,-6.1,True,30,3.05,0,-0.066,30,30,46.1,46.1,0.784,9.078,45.3,814110.0
X_plat_cush_m015,X,cushion,15.0,0.0,month,0.0,22.91,21.67,-42.9,0.53,74.62,14.0,56.8,33.57,0.0,1504.5,1610.0,1231.5,15136243.5,5.413,22.645,-42.32,23.19,-42.9,-0.55,True,30,2.04,0,-0.091,30,18,48.5,48.5,1.063,9.808,51.35,888606.0
X_plat_cush_m020,X,cushion,20.0,0.0,month,0.0,20.105,19.3,-44.09,0.458,74.3,18.5,46.9,22.02,0.0,1727.5,1351.5,1017.0,10372300.0,4.184,21.585,-42.43,18.445,-44.09,3.14,True,4,-0.74,0,-0.155,30,0,50.75,50.75,0.877,8.084,47.3,866163.0
X_plat_rs_m015,X,rs,15.0,0.0,month,0.0,22.76,22.53,-41.32,0.553,72.78,16.0,57.8,27.575,0.0,1947.5,1015.0,1254.0,13499655.5,5.426,19.8,-38.1,25.695,-41.32,-5.89,True,30,1.79,1,-0.062,30,30,44.95,44.95,0.659,8.851,42.05,684921.0
X_plat_rs_m035,X,rs,35.0,0.0,month,0.0,22.96,22.45,-41.31,0.556,72.76,16.0,52.3,21.81,0.0,1943.0,1015.0,1134.5,13039165.0,4.934,19.35,-32.87,26.515,-41.31,-7.16,True,30,1.82,1,-0.058,30,30,45.8,45.8,0.655,9.058,42.2,708878.0
X_trimM_k125,X,,0.0,1.25,month,0.0,19.625,18.29,-33.15,0.595,72.335,14.0,33.9,0.0,7.93,919.0,1962.0,735.0,6284978.5,2.631,16.98,-33.01,22.25,-31.064999999999998,-5.27,True,0,-1.39,11,-0.021,0,11,44.4,25.65,0.328,3.269,25.0,432190.5
X_trimM_k175,X,,0.0,1.75,month,0.0,21.055,19.74,-34.09,0.613,72.735,14.0,32.45,0.0,1.2,1710.5,1205.5,703.5,8643994.5,2.546,19.130000000000003,-33.83,22.975,-34.09,-3.84,True,18,0.18,13,-0.017,24,18,40.0,31.6,0.425,4.407,32.8,538830.0
X_trimM_k250,X,,0.0,2.5,month,0.0,21.135,20.27,-32.64,0.646,72.93,14.0,31.8,0.0,0.14,1917.0,1014.0,689.5,8761511.5,2.488,19.215,-32.615,22.985,-31.735,-3.77,True,17,0.1,19,0.011,30,16,37.2,36.3,0.426,4.936,33.45,570004.5
C_none000_k150d_f025,C,,0.0,1.5,demand,0.25,22.05,20.96,-35.595,0.617,74.45,14.0,34.9,0.0,2.65,67.5,2796.0,756.5,9830337.5,2.615,19.36,-35.120000000000005,24.61,-33.864999999999995,-5.25,True,30,0.97,17,0.006,29,28,39.95,28.6,0.431,4.858,32.55,537021.0
C_none000_k200d_f025,C,,0.0,2.0,demand,0.25,21.95,20.58,-35.51,0.611,74.35,14.0,34.5,0.0,0.55,298.0,2570.0,748.5,9445598.5,2.53,18.88,-34.97,24.735,-34.915,-5.86,True,23,0.69,14,-0.011,9,26,36.05,32.8,0.416,4.809,32.25,525472.5
C_unre010_k150d_f000,C,unreal,10.0,1.5,demand,0.0,22.755,21.53,-34.36,0.641,73.51,15.0,36.9,4.865,3.945,1246.5,1679.5,801.0,12033675.0,2.956,21.06,-33.775000000000006,24.11,-34.095,-3.05,True,30,1.61,22,0.029,30,26,47.05,28.75,0.469,6.501,36.2,652381.5
C_unre010_k000m_f025,C,unreal,10.0,0.0,month,0.25,21.875,20.66,-35.2,0.631,74.8,15.0,37.4,4.61,0.0,481.0,2423.0,812.0,9631800.0,2.765,19.78,-33.14,23.935000000000002,-35.2,-4.16,True,27,0.9,21,0.021,30,24,42.8,42.8,0.414,5.434,32.9,573788.5
C_unre010_k150d_f025,C,unreal,10.0,1.5,demand,0.25,22.545,21.66,-36.0,0.625,74.93,15.0,38.35,4.89,2.67,75.0,2818.5,831.0,11129614.5,2.907,20.8,-35.3,24.525,-35.91,-3.72,True,30,1.42,17,0.008,30,26,41.45,29.7,0.464,5.723,35.1,602516.5
X_max3_unre_m010,X,unreal,10.0,0.0,month,0.0,22.345,20.61,-37.29,0.599,73.19,15.0,34.4,4.33,0.0,1945.5,1019.5,746.0,10121235.5,2.74,20.485,-31.79,24.255,-37.29,-3.77,True,29,1.28,12,-0.017,30,23,42.25,42.25,0.476,6.276,35.65,619555.0
