symbol,trigger_date,entry_date,entry_i,x_bars,depth_pct,tv20_cr,ext_pct,rs252,entry_open,prev_ath
KSCL,2015-03-19,2015-03-20,2536,123,28.35,11.83,2.7242492419055298,76.63349914550781,1050.15,1022.3
WELSPUNLIV,2015-04-10,2015-04-13,2550,93,20.85,3.76,1.9508487458829604,311.3753662109375,40.24,39.47
MARKSANS,2015-04-13,2015-04-15,2551,66,25.43,13.77,4.755043227665712,203.14466857910156,72.7,69.4
JBCHEPHARM,2015-04-15,2015-04-16,2552,142,24.09,3.91,9.15934755332497,116.48626708984375,130.5,119.55
NILKAMAL,2015-05-15,2015-05-18,2573,104,22.73,3.71,5.5600241303036535,139.14041137695312,524.95,497.3
BBTC,2015-05-28,2015-05-29,2582,116,31.86,4.13,0.8262080891536128,408.38995361328125,524.75,520.45
COALINDIA,2015-06-30,2015-07-01,2605,257,20.28,160.7,0.5100136832939528,5.197179317474365,404.0,401.95
VAKRANGEE,2015-07-07,2015-07-08,2610,148,34.3,9.32,2.8295376121463045,20.047176361083984,74.5,72.45
SURYAROSNI,2015-07-08,2015-07-09,2611,114,22.09,2.05,4.179104477611939,44.49064636230469,34.9,33.5
FORTIS,2015-07-14,2015-07-15,2615,1318,55.33,18.4,2.2064832470716222,53.41563415527344,187.6,183.55
MANALIPETC,2015-07-16,2015-07-17,2617,1853,77.61,2.88,0.917431192660545,111.9691162109375,27.5,27.25
SAREGAMA,2015-07-16,2015-07-17,2617,1853,90.0,3.36,3.6619718309859106,249.99996948242188,36.8,35.5
ASHOKA,2015-07-17,2015-07-20,2618,67,22.68,4.09,0.4348839015298589,34.994293212890625,129.33,128.77
ZEEL,2015-07-22,2015-07-23,2621,163,23.56,64.81,3.8470511989630474,41.87444305419922,400.59,385.75
CCL,2015-07-23,2015-07-24,2622,71,20.91,3.89,10.930610350429347,237.28811645507812,239.0,215.45
GRANULES,2015-07-23,2015-07-24,2622,68,22.58,37.52,3.8883349950149526,81.78596496582031,104.2,100.3
IOC,2015-07-23,2015-07-24,2622,1190,71.39,65.16,2.002107481559534,44.42222213745117,58.08,56.94
TATAELXSI,2015-07-24,2015-07-27,2623,96,30.28,57.52,9.425181974773578,169.35182189941406,787.73,719.88
INDRAMEDCO,2015-07-27,2015-07-28,2624,126,30.33,2.74,3.0550179706939407,70.84785461425781,74.55,72.34
HIMATSEIDE,2015-07-28,2015-07-29,2625,2299,88.91,11.29,0.9442583003350435,112.39564514160156,165.7,164.15
IGL,2015-07-30,2015-07-31,2627,129,20.71,19.75,1.1506276150627714,28.975736618041992,48.35,47.8
INTELLECT,2015-07-31,2015-08-03,2628,78,28.32,5.98,2.3313239886701975,-1000000000.0,140.9,137.69
LICHSGFIN,2015-07-31,2015-08-03,2628,127,21.22,110.72,0.4503582395086969,65.13545227050781,490.7,488.5
BEL,2015-08-03,2015-08-04,2629,113,25.4,48.99,3.8413878562577386,126.35870361328125,41.9,40.35
MRF,2015-08-03,2015-08-04,2629,105,24.66,29.88,0.9762050030506453,83.331787109375,42699.0,42286.2
NBCC,2015-08-03,2015-08-04,2629,102,33.23,48.7,0.12725344644750614,129.53770446777344,47.21,47.15
CEATLTD,2015-08-04,2015-08-05,2630,181,38.06,57.78,1.7609364750996503,60.51660919189453,1008.4,990.95
ASIANPAINT,2015-08-05,2015-08-06,2631,129,23.26,98.79,1.0711343037627108,53.0289306640625,920.0,910.25
PENIND,2015-08-05,2015-08-06,2631,135,32.98,3.41,3.2061068702289974,66.75031280517578,67.6,65.5
STYRENIX,2015-08-05,2015-08-06,2631,815,59.33,2.13,6.111802715039416,65.54071807861328,895.0,843.45
CIPLA,2015-08-14,2015-08-17,2638,111,22.33,84.1,0.736984448952005,67.78585052490234,744.95,739.5
ATUL,2015-08-19,2015-08-20,2641,220,26.99,3.98,2.890571231933925,22.21904945373535,1495.0,1453.0
NECLIFE,2015-08-19,2015-08-20,2641,227,36.36,3.79,8.974358974358987,73.98524475097656,46.75,42.9
TVTODAY,2015-09-30,2015-10-01,2669,222,34.16,3.95,10.403146509341198,24.021625518798828,280.7,254.25
LUPIN,2015-10-01,2015-10-05,2670,123,23.06,177.0,1.0470453241537614,50.54075622558594,2113.5,2091.6
APOLLOHOSP,2015-10-05,2015-10-06,2671,137,21.63,23.6,2.343130836290963,29.446006774902344,1485.05,1451.05
TAKE,2015-10-05,2015-10-06,2671,146,46.15,4.95,1.6819120684567812,301.869140625,172.3,169.45
JUBLPHARMA,2015-10-06,2015-10-07,2672,1297,82.09,36.8,5.198344075879047,135.22625732421875,401.5,381.66
KAJARIACER,2015-10-15,2015-10-16,2679,95,23.65,8.26,2.671216756883976,31.309627532958984,436.25,424.9
BLUEDART,2015-10-23,2015-10-26,2684,187,27.04,2.78,1.472746296747185,50.603759765625,7709.95,7598.05
CAMLINFINE,2015-11-02,2015-11-03,2690,86,28.2,4.57,1.3548057259713753,-1000000000.0,118.95,117.36
PCJEWELLER,2015-11-03,2015-11-04,2691,62,33.42,11.76,0.917431192660545,94.83049774169922,23.1,22.89
RAMCOCEM,2015-11-03,2015-11-04,2691,186,23.42,4.02,1.338432122370925,17.881011962890625,371.0,366.1
WONDERLA,2015-11-13,2015-11-16,2698,197,28.82,2.93,5.1330336532620535,15.941059112548828,346.14,329.24
ZEEMEDIA,2015-11-13,2015-11-16,2698,248,34.75,3.14,8.47457627118644,19.158876419067383,25.6,23.6
PETRONET,2015-11-20,2015-11-23,2703,214,23.08,15.18,1.548451548451557,11.716175079345703,101.65,100.1
VAKRANGEE,2015-11-24,2015-11-26,2705,76,46.59,29.7,1.8067276833472201,25.591718673706055,85.65,84.13
NATCOPHARM,2015-11-26,2015-11-27,2706,158,29.36,6.01,5.544422177688713,95.48182678222656,553.0,523.95
MOREPENLAB,2015-12-07,2015-12-08,2713,1961,93.46,21.44,2.1495327102803774,234.35894775390625,32.79,32.1
JAMNAAUTO,2015-12-17,2015-12-18,2721,145,27.45,12.2,3.362341772151889,73.90719604492188,26.13,25.28
SONATSOFTW,2015-12-17,2015-12-18,2721,173,28.49,4.74,0.4451038575667532,34.35642623901367,67.7,67.4
TATAELXSI,2015-12-17,2015-12-18,2721,80,22.9,139.86,1.859447634673228,270.4422607421875,1117.5,1097.1
BERGEPAINT,2015-12-22,2015-12-23,2724,234,29.22,8.16,3.571428571428581,29.727386474609375,150.8,145.6
ADANIENSOL,2016-01-01,2016-01-04,2731,92,36.46,4.94,-0.8536585365853666,-1000000000.0,40.65,41.0
KSL,2016-01-05,2016-01-06,2733,288,39.4,2.28,4.674739509997172,19.676898956298828,185.85,177.55
SURYAROSNI,2016-01-05,2016-01-06,2733,101,28.13,2.74,13.810741687979533,68.26922607421875,44.5,39.1
SUPREMEIND,2016-01-29,2016-02-01,2750,200,21.36,3.6,1.3123002651798332,27.693510055541992,745.0,735.35
WELSPUNLIV,2016-03-11,2016-03-14,2779,150,25.56,6.84,3.919491525423724,181.08575439453125,98.1,94.4
BODALCHEM,2016-03-30,2016-03-31,2790,401,64.98,3.52,1.5765114260919866,120.73674011230469,70.23,69.14
TVSMOTOR,2016-03-30,2016-03-31,2790,295,32.75,43.29,0.8777409883176102,20.483970642089844,322.95,320.14
HINDZINC,2016-04-04,2016-04-05,2793,277,33.95,17.06,1.6720604099244918,17.80906867980957,188.5,185.4
HAVELLS,2016-04-08,2016-04-11,2797,329,26.69,37.1,1.2642876633417233,9.11923599243164,334.0,329.83
HEIDELBERG,2016-04-08,2016-04-11,2797,370,35.07,2.02,4.282280970067709,32.508052825927734,95.46,91.54
BIOCON,2016-04-11,2016-04-12,2798,433,25.65,8.9,1.3237727523441656,14.600383758544922,91.85,90.65
ATUL,2016-04-18,2016-04-20,2801,110,25.25,2.3,0.8289246612159573,54.44972610473633,1782.0,1767.35
SHREECEM,2016-04-18,2016-04-20,2801,119,25.89,16.16,1.9225233215850235,16.811359405517578,13100.0,12852.9
ULTRACEMCO,2016-04-18,2016-04-20,2801,277,22.68,108.43,1.4897026529764323,14.902412414550781,3420.0,3369.8
BPCL,2016-04-25,2016-04-26,2805,184,25.95,115.49,0.0,23.993289947509766,146.8,146.8
HIMATSEIDE,2016-04-29,2016-05-02,2809,72,36.82,3.59,-0.4060696730070479,180.26316833496094,233.0,233.95
UPL,2016-05-02,2016-05-03,2810,179,34.08,42.15,5.037957211870259,36.06938171386719,380.5,362.25
KRBL,2016-05-04,2016-05-05,2812,113,26.8,3.49,1.114091190427069,50.30864334106445,245.05,242.35
PVRINOX,2016-05-20,2016-05-23,2824,134,24.15,3.84,1.8583180446233083,35.00473403930664,860.55,844.85
RUSHIL,2016-05-24,2016-05-25,2826,826,92.32,19.1,8.1853281853282,561.1904907226562,28.02,25.9
MUTHOOTFIN,2016-05-30,2016-05-31,2830,332,33.57,4.81,1.1612903225806326,22.454845428466797,235.2,232.5
TNPL,2016-05-30,2016-05-31,2830,100,28.95,2.7,3.3097805875790476,108.15644073486328,277.8,268.9
JSWSTEEL,2016-06-08,2016-06-09,2837,1400,66.3,80.61,0.15086206896552934,58.8409309387207,139.41,139.2
M&MFIN,2016-06-08,2016-06-09,2837,351,43.9,38.17,2.673796791443861,29.812610626220703,192.0,187.0
REPCOHOME,2016-06-08,2016-06-09,2837,195,26.59,3.55,-0.20180487458252294,26.801633834838867,702.23,703.65
CCL,2016-06-09,2016-06-10,2838,211,35.2,2.09,2.4908125765618516,38.6916389465332,251.0,244.9
DABUR,2016-06-15,2016-06-16,2842,209,23.54,35.91,1.0029116790682524,23.054182052612305,312.2,309.1
BAJAJFINSV,2016-06-16,2016-06-17,2843,133,21.54,14.23,1.225490196078427,31.78594207763672,206.5,204.0
GREENPLY,2016-06-16,2016-06-17,2843,398,42.32,2.03,0.46466912353790857,37.586997985839844,250.8,249.64
ZEEMEDIA,2016-06-16,2016-06-17,2843,130,32.09,4.38,5.675146771037176,59.270511627197266,27.0,25.55
SHARDACROP,2016-06-20,2016-06-21,2845,293,48.01,2.11,2.472881307421493,43.751502990722656,358.03,349.39
BAJAJ-AUTO,2016-06-24,2016-06-27,2849,395,27.16,55.95,0.5557684936757346,11.788618087768555,2623.5,2609.0
HINDPETRO,2016-06-27,2016-06-28,2850,217,39.65,65.06,0.9670329670329547,40.85028076171875,114.85,113.75
SURYAROSNI,2016-06-28,2016-06-29,2851,118,30.06,2.74,-1.2571428571428456,60.90909194946289,43.2,43.75
M&M,2016-06-29,2016-06-30,2852,446,21.32,139.51,1.377199693955622,6.1118245124816895,715.5,705.78
PIIND,2016-06-30,2016-07-01,2853,274,28.57,5.48,0.9618711507854094,12.3443603515625,729.5,722.55
POWERGRID,2016-06-30,2016-07-01,2853,2121,66.76,44.16,1.4874141876430214,17.44340705871582,88.7,87.4
ANDHRSUGAR,2016-07-01,2016-07-04,2854,2516,77.17,10.33,1.9685039370078705,176.42276000976562,51.8,50.8
IOC,2016-07-01,2016-07-04,2854,231,25.79,34.5,4.727522778064297,28.740739822387695,60.92,58.17
LICHSGFIN,2016-07-11,2016-07-12,2859,227,25.54,70.73,0.651560828551978,16.2454833984375,517.5,514.15
GHCL,2016-07-12,2016-07-13,2860,2104,88.85,10.88,0.7014028056112176,156.30197143554688,201.0,199.6
NBCC,2016-07-12,2016-07-13,2860,229,29.57,9.74,8.829646435999239,32.81575393676758,57.56,52.89
ESCORTS,2016-07-14,2016-07-15,2862,1398,79.33,40.99,1.27641766059845,75.00908660888672,242.0,238.95
HEROMOTOCO,2016-07-14,2016-07-15,2862,400,30.95,73.77,-0.37655002272284355,28.300975799560547,3069.0,3080.6
ALKEM,2016-07-22,2016-07-25,2868,135,24.32,5.78,0.5932257447215594,-1000000000.0,1577.0,1567.7
BAJAJHLDNG,2016-07-22,2016-07-25,2868,158,22.18,3.5,4.917370864938131,27.79325294494629,1818.9,1733.65
BROOKS,2016-07-25,2016-07-26,2869,131,40.93,2.32,1.9861570869696088,71.83098602294922,101.67,99.69
BROOKS-BE,2016-07-25,2016-07-26,2869,131,40.94,2.32,2.0092088740058633,71.88385772705078,121.85,119.45
GABRIEL,2016-07-25,2016-07-26,2869,365,27.42,4.43,1.5414258188824803,24.28400421142578,105.4,103.8
AJANTPHARM,2016-07-27,2016-07-28,2871,236,32.2,20.41,-0.6138466260358633,2.881038188934326,1133.35,1140.35
RPGLIFE,2016-07-27,2016-07-28,2871,160,39.07,2.5,9.741784037558677,74.20389556884766,374.0,340.8
SAMMAANCAP,2016-07-27,2016-07-28,2871,238,29.3,117.31,0.7746861024307217,20.259571075439453,538.55,534.41
JKLAKSHMI,2016-07-28,2016-07-29,2872,375,38.85,5.76,-0.44922567679394065,27.550411224365234,421.05,422.95
MARUTI,2016-07-28,2016-07-29,2872,175,31.82,224.41,0.08953494496233283,14.70435905456543,4751.0,4746.75
NATCOPHARM,2016-07-28,2016-07-29,2872,138,36.06,14.09,2.480683204554701,34.08868408203125,630.0,614.75
EICHERMOT,2016-07-29,2016-08-01,2873,253,28.51,5.23,6.564864041970164,6.402337551116943,2275.0,2134.85
DWARKESH,2016-08-01,2016-08-02,2874,2580,94.93,7.22,22.222222222222232,1201.9761962890625,35.2,28.8
SRF,2016-08-01,2016-08-02,2874,243,29.3,24.54,3.7694013303769536,15.631568908691406,304.2,293.15
VOLTAS,2016-08-01,2016-08-02,2874,274,37.68,36.66,4.602510460251041,17.508304595947266,375.0,358.5
ZENSARTECH,2016-08-02,2016-08-03,2875,170,26.29,2.02,1.0009099181073733,29.618083953857422,222.0,219.8
BIRLACORPN,2016-08-08,2016-08-09,2879,484,45.55,2.09,2.9548725764118267,35.53746795654297,608.0,590.55
MANAPPURAM,2016-08-08,2016-08-09,2879,1408,88.88,43.18,1.5633601233072891,249.8084259033203,92.25,90.83
SUNDRMFAST,2016-08-09,2016-08-10,2880,374,35.81,2.52,1.9883040935672502,22.320663452148438,218.0,213.75
BAYERCROP,2016-08-11,2016-08-12,2882,329,23.59,3.4,0.34128869647012117,4.821836948394775,4160.2,4146.05
DIVISLAB,2016-08-16,2016-08-17,2884,241,23.44,32.2,3.3648920037706365,26.42388343811035,1261.0,1219.95
LTF,2016-08-16,2016-08-17,2884,886,45.55,72.62,2.6230359693546257,34.35100173950195,79.03,77.01
DELTACORP,2016-08-17,2016-08-18,2885,1419,69.44,58.03,2.973977695167296,79.98434448242188,138.5,134.5
SHK,2016-08-17,2016-08-18,2885,147,22.02,2.96,10.307749351130902,-1000000000.0,297.5,269.7
AIAENG,2016-08-18,2016-08-19,2886,351,43.37,3.63,0.34038546145001014,29.137754440307617,1300.0,1295.59
JUBLPHARMA,2016-08-18,2016-08-19,2886,173,35.93,16.42,9.296901032989012,73.17683410644531,492.0,450.15
BRITANNIA,2016-08-24,2016-08-25,2890,253,24.56,27.31,1.4169540196066865,2.667665481567383,1723.5,1699.42
TORNTPHARM,2016-08-24,2016-08-25,2890,238,25.15,20.4,2.442424242424246,8.63455581665039,845.15,825.0
BALKRISIND,2016-08-30,2016-08-31,2894,445,33.7,2.06,1.852517554580979,29.32906150817871,425.0,417.27
ORIENTCEM,2016-09-01,2016-09-02,2896,313,31.73,3.83,2.231447846393353,17.170215606689453,197.0,192.7
PCJEWELLER,2016-09-02,2016-09-06,2897,205,31.27,6.18,1.1309264897781723,52.62467956542969,23.25,22.99
ADANIENSOL,2016-09-09,2016-09-12,2901,170,35.32,3.24,-2.3142509135200884,31.94221305847168,40.1,41.05
JYOTHYLAB,2016-09-16,2016-09-19,2905,270,24.09,4.88,-0.4586063132817175,5.439198017120361,167.13,167.9
TIMETECHNO,2016-09-20,2016-09-21,2907,2141,81.38,10.34,-0.29097963142580285,108.80000305175781,51.4,51.55
VAKRANGEE,2016-09-20,2016-09-21,2907,130,28.41,18.05,0.6328001406222583,111.67748260498047,114.5,113.78
CENTURYPLY,2016-09-23,2016-09-26,2910,386,43.67,3.37,2.5733815842380325,58.46927261352539,255.1,248.7
IDFCFIRSTB,2016-09-23,2016-09-26,2910,216,38.28,47.39,2.343749999999978,-1000000000.0,72.05,70.4
MRF,2016-09-23,2016-09-26,2910,280,31.81,64.26,0.2189282689896377,13.0873441696167,45799.95,45699.9
COSMOFIRST,2016-09-26,2016-09-27,2911,95,21.11,3.19,1.233864844343202,181.5010528564453,266.65,263.4
NOCIL,2016-09-27,2016-09-28,2912,2149,85.3,11.27,5.74963609898107,68.14469909667969,72.65,68.7
GULFPETRO-BE,2016-09-28,2016-09-29,2913,180,48.28,2.25,2.8160919540229923,113.68038940429688,89.45,87.0
TVSSRICHAK,2016-09-28,2016-09-29,2913,274,37.6,2.17,19.45553424915909,38.995994567871094,3800.0,3181.1
ALPHAGEO-BE,2016-09-30,2016-10-03,2915,2147,97.86,3.48,2.2524580395272498,119.82557678222656,1029.58,1006.9
CEATLTD,2016-09-30,2016-10-03,2915,243,40.55,187.45,3.574314185679661,5.257308483123779,1346.0,1299.55
CRISIL,2016-10-03,2016-10-04,2916,363,24.89,4.12,1.1688062847288627,30.205081939697266,2376.0,2348.55
JTEKTINDIA,2016-10-03,2016-10-04,2916,287,47.13,2.04,0.6242020144701543,25.699020385742188,70.93,70.49
JKTYRE,2016-10-04,2016-10-05,2917,441,51.19,50.58,1.9639934533551617,51.91175842285156,155.75,152.75
LMW,2016-10-04,2016-10-05,2917,463,29.53,3.76,1.5654579049389383,28.299951553344727,4479.9,4410.85
SWANCORP,2016-10-04,2016-10-05,2917,689,28.3,2.02,23.57962123232862,28.232192993164062,92.66,74.98
BBTC,2016-10-05,2016-10-06,2918,288,48.28,13.82,5.845831317529426,43.033145904541016,656.35,620.1
NAUKRI,2016-10-06,2016-10-07,2919,461,28.57,4.17,1.0204081632652962,23.510969161987305,198.0,196.0
JKPAPER,2016-10-07,2016-10-10,2920,2730,81.67,4.91,5.281020906869394,86.07748413085938,77.55,73.66
OBEROIRLTY,2016-10-07,2016-10-10,2920,396,35.72,5.66,0.9328643523474511,29.148113250732422,330.0,326.95
SUNTV,2016-10-07,2016-10-10,2920,1418,59.75,70.79,2.93040293040292,57.242618560791016,562.0,546.0
NILKAMAL,2016-10-14,2016-10-17,2923,185,39.88,5.99,4.688358266826076,56.53628158569336,1620.0,1547.45
EXIDEIND,2016-10-21,2016-10-24,2928,428,41.36,41.82,1.5613382899628325,34.022987365722656,204.9,201.75
UFLEX,2016-10-24,2016-10-25,2929,1477,84.82,9.71,1.8227529855436853,100.55899810791016,324.0,318.2
FEDERALBNK,2016-10-25,2016-10-26,2930,316,45.47,43.47,3.380102040816313,26.086950302124023,81.05,78.4
WSTCSTPAPR,2016-10-27,2016-10-28,2932,956,70.83,2.9,0.8792048929663343,100.56412506103516,131.95,130.8
CENTENKA,2016-10-28,2016-11-01,2933,1674,72.44,3.38,3.879190052404713,61.10566711425781,335.0,322.49
JBMA,2016-11-01,2016-11-02,2934,502,60.99,4.23,0.0,72.29917907714844,60.5,60.5
TVTODAY,2016-11-01,2016-11-02,2934,197,20.14,2.55,-0.6904656970765477,30.217086791992188,338.0,340.35
BEL,2016-11-28,2016-11-29,2952,322,25.18,31.21,1.6786570743405171,10.394740104675293,42.4,41.7
PGHL,2016-11-28,2016-11-29,2952,404,36.15,3.4,2.1387584767866397,34.22679901123047,979.0,958.5
KRBL,2017-01-03,2017-01-04,2978,132,22.68,3.13,3.164139749505601,38.49064254760742,313.0,303.4
DWARKESH,2017-01-06,2017-01-09,2981,105,37.44,12.41,1.164079822616415,285.95745849609375,36.5,36.08
EIDPARRY,2017-01-09,2017-01-10,2982,1482,62.99,4.32,1.1894194922776657,42.70597839355469,285.0,281.65
FORTIS,2017-01-09,2017-01-10,2982,350,23.19,11.49,2.3321373654536126,10.386001586914062,199.65,195.1
DATAMATICS,2017-01-17,2017-01-18,2988,2958,91.43,26.41,4.726283577014612,116.72549438476562,154.0,147.05
RAIN,2017-01-18,2017-01-19,2989,572,51.3,2.08,11.591695501730115,74.08907318115234,64.5,57.8
ZUARI,2017-01-24,2017-01-25,2993,1021,79.23,2.63,0.20882128848378478,132.94842529296875,355.11,354.37
DALMIASUG,2017-01-25,2017-01-27,2994,2248,93.82,6.11,1.2250830564784154,232.47422790527344,195.0,192.64
RAMCOCEM,2017-01-27,2017-01-30,2995,72,23.35,9.05,1.1049723756906271,81.22522735595703,667.95,660.65
CROMPTON,2017-01-31,2017-02-01,2997,67,25.62,7.73,1.192052980132452,-1000000000.0,191.0,188.75
CANFINHOME,2017-02-01,2017-02-02,2998,64,32.34,8.7,2.0353364480962366,85.89318084716797,380.0,372.42
ITC,2017-02-01,2017-02-02,2998,477,28.4,227.33,1.714037752223918,31.039321899414062,234.4,230.45
BAJAJFINSV,2017-02-02,2017-02-03,2999,65,26.28,23.45,0.8962127782596196,79.8908920288086,349.0,345.9
FEDERALBNK,2017-02-02,2017-02-03,2999,66,24.18,69.02,3.8274605103280734,77.9427261352539,85.45,82.3
GODREJIND,2017-02-02,2017-02-03,2999,2247,90.01,9.99,-0.25455380057169963,40.186370849609375,478.05,479.27
KEI,2017-02-03,2017-02-06,3000,2232,95.65,3.0,6.7192429022082,46.81223678588867,169.15,158.5
SUNTV,2017-02-03,2017-02-06,3000,80,22.41,61.8,24.15385982055609,93.58355712890625,698.8,562.85
AEGISLOG,2017-02-06,2017-02-07,3001,92,25.5,3.34,4.995617879053449,91.5772705078125,179.7,171.15
DCMSHRIRAM,2017-02-06,2017-02-07,3001,71,29.69,2.28,1.279317697228155,126.07655334472656,285.0,281.4
SUNDRMFAST,2017-02-06,2017-02-07,3001,66,20.95,3.74,2.746437054631823,124.92684936523438,346.05,336.8
VGUARD,2017-02-07,2017-02-08,3002,72,27.66,15.92,1.439739413680785,143.84999084472656,155.71,153.5
LTF,2017-02-08,2017-02-09,3003,69,24.13,34.83,1.110990088225683,88.55741882324219,92.83,91.81
NBCC,2017-02-08,2017-02-09,3003,85,25.2,28.98,0.5928537093414565,46.47789001464844,62.78,62.41
NOCIL,2017-02-08,2017-02-09,3003,86,22.55,6.6,0.18951358180667732,54.580902099609375,79.3,79.15
UNOMINDA,2017-02-08,2017-02-09,3003,69,31.21,2.32,0.6225680933852118,136.14678955078125,64.65,64.25
CESC,2017-02-09,2017-02-10,3004,590,48.8,37.53,1.82443547181097,87.35538482666016,68.09,66.87
COROMANDEL,2017-02-13,2017-02-14,3006,1433,56.29,9.04,1.107954545454537,111.26718139648438,355.9,352.0
