label,axis,slots,slot_pct,select,idle,cost_bps,rot_score,rot_margin,rot_max_per_day,rot_entrant,trim_mult,trim_when,min_fill_frac,rot_sell_only,hard_stop,hard_stop_pct,seeds,cagr_med,cagr_min,cagr_max,maxdd_med,maxdd_worst,calmar_med,calmar_min,cagr_med,maxdd_med,calmar_med,sharpe_med,trades_med,trades_per_yr_med,win_rate_med,avg_win_med,avg_loss_med,expectancy_med,max_loss_streak_med,invested_pct_med,w1_cagr_med,w1_dd_med,w2_cagr_med,w2_dd_med,days_signal_med,days_bind_med,days_full_med,turned_away_med,cash_refused_med,entries_taken_med,swaps_med,swap_attempts_med,swaps_per_yr_med,trims_med,trims_per_yr_med,trim_notional_med,partial_fills_med,tax_paid_med,tax_st_med,tax_lt_med,turnover_x_med,pos_rs_med_med,cap_pct_med_med,cap_pct_p95_med,cap_over1pct_med,profit_total_med,top10_share_med,top10_share_all_med,mult_all_med,mult_drop10_med,med_seed,secs
B1_trimM_k150_b60,B,16,0.0625,random,0.052,60.0,,0.0,1,tv,1.5,month,0.0,0,0,0.92,30,19.345,17.98,20.27,-33.76,-38.39,0.562,0.496,19.345,-33.76,0.562,1.121,715.5,33.0,47.7,36.57,-11.98,11.211,14.0,72.655,17.075,-33.75,21.555,-32.645,1880.0,716.5,137.0,1478.5,1422.5,715.5,0.0,0.0,0.0,70.0,3.23,39914264.0,0.0,6198681.5,5445201.5,737662.0,2.548,439530.5,0.355,3.242,25.9,31485341.0,47.05,29.25,9.632905758462968e+18,84033904050176.0,20,3.2
B2_trimD_k150_b60,B,16,0.0625,random,0.052,60.0,,0.0,1,tv,1.5,demand,0.0,0,0,0.92,30,19.735,17.89,21.2,-34.07,-39.06,0.573,0.469,19.735,-34.07,0.573,1.142,724.0,33.4,47.35,37.125,-12.07,11.283,14.0,73.09,17.54,-33.345,21.75,-33.38,1880.0,804.0,211.0,1654.0,1239.0,724.0,0.0,0.0,0.0,82.5,3.805,48354386.0,0.0,6765961.0,6090994.5,758557.0,2.58,454673.5,0.36,3.825,27.95,32208985.0,47.75,28.9,1.1949063011378921e+19,100102584664064.0,27,4.6
B2_trimD_k200_b60,B,16,0.0625,random,0.052,60.0,,0.0,1,tv,2.0,demand,0.0,0,0,0.92,30,19.915,18.89,21.24,-34.37,-37.23,0.577,0.523,19.915,-34.37,0.577,1.135,696.0,32.1,47.5,37.425,-11.865,11.424,14.0,72.88,17.795,-34.05,22.085,-34.37,1880.0,554.0,66.5,1123.0,1795.0,696.0,0.0,0.0,0.0,17.0,0.78,20063900.0,0.0,6743366.0,5890113.0,896030.0,2.466,462284.0,0.364,4.129,28.0,43560430.0,40.35,32.95,1.0462673923718775e+19,88786092425216.0,7,3.9
B3_fill_f025_b60,B,16,0.0625,random,0.052,60.0,,0.0,1,tv,0.0,month,0.25,0,0,0.92,30,19.425,18.33,20.88,-36.425,-39.91,0.528,0.459,19.425,-36.425,0.528,1.109,745.0,34.4,47.25,36.97,-12.06,11.118,14.0,74.39,17.69,-33.63,21.02,-36.425,1880.0,1114.0,845.5,2420.0,451.0,745.0,0.0,0.0,0.0,0.0,0.0,0.0,171.0,6062353.0,4993064.0,1022906.0,2.444,446235.5,0.344,3.679,26.45,50561334.5,37.0,37.0,2.0717875500834357e+19,147724611616768.0,15,4.1
X_plat_unre_m002_b60,X,16,0.0625,random,0.052,60.0,unreal,2.5,1,tv,0.0,month,0.0,0,0,0.92,30,17.45,16.22,17.93,-41.03,-41.04,0.425,0.395,17.45,-41.03,0.425,0.991,1071.0,49.35,33.2,35.8,-7.76,6.67,21.0,73.09,17.91,-33.83,16.9,-41.03,1880.0,440.5,21.0,865.5,2112.0,1071.0,429.0,2624.5,19.78,0.0,0.0,0.0,0.0,4436096.5,3881542.0,522882.0,4.051,485205.0,0.326,3.183,24.3,34749679.5,50.75,50.75,2493523257458688.0,22319160320.0,27,8.1
X_plat_unre_m007_b60,X,16,0.0625,random,0.052,60.0,unreal,7.5,1,tv,0.0,month,0.0,0,0,0.92,30,20.25,19.38,21.52,-37.15,-37.15,0.546,0.522,20.25,-37.15,0.546,1.133,781.5,36.05,45.2,36.295,-10.36,10.692,16.0,72.97,20.15,-32.33,20.23,-37.15,1880.0,516.5,83.0,1014.0,1957.0,781.5,132.5,2875.5,6.11,0.0,0.0,0.0,0.0,7834006.0,6596463.5,1196708.5,2.888,595109.0,0.428,5.067,34.4,59480885.5,38.95,38.95,4.073047058744575e+20,3935089301913600.0,26,7.4
X_plat_unre_m012_b60,X,16,0.0625,random,0.052,60.0,unreal,12.5,1,tv,0.0,month,0.0,0,0,0.92,30,20.325,18.81,21.12,-35.22,-38.26,0.564,0.507,20.325,-35.22,0.564,1.155,710.0,32.7,47.2,38.31,-11.645,11.872,16.0,73.065,17.83,-32.0,22.65,-35.22,1880.0,523.5,93.0,1042.5,1919.0,710.0,51.0,2929.0,2.35,0.0,0.0,0.0,0.0,7140716.5,5766908.0,1039957.0,2.513,479714.5,0.357,4.346,27.75,59363692.0,40.85,40.85,5.964548654791813e+19,228970998005760.0,2,7.0
X_plat_unre_m015_b60,X,16,0.0625,random,0.052,60.0,unreal,15.0,1,tv,0.0,month,0.0,0,0,0.92,30,18.67,18.01,19.67,-34.5,-39.33,0.538,0.463,18.67,-34.5,0.538,1.071,703.0,32.4,46.85,36.335,-11.64,10.811,16.0,73.095,17.25,-33.215,20.04,-34.5,1880.0,482.5,41.0,993.5,1947.5,703.0,23.0,2927.5,1.06,0.0,0.0,0.0,0.0,5520126.0,4768446.0,736771.5,2.457,457394.0,0.364,3.539,26.05,43911046.5,39.8,39.8,1.2036632103144653e+18,10571685036032.0,30,7.8
X_trimM_k250_b60,X,16,0.0625,random,0.052,60.0,,0.0,1,tv,2.5,month,0.0,0,0,0.92,30,19.73,18.96,20.36,-32.89,-38.17,0.599,0.514,19.73,-32.89,0.599,1.133,690.5,31.85,48.0,37.15,-11.97,11.598,14.0,72.925,18.13,-32.85,21.305,-32.825,1880.0,495.5,66.0,1006.0,1921.5,690.5,0.0,0.0,0.0,4.0,0.18,3212316.0,0.0,6839289.0,5988981.5,850127.0,2.463,493700.0,0.393,4.034,29.4,51505689.5,39.75,37.9,1.2303978217999434e+19,121859492282368.0,8,3.6
C_none000_k150d_f025_b60,C,16,0.0625,random,0.052,60.0,,0.0,1,tv,1.5,demand,0.25,0,0,0.92,30,20.135,19.15,21.14,-36.085,-40.35,0.553,0.479,20.135,-36.085,0.553,1.138,756.5,34.9,47.6,37.245,-12.01,11.46,14.0,74.415,18.19,-35.245,22.22,-35.975,1880.0,1308.0,1191.0,2797.0,64.5,756.5,0.0,0.0,0.0,58.0,2.67,38598018.0,125.5,7135623.5,6084412.0,1027391.5,2.585,458799.0,0.374,3.753,28.3,39054535.0,41.5,28.6,2.9291142815971226e+20,2262109077372928.0,25,2.9
C_unre010_k150d_f000_b60,C,16,0.0625,random,0.052,60.0,unreal,10.0,1,tv,1.5,demand,0.0,0,0,0.92,30,20.655,18.95,22.22,-37.135,-41.47,0.56,0.458,20.655,-37.135,0.56,1.19,799.0,36.8,45.3,37.64,-11.25,10.867,15.0,73.455,19.42,-32.665,22.2,-37.135,1880.0,826.5,244.5,1694.5,1238.0,799.0,106.5,2854.5,4.91,87.0,4.01,59093560.0,0.0,8482358.0,7407695.0,982390.0,2.914,539988.5,0.381,4.97,30.8,37638643.0,49.9,28.95,1.1825308249772733e+20,659657987194880.0,1,7.5
C_unre010_k000m_f025_b60,C,16,0.0625,random,0.052,60.0,unreal,10.0,1,tv,0.0,month,0.25,0,0,0.92,30,20.5,18.78,21.53,-35.805,-39.49,0.561,0.494,20.5,-35.805,0.561,1.159,811.5,37.4,45.8,37.45,-11.25,11.076,15.0,74.815,18.61,-33.38,22.295,-35.805,1880.0,1109.0,835.0,2423.0,487.0,811.5,100.0,2842.0,4.61,0.0,0.0,0.0,152.5,7453421.5,5923422.0,1402053.5,2.73,494516.5,0.358,4.343,29.35,61927899.5,44.6,44.6,9.009964042699732e+20,3798206009835520.0,20,9.1
X_max3_unre_m010_b60,X,16,0.0625,random,0.052,60.0,unreal,10.0,3,tv,0.0,month,0.0,0,0,0.92,30,20.815,19.4,22.14,-36.02,-38.88,0.566,0.499,20.815,-36.02,0.566,1.183,745.5,34.4,46.1,38.105,-11.11,11.628,15.0,73.265,19.44,-32.03,22.14,-36.02,1880.0,520.0,84.0,1016.0,1953.5,745.5,95.0,2969.0,4.38,0.0,0.0,0.0,0.0,7853221.5,6578813.0,1148788.5,2.708,557899.0,0.419,5.224,32.2,65351970.0,43.8,43.8,2.7389295563174524e+20,1283067591262208.0,22,9.9
X_entrs_unre_m010_b60,X,16,0.0625,random,0.052,60.0,unreal,10.0,1,rs,0.0,month,0.0,0,0,0.92,30,21.12,19.29,22.12,-32.73,-34.37,0.651,0.561,21.12,-32.73,0.651,1.192,742.0,34.2,46.2,38.58,-11.22,11.845,15.0,73.235,19.17,-32.02,23.095,-32.73,1880.0,504.5,84.0,994.0,1974.0,742.0,96.0,2916.5,4.43,0.0,0.0,0.0,0.0,8610097.5,7397267.0,1212594.5,2.741,565631.0,0.433,5.875,34.25,69435694.0,43.3,43.3,6.215039965577787e+20,3087356978528256.0,4,9.2
X_entage_unre_m010_b60,X,16,0.0625,random,0.052,60.0,unreal,10.0,1,age,0.0,month,0.0,0,0,0.92,30,21.225,19.44,22.74,-39.04,-39.34,0.548,0.494,21.225,-39.04,0.548,1.187,744.5,34.35,45.7,39.165,-11.23,11.772,15.0,73.335,19.43,-32.02,23.01,-39.04,1880.0,497.5,84.0,968.5,2004.5,744.5,98.0,2913.0,4.52,0.0,0.0,0.0,0.0,8421392.5,7165000.0,1363319.5,2.721,534860.0,0.43,5.379,33.2,71291463.0,45.95,45.95,3.889693203384091e+20,1597662201643008.0,8,8.5
CTRL_sellonly_unre_m010_b60,CTRL,16,0.0625,random,0.052,60.0,unreal,10.0,1,tv,0.0,month,0.0,1,0,0.92,30,20.025,18.34,21.69,-37.7,-39.16,0.534,0.471,20.025,-37.7,0.534,1.137,728.0,33.6,46.1,36.9,-11.025,11.071,15.0,72.86,18.95,-32.64,21.13,-37.7,1880.0,421.5,21.0,847.5,2037.5,728.0,85.0,2834.0,3.92,0.0,0.0,0.0,0.0,7312055.5,6414676.0,891750.5,2.624,522488.0,0.421,4.707,32.4,56963919.0,41.65,41.65,3.1498588110689665e+19,273752164139008.0,29,7.8
CTRL_hardstop10_b60,CTRL,16,0.0625,random,0.052,60.0,,0.0,1,tv,0.0,month,0.0,0,1,0.9,30,19.11,18.1,19.51,-30.77,-30.84,0.621,0.588,19.11,-30.77,0.621,1.107,793.0,36.6,41.45,37.85,-10.46,9.571,12.0,70.4,18.03,-30.73,20.215,-30.77,1880.0,366.0,1.0,757.0,2067.5,793.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5705107.5,4690758.5,888544.5,2.857,527991.5,0.401,3.939,30.25,47150772.0,48.1,48.1,1.5688092180126106e+17,1157887688704.0,2,3.0
