label,axis,slots,slot_pct,select,idle,cost_bps,rot_score,rot_margin,rot_max_per_day,rot_entrant,trim_mult,trim_when,min_fill_frac,rot_sell_only,hard_stop,hard_stop_pct,seeds,cagr_med,cagr_min,cagr_max,maxdd_med,maxdd_worst,calmar_med,calmar_min,cagr_med,maxdd_med,calmar_med,sharpe_med,trades_med,trades_per_yr_med,win_rate_med,avg_win_med,avg_loss_med,expectancy_med,max_loss_streak_med,invested_pct_med,w1_cagr_med,w1_dd_med,w2_cagr_med,w2_dd_med,days_signal_med,days_bind_med,days_full_med,turned_away_med,cash_refused_med,entries_taken_med,swaps_med,swap_attempts_med,swaps_per_yr_med,trims_med,trims_per_yr_med,trim_notional_med,partial_fills_med,tax_paid_med,tax_st_med,tax_lt_med,turnover_x_med,pos_rs_med_med,cap_pct_med_med,cap_pct_p95_med,cap_over1pct_med,profit_total_med,top10_share_med,top10_share_all_med,mult_all_med,mult_drop10_med,med_seed,secs
A_held_m160,A,16,0.0625,random,0.052,25.0,held,160.0,1,tv,0.0,month,0.0,0,0,0.92,30,19.135,17.79,19.98,-35.62,-36.95,0.537,0.481,19.135,-35.62,0.537,1.091,776.0,35.8,47.2,34.54,-11.675,10.06,17.0,72.74,16.22,-35.62,21.94,-33.835,1880.0,568.5,44.0,1134.5,1775.0,776.0,70.0,2862.0,3.23,0.0,0.0,0.0,0.0,6592973.0,6586885.0,6400.0,2.689,422516.0,0.354,3.744,25.25,48777531.5,43.05,43.05,6.928108528523543e+18,113901639303168.0,24,6.1
A_held_m320,A,16,0.0625,random,0.052,25.0,held,320.0,1,tv,0.0,month,0.0,0,0,0.92,30,21.24,20.38,21.93,-33.815,-37.69,0.621,0.554,21.24,-33.815,0.621,1.205,694.0,32.0,49.05,37.39,-11.735,12.408,15.0,72.7,19.31,-32.74,23.35,-33.7,1880.0,473.0,41.0,975.5,1957.0,694.0,7.0,2925.5,0.32,0.0,0.0,0.0,0.0,8693678.5,7653497.0,1006207.5,2.484,552081.0,0.435,4.794,33.3,70650996.5,39.35,39.35,1.4528673266860934e+21,1.1481309796892672e+16,22,5.8
A_null_p005,A_null,16,0.0625,random,0.052,25.0,rand,0.05,1,tv,0.0,month,0.0,0,0,0.92,30,20.575,17.51,22.99,-35.735,-38.07,0.575,0.486,20.575,-35.735,0.575,1.167,821.5,37.9,49.0,32.36,-11.46,10.163,14.5,72.935,18.205,-33.435,22.615,-35.045,1880.0,568.5,62.5,1208.0,1738.0,821.5,141.0,2779.0,6.5,0.0,0.0,0.0,0.0,8159092.0,7521087.5,628137.5,3.183,557392.0,0.463,5.059,34.0,62914175.5,39.8,39.8,1.8958762009704373e+20,1642929546330112.0,7,5.6
A_null_p015,A_null,16,0.0625,random,0.052,25.0,rand,0.15,1,tv,0.0,month,0.0,0,0,0.92,30,19.49,16.21,22.53,-35.855,-41.18,0.544,0.399,19.49,-35.855,0.544,1.095,1054.0,48.6,49.75,26.165,-11.04,7.547,16.0,73.155,17.96,-34.145,21.105,-34.495,1880.0,700.5,163.0,1528.0,1406.0,1054.0,377.5,2517.0,17.405,0.0,0.0,0.0,0.0,7729764.5,7260078.5,193693.5,4.471,602944.0,0.492,4.827,33.9,52200158.5,37.35,37.35,7.154467736112857e+18,136195573022720.0,11,5.7
A_null_p035,A_null,16,0.0625,random,0.052,25.0,rand,0.35,1,tv,0.0,month,0.0,0,0,0.92,30,17.81,13.38,19.91,-36.485,-41.35,0.48,0.368,17.81,-36.485,0.48,1.003,1409.5,65.0,49.85,20.205,-10.185,5.066,15.5,73.285,16.935,-33.975,18.265,-36.03,1880.0,795.5,260.0,1728.0,1224.0,1409.5,742.0,2126.0,34.215,0.0,0.0,0.0,0.0,5925199.5,5761042.0,112903.0,6.062,598305.0,0.398,3.604,27.65,38768398.0,35.85,35.85,7.216612786149786e+16,2560571211776.0,25,5.7
B1_trimM_k150,B,16,0.0625,random,0.052,25.0,,0.0,1,tv,1.5,month,0.0,0,0,0.92,30,20.96,19.12,22.28,-33.53,-37.69,0.625,0.526,20.96,-33.53,0.625,1.194,717.0,33.1,48.95,36.78,-11.72,12.008,14.0,72.585,18.24,-33.52,23.74,-31.22,1880.0,714.0,143.5,1467.5,1432.5,717.0,0.0,0.0,0.0,70.0,3.23,48172542.0,0.0,8050545.0,7246325.5,886614.0,2.584,509579.0,0.398,3.972,30.7,44016821.0,45.0,29.3,1.3544808799859995e+21,1.1080342387556352e+16,1,4.1
B1_trimM_k200,B,16,0.0625,random,0.052,25.0,,0.0,1,tv,2.0,month,0.0,0,0,0.92,30,20.475,19.47,21.61,-34.905,-38.02,0.593,0.514,20.475,-34.905,0.593,1.174,695.5,32.05,48.45,37.175,-11.565,12.013,14.0,72.765,18.83,-32.615,22.115,-34.905,1880.0,512.0,65.0,1043.0,1883.0,695.5,0.0,0.0,0.0,9.0,0.42,9477985.5,0.0,7674612.0,6698606.0,923742.5,2.479,521838.0,0.406,4.359,31.5,54550092.0,39.2,36.0,3.3024304970056755e+20,2487943289634816.0,18,3.3
B1_trimM_k300,B,16,0.0625,random,0.052,25.0,,0.0,1,tv,3.0,month,0.0,0,0,0.92,30,20.975,20.01,21.72,-34.045,-36.92,0.613,0.556,20.975,-34.045,0.613,1.192,689.0,31.8,49.1,37.18,-11.595,12.268,14.0,72.91,19.025,-32.615,22.85,-33.98,1880.0,472.0,41.0,978.5,1953.0,689.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8466719.5,7461325.0,1001508.0,2.479,548749.0,0.429,4.772,33.1,67504935.5,36.8,36.8,8.850774110402416e+20,8141952323158016.0,16,3.3
B2_trimD_k150,B,16,0.0625,random,0.052,25.0,,0.0,1,tv,1.5,demand,0.0,0,0,0.92,30,21.595,20.36,23.08,-34.35,-38.83,0.629,0.564,21.595,-34.35,0.629,1.234,720.0,33.2,48.8,37.2,-11.74,12.358,14.0,73.035,18.565,-33.08,24.545,-32.12,1880.0,803.5,213.5,1673.0,1223.5,720.0,0.0,0.0,0.0,82.0,3.78,60691960.0,0.0,9391322.0,8317341.5,980703.0,2.618,530991.5,0.418,4.68,32.35,48425551.5,45.0,28.8,5.39343097484552e+21,3.831099875865395e+16,10,6.1
B2_trimD_k200,B,16,0.0625,random,0.052,25.0,,0.0,1,tv,2.0,demand,0.0,0,0,0.92,30,21.33,20.25,22.62,-33.81,-36.07,0.623,0.581,21.33,-33.81,0.623,1.207,697.0,32.1,48.9,37.02,-11.615,12.204,14.0,72.91,18.99,-33.775,23.745,-32.93,1880.0,553.0,59.0,1115.0,1809.0,697.0,0.0,0.0,0.0,16.0,0.74,22750101.0,0.0,8786512.5,7674403.0,1104592.0,2.497,534793.0,0.422,4.973,32.8,57456020.5,38.1,31.9,1.0178403614616359e+21,7880121184681984.0,10,6.8
