trigger,dist,coverage,unwind,n,armed,total,mean,median,win,worst,p10,d_total,d_mean,t,worst_delta,wing_pnl,wing_paid_days
PCT_30,200,BIGGEST,EOD,84,4,824696,9818,11230,79.8,-72351,-12496,-4449,-53,-1.66,0,-4449,0
PCT_20,300,BIGGEST,RECOVER,84,15,824597,9817,11230,79.8,-72351,-12496,-4548,-54,-2.99,0,-4545,0
PCT_20,300,ALL,RECOVER,84,15,824478,9815,11230,79.8,-72351,-12496,-4667,-56,-3.0,0,-4664,0
ABS_15000,400,ADVERSE,EOD,84,2,824435,9815,11230,79.8,-72351,-12496,-4710,-56,-1.23,0,-4709,0
T1300_10000,250,ADVERSE,RECOVER,84,5,824426,9815,11230,79.8,-72351,-12496,-4719,-56,-1.24,0,-4719,1
ABS_8000,400,ADVERSE,EOD,84,1,824331,9813,11230,79.8,-72351,-12496,-4814,-57,-1.01,0,-4813,0
ABS_20000,400,ADVERSE,EOD,84,2,824256,9813,11230,79.8,-72351,-12496,-4889,-58,-1.29,0,-4888,0
T1300_10000,500,ALL,EOD,84,60,824243,9812,10869,78.6,-44347,-12496,-4902,-58,-0.08,28004,-4903,12
T1300_10000,150,ADVERSE,RECOVER,84,5,824055,9810,11230,79.8,-72351,-12496,-5090,-61,-1.24,0,-5090,1
ABS_20000,400,BIGGEST,RECOVER,84,39,823981,9809,11230,79.8,-72518,-12496,-5164,-61,-1.43,-167,-5163,5
ABS_20000,300,ADVERSE,EOD,84,2,823949,9809,11230,79.8,-72351,-12496,-5196,-62,-1.31,0,-5195,0
PCT_20,250,BIGGEST,RECOVER,84,15,823874,9808,11230,79.8,-72351,-12496,-5271,-63,-2.99,0,-5271,0
ABS_15000,300,ADVERSE,EOD,84,2,823871,9808,11230,79.8,-72351,-12496,-5274,-63,-1.3,0,-5274,0
T1400_8000,500,ADVERSE,RECOVER,84,6,823767,9807,11230,79.8,-72351,-12496,-5378,-64,-1.84,0,-5377,0
PCT_20,250,ALL,RECOVER,84,15,823747,9807,11230,79.8,-72351,-12496,-5398,-64,-2.98,0,-5397,0
T1400_8000,400,ADVERSE,RECOVER,84,6,823745,9806,11230,79.8,-72351,-12496,-5400,-64,-1.84,0,-5399,0
ABS_20000,200,ADVERSE,EOD,84,2,823734,9806,11230,79.8,-72351,-12496,-5411,-64,-1.3,0,-5411,0
ABS_12000,300,ADVERSE,RECOVER,84,4,823620,9805,11230,79.8,-72351,-12496,-5525,-66,-1.42,0,-5525,0
ABS_12000,200,ADVERSE,RECOVER,84,4,823553,9804,11230,79.8,-72351,-12496,-5592,-67,-1.47,0,-5592,0
ABS_12000,250,ADVERSE,RECOVER,84,4,823527,9804,11230,79.8,-72351,-12496,-5618,-67,-1.41,0,-5618,0
ABS_20000,250,ADVERSE,EOD,84,2,823470,9803,11230,79.8,-72351,-12496,-5675,-68,-1.3,0,-5675,0
PCT_20,200,BIGGEST,RECOVER,84,15,823441,9803,11230,79.8,-72351,-12496,-5704,-68,-2.69,0,-5702,1
PCT_20,200,ALL,RECOVER,84,15,823314,9801,11230,79.8,-72351,-12496,-5831,-69,-2.71,0,-5829,1
ABS_8000,100,ALL,EOD,84,67,823201,9800,3823,66.7,-38721,-12303,-5944,-71,-0.02,33630,-5940,16
ABS_15000,200,ADVERSE,EOD,84,2,823200,9800,11230,79.8,-72351,-12496,-5945,-71,-1.3,0,-5943,0
ABS_15000,250,ADVERSE,EOD,84,2,823047,9798,11230,79.8,-72351,-12496,-6098,-73,-1.29,0,-6097,0
ABS_20000,100,ADVERSE,EOD,84,2,823022,9798,11230,79.8,-72351,-12496,-6123,-73,-1.29,0,-6122,0
ABS_5000,400,ADVERSE,EOD,84,1,823005,9798,11230,79.8,-72351,-12496,-6140,-73,-1.01,0,-6140,0
ABS_20000,150,ADVERSE,EOD,84,2,822891,9796,11230,79.8,-72351,-12496,-6254,-74,-1.32,0,-6254,0
T1400_8000,250,ADVERSE,RECOVER,84,6,822869,9796,11230,79.8,-72351,-12496,-6276,-75,-1.61,0,-6275,0
ABS_8000,300,ADVERSE,EOD,84,1,822674,9794,11230,79.8,-72351,-12496,-6471,-77,-1.01,0,-6471,0
ABS_15000,100,ADVERSE,EOD,84,2,822567,9792,11230,79.8,-72351,-12496,-6578,-78,-1.33,0,-6578,0
T1400_8000,300,ADVERSE,RECOVER,84,6,822413,9791,11230,79.8,-72351,-12496,-6732,-80,-1.71,0,-6732,0
ABS_15000,150,ADVERSE,EOD,84,2,822410,9791,11230,79.8,-72351,-12496,-6735,-80,-1.32,0,-6735,0
ABS_12000,100,ADVERSE,RECOVER,84,4,822381,9790,11230,79.8,-72351,-12496,-6764,-81,-1.43,0,-6764,1
ABS_12000,150,ADVERSE,RECOVER,84,4,822310,9789,11230,79.8,-72351,-12496,-6835,-81,-1.44,0,-6836,1
T1400_8000,200,ADVERSE,RECOVER,84,6,822196,9788,11230,79.8,-72351,-12496,-6949,-83,-1.82,0,-6948,0
ABS_8000,250,ADVERSE,EOD,84,1,821862,9784,11230,79.8,-72351,-12496,-7283,-87,-1.01,0,-7282,0
T1300_5000,200,ALL,EOD,84,68,821710,9782,10208,78.6,-37859,-8897,-7435,-89,-0.06,34492,-7430,16
ABS_8000,200,ADVERSE,EOD,84,1,821260,9777,11230,79.8,-72351,-12496,-7885,-94,-1.01,0,-7885,0
PCT_20,150,BIGGEST,RECOVER,84,15,821180,9776,11230,79.8,-72351,-12496,-7965,-95,-2.37,0,-7964,0
ABS_5000,300,ADVERSE,EOD,84,1,821071,9775,11230,79.8,-72351,-12496,-8074,-96,-1.01,0,-8074,0
PCT_20,150,ALL,RECOVER,84,15,821054,9774,11230,79.8,-72351,-12496,-8091,-96,-2.39,0,-8090,0
PCT_20,400,BIGGEST,EOD,84,15,820726,9771,11230,79.8,-72351,-12496,-8419,-100,-1.74,0,-8418,2
PCT_30,150,ALL,EOD,84,4,820625,9769,11230,79.8,-72351,-12496,-8520,-101,-1.57,0,-8521,0
PCT_30,150,BIGGEST,EOD,84,4,820625,9769,11230,79.8,-72351,-12496,-8520,-101,-1.57,0,-8521,0
ABS_8000,150,ADVERSE,EOD,84,1,820592,9769,11230,79.8,-72351,-12496,-8553,-102,-1.01,0,-8552,0
PCT_20,400,ALL,EOD,84,15,820568,9769,11230,79.8,-72351,-12496,-8577,-102,-1.76,0,-8577,2
ABS_20000,400,ALL,RECOVER,84,39,820555,9769,11230,79.8,-72622,-12496,-8590,-102,-2.33,-271,-8590,5
ABS_20000,500,BIGGEST,RECOVER,84,39,820513,9768,11230,79.8,-72485,-12496,-8632,-103,-3.73,-134,-8630,4
T1400_8000,100,ADVERSE,RECOVER,84,6,820510,9768,11230,79.8,-72351,-12496,-8635,-103,-1.83,0,-8634,0
T1400_8000,150,ADVERSE,RECOVER,84,6,820497,9768,11230,79.8,-72351,-12496,-8648,-103,-1.75,0,-8646,0
PCT_20,500,BIGGEST,EOD,84,15,820496,9768,11230,79.8,-72351,-12496,-8649,-103,-2.25,0,-8648,2
PCT_20,500,ALL,EOD,84,15,820346,9766,11230,79.8,-72351,-12496,-8799,-105,-2.26,0,-8798,2
ABS_8000,100,ADVERSE,EOD,84,1,819967,9762,11230,79.8,-72351,-12496,-9178,-109,-1.01,0,-9177,0
ABS_5000,250,ADVERSE,EOD,84,1,819762,9759,11230,79.8,-72351,-12496,-9383,-112,-1.01,0,-9383,0
PCT_20,300,BIGGEST,EOD,84,15,819252,9753,11230,79.8,-72351,-12496,-9893,-118,-1.37,0,-9892,3
PCT_20,300,ALL,EOD,84,15,819077,9751,11230,79.8,-72351,-12496,-10068,-120,-1.39,0,-10067,3
ABS_5000,200,ADVERSE,EOD,84,1,818994,9750,11230,79.8,-72351,-12496,-10151,-121,-1.01,0,-10151,0
ABS_10000,250,ALL,EOD,84,63,818828,9748,8333,79.8,-38721,-8346,-10317,-123,-0.06,33630,-10308,15
ABS_5000,150,ADVERSE,EOD,84,1,818492,9744,11230,79.8,-72351,-12496,-10653,-127,-1.01,0,-10653,0
ABS_5000,100,ADVERSE,EOD,84,1,818309,9742,11230,79.8,-72351,-12496,-10836,-129,-1.01,0,-10835,0
PCT_20,100,BIGGEST,RECOVER,84,15,818087,9739,11230,78.6,-72351,-12496,-11058,-132,-2.06,0,-11058,1
PCT_20,100,ALL,RECOVER,84,15,817952,9738,11230,78.6,-72351,-12496,-11193,-133,-2.08,0,-11193,1
T1300_5000,200,BIGGEST,EOD,84,68,817579,9733,9317,77.4,-37859,-9360,-11566,-138,-0.12,34492,-11561,17
PCT_20,250,BIGGEST,EOD,84,15,817277,9729,11230,79.8,-72351,-12496,-11868,-141,-1.24,0,-11867,4
PCT_20,250,ALL,EOD,84,15,817095,9727,11230,79.8,-72351,-12496,-12050,-143,-1.26,0,-12050,3
ABS_20000,500,ALL,RECOVER,84,39,816986,9726,11230,79.8,-72589,-12496,-12159,-145,-4.25,-238,-12157,2
ABS_15000,500,BIGGEST,RECOVER,84,48,816709,9723,11230,79.8,-72514,-12496,-12436,-148,-3.7,-163,-12437,3
ABS_15000,400,BIGGEST,RECOVER,84,48,816329,9718,11230,79.8,-72494,-12496,-12816,-153,-2.79,-143,-12818,6
ABS_8000,500,BIGGEST,RECOVER,84,67,815334,9706,10964,79.8,-72482,-12496,-13811,-164,-7.32,-131,-13804,3
ABS_10000,500,ALL,EOD,84,63,815225,9705,9312,78.6,-44347,-12496,-13920,-166,-0.17,28004,-13922,9
ABS_15000,500,ALL,RECOVER,84,48,814382,9695,11230,79.8,-72379,-12496,-14763,-176,-3.87,-28,-14761,3
ABS_8000,200,ALL,EOD,84,67,814194,9693,6164,76.2,-38721,-9905,-14951,-178,-0.07,33630,-14948,13
ABS_15000,400,ALL,RECOVER,84,48,813939,9690,11230,79.8,-72334,-12496,-15206,-181,-3.04,17,-15206,7
ABS_10000,100,ALL,EOD,84,63,813577,9685,4776,72.6,-38721,-9004,-15568,-185,-0.06,33630,-15568,17
ABS_12000,500,ADVERSE,EOD,84,4,813497,9684,11230,79.8,-72351,-12496,-15648,-186,-1.4,0,-15648,0
T1300_10000,500,BIGGEST,RECOVER,84,60,813173,9681,11016,78.6,-72622,-12496,-15972,-190,-5.16,-271,-15970,5
ABS_8000,500,ALL,RECOVER,84,67,812991,9678,10964,79.8,-72561,-12496,-16154,-192,-7.9,-210,-16149,3
T1300_5000,500,BIGGEST,RECOVER,84,68,812937,9678,11166,79.8,-72622,-12496,-16208,-193,-5.02,-271,-16205,8
ABS_15000,250,BIGGEST,RECOVER,84,48,812906,9677,11230,79.8,-72441,-12496,-16239,-193,-2.23,-90,-16234,8
T1300_10000,100,BIGGEST,EOD,84,60,812851,9677,9172,77.4,-38721,-10518,-16294,-194,-0.13,33630,-16293,18
ABS_8000,400,BIGGEST,RECOVER,84,67,812717,9675,10982,79.8,-72484,-12496,-16428,-196,-6.32,-133,-16428,5
ABS_15000,300,BIGGEST,RECOVER,84,48,812509,9673,11230,79.8,-72500,-12496,-16636,-198,-2.52,-149,-16637,4
T1300_10000,150,ALL,EOD,84,60,812431,9672,9004,78.6,-38721,-9004,-16714,-199,-0.11,33630,-16713,17
PCT_20,200,BIGGEST,EOD,84,15,812289,9670,11230,79.8,-72351,-12496,-16856,-201,-1.34,0,-16856,4
ABS_12000,500,BIGGEST,RECOVER,84,59,812187,9669,11088,79.8,-72492,-12496,-16958,-202,-4.43,-141,-16955,6
PCT_20,200,ALL,EOD,84,15,812106,9668,11230,79.8,-72351,-12496,-17039,-203,-1.35,0,-17039,4
ABS_10000,500,ADVERSE,EOD,84,3,811725,9663,10950,79.8,-72351,-12496,-17420,-207,-1.49,0,-17418,0
T1300_5000,400,BIGGEST,RECOVER,84,68,811578,9662,11166,79.8,-72694,-12496,-17567,-209,-4.7,-343,-17563,8
T1300_10000,400,BIGGEST,RECOVER,84,60,811212,9657,10992,78.6,-72694,-12496,-17933,-213,-5.07,-343,-17926,5
ABS_12000,400,BIGGEST,RECOVER,84,59,810513,9649,11044,79.8,-72539,-12496,-18632,-222,-4.14,-188,-18631,6
ABS_8000,400,ALL,RECOVER,84,67,810131,9644,10982,79.8,-72577,-12496,-19014,-226,-6.94,-226,-19013,5
ABS_12000,500,BIGGEST,EOD,84,59,810011,9643,10214,78.6,-49898,-12496,-19134,-228,-0.29,22453,-19127,10
ABS_15000,300,ALL,RECOVER,84,48,809995,9643,11230,79.8,-72226,-12496,-19150,-228,-2.68,125,-19150,5
ABS_15000,250,ALL,RECOVER,84,48,809947,9642,11230,79.8,-72182,-12496,-19198,-229,-2.41,169,-19194,9
ABS_12000,400,ADVERSE,EOD,84,4,809784,9640,11230,79.8,-72351,-12496,-19361,-230,-1.42,0,-19361,0
ABS_15000,200,BIGGEST,RECOVER,84,48,809752,9640,11230,79.8,-72420,-12496,-19393,-231,-1.98,-69,-19394,10
T1400_8000,400,BIGGEST,RECOVER,84,63,809272,9634,11206,78.6,-72351,-12496,-19873,-237,-3.52,0,-19870,5
ABS_12000,500,ALL,RECOVER,84,59,809177,9633,10988,79.8,-72707,-12496,-19968,-238,-4.69,-356,-19967,4
PCT_30,100,ALL,EOD,84,4,808990,9631,11230,79.8,-72351,-12496,-20155,-240,-1.52,0,-20155,0
PCT_30,100,BIGGEST,EOD,84,4,808990,9631,11230,79.8,-72351,-12496,-20155,-240,-1.52,0,-20155,0
ABS_8000,300,BIGGEST,RECOVER,84,67,808839,9629,10993,78.6,-72501,-12496,-20306,-242,-5.93,-150,-20303,4
T1400_8000,500,BIGGEST,RECOVER,84,63,808637,9627,11217,78.6,-72351,-12496,-20508,-244,-4.98,0,-20507,3
T1300_10000,500,ALL,RECOVER,84,60,808505,9625,10972,78.6,-72729,-12496,-20640,-246,-5.67,-378,-20632,5
ABS_10000,500,BIGGEST,RECOVER,84,63,808278,9622,10995,78.6,-73481,-12496,-20867,-248,-6.61,-1130,-20867,2
ABS_5000,400,BIGGEST,RECOVER,84,77,808260,9622,11320,79.8,-72620,-12587,-20885,-249,-4.94,-269,-20882,11
T1300_10000,400,ALL,RECOVER,84,60,807962,9619,10942,78.6,-72807,-12496,-21183,-252,-5.08,-456,-21177,4
T1300_10000,300,BIGGEST,RECOVER,84,60,807872,9618,10987,78.6,-72793,-12496,-21273,-253,-4.2,-442,-21275,9
T1300_5000,300,BIGGEST,RECOVER,84,68,807803,9617,11178,79.8,-72793,-12496,-21342,-254,-4.36,-442,-21344,7
ABS_12000,400,ALL,RECOVER,84,59,807528,9613,10942,79.8,-72708,-12496,-21617,-257,-4.38,-357,-21617,5
T1300_5000,250,BIGGEST,RECOVER,84,68,807389,9612,11059,79.8,-72828,-12496,-21756,-259,-4.33,-477,-21749,9
ABS_12000,300,BIGGEST,RECOVER,84,59,807279,9610,10985,79.8,-72567,-12496,-21866,-260,-3.3,-216,-21862,6
T1300_5000,500,ADVERSE,EOD,84,5,807196,9609,10950,79.8,-72351,-12496,-21949,-261,-1.75,0,-21949,0
ABS_10000,400,ADVERSE,EOD,84,3,807123,9609,10950,79.8,-72351,-12496,-22022,-262,-1.54,0,-22022,0
T1300_5000,500,ALL,RECOVER,84,68,807094,9608,11120,79.8,-72729,-12496,-22051,-263,-5.75,-378,-22044,5
ABS_10000,400,BIGGEST,RECOVER,84,63,807064,9608,10926,78.6,-72593,-12496,-22081,-263,-6.51,-242,-22075,3
ABS_8000,250,BIGGEST,RECOVER,84,67,807036,9608,10942,78.6,-72454,-12496,-22109,-263,-5.83,-103,-22104,4
T1300_5000,400,ALL,RECOVER,84,68,806803,9605,11124,79.8,-72807,-12496,-22342,-266,-5.3,-456,-22339,7
ABS_15000,200,ALL,RECOVER,84,48,806441,9600,11230,79.8,-72083,-12496,-22704,-270,-2.1,268,-22700,11
ABS_12000,250,BIGGEST,RECOVER,84,59,805913,9594,10943,79.8,-72684,-12496,-23232,-277,-3.19,-333,-23229,6
T1300_10000,500,ADVERSE,EOD,84,5,805858,9594,10950,79.8,-72351,-12496,-23287,-277,-1.86,0,-23285,0
ABS_8000,300,ALL,RECOVER,84,67,805827,9593,10993,78.6,-72481,-12496,-23318,-278,-6.56,-130,-23317,4
T1400_8000,400,ALL,RECOVER,84,63,805680,9591,11112,78.6,-72351,-12496,-23465,-279,-3.9,0,-23460,5
ABS_5000,400,ALL,RECOVER,84,77,805622,9591,11320,79.8,-72734,-12814,-23523,-280,-5.57,-383,-23522,10
T1400_8000,300,BIGGEST,RECOVER,84,63,805473,9589,11240,78.6,-72351,-12496,-23672,-282,-3.56,0,-23669,10
T1400_8000,500,ALL,RECOVER,84,63,804666,9579,10964,78.6,-72351,-12496,-24479,-291,-5.4,0,-24476,3
ABS_12000,300,ADVERSE,EOD,84,4,804433,9577,11230,78.6,-72351,-12496,-24712,-294,-1.5,0,-24711,0
T1300_10000,250,BIGGEST,RECOVER,84,60,804354,9576,10910,78.6,-72828,-12496,-24791,-295,-4.6,-477,-24786,5
T1300_10000,300,ALL,RECOVER,84,60,804274,9575,10918,78.6,-72917,-12496,-24871,-296,-4.3,-566,-24871,7
T1300_10000,200,BIGGEST,RECOVER,84,60,804195,9574,10870,77.4,-72963,-12496,-24950,-297,-4.45,-612,-24943,6
ABS_12000,300,ALL,RECOVER,84,59,804002,9571,10926,79.8,-72818,-12496,-25143,-299,-3.55,-467,-25139,5
ABS_8000,250,ALL,RECOVER,84,67,803947,9571,10942,78.6,-72352,-12496,-25198,-300,-6.3,-1,-25195,4
ABS_10000,500,ALL,RECOVER,84,63,803876,9570,10904,78.6,-74222,-12496,-25269,-301,-6.44,-1871,-25265,2
T1400_8000,500,ADVERSE,EOD,84,6,803009,9560,10950,79.8,-72351,-12496,-26136,-311,-1.96,0,-26136,0
ABS_8000,400,ALL,EOD,84,67,802870,9558,7935,79.8,-40319,-9169,-26275,-313,-0.24,32032,-26277,10
ABS_10000,300,ADVERSE,EOD,84,3,802753,9557,10950,79.8,-72351,-12496,-26392,-314,-1.54,0,-26391,0
ABS_10000,400,ALL,RECOVER,84,63,802723,9556,10857,78.6,-73544,-12496,-26422,-315,-6.61,-1193,-26415,3
ABS_12000,250,ALL,RECOVER,84,59,802627,9555,10897,79.8,-72872,-12496,-26518,-316,-3.41,-521,-26517,6
T1300_5000,300,ALL,RECOVER,84,68,802627,9555,11082,79.8,-72917,-12496,-26518,-316,-4.88,-566,-26518,7
T1400_8000,250,BIGGEST,RECOVER,84,63,802596,9555,11240,78.6,-72351,-12496,-26549,-316,-4.15,0,-26546,8
ABS_5000,300,BIGGEST,RECOVER,84,77,802492,9553,11362,79.8,-72935,-12553,-26653,-317,-5.03,-584,-26654,10
ABS_12000,250,ADVERSE,EOD,84,4,802339,9552,11230,78.6,-72351,-12496,-26806,-319,-1.56,0,-26806,0
ABS_12000,200,BIGGEST,RECOVER,84,59,802302,9551,10987,79.8,-72697,-12496,-26843,-320,-3.26,-346,-26843,5
ABS_10000,300,BIGGEST,RECOVER,84,63,802277,9551,10824,78.6,-72710,-12496,-26868,-320,-5.74,-359,-26866,5
T1300_5000,250,ALL,RECOVER,84,68,802148,9549,10970,79.8,-72962,-12496,-26997,-321,-4.75,-611,-26988,8
T1300_5000,200,BIGGEST,RECOVER,84,68,801989,9547,11018,78.6,-72963,-12496,-27156,-323,-4.9,-612,-27149,8
ABS_15000,150,BIGGEST,RECOVER,84,48,801950,9547,11230,79.8,-72408,-12496,-27195,-324,-2.54,-57,-27190,10
T1400_8000,300,ALL,RECOVER,84,63,801801,9545,11148,78.6,-72351,-12496,-27344,-326,-3.79,0,-27341,10
T1300_5000,400,ADVERSE,EOD,84,5,801605,9543,10950,79.8,-72351,-12496,-27540,-328,-1.77,0,-27540,0
ABS_8000,200,BIGGEST,RECOVER,84,67,801094,9537,10794,78.6,-72434,-12496,-28051,-334,-6.9,-83,-28051,5
ABS_10000,250,ADVERSE,EOD,84,3,800945,9535,10950,79.8,-72351,-12496,-28200,-336,-1.58,0,-28200,0
T1300_10000,250,ALL,RECOVER,84,60,800473,9529,10822,78.6,-72962,-12496,-28672,-341,-4.43,-611,-28670,5
ABS_15000,100,BIGGEST,RECOVER,84,48,800189,9526,11230,79.8,-72474,-12496,-28956,-345,-1.83,-123,-28955,13
ABS_5000,500,BIGGEST,RECOVER,84,77,800131,9525,11318,79.8,-72742,-13951,-29014,-345,-4.28,-391,-29016,7
ABS_5000,300,ALL,RECOVER,84,77,799878,9522,11362,79.8,-73057,-12898,-29267,-348,-5.49,-706,-29266,9
T1300_5000,150,BIGGEST,RECOVER,84,68,799663,9520,10992,78.6,-72907,-12496,-29482,-351,-5.23,-556,-29479,5
T1400_8000,200,BIGGEST,RECOVER,84,63,799539,9518,11224,78.6,-72351,-12496,-29606,-352,-4.04,0,-29606,10
T1300_10000,400,ADVERSE,EOD,84,5,799407,9517,10950,79.8,-72351,-12496,-29738,-354,-1.91,0,-29738,0
T1300_10000,150,BIGGEST,RECOVER,84,60,799373,9516,10800,77.4,-72907,-12496,-29772,-354,-4.53,-556,-29770,4
T1300_10000,200,ALL,RECOVER,84,60,799298,9515,10742,77.4,-73133,-12496,-29847,-355,-4.29,-782,-29837,5
PCT_20,150,BIGGEST,EOD,84,15,799082,9513,11388,79.8,-72351,-12496,-30063,-358,-1.55,0,-30062,4
ABS_10000,200,ADVERSE,EOD,84,3,798928,9511,10950,79.8,-72351,-12496,-30217,-360,-1.58,0,-30215,0
PCT_20,150,ALL,EOD,84,15,798892,9511,11388,79.8,-72351,-12496,-30253,-360,-1.56,0,-30252,4
ABS_12000,200,ALL,RECOVER,84,59,798762,9509,10977,79.8,-72943,-12496,-30383,-362,-3.47,-592,-30381,5
ABS_5000,250,BIGGEST,RECOVER,84,77,798687,9508,11405,79.8,-72659,-12525,-30458,-363,-4.42,-308,-30455,13
ABS_12000,200,ADVERSE,EOD,84,4,798661,9508,11230,78.6,-72351,-12496,-30484,-363,-1.63,0,-30484,0
T1400_8000,250,ALL,RECOVER,84,63,798660,9508,11140,78.6,-72351,-12496,-30485,-363,-4.26,0,-30484,8
T1300_10000,100,BIGGEST,RECOVER,84,60,798337,9504,10702,78.6,-73108,-12496,-30808,-367,-4.06,-757,-30800,7
ABS_15000,150,ALL,RECOVER,84,48,797614,9495,11230,79.8,-72073,-12496,-31531,-375,-2.61,278,-31531,11
ABS_8000,150,BIGGEST,RECOVER,84,67,797568,9495,10799,78.6,-72455,-12496,-31577,-376,-4.54,-104,-31579,6
ABS_10000,150,ADVERSE,EOD,84,3,797356,9492,10950,79.8,-72351,-12496,-31789,-378,-1.6,0,-31789,0
ABS_8000,200,ALL,RECOVER,84,67,797268,9491,10794,78.6,-72468,-12496,-31877,-379,-7.42,-117,-31877,4
ABS_10000,300,ALL,RECOVER,84,63,797055,9489,10718,78.6,-73663,-12496,-32090,-382,-5.92,-1312,-32085,4
ABS_10000,250,BIGGEST,RECOVER,84,63,796987,9488,10710,78.6,-72849,-12496,-32158,-383,-6.4,-498,-32155,3
ABS_5000,500,ALL,RECOVER,84,77,796930,9487,11318,79.8,-73092,-14175,-32215,-384,-4.68,-741,-32220,6
T1300_5000,200,ALL,RECOVER,84,68,796825,9486,10936,78.6,-73133,-12496,-32320,-385,-5.17,-782,-32312,6
ABS_10000,200,BIGGEST,RECOVER,84,63,796455,9482,10665,78.6,-73015,-12496,-32690,-389,-6.75,-664,-32689,4
T1400_8000,400,ADVERSE,EOD,84,6,796310,9480,10950,79.8,-72351,-12496,-32835,-391,-1.98,0,-32834,0
ABS_10000,100,ADVERSE,EOD,84,3,796279,9480,10950,79.8,-72351,-12496,-32866,-391,-1.6,0,-32864,0
T1300_5000,100,BIGGEST,RECOVER,84,68,796266,9479,11122,77.4,-73108,-12496,-32879,-391,-5.04,-757,-32870,9
ABS_5000,250,ALL,RECOVER,84,77,795433,9469,11405,79.8,-72782,-12816,-33712,-401,-4.86,-431,-33709,12
T1400_8000,150,BIGGEST,RECOVER,84,63,795385,9469,11047,78.6,-72351,-12496,-33760,-402,-3.77,0,-33765,11
T1400_8000,200,ALL,RECOVER,84,63,795366,9469,11117,78.6,-72351,-12496,-33779,-402,-4.03,0,-33778,10
ABS_12000,150,BIGGEST,RECOVER,84,59,795293,9468,11006,79.8,-72905,-12496,-33852,-403,-4.53,-554,-33853,8
T1300_5000,300,ADVERSE,EOD,84,5,795046,9465,10950,78.6,-72351,-12496,-34099,-406,-1.81,0,-34099,0
ABS_15000,100,ALL,RECOVER,84,48,794653,9460,11230,79.8,-72165,-12496,-34492,-411,-1.97,186,-34492,13
ABS_12000,150,ADVERSE,EOD,84,4,794322,9456,11230,78.6,-72351,-12496,-34823,-415,-1.73,0,-34822,0
T1300_10000,300,ADVERSE,EOD,84,5,794182,9455,10950,78.6,-72351,-12496,-34963,-416,-1.92,0,-34962,0
ABS_10000,200,ALL,EOD,84,63,793976,9452,7598,79.8,-38721,-9004,-35169,-419,-0.16,33630,-35165,15
ABS_8000,150,ALL,RECOVER,84,67,793698,9449,10799,78.6,-72531,-12496,-35447,-422,-4.98,-180,-35449,5
ABS_8000,500,ALL,EOD,84,67,793572,9447,8934,78.6,-44802,-12496,-35573,-423,-0.46,27549,-35571,8
T1300_5000,150,ALL,RECOVER,84,68,793390,9445,10984,78.6,-73121,-12496,-35755,-426,-5.11,-770,-35756,4
T1300_10000,150,ALL,RECOVER,84,60,793288,9444,10624,77.4,-73121,-12496,-35857,-427,-4.27,-770,-35851,3
ABS_12000,100,BIGGEST,RECOVER,84,59,793253,9443,11098,79.8,-73181,-12496,-35892,-427,-3.76,-830,-35894,8
ABS_12000,150,ALL,RECOVER,84,59,791885,9427,10928,79.8,-73114,-12496,-37260,-444,-4.45,-763,-37263,7
T1300_5000,250,ADVERSE,EOD,84,5,791792,9426,10950,78.6,-72351,-12496,-37353,-445,-1.87,0,-37352,0
T1400_8000,100,BIGGEST,RECOVER,84,63,791673,9425,11073,78.6,-72351,-12496,-37472,-446,-3.15,0,-37473,9
ABS_10000,250,ALL,RECOVER,84,63,791009,9417,10590,78.6,-73837,-12496,-38136,-454,-6.39,-1486,-38136,2
ABS_10000,150,ALL,EOD,84,63,790836,9415,7235,78.6,-38721,-9004,-38309,-456,-0.16,33630,-38303,17
ABS_10000,400,BIGGEST,EOD,84,63,790734,9414,8434,78.6,-39590,-12478,-38411,-457,-0.48,32761,-38413,13
T1400_8000,150,ALL,RECOVER,84,63,790685,9413,10910,78.6,-72351,-12496,-38460,-458,-3.61,0,-38460,10
T1300_10000,250,ADVERSE,EOD,84,5,790205,9407,10950,78.6,-72351,-12496,-38940,-464,-1.99,0,-38939,0
T1300_10000,100,ALL,RECOVER,84,60,790074,9406,10491,77.4,-73363,-12496,-39071,-465,-3.82,-1012,-39065,5
T1300_5000,100,ALL,RECOVER,84,68,789988,9405,11062,77.4,-73363,-12496,-39157,-466,-4.65,-1012,-39147,8
ABS_5000,200,BIGGEST,RECOVER,84,77,789886,9403,11181,78.6,-72619,-12596,-39259,-467,-4.17,-268,-39254,11
ABS_10000,150,BIGGEST,RECOVER,84,63,789546,9399,10504,78.6,-73124,-12496,-39599,-471,-6.48,-773,-39597,5
T1300_5000,200,ADVERSE,EOD,84,5,789410,9398,10950,78.6,-72351,-12496,-39735,-473,-1.87,0,-39735,0
T1400_8000,300,ADVERSE,EOD,84,6,789317,9397,10950,78.6,-72351,-12496,-39828,-474,-2.02,0,-39828,0
ABS_8000,250,ALL,EOD,84,67,789212,9395,7012,78.6,-38721,-9210,-39933,-475,-0.22,33630,-39933,15
ABS_12000,100,ALL,RECOVER,84,59,789027,9393,10976,79.8,-73260,-12496,-40118,-478,-3.73,-909,-40119,7
ABS_10000,200,ALL,RECOVER,84,63,788871,9391,10588,77.4,-74256,-12496,-40274,-479,-6.45,-1905,-40267,3
