day,action,symbol,qty,price,ret_pct,why
2026-08-06,REFUSED,SHRIRAMFIN,0,0,0,no free slot (tie-break rank by TV 472.28 cr)
2026-08-06,REFUSED,SONACOMS,0,0,0,no free slot (tie-break rank by TV 191.91 cr)
2026-08-06,REFUSED,RICOAUTO,0,0,0,no free slot (tie-break rank by TV 22.70 cr)
2026-08-06,REFUSED,ASKAUTOLTD,0,0,0,no free slot (tie-break rank by TV 15.58 cr)
2026-08-06,REFUSED,JGCHEM,0,0,0,no free slot (tie-break rank by TV 6.27 cr)
2026-08-06,REFUSED,INDOTECH,0,0,0,no free slot (tie-break rank by TV 5.51 cr)
2026-08-06,REFUSED,VSSL,0,0,0,no free slot (tie-break rank by TV 3.32 cr)
2026-08-06,REFUSED,BOSCH-HCIL,0,0,0,no free slot (tie-break rank by TV 2.56 cr)
2026-08-10,REFUSED,MARINE,0,0,0,no free slot (tie-break rank by TV 18.99 cr)
2026-08-10,REFUSED,MPSLTD,0,0,0,no free slot (tie-break rank by TV 13.13 cr)
2026-08-10,REFUSED,FIEMIND,0,0,0,no free slot (tie-break rank by TV 10.04 cr)
2026-08-10,REFUSED,AGARWALEYE,0,0,0,no free slot (tie-break rank by TV 4.19 cr)
2026-08-10,REFUSED,TRAVELFOOD,0,0,0,no free slot (tie-break rank by TV 2.28 cr)
2026-08-11,REFUSED,MACPOWER,0,0,0,no free slot (tie-break rank by TV 3.38 cr)
2026-08-12,SELL,ZYDUSWELL,71,507.95,-5.95,"ST(14,4) flip on 2026-08-11 close"
2026-08-12,BUY,ANTHEM,43,898.0,0,"ATH close 2026-08-11, base 220 bars, depth 31%, TV 58.67 cr"
2026-08-12,REFUSED,LUMAXTECH,0,0,0,no free slot (tie-break rank by TV 17.22 cr)
2026-08-12,REFUSED,INDSWFTLAB,0,0,0,no free slot (tie-break rank by TV 9.64 cr)
2026-08-13,REFUSED,PIDILITIND,0,0,0,no free slot (tie-break rank by TV 167.40 cr)
2026-08-13,REFUSED,TI,0,0,0,no free slot (tie-break rank by TV 44.09 cr)
2026-08-13,REFUSED,KRN,0,0,0,no free slot (tie-break rank by TV 7.81 cr)
2026-08-13,REFUSED,DIVGIITTS,0,0,0,no free slot (tie-break rank by TV 3.79 cr)
2026-08-14,REFUSED,LMW,0,0,0,no free slot (tie-break rank by TV 6.36 cr)
2026-08-17,REFUSED,LGEINDIA,0,0,0,no free slot (tie-break rank by TV 30.59 cr)
2026-08-17,REFUSED,UNIMECH,0,0,0,no free slot (tie-break rank by TV 15.25 cr)
2026-08-17,REFUSED,MANORAMA,0,0,0,no free slot (tie-break rank by TV 14.78 cr)
2026-08-18,SELL,AIAENG,7,4383.6,-9.8,"ST(14,4) flip on 2026-08-17 close"
2026-08-18,BUY,SHANTIGOLD,144,269.0,0,"ATH close 2026-08-17, base 245 bars, depth 38%, TV 15.58 cr"
2026-08-19,REFUSED,ASIANENE,0,0,0,no free slot (tie-break rank by TV 14.79 cr)
2026-08-20,REFUSED,STYLEBAAZA,0,0,0,no free slot (tie-break rank by TV 11.00 cr)
2026-08-21,REFUSED,RATNAVEER,0,0,0,no free slot (tie-break rank by TV 190.95 cr)
2026-08-21,REFUSED,MOREPENLAB,0,0,0,no free slot (tie-break rank by TV 109.32 cr)
2026-08-21,REFUSED,BALRAMCHIN,0,0,0,no free slot (tie-break rank by TV 35.69 cr)
2026-08-21,REFUSED,AVADHSUGAR,0,0,0,no free slot (tie-break rank by TV 6.90 cr)
2026-08-21,REFUSED,ADOR,0,0,0,no free slot (tie-break rank by TV 5.51 cr)
2026-08-21,REFUSED,PVP,0,0,0,no free slot (tie-break rank by TV 3.29 cr)
2026-08-24,REFUSED,IIFL,0,0,0,no free slot (tie-break rank by TV 91.82 cr)
2026-08-25,REFUSED,MANGLMCEM,0,0,0,no free slot (tie-break rank by TV 2.05 cr)
2026-08-26,REFUSED,WELENT,0,0,0,no free slot (tie-break rank by TV 17.07 cr)
2026-08-26,REFUSED,ENTERO,0,0,0,no free slot (tie-break rank by TV 12.76 cr)
2026-08-27,REFUSED,TVSSRICHAK,0,0,0,no free slot (tie-break rank by TV 5.67 cr)
2026-08-28,REFUSED,MEDANTA,0,0,0,no free slot (tie-break rank by TV 33.09 cr)
2026-08-28,REFUSED,VINCOFE,0,0,0,no free slot (tie-break rank by TV 30.55 cr)
2026-08-31,SELL,PSPPROJECT,38,889.0,-14.52,"ST(14,4) flip on 2026-08-28 close"
2026-08-31,REFUSED,COFORGE,19,2015.0,0,"refused for cash: needs Rs 38,285, have Rs 34,631"
2026-08-31,REFUSED,QPOWER,26,1502.7,0,"refused for cash: needs Rs 39,070, have Rs 34,631"
2026-09-01,REFUSED,ICIL,85,470.95,0,"refused for cash: needs Rs 40,031, have Rs 34,631"
2026-09-01,REFUSED,PRUDENT,10,3700.0,0,"refused for cash: needs Rs 37,000, have Rs 34,631"
2026-09-02,REFUSED,BAJAJ-AUTO,3,12211.0,0,"refused for cash: needs Rs 36,633, have Rs 34,631"
2026-09-02,REFUSED,TBZ,106,380.0,0,"refused for cash: needs Rs 40,280, have Rs 34,631"
2026-09-02,REFUSED,DYCL,74,542.0,0,"refused for cash: needs Rs 40,108, have Rs 34,631"
2026-09-07,REFUSED,WELSPUNLIV,195,210.0,0,"refused for cash: needs Rs 40,950, have Rs 34,631"
2026-09-08,REFUSED,RAYMOND,53,775.0,0,"refused for cash: needs Rs 41,075, have Rs 34,631"
2026-09-08,REFUSED,WINDLAS,35,1164.0,0,"refused for cash: needs Rs 40,740, have Rs 34,631"
2026-09-08,REFUSED,ARTEMISMED,118,347.5,0,"refused for cash: needs Rs 41,005, have Rs 34,631"
2026-09-08,REFUSED,MMP,90,454.75,0,"refused for cash: needs Rs 40,928, have Rs 34,631"
2026-09-09,REFUSED,CYIENTDLM,42,980.0,0,"refused for cash: needs Rs 41,160, have Rs 34,631"
2026-09-09,REFUSED,KABRAEXTRU,62,656.45,0,"refused for cash: needs Rs 40,700, have Rs 34,631"
2026-09-09,REFUSED,BODALCHEM,221,186.4,0,"refused for cash: needs Rs 41,194, have Rs 34,631"
2026-09-09,REFUSED,SHANTIGEAR,57,711.5,0,"refused for cash: needs Rs 40,556, have Rs 34,631"
2026-09-10,REFUSED,STAR,34,1189.0,0,"refused for cash: needs Rs 40,426, have Rs 34,631"
2026-09-10,REFUSED,RACLGEAR,25,1643.9,0,"refused for cash: needs Rs 41,098, have Rs 34,631"
2026-09-10,REFUSED,STLNETWORK,1190,34.76,0,"refused for cash: needs Rs 41,364, have Rs 34,631"
2026-09-11,REFUSED,NEOGEN,17,2390.0,0,"refused for cash: needs Rs 40,630, have Rs 34,631"
2026-09-11,REFUSED,AHCL,2351,17.73,0,"refused for cash: needs Rs 41,683, have Rs 34,631"
