underlying,timeframe,atr_period,multiplier,label,n_trades,raw_n_flips,filter_rate,trades_per_month,avg_entry_lag_bars,avg_trend_bars,avg_trend_cal_days,median_trend_cal_days,pct_in_market,pct_bars_long,pct_bars_short,dominant_direction_pct,mean_mae_pts,mean_mfe_pts,mfe_mae_ratio,weekly_alignment_pct,total_bars,calendar_days_span,passed_gates
NIFTY50,30min,30,3.5,NIFTY50_30min_p30_m3.5,130,143,0.09090909090909094,5.247844827586207,2.8702290076335877,37.5,4.864583333333334,4.010416666666666,0.896634173257311,0.5295199558580099,0.3671142173993011,0.5295199558580099,108.98078425480786,356.78460937499983,3.2738304446479494,0.3769230769230769,5437,754,1
NIFTY50,30min,30,4.0,NIFTY50_30min_p30_m4.0,106,123,0.1382113821138211,4.279011936339523,2.878504672897196,45.84905660377358,6.029088050314466,4.8125,0.8938752988780577,0.5059775611550488,0.387897737723009,0.5059775611550488,121.12783018867944,400.6651053950471,3.3077873579584116,0.4716981132075472,5437,754,1
NIFTY50,30min,30,5.0,NIFTY50_30min_p30_m5.0,78,83,0.06024096385542166,3.148706896551724,3.848101265822785,63.93589743589744,8.321314102564104,6.104166666666666,0.917233768622402,0.5206915578443995,0.39654221077800256,0.5206915578443995,139.7352263621796,486.1814352964744,3.479304739066592,0.6666666666666666,5437,754,1
NIFTY50,30min,50,1.5,NIFTY50_30min_p50_m1.5,296,349,0.15186246418338112,11.948938992042441,1.8585858585858586,15.45608108108108,1.67602759009009,0.9791666666666666,0.8414566856722457,0.48169946661762003,0.3597572190546257,0.48169946661762003,60.81048748944261,212.19595122466214,3.489463084167871,0.0945945945945946,5437,754,0
NIFTY50,30min,50,2.0,NIFTY50_30min_p50_m2.0,234,267,0.1235955056179775,9.446120689655173,2.106382978723404,19.918803418803417,2.328792735042735,1.1041666666666667,0.8572742321132978,0.4923671142173993,0.36490711789589847,0.4923671142173993,70.09278178418809,247.98394931891013,3.537938472501197,0.15384615384615385,5437,754,0
NIFTY50,30min,50,2.5,NIFTY50_30min_p50_m2.5,189,211,0.10426540284360186,7.629559018567639,2.0789473684210527,25.47089947089947,3.191247795414463,2.0208333333333335,0.8854147507816811,0.5171969836306787,0.3682177671510024,0.5171969836306787,82.70029761904786,280.5600177744708,3.392491029075222,0.24338624338624337,5437,754,1
NIFTY50,30min,50,3.0,NIFTY50_30min_p50_m3.0,154,167,0.07784431137724546,6.216677718832892,2.458064516129032,31.545454545454547,4.039231601731602,2.916666666666667,0.893507448960824,0.5142541842928086,0.37925326466801546,0.5142541842928086,87.90877384334436,332.42857142857133,3.7815175538788353,0.3116883116883117,5437,754,1
NIFTY50,30min,50,3.5,NIFTY50_30min_p50_m3.5,130,145,0.10344827586206895,5.247844827586207,2.9236641221374047,37.12307692307692,4.8009615384615385,3.979166666666667,0.8876218502850837,0.523082582306419,0.3645392679786647,0.523082582306419,108.07269230769259,357.7565384615383,3.3103324329422046,0.36923076923076925,5437,754,1
NIFTY50,30min,50,4.0,NIFTY50_30min_p50_m4.0,105,121,0.1322314049586777,4.238643899204244,2.952830188679245,46.285714285714285,6.077182539682539,4.854166666666667,0.8938752988780577,0.5186683832996137,0.375206915578444,0.5186683832996137,115.6538058035716,411.0100148809522,3.553795848093565,0.47619047619047616,5437,754,1
NIFTY50,30min,50,5.0,NIFTY50_30min_p50_m5.0,77,83,0.07228915662650603,3.108338859416446,2.8846153846153846,65.28571428571429,8.479437229437229,6.041666666666667,0.9245907669670774,0.5401876034577893,0.3844031635092882,0.5401876034577893,149.14281655844172,494.9915330762987,3.3189096498143167,0.5974025974025974,5437,754,1
NIFTY50,60min,7,1.5,NIFTY50_60min_p7_m1.5,211,238,0.11344537815126055,8.797688356164384,1.7358490566037736,13.881516587677725,2.5392969984202214,1.2083333333333333,0.8517010758941552,0.4669962198313463,0.38470485606280896,0.4669962198313463,79.91560833827015,272.4893920319905,3.4097142935906333,0.18009478672985782,3439,730,0
NIFTY50,60min,7,2.0,NIFTY50_60min_p7_m2.0,171,190,0.09999999999999998,7.129880136986301,1.9709302325581395,17.350877192982455,3.368908382066276,2.1666666666666665,0.8627507996510614,0.4826984588543181,0.3800523407967432,0.4826984588543181,91.51022249634502,298.50005710891816,3.261931278998261,0.23976608187134502,3439,730,1
NIFTY50,60min,7,2.5,NIFTY50_60min_p7_m2.5,133,150,0.11333333333333329,5.545462328767123,2.1343283582089554,22.63157894736842,4.533208020050126,3.8333333333333335,0.875254434428613,0.4914219249781913,0.38383250945042163,0.4914219249781913,115.3098713580827,341.94547403665416,2.9654484044542757,0.3458646616541353,3439,730,1
