symbol,mode,ipo_short_window,base_qualify_date,rim_date,rim_level,trough_date,trough_close,depth_pct,base_len_bars,trough_pos,fit_r2,fit_curvature,vertex_frac,flat_frac,r2_ge_060,r2_ge_080,vol_ratio,obv_gain,obv_slope_norm,obv_filter_pass,tv20_cr_at_q,tv20_cr_at_breakout,breakout_date,breakout_close,breakout_day_move_pct,days_q_to_breakout,fill_a_nextopen_date,fill_a_nextopen,fill_b_buystop,gap_pct_a_vs_rim,pattern_quality,info_fwd60_pct,info_fwd120_pct,info_fwd250_pct,info_st73_exit_date,info_st73_exit_close,info_st73_ret_pct,info_st73_bars_held,info_st73_still_open,info_mfe_250_pct,info_mae_250_pct
ADANIENT,L120,0,2018-08-23,2018-03-05,194.8,2018-07-02,101.8,47.74,120,0.697,0.778,1.557e-04,0.477,0.467,1,0,2.377,0.5565,0.614,1,286.6,286.6,2018-08-23,204.4,-1.16,0,2018-08-24,203.6,203.6,4.52,0.4089,-24.21,-42.83,-35.76,2018-09-06,158.7,-22.05,10,0,12.67,-46.17
ADANIENT,L180,0,2006-06-09,2005-09-19,10.1,2006-03-22,7.9,21.78,180,0.698,0.705,8.973e-05,0.38,0.428,1,0,0.876,0.4883,0.7304,0,3.76,3.76,2006-06-09,20.6,-4.63,0,2006-06-12,19.5,19.5,93.07,0.1843,-11.79,52.31,73.85,2006-06-12,19.5,0.0,1,0,88.21,-26.67
ADANIENT,L180,0,2007-01-17,2006-06-01,27.3,2006-07-25,15.1,44.69,180,0.324,0.821,6.866e-05,0.391,0.4,1,1,1.606,0.4673,0.4957,1,6.37,6.37,2007-01-17,33.0,3.12,0,2007-01-18,33.1,33.1,21.25,0.3996,-3.93,35.05,369.79,2007-02-12,30.2,-8.76,16,0,478.25,-23.26
ADANIENT,L180,0,2009-06-01,2008-09-10,94.5,2009-03-05,35.0,62.96,180,0.698,0.785,1.083e-04,0.529,0.65,1,0,3.107,0.5389,0.6633,1,9.02,9.02,2009-06-01,101.7,4.85,0,2009-06-02,103.4,103.4,9.42,0.4536,-1.55,15.38,53.0,2009-07-13,97.0,-6.19,30,0,70.7,-14.02
ADANIENT,L180,0,2020-09-17,2020-02-20,250.8,2020-03-23,117.2,53.27,180,0.318,0.712,8.999e-05,0.492,0.483,1,0,1.094,0.3735,0.3724,0,200.4,200.4,2020-09-17,284.7,-1.15,0,2020-09-18,288.5,288.5,15.03,0.2366,52.96,201.8,384.4,2021-06-17,1326.0,359.62,185,0,477.05,-13.48
ADANIENT,L250,0,2009-07-02,2008-06-20,112.1,2009-03-05,35.0,68.78,250,0.691,0.746,6.952e-05,0.532,0.524,1,0,3.269,0.4383,0.5312,1,11.45,11.45,2009-07-02,112.3,-2.69,0,2009-07-03,112.2,112.2,0.09,0.3559,-13.73,10.25,36.54,2009-07-13,97.0,-13.55,7,0,57.31,-20.77
ADANIPORTS,L180,0,2009-05-25,2008-09-01,118.21,2008-11-28,51.59,56.36,180,0.369,0.717,6.904e-05,0.544,0.489,1,0,1.082,0.2114,0.0417,0,21.09,21.09,2009-05-25,119.96,9.79,0,2009-05-26,121.48,121.48,2.77,0.2459,-10.78,-12.74,14.66,2009-07-06,107.97,-11.12,30,0,32.7,-23.09
ADANIPORTS,L180,0,2010-02-19,2009-06-10,137.48,2009-11-03,96.28,29.97,180,0.592,0.701,2.688e-05,0.486,0.444,1,0,0.648,0.1809,0.2282,0,16.58,25.2,2010-03-02,137.52,2.04,6,2010-03-03,137.6,137.6,0.09,0.2874,-2.31,16.55,6.32,2010-05-04,142.36,3.46,42,0,34.63,-17.15
ADANIPORTS,L180,0,2025-05-27,2024-09-12,1472.6,2025-03-03,1053.05,28.49,180,0.693,0.8,3.108e-05,0.581,0.4,1,0,1.003,0.315,0.3267,0,401.07,290.72,2025-06-10,1473.8,0.46,10,2025-06-11,1473.8,1473.8,0.08,0.286,-9.88,3.01,22.46,2025-06-18,1372.6,-6.87,6,0,26.06,-12.44
ADANIPORTS,VAR,0,2010-02-25,2009-06-10,137.48,2009-11-03,96.28,29.97,176,0.56,0.706,2.689e-05,0.456,0.455,1,0,0.7,0.2054,0.1976,0,24.26,25.2,2010-03-02,137.52,2.04,2,2010-03-03,137.6,137.6,0.09,0.3382,-2.31,16.55,6.32,2010-05-04,142.36,3.46,42,0,34.63,-17.15
