symbol,mode,ipo_short_window,left_rim_date,left_rim_level,trough_date,trough_close,depth_pct,base_len_bars,trough_pos,fit_r2,fit_curvature,vertex_frac,flat_frac,r2_ge_060,r2_ge_080,vol_ratio,obv_gain,obv_slope_norm,obv_filter_pass,base_qualify_date,tv20_cr_at_q,trigger_date,trigger_close,trigger_level,trigger_N,vol_multiple,volx_ge_2,volx_ge_5,fired_n40,fired_n60,fired_n100,days_q_to_trigger,trigger_day_move_pct,tv20_cr_at_trigger,entry_date,entry_open,dist_to_left_rim_pct,pattern_quality,info_fwd60_pct,info_fwd120_pct,info_fwd250_pct,info_st73_exit_date,info_st73_exit_close,info_st73_ret_pct,info_st73_bars_held,info_st73_still_open,info_mfe_250_pct,info_mae_250_pct
ABAN-BE,L120,0,2017-04-25,227.95,2017-08-11,162.7,28.62,120,0.664,0.782,3.850e-05,0.691,0.483,1,0,1.738,0.3182,0.2301,1,2017-10-11,17.23,2017-10-26,192.55,190.1,60,3.17,1,0,1,1,0,9,3.05,17.53,2017-10-27,193.75,15.53,0.4013,18.74,-9.5,-61.55,2017-11-15,190.65,-1.6,14,0,44.88,-63.82
ABAN-BE,L180,0,2013-05-07,330.4,2013-09-03,209.95,36.46,180,0.542,0.703,6.173e-05,0.477,0.494,1,0,2.989,0.4331,0.5729,1,2014-01-03,30.24,2014-01-06,402.05,391.35,60,4.47,1,0,1,1,1,1,9.09,34.49,2014-01-07,405.5,-21.69,0.5698,29.61,97.69,16.31,2014-01-27,375.9,-7.3,15,0,131.81,-8.84
ABAN-BE,L180,0,2017-02-22,240.25,2017-08-11,162.7,32.28,180,0.665,0.768,2.113e-05,0.694,0.494,1,0,1.694,0.4112,0.3798,1,2017-11-10,29.81,2018-01-10,251.45,220.7,60,17.47,1,1,1,1,1,42,15.19,28.24,2018-01-11,252.7,-4.66,0.4317,-28.73,-56.11,-71.13,2018-01-30,213.5,-15.51,13,0,11.08,-73.64
ABAN-BE,L250,0,2017-01-19,254.65,2017-08-11,162.7,36.11,250,0.622,0.773,1.211e-05,0.694,0.444,1,0,1.455,0.3723,0.4461,1,2017-12-29,15.1,2018-01-10,251.45,220.7,60,17.47,1,1,1,1,1,8,15.19,28.24,2018-01-11,252.7,1.26,0.4406,-28.73,-56.11,-71.13,2018-01-30,213.5,-15.51,13,0,11.08,-73.64
ABAN-BE,L250,0,2022-09-12,59.25,2023-03-28,31.75,46.41,250,0.558,0.75,1.329e-05,0.689,0.404,1,0,0.925,0.4388,0.2503,0,2023-09-07,2.23,2023-10-17,52.2,50.75,60,13.02,1,1,1,1,1,26,6.1,0.88,2023-10-18,52.7,11.9,0.3893,16.32,16.89,28.84,2024-02-29,68.6,30.17,93,0,77.13,-7.5
ABAN-BE,VAR,0,2017-01-19,254.65,2017-08-11,162.7,36.11,223,0.626,0.81,1.661e-05,0.671,0.484,1,1,1.568,0.3786,0.4502,1,2017-12-13,17.56,2018-01-10,251.45,220.7,60,17.47,1,1,1,1,1,19,15.19,28.24,2018-01-11,252.7,1.26,0.5224,-28.73,-56.11,-71.13,2018-01-30,213.5,-15.51,13,0,11.08,-73.64
ABAN-BE,VAR,0,2022-09-12,59.25,2023-03-28,31.75,46.41,247,0.553,0.742,1.364e-05,0.683,0.409,1,0,0.945,0.4388,0.2503,0,2023-09-07,2.23,2023-10-17,52.2,50.75,60,13.02,1,1,1,1,1,26,6.1,0.88,2023-10-18,52.7,11.9,0.3893,16.32,16.89,28.84,2024-02-29,68.6,30.17,93,0,77.13,-7.5
ABBOTINDIA,L180,0,2021-10-05,23184.5,2022-02-08,15562.6,32.87,180,0.542,0.819,1.809e-05,0.697,0.55,1,1,1.088,0.1413,0.1046,0,2022-06-09,24.73,2022-06-29,18992.8,18376.15,60,3.52,1,0,1,1,1,14,4.72,22.07,2022-06-30,18900.0,18.08,0.581,-6.95,15.57,22.8,2022-08-11,18917.55,0.09,30,0,24.6,-8.33
ABBOTINDIA,L250,0,2021-10-05,23184.5,2022-02-08,15562.6,32.87,250,0.422,0.702,1.346e-05,0.557,0.436,1,0,0.972,0.0911,0.1326,0,2022-09-08,24.63,2022-12-21,21548.5,20898.7,60,3.6,1,0,1,1,1,71,3.11,23.54,2022-12-22,21550.0,7.06,0.2945,-2.88,5.39,4.19,2023-01-30,20985.7,-2.62,27,0,14.82,-7.66
ABBOTINDIA,VAR,0,2021-10-05,23184.5,2022-02-08,15562.6,32.87,159,0.544,0.829,2.203e-05,0.699,0.566,1,1,1.137,0.1075,0.0845,0,2022-05-26,16.79,2022-06-02,18376.15,18197.45,60,5.16,1,1,1,1,0,5,3.38,21.31,2022-06-03,18450.0,20.74,0.5992,1.71,9.85,18.28,2022-08-11,18917.55,2.53,49,0,25.42,-6.1
ABBOTINDIA,VAR,0,2021-10-05,23184.5,2022-02-08,15562.6,32.87,224,0.386,0.762,1.756e-05,0.528,0.487,1,0,0.977,0.1063,0.1436,0,2022-08-29,26.39,2022-12-21,21548.5,20898.7,60,3.6,1,0,1,1,1,78,3.11,23.54,2022-12-22,21550.0,7.06,0.3752,-2.88,5.39,4.19,2023-01-30,20985.7,-2.62,27,0,14.82,-7.66
ABCAPITAL,L120,0,2020-01-13,112.25,2020-03-24,40.05,64.32,120,0.454,0.843,1.650e-04,0.687,0.592,1,1,1.202,0.4283,0.368,1,2020-07-01,27.02,2020-09-03,71.25,67.45,60,5.62,1,1,1,1,1,46,12.29,15.35,2020-09-04,70.15,36.53,0.5715,26.09,74.41,53.39,2020-09-24,61.35,-12.54,15,0,99.14,-14.68
ABCAPITAL,L180,0,2020-01-13,112.25,2020-03-24,40.05,64.32,180,0.447,0.709,6.229e-05,0.697,0.55,1,0,1.09,0.3446,0.429,0,2020-08-18,10.9,2020-09-03,71.25,67.45,60,5.62,1,1,1,1,1,12,12.29,15.35,2020-09-04,70.15,36.53,0.3566,26.09,74.41,53.39,2020-09-24,61.35,-12.54,15,0,99.14,-14.68
ABCAPITAL,VAR,0,2020-01-13,112.25,2020-03-24,40.05,64.32,112,0.45,0.866,1.831e-04,0.698,0.625,1,1,1.192,0.4122,0.3182,0,2020-06-25,28.73,2020-09-03,71.25,67.45,60,5.62,1,1,1,1,1,50,12.29,15.35,2020-09-04,70.15,36.53,0.592,26.09,74.41,53.39,2020-09-24,61.35,-12.54,15,0,99.14,-14.68
ABDL,L120,0,2025-01-03,433.83,2025-05-02,302.23,30.33,120,0.697,0.82,1.047e-04,0.506,0.458,1,1,1.297,0.4618,0.4857,1,2025-06-23,24.01,2025-07-14,486.45,447.25,60,5.15,1,1,1,1,1,15,8.76,16.41,2025-07-15,488.8,-12.13,0.4094,11.51,12.8,26.72,2025-12-02,598.6,22.46,96,0,45.6,-21.83
ABFRL,L120,0,2020-02-20,207.55,2020-05-18,74.6,64.06,120,0.479,0.837,1.489e-04,0.656,0.775,1,1,1.442,0.1983,0.074,1,2020-08-13,14.94,2020-08-21,110.85,108.15,60,4.46,1,0,1,1,0,6,2.5,16.64,2020-08-24,115.85,46.59,0.5557,3.11,9.67,29.43,2020-09-09,98.35,-15.11,13,0,53.17,-21.28
ABFRL,L120,0,2023-02-17,198.5,2023-05-22,143.7,27.61,120,0.639,0.796,3.644e-05,0.695,0.458,1,0,1.258,0.3222,0.1835,1,2023-07-21,52.16,2023-09-05,174.75,168.9,60,6.14,1,1,1,1,1,31,5.14,39.08,2023-09-06,177.1,11.96,0.3934,-0.68,-1.33,33.88,2023-09-22,162.35,-8.33,12,0,49.1,-15.08
ABFRL,L120,0,2024-12-02,243.85,2025-03-10,179.6,26.35,120,0.647,0.731,3.420e-05,0.683,0.458,1,0,0.882,0.2754,0.2354,0,2025-05-15,52.84,2025-05-19,216.5,210.45,60,5.37,1,1,1,1,0,2,2.87,58.62,2025-05-20,217.95,11.22,0.2773,-65.75,-63.27,-69.37,2025-05-22,89.85,-58.77,3,0,0.8,-75.45
ABFRL,L180,0,2020-02-20,207.55,2020-05-18,74.6,64.06,180,0.492,0.758,6.010e-05,0.696,0.678,1,0,1.974,0.1697,0.1316,1,2020-09-23,21.31,2020-10-22,116.15,114.35,60,3.23,1,0,1,1,1,20,1.75,19.7,2020-10-23,116.5,44.04,0.4943,10.52,6.91,69.06,2020-12-22,114.0,-2.15,42,0,79.4,-6.44
ABFRL,L180,0,2022-12-14,239.55,2023-05-22,143.7,40.01,180,0.609,0.928,2.724e-05,0.695,0.667,1,1,1.366,0.2515,0.1851,1,2023-08-30,42.08,2023-09-05,174.75,168.9,60,6.14,1,1,1,1,1,4,5.14,39.08,2023-09-06,177.1,27.05,0.7181,-0.68,-1.33,33.88,2023-09-22,162.35,-8.33,12,0,49.1,-15.08
ABFRL,L250,0,2016-01-01,185.0,2016-02-29,95.6,48.32,250,0.337,0.746,1.900e-05,0.696,0.708,1,0,10.759,0.0584,-0.0036,0,2016-11-03,7.91,2017-04-12,134.0,127.65,60,3.8,1,0,1,1,1,109,4.97,10.43,2017-04-13,135.0,27.57,0.4391,-2.33,-11.04,-16.67,2017-08-11,121.05,-10.33,84,0,4.15,-26.04
ABFRL,L250,0,2020-02-20,207.55,2020-05-18,74.6,64.06,250,0.438,0.703,3.478e-05,0.639,0.624,1,0,2.493,0.2621,0.2366,1,2020-12-03,28.18,2021-01-12,132.1,127.7,60,3.07,1,0,1,1,1,27,3.45,31.02,2021-01-13,133.95,36.35,0.4186,-2.31,21.05,74.02,2021-01-27,122.7,-8.4,10,0,76.75,-16.09
ABFRL,L250,0,2022-11-01,271.05,2023-05-22,143.7,46.98,250,0.582,0.939,1.850e-05,0.697,0.648,1,1,1.213,0.2543,0.1781,1,2023-10-19,40.64,2024-01-02,183.4,181.95,60,14.0,1,1,1,1,1,50,7.31,46.66,2024-01-03,183.7,32.34,0.7093,-15.32,31.19,15.65,2024-02-16,174.7,-4.9,32,0,50.14,-18.13
ABFRL,VAR,0,2016-01-01,185.0,2016-02-29,95.6,48.32,90,0.449,0.851,1.593e-04,0.69,0.689,1,1,2.416,0.2611,0.1599,1,2016-05-16,4.55,2016-08-18,121.9,115.65,60,3.92,1,0,1,1,0,66,8.36,7.62,2016-08-19,121.75,34.11,0.6888,-18.28,-7.43,3.82,2016-09-12,109.15,-10.35,16,0,15.48,-22.26
ABFRL,VAR,0,2020-02-20,207.55,2020-05-18,74.6,64.06,90,0.618,0.921,2.854e-04,0.663,0.722,1,1,1.745,0.2332,0.2799,1,2020-07-06,24.89,2020-08-21,110.85,108.15,60,4.46,1,0,1,1,0,34,2.5,16.64,2020-08-24,115.85,46.59,0.5815,3.11,9.67,29.43,2020-09-09,98.35,-15.11,13,0,53.17,-21.28
ABFRL,VAR,0,2022-11-01,271.05,2023-05-22,143.7,46.98,232,0.589,0.935,2.003e-05,0.7,0.659,1,1,1.158,0.227,0.1808,0,2023-10-06,43.21,2023-10-19,180.0,176.55,60,4.85,1,0,1,1,1,9,3.24,40.64,2023-10-20,179.75,33.59,0.6898,-2.39,-3.17,29.54,2023-10-23,162.1,-9.82,2,0,53.44,-16.33
ABREL,L120,0,2008-09-19,393.3,2008-12-01,120.85,69.27,120,0.395,0.733,1.530e-04,0.61,0.842,1,0,1.225,0.2144,0.153,1,2009-03-20,20.51,2009-09-09,486.8,480.4,60,3.97,1,0,1,1,1,117,3.33,21.43,2009-09-10,490.65,-23.77,0.3392,2.46,6.51,3.09,2009-10-26,476.75,-2.83,28,0,22.49,-17.86
ABREL,L120,0,2015-07-22,741.4,2015-09-07,498.65,32.74,120,0.42,0.743,5.863e-05,0.689,0.642,1,0,0.89,0.3087,0.3056,0,2015-12-21,46.34,2016-04-06,581.15,572.1,60,4.3,1,0,1,1,0,72,9.76,39.99,2016-04-07,581.5,21.61,0.505,16.99,62.18,86.37,2016-11-11,811.25,39.51,147,0,89.68,-3.47
ABREL,L120,0,2020-01-31,644.2,2020-03-24,227.0,64.76,120,0.361,0.834,1.448e-04,0.699,0.683,1,1,1.15,0.2616,0.2918,0,2020-07-16,54.65,2020-08-19,333.1,324.35,60,6.75,1,1,1,1,0,24,5.39,52.6,2020-08-20,332.0,48.29,0.4323,-5.92,38.19,131.01,2020-10-14,315.95,-4.83,39,0,151.42,-9.2
ABREL,L120,0,2022-12-02,810.7,2023-02-24,606.4,25.2,120,0.622,0.819,3.888e-05,0.693,0.417,1,1,1.755,0.4104,0.2678,1,2023-05-08,16.03,2023-05-09,768.5,749.25,60,3.56,1,0,1,1,0,1,2.57,16.18,2023-05-10,774.65,5.21,0.4304,32.88,39.78,158.25,2023-10-23,1061.85,37.07,115,0,165.92,-0.66
ABREL,L120,0,2024-12-10,2801.65,2025-04-09,1713.9,38.83,120,0.697,0.755,7.173e-05,0.607,0.6,1,0,0.661,0.3705,0.3126,0,2025-06-04,19.21,2025-06-06,2355.8,2261.4,60,26.09,1,1,1,1,1,2,9.05,21.03,2025-06-09,2323.0,15.91,0.4352,-21.6,-23.65,-49.17,2025-07-10,2193.9,-5.56,24,0,9.25,-53.5
ABREL,L180,0,2020-01-31,644.2,2020-03-24,227.0,64.76,180,0.324,0.705,6.276e-05,0.653,0.689,1,0,1.239,0.2704,0.2213,1,2020-09-17,57.37,2020-12-03,399.05,376.0,60,4.58,1,0,1,1,1,53,6.96,31.62,2020-12-04,404.0,38.05,0.2459,20.73,23.14,104.41,2021-04-05,445.25,10.21,82,0,148.51,-13.19
ABREL,L180,0,2022-09-12,937.55,2023-02-24,606.4,35.32,180,0.682,0.746,2.264e-05,0.697,0.467,1,0,1.894,0.4616,0.4549,1,2023-05-24,17.8,2023-06-20,831.7,822.85,60,6.84,1,1,1,1,1,19,2.23,10.57,2023-06-21,848.0,11.29,0.4036,25.71,52.05,174.71,2023-10-23,1061.85,25.22,85,0,182.62,-6.84
ABREL,L250,0,2013-01-04,448.65,2013-08-06,198.45,55.77,250,0.643,0.849,2.137e-05,0.698,0.496,1,1,1.159,0.2388,0.258,0,2013-12-18,16.4,2013-12-24,302.3,292.55,60,10.15,1,1,1,1,1,4,13.31,17.13,2013-12-26,302.65,32.62,0.4121,12.08,73.72,77.05,2014-01-27,287.6,-4.97,23,0,119.53,-8.38
ABREL,VAR,0,2013-01-04,448.65,2013-08-06,198.45,55.77,221,0.668,0.835,2.571e-05,0.699,0.489,1,1,1.274,0.3123,0.3293,1,2013-11-26,20.84,2013-12-24,302.3,292.55,60,10.15,1,1,1,1,1,20,13.31,17.13,2013-12-26,302.65,32.62,0.3847,12.08,73.72,77.05,2014-01-27,287.6,-4.97,23,0,119.53,-8.38
ABREL,VAR,0,2022-09-12,937.55,2023-02-24,606.4,35.32,171,0.676,0.751,2.460e-05,0.695,0.491,1,0,2.074,0.4512,0.4296,1,2023-05-22,20.99,2023-06-20,831.7,822.85,60,6.84,1,1,1,1,1,21,2.23,10.57,2023-06-21,848.0,11.29,0.4422,25.71,52.05,174.71,2023-10-23,1061.85,25.22,85,0,182.62,-6.84
ABSLAMC,L120,0,2021-11-09,631.15,2022-03-09,490.45,22.29,120,0.697,0.785,3.013e-05,0.684,0.633,1,0,0.594,0.0984,0.1643,0,2022-05-04,8.5,2022-08-16,457.9,452.4,60,6.65,1,1,1,1,0,72,3.06,2.56,2022-08-17,464.0,27.45,0.3331,-8.11,-12.75,-15.77,2022-09-26,459.2,-1.03,28,0,8.41,-33.84
ABSLAMC,L120,0,2023-01-17,458.05,2023-03-28,309.25,32.49,120,0.403,0.829,5.778e-05,0.582,0.4,1,1,0.859,0.3746,0.265,0,2023-07-13,2.06,2023-07-20,391.45,383.8,60,4.09,1,0,1,1,0,5,2.15,2.68,2023-07-21,392.5,14.54,0.4531,13.87,27.06,79.11,2023-08-17,389.25,-0.83,19,0,86.6,-2.66
ABSLAMC,L120,0,2024-11-27,883.5,2025-03-13,591.2,33.08,120,0.639,0.878,5.627e-05,0.697,0.583,1,1,0.88,0.2335,0.1243,0,2025-05-21,24.8,2025-07-10,850.3,817.3,60,4.84,1,0,1,1,1,36,4.05,18.09,2025-07-11,853.95,3.76,0.5948,-3.89,-2.38,29.33,2025-09-17,816.5,-4.39,47,0,39.94,-17.09
ABSLAMC,VAR,0,2024-11-27,883.5,2025-03-13,591.2,33.08,119,0.636,0.882,5.811e-05,0.691,0.588,1,1,0.869,0.2335,0.1243,0,2025-05-21,24.8,2025-07-10,850.3,817.3,60,4.84,1,0,1,1,1,36,4.05,18.09,2025-07-11,853.95,3.76,0.6028,-3.89,-2.38,29.33,2025-09-17,816.5,-4.39,47,0,39.94,-17.09
ACC,L120,0,2016-08-31,1709.8,2016-11-21,1272.25,25.59,120,0.479,0.771,4.288e-05,0.693,0.45,1,0,0.929,0.2454,0.2304,0,2017-02-16,47.12,2017-04-24,1607.0,1511.35,60,6.83,1,1,1,1,1,43,7.46,46.41,2017-04-25,1610.05,6.01,0.4341,7.74,11.16,-4.02,2017-06-30,1568.05,-2.61,47,0,16.14,-6.9
ACC,L120,0,2022-12-14,2668.6,2023-03-28,1613.95,39.52,120,0.605,0.918,7.007e-05,0.697,0.708,1,1,1.084,0.3018,0.3083,0,2023-06-08,97.59,2023-07-25,1891.75,1856.3,60,5.64,1,1,1,1,0,32,4.83,85.82,2023-07-26,1899.95,29.11,0.7086,3.33,18.52,37.07,2023-10-23,1897.35,-0.14,61,0,49.69,-5.1
ACC,L180,0,2016-08-05,1721.05,2016-11-21,1272.25,26.08,180,0.458,0.704,1.768e-05,0.695,0.417,1,0,0.873,0.196,0.1626,0,2017-04-11,37.76,2017-04-24,1607.0,1511.35,60,6.83,1,1,1,1,1,8,7.46,46.41,2017-04-25,1610.05,6.63,0.2972,7.74,11.16,-4.02,2017-06-30,1568.05,-2.61,47,0,16.14,-6.9
ACC,L180,0,2022-12-14,2668.6,2023-03-28,1613.95,39.52,180,0.531,0.836,3.138e-05,0.7,0.667,1,1,1.056,0.3321,0.2221,0,2023-08-01,94.45,2023-12-05,2184.8,2063.05,60,15.13,1,1,1,1,1,85,8.19,47.47,2023-12-06,2201.0,18.13,0.6899,19.46,13.45,2.61,2024-03-13,2389.1,8.55,69,0,29.21,-15.12
ACC,L180,0,2024-11-06,2359.55,2025-05-08,1809.0,23.33,180,0.698,0.734,1.331e-05,0.682,0.606,1,0,1.302,0.158,0.1376,1,2025-07-23,60.59,2025-11-24,1913.7,1885.6,60,16.42,1,1,1,1,0,83,4.57,39.69,2025-11-25,1902.0,18.9,0.3043,-13.74,-28.45,-34.02,2025-12-09,1785.0,-6.15,11,0,0.39,-34.27
ACC,L250,0,2022-12-14,2668.6,2023-03-28,1613.95,39.52,250,0.446,0.706,1.862e-05,0.611,0.516,1,0,0.93,0.2912,0.3236,0,2023-10-19,45.25,2023-12-05,2184.8,2063.05,60,15.13,1,1,1,1,1,31,8.19,47.47,2023-12-06,2201.0,18.13,0.4457,19.46,13.45,2.61,2024-03-13,2389.1,8.55,69,0,29.21,-15.12
