symbol,entry_date,exit_date,entry_px,exit_px,shares,pnl,ret_pct,bars,reason
REPCOHOME,2017-06-12,2017-07-28,735.780029296875,703.3800048828125,240,-8639.516,-4.880291,33,ST_14_4
MHRIL,2017-06-09,2017-08-04,243.0500030517578,255.0500030517578,725,7797.1875,4.413879,39,ST_14_4
COFORGE,2017-07-12,2017-08-04,117.0,100.0,1592,-27927.672,-14.956206,17,ST_14_4
CEATLTD,2017-03-16,2017-08-07,1270.0,1740.0,127,58734.312,36.324535,98,ST_14_4
FILATEX,2017-06-21,2017-08-11,14.3100004196167,12.770000457763672,12574,-20215.219,-11.206781,36,ST_14_4
SURYAROSNI,2017-06-22,2017-08-11,75.5,62.75,2366,-30984.266,-17.301952,35,ST_14_4
M&M,2017-03-02,2017-09-07,677.4500122070312,659.3300170898438,231,-4957.7188,-3.1601548,128,ST_14_4
KSB,2017-09-08,2017-09-11,150.0,151.8000030517578,1297,1356.0,0.6952524,1,ST_14_4
APOLLOTYRE,2017-08-03,2017-09-28,278.5,242.0500030517578,658,-24840.406,-13.521451,38,ST_14_4
MARICO,2017-03-20,2017-10-04,296.20001220703125,310.0,545,6695.047,4.1370153,135,ST_14_4
JBMA,2017-02-14,2017-11-15,56.54999923706055,96.0,2742,107126.16,68.91458,185,ST_14_4
BATAINDIA,2017-09-12,2017-12-01,724.25,737.0,281,2556.2188,1.2529016,55,ST_14_4
JSL,2017-01-12,2017-12-13,40.0,100.0,3849,229592.84,148.75311,227,ST_14_4
AHLUCONT,2017-12-27,2018-01-24,414.0,344.0,619,-44503.016,-17.322641,20,ST_14_4
BEPL,2017-06-08,2018-01-31,29.25,112.0,5934,488943.06,280.99622,161,ST_14_4
EVERESTIND-BE,2017-10-09,2018-02-05,415.0,511.0,513,48060.39,22.518396,81,ST_14_4
WHIRLPOOL,2017-03-20,2018-02-06,1119.0,1300.0,144,25193.156,15.595722,220,ST_14_4
WHIRLPOOL,2017-08-08,2018-02-06,1192.0,1300.0,154,15672.5625,8.516455,123,ST_14_4
RAMASTEEL,2017-10-17,2018-02-07,2.490000009536743,2.880000114440918,86778,32678.438,15.085781,77,ST_14_4
M&MFIN,2017-07-26,2018-02-20,225.25,244.4499969482422,826,14889.266,7.982588,141,ST_14_4
MINDACORP,2017-09-12,2018-03-08,138.0,179.0,1475,59306.047,29.063202,120,ST_14_4
VIPIND,2017-08-07,2018-03-16,195.64999389648438,312.6000061035156,954,110358.11,58.97821,150,ST_14_4
DELTACORP,2017-09-22,2018-03-20,203.5,292.0,983,85777.8,42.77328,120,ST_14_4
BASF,2017-11-15,2018-03-27,1842.8499755859375,1938.6500244140625,120,10361.531,4.673779,90,ST_14_4
ALKEM,2017-12-06,2018-04-02,2098.0,1988.3499755859375,113,-13544.859,-5.699098,77,ST_14_4
DCAL,2018-04-30,2018-05-21,373.0,328.29998779296875,594,-27593.266,-12.422914,14,ST_14_4
IRB,2018-05-02,2018-05-22,14.079999923706055,11.25,15719,-45480.188,-20.497942,14,ST_14_4
WINDMACHIN,2018-05-09,2018-06-06,137.0,108.5,1611,-46902.266,-21.197922,20,ST_14_4
SONATSOFTW,2018-04-24,2018-06-07,135.3000030517578,117.0,1634,-30932.86,-13.956797,31,ST_14_4
BRITANNIA,2017-03-22,2018-09-05,1631.0,3134.0,98,146126.55,91.193665,362,ST_14_4
CROMPTON,2018-08-08,2018-09-05,262.54998779296875,235.1999969482422,829,-23704.734,-10.863858,18,ST_14_4
ICICIBANK,2018-10-30,2019-01-29,347.45001220703125,342.95001220703125,630,-3922.3906,-1.7874479,61,ST_14_4
WIPRO,2018-09-04,2019-03-11,114.44999694824219,127.0,1896,22650.328,10.412049,125,ST_14_4
WIPRO,2019-01-17,2019-03-11,124.25,127.0,1786,3789.6719,1.7034888,36,ST_14_4
TTKPRESTIG,2018-12-14,2019-03-22,660.0999755859375,642.9000244140625,334,-6832.8125,-3.0914247,67,ST_14_4
LEMONTREE,2019-03-11,2019-05-09,85.5999984741211,71.0,2638,-39547.594,-17.469765,38,ST_14_4
AUROPHARMA,2019-04-30,2019-05-14,831.1500244140625,718.4500122070312,269,-31358.438,-13.9906645,9,ST_14_4
DEEPAKNTR,2019-05-07,2019-06-13,289.0,278.5,770,-9177.453,-4.113859,26,ST_14_4
3MINDIA,2019-06-24,2019-06-25,23700.0,23511.05078125,9,-2762.8125,-1.292038,1,ST_14_4
SRF,2019-02-07,2019-07-15,447.0,551.0,502,50955.5,22.651423,105,ST_14_4
RAMCOCEM,2019-10-31,2019-11-01,790.0,786.3499755859375,306,-2322.8281,-0.9584844,1,ST_14_4
HDFCAMC,2019-06-17,2019-12-06,949.5,1583.0,235,147384.66,65.88781,116,ST_14_4
HDFCLIFE,2019-07-24,2020-02-03,511.8999938964844,553.0,434,16681.984,7.4901104,130,ST_14_4
TATACONSUM,2019-11-01,2020-03-02,312.8999938964844,346.75,770,24794.656,10.265434,84,ST_14_4
TECHM,2019-12-17,2020-03-02,734.0999755859375,701.2000122070312,337,-12296.547,-4.9580812,53,ST_14_4
MRF,2020-02-11,2020-03-02,73200.0,66891.0,3,-19977.703,-9.074629,13,ST_14_4
CHOLAFIN,2019-11-18,2020-03-05,331.0,296.0,733,-26804.0,-11.0200405,77,ST_14_4
NAM-INDIA,2019-10-23,2020-03-09,312.29998779296875,317.0,757,2366.9375,0.99869967,96,ST_14_4
ASTERDM,2020-02-13,2020-03-11,178.25,143.5,1521,-54078.22,-19.896614,17,ST_14_4
JKCEMENT,2019-09-23,2020-03-12,1099.5999755859375,1220.5,212,24401.156,10.441315,117,ST_14_4
GUJENERGY,2019-05-30,2020-03-13,181.5,242.8000030517578,1244,74937.64,33.10691,195,ST_14_4
GUJGASLTD,2019-05-30,2020-03-13,181.5,242.8000030517578,1244,74937.64,33.10691,195,ST_14_4
TORNTPHARM,2019-10-25,2020-03-13,883.8499755859375,905.0,266,4436.297,1.8822432,97,ST_14_4
POLYPLEX,2020-08-05,2020-09-01,648.7000122070312,683.0,381,11799.828,4.7623634,19,ST_14_4
GRSE,2020-08-12,2020-09-09,237.0,177.35000610351562,1049,-63659.484,-25.541996,20,ST_14_4
DHANUKA,2020-08-25,2020-09-10,834.5999755859375,694.7000122070312,302,-43404.42,-17.177671,12,ST_14_4
BAYERCROP,2020-05-27,2020-10-22,5050.0,5400.0,48,15545.984,6.3973665,105,ST_14_4
BIOCON,2020-07-14,2021-01-25,419.79998779296875,393.1000061035156,589,-16923.297,-6.8272057,136,ST_14_4
KOTAKBANK,2020-10-28,2021-01-25,315.0,369.0,794,41518.234,16.558588,61,ST_14_4
TITAN,2020-10-08,2021-01-28,1257.0,1420.0,202,31574.11,12.403954,77,ST_14_4
CGCL,2020-10-12,2021-02-18,57.20000076293945,78.0999984741211,4451,91520.33,35.857464,90,ST_14_4
HIKAL,2020-09-18,2021-02-24,184.0,159.0,1388,-35890.234,-14.017952,109,ST_14_4
WIPRO,2020-09-14,2021-03-01,143.75,201.5,1737,98812.5,39.474785,116,ST_14_4
ICICIBANK,2021-02-02,2021-03-18,613.0,594.75,543,-11549.281,-3.4610689,31,ST_14_4
BHARATRAS,2021-03-02,2021-03-26,2624.0,2342.0,146,-42984.625,-11.192113,17,ST_14_4
VOLTAS,2020-09-15,2021-04-22,692.4500122070312,948.9000244140625,364,91854.16,36.351692,148,ST_14_4
ULTRACEMCO,2020-10-22,2021-04-23,4675.0,6094.0,54,75172.17,29.702795,123,ST_14_4
ORIENTELEC,2021-01-25,2021-05-03,261.0,273.0,1227,13085.9375,4.076016,64,ST_14_4
AMBER,2020-08-04,2021-05-12,1744.9000244140625,2990.0,142,175123.31,70.50188,192,ST_14_4
LINDEINDIA,2020-08-12,2021-06-01,725.0,1606.5999755859375,343,300389.44,120.49475,199,ST_14_4
IGL,2021-06-01,2021-06-02,266.29998779296875,262.5,1878,-9619.125,-1.918602,1,ST_14_4
ADANIENT,2020-11-02,2021-06-18,328.79998779296875,1308.800048828125,759,740712.75,296.06827,155,ST_14_4
ATGL,2020-08-21,2021-06-21,168.3300018310547,1193.989990234375,1490,1.5231588e+06,605.7773,206,ST_14_4
NACLIND,2021-07-13,2021-08-12,85.61000061035156,65.02999877929688,6073,-127269.47,-24.41811,21,ST_14_4
CANTABIL,2020-08-06,2021-08-17,65.18000030517578,74.12000274658203,3816,32786.14,13.148713,257,ST_14_4
TECHNOE,2021-02-26,2021-08-18,301.8999938964844,285.1000061035156,1213,-22158.469,-6.0357513,116,ST_14_4
STYRENIX,2021-04-07,2021-08-23,1032.0,1274.949951171875,437,103648.75,22.925484,93,ST_14_4
5PAISA,2021-07-08,2021-08-23,467.0,461.0,1101,-9160.344,-1.7771482,30,ST_14_4
FILATEX,2021-02-22,2021-08-24,33.849998474121094,43.58000183105469,10595,101038.47,28.102362,123,ST_14_4
DOLATALGO,2021-05-18,2021-08-24,76.83999633789062,90.5999984741211,6300,84050.84,17.319275,68,ST_14_4
THYROCARE,2021-06-08,2021-08-31,382.1000061035156,410.70001220703125,1426,37957.25,6.9488645,58,ST_14_4
AWHCL,2021-07-14,2021-10-04,368.0,348.70001220703125,1434,-30245.594,-5.717164,55,ST_14_4
ASTEC,2021-07-14,2021-10-22,1414.199951171875,1227.199951171875,373,-72214.09,-13.655824,68,ST_14_4
WHIRLPOOL,2021-10-13,2021-10-22,2505.0,2200.050048828125,218,-69043.375,-12.611693,6,ST_14_4
ZENSARTECH,2021-09-16,2021-10-26,585.5999755859375,445.70001220703125,922,-131364.94,-24.269629,27,ST_14_4
HAL,2021-08-26,2021-10-29,628.5,625.0,794,-5267.2188,-1.0528624,44,ST_14_4
AMBER,2021-10-01,2021-11-02,3240.0,3181.0,160,-12008.4375,-2.3106635,21,ST_14_4
HGINFRA,2021-05-17,2021-11-23,347.4100036621094,619.2899780273438,1365,367817.28,77.370026,130,ST_14_4
M&M,2021-11-11,2021-11-30,918.9500122070312,850.7999877929688,605,-43907.53,-7.877845,12,ST_14_4
CYIENT,2021-05-19,2021-12-01,812.9500122070312,1012.4500122070312,590,115012.5,23.919094,134,ST_14_4
SUNTECK,2021-12-28,2021-12-29,483.8999938964844,488.5,1200,2602.75,0.44710636,1,ST_14_4
ANUP,2021-09-13,2022-01-19,511.29998779296875,478.0299987792969,1026,-36672.688,-6.9732485,89,ST_14_4
LTTS,2020-10-14,2022-01-20,1792.9000244140625,5100.0,140,460581.47,183.03662,316,ST_14_4
BSOFT,2020-09-15,2022-01-24,183.39999389648438,478.54998779296875,1378,404436.25,159.63097,338,ST_14_4
MONTECARLO,2022-01-05,2022-02-14,616.5999755859375,489.8699951171875,957,-123927.84,-20.949274,27,ST_14_4
TALBROAUTO,2022-01-05,2022-02-15,91.4000015258789,91.0,6462,-5531.5625,-0.93421936,28,ST_14_4
ZOTA,2021-09-01,2022-02-22,397.2200012207031,310.07000732421875,1281,-113904.25,-22.329308,119,ST_14_4
OLECTRA,2021-09-08,2022-02-23,341.8999938964844,692.0,1513,525790.5,101.388885,115,ST_14_4
ESCORTS,2021-09-15,2022-03-09,1462.0,1763.0,371,108679.75,19.986784,120,ST_14_4
ESCORTS,2021-11-22,2022-03-09,1811.0,1763.0,314,-17877.625,-3.136009,75,ST_14_4
AAKASH,2022-02-03,2022-03-22,29.399999618530273,26.0,20505,-72556.94,-12.005699,31,ST_14_4
EXPLEOSOL,2022-03-28,2022-03-29,1441.9000244140625,1449.800048828125,391,262.1875,0.046384335,1,ST_14_4
GPIL,2022-04-08,2022-05-09,87.80000305175781,75.19999694824219,6247,-81257.94,-14.777988,18,ST_14_4
THOMASCOOK,2022-04-05,2022-05-10,76.94999694824219,68.44999694824219,7071,-62673.844,-11.489802,22,ST_14_4
ANMOL,2022-04-05,2022-05-11,45.52000045776367,38.4900016784668,11954,-86547.25,-15.865487,23,ST_14_4
KMSUGAR,2022-04-07,2022-05-13,35.650001525878906,30.799999237060547,15253,-76511.03,-14.035404,23,ST_14_4
ADANIGREEN,2021-11-09,2022-05-16,1215.0,2234.0,456,460732.12,82.95126,127,ST_14_4
