Index,symbol,mode,ipo_short_window,left_rim_date,left_rim_level,trough_date,trough_close,depth_pct,base_len_bars,trough_pos,fit_r2,fit_curvature,vertex_frac,flat_frac,r2_ge_060,r2_ge_080,vol_ratio,obv_gain,obv_slope_norm,obv_filter_pass,base_qualify_date,tv20_cr_at_q,trigger_date,trigger_close,trigger_level,trigger_N,vol_multiple,volx_ge_2,volx_ge_5,fired_n40,fired_n60,fired_n100,days_q_to_trigger,trigger_day_move_pct,tv20_cr_at_trigger,entry_date,entry_open,dist_to_left_rim_pct,pattern_quality,info_fwd60_pct,info_fwd120_pct,info_fwd250_pct,info_st73_exit_date,info_st73_exit_close,info_st73_ret_pct,info_st73_bars_held,info_st73_still_open,info_mfe_250_pct,info_mae_250_pct,ath_prev,dist_to_ath_pct,hist_bars,split_cut
13,AARTIDRUGS,L180,0,2025-10-16,524.6,2026-03-30,319.75,39.05,180,0.693,0.878,2.555e-05,0.699,0.572,1,1,1.114,0.1387,0.0331,0,2026-06-22,4.16,2026-07-14,405.7,400.45,60,3.47,1,0,1,1,1,15,2.53,6.04,2026-07-15,408.0,22.66,0.539,7.11,7.11,7.11,,,7.11,42.0,1,11.19,-1.72,1011.85,-59.91,5317,False
11,AARTIDRUGS,L120,0,2022-04-07,519.8,2022-06-22,381.1,26.68,120,0.462,0.716,5.186e-05,0.535,0.425,1,0,1.107,0.4284,0.4894,0,2022-09-23,4.03,2022-10-06,501.4,477.45,60,3.73,1,0,1,1,1,8,5.02,8.21,2022-10-07,505.0,3.54,0.3788,-10.18,-33.17,2.85,2022-11-24,442.3,-12.42,33.0,0,27.87,-37.84,1011.85,-50.45,4384,False
17,AARTIIND,L250,0,2025-05-19,486.75,2026-01-21,340.0,30.15,250,0.699,0.709,1.84e-05,0.515,0.416,1,0,1.333,0.3772,0.3059,1,2026-05-14,54.48,2026-08-12,532.95,505.55,60,8.19,1,1,1,1,1,62,5.42,32.64,2026-08-13,536.0,-9.49,0.2229,-5.74,-5.74,-5.74,2026-09-07,490.7,-8.45,18.0,0,2.94,-9.24,1156.55,-53.92,5338,False
18,AAVAS,L120,0,2023-02-10,2023.3,2023-06-12,1336.95,33.92,120,0.697,0.848,6.45e-05,0.655,0.533,1,1,1.943,0.4279,0.4017,1,2023-08-02,30.31,2023-09-07,1670.1,1645.5,60,4.12,1,0,1,1,0,25,2.33,26.67,2023-09-08,1670.0,17.46,0.5526,-9.99,-13.96,6.41,2023-10-16,1632.7,-2.23,25.0,0,18.5,-21.74,3195.8,-47.74,1218,False
21,ABAN-BE,L180,0,2013-05-07,330.4,2013-09-03,209.95,36.46,180,0.542,0.703,6.173e-05,0.477,0.494,1,0,2.989,0.4331,0.5729,1,2014-01-03,30.24,2014-01-06,402.05,391.35,60,4.47,1,0,1,1,1,1,9.09,34.49,2014-01-07,405.5,-21.69,0.5698,29.61,97.69,16.31,2014-01-27,375.9,-7.3,15.0,0,131.81,-8.84,5389.2,-92.54,2228,False
25,ABAN-BE,VAR,0,2017-01-19,254.65,2017-08-11,162.7,36.11,223,0.626,0.81,1.661e-05,0.671,0.484,1,1,1.568,0.3786,0.4502,1,2017-12-13,17.56,2018-01-10,251.45,220.7,60,17.47,1,1,1,1,1,19,15.19,28.24,2018-01-11,252.7,1.26,0.5224,-28.73,-56.11,-71.13,2018-01-30,213.5,-15.51,13.0,0,11.08,-73.64,5389.2,-95.33,3215,False
20,ABAN-BE,L120,0,2017-04-25,227.95,2017-08-11,162.7,28.62,120,0.664,0.782,3.85e-05,0.691,0.483,1,0,1.738,0.3182,0.2301,1,2017-10-11,17.23,2017-10-26,192.55,190.1,60,3.17,1,0,1,1,0,9,3.05,17.53,2017-10-27,193.75,15.53,0.4013,18.74,-9.5,-61.55,2017-11-15,190.65,-1.6,14.0,0,44.88,-63.82,5389.2,-96.43,3162,False
24,ABAN-BE,L250,0,2022-09-12,59.25,2023-03-28,31.75,46.41,250,0.558,0.75,1.329e-05,0.689,0.404,1,0,0.925,0.4388,0.2503,0,2023-09-07,2.23,2023-10-17,52.2,50.75,60,13.02,1,1,1,1,1,26,6.1,0.88,2023-10-18,52.7,11.9,0.3893,16.32,16.89,28.84,2024-02-29,68.6,30.17,93.0,0,77.13,-7.5,5389.2,-99.03,4640,False
19,ABAN-BE,L120,0,2013-01-08,398.9,2013-03-25,258.0,35.32,120,0.605,0.75,6.356e-05,0.678,0.4,1,0,0.927,0.3808,0.4979,0,2013-06-05,7.2,2013-10-31,253.65,244.55,60,4.01,1,0,1,1,0,101,3.72,7.39,2013-11-01,251.35,36.41,0.3681,53.11,104.44,143.84,2014-01-27,375.9,49.55,59.0,0,273.98,-7.5,5389.2,-95.29,2184,False
29,ABBOTINDIA,VAR,0,2021-10-05,23184.5,2022-02-08,15562.6,32.87,159,0.544,0.829,2.203e-05,0.699,0.566,1,1,1.137,0.1075,0.0845,0,2022-05-26,16.79,2022-06-02,18376.15,18197.45,60,5.16,1,1,1,1,0,5,3.38,21.31,2022-06-03,18450.0,20.74,0.5992,1.71,9.85,18.28,2022-08-11,18917.55,2.53,49.0,0,25.42,-6.1,23184.5,-20.74,3062,False
27,ABBOTINDIA,L180,0,2021-10-05,23184.5,2022-02-08,15562.6,32.87,180,0.542,0.819,1.809e-05,0.697,0.55,1,1,1.088,0.1413,0.1046,0,2022-06-09,24.73,2022-06-29,18992.8,18376.15,60,3.52,1,0,1,1,1,14,4.72,22.07,2022-06-30,18900.0,18.08,0.581,-6.95,15.57,22.8,2022-08-11,18917.55,0.09,30.0,0,24.6,-8.33,23184.5,-18.08,3081,False
30,ABBOTINDIA,VAR,0,2021-10-05,23184.5,2022-02-08,15562.6,32.87,224,0.386,0.762,1.756e-05,0.528,0.487,1,0,0.977,0.1063,0.1436,0,2022-08-29,26.39,2022-12-21,21548.5,20898.7,60,3.6,1,0,1,1,1,78,3.11,23.54,2022-12-22,21550.0,7.06,0.3752,-2.88,5.39,4.19,2023-01-30,20985.7,-2.62,27.0,0,14.82,-7.66,23184.5,-7.06,3200,False
33,ABCAPITAL,VAR,0,2020-01-13,112.25,2020-03-24,40.05,64.32,112,0.45,0.866,0.0001831,0.698,0.625,1,1,1.192,0.4122,0.3182,0,2020-06-25,28.73,2020-09-03,71.25,67.45,60,5.62,1,1,1,1,1,50,12.29,15.35,2020-09-04,70.15,36.53,0.592,26.09,74.41,53.39,2020-09-24,61.35,-12.54,15.0,0,99.14,-14.68,237.5,-70.0,740,False
34,ABDL,L120,0,2025-01-03,433.83,2025-05-02,302.23,30.33,120,0.697,0.82,0.0001047,0.506,0.458,1,1,1.297,0.4618,0.4857,1,2025-06-23,24.01,2025-07-14,486.45,447.25,60,5.15,1,1,1,1,1,15,8.76,16.41,2025-07-15,488.8,-12.13,0.4094,11.51,12.8,26.72,2025-12-02,598.6,22.46,96.0,0,45.6,-21.83,447.25,8.76,256,False
55,ABREL,VAR,0,2022-09-12,937.55,2023-02-24,606.4,35.32,171,0.676,0.751,2.46e-05,0.695,0.491,1,0,2.074,0.4512,0.4296,1,2023-05-22,20.99,2023-06-20,831.7,822.85,60,6.84,1,1,1,1,1,21,2.23,10.57,2023-06-21,848.0,11.29,0.4422,25.71,52.05,174.71,2023-10-23,1061.85,25.22,85.0,0,182.62,-6.84,1009.85,-17.64,917,True
50,ABREL,L120,0,2024-12-10,2801.65,2025-04-09,1713.9,38.83,120,0.697,0.755,7.173e-05,0.607,0.6,1,0,0.661,0.3705,0.3126,0,2025-06-04,19.21,2025-06-06,2355.8,2261.4,60,26.09,1,1,1,1,1,2,9.05,21.03,2025-06-09,2323.0,15.91,0.4352,-21.6,-23.65,-49.17,2025-07-10,2193.9,-5.56,24.0,0,9.25,-53.5,3052.8,-22.83,1404,True
48,ABREL,L120,0,2020-01-31,644.2,2020-03-24,227.0,64.76,120,0.361,0.834,0.0001448,0.699,0.683,1,1,1.15,0.2616,0.2918,0,2020-07-16,54.65,2020-08-19,333.1,324.35,60,6.75,1,1,1,1,0,24,5.39,52.6,2020-08-20,332.0,48.29,0.4323,-5.92,38.19,131.01,2020-10-14,315.95,-4.83,39.0,0,151.42,-9.2,644.2,-48.29,213,True
49,ABREL,L120,0,2022-12-02,810.7,2023-02-24,606.4,25.2,120,0.622,0.819,3.888e-05,0.693,0.417,1,1,1.755,0.4104,0.2678,1,2023-05-08,16.03,2023-05-09,768.5,749.25,60,3.56,1,0,1,1,0,1,2.57,16.18,2023-05-10,774.65,5.21,0.4304,32.88,39.78,158.25,2023-10-23,1061.85,37.07,115.0,0,165.92,-0.66,1009.85,-23.9,887,True
51,ABREL,L180,0,2020-01-31,644.2,2020-03-24,227.0,64.76,180,0.324,0.705,6.276e-05,0.653,0.689,1,0,1.239,0.2704,0.2213,1,2020-09-17,57.37,2020-12-03,399.05,376.0,60,4.58,1,0,1,1,1,53,6.96,31.62,2020-12-04,404.0,38.05,0.2459,20.73,23.14,104.41,2021-04-05,445.25,10.21,82.0,0,148.51,-13.19,644.2,-38.05,287,True
59,ABSLAMC,VAR,0,2024-11-27,883.5,2025-03-13,591.2,33.08,119,0.636,0.882,5.811e-05,0.691,0.588,1,1,0.869,0.2335,0.1243,0,2025-05-21,24.8,2025-07-10,850.3,817.3,60,4.84,1,0,1,1,1,36,4.05,18.09,2025-07-11,853.95,3.76,0.6028,-3.89,-2.38,29.33,2025-09-17,816.5,-4.39,47.0,0,39.94,-17.09,883.5,-3.76,930,False
57,ABSLAMC,L120,0,2023-01-17,458.05,2023-03-28,309.25,32.49,120,0.403,0.829,5.778e-05,0.582,0.4,1,1,0.859,0.3746,0.265,0,2023-07-13,2.06,2023-07-20,391.45,383.8,60,4.09,1,0,1,1,0,5,2.15,2.68,2023-07-21,392.5,14.54,0.4531,13.87,27.06,79.11,2023-08-17,389.25,-0.83,19.0,0,86.6,-2.66,699.45,-44.03,440,False
56,ABSLAMC,L120,0,2021-11-09,631.15,2022-03-09,490.45,22.29,120,0.697,0.785,3.013e-05,0.684,0.633,1,0,0.594,0.0984,0.1643,0,2022-05-04,8.5,2022-08-16,457.9,452.4,60,6.65,1,1,1,1,0,72,3.06,2.56,2022-08-17,464.0,27.45,0.3331,-8.11,-12.75,-15.77,2022-09-26,459.2,-1.03,28.0,0,8.41,-33.84,699.45,-34.53,210,False
61,ACC,L120,0,2022-12-14,2668.6,2023-03-28,1613.95,39.52,120,0.605,0.918,7.007e-05,0.697,0.708,1,1,1.084,0.3018,0.3083,0,2023-06-08,97.59,2023-07-25,1891.75,1856.3,60,5.64,1,1,1,1,0,32,4.83,85.82,2023-07-26,1899.95,29.11,0.7086,3.33,18.52,37.07,2023-10-23,1897.35,-0.14,61.0,0,49.69,-5.1,2747.7,-31.15,4583,False
63,ACC,L180,0,2022-12-14,2668.6,2023-03-28,1613.95,39.52,180,0.531,0.836,3.138e-05,0.7,0.667,1,1,1.056,0.3321,0.2221,0,2023-08-01,94.45,2023-12-05,2184.8,2063.05,60,15.13,1,1,1,1,1,85,8.19,47.47,2023-12-06,2201.0,18.13,0.6899,19.46,13.45,2.61,2024-03-13,2389.1,8.55,69.0,0,29.21,-15.12,2747.7,-20.49,4673,False
60,ACC,L120,0,2016-08-31,1709.8,2016-11-21,1272.25,25.59,120,0.479,0.771,4.288e-05,0.693,0.45,1,0,0.929,0.2454,0.2304,0,2017-02-16,47.12,2017-04-24,1607.0,1511.35,60,6.83,1,1,1,1,1,43,7.46,46.41,2017-04-25,1610.05,6.01,0.4341,7.74,11.16,-4.02,2017-06-30,1568.05,-2.61,47.0,0,16.14,-6.9,1762.8,-8.84,3036,False
66,ACC,VAR,0,2010-03-10,1013.5,2010-07-14,805.45,20.53,126,0.696,0.843,2.612e-05,0.67,0.571,1,1,0.771,0.3134,0.1856,0,2010-09-06,22.53,2010-09-07,961.95,902.95,60,8.59,1,1,1,1,1,1,6.53,24.86,2010-09-08,961.4,5.09,0.4289,4.0,0.83,10.92,2010-11-19,1019.0,5.99,51.0,0,18.99,-4.56,1289.8,-25.42,1403,False
64,ACC,L180,0,2024-11-06,2359.55,2025-05-08,1809.0,23.33,180,0.698,0.734,1.331e-05,0.682,0.606,1,0,1.302,0.158,0.1376,1,2025-07-23,60.59,2025-11-24,1913.7,1885.6,60,16.42,1,1,1,1,0,83,4.57,39.69,2025-11-25,1902.0,18.9,0.3043,-13.74,-28.45,-34.02,2025-12-09,1785.0,-6.15,11.0,0,0.39,-34.27,2772.25,-30.97,5162,False
71,ACCELYA,L250,0,2024-10-10,1671.5,2025-04-07,1164.2,30.35,250,0.494,0.733,1.102e-05,0.585,0.54,1,0,0.723,0.0716,0.0203,0,2025-10-09,2.19,2026-02-03,1312.7,1307.6,60,4.07,1,0,1,1,0,79,3.13,1.7,2026-02-04,1353.8,21.47,0.4721,-14.32,-15.6,-17.64,2026-02-09,1211.7,-10.5,4.0,0,0.0,-25.22,1936.1,-32.2,5210,False
70,ACCELYA,L250,0,2021-10-14,1322.7,2022-06-20,793.3,40.02,250,0.699,0.771,1.824e-05,0.566,0.528,1,0,0.587,0.4374,0.5861,0,2022-10-07,2.31,2022-10-19,1134.4,1116.0,60,24.19,1,1,1,1,1,8,8.91,1.7,2022-10-20,1134.1,14.24,0.4152,23.04,10.92,18.1,2022-12-21,1346.5,18.73,43.0,0,45.24,-11.6,1598.5,-29.03,4393,False
69,ACCELYA,L120,0,2023-10-12,1611.9,2023-12-13,1235.6,23.35,120,0.58,0.704,8.182e-05,0.42,0.425,1,0,1.718,0.5544,0.6321,1,2024-02-23,7.78,2024-07-12,1811.0,1743.8,60,17.99,1,1,1,1,0,94,8.67,2.73,2024-07-15,1835.4,-12.35,0.3466,-12.88,-22.27,-28.3,2024-08-14,1584.4,-13.68,22.0,0,1.1,-37.51,1936.1,-6.46,4822,False
76,ACE,VAR,0,2020-01-17,89.55,2020-04-03,31.6,64.71,120,0.445,0.797,0.000198,0.583,0.483,1,0,1.885,0.4635,0.4188,1,2020-07-13,2.96,2020-08-19,70.3,66.6,60,12.02,1,1,1,1,1,27,8.15,1.67,2020-08-20,68.8,21.5,0.4678,8.58,134.45,202.54,2021-05-04,144.2,109.59,175.0,0,295.2,-15.33,193.7,-63.71,3424,False
74,ACE,L120,0,2020-01-17,89.55,2020-04-03,31.6,64.71,120,0.546,0.712,0.000132,0.698,0.483,1,0,1.487,0.541,0.4248,1,2020-06-25,2.19,2020-07-02,58.8,58.0,60,3.64,1,0,1,1,0,5,8.49,2.55,2020-07-03,59.15,34.34,0.3614,14.03,114.71,277.01,2021-05-04,144.2,143.79,209.0,0,318.77,-7.02,193.7,-69.64,3390,False
75,ACE,VAR,1,2006-12-05,78.68,2007-03-07,34.15,56.6,157,0.391,0.719,7.819e-05,0.55,0.42,1,0,0.252,0.3095,0.2609,0,2007-07-24,2.08,2007-08-06,64.47,60.57,60,8.81,1,1,1,1,1,9,7.61,3.42,2007-08-07,65.2,18.06,0.2279,39.37,42.09,20.4,2008-01-21,97.93,50.2,116.0,0,103.44,-20.09,78.68,-18.06,212,False
78,ACI,VAR,0,2025-09-17,715.6,2025-12-12,489.45,31.6,99,0.602,0.781,7.605e-05,0.696,0.465,1,0,0.96,0.2708,0.1842,0,2026-02-10,7.75,2026-03-23,612.15,601.25,60,3.29,1,0,1,1,0,28,1.81,8.1,2026-03-24,620.0,14.46,0.4175,-14.13,-22.43,-22.43,2026-05-13,560.0,-9.68,32.0,0,3.19,-23.06,817.62,-25.13,822,False
84,ACMESOLAR,VAR,0,2025-09-12,318.52,2026-01-23,198.78,37.59,130,0.698,0.831,4.617e-05,0.682,0.577,1,1,0.717,0.4464,0.3508,0,2026-03-23,13.79,2026-03-27,269.41,262.03,60,17.72,1,1,1,1,0,3,6.02,17.23,2026-03-30,269.31,15.42,0.546,40.82,47.69,47.69,,,47.69,113.0,1,59.85,-4.2,318.52,-15.42,337,False
83,ACMESOLAR,VAR,1,2024-12-03,280.38,2025-01-28,173.53,38.11,96,0.411,0.808,8.396e-05,0.699,0.51,1,1,1.224,0.1098,0.0356,1,2025-04-24,18.43,2025-05-14,237.57,233.72,60,4.27,1,0,1,1,0,13,7.57,13.12,2025-05-15,240.12,15.27,0.5112,10.85,13.93,17.8,2025-09-26,266.71,11.07,95.0,0,34.94,-18.49,280.38,-15.27,120,False
81,ACMESOLAR,L180,0,2025-09-12,318.52,2026-01-23,198.78,37.59,180,0.609,0.71,4.027e-05,0.541,0.417,1,0,0.985,0.4051,0.5838,0,2026-05-12,38.71,2026-05-29,310.1,309.2,60,3.81,1,0,1,1,1,12,1.47,36.49,2026-06-01,314.0,2.64,0.3476,30.3,26.67,26.67,,,26.67,73.0,1,37.1,-5.76,318.52,-2.64,377,False
85,ADANIENSOL,L120,0,2020-01-17,340.75,2020-03-12,163.85,51.91,120,0.395,0.779,0.0001144,0.688,0.567,1,0,2.0,0.5672,0.4106,1,2020-06-30,42.48,2020-08-24,287.2,276.85,60,4.72,1,0,1,1,1,39,5.55,8.7,2020-08-25,288.9,15.72,0.5425,27.6,117.22,350.14,2020-09-24,234.8,-18.73,23.0,0,469.38,-19.82,356.65,-19.47,1246,False
86,ADANIENSOL,L120,0,2023-03-24,1124.55,2023-07-14,742.3,33.99,120,0.689,0.702,4.861e-05,0.681,0.608,1,0,1.496,0.3167,0.3488,1,2023-09-06,349.38,2023-11-29,875.7,874.9,60,42.15,1,1,1,1,0,56,1.23,24.65,2023-11-30,873.95,22.13,0.3803,23.78,26.63,-7.66,2024-03-13,947.95,8.47,73.0,0,54.24,-32.72,4105.4,-78.67,2057,False
88,ADANIENSOL,VAR,0,2024-08-01,1275.2,2024-11-26,600.75,52.89,182,0.436,0.717,2.914e-05,0.699,0.467,1,0,0.902,0.3343,0.1979,0,2025-04-25,209.73,2025-09-22,937.4,891.05,60,20.32,1,1,1,1,1,103,6.87,68.53,2025-09-23,941.5,26.49,0.3371,3.7,6.28,46.89,2026-01-09,960.6,2.03,75.0,0,90.02,-14.7,4105.4,-77.17,2508,False
97,ADANIENT,L180,0,2024-10-01,3088.9,2025-02-28,2032.0,34.22,180,0.682,0.794,2.39e-05,0.694,0.539,1,0,0.858,0.1777,0.146,0,2025-05-28,232.37,2025-06-27,2565.5,2533.4,60,4.73,1,0,1,1,1,22,2.32,235.36,2025-06-30,2569.1,16.94,0.4125,1.0,-12.85,25.03,2025-07-31,2356.5,-8.28,24.0,0,25.71,-31.77,4038.2,-36.47,2491,True
93,ADANIENT,L120,0,2022-12-21,3782.9,2023-02-27,1157.1,69.41,120,0.395,0.77,0.0002191,0.575,0.583,1,0,1.163,0.3172,0.1771,0,2023-06-15,924.62,2023-08-18,2498.8,2474.5,60,3.98,1,0,1,1,0,44,3.94,1094.22,2023-08-21,2509.0,33.94,0.4,-14.01,22.48,19.75,2023-08-31,2345.4,-6.52,9.0,0,44.67,-17.23,4038.2,-38.12,2030,True
92,ADANIENT,L120,0,2020-02-20,250.8,2020-03-23,117.2,53.27,120,0.395,0.706,0.0001082,0.679,0.658,1,0,0.912,0.403,0.3923,0,2020-07-09,59.65,2020-07-29,173.6,168.3,60,6.73,1,1,1,1,0,14,3.15,38.87,2020-07-30,173.7,30.78,0.3884,73.86,183.48,681.52,2021-06-17,1326.0,663.39,221.0,0,858.43,-4.43,250.8,-30.78,1270,True
98,ADANIENT,L250,0,2024-08-01,3119.1,2025-02-28,2032.0,34.85,250,0.647,0.746,1.254e-05,0.696,0.412,1,0,0.765,0.2305,0.1803,0,2025-07-10,174.77,2025-09-23,2594.7,2565.5,60,10.42,1,1,1,1,1,51,1.78,126.58,2025-09-24,2574.0,16.81,0.2989,-13.01,-22.02,19.0,2025-11-04,2346.0,-8.86,28.0,0,26.07,-31.9,4038.2,-35.75,2551,True
96,ADANIENT,L180,0,2020-02-20,250.8,2020-03-23,117.2,53.27,180,0.318,0.712,8.999e-05,0.492,0.483,1,0,1.094,0.3735,0.3724,0,2020-09-17,200.4,2020-10-05,316.6,298.7,60,3.17,1,0,1,1,1,11,5.99,181.19,2020-10-06,319.3,-26.24,0.2366,47.01,200.06,349.23,2021-06-17,1326.0,315.28,174.0,0,421.39,-7.99,298.7,5.99,1317,True
104,ADANIGREEN,VAR,0,2021-05-24,1360.95,2021-08-02,876.15,35.62,90,0.551,0.816,0.0001604,0.558,0.411,1,1,2.696,0.3211,0.412,1,2021-09-29,139.61,2021-11-08,1226.0,1222.2,60,6.22,1,1,1,1,1,26,2.13,32.11,2021-11-09,1215.0,9.92,0.5855,57.72,119.86,79.09,2022-05-13,2171.55,78.73,127.0,0,151.03,-0.98,1360.95,-9.92,836,False
103,ADANIGREEN,L250,0,2024-09-24,2070.55,2025-03-04,768.55,62.88,250,0.546,0.886,3.114e-05,0.692,0.712,1,1,1.228,0.1949,0.1976,1,2025-08-19,162.33,2025-09-22,1152.15,1050.1,60,39.09,1,1,1,1,1,23,11.78,94.16,2025-09-23,1164.0,44.36,0.577,-13.14,-25.37,11.45,2025-10-28,1004.2,-13.73,24.0,0,40.16,-34.28,2970.5,-61.21,1798,False
111,ADANIPORTS,VAR,1,2008-01-02,261.49,2008-03-24,93.84,64.11,90,0.618,0.871,0.0002609,0.62,0.567,1,1,1.751,0.4682,0.487,1,2008-05-14,35.11,2008-05-20,176.81,161.51,60,8.23,1,1,1,1,0,3,13.98,35.11,2008-05-21,178.91,32.38,0.5575,-29.96,-61.29,-29.69,2008-06-04,140.44,-21.5,11.0,0,3.52,-71.64,261.49,-32.38,116,False
106,ADANIPORTS,L120,0,2008-08-12,125.3,2008-11-28,51.59,58.83,120,0.63,0.845,0.0001203,0.692,0.525,1,1,0.646,0.3359,0.416,0,2009-02-04,10.16,2009-04-15,79.94,78.91,60,3.97,1,0,1,1,1,43,5.16,10.21,2009-04-16,77.06,36.2,0.4369,33.95,32.49,103.57,2009-07-06,107.97,40.11,56.0,0,109.19,-5.98,261.49,-69.43,334,False
113,ADANIPORTS,VAR,0,2010-10-08,181.5,2011-02-09,129.0,28.93,130,0.659,0.714,2.738e-05,0.697,0.592,1,0,1.045,0.2219,0.1731,0,2011-04-15,10.96,2011-05-31,161.45,156.85,60,9.34,1,1,1,1,1,31,3.76,33.24,2011-06-01,162.1,11.05,0.3527,-9.44,-23.9,-24.21,2011-07-29,143.55,-11.44,43.0,0,5.15,-32.7,261.49,-38.26,863,False
