Symbol,Trough_Date,Trough_Close,Depth_%,Shelf_Start_Date,Shelf_High,Shelf_Range_%,ATH_Before_Breakout,DistToATH_%,Breakout_Close_Date,Breakout_Close,VolMultiple,Entry_Date,Entry_Price_NextOpen,History_Bars,Pattern_Score,Info_Fwd250_%,Info_ST73_Ret_%
POONAWALLA,20-Jun-2022,216.45,34.94,24-Aug-2022,306.85,6.39,332.7,-5.38,15-Sep-2022,314.8,3.28,16-Sep-2022,315.8,4349,0.44,19.74,-9.69
SRF,09-Aug-2017,287.1,22.04,02-Nov-2017,356.1,8.07,384.95,-3.08,23-Nov-2017,373.1,7.89,24-Nov-2017,372.0,3182,0.44,16.37,-1.09
GRASIM,05-Jul-2005,179.2,24.52,09-Jan-2006,248.45,3.34,251.15,0.68,01-Feb-2006,252.85,3.17,02-Feb-2006,254.7,732,0.44,86.44,41.77
TAJGVK,10-Nov-2023,218.45,21.91,09-Apr-2024,383.7,5.97,398.4,2.05,03-May-2024,406.55,23.54,06-May-2024,409.4,4775,0.44,-5.13,-15.9
CENTURYPLY,26-Feb-2014,22.15,58.21,19-Aug-2014,97.35,11.25,97.35,7.86,10-Sep-2014,105.0,3.27,11-Sep-2014,105.85,2089,0.44,50.07,93.29
LTF,13-Jan-2025,128.82,30.42,15-May-2025,175.22,3.85,187.1,-2.0,05-Jun-2025,183.36,3.48,06-Jun-2025,185.1,3398,0.44,40.65,59.99
UBL,18-Apr-2017,731.75,23.96,14-Dec-2017,1080.6,5.75,1170.45,-1.63,05-Jan-2018,1151.35,5.81,08-Jan-2018,1169.0,2325,0.44,18.05,-13.57
KFINTECH,20-Mar-2023,269.5,25.01,23-May-2023,338.25,4.76,359.38,-2.2,13-Jun-2023,351.48,4.56,14-Jun-2023,359.04,111,0.44,90.0,34.31
BIKAJI,22-Mar-2023,343.01,22.22,27-Jun-2023,429.26,5.44,441.0,1.46,19-Jul-2023,447.46,15.25,20-Jul-2023,451.8,167,0.44,58.85,3.88
ZENSARTECH,19-Apr-2021,263.05,20.68,24-Aug-2021,488.35,10.86,488.35,18.62,15-Sep-2021,579.3,10.98,16-Sep-2021,585.6,4123,0.44,-61.55,-23.91
LT,24-Mar-2020,707.9,48.34,11-Jan-2021,1448.85,7.88,1596.0,-4.75,02-Feb-2021,1520.2,3.6,03-Feb-2021,1530.0,4452,0.44,27.32,-6.66
DIVISLAB,14-Jun-2006,56.41,43.03,10-Aug-2006,91.26,3.23,101.08,-5.58,01-Sep-2006,95.44,7.4,04-Sep-2006,95.56,846,0.44,205.16,41.77
REFEX,02-Nov-2023,104.9,40.9,07-Jun-2024,168.6,10.32,177.5,4.99,01-Jul-2024,186.35,14.98,02-Jul-2024,190.0,3419,0.44,136.5,157.32
VIMTALABS,20-Dec-2023,196.0,34.62,02-Apr-2024,254.6,11.67,299.8,-6.54,25-Apr-2024,280.2,42.94,26-Apr-2024,279.95,4532,0.44,85.32,-20.99
SHRIPISTON,12-Oct-2023,973.69,35.15,08-Jul-2024,1922.45,3.4,2148.66,-7.96,30-Jul-2024,1977.54,5.28,31-Jul-2024,1992.45,1991,0.44,20.31,1.18
HDFCLIFE,16-Mar-2023,461.4,24.56,20-Nov-2023,690.75,5.55,759.0,-6.81,12-Dec-2023,707.35,5.02,13-Dec-2023,706.5,1501,0.43,-10.47,-8.83
BAJAJCON,17-Dec-2013,202.95,25.44,24-Jul-2014,249.15,8.05,279.4,-7.87,18-Aug-2014,257.4,7.01,19-Aug-2014,259.45,990,0.43,83.16,65.39
ACC,21-Nov-2016,1272.25,25.59,30-Mar-2017,1511.35,6.11,1762.8,-8.84,24-Apr-2017,1607.0,6.83,25-Apr-2017,1610.05,3036,0.43,-4.02,-2.61
ASHAPURMIN,12-Mar-2025,308.9,43.2,23-Oct-2025,675.15,9.96,692.55,-0.38,14-Nov-2025,689.9,16.86,17-Nov-2025,695.95,5156,0.43,-22.37,9.07
ULTRACEMCO,26-Jul-2010,829.15,28.71,05-Nov-2010,1147.55,6.25,1165.15,-0.85,29-Nov-2010,1155.2,3.82,30-Nov-2010,1156.05,1550,0.43,1.79,-8.88
LTIM,13-May-2024,4479.42,27.03,18-Nov-2024,6307.01,8.57,7201.88,-9.82,10-Dec-2024,6494.82,3.49,11-Dec-2024,6549.41,2067,0.43,-4.04,-6.24
UPL,20-Jul-2006,67.4,31.22,25-May-2007,93.6,7.43,110.2,-8.98,15-Jun-2007,100.3,4.7,18-Jun-2007,101.05,821,0.43,-3.12,-0.99
MAPMYINDIA,06-Jan-2023,1022.28,26.76,21-Jul-2023,1592.99,9.35,1842.28,-8.81,11-Aug-2023,1679.91,3.89,14-Aug-2023,1679.91,408,0.43,27.18,18.41
LAOPALA,16-Jun-2022,239.92,36.32,19-Oct-2022,399.59,5.0,426.89,-5.58,11-Nov-2022,403.09,3.52,14-Nov-2022,405.13,3838,0.43,7.48,-8.96
IRB,10-Aug-2017,10.02,24.94,09-Apr-2018,14.02,11.41,15.42,-8.69,30-Apr-2018,14.08,3.03,02-May-2018,14.08,2504,0.43,-59.52,-15.34
SAMBHV,27-Jan-2026,82.3,32.31,16-Apr-2026,128.01,9.05,139.7,-7.25,08-May-2026,129.57,3.13,11-May-2026,136.0,208,0.43,-2.57,-16.31
