Symbol,Trough_Date,Trough_Close,Depth_%,Shelf_Start_Date,Shelf_High,Shelf_Range_%,ATH_Before_Breakout,DistToATH_%,Breakout_Close_Date,Breakout_Close,VolMultiple,Entry_Date,Entry_Price_NextOpen,History_Bars,Pattern_Score,Info_Fwd250_%,Info_ST73_Ret_%
DALMIASUG,17-Nov-2016,98.75,40.02,29-Mar-2017,178.55,6.64,195.7,-7.18,21-Apr-2017,181.65,4.68,24-Apr-2017,181.8,3034,0.38,-65.1,-0.47
TORNTPHARM,23-Jul-2019,733.9,24.72,30-Sep-2019,849.9,5.94,974.85,-9.33,24-Oct-2019,883.85,4.08,25-Oct-2019,883.85,3650,0.38,53.6,12.46
HBLENGINE,17-Mar-2025,406.4,42.35,12-Jun-2025,626.85,10.1,704.9,-9.77,03-Jul-2025,636.05,3.72,04-Jul-2025,637.0,4566,0.38,19.62,-12.24
ASAHIINDIA,30-Mar-2026,784.4,26.44,28-Jul-2026,939.2,7.44,1066.4,-9.71,18-Aug-2026,962.8,8.84,19-Aug-2026,974.0,5342,0.38,0.61,0.61
EMCURE,09-Apr-2025,905.6,38.74,01-Jul-2025,1369.5,9.23,1526.6,-6.61,22-Jul-2025,1425.7,3.07,23-Jul-2025,1425.7,257,0.38,32.72,-5.95
LEMONTREE,07-Oct-2024,114.03,24.29,16-Jan-2025,147.69,11.59,159.02,-6.83,05-Feb-2025,148.16,7.56,06-Feb-2025,148.99,1694,0.37,-10.82,-13.34
CARBORUNIV,22-Dec-2016,239.35,20.15,21-Apr-2017,297.6,2.34,301.35,2.62,15-May-2017,309.25,9.13,16-May-2017,312.6,3049,0.37,11.55,-7.68
CARBORUNIV,24-Mar-2020,188.05,46.0,04-Dec-2020,387.25,5.66,420.5,-1.41,28-Dec-2020,414.55,4.68,29-Dec-2020,418.2,3945,0.37,124.53,11.5
BATAINDIA,24-Nov-2016,402.55,33.51,18-Aug-2017,693.8,3.75,740.28,-2.81,11-Sep-2017,719.45,3.01,12-Sep-2017,724.25,3132,0.37,43.26,-5.99
BAJAJELEC,04-Sep-2013,100.1,20.56,31-Mar-2014,190.2,8.62,217.7,-8.11,25-Apr-2014,200.05,8.6,28-Apr-2014,202.85,1596,0.37,-25.22,3.11
HAPPYFORGE,09-Apr-2025,753.76,28.73,09-Dec-2025,1123.1,7.93,1269.58,-9.49,31-Dec-2025,1149.1,3.05,01-Jan-2026,1149.1,495,0.37,93.73,-7.36
FIEMIND,08-Sep-2015,240.0,47.72,08-Jun-2016,424.15,3.29,459.1,1.09,29-Jun-2016,464.1,8.86,30-Jun-2016,463.5,2386,0.37,-0.54,34.48
HAVELLS,06-Nov-2015,241.8,22.04,08-Mar-2016,312.65,9.34,329.83,-2.57,31-Mar-2016,321.35,3.02,01-Apr-2016,319.0,2775,0.37,45.13,28.26
DELTACORP,26-Dec-2016,95.55,48.56,10-Mar-2017,181.1,11.24,185.75,15.21,03-Apr-2017,214.0,5.69,05-Apr-2017,216.4,2316,0.37,29.6,-21.93
UBL,05-Oct-2011,354.9,41.53,12-Jun-2012,546.75,11.89,613.85,-9.48,03-Jul-2012,555.65,3.15,04-Jul-2012,560.0,968,0.37,52.92,-10.76
DHANBANK,28-Nov-2008,31.85,58.3,26-Jun-2009,85.09,4.63,91.31,-3.96,17-Jul-2009,87.69,3.94,20-Jul-2009,87.0,1121,0.37,65.3,36.43
BDL,21-Nov-2024,926.9,46.48,21-Apr-2025,1569.9,10.19,1731.85,0.86,13-May-2025,1746.7,9.96,14-May-2025,1762.9,1765,0.37,-24.82,2.22
SYRMA,13-Mar-2025,413.75,34.07,11-Aug-2025,760.3,11.44,762.95,3.74,03-Sep-2025,791.5,4.2,04-Sep-2025,804.9,749,0.37,103.11,-7.66
DYCL,09-Apr-2025,254.99,51.87,29-Jul-2025,411.3,5.18,529.84,-9.41,20-Aug-2025,480.0,27.27,21-Aug-2025,515.15,754,0.37,-10.92,-22.73
DYCL,28-Mar-2023,78.73,28.65,30-Jun-2023,194.7,11.45,194.7,7.54,21-Jul-2023,209.39,4.5,24-Jul-2023,216.94,243,0.37,27.49,6.8
CHOLAFIN,08-Oct-2018,211.05,39.41,24-Oct-2019,316.6,9.7,348.3,-5.5,15-Nov-2019,329.15,3.29,18-Nov-2019,331.0,3665,0.37,-4.38,-11.93
TEJASNET,27-Jan-2023,516.69,31.74,17-May-2023,699.83,8.48,756.93,-5.06,07-Jun-2023,718.62,3.2,08-Jun-2023,723.4,1470,0.37,87.82,12.19
GATEWAY,27-Feb-2023,53.76,20.17,27-Jun-2023,66.87,3.47,72.88,-7.42,19-Jul-2023,67.47,4.57,20-Jul-2023,67.65,329,0.37,53.39,42.0
ASTRAZEN,14-Mar-2024,4928.05,28.86,12-Jun-2024,6458.55,3.22,6927.05,2.91,04-Jul-2024,7128.85,43.79,05-Jul-2024,7190.0,4808,0.37,27.27,-5.8
BIOCON,26-Sep-2019,216.15,31.34,22-Jun-2020,414.3,6.46,414.3,0.13,13-Jul-2020,414.85,4.09,14-Jul-2020,419.8,3829,0.37,-7.73,-7.72
INFY,26-Apr-2013,276.5,26.37,19-Sep-2013,390.95,4.23,435.18,-5.94,11-Oct-2013,409.31,4.7,14-Oct-2013,407.0,2652,0.37,16.59,9.37
JSWSTEEL,14-Jun-2006,21.08,42.62,04-Jan-2007,43.52,10.66,43.52,1.49,25-Jan-2007,44.17,5.81,29-Jan-2007,44.41,458,0.37,119.79,-7.0
BODALCHEM,12-Jun-2015,24.54,42.81,16-May-2016,87.5,9.52,91.02,-1.63,06-Jun-2016,89.54,3.15,07-Jun-2016,90.21,1013,0.37,71.22,32.82
KIMS,22-Jun-2022,224.5,22.2,30-Aug-2022,257.85,6.63,299.55,-9.73,21-Sep-2022,270.4,8.26,22-Sep-2022,269.4,307,0.37,46.34,5.85
NOIDATOLL,07-Mar-2007,23.2,45.09,04-Dec-2007,61.1,10.8,61.45,8.71,27-Dec-2007,66.8,5.84,28-Dec-2007,68.0,742,0.37,-61.54,-4.56
GOCOLORS,14-Mar-2022,869.95,33.19,08-Sep-2022,1299.05,7.96,1302.05,2.66,29-Sep-2022,1336.65,4.7,30-Sep-2022,1337.0,208,0.37,-4.9,-7.65
NH,25-Mar-2021,383.2,24.18,22-Jun-2021,504.5,6.22,505.4,3.47,13-Jul-2021,522.95,4.52,14-Jul-2021,522.0,1362,0.37,20.7,-9.2
MONTECARLO,22-Mar-2021,182.79,21.53,14-Dec-2021,552.61,9.04,567.35,5.2,04-Jan-2022,596.83,10.53,05-Jan-2022,616.6,1737,0.37,3.16,-17.79
VIPIND,26-Dec-2016,114.05,24.55,14-Jul-2017,185.95,7.26,215.45,-9.82,04-Aug-2017,194.3,4.57,07-Aug-2017,195.65,3107,0.37,182.09,67.14
VINYLINDIA,21-Dec-2021,211.5,32.88,28-Mar-2022,272.95,8.94,315.1,-9.73,20-Apr-2022,284.45,4.03,21-Apr-2022,289.7,4076,0.37,80.19,-12.93
VMM,13-Mar-2025,99.44,20.7,03-Jun-2025,131.01,6.21,131.01,1.53,24-Jun-2025,133.02,4.59,25-Jun-2025,133.7,126,0.37,-11.44,2.63
GANECOS,20-Dec-2021,458.5,24.46,21-Mar-2022,722.97,3.03,725.69,6.17,11-Apr-2022,770.45,7.6,12-Apr-2022,777.28,1751,0.37,18.88,-15.08
RAMRAT,20-Jan-2026,278.25,26.73,04-May-2026,455.4,7.69,455.4,3.3,25-May-2026,470.45,3.39,26-May-2026,468.45,937,0.37,15.06,-14.56
AXISBANK,18-Jan-2016,373.2,38.68,09-Aug-2016,593.15,4.26,647.54,-7.83,31-Aug-2016,596.85,15.08,01-Sep-2016,597.05,3360,0.37,-17.45,-6.63
CUMMINSIND,12-Mar-2009,107.07,53.47,15-Dec-2009,311.89,8.79,322.61,-1.49,08-Jan-2010,317.79,5.97,11-Jan-2010,320.18,1237,0.37,68.85,66.5
HINDALCO,13-Jan-2025,563.75,25.97,23-Jul-2025,695.6,4.1,761.55,-8.02,13-Aug-2025,700.5,3.7,14-Aug-2025,701.0,5558,0.37,47.97,12.47
BAYERCROP,21-Mar-2014,1386.2,21.69,04-Jul-2014,1852.6,7.53,1892.7,1.92,25-Jul-2014,1928.95,11.2,28-Jul-2014,1954.0,1128,0.36,102.88,14.75
CENTRALBK,09-Mar-2009,25.56,50.98,15-Oct-2009,122.7,11.43,136.52,-2.24,09-Nov-2009,133.46,7.37,10-Nov-2009,134.44,543,0.36,53.91,-6.61
PITTIENG,04-Nov-2022,270.7,27.32,15-May-2023,360.95,5.87,372.45,3.28,05-Jun-2023,384.65,4.47,06-Jun-2023,388.0,3999,0.36,134.66,43.69
DEVYANI,27-Mar-2023,137.95,28.8,23-May-2023,187.1,5.56,212.0,-9.03,13-Jun-2023,192.85,4.39,14-Jun-2023,192.85,452,0.36,-11.81,5.7
PCBL,28-Mar-2023,110.15,22.78,24-May-2023,146.1,8.25,152.05,4.27,14-Jun-2023,158.55,11.06,15-Jun-2023,160.85,4555,0.36,56.99,-5.13
COALINDIA,23-Sep-2014,320.45,20.28,05-Feb-2015,369.65,6.71,401.95,-5.98,27-Feb-2015,377.9,4.14,02-Mar-2015,377.5,1063,0.36,0.01,-9.5
IGL,18-Apr-2007,9.3,24.08,11-Oct-2007,13.35,10.49,14.9,-8.72,01-Nov-2007,13.6,3.0,02-Nov-2007,13.4,704,0.36,-19.03,5.6
BERGEPAINT,27-Jan-2023,449.6,23.71,31-Aug-2023,627.7,6.03,720.8,-7.14,22-Sep-2023,669.3,7.4,25-Sep-2023,668.0,4625,0.36,-7.79,-14.74
ZEEL,18-Apr-2005,38.06,26.33,08-Aug-2005,51.53,5.43,56.37,-3.32,30-Aug-2005,54.5,3.32,31-Aug-2005,55.52,165,0.36,60.73,-9.87
CANTABIL,31-Mar-2020,39.46,42.31,15-Jul-2020,61.76,7.98,68.4,-5.32,05-Aug-2020,64.76,4.89,06-Aug-2020,65.18,2413,0.36,19.44,14.16
JINDALSTEL,30-Jun-2005,28.52,29.02,22-Nov-2005,48.38,3.87,50.19,-0.74,13-Dec-2005,49.82,3.39,14-Dec-2005,51.0,235,0.36,33.31,-5.2
KRISHNADEF,09-Sep-2025,731.87,24.07,07-Jan-2026,986.85,9.97,1094.06,-2.27,30-Jan-2026,1069.25,6.43,02-Feb-2026,1002.7,916,0.36,7.7,-7.16
FILATEX,22-Nov-2016,6.08,28.47,24-Apr-2017,13.58,4.34,14.36,-2.09,16-May-2017,14.06,5.47,17-May-2017,14.28,1218,0.36,32.56,-5.95
BLUEDART,04-Apr-2007,423.9,20.8,06-Dec-2007,714.06,11.65,779.7,-4.89,31-Dec-2007,741.58,4.58,01-Jan-2008,734.39,744,0.36,-36.74,-17.43
GARFIBRES,28-Mar-2023,534.25,25.23,15-Dec-2023,680.1,2.93,768.55,-3.51,08-Jan-2024,741.6,20.93,09-Jan-2024,756.0,4109,0.36,8.5,-13.27
DATAPATTNS,01-Jul-2022,629.28,30.47,23-Sep-2022,1196.61,9.98,1229.23,3.87,17-Oct-2022,1276.83,3.67,18-Oct-2022,1305.37,201,0.36,56.89,-6.34
BAJAJELEC,21-Nov-2016,133.2,25.96,10-Mar-2017,209.85,7.62,246.8,-1.78,03-Apr-2017,242.4,6.46,05-Apr-2017,246.05,2318,0.36,64.46,-16.68
TTKHLTCARE,17-May-2012,302.06,27.39,03-May-2013,480.23,7.51,583.57,-1.25,24-May-2013,576.26,9.67,27-May-2013,590.76,836,0.36,-11.6,-23.78
HINDUNILVR,19-Apr-2005,126.9,24.64,18-Jan-2006,197.8,6.67,215.45,-3.43,10-Feb-2006,208.05,4.76,13-Feb-2006,207.0,738,0.36,-3.16,24.76
JKTYRE,03-Mar-2025,253.4,39.78,28-Nov-2025,474.0,6.12,535.8,-9.34,19-Dec-2025,485.75,10.09,22-Dec-2025,490.0,5144,0.36,-27.03,2.27
REDINGTON,25-Oct-2023,139.6,28.0,11-Jan-2024,180.2,4.0,199.4,-5.44,02-Feb-2024,188.55,5.93,05-Feb-2024,191.4,4188,0.36,6.37,3.53
THOMASCOOK,07-Jan-2022,59.2,27.23,11-Mar-2022,72.45,10.35,81.35,-5.41,04-Apr-2022,76.95,3.84,05-Apr-2022,76.95,580,0.36,-22.09,-9.55
JKCEMENT,26-Dec-2016,638.95,33.64,30-Mar-2017,945.05,3.75,968.0,-0.52,24-Apr-2017,963.0,7.91,25-Apr-2017,971.35,2739,0.36,-0.51,5.01
SANGHVIMOV,19-May-2022,84.8,33.12,19-Jan-2023,174.9,7.43,198.15,-7.14,10-Feb-2023,184.0,11.02,13-Feb-2023,186.4,3962,0.36,194.9,-14.22
JKLAKSHMI,31-Jul-2023,609.4,26.11,04-Jan-2024,894.2,5.84,904.8,2.88,25-Jan-2024,930.9,11.78,29-Jan-2024,940.8,4349,0.36,-13.55,-15.48
DRREDDY,05-Mar-2009,74.8,45.76,26-Aug-2009,165.7,7.48,168.4,-1.37,16-Sep-2009,166.1,3.3,17-Sep-2009,166.2,1645,0.36,79.6,35.2
PRSMJOHNSN,14-Jun-2006,21.6,52.89,22-Dec-2006,37.9,11.87,45.85,-9.05,16-Jan-2007,41.7,11.52,17-Jan-2007,43.6,506,0.36,35.78,-13.07
INFY,29-May-2014,365.56,23.68,16-Sep-2014,480.92,6.24,480.92,1.07,10-Oct-2014,486.08,5.55,13-Oct-2014,486.17,2895,0.36,12.6,6.46
MUTHOOTFIN,04-May-2012,116.15,36.51,12-Dec-2012,210.1,11.9,226.05,1.84,03-Jan-2013,230.2,45.29,04-Jan-2013,231.5,411,0.35,-53.61,-11.25
UNIVCABLES,09-Apr-2025,411.15,51.15,29-Aug-2025,794.2,10.87,889.35,-9.89,19-Sep-2025,801.35,7.62,22-Sep-2025,804.0,5015,0.35,94.94,-11.93
KNRCON,07-Apr-2020,91.4,39.99,25-Nov-2020,157.7,10.65,170.55,-6.71,17-Dec-2020,159.1,3.41,18-Dec-2020,160.0,3130,0.35,79.09,21.97
HINDZINC,27-Jun-2022,246.1,30.17,28-Dec-2022,349.7,8.01,387.65,-6.78,18-Jan-2023,361.35,3.97,19-Jan-2023,364.0,4004,0.35,-14.64,-9.34
PARAS,03-Mar-2025,417.5,46.49,13-Jun-2025,867.2,8.16,899.8,3.76,04-Jul-2025,933.6,3.54,07-Jul-2025,934.0,932,0.35,34.16,-17.03
CIGNITITEC,07-Apr-2025,1159.55,40.32,03-Oct-2025,1678.6,9.1,1943.05,-9.62,27-Oct-2025,1756.2,9.84,28-Oct-2025,1770.2,2721,0.35,-28.09,-0.11
MANYAVAR,20-Mar-2024,873.92,39.01,08-Oct-2024,1339.91,7.6,1432.87,-6.25,29-Oct-2024,1343.37,4.43,30-Oct-2024,1326.85,664,0.35,-51.57,-3.13
JISLJALEQS,08-Dec-2008,48.93,58.52,12-Jun-2009,133.0,8.63,149.16,-5.77,03-Jul-2009,140.56,8.01,06-Jul-2009,142.0,1111,0.35,63.7,12.2
TDPOWERSYS,25-Apr-2022,33.5,28.72,19-Jul-2022,58.9,10.87,58.9,5.6,10-Aug-2022,62.2,5.67,11-Aug-2022,63.0,2689,0.35,94.29,-7.78
AMBER,13-Apr-2020,1004.65,38.73,13-Jul-2020,1538.25,5.11,1639.75,5.03,03-Aug-2020,1722.2,14.84,04-Aug-2020,1744.9,616,0.35,73.24,72.09
NBCC,09-Jun-2015,31.48,33.23,15-Jul-2015,47.17,8.16,47.17,12.13,05-Aug-2015,52.89,5.66,06-Aug-2015,53.25,817,0.35,-1.05,-16.75
NAZARA,08-Dec-2025,225.0,37.08,07-Aug-2026,357.1,2.62,400.28,-6.42,28-Aug-2026,374.6,4.9,31-Aug-2026,376.6,1337,0.35,-0.54,-0.54
BAJAJFINSV,30-Jun-2022,1093.15,36.43,13-Oct-2022,1726.25,5.52,1907.65,-5.61,04-Nov-2022,1800.7,4.2,07-Nov-2022,1813.2,3563,0.35,-13.11,-8.76
UPL,20-Jan-2016,238.8,34.08,05-Jul-2016,373.55,6.48,391.15,-0.47,27-Jul-2016,389.3,3.96,28-Jul-2016,391.85,3069,0.35,45.91,9.24
ANTHEM,27-Jan-2026,592.4,31.47,27-May-2026,788.7,5.48,864.5,-7.68,18-Jun-2026,798.1,5.84,19-Jun-2026,798.0,223,0.35,17.21,-0.87
TITAN,14-Jun-2006,25.92,41.13,25-Sep-2006,40.8,4.75,44.03,-5.06,17-Oct-2006,41.8,3.62,18-Oct-2006,41.5,926,0.35,88.22,-8.65
KICL,28-Mar-2023,1659.65,25.99,27-Oct-2023,2786.1,7.86,2963.55,-0.87,17-Nov-2023,2937.65,5.24,20-Nov-2023,2937.65,3133,0.35,129.46,22.81
BIOCON,02-May-2005,32.9,22.86,09-Aug-2005,37.9,4.22,42.65,-8.21,31-Aug-2005,39.15,5.05,01-Sep-2005,39.4,166,0.35,-20.43,-1.78
SYNGENE,23-Aug-2017,218.9,30.97,15-Dec-2017,286.6,6.84,317.1,-8.15,08-Jan-2018,291.25,10.9,09-Jan-2018,290.05,594,0.35,-6.72,-1.24
KABRAEXTRU,20-Jun-2022,269.75,48.77,02-Jan-2023,505.0,7.08,559.2,-0.67,23-Jan-2023,555.45,31.59,24-Jan-2023,557.0,4437,0.35,-24.48,-7.94
SOUTHBANK,04-Sep-2013,16.0,25.06,06-Jun-2014,24.75,7.27,25.1,2.19,27-Jun-2014,25.65,4.17,30-Jun-2014,25.9,2345,0.35,-14.48,-1.93
INDOBORAX,03-Mar-2025,147.19,40.38,03-Jul-2025,245.54,11.83,246.9,17.63,24-Jul-2025,290.44,29.24,25-Jul-2025,290.44,819,0.35,29.08,-17.04
ACCELYA,13-Dec-2023,1235.6,23.35,13-Jun-2024,1679.1,5.47,1936.1,-9.93,05-Jul-2024,1743.8,11.83,08-Jul-2024,1769.4,4817,0.35,-23.75,-10.46
PFOCUS,05-Jun-2024,91.45,32.91,02-Aug-2024,150.41,8.67,150.41,4.94,26-Aug-2024,157.84,3.62,27-Aug-2024,164.0,4490,0.35,-10.88,-18.84
INOXGREEN,13-Apr-2023,38.7,37.88,03-Jul-2023,59.65,6.54,62.3,3.37,24-Jul-2023,64.4,6.86,25-Jul-2023,65.0,165,0.35,176.8,-2.08
OBEROIRLTY,27-Jan-2023,802.25,25.49,11-Oct-2023,1164.7,8.18,1196.65,1.16,02-Nov-2023,1210.5,3.26,03-Nov-2023,1211.9,3219,0.35,59.75,13.03
IIFL,21-Nov-2016,169.8,27.09,14-Mar-2017,281.75,7.13,281.75,6.6,05-Apr-2017,300.35,3.37,06-Apr-2017,297.7,2932,0.35,83.46,41.95
RAMASTEEL,11-Aug-2017,1.63,23.47,22-Sep-2017,2.35,9.36,2.35,5.96,16-Oct-2017,2.49,4.21,17-Oct-2017,2.49,527,0.34,-50.6,20.08
TORNTPHARM,28-Dec-2011,129.1,23.45,03-Jul-2012,162.2,5.61,172.65,-4.23,24-Jul-2012,165.35,3.23,25-Jul-2012,165.85,1869,0.34,23.73,-3.35
SONATSOFTW,30-Jun-2015,48.2,28.49,29-Oct-2015,60.6,6.6,67.4,-5.79,20-Nov-2015,63.5,4.72,23-Nov-2015,63.75,2686,0.34,-7.92,-8.24
RITES,10-Nov-2023,219.4,22.64,01-Jan-2024,276.7,9.41,283.6,10.9,20-Jan-2024,314.5,15.37,23-Jan-2024,320.0,1375,0.34,-17.33,-8.5
INDHOTEL,17-Nov-2016,87.85,32.94,21-Apr-2017,130.15,6.3,143.05,-7.03,15-May-2017,133.0,3.0,16-May-2017,133.45,3050,0.34,1.24,-6.37
INDHOTEL,07-Sep-2015,81.15,28.41,27-May-2016,126.15,10.58,143.05,-9.26,17-Jun-2016,129.8,3.08,20-Jun-2016,129.45,2828,0.34,-3.28,-10.39
TNPL,26-Mar-2015,118.0,31.67,23-Sep-2015,196.45,9.8,216.4,-6.26,16-Oct-2015,202.85,3.61,19-Oct-2015,204.0,2663,0.34,85.29,18.75
YATHARTH,28-Feb-2025,358.85,47.69,15-Jul-2025,650.8,6.72,685.95,-0.15,05-Aug-2025,684.9,4.35,06-Aug-2025,692.0,496,0.34,25.1,6.94
AMBUJACEM,11-Feb-2011,116.45,29.3,05-Apr-2011,157.8,5.58,164.7,-3.95,29-Apr-2011,158.2,42.77,02-May-2011,156.8,1563,0.34,-9.28,-9.47
DWARKESH,10-Jun-2005,12.88,31.09,23-Nov-2005,20.04,9.68,22.7,-8.85,14-Dec-2005,20.69,24.95,15-Dec-2005,20.6,236,0.34,-56.94,-1.12
THERMAX,23-Dec-2022,1869.2,28.11,26-May-2023,2378.9,5.18,2600.0,-7.97,16-Jun-2023,2392.65,3.2,19-Jun-2023,2405.0,4558,0.34,113.73,-1.15
OMAXAUTO,28-Nov-2025,85.82,43.35,19-Jun-2026,242.25,10.66,257.15,-1.08,13-Jul-2026,254.36,3.06,14-Jul-2026,255.0,5318,0.34,-30.3,-19.86
LEMONTREE,10-Dec-2018,65.1,23.14,14-Feb-2019,80.25,11.15,84.7,1.3,08-Mar-2019,85.8,9.27,11-Mar-2019,85.6,227,0.34,-56.89,-14.78
URBANCO,02-Mar-2026,103.03,44.82,03-Aug-2026,157.41,11.5,186.73,-9.87,24-Aug-2026,168.3,17.26,25-Aug-2026,169.0,230,0.34,-2.46,-2.46
PIXTRANS,31-Jan-2023,699.98,22.77,16-Jun-2023,941.4,3.85,1028.31,-7.25,10-Jul-2023,953.79,3.27,11-Jul-2023,962.06,297,0.34,54.28,25.06
CREST,31-May-2024,347.6,29.49,28-Aug-2024,478.7,6.86,493.0,9.44,18-Sep-2024,539.55,14.87,19-Sep-2024,565.0,2369,0.34,-32.64,-23.33
TORNTPOWER,24-Oct-2008,58.0,51.79,20-Aug-2009,239.1,5.21,250.8,4.13,10-Sep-2009,261.15,10.39,11-Sep-2009,264.7,687,0.34,25.77,7.29
PAKKA,04-Jun-2024,224.0,37.38,16-Aug-2024,331.3,8.42,371.25,-6.53,06-Sep-2024,347.0,4.91,09-Sep-2024,345.5,283,0.34,-54.38,-16.05
GAIL,19-Oct-2022,76.41,26.47,10-Jul-2023,107.92,8.4,121.17,-9.66,31-Jul-2023,109.46,6.02,01-Aug-2023,109.46,4588,0.34,108.64,1.5
POONAWALLA,03-Nov-2023,347.7,22.14,17-May-2024,465.2,9.06,503.65,-7.57,07-Jun-2024,465.5,3.83,10-Jun-2024,467.65,4777,0.34,-8.82,-8.83
GAIL,08-Jun-2006,20.61,36.25,14-Mar-2007,28.22,10.77,32.33,-9.96,05-Apr-2007,29.11,4.66,09-Apr-2007,29.53,559,0.34,54.25,-1.73
CERA,10-May-2022,3839.15,39.09,20-Apr-2023,6818.05,11.12,6818.05,5.62,12-May-2023,7201.1,8.91,15-May-2023,7150.0,3757,0.34,0.33,1.67
HEIDELBERG,31-Oct-2005,21.83,39.94,07-Sep-2006,52.13,4.26,54.36,-1.97,28-Sep-2006,53.29,4.41,29-Sep-2006,54.46,433,0.34,8.17,4.17
APOLLOTYRE,28-Feb-2025,374.3,31.83,13-Oct-2025,515.15,6.69,564.25,-7.43,04-Nov-2025,522.35,3.67,06-Nov-2025,522.35,5150,0.34,-19.97,-5.05
BATAINDIA,20-Mar-2013,348.48,25.6,30-Sep-2013,450.05,4.84,491.4,-8.39,23-Oct-2013,450.15,3.15,24-Oct-2013,452.0,2178,0.34,41.76,9.8
SARDAEN,08-May-2025,418.05,24.87,22-Aug-2025,601.2,6.89,601.2,4.15,15-Sep-2025,626.15,6.25,16-Sep-2025,639.75,3902,0.34,-16.11,-15.69
ATGL,24-Mar-2020,81.4,55.78,30-Jul-2020,162.99,6.77,184.06,-8.98,20-Aug-2020,167.53,3.06,21-Aug-2020,168.33,439,0.34,568.44,3.97
NIITLTD,04-Jun-2024,95.1,29.16,23-Sep-2024,175.75,10.16,193.73,-8.04,15-Oct-2024,178.16,3.21,16-Oct-2024,177.55,336,0.34,-40.25,-14.76
RAMCOCEM,13-Mar-2025,801.55,23.49,20-Jun-2025,1105.3,8.43,1126.0,1.3,11-Jul-2025,1140.6,3.51,14-Jul-2025,1146.0,5072,0.34,-19.64,-6.47
TCS,03-Mar-2009,109.84,51.57,18-Dec-2009,370.16,6.92,370.16,4.88,13-Jan-2010,388.22,3.49,14-Jan-2010,393.1,1329,0.33,37.58,-9.39
KPITTECH,20-Jun-2022,454.45,39.05,29-Sep-2022,681.45,5.27,745.55,-4.51,21-Oct-2022,711.95,5.39,24-Oct-2022,720.0,869,0.33,55.6,-9.66
QUICKHEAL,29-Mar-2023,126.91,41.8,28-Nov-2023,376.58,6.56,376.58,3.16,19-Dec-2023,388.48,3.06,20-Dec-2023,388.48,1934,0.33,67.81,19.62
TAKE,07-May-2015,91.25,46.15,29-Oct-2015,191.55,8.09,195.35,0.9,20-Nov-2015,197.1,3.97,23-Nov-2015,198.0,2030,0.33,-36.69,-11.67
THYROCARE,22-Mar-2021,280.2,30.09,17-May-2021,354.7,5.75,400.8,-5.89,07-Jun-2021,377.2,7.58,08-Jun-2021,382.1,1255,0.33,-42.0,9.29
MRF,24-Feb-2022,63945.6,25.74,24-Aug-2022,86071.7,2.17,96973.85,-4.23,15-Sep-2022,92868.45,7.79,16-Sep-2022,92490.0,4372,0.33,17.85,-14.42
BPCL,29-Apr-2010,28.6,30.41,02-Aug-2010,44.85,9.59,45.85,11.12,23-Aug-2010,50.95,9.41,24-Aug-2010,51.3,1855,0.33,-15.11,-13.06
GUJENERGY,26-Feb-2019,116.7,24.59,08-May-2019,176.1,10.39,192.75,-6.38,29-May-2019,180.45,6.67,30-May-2019,181.5,3377,0.33,57.3,-10.11
GUJGASLTD,26-Feb-2019,116.7,24.59,08-May-2019,176.1,10.39,192.75,-6.38,29-May-2019,180.45,6.67,30-May-2019,181.5,3377,0.33,57.3,-10.11
MRF,09-Feb-2011,5544.15,41.93,15-Mar-2012,10658.2,9.24,10658.2,2.77,09-Apr-2012,10953.55,3.18,10-Apr-2012,11000.0,1795,0.33,4.98,-5.89
JSWINFRA,07-Apr-2026,234.31,31.64,19-Jun-2026,338.4,9.26,355.16,-0.75,13-Jul-2026,352.5,3.62,14-Jul-2026,350.95,679,0.33,-2.44,-2.44
PFS,19-Mar-2024,33.1,47.25,05-Aug-2024,57.71,11.18,62.75,-5.18,27-Aug-2024,59.5,5.0,28-Aug-2024,59.89,3301,0.33,-36.4,-13.21
AVADHSUGAR,04-Jun-2024,490.03,39.29,30-Aug-2024,742.6,5.46,807.1,-5.54,20-Sep-2024,762.35,5.83,23-Sep-2024,767.15,1761,0.33,-43.67,-12.96
WINDLAS,16-Mar-2026,705.75,34.09,12-Aug-2026,1008.35,11.27,1137.06,-3.56,02-Sep-2026,1096.6,19.71,03-Sep-2026,1105.35,1245,0.33,2.68,2.68
RTNINDIA,28-Mar-2023,32.9,41.67,14-Dec-2023,83.75,10.33,83.75,2.69,05-Jan-2024,86.0,3.27,08-Jan-2024,86.4,2791,0.33,-34.03,-12.67
PERSISTENT,15-Jul-2022,1570.9,36.09,27-Jun-2023,2505.5,6.31,2613.25,-1.68,19-Jul-2023,2569.35,4.54,20-Jul-2023,2574.9,3286,0.33,86.81,59.9
MTEDUCARE-BE,16-Aug-2012,83.2,26.4,16-Oct-2012,107.4,5.63,115.05,-5.56,07-Nov-2012,108.65,3.12,08-Nov-2012,107.9,143,0.33,-8.11,9.92
JBCHEPHARM,24-Jun-2016,117.9,23.22,29-Sep-2016,195.2,8.91,195.2,1.1,24-Oct-2016,197.35,3.27,25-Oct-2016,199.7,2912,0.33,-28.74,-11.62
EVEREADY,28-Mar-2023,277.45,28.09,31-Jul-2023,373.75,9.31,456.15,-8.1,22-Aug-2023,419.2,37.56,23-Aug-2023,425.7,4574,0.33,11.46,-16.65
