symbol,mode,ipo_short_window,series_hash,split_cut,hist_bars,left_rim_date,left_rim_level,trough_date,trough_close,depth_pct,base_len_bars,trough_pos,fit_r2,fit_curvature,vertex_frac,flat_frac,vol_ratio,obv_gain,obv_filter_pass,base_qualify_date,tv20_cr_at_q,shelf_start_date,shelf_high,shelf_low,shelf_range_pct,shelf_S,shelf_ok_s20,shelf_ok_s30,ath_before_breakout,dist_to_ath_pct,ath_ge_095,ath_new_high,trigger_date,trigger_close,vol_multiple,volx_ge_5,volx_ge_9,days_q_to_trigger,trigger_day_move_pct,tv20_cr_at_trigger,entry_date,entry_open,pattern_quality,info_fwd60_pct,info_fwd120_pct,info_fwd250_pct,info_st73_exit_date,info_st73_ret_pct,info_st73_bars_held,info_st73_still_open,info_mfe_250_pct,info_mae_250_pct
EXIDEIND,L180,0,42dc7af6047b,0,1151,2008-09-01,70.3,2009-03-06,35.05,50.14,180,0.698,0.822,6.625e-05,0.545,0.472,2.632,0.1169,1,2009-06-02,3.06,2009-08-07,89.85,81.05,9.79,15,1,0,90.6,2.87,1,1,2009-08-28,93.2,7.03,1,0,63,3.73,6.38,2009-08-31,92.8,0.3878,16.76,16.59,71.82,2010-01-28,17.19,99,0,73.38,-7.06
FACT,VAR,0,e900e803eeb8,0,4556,2022-12-30,373.35,2023-03-28,197.05,47.22,90,0.674,0.712,2.570e-04,0.523,0.4,1.846,0.5442,1,2023-05-15,37.64,2023-05-24,333.8,296.4,11.2,15,1,0,373.35,0.91,1,1,2023-06-14,376.75,48.22,1,1,22,14.62,11.35,2023-06-15,378.5,0.274,36.88,106.58,129.01,2023-08-14,10.59,42,0,139.89,-1.72
FCL,L250,0,496d865cb9aa,0,2040,2022-10-20,38.68,2023-03-27,21.31,44.91,250,0.546,0.701,2.662e-05,0.546,0.432,0.657,0.3263,0,2023-09-11,8.81,2024-01-17,34.9,31.85,8.74,15,1,0,38.68,-4.29,1,0,2024-02-09,37.02,8.2,1,0,101,6.07,11.4,2024-02-12,37.72,0.3521,-4.27,0.27,-26.17,2024-03-12,-3.79,21,0,20.41,-28.31
FDC,L120,0,6f8bd640f676,0,4058,2020-12-07,365.35,2021-03-19,272.25,25.48,120,0.672,0.713,5.298e-05,0.573,0.425,1.555,0.4119,1,2021-05-20,9.96,2021-05-24,365.1,329.15,9.85,15,1,0,367.4,3.78,1,1,2021-06-14,381.3,30.5,1,1,17,12.98,11.06,2021-06-15,381.3,0.2525,-8.43,-25.78,-37.91,2021-08-17,-10.27,45,0,6.19,-39.72
FDC,VAR,0,6f8bd640f676,0,4590,2022-11-11,314.45,2023-03-21,249.4,20.69,148,0.612,0.703,2.864e-05,0.463,0.439,1.854,0.5398,1,2023-06-15,5.45,2023-07-13,347.3,324.3,6.62,15,1,1,382.35,-2.46,1,0,2023-08-03,372.95,31.09,1,1,34,8.73,6.84,2023-08-04,374.0,0.3162,-2.49,10.67,38.48,2023-09-20,-3.07,32,0,46.31,-8.21
FEDERALBNK,L180,0,a6598e05e3a2,0,2930,2015-10-12,66.3,2016-04-07,42.75,35.52,180,0.698,0.735,3.138e-05,0.585,0.483,2.198,0.3258,1,2016-06-27,34.73,2016-09-30,75.4,70.09,7.04,15,1,1,78.4,3.57,1,1,2016-10-25,81.2,5.23,1,0,80,8.27,43.47,2016-10-26,81.05,0.3767,-5.24,13.08,47.38,2016-11-16,-10.75,15,0,57.5,-23.75
FEDFINA,L120,0,d6226c9d34c7,0,438,2024-12-04,117.89,2025-03-28,82.51,30.01,120,0.672,0.911,4.263e-05,0.699,0.608,1.172,0.0311,0,2025-05-29,3.55,2025-08-20,143.04,134.34,6.08,15,1,1,147.7,2.74,1,1,2025-09-11,151.75,8.07,1,0,73,7.5,11.94,2025-09-12,152.5,0.5504,-5.87,-20.77,4.26,2025-10-23,-6.68,28,0,17.04,-21.92
FEDFINA,L180,0,d6226c9d34c7,0,438,2024-12-04,117.89,2025-03-28,82.51,30.01,180,0.536,0.702,3.953e-05,0.462,0.422,1.45,0.2097,1,2025-07-30,7.41,2025-08-20,143.04,134.34,6.08,15,1,1,147.7,2.74,1,1,2025-09-11,151.75,8.07,1,0,29,7.5,11.94,2025-09-12,152.5,0.3537,-5.87,-20.77,4.26,2025-10-23,-6.68,28,0,17.04,-21.92
FIEMIND,L120,0,e73352815f92,0,3922,2022-01-17,664.5,2022-05-12,408.6,38.51,120,0.697,0.771,9.032e-05,0.546,0.467,1.639,0.6672,1,2022-07-01,17.54,2022-08-24,771.9,746.3,3.32,15,1,0,838.8,3.02,1,1,2022-09-15,864.1,9.93,1,1,51,12.52,6.84,2022-09-16,860.0,0.4188,7.2,-2.29,7.19,2022-09-26,-20.02,7,0,22.87,-20.7
FIEMIND,L250,0,e73352815f92,0,2386,2015-02-03,459.1,2015-09-08,240.0,47.72,250,0.699,0.824,2.791e-05,0.579,0.488,1.042,0.2882,0,2015-12-31,2.33,2016-06-08,424.15,410.2,3.29,15,1,1,459.1,1.09,1,1,2016-06-29,464.1,8.86,1,0,122,9.74,1.07,2016-06-30,463.5,0.3723,16.14,17.5,-0.54,2016-11-08,34.48,87,0,62.89,-9.39
FIEMIND,VAR,0,e73352815f92,0,2386,2015-02-03,459.1,2015-09-08,240.0,47.72,214,0.7,0.743,2.955e-05,0.572,0.57,1.051,0.3116,0,2015-12-15,3.51,2016-06-08,424.15,410.2,3.29,15,1,1,459.1,1.09,1,1,2016-06-29,464.1,8.86,1,0,133,9.74,1.07,2016-06-30,463.5,0.3479,16.14,17.5,-0.54,2016-11-08,34.48,87,0,62.89,-9.39
