cell,exit,hard_stop,time_stop,shelf_S,vol_K,ath,obv_filter,market_gate,n_events,seeds,cagr_med,cagr_min,cagr_max,maxdd_med,maxdd_worst,calmar_med,sharpe_med,trades,win_rate,avg_win,avg_loss,expectancy,max_loss_streak,trades_per_yr,final_med
EMA50|h0|t0|s15|k2|a0.95|o1|g1,EMA50,0,0,15,2,0.95,1,1,279,10,8.45,8.45,8.45,-14.45,-14.45,0.585,1.264,237,41.8,28.42,-8.5,6.92,11,10.9,5809892.0
EMA50|h0|t0|s15|k2|a1.00|o1|g0,EMA50,0,0,15,2,1.0,1,0,204,10,7.46,7.46,7.46,-13.89,-13.89,0.537,1.269,203,40.4,28.27,-9.2,5.936,9,9.4,4760420.0
EMA50|h0|t0|s15|k3|a0.90|o0|g1,EMA50,0,0,15,3,0.9,0,1,889,10,9.38,9.27,9.4,-21.6,-21.6,0.434,0.876,542,38.2,25.82,-8.0,4.925,16,25.0,6996276.0
EMA50|h0|t0|s15|k3|a0.95|o0|g0,EMA50,0,0,15,3,0.95,0,0,664,10,11.14,11.14,11.14,-18.88,-18.88,0.59,1.074,510,41.0,28.49,-8.42,6.705,11,23.5,9873331.0
EMA50|h0|t0|s15|k3|a0.95|o1|g1,EMA50,0,0,15,3,0.95,1,1,238,10,7.85,7.85,7.85,-14.08,-14.08,0.558,1.288,210,41.0,28.7,-8.8,6.555,10,9.7,5153549.0
EMA50|h0|t0|s15|k3|a1.00|o1|g0,EMA50,0,0,15,3,1.0,1,0,176,10,6.74,6.74,6.74,-11.89,-11.89,0.567,1.272,176,39.2,27.02,-9.39,4.885,7,8.1,4118457.0
EMA50|h0|t0|s15|k5|a0.90|o0|g1,EMA50,0,0,15,5,0.9,0,1,628,10,8.8,8.74,8.89,-20.45,-20.45,0.43,1.002,452,39.2,26.44,-8.65,5.094,13,20.9,6231826.0
EMA50|h0|t0|s15|k5|a0.95|o0|g0,EMA50,0,0,15,5,0.95,0,0,477,10,9.88,9.88,9.92,-19.72,-19.72,0.501,1.093,410,43.7,27.04,-9.01,6.729,19,18.9,7722998.0
EMA50|h0|t0|s15|k5|a0.95|o1|g1,EMA50,0,0,15,5,0.95,1,1,179,10,7.35,7.35,7.35,-9.62,-9.62,0.764,1.447,162,46.3,25.47,-9.67,6.598,9,7.5,4652496.0
EMA50|h0|t0|s15|k5|a1.00|o1|g0,EMA50,0,0,15,5,1.0,1,0,129,10,7.02,7.02,7.02,-10.87,-10.87,0.646,1.51,129,43.4,28.89,-10.03,6.864,6,5.9,4358524.0
