Symbol,PriorHigh_Date,PriorHigh_Level,Trough_Date,Trough_Close,Depth_%,BaseCeiling_Level,Breakout_Close_Date,Breakout_Close,ATH_Before_Breakout,DistToATH_%,Entry_Date,Entry_Price_NextOpen,VolMultiple,History_Bars,Pattern_Score,Info_Fwd250_%,Info_ST73_Ret_%
FCL,20-Oct-2022,38.68,27-Mar-2023,21.31,44.91,34.06,24-Nov-2023,35.6,38.68,-7.96,28-Nov-2023,36.13,23.07,1989,0.35,-1.41,-10.46
APOLLOTYRE,18-Jul-2011,81.1,04-Oct-2011,51.9,36.0,85.4,13-Apr-2012,86.2,87.3,-1.26,16-Apr-2012,86.2,4.69,1799,0.35,-2.78,-6.32
NBCC,05-Mar-2015,47.15,09-Jun-2015,31.48,33.23,47.17,05-Aug-2015,52.89,47.17,12.13,06-Aug-2015,53.25,5.66,817,0.35,-1.05,-16.75
E2E-BE,07-Oct-2025,374.4,29-Dec-2025,195.5,47.78,492.1,24-Jul-2026,516.7,539.1,-4.16,27-Jul-2026,534.0,5.1,1708,0.35,12.86,12.86
UPL,05-Aug-2015,362.25,20-Jan-2016,238.8,34.08,335.5,29-Apr-2016,344.0,362.25,-5.04,02-May-2016,346.4,3.01,3007,0.35,49.8,3.67
TITAN,06-Mar-2006,44.03,14-Jun-2006,25.92,41.13,40.8,17-Oct-2006,41.8,44.03,-5.06,18-Oct-2006,41.5,3.62,926,0.35,88.22,-8.65
KICL,02-Jan-2023,2242.4,28-Mar-2023,1659.65,25.99,2733.4,11-Sep-2023,2886.25,2749.45,4.98,12-Sep-2023,2940.0,3.31,3087,0.35,107.34,-9.82
BIOCON,03-Jan-2005,42.65,02-May-2005,32.9,22.86,38.15,31-Aug-2005,39.15,42.65,-8.21,01-Sep-2005,39.4,5.05,166,0.35,-20.43,-1.78
ACMESOLAR,12-Sep-2025,318.52,23-Jan-2026,198.78,37.59,309.2,29-May-2026,310.1,318.52,-2.64,01-Jun-2026,314.0,3.81,377,0.35,26.67,26.67
PRINCEPIPE,14-Feb-2020,185.28,22-May-2020,74.38,59.86,245.89,13-Nov-2020,259.84,245.89,5.67,14-Nov-2020,262.02,7.67,220,0.35,217.83,150.82
SMCGLOBAL,02-Jan-2026,91.42,30-Mar-2026,55.59,39.19,81.67,07-Sep-2026,84.95,91.42,-7.08,08-Sep-2026,86.0,10.94,1364,0.35,-1.63,-1.63
ACCELYA,12-Oct-2023,1611.9,13-Dec-2023,1235.6,23.35,1743.8,12-Jul-2024,1811.0,1936.1,-6.46,15-Jul-2024,1835.4,17.99,4822,0.35,-28.3,-13.68
INDOBORAX,18-Sep-2024,246.9,03-Mar-2025,147.19,40.38,219.8,09-Jul-2025,228.69,246.9,-7.38,10-Jul-2025,228.04,4.23,808,0.35,79.92,5.66
PFOCUS,05-Feb-2024,136.3,05-Jun-2024,91.45,32.91,150.41,26-Aug-2024,157.84,150.41,4.94,27-Aug-2024,164.0,3.62,4490,0.35,-10.88,-18.84
HONDAPOWER,05-Oct-2023,2998.4,19-Mar-2024,2104.5,29.81,4034.9,08-Oct-2024,4210.4,4034.9,4.35,09-Oct-2024,4260.9,3.41,4876,0.35,-36.67,-17.73
INOXGREEN,25-Nov-2022,62.3,13-Apr-2023,38.7,37.88,59.65,24-Jul-2023,64.4,62.3,3.37,25-Jul-2023,65.0,6.86,165,0.35,176.8,-2.08
OBEROIRLTY,15-Sep-2022,1076.7,27-Jan-2023,802.25,25.49,1196.65,02-Nov-2023,1210.5,1196.65,1.16,03-Nov-2023,1211.9,3.26,3219,0.35,59.75,13.03
IIFL,28-Oct-2016,232.9,21-Nov-2016,169.8,27.09,281.75,05-Apr-2017,300.35,281.75,6.6,06-Apr-2017,297.7,3.37,2932,0.35,83.46,41.95
BRITANNIA,01-Oct-2024,6446.05,04-Mar-2025,4575.2,29.02,5908.0,04-Sep-2025,6083.0,6446.05,-5.63,05-Sep-2025,6066.0,3.52,5570,0.34,-16.52,-3.79
RAMASTEEL,10-May-2017,2.13,11-Aug-2017,1.63,23.47,2.35,16-Oct-2017,2.49,2.35,5.96,17-Oct-2017,2.49,4.21,527,0.34,-50.6,20.08
GVKPIL-BE,17-May-2006,33.35,24-Jul-2006,13.26,60.24,33.68,06-Feb-2007,33.94,33.68,0.77,07-Feb-2007,33.52,9.61,233,0.34,99.37,-14.5
SONATSOFTW,08-Apr-2015,67.4,30-Jun-2015,48.2,28.49,60.6,20-Nov-2015,63.5,67.4,-5.79,23-Nov-2015,63.75,4.72,2686,0.34,-7.92,-8.24
RITES,11-Sep-2023,283.6,10-Nov-2023,219.4,22.64,276.7,20-Jan-2024,314.5,283.6,10.9,23-Jan-2024,320.0,15.37,1375,0.34,-17.33,-8.5
TNPL,11-Aug-2014,172.7,26-Mar-2015,118.0,31.67,202.55,04-Aug-2015,207.6,202.55,2.49,05-Aug-2015,208.7,4.85,2613,0.34,41.16,-11.69
THERMAX,22-Sep-2022,2600.0,23-Dec-2022,1869.2,28.11,2469.75,25-Jul-2023,2623.95,2600.0,0.92,26-Jul-2023,2641.9,22.81,4584,0.34,91.16,3.28
DWARKESH,28-Feb-2005,18.69,10-Jun-2005,12.88,31.09,18.62,03-Aug-2005,19.13,18.69,2.35,04-Aug-2005,19.98,3.31,147,0.34,-35.04,-5.36
AMBUJACEM,09-Nov-2010,164.7,11-Feb-2011,116.45,29.3,157.8,29-Apr-2011,158.2,164.7,-3.95,02-May-2011,156.8,42.77,1563,0.34,-9.28,-9.47
LEMONTREE,06-Aug-2018,84.7,10-Dec-2018,65.1,23.14,80.25,08-Mar-2019,85.8,84.7,1.3,11-Mar-2019,85.6,9.27,227,0.34,-56.89,-14.78
KIRLFER,21-Apr-2022,271.0,04-Jul-2022,189.0,30.26,293.2,09-Nov-2022,296.35,308.9,-4.06,10-Nov-2022,297.0,3.81,744,0.34,54.93,40.45
PIXTRANS,28-Nov-2022,906.33,31-Jan-2023,699.98,22.77,918.18,25-May-2023,962.15,1028.31,-6.43,26-May-2023,964.12,3.23,266,0.34,26.33,24.8
HINDUNILVR,14-Oct-2009,293.85,12-Mar-2010,219.4,25.34,303.3,24-Sep-2010,314.95,303.3,3.84,27-Sep-2010,318.0,4.4,1878,0.34,4.14,-7.83
CREST,05-Feb-2024,493.0,31-May-2024,347.6,29.49,478.7,18-Sep-2024,539.55,493.0,9.44,19-Sep-2024,565.0,14.87,2369,0.34,-32.64,-23.33
PAKKA,20-Feb-2024,357.7,04-Jun-2024,224.0,37.38,333.55,06-Sep-2024,347.0,371.25,-6.53,09-Sep-2024,345.5,4.91,283,0.34,-54.38,-16.05
IFCI,11-May-2006,14.7,19-Jul-2006,7.9,46.26,49.2,07-Jun-2007,50.0,49.2,1.63,08-Jun-2007,50.0,3.53,601,0.34,19.3,-0.1
POONAWALLA,08-Aug-2023,446.55,03-Nov-2023,347.7,22.14,501.55,19-Jan-2024,503.65,501.55,0.42,20-Jan-2024,514.5,3.55,4683,0.34,-36.42,-11.37
MAYURUNIQ,18-Jul-2025,612.48,09-Jan-2026,477.9,21.97,827.45,30-Jun-2026,860.8,827.45,4.03,01-Jul-2026,860.8,3.8,3386,0.34,-12.29,-10.65
SARDAEN,18-Mar-2025,556.4,08-May-2025,418.05,24.87,601.2,15-Sep-2025,626.15,601.2,4.15,16-Sep-2025,639.75,6.25,3902,0.34,-16.11,-15.69
NIITLTD,08-Feb-2024,134.25,04-Jun-2024,95.1,29.16,127.82,23-Aug-2024,128.2,140.75,-8.92,26-Aug-2024,143.7,15.24,300,0.34,-21.52,5.32
ATGL,20-Feb-2020,184.06,24-Mar-2020,81.4,55.78,170.93,25-Aug-2020,185.01,184.06,0.52,26-Aug-2020,184.56,4.51,442,0.34,605.71,-5.17
ZEEMEDIA,07-Dec-2015,25.55,23-Feb-2016,17.35,32.09,27.8,15-Sep-2016,29.8,27.8,7.19,16-Sep-2016,29.45,18.48,2386,0.34,19.35,3.06
TAKE,03-Mar-2015,169.45,07-May-2015,91.25,46.15,151.05,30-Sep-2015,156.44,169.45,-7.68,01-Oct-2015,159.05,5.32,1996,0.33,10.03,9.97
OIL,29-May-2013,201.7,29-Aug-2013,138.8,31.18,189.0,19-May-2014,201.4,216.0,-6.76,20-May-2014,203.9,3.18,1144,0.33,-21.97,-1.23
THYROCARE,27-Oct-2020,400.8,22-Mar-2021,280.2,30.09,360.8,07-Jun-2021,377.2,400.8,-5.89,08-Jun-2021,382.1,7.58,1255,0.33,-42.0,9.29
BPCL,04-Jan-2010,41.1,29-Apr-2010,28.6,30.41,35.65,25-Jun-2010,38.75,41.1,-5.72,28-Jun-2010,39.0,12.33,1814,0.33,-1.67,0.13
GUJGASLTD,31-Aug-2018,154.75,26-Feb-2019,116.7,24.59,176.1,29-May-2019,180.45,192.75,-6.38,30-May-2019,181.5,6.67,3377,0.33,57.3,-10.11
GUJENERGY,31-Aug-2018,154.75,26-Feb-2019,116.7,24.59,176.1,29-May-2019,180.45,192.75,-6.38,30-May-2019,181.5,6.67,3377,0.33,57.3,-10.11
KPITTECH,10-Jan-2022,745.55,20-Jun-2022,454.45,39.05,681.45,21-Oct-2022,711.95,745.55,-4.51,24-Oct-2022,720.0,5.39,869,0.33,55.6,-9.66
JSWINFRA,24-Sep-2025,342.75,07-Apr-2026,234.31,31.64,338.4,13-Jul-2026,352.5,355.16,-0.75,14-Jul-2026,350.95,3.62,679,0.33,-2.44,-2.44
PFS,29-Jan-2024,62.75,19-Mar-2024,33.1,47.25,55.85,24-Jul-2024,58.35,62.75,-7.01,25-Jul-2024,57.0,3.7,3278,0.33,-28.07,-8.81
AVADHSUGAR,29-Nov-2023,807.1,04-Jun-2024,490.03,39.29,742.6,20-Sep-2024,762.35,807.1,-5.54,23-Sep-2024,767.15,5.83,1761,0.33,-43.67,-12.96
OBEROIRLTY,27-Jan-2020,566.0,22-May-2020,292.9,48.25,595.0,15-Mar-2021,596.6,623.75,-4.35,16-Mar-2021,608.0,4.71,2566,0.33,50.15,38.03
MTEDUCARE-BE,20-Apr-2012,113.05,16-Aug-2012,83.2,26.4,115.05,23-Nov-2012,125.3,115.05,8.91,26-Nov-2012,126.6,15.15,154,0.33,-24.01,-6.32
JBCHEPHARM,20-Oct-2015,153.55,24-Jun-2016,117.9,23.22,195.2,24-Oct-2016,197.35,195.2,1.1,25-Oct-2016,199.7,3.27,2912,0.33,-28.74,-11.62
BHARATRAS,10-Aug-2020,2744.0,02-Nov-2020,2136.0,22.16,2488.0,08-Jan-2021,2552.0,2744.0,-7.0,11-Jan-2021,2562.0,16.38,3609,0.32,25.88,-5.5
TITAN,29-Jan-2015,441.8,04-Aug-2015,315.95,28.49,396.5,30-Jun-2016,406.25,441.8,-8.05,01-Jul-2016,413.8,3.85,3318,0.32,29.04,-4.99
AFFLE,16-Dec-2024,1852.45,28-Feb-2025,1400.25,24.41,1720.0,23-May-2025,1727.4,1852.45,-6.75,26-May-2025,1730.0,5.36,1434,0.32,-14.61,4.14
CARBORUNIV,03-Jan-2022,1006.1,22-Jun-2022,662.65,34.14,879.0,12-Sep-2022,906.05,1006.1,-9.94,13-Sep-2022,901.5,7.19,4368,0.32,32.28,-8.89
JKPAPER,05-Apr-2023,386.1,10-Jul-2023,307.15,20.45,402.0,27-Dec-2023,412.25,447.05,-7.78,28-Dec-2023,416.0,8.81,4574,0.32,-2.75,-8.5
CENTURYPLY,14-Jun-2017,308.35,06-Sep-2017,239.1,22.46,298.7,27-Nov-2017,315.55,308.35,2.34,28-Nov-2017,322.0,3.26,2878,0.32,-44.7,-0.26
LEMONTREE,30-Nov-2022,100.9,23-Dec-2022,72.05,28.59,96.5,01-Aug-2023,96.65,100.9,-4.21,02-Aug-2023,96.7,6.87,1316,0.32,44.41,11.17
IDEA,03-Sep-2020,12.55,19-Oct-2020,7.95,36.65,12.3,15-Jan-2021,13.65,12.55,8.76,18-Jan-2021,13.65,3.53,208,0.32,-12.45,-20.15
APOLLO,20-Jan-2025,151.16,18-Feb-2025,105.96,29.9,213.82,22-Aug-2025,234.97,213.82,9.89,25-Aug-2025,238.8,15.98,1871,0.32,61.79,21.92
ASAHIINDIA,03-Feb-2022,596.5,12-May-2022,387.75,35.0,545.95,05-Jul-2022,577.15,596.5,-3.24,06-Jul-2022,574.7,8.36,4321,0.32,-6.95,-8.7
ADANIPORTS,01-Aug-2024,1590.15,03-Mar-2025,1053.05,33.78,1450.7,16-Oct-2025,1479.5,1590.15,-6.96,17-Oct-2025,1479.5,3.37,4415,0.32,19.36,-1.7
SRF,16-May-2017,368.25,09-Aug-2017,287.1,22.04,348.8,12-Oct-2017,351.95,384.95,-8.57,13-Oct-2017,350.2,5.31,3154,0.32,0.19,5.07
SADBHAV,17-Mar-2015,372.4,19-Jun-2015,274.1,26.4,323.6,27-Nov-2015,344.95,372.4,-7.37,30-Nov-2015,347.5,4.83,2402,0.32,-20.88,-8.94
JUBLPHARMA,01-Nov-2024,1262.6,09-Apr-2025,828.1,34.41,1232.0,30-Jul-2025,1236.3,1262.6,-2.08,31-Jul-2025,1220.0,9.06,5085,0.32,-24.2,-8.27
SIRCA,15-Dec-2022,376.44,25-Apr-2023,285.81,24.08,394.06,18-Aug-2023,415.0,394.06,5.31,21-Aug-2023,417.63,5.65,1252,0.32,-19.5,-9.52
SWANCORP,07-Oct-2015,74.09,16-May-2016,57.53,22.35,96.19,06-Oct-2016,100.02,96.19,3.98,07-Oct-2016,100.52,3.44,1069,0.32,35.17,70.15
RELIANCE,27-Sep-2024,1526.2,04-Mar-2025,1161.9,23.87,1456.4,20-Jun-2025,1466.2,1600.9,-8.41,23-Jun-2025,1453.0,3.48,6333,0.32,-9.28,-1.68
KENNAMET,15-Nov-2022,2839.75,28-Feb-2023,2000.95,29.54,2771.3,31-Jul-2023,2793.8,2839.75,-1.62,01-Aug-2023,2812.0,3.37,979,0.32,78.51,-7.79
MAPMYINDIA,12-Sep-2022,1417.46,31-Mar-2023,986.87,30.38,1679.91,24-Aug-2023,1731.53,1842.28,-6.01,25-Aug-2023,1733.97,3.91,416,0.32,16.57,14.72
GREAVESCOT,14-Jul-2021,176.65,23-Aug-2021,129.4,26.75,158.75,05-Jan-2022,162.15,176.65,-8.21,06-Jan-2022,159.5,16.61,4199,0.31,-16.05,10.91
APOLLOTYRE,05-Oct-2016,229.45,15-Feb-2017,174.2,24.08,266.95,02-Aug-2017,277.75,266.95,4.05,03-Aug-2017,278.5,3.08,3106,0.31,2.93,-10.54
PRESTIGE,02-Dec-2022,507.8,14-Mar-2023,394.35,22.34,493.05,15-May-2023,508.85,526.65,-3.38,16-May-2023,514.2,3.43,3096,0.31,196.54,5.48
SADBHAV,15-May-2017,342.7,22-Aug-2017,263.65,23.07,339.2,22-Nov-2017,353.8,372.4,-4.99,23-Nov-2017,357.0,3.45,2892,0.31,-42.27,3.99
SWANCORP,25-Jan-2017,195.56,10-Aug-2017,114.85,41.27,190.84,01-Jan-2018,191.93,200.24,-4.15,02-Jan-2018,192.53,4.1,1375,0.31,-48.82,-2.9
AFFLE,16-Dec-2024,1852.45,28-Feb-2025,1400.25,24.41,1868.7,10-Jun-2025,1939.0,1868.7,3.76,11-Jun-2025,1947.0,7.66,1446,0.31,-23.66,-7.47
TFCILTD,13-Feb-2006,3.5,13-Jun-2006,1.8,48.57,4.4,02-Jul-2007,4.6,4.8,-4.17,03-Jul-2007,4.8,28.51,618,0.31,-33.33,-15.62
RRKABEL,21-Nov-2023,1781.98,13-Mar-2024,1347.83,24.36,1677.39,10-May-2024,1688.01,1781.98,-5.27,13-May-2024,1702.66,5.52,153,0.31,-24.46,-7.64
SURYAROSNI,27-Oct-2016,60.0,26-Dec-2016,42.0,30.0,73.4,21-Jun-2017,75.15,73.4,2.38,22-Jun-2017,75.5,7.05,3076,0.31,7.22,-16.16
APARINDS,25-Jan-2022,822.75,11-May-2022,590.55,28.22,997.1,08-Jul-2022,1019.75,997.1,2.27,11-Jul-2022,1008.0,3.07,4324,0.31,244.06,55.47
