symbol,trigger_date,trigger_close,ath_before,dist_to_ath_pct,vol_multiple,entry_date,entry_open
AAKASH,2022-02-02,28.23,29.19,-3.29,35.71,2022-02-03,29.4
AARTECH,2024-12-20,82.33,85.58,-3.8,4.08,2024-12-23,85.59
AARTECH-BE,2024-12-20,82.52,86.06,-4.11,4.08,2024-12-23,85.78
AARTIDRUGS,2015-04-07,196.55,194.25,1.18,4.96,2015-04-08,201.3
AARTIDRUGS,2015-07-30,186.75,203.4,-8.19,12.65,2015-07-31,188.35
AARTIDRUGS,2020-05-07,190.2,203.4,-6.49,4.66,2020-05-08,192.75
AARTIDRUGS,2020-08-05,470.4,436.75,7.7,3.3,2020-08-06,477.5
AARTIIND,2015-08-28,107.0,112.0,-4.46,3.13,2015-08-31,107.5
AARTIIND,2016-10-18,184.95,181.2,2.07,3.05,2016-10-19,186.45
AARTIIND,2017-04-03,197.35,199.35,-1.0,3.1,2017-04-05,198.2
AARTIIND,2017-12-29,283.45,282.35,0.39,24.42,2018-01-01,286.9
AARTIIND,2018-03-28,286.7,298.45,-3.94,5.78,2018-04-02,287.5
AARTIIND,2018-11-02,345.75,359.35,-3.78,3.92,2018-11-05,347.35
AARTIIND,2019-02-04,430.3,408.05,5.45,4.38,2019-02-05,434.5
AARTIIND,2019-05-09,397.7,430.3,-7.58,3.07,2019-05-10,395.2
AARTIIND,2020-01-07,446.1,467.25,-4.53,5.76,2020-01-08,444.5
AARTIIND,2020-04-27,508.65,520.25,-2.23,4.07,2020-04-28,522.5
AARTIIND,2020-08-20,564.05,569.4,-0.94,3.47,2020-08-21,567.5
AARTIIND,2021-03-24,659.05,668.6,-1.43,16.87,2021-03-25,665.0
AARTIIND,2021-10-04,1021.35,975.25,4.73,8.31,2021-10-05,1030.0
AARTIIND,2022-01-10,1085.15,1156.55,-6.17,3.11,2022-01-11,1080.0
AARTIPHARM,2023-04-10,297.64,318.65,-6.59,6.3,2023-04-11,305.78
AARTIPHARM,2023-12-01,419.71,463.01,-9.35,3.77,2023-12-04,441.9
AARTIPHARM,2024-04-18,496.24,550.26,-9.82,3.94,2024-04-19,488.37
AARTIPHARM,2024-08-02,642.45,640.96,0.23,3.94,2024-08-05,636.25
AARTIPHARM,2024-12-26,627.17,693.77,-9.6,11.84,2024-12-27,641.7
AARTIPHARM,2025-04-03,803.12,805.01,-0.23,3.95,2025-04-04,800.13
AARTIPHARM,2025-09-19,928.23,960.26,-3.34,12.33,2025-09-22,922.64
AARTIPHARM,2026-08-11,883.7,960.26,-7.97,106.54,2026-08-12,875.5
AARTISURF,2020-12-02,1132.58,1078.69,5.0,5.14,2020-12-03,1159.2
AARTISURF,2021-05-20,1528.83,1610.09,-5.05,4.11,2021-05-21,1528.83
AARTISURF,2021-09-14,1611.67,1754.75,-8.15,17.43,2021-09-15,1642.09
AARTISURF-BE,2020-12-02,1137.2,1083.05,5.0,5.14,2020-12-03,1163.9
AARTISURF-BE,2021-05-20,1535.05,1616.65,-5.05,4.11,2021-05-21,1535.05
AARTISURF-BE,2021-09-14,1614.95,1758.35,-8.16,17.43,2021-09-15,1645.45
AAVAS,2019-02-20,938.9,907.4,3.47,3.83,2019-02-21,950.0
AAVAS,2019-05-31,1419.7,1475.5,-3.78,5.37,2019-06-03,1407.35
AAVAS,2019-09-05,1550.25,1618.95,-4.24,5.23,2019-09-06,1565.0
AAVAS,2019-12-11,1843.95,1837.55,0.35,4.76,2019-12-12,1845.0
AAVAS,2021-01-05,2021.7,2039.9,-0.89,6.38,2021-01-06,2040.9
AAVAS,2021-04-29,2292.55,2420.85,-5.3,3.07,2021-04-30,2292.55
AAVAS,2021-11-12,2861.3,2974.05,-3.79,5.67,2021-11-15,2900.0
ABAN-BE,2005-03-18,406.41,397.94,2.13,3.46,2005-03-21,413.0
ABAN-BE,2005-07-19,457.95,443.95,3.15,9.7,2005-07-20,460.0
ABAN-BE,2006-02-07,721.1,621.4,16.04,16.9,2006-02-08,720.95
ABAN-BE,2006-08-24,1280.8,1420.65,-9.84,5.34,2006-08-25,1218.0
ABAN-BE,2006-12-22,1286.55,1420.65,-9.44,3.88,2006-12-26,1232.5
ABAN-BE,2007-04-04,2151.4,2052.15,4.84,3.71,2007-04-05,2124.2
ABAN-BE,2007-07-24,3102.0,3133.05,-0.99,5.4,2007-07-25,3095.0
ABAN-BE,2008-01-04,5389.2,5213.3,3.37,4.38,2008-01-07,5310.25
ABB,2025-07-17,5637.5,6215.0,-9.29,4.95,2025-07-18,5684.0
ABB,2026-02-03,5668.5,6215.0,-8.79,3.54,2026-02-04,5661.0
ABB,2026-05-29,7253.0,7587.0,-4.4,3.02,2026-06-01,7253.0
ABBOTINDIA,2014-12-03,3632.05,3581.75,1.4,6.25,2014-12-04,3665.0
ABBOTINDIA,2015-08-31,4801.3,4842.3,-0.85,14.69,2015-09-01,4798.0
ABBOTINDIA,2018-04-27,6157.75,6484.15,-5.03,5.64,2018-04-30,6140.0
ABBOTINDIA,2018-07-23,7487.0,7643.25,-2.04,3.33,2018-07-24,7487.0
ABBOTINDIA,2019-04-15,7827.1,8593.35,-8.92,5.2,2019-04-16,7898.7
ABBOTINDIA,2019-08-06,8438.55,8921.15,-5.41,6.29,2019-08-07,8439.0
ABBOTINDIA,2019-11-14,12043.25,11987.25,0.47,3.07,2019-11-15,12099.0
ABBOTINDIA,2020-02-07,14103.15,13381.8,5.39,16.07,2020-02-10,14398.0
ABBOTINDIA,2020-08-10,16973.3,18301.7,-7.26,3.86,2020-08-11,17005.0
ABBOTINDIA,2020-12-14,16504.9,18301.7,-9.82,3.11,2020-12-15,16600.0
ABBOTINDIA,2021-08-02,19750.7,19012.75,3.88,4.38,2021-08-03,19750.7
ABBOTINDIA,2022-12-21,21548.5,23184.5,-7.06,3.6,2022-12-22,21550.0
ABBOTINDIA,2023-04-26,22310.7,23184.5,-3.77,3.5,2023-04-27,22310.0
ABBOTINDIA,2023-07-27,23705.85,23825.75,-0.5,3.06,2023-07-28,23800.0
ABBOTINDIA,2024-01-02,23327.25,24555.8,-5.0,4.16,2024-01-03,23450.0
ABBOTINDIA,2024-06-05,27473.15,29538.6,-6.99,3.07,2024-06-06,27500.0
ABBOTINDIA,2024-12-19,29053.85,30195.85,-3.78,3.42,2024-12-20,28927.0
ABBOTINDIA,2025-05-16,30560.0,31539.9,-3.11,5.25,2025-05-19,30800.0
ABBOTINDIA,2025-08-13,32940.0,35670.0,-7.65,3.11,2025-08-14,33215.0
ABCAPITAL,2024-04-23,216.85,237.5,-8.69,6.02,2024-04-24,219.45
ABCAPITAL,2024-09-19,229.54,243.02,-5.55,5.14,2024-09-20,230.0
ABCAPITAL,2025-06-11,246.25,243.02,1.33,5.11,2025-06-12,246.25
ABCAPITAL,2025-10-30,326.8,312.6,4.54,6.5,2025-10-31,326.95
ABCAPITAL,2026-05-05,360.85,364.05,-0.88,3.69,2026-05-06,365.0
ABCAPITAL,2026-07-31,402.3,410.0,-1.88,3.42,2026-08-03,410.0
ABDL,2024-08-22,330.15,341.2,-3.24,5.25,2024-08-23,332.23
ABDL,2024-11-29,333.96,356.97,-6.45,5.46,2024-12-02,335.7
ABDL,2025-05-15,406.01,433.83,-6.41,3.07,2025-05-16,414.05
ABDL,2025-09-11,529.15,528.9,0.05,3.52,2025-09-12,535.0
ABDL,2026-06-12,644.45,683.8,-5.75,7.57,2026-06-15,648.95
ABFRL,2025-08-22,81.25,89.85,-9.57,17.2,2025-08-25,81.44
ABINFRA,2025-10-08,20.26,21.96,-7.74,3.77,2025-10-09,20.66
ABINFRA,2026-02-20,21.68,21.96,-1.28,12.75,2026-02-23,23.56
ABINFRA-BE,2025-10-08,20.26,21.97,-7.78,3.77,2025-10-09,20.66
ABINFRA-BE,2026-02-20,21.68,21.97,-1.32,12.75,2026-02-23,23.56
ABLBL,2025-09-09,149.15,165.17,-9.7,3.46,2025-09-10,149.7
ABREL,2019-11-18,448.3,456.3,-1.75,3.12,2019-11-19,446.15
ABREL,2021-07-28,796.05,719.55,10.63,12.64,2021-07-29,807.7
ABREL,2021-11-25,873.25,962.65,-9.29,5.98,2021-11-26,849.95
ABREL,2022-04-07,924.05,1009.85,-8.5,4.43,2022-04-08,919.0
ABREL,2022-09-08,925.35,1009.85,-8.37,7.46,2022-09-09,934.7
ABREL,2023-07-05,928.55,1009.85,-8.05,6.12,2023-07-06,928.0
ABREL,2023-10-10,1146.95,1123.75,2.06,4.63,2023-10-11,1156.9
ABREL,2024-01-05,1413.15,1398.25,1.07,19.88,2024-01-08,1431.0
ABREL,2024-04-08,1742.4,1711.25,1.82,5.21,2024-04-09,1740.0
ABREL,2024-07-16,2218.5,2387.5,-7.08,12.14,2024-07-18,2218.0
ABREL,2024-10-18,3052.8,2924.95,4.37,4.23,2024-10-21,3049.95
ABSLAMC,2024-06-12,639.45,699.45,-8.58,3.51,2024-06-13,640.0
ABSLAMC,2024-09-20,761.2,772.55,-1.47,7.93,2024-09-23,770.0
ABSLAMC,2025-06-30,799.85,883.5,-9.47,4.45,2025-07-01,801.4
ABSLAMC,2025-10-13,857.95,897.4,-4.4,9.44,2025-10-14,852.0
ABSLAMC,2026-02-11,860.85,897.4,-4.07,3.48,2026-02-12,864.55
ABSLAMC,2026-06-09,1036.4,1095.1,-5.36,3.97,2026-06-10,1039.0
ACC,2005-05-10,385.95,379.55,1.69,3.02,2005-05-11,385.95
ACC,2005-09-29,485.4,484.45,0.2,7.42,2005-09-30,487.5
ACC,2006-02-28,626.3,598.1,4.71,4.06,2006-03-01,625.0
ACC,2006-11-16,1084.75,1019.65,6.38,4.12,2006-11-17,1095.0
ACC,2012-06-20,1271.2,1390.75,-8.6,6.24,2012-06-21,1246.0
ACC,2012-09-26,1428.3,1390.75,2.7,3.09,2012-09-27,1430.5
ACC,2015-01-15,1514.4,1551.9,-2.42,3.01,2015-01-16,1514.5
ACC,2016-07-21,1708.2,1762.8,-3.1,4.16,2016-07-22,1700.0
ACC,2017-04-24,1607.0,1762.8,-8.84,6.83,2017-04-25,1610.05
ACC,2018-02-08,1693.25,1851.25,-8.53,5.65,2018-02-09,1652.0
ACC,2020-10-27,1683.85,1851.25,-9.04,3.1,2020-10-28,1667.55
ACC,2021-03-22,1860.0,1853.7,0.34,5.55,2021-03-23,1859.95
ACC,2021-07-06,2022.85,2053.05,-1.47,3.56,2021-07-07,2031.7
ACC,2021-10-14,2309.85,2483.5,-6.99,4.12,2021-10-18,2364.0
ACC,2022-09-07,2405.35,2571.95,-6.48,6.83,2022-09-08,2420.85
ACC,2024-01-29,2492.9,2747.7,-9.27,4.9,2024-01-30,2508.0
ACCELYA,2007-01-17,128.0,122.9,4.15,7.09,2007-01-18,128.9
ACCELYA,2010-04-29,117.3,130.1,-9.84,11.01,2010-04-30,117.3
ACCELYA,2010-08-05,133.7,130.1,2.77,10.27,2010-08-06,131.8
ACCELYA,2022-11-14,1460.3,1598.5,-8.65,5.55,2022-11-15,1486.9
ACCELYA,2023-08-30,1504.2,1607.0,-6.4,3.74,2023-08-31,1524.8
ACCELYA,2024-01-12,1646.7,1611.9,2.16,16.62,2024-01-15,1740.5
ACCELYA,2024-07-05,1743.8,1936.1,-9.93,11.83,2024-07-08,1769.4
ACE,2006-11-07,49.05,47.5,3.26,5.75,2006-11-08,49.2
ACE,2017-11-14,114.0,123.46,-7.66,14.27,2017-11-15,115.4
ACE,2018-02-14,191.2,185.45,3.1,4.68,2018-02-15,192.3
ACE,2021-06-07,178.65,193.7,-7.77,6.16,2021-06-08,183.0
ACE,2021-09-13,278.2,263.7,5.5,18.61,2021-09-14,278.0
ACE,2022-08-24,255.4,278.2,-8.2,3.06,2022-08-25,258.0
ACE,2022-11-29,339.1,345.1,-1.74,4.95,2022-11-30,340.8
ACE,2023-05-31,472.0,463.7,1.79,5.21,2023-06-01,472.0
ACE,2023-10-20,739.1,792.85,-6.78,3.25,2023-10-23,746.5
ACE,2024-01-30,933.3,925.5,0.84,3.31,2024-01-31,939.9
ACE,2024-05-21,1570.25,1606.4,-2.25,4.27,2024-05-22,1640.0
ACE,2024-12-17,1452.95,1606.4,-9.55,8.43,2024-12-18,1458.0
ACI,2023-01-13,606.79,564.21,7.55,7.15,2023-01-16,610.14
ACI,2023-08-28,643.29,666.97,-3.55,5.93,2023-08-29,642.55
ACI,2023-12-20,625.46,666.97,-6.22,5.11,2023-12-21,624.02
ACI,2024-07-29,770.08,817.62,-5.81,3.77,2024-07-30,767.29
ACMESOLAR,2025-05-22,252.43,280.38,-9.97,5.11,2025-05-23,252.23
ACMESOLAR,2025-08-25,303.03,295.13,2.68,7.04,2025-08-26,304.23
ACMESOLAR,2026-05-11,290.25,318.52,-8.88,4.87,2026-05-12,297.85
ACMESOLAR,2026-08-20,397.4,394.0,0.86,5.69,2026-08-21,400.0
ACUTAAS,2025-07-30,1219.06,1223.65,-0.38,4.28,2025-07-31,1176.1
ACUTAAS,2025-11-24,1872.2,1834.3,2.07,9.13,2025-11-25,1880.0
ACUTAAS,2026-03-24,2435.3,2399.8,1.48,4.66,2026-03-25,2475.0
ACUTAAS,2026-06-29,3568.2,3328.3,7.21,5.83,2026-06-30,3585.0
ADANIENSOL,2015-10-27,38.4,41.0,-6.34,3.4,2015-10-28,38.5
ADANIENSOL,2016-06-29,38.85,41.05,-5.36,4.98,2016-06-30,39.5
ADANIENSOL,2016-10-05,43.1,41.5,3.86,14.47,2016-10-06,43.4
ADANIENSOL,2017-01-17,62.4,64.75,-3.63,3.55,2017-01-18,62.9
ADANIENSOL,2017-04-18,84.9,93.95,-9.63,5.74,2017-04-19,85.35
ADANIENSOL,2017-09-12,147.95,134.5,10.0,4.18,2017-09-13,152.0
ADANIENSOL,2017-12-21,225.85,231.75,-2.55,3.56,2017-12-22,229.0
ADANIENSOL,2018-08-28,233.4,235.8,-1.02,24.92,2018-08-29,230.0
ADANIENSOL,2019-03-15,235.2,250.95,-6.28,18.51,2019-03-18,234.75
ADANIENSOL,2019-07-02,236.2,250.95,-5.88,7.56,2019-07-03,235.95
ADANIENSOL,2019-10-22,253.55,250.95,1.04,6.8,2019-10-23,255.8
ADANIENSOL,2020-01-31,332.1,356.65,-6.88,3.89,2020-02-01,334.0
ADANIENSOL,2020-11-17,368.65,356.65,3.36,6.96,2020-11-18,370.9
ADANIENSOL,2021-02-12,627.55,589.05,6.54,3.48,2021-02-15,629.1
ADANIENSOL,2021-05-21,1453.85,1385.75,4.91,4.5,2021-05-24,1464.0
ADANIENSOL,2021-08-30,1505.35,1602.6,-6.07,4.05,2021-08-31,1521.0
ADANIENSOL,2021-12-07,1892.45,2029.6,-6.76,4.86,2021-12-08,1855.0
ADANIENSOL,2022-03-17,2389.8,2353.1,1.56,9.73,2022-03-21,2379.9
ADANIENSOL,2022-08-24,3700.4,3635.25,1.79,3.41,2022-08-25,3669.0
ADANIENT,2017-04-18,140.5,119.6,17.47,19.31,2017-04-19,138.5
ADANIENT,2017-09-01,132.4,145.5,-9.0,4.06,2017-09-04,132.0
ADANIENT,2017-12-18,155.1,155.5,-0.26,7.68,2017-12-19,155.0
ADANIENT,2018-07-25,193.7,212.8,-8.98,4.29,2018-07-26,188.4
ADANIENT,2020-01-17,221.4,222.7,-0.58,3.63,2020-01-20,222.5
ADANIENT,2020-08-19,232.2,250.8,-7.42,5.16,2020-08-20,233.8
ADANIENT,2020-12-02,439.9,409.0,7.56,3.06,2020-12-03,439.9
ADANIENT,2021-03-22,960.8,890.4,7.91,3.91,2021-03-23,968.5
ADANIENT,2021-08-06,1489.8,1649.0,-9.65,3.96,2021-08-09,1499.5
ADANIENT,2022-01-11,1787.6,1709.3,4.58,4.05,2022-01-12,1815.8
ADANIENT,2022-06-14,2129.4,2322.2,-8.3,4.5,2022-06-15,2150.7
ADANIENT,2022-11-04,3716.3,3717.5,-0.03,3.79,2022-11-07,3734.9
ADANIGREEN,2018-07-26,52.9,51.3,3.12,9.33,2018-07-27,54.5
ADANIGREEN,2019-10-07,68.05,73.3,-7.16,3.66,2019-10-09,68.3
ADANIGREEN,2020-01-03,192.6,183.45,4.99,3.1,2020-01-06,200.0
ADANIGREEN,2020-06-03,273.85,273.75,0.04,3.28,2020-06-04,274.9
ADANIGREEN,2020-08-28,462.3,463.6,-0.28,3.87,2020-08-31,463.6
ADANIGREEN,2020-11-27,1136.4,1205.15,-5.7,18.54,2020-12-01,1133.9
ADANIGREEN,2021-02-26,1159.85,1205.15,-3.76,5.15,2021-03-01,1170.0
ADANIGREEN,2021-11-08,1226.0,1360.95,-9.92,6.22,2021-11-09,1215.0
ADANIGREEN,2022-02-17,2047.6,2024.65,1.13,3.88,2022-02-18,2060.0
ADANIPORTS,2014-07-02,271.25,261.49,3.73,8.72,2014-07-03,271.9
ADANIPORTS,2014-12-30,316.0,306.3,3.17,4.39,2014-12-31,316.8
ADANIPORTS,2015-05-04,347.2,346.9,0.09,3.55,2015-05-05,349.6
ADANIPORTS,2015-08-14,363.75,348.95,4.24,5.64,2015-08-17,364.0
ADANIPORTS,2017-03-30,339.3,368.55,-7.94,3.43,2017-03-31,342.0
ADANIPORTS,2019-05-23,407.55,448.75,-9.18,9.35,2019-05-24,408.45
ADANIPORTS,2019-09-26,419.15,448.75,-6.6,3.34,2019-09-27,418.0
ADANIPORTS,2021-02-12,616.6,591.85,4.18,3.56,2021-02-15,617.95
ADANIPORTS,2021-06-07,878.6,835.55,5.15,3.13,2021-06-08,883.4
ADANIPORTS,2021-10-14,812.8,878.6,-7.49,5.23,2021-10-18,820.9
ADANIPORTS,2022-04-05,848.05,878.6,-3.48,4.23,2022-04-06,852.95
ADANIPORTS,2022-08-19,871.8,909.5,-4.15,8.12,2022-08-22,876.2
ADANIPORTS,2023-12-04,878.65,970.25,-9.44,3.22,2023-12-05,884.0
ADANIPORTS,2024-05-23,1443.35,1404.15,2.79,3.06,2024-05-24,1435.0
ADANIPORTS,2025-09-22,1444.2,1590.15,-9.18,3.71,2025-09-23,1453.0
ADANIPORTS,2026-02-03,1530.8,1590.15,-3.73,6.07,2026-02-04,1529.9
ADANIPORTS,2026-09-09,1775.0,1886.0,-5.89,4.11,2026-09-10,1779.9
ADANIPOWER,2010-01-05,21.0,21.0,0.0,17.44,2010-01-06,21.3
ADANIPOWER,2010-04-07,23.75,23.4,1.5,7.04,2010-04-08,23.6
ADANIPOWER,2010-07-05,25.3,25.4,-0.39,3.51,2010-07-06,25.2
ADANIPOWER,2010-11-03,28.05,28.65,-2.09,5.19,2010-11-04,28.35
ADANIPOWER,2021-06-08,30.35,28.65,5.93,13.4,2021-06-09,31.2
ADANIPOWER,2022-03-25,28.65,30.8,-6.98,3.74,2022-03-28,29.2
ADANIPOWER,2022-07-28,64.4,68.05,-5.36,3.15,2022-07-29,64.65
ADANIPOWER,2023-11-06,78.8,86.5,-8.9,3.18,2023-11-07,78.8
ADANIPOWER,2024-04-02,117.7,115.35,2.04,4.24,2024-04-03,118.0
ADANIPOWER,2025-09-22,170.25,174.9,-2.66,7.1,2025-09-23,179.9
ADANIPOWER,2026-04-06,163.26,174.9,-6.66,5.11,2026-04-07,163.0
ADFFOODS,2016-11-08,32.34,34.4,-5.99,3.36,2016-11-09,29.06
ADFFOODS,2017-04-21,39.12,38.26,2.25,4.66,2017-04-24,39.3
ADFFOODS,2017-11-21,53.86,57.7,-6.66,4.05,2017-11-22,54.06
ADFFOODS,2020-06-08,57.1,63.27,-9.75,3.36,2020-06-09,57.48
ADFFOODS,2020-09-14,72.95,77.54,-5.92,3.03,2020-09-15,76.59
ADFFOODS,2020-12-31,123.28,118.66,3.89,3.6,2021-01-01,125.27
ADFFOODS,2021-04-01,177.42,179.07,-0.92,3.65,2021-04-05,178.18
ADFFOODS,2021-07-27,183.64,199.17,-7.8,3.8,2021-07-28,186.05
ADFFOODS,2023-07-17,212.08,216.59,-2.08,4.42,2023-07-18,213.96
ADFFOODS,2024-04-23,227.65,249.09,-8.61,16.08,2024-04-24,229.13
ADFFOODS,2024-07-24,228.24,249.09,-8.37,3.05,2024-07-25,228.29
ADFFOODS,2024-11-26,322.24,315.94,1.99,3.2,2024-11-27,327.26
ADFFOODS,2026-07-02,317.1,345.82,-8.3,87.56,2026-07-03,318.8
ADOR,2017-10-06,593.35,603.8,-1.73,12.6,2017-10-09,580.0
ADOR,2018-01-17,578.4,617.55,-6.34,3.5,2018-01-18,582.3
ADOR,2021-07-13,729.1,707.9,2.99,5.29,2021-07-14,734.0
ADOR,2022-09-07,932.3,921.75,1.14,3.59,2022-09-08,951.0
ADOR,2023-04-20,1078.55,1019.6,5.78,5.47,2023-04-21,1092.95
ADOR,2023-07-27,1293.55,1277.8,1.23,5.02,2023-07-28,1300.3
ADOR,2023-11-07,1310.2,1293.55,1.29,3.79,2023-11-08,1320.0
ADOR,2026-07-21,1507.2,1652.05,-8.77,15.34,2026-07-22,1550.7
ADSL,2021-10-08,85.15,83.0,2.59,3.33,2021-10-11,86.4
ADSL,2022-01-06,154.1,149.15,3.32,3.26,2022-01-07,156.65
ADSL,2024-01-11,170.7,168.8,1.13,9.99,2024-01-12,185.0
ADSL,2024-06-28,182.71,191.85,-4.76,8.74,2024-07-01,190.0
ADSL,2024-10-08,283.3,309.35,-8.42,3.13,2024-10-09,285.45
ADVAIT,2026-02-20,1736.9,1790.2,-2.98,3.47,2026-02-23,1751.1
ADVAIT,2026-06-04,2215.4,2108.9,5.05,4.27,2026-06-05,2240.0
ADVANCE,2025-11-10,142.87,147.57,-3.18,3.92,2025-11-11,145.0
ADVANCE,2026-02-06,133.14,147.57,-9.78,4.06,2026-02-09,132.0
ADVANCE,2026-08-05,134.1,147.57,-9.13,3.93,2026-08-06,137.5
ADVANIHOTR,2023-11-01,55.2,53.4,3.37,12.67,2023-11-02,58.3
ADVANIHOTR,2024-01-29,76.75,71.3,7.64,7.39,2024-01-30,82.5
ADVENZYMES,2016-09-15,308.7,293.6,5.14,6.37,2016-09-16,311.76
ADVENZYMES,2017-03-22,425.38,470.55,-9.6,10.63,2017-03-23,424.0
ADVENZYMES,2021-05-03,446.55,470.55,-5.1,19.05,2021-05-04,469.45
ADVENZYMES,2024-08-19,468.3,487.05,-3.85,9.08,2024-08-20,470.45
AEGISLOG,2005-12-09,18.82,17.92,5.02,3.14,2005-12-12,19.11
AEGISLOG,2010-06-28,24.84,24.64,0.81,5.84,2010-06-29,24.6
AEGISLOG,2010-09-21,34.32,32.9,4.32,3.76,2010-09-22,34.51
AEGISLOG,2014-11-27,46.05,47.32,-2.68,3.67,2014-11-28,45.63
AEGISLOG,2015-03-18,62.95,55.6,13.22,33.68,2015-03-19,63.4
AEGISLOG,2015-06-25,78.69,77.1,2.06,7.74,2015-06-26,80.0
AEGISLOG,2015-11-16,102.15,110.05,-7.18,3.05,2015-11-17,103.0
AEGISLOG,2016-04-26,119.1,112.45,5.91,10.18,2016-04-27,118.95
AEGISLOG,2016-07-27,123.05,129.25,-4.8,3.39,2016-07-28,124.6
AEGISLOG,2016-11-03,159.85,171.15,-6.6,3.29,2016-11-04,160.0
AEGISLOG,2017-02-06,178.55,171.15,4.32,11.1,2017-02-07,179.7
AEGISLOG,2017-09-06,201.3,216.6,-7.06,13.57,2017-09-07,202.5
AEGISLOG,2017-12-05,245.8,235.95,4.17,3.12,2017-12-06,252.0
AEGISLOG,2018-04-17,282.35,298.5,-5.41,7.5,2018-04-18,283.9
AEGISLOG,2021-01-13,276.95,298.5,-7.22,6.8,2021-01-14,281.0
AEGISLOG,2021-04-28,313.35,333.35,-6.0,6.68,2021-04-29,316.5
AEGISLOG,2022-12-13,362.4,380.75,-4.82,3.8,2022-12-14,362.5
AEGISLOG,2023-03-23,393.85,391.75,0.54,7.31,2023-03-24,391.05
AEGISLOG,2023-08-22,369.1,407.85,-9.5,6.78,2023-08-23,369.1
AEGISLOG,2023-11-30,371.95,407.85,-8.8,4.78,2023-12-01,374.45
AEGISLOG,2024-03-28,446.65,468.2,-4.6,16.33,2024-04-01,450.0
AEGISLOG,2024-11-28,872.2,937.1,-6.93,3.98,2024-11-29,881.0
AEGISLOG,2025-03-27,902.6,963.95,-6.36,4.19,2025-03-28,882.3
AEGISLOG,2025-10-03,881.15,963.95,-8.59,21.97,2025-10-06,869.0
AEGISLOG,2026-06-11,925.9,963.95,-3.95,76.52,2026-06-12,956.35
AEGISLOG,2026-09-09,1343.4,1417.0,-5.19,3.44,2026-09-10,1351.2
AEGISVOPAK,2025-07-17,293.37,278.95,5.17,3.13,2025-07-18,292.0
AEGISVOPAK,2025-10-16,289.05,293.37,-1.47,3.4,2025-10-17,289.0
AEGISVOPAK,2026-07-06,279.97,293.37,-4.57,10.97,2026-07-07,275.0
AEQUS,2026-02-18,147.09,158.8,-7.37,4.33,2026-02-19,147.5
AEQUS,2026-05-21,214.75,207.17,3.66,3.33,2026-05-22,216.2
AEROENTER,2025-07-15,107.43,103.89,3.41,3.2,2025-07-16,107.69
AEROENTER,2026-06-10,105.25,111.99,-6.02,3.92,2026-06-11,105.25
