,nav
2009-10-08,3102690.75
2009-10-09,3075661.25
2009-10-12,3123435.0
2009-10-14,3168683.5
2009-10-15,3182690.5
2009-10-16,3164218.75
2009-10-17,3164225.75
2009-10-20,3180071.25
2009-10-21,3132592.75
2009-10-22,3103514.25
2009-10-23,3172890.0
2009-10-26,3167089.0
2009-10-27,3078578.0
2009-10-28,3067899.25
2009-10-29,3034079.0
2009-10-30,3034960.0
2009-11-03,2973519.75
2009-11-04,3028232.5
2009-11-05,3051063.5
2009-11-06,3099996.75
2009-11-09,3172787.5
2009-11-10,3142182.25
2009-11-11,3189814.0
2009-11-12,3171418.5
2009-11-13,3198569.0
2009-11-16,3252419.0
2009-11-17,3251265.25
2009-11-18,3238368.25
2009-11-19,3197818.75
2009-11-20,3225165.5
2009-11-23,3238556.5
2009-11-24,3274924.25
2009-11-25,3290626.25
2009-11-26,3256523.0
2009-11-27,3240350.0
2009-11-30,3293558.5
2009-12-01,3361304.5
2009-12-02,3349773.0
2009-12-03,3376137.25
2009-12-04,3385339.0
2009-12-07,3341967.5
2009-12-08,3352467.0
2009-12-09,3360603.25
2009-12-10,3332368.5
2009-12-11,3348998.75
2009-12-14,3349158.75
2009-12-15,3314483.25
2009-12-16,3311407.25
2009-12-17,3322535.75
2009-12-18,3327719.75
2009-12-21,3299390.25
2009-12-22,3318968.25
2009-12-23,3369577.75
2009-12-24,3372176.5
2009-12-29,3389851.5
2009-12-30,3382234.5
2009-12-31,3415766.5
2010-01-04,3469512.0
2010-01-05,3493216.5
2010-01-06,3517054.5
2010-01-07,3495940.5
2010-01-08,3470421.0
2010-01-11,3498851.5
2010-01-12,3501370.25
2010-01-13,3556522.5
2010-01-14,3583922.25
2010-01-15,3558574.0
2010-01-18,3556597.5
2010-01-19,3522941.25
2010-01-20,3513414.25
2010-01-21,3479272.75
2010-01-22,3425514.0
2010-01-25,3374333.5
2010-01-27,3268618.5
2010-01-28,3281694.0
2010-01-29,3310076.0
2010-02-01,3366246.5
2010-02-02,3328637.75
2010-02-03,3356731.75
2010-02-04,3321027.0
2010-02-05,3273097.5
2010-02-06,3021531.5
2010-02-08,3293465.5
2010-02-09,3314353.0
2010-02-10,3368963.0
2010-02-11,3390565.5
2010-02-15,3373800.25
2010-02-16,3361497.25
2010-02-17,3387471.0
