,nav
2022-05-23,3.256512283237988
2022-05-24,3.2405915976353996
2022-05-25,3.222538186230467
2022-05-26,3.238809158919701
2022-05-27,3.258199211841554
2022-05-30,3.2886061811794325
2022-05-31,3.26772672056654
2022-06-01,3.261757838611163
2022-06-02,3.2509236915458426
2022-06-03,3.232941287658831
2022-06-06,3.241512445130128
2022-06-07,3.227739736944649
2022-06-08,3.2204114610634402
2022-06-09,3.2430083535094276
2022-06-10,3.2368412005621097
2022-06-13,3.2012089279952516
2022-06-14,3.2256305136306307
2022-06-15,3.2412881713851456
2022-06-16,3.224525146599896
2022-06-17,3.217897944944921
2022-06-20,3.201062912535865
2022-06-21,3.193668629666166
2022-06-22,3.176348295875826
2022-06-23,3.18267096528845
2022-06-24,3.199067451266403
2022-06-27,3.2281820337728258
2022-06-28,3.218753785557046
2022-06-29,3.2174901517698187
2022-06-30,3.2093642914443565
2022-07-01,3.210198629779928
2022-07-04,3.209030006051891
2022-07-05,3.2271056698127913
2022-07-06,3.2364466587899994
2022-07-07,3.244732536057255
2022-07-08,3.242423041539523
2022-07-11,3.2532806910931695
2022-07-12,3.225241472440895
2022-07-13,3.1898764781721263
2022-07-14,3.1923782430464827
2022-07-15,3.2304417730227186
2022-07-18,3.3167066563172374
2022-07-19,3.3215071645710488
2022-07-20,3.2681490152769923
2022-07-21,3.3426834066056745
2022-07-22,3.3617454247968506
2022-07-25,3.3594636832174607
2022-07-26,3.299062788272708
2022-07-27,3.3283431383297706
2022-07-28,3.36236699060513
2022-07-29,3.387533905152208
2022-08-01,3.425390913262942
2022-08-02,3.452886074313118
2022-08-03,3.453504139750796
2022-08-04,3.4506433368632905
2022-08-05,3.4670655755678133
2022-08-08,3.462287819722913
2022-08-10,3.4512939057422707
2022-08-11,3.4423079543546673
2022-08-12,3.4546797642200366
2022-08-16,3.508608223895705
2022-08-17,3.520619745615567
2022-08-18,3.537918327102882
2022-08-19,3.513312221931497
2022-08-22,3.492933564341125
2022-08-23,3.491955210757939
2022-08-24,3.4829050025671466
2022-08-25,3.5006733837945094
2022-08-26,3.528196297783028
2022-08-29,3.554452827693132
2022-08-30,3.6643369616758172
2022-09-01,3.650292224689289
2022-09-02,3.607072898843165
2022-09-05,3.6205605768510742
2022-09-06,3.6443638470223036
2022-09-07,3.6710006671956394
2022-09-08,3.6917328622167873
2022-09-09,3.6764199909665436
2022-09-12,3.681036729763764
2022-09-13,3.777649458636433
2022-09-14,3.7795536602437783
2022-09-15,3.826591890416398
2022-09-16,3.7302631916154123
