label,exit_strategy,exit_params,entry_filters,vol_multiplier,ath_lookback,vol_avg_period,total_trades,winners,losers,win_rate,avg_return_pct,avg_winner_pct,avg_loser_pct,max_return_pct,max_loss_pct,profit_factor,expectancy,total_pnl,final_capital,total_return_pct,avg_hold_days,median_return_pct,exit_breakdown
D_LG_BRK0_TGTBE_T20_BE3,target_with_breakeven,"Hybrid=target_with_breakeven,T=20%,Trail=10%,SL=7%",LG+BRK>0%+TgtBE,2.5,10,30,99,16,83,16.2,2.59,25.77,-1.88,31.99,-12.75,2.65,2.59,1349698,11349698,13.5,5.1,0.0,hybrid_breakeven=66; hybrid_sl=17; hybrid_target=16
D_LG_BRK0_TGTBE_T20_BE5,target_with_breakeven,"Hybrid=target_with_breakeven,T=20%,Trail=10%,SL=7%",LG+BRK>0%+TgtBE,2.5,10,30,99,18,81,18.2,2.32,25.34,-2.8,31.99,-13.63,1.99,2.32,1196169,11196169,11.96,9.1,0.0,hybrid_breakeven=56; hybrid_sl=25; hybrid_target=18
D_LG_BRK2_TGTBE_T15_BE3,target_with_breakeven,"Hybrid=target_with_breakeven,T=15%,Trail=10%,SL=7%",LG+BRK>2%+TgtBE,2.5,10,30,79,17,62,21.5,2.58,18.73,-1.84,20.99,-12.75,2.79,2.58,1063964,11063964,10.64,3.9,0.0,hybrid_breakeven=50; hybrid_sl=12; hybrid_target=17
D_LG_BRK2_TGTBE_T15_BE5,target_with_breakeven,"Hybrid=target_with_breakeven,T=15%,Trail=10%,SL=7%",LG+BRK>2%+TgtBE,2.5,10,30,79,19,60,24.1,2.18,18.42,-2.96,20.99,-13.63,1.95,2.18,886810,10886810,8.87,7.5,0.0,hybrid_breakeven=41; hybrid_sl=19; hybrid_target=19
D_LG_BRK2_TGTBE_T20_BE3,target_with_breakeven,"Hybrid=target_with_breakeven,T=20%,Trail=10%,SL=7%",LG+BRK>2%+TgtBE,2.5,10,30,79,15,64,19.0,3.5,26.07,-1.79,31.99,-12.75,3.43,3.5,1466834,11466834,14.67,4.3,0.0,hybrid_breakeven=52; hybrid_sl=12; hybrid_target=15
D_LG_BRK2_TGTBE_T20_BE5,target_with_breakeven,"Hybrid=target_with_breakeven,T=20%,Trail=10%,SL=7%",LG+BRK>2%+TgtBE,2.5,10,30,79,16,63,20.3,2.99,25.88,-2.82,31.99,-13.63,2.31,2.99,1235307,11235307,12.35,8.2,0.0,hybrid_breakeven=44; hybrid_sl=19; hybrid_target=16
D_ADX7p15_RSI7p50_FIX_T30_SL15,fixed_target,"T=30%,SL=15%",ADX7>15+RSI7>50,2.5,10,30,232,125,107,53.9,10.19,32.99,-16.45,49.96,-30.03,2.24,10.19,21916322,31916322,219.16,82.9,30.09,end_of_data=12; stop_loss=101; target_hit=119
D_ADX7p15_RSI7p50_FIX_T15_SL7,fixed_target,"T=15%,SL=7%",ADX7>15+RSI7>50,2.5,10,30,232,113,119,48.7,4.23,17.87,-8.72,27.87,-14.53,1.94,4.23,6238685,16238685,62.39,27.1,-7.03,end_of_data=5; stop_loss=118; target_hit=109
D_ADX7p15_RSI7p55_FIX_T30_SL15,fixed_target,"T=30%,SL=15%",ADX7>15+RSI7>55,2.5,10,30,225,120,105,53.3,9.94,32.98,-16.39,49.96,-30.03,2.2,9.94,19981117,29981117,199.81,84.4,30.03,end_of_data=12; stop_loss=99; target_hit=114
D_ADX7p15_RSI7p55_FIX_T15_SL7,fixed_target,"T=15%,SL=7%",ADX7>15+RSI7>55,2.5,10,30,225,108,117,48.0,4.05,17.88,-8.72,27.87,-14.53,1.89,4.05,5683417,15683417,56.83,27.8,-7.04,end_of_data=5; stop_loss=116; target_hit=104
D_ADX7p20_RSI7p50_FIX_T30_SL15,fixed_target,"T=30%,SL=15%",ADX7>20+RSI7>50,2.5,10,30,232,125,107,53.9,10.19,32.99,-16.45,49.96,-30.03,2.24,10.19,21916322,31916322,219.16,82.9,30.09,end_of_data=12; stop_loss=101; target_hit=119
D_ADX7p20_RSI7p50_FIX_T15_SL7,fixed_target,"T=15%,SL=7%",ADX7>20+RSI7>50,2.5,10,30,232,113,119,48.7,4.23,17.87,-8.72,27.87,-14.53,1.94,4.23,6238685,16238685,62.39,27.1,-7.03,end_of_data=5; stop_loss=118; target_hit=109
