label,trades,win_rate,profit_factor,expectancy,total_return,median_return,avg_hold_days,filters
J_AGE30_LG_BRK3_T5_SL7,36,58.3,1.27,1.13,40.83,5.51,8.0,AGE<=30d+LG+BRK3+T5/SL7
K_LG_BRK5_T30_SL20,29,55.2,1.78,8.41,243.75,30.13,92.5,LG+BRK5+T30/SL20
K_LG_BRK5_T30_SL25,29,58.6,1.75,8.72,252.95,30.18,117.4,LG+BRK5+T30/SL25
K_LG_BRK5_T40_SL20,29,51.7,2.0,11.99,347.69,23.58,117.0,LG+BRK5+T40/SL20
K_LG_BRK5_T40_SL25,29,55.2,1.94,12.36,358.32,40.46,144.7,LG+BRK5+T40/SL25
K_LG_BRK5_T20_SL15,29,51.7,1.57,4.97,144.16,20.6,58.0,LG+BRK5+T20/SL15
K_LG_BRK5_T15_SL10,29,51.7,1.57,3.4,98.46,15.0,21.9,LG+BRK5+T15/SL10
K_LG_BRK5_T10_SL10,29,55.2,1.46,2.57,74.46,11.19,12.2,LG+BRK5+T10/SL10
K_LG_BRK5_T8_SL10,29,58.6,1.39,2.03,58.8,8.45,10.2,LG+BRK5+T8/SL10
K_LG_BRK5_T5_SL7,29,65.5,1.81,2.69,78.04,6.31,5.7,LG+BRK5+T5/SL7
K_LG_BRK5_T5_SL10,29,65.5,1.44,1.87,54.09,6.31,7.2,LG+BRK5+T5/SL10
K_LG_BRK7_T30_SL20,19,57.9,1.92,9.66,183.61,30.28,100.8,LG+BRK7+T30/SL20
K_LG_BRK7_T30_SL25,19,63.2,2.08,11.37,216.11,30.28,117.9,LG+BRK7+T30/SL25
K_LG_BRK7_T40_SL20,19,57.9,2.51,16.21,308.05,41.37,125.9,LG+BRK7+T40/SL20
K_LG_BRK7_T40_SL25,19,63.2,2.7,18.37,348.96,41.67,145.0,LG+BRK7+T40/SL25
K_LG_BRK7_T20_SL15,19,52.6,1.64,5.66,107.52,20.82,59.9,LG+BRK7+T20/SL15
K_LG_BRK7_T15_SL10,19,47.4,1.35,2.34,44.52,-10.04,17.9,LG+BRK7+T15/SL10
K_LG_BRK7_T10_SL10,19,47.4,1.16,1.07,20.39,-10.04,11.9,LG+BRK7+T10/SL10
K_LG_BRK7_T8_SL10,19,52.6,1.22,1.3,24.65,8.17,9.2,LG+BRK7+T8/SL10
K_LG_BRK7_T5_SL7,19,63.2,1.96,3.16,59.99,6.47,4.7,LG+BRK7+T5/SL7
K_LG_BRK7_T5_SL10,19,63.2,1.45,2.01,38.27,6.47,6.7,LG+BRK7+T5/SL10
L_GAPUP_LG_T30_SL20,81,54.3,1.87,9.02,730.58,30.08,126.4,GAPUP+LG+T30/SL20
L_GAPUP_LG_T30_SL25,81,58.0,1.79,9.12,739.03,30.28,151.4,GAPUP+LG+T30/SL25
L_GAPUP_LG_T8_SL10,81,61.7,1.53,2.48,201.07,8.45,23.3,GAPUP+LG+T8/SL10
L_GAPUP_LG_T5_SL7,81,67.9,1.76,2.36,190.94,5.59,9.9,GAPUP+LG+T5/SL7
L_GAPUP_LG_T5_SL10,81,72.8,1.8,2.67,216.64,5.71,12.6,GAPUP+LG+T5/SL10
L_GAPUP_LG_BRK3_T30_SL20,43,62.8,2.56,13.8,593.33,31.21,93.3,GAPUP+LG+BRK3+T30/SL20
L_GAPUP_LG_BRK3_T30_SL25,43,65.1,2.41,13.74,590.73,31.22,102.4,GAPUP+LG+BRK3+T30/SL25
L_GAPUP_LG_BRK3_T8_SL10,43,65.1,1.82,3.52,151.54,8.73,13.8,GAPUP+LG+BRK3+T8/SL10
L_GAPUP_LG_BRK3_T5_SL7,43,69.8,1.94,2.75,118.32,5.56,8.5,GAPUP+LG+BRK3+T5/SL7
