label,exit_strategy,exit_params,vol_multiplier,ath_lookback,vol_avg_period,total_trades,winners,losers,win_rate,avg_return_pct,avg_winner_pct,avg_loser_pct,max_return_pct,max_loss_pct,profit_factor,expectancy,total_pnl,final_capital,total_return_pct,avg_hold_days,median_return_pct,exit_breakdown
FIX_T20_SL10_V1.25_ATH3_VA15,fixed_target,"T=20%,SL=10%",1.25,3,15,46,28,18,60.9,10.57,24.51,-11.11,43.61,-14.53,3.32,10.57,2722080,12722080,27.22,52.7,20.64,stop_loss=18; target_hit=28
FIX_T20_SL10_V1.25_ATH3_VA20,fixed_target,"T=20%,SL=10%",1.25,3,20,44,27,17,61.4,10.81,24.65,-11.17,43.61,-14.53,3.41,10.81,2655141,12655141,26.55,53.6,20.64,stop_loss=17; target_hit=27
FIX_T20_SL10_V1.25_ATH3_VA30,fixed_target,"T=20%,SL=10%",1.25,3,30,40,23,17,57.5,9.63,25.0,-11.17,43.61,-14.53,2.97,9.63,2098757,12098757,20.99,48.0,20.64,stop_loss=17; target_hit=23
FIX_T20_SL10_V1.25_ATH5_VA15,fixed_target,"T=20%,SL=10%",1.25,5,15,50,31,19,62.0,10.73,24.19,-11.25,43.61,-14.53,3.39,10.73,3041273,13041273,30.41,52.1,20.64,stop_loss=19; target_hit=31
FIX_T20_SL10_V1.25_ATH5_VA20,fixed_target,"T=20%,SL=10%",1.25,5,20,48,30,18,62.5,10.95,24.3,-11.31,43.61,-14.53,3.48,10.95,2972655,12972655,29.73,52.9,20.64,stop_loss=18; target_hit=30
FIX_T20_SL10_V1.25_ATH5_VA30,fixed_target,"T=20%,SL=10%",1.25,5,30,43,25,18,58.1,9.61,24.67,-11.31,43.61,-14.53,2.96,9.61,2267239,12267239,22.67,48.0,20.64,stop_loss=18; target_hit=25
FIX_T20_SL10_V1.25_ATH7_VA15,fixed_target,"T=20%,SL=10%",1.25,7,15,54,34,20,63.0,10.82,24.01,-11.6,43.61,-18.32,3.41,10.82,3356306,13356306,33.56,56.7,20.66,stop_loss=20; target_hit=34
FIX_T20_SL10_V1.25_ATH7_VA20,fixed_target,"T=20%,SL=10%",1.25,7,20,52,33,19,63.5,11.03,24.11,-11.67,43.61,-18.32,3.49,11.03,3286030,13286030,32.86,57.7,20.66,stop_loss=19; target_hit=33
FIX_T20_SL10_V1.25_ATH7_VA30,fixed_target,"T=20%,SL=10%",1.25,7,30,47,28,19,59.6,9.82,24.4,-11.67,43.61,-18.32,3.01,9.82,2563574,12563574,25.64,53.7,20.65,stop_loss=19; target_hit=28
FIX_T20_SL10_V1.25_ATH10_VA15,fixed_target,"T=20%,SL=10%",1.25,10,15,62,36,26,58.1,9.21,24.66,-12.18,43.61,-18.32,2.72,9.21,3260088,13260088,32.6,50.8,20.63,stop_loss=26; target_hit=36
FIX_T20_SL10_V1.25_ATH10_VA20,fixed_target,"T=20%,SL=10%",1.25,10,20,60,35,25,58.3,9.34,24.77,-12.26,43.61,-18.32,2.76,9.34,3190318,13190318,31.9,51.4,20.63,stop_loss=25; target_hit=35
FIX_T20_SL10_V1.25_ATH10_VA30,fixed_target,"T=20%,SL=10%",1.25,10,30,55,30,25,54.5,8.14,25.15,-12.26,43.61,-18.32,2.41,8.14,2473066,12473066,24.73,47.4,20.62,stop_loss=25; target_hit=30
FIX_T20_SL10_V1.5_ATH3_VA15,fixed_target,"T=20%,SL=10%",1.5,3,15,43,26,17,60.5,10.56,24.77,-11.17,43.61,-14.53,3.29,10.56,2521128,12521128,25.21,53.9,20.65,stop_loss=17; target_hit=26
FIX_T20_SL10_V1.5_ATH3_VA20,fixed_target,"T=20%,SL=10%",1.5,3,20,41,24,17,58.5,9.89,24.8,-11.17,43.61,-14.53,3.06,9.89,2220230,12220230,22.2,54.6,20.64,stop_loss=17; target_hit=24
FIX_T20_SL10_V1.5_ATH3_VA30,fixed_target,"T=20%,SL=10%",1.5,3,30,36,20,16,55.6,8.96,25.06,-11.16,43.61,-14.53,2.76,8.96,1728387,11728387,17.28,45.0,20.58,stop_loss=16; target_hit=20
FIX_T20_SL10_V1.5_ATH5_VA15,fixed_target,"T=20%,SL=10%",1.5,5,15,46,28,18,60.9,10.48,24.49,-11.31,43.61,-14.53,3.26,10.48,2695491,12695491,26.95,53.5,20.64,stop_loss=18; target_hit=28
FIX_T20_SL10_V1.5_ATH5_VA20,fixed_target,"T=20%,SL=10%",1.5,5,20,44,26,18,59.1,9.85,24.49,-11.31,43.61,-14.53,3.04,9.85,2390403,12390403,23.9,54.2,20.63,stop_loss=18; target_hit=26
FIX_T20_SL10_V1.5_ATH5_VA30,fixed_target,"T=20%,SL=10%",1.5,5,30,40,22,18,55.0,8.48,24.67,-11.31,43.61,-14.53,2.62,8.48,1824857,11824857,18.25,48.1,20.57,stop_loss=18; target_hit=22
FIX_T20_SL10_V1.5_ATH7_VA15,fixed_target,"T=20%,SL=10%",1.5,7,15,49,30,19,61.2,10.38,24.34,-11.67,43.61,-18.32,3.19,10.38,2861392,12861392,28.61,58.0,20.65,stop_loss=19; target_hit=30
FIX_T20_SL10_V1.5_ATH7_VA20,fixed_target,"T=20%,SL=10%",1.5,7,20,46,28,18,60.9,10.39,24.33,-11.31,43.61,-14.53,3.26,10.39,2668347,12668347,26.68,59.2,20.64,stop_loss=18; target_hit=28
FIX_T20_SL10_V1.5_ATH7_VA30,fixed_target,"T=20%,SL=10%",1.5,7,30,42,24,18,57.1,9.14,24.47,-11.31,43.61,-14.53,2.84,9.14,2090113,12090113,20.9,53.9,20.63,stop_loss=18; target_hit=24
FIX_T20_SL10_V1.5_ATH10_VA15,fixed_target,"T=20%,SL=10%",1.5,10,15,58,33,25,56.9,8.91,24.95,-12.26,43.61,-18.32,2.61,8.91,2908504,12908504,29.09,51.8,20.63,stop_loss=25; target_hit=33
FIX_T20_SL10_V1.5_ATH10_VA20,fixed_target,"T=20%,SL=10%",1.5,10,20,55,31,24,56.4,8.84,24.98,-12.01,43.61,-18.13,2.62,8.84,2714751,12714751,27.15,52.5,20.62,stop_loss=24; target_hit=31
FIX_T20_SL10_V1.5_ATH10_VA30,fixed_target,"T=20%,SL=10%",1.5,10,30,51,27,24,52.9,7.69,25.2,-12.01,43.61,-18.13,2.32,7.69,2134400,12134400,21.34,47.6,20.52,stop_loss=24; target_hit=27
FIX_T20_SL10_V2.0_ATH3_VA15,fixed_target,"T=20%,SL=10%",2.0,3,15,34,21,13,61.8,11.41,25.35,-11.11,43.61,-14.53,3.58,11.41,2116827,12116827,21.17,55.8,20.81,stop_loss=13; target_hit=21
FIX_T20_SL10_V2.0_ATH3_VA20,fixed_target,"T=20%,SL=10%",2.0,3,20,32,19,13,59.4,10.47,25.27,-11.16,43.61,-14.53,3.21,10.47,1802969,11802969,18.03,60.6,20.64,stop_loss=13; target_hit=19
FIX_T20_SL10_V2.0_ATH3_VA30,fixed_target,"T=20%,SL=10%",2.0,3,30,29,17,12,58.6,10.23,25.32,-11.16,43.61,-14.53,3.13,10.23,1579651,11579651,15.8,46.0,20.64,stop_loss=12; target_hit=17
FIX_T20_SL10_V2.0_ATH5_VA15,fixed_target,"T=20%,SL=10%",2.0,5,15,38,23,15,60.5,10.65,24.95,-11.29,43.61,-14.53,3.29,10.65,2216492,12216492,22.16,57.9,20.64,stop_loss=15; target_hit=23
FIX_T20_SL10_V2.0_ATH5_VA20,fixed_target,"T=20%,SL=10%",2.0,5,20,35,21,14,60.0,10.37,24.85,-11.34,43.61,-14.53,3.18,10.37,1967332,11967332,19.67,59.6,20.64,stop_loss=14; target_hit=21
FIX_T20_SL10_V2.0_ATH5_VA30,fixed_target,"T=20%,SL=10%",2.0,5,30,33,19,14,57.6,9.49,24.84,-11.34,43.61,-14.53,2.9,9.49,1674897,11674897,16.75,49.6,20.62,stop_loss=14; target_hit=19
FIX_T20_SL10_V2.0_ATH7_VA15,fixed_target,"T=20%,SL=10%",2.0,7,15,41,25,16,61.0,10.51,24.74,-11.73,43.61,-18.32,3.21,10.51,2376133,12376133,23.76,62.9,20.65,stop_loss=16; target_hit=25
FIX_T20_SL10_V2.0_ATH7_VA20,fixed_target,"T=20%,SL=10%",2.0,7,20,37,23,14,62.2,11.02,24.62,-11.34,43.61,-14.53,3.45,11.02,2235785,12235785,22.36,65.6,20.65,stop_loss=14; target_hit=23
FIX_T20_SL10_V2.0_ATH7_VA30,fixed_target,"T=20%,SL=10%",2.0,7,30,34,20,14,58.8,9.91,24.78,-11.34,43.61,-14.53,3.05,9.91,1812561,11812561,18.13,57.3,20.63,stop_loss=14; target_hit=20
FIX_T20_SL10_V2.0_ATH10_VA15,fixed_target,"T=20%,SL=10%",2.0,10,15,49,28,21,57.1,9.33,25.42,-12.11,43.61,-18.32,2.75,9.33,2535113,12535113,25.35,55.9,20.64,stop_loss=21; target_hit=28
FIX_T20_SL10_V2.0_ATH10_VA20,fixed_target,"T=20%,SL=10%",2.0,10,20,45,26,19,57.8,9.65,25.37,-11.86,43.61,-17.52,2.86,9.65,2392962,12392962,23.93,57.5,20.64,stop_loss=19; target_hit=26
FIX_T20_SL10_V2.0_ATH10_VA30,fixed_target,"T=20%,SL=10%",2.0,10,30,42,23,19,54.8,8.65,25.59,-11.86,43.61,-17.52,2.57,8.65,1964302,11964302,19.64,50.3,20.57,stop_loss=19; target_hit=23
FIX_T20_SL10_V2.5_ATH3_VA15,fixed_target,"T=20%,SL=10%",2.5,3,15,27,16,11,59.3,10.8,25.92,-11.19,43.61,-14.53,3.25,10.8,1551219,11551219,15.51,39.7,20.65,stop_loss=11; target_hit=16
FIX_T20_SL10_V2.5_ATH3_VA20,fixed_target,"T=20%,SL=10%",2.5,3,20,25,15,10,60.0,10.96,25.77,-11.25,43.61,-14.53,3.3,10.96,1451950,11451950,14.52,40.2,20.65,stop_loss=10; target_hit=15
FIX_T20_SL10_V2.5_ATH3_VA30,fixed_target,"T=20%,SL=10%",2.5,3,30,23,14,9,60.9,11.49,26.18,-11.37,43.61,-14.53,3.46,11.49,1396276,11396276,13.96,37.6,22.0,stop_loss=9; target_hit=14
FIX_T20_SL10_V2.5_ATH5_VA15,fixed_target,"T=20%,SL=10%",2.5,5,15,31,18,13,58.1,9.94,25.35,-11.39,43.61,-14.53,2.99,9.94,1646231,11646231,16.46,44.4,20.64,stop_loss=13; target_hit=18
FIX_T20_SL10_V2.5_ATH5_VA20,fixed_target,"T=20%,SL=10%",2.5,5,20,29,17,12,58.6,10.03,25.18,-11.45,43.61,-14.53,3.01,10.03,1546145,11546145,15.46,45.1,20.64,stop_loss=12; target_hit=17
FIX_T20_SL10_V2.5_ATH5_VA30,fixed_target,"T=20%,SL=10%",2.5,5,30,25,16,9,64.0,12.21,25.5,-11.42,43.61,-14.53,3.83,12.21,1631500,11631500,16.32,38.5,20.95,stop_loss=9; target_hit=16
FIX_T20_SL10_V2.5_ATH7_VA15,fixed_target,"T=20%,SL=10%",2.5,7,15,33,20,13,60.6,10.69,25.04,-11.39,43.61,-14.53,3.28,10.69,1907481,11907481,19.07,52.0,20.65,stop_loss=13; target_hit=20
FIX_T20_SL10_V2.5_ATH7_VA20,fixed_target,"T=20%,SL=10%",2.5,7,20,31,19,12,61.3,10.82,24.88,-11.45,43.61,-14.53,3.32,10.82,1805150,11805150,18.05,53.1,20.65,stop_loss=12; target_hit=19
FIX_T20_SL10_V2.5_ATH7_VA30,fixed_target,"T=20%,SL=10%",2.5,7,30,26,17,9,65.4,12.65,25.39,-11.42,43.61,-14.53,4.06,12.65,1768652,11768652,17.69,49.0,21.48,stop_loss=9; target_hit=17
FIX_T20_SL10_V2.5_ATH10_VA15,fixed_target,"T=20%,SL=10%",2.5,10,15,38,21,17,55.3,8.68,25.38,-11.94,43.61,-17.52,2.57,8.68,1768810,11768810,17.69,48.3,20.63,stop_loss=17; target_hit=21
FIX_T20_SL10_V2.5_ATH10_VA20,fixed_target,"T=20%,SL=10%",2.5,10,20,36,20,16,55.6,8.68,25.24,-12.03,43.61,-17.52,2.56,8.68,1667671,11667671,16.68,49.1,20.63,stop_loss=16; target_hit=20
FIX_T20_SL10_V2.5_ATH10_VA30,fixed_target,"T=20%,SL=10%",2.5,10,30,31,18,13,58.1,9.87,25.76,-12.14,43.61,-17.52,2.88,9.87,1631598,11631598,16.32,44.9,20.65,stop_loss=13; target_hit=18
FIX_T40_SL15_V1.0_ATH3_VA15,fixed_target,"T=40%,SL=15%",1.0,3,15,48,26,22,54.2,15.78,43.08,-16.48,47.27,-25.81,3.06,15.78,4506592,14506592,45.07,166.7,40.78,end_of_data=1; stop_loss=21; target_hit=26
FIX_T40_SL15_V1.0_ATH3_VA20,fixed_target,"T=40%,SL=15%",1.0,3,20,47,25,22,53.2,15.3,43.2,-16.41,47.27,-25.81,2.99,15.3,4233836,14233836,42.34,162.6,40.88,end_of_data=1; stop_loss=21; target_hit=25
FIX_T40_SL15_V1.0_ATH3_VA30,fixed_target,"T=40%,SL=15%",1.0,3,30,46,25,21,54.3,15.89,43.2,-16.63,47.27,-25.81,3.08,15.89,4317693,14317693,43.18,140.0,40.93,stop_loss=21; target_hit=25
FIX_T40_SL15_V1.0_ATH5_VA15,fixed_target,"T=40%,SL=15%",1.0,5,15,52,29,23,55.8,16.83,43.4,-16.67,52.96,-25.81,3.26,16.83,5371865,15371865,53.72,163.2,40.93,end_of_data=1; stop_loss=22; target_hit=29
FIX_T40_SL15_V1.0_ATH5_VA20,fixed_target,"T=40%,SL=15%",1.0,5,20,51,28,23,54.9,16.41,43.52,-16.6,52.96,-25.81,3.21,16.41,5082841,15082841,50.83,159.4,40.98,end_of_data=1; stop_loss=22; target_hit=28
FIX_T40_SL15_V1.0_ATH5_VA30,fixed_target,"T=40%,SL=15%",1.0,5,30,49,27,22,55.1,16.23,43.17,-16.82,47.27,-25.81,3.13,16.23,4780329,14780329,47.8,139.2,40.98,stop_loss=22; target_hit=27
FIX_T40_SL15_V1.0_ATH7_VA15,fixed_target,"T=40%,SL=15%",1.0,7,15,57,33,24,57.9,18.15,43.52,-16.74,52.96,-25.81,3.57,18.15,6630539,16630539,66.31,170.4,40.92,end_of_data=1; stop_loss=23; target_hit=33
FIX_T40_SL15_V1.0_ATH7_VA20,fixed_target,"T=40%,SL=15%",1.0,7,20,56,32,24,57.1,17.79,43.63,-16.67,52.96,-25.81,3.53,17.79,6317848,16317848,63.18,167.1,40.95,end_of_data=1; stop_loss=23; target_hit=32
FIX_T40_SL15_V1.0_ATH7_VA30,fixed_target,"T=40%,SL=15%",1.0,7,30,54,31,23,57.4,17.68,43.33,-16.89,51.42,-25.81,3.46,17.68,5990566,15990566,59.91,149.1,40.95,stop_loss=23; target_hit=31
FIX_T40_SL15_V1.0_ATH10_VA15,fixed_target,"T=40%,SL=15%",1.0,10,15,67,37,30,55.2,16.69,43.78,-16.72,59.1,-25.81,3.2,16.69,7318090,17318090,73.18,152.1,40.67,end_of_data=1; stop_loss=29; target_hit=37
FIX_T40_SL15_V1.0_ATH10_VA20,fixed_target,"T=40%,SL=15%",1.0,10,20,66,36,30,54.5,16.36,43.88,-16.67,59.1,-25.81,3.17,16.36,6992472,16992472,69.92,149.0,40.78,end_of_data=1; stop_loss=29; target_hit=36
FIX_T40_SL15_V1.0_ATH10_VA30,fixed_target,"T=40%,SL=15%",1.0,10,30,64,35,29,54.7,16.23,43.62,-16.84,59.1,-25.81,3.11,16.23,6651659,16651659,66.52,133.2,40.78,stop_loss=29; target_hit=35
FIX_T40_SL15_V1.25_ATH3_VA15,fixed_target,"T=40%,SL=15%",1.25,3,15,46,26,20,56.5,17.18,43.08,-16.48,47.27,-25.81,3.37,17.18,4748795,14748795,47.49,170.2,40.93,end_of_data=1; stop_loss=19; target_hit=26
FIX_T40_SL15_V1.25_ATH3_VA20,fixed_target,"T=40%,SL=15%",1.25,3,20,44,25,19,56.8,17.45,43.2,-16.44,47.27,-25.81,3.46,17.45,4585681,14585681,45.86,166.4,41.14,end_of_data=1; stop_loss=18; target_hit=25
FIX_T40_SL15_V1.25_ATH3_VA30,fixed_target,"T=40%,SL=15%",1.25,3,30,40,22,18,55.0,16.12,42.98,-16.7,46.68,-25.81,3.13,16.12,3726855,13726855,37.27,147.6,40.93,stop_loss=18; target_hit=22
FIX_T40_SL15_V1.25_ATH5_VA15,fixed_target,"T=40%,SL=15%",1.25,5,15,50,29,21,58.0,18.16,43.4,-16.69,52.96,-25.81,3.57,18.16,5628515,15628515,56.29,166.3,41.14,end_of_data=1; stop_loss=20; target_hit=29
FIX_T40_SL15_V1.25_ATH5_VA20,fixed_target,"T=40%,SL=15%",1.25,5,20,48,28,20,58.3,18.44,43.52,-16.66,52.96,-25.81,3.67,18.44,5455672,15455672,54.56,162.7,41.33,end_of_data=1; stop_loss=19; target_hit=28
FIX_T40_SL15_V1.25_ATH5_VA30,fixed_target,"T=40%,SL=15%",1.25,5,30,43,24,19,55.8,16.5,42.95,-16.92,46.68,-25.81,3.18,16.5,4170400,14170400,41.7,146.1,40.98,stop_loss=19; target_hit=24
FIX_T40_SL15_V1.25_ATH7_VA15,fixed_target,"T=40%,SL=15%",1.25,7,15,54,32,22,59.3,19.02,43.62,-16.76,52.96,-25.81,3.78,19.02,6574472,16574472,65.74,163.7,41.14,end_of_data=1; stop_loss=21; target_hit=32
FIX_T40_SL15_V1.25_ATH7_VA20,fixed_target,"T=40%,SL=15%",1.25,7,20,52,31,21,59.6,19.32,43.74,-16.74,52.96,-25.81,3.89,19.32,6391166,16391166,63.91,160.2,41.33,end_of_data=1; stop_loss=20; target_hit=31
FIX_T40_SL15_V1.25_ATH7_VA30,fixed_target,"T=40%,SL=15%",1.25,7,30,47,27,20,57.4,17.63,43.27,-16.99,51.42,-25.81,3.43,17.63,5028100,15028100,50.28,144.8,40.98,stop_loss=20; target_hit=27
FIX_T40_SL15_V1.25_ATH10_VA15,fixed_target,"T=40%,SL=15%",1.25,10,15,62,35,27,56.5,17.45,43.86,-16.79,59.1,-25.81,3.38,17.45,7015675,17015675,70.16,147.9,40.9,end_of_data=1; stop_loss=26; target_hit=35
FIX_T40_SL15_V1.25_ATH10_VA20,fixed_target,"T=40%,SL=15%",1.25,10,20,60,34,26,56.7,17.65,43.97,-16.77,59.1,-25.81,3.45,17.65,6827490,16827489,68.27,144.4,40.95,end_of_data=1; stop_loss=25; target_hit=34
FIX_T40_SL15_V1.25_ATH10_VA30,fixed_target,"T=40%,SL=15%",1.25,10,30,55,30,25,54.5,16.06,43.58,-16.97,59.1,-25.81,3.08,16.06,5428139,15428139,54.28,129.7,40.88,stop_loss=25; target_hit=30
FIX_T40_SL15_V1.5_ATH3_VA15,fixed_target,"T=40%,SL=15%",1.5,3,15,43,24,19,55.8,16.74,43.01,-16.44,46.68,-25.81,3.28,16.74,4244407,14244407,42.44,176.3,40.98,end_of_data=1; stop_loss=18; target_hit=24
FIX_T40_SL15_V1.5_ATH3_VA20,fixed_target,"T=40%,SL=15%",1.5,3,20,41,22,19,53.7,15.51,43.11,-16.44,46.68,-25.81,3.02,15.51,3666263,13666263,36.66,168.2,40.98,end_of_data=1; stop_loss=18; target_hit=22
FIX_T40_SL15_V1.5_ATH3_VA30,fixed_target,"T=40%,SL=15%",1.5,3,30,36,19,17,52.8,14.75,42.97,-16.78,46.68,-25.81,2.86,14.75,2977450,12977450,29.77,148.6,40.93,stop_loss=17; target_hit=19
FIX_T40_SL15_V1.5_ATH5_VA15,fixed_target,"T=40%,SL=15%",1.5,5,15,46,26,20,56.5,17.05,42.98,-16.66,46.68,-25.81,3.32,17.05,4704675,14704675,47.05,173.1,41.14,end_of_data=1; stop_loss=19; target_hit=26
FIX_T40_SL15_V1.5_ATH5_VA20,fixed_target,"T=40%,SL=15%",1.5,5,20,44,24,20,54.5,15.93,43.08,-16.66,46.68,-25.81,3.09,15.93,4107849,14107849,41.08,165.4,41.14,end_of_data=1; stop_loss=19; target_hit=24
FIX_T40_SL15_V1.5_ATH5_VA30,fixed_target,"T=40%,SL=15%",1.5,5,30,40,21,19,52.5,14.51,42.94,-16.92,46.68,-25.81,2.8,14.51,3293369,13293369,32.93,147.2,40.93,stop_loss=19; target_hit=21
FIX_T40_SL15_V1.5_ATH7_VA15,fixed_target,"T=40%,SL=15%",1.5,7,15,49,28,21,57.1,17.39,42.99,-16.74,46.68,-25.81,3.4,17.39,5203822,15203822,52.04,171.4,40.98,end_of_data=1; stop_loss=20; target_hit=28
FIX_T40_SL15_V1.5_ATH7_VA20,fixed_target,"T=40%,SL=15%",1.5,7,20,46,26,20,56.5,17.1,43.07,-16.66,46.68,-25.81,3.35,17.1,4721572,14721572,47.22,166.9,41.14,end_of_data=1; stop_loss=19; target_hit=26
FIX_T40_SL15_V1.5_ATH7_VA30,fixed_target,"T=40%,SL=15%",1.5,7,30,42,23,19,54.8,15.87,42.95,-16.92,46.68,-25.81,3.08,15.87,3871659,13871659,38.72,149.8,40.95,stop_loss=19; target_hit=23
FIX_T40_SL15_V1.5_ATH10_VA15,fixed_target,"T=40%,SL=15%",1.5,10,15,58,32,26,55.2,16.52,43.57,-16.77,59.1,-25.81,3.19,16.52,6009836,16009836,60.1,152.0,40.9,end_of_data=1; stop_loss=25; target_hit=32
FIX_T40_SL15_V1.5_ATH10_VA20,fixed_target,"T=40%,SL=15%",1.5,10,20,55,30,25,54.5,16.23,43.68,-16.71,59.1,-25.81,3.14,16.23,5502020,15502020,55.02,147.1,40.92,end_of_data=1; stop_loss=24; target_hit=30
FIX_T40_SL15_V1.5_ATH10_VA30,fixed_target,"T=40%,SL=15%",1.5,10,30,51,27,24,52.9,15.14,43.64,-16.92,59.1,-25.81,2.92,15.14,4607050,14607050,46.07,131.5,40.88,stop_loss=24; target_hit=27
FIX_T40_SL15_V2.0_ATH3_VA15,fixed_target,"T=40%,SL=15%",2.0,3,15,34,19,15,55.9,16.76,42.94,-16.41,46.68,-25.81,3.32,16.76,3232114,13232114,32.32,194.0,41.14,end_of_data=1; stop_loss=14; target_hit=19
FIX_T40_SL15_V2.0_ATH3_VA20,fixed_target,"T=40%,SL=15%",2.0,3,20,32,17,15,53.1,14.97,42.68,-16.43,45.52,-25.81,2.92,14.97,2652107,12652107,26.52,198.2,40.93,end_of_data=1; stop_loss=14; target_hit=17
FIX_T40_SL15_V2.0_ATH3_VA30,fixed_target,"T=40%,SL=15%",2.0,3,30,29,17,12,58.6,17.99,42.68,-16.98,45.52,-25.81,3.5,17.99,2925938,12925938,29.26,158.0,41.3,stop_loss=12; target_hit=17
FIX_T40_SL15_V2.0_ATH5_VA15,fixed_target,"T=40%,SL=15%",2.0,5,15,38,21,17,55.3,16.29,42.92,-16.61,46.68,-25.81,3.19,16.29,3554232,13554232,35.54,187.8,41.14,end_of_data=1; stop_loss=16; target_hit=21
FIX_T40_SL15_V2.0_ATH5_VA20,fixed_target,"T=40%,SL=15%",2.0,5,20,35,19,16,54.3,15.54,42.68,-16.7,45.52,-25.81,3.0,15.54,3060924,13060924,30.61,192.1,40.98,end_of_data=1; stop_loss=15; target_hit=19
FIX_T40_SL15_V2.0_ATH5_VA30,fixed_target,"T=40%,SL=15%",2.0,5,30,33,19,14,57.6,17.3,42.68,-17.14,45.52,-25.81,3.33,17.3,3240603,13240603,32.41,155.2,41.3,stop_loss=14; target_hit=19
FIX_T40_SL15_V2.0_ATH7_VA15,fixed_target,"T=40%,SL=15%",2.0,7,15,41,23,18,56.1,16.75,42.93,-16.7,46.68,-25.81,3.29,16.75,4014327,14014327,40.14,184.8,40.98,end_of_data=1; stop_loss=17; target_hit=23
FIX_T40_SL15_V2.0_ATH7_VA20,fixed_target,"T=40%,SL=15%",2.0,7,20,37,21,16,56.8,17.02,42.71,-16.7,45.52,-25.81,3.33,17.02,3629103,13629103,36.29,192.5,40.98,end_of_data=1; stop_loss=15; target_hit=21
FIX_T40_SL15_V2.0_ATH7_VA30,fixed_target,"T=40%,SL=15%",2.0,7,30,34,20,14,58.8,18.12,42.8,-17.14,45.52,-25.81,3.54,18.12,3539578,13539578,35.4,161.4,41.33,stop_loss=14; target_hit=20
FIX_T40_SL15_V2.0_ATH10_VA15,fixed_target,"T=40%,SL=15%",2.0,10,15,49,27,22,55.1,16.55,43.63,-16.69,59.1,-25.81,3.26,16.55,4892298,14892298,48.92,163.0,40.92,end_of_data=1; stop_loss=21; target_hit=27
