phase,label,exit_strategy,exit_params,vol_multiplier,ath_lookback,vol_avg_period,total_trades,winners,losers,win_rate,avg_return_pct,avg_winner_pct,avg_loser_pct,max_return_pct,max_loss_pct,profit_factor,expectancy,total_pnl,final_capital,total_return_pct,cagr,sharpe,max_drawdown,avg_hold_days,exit_breakdown
P3,ST_7_3.0_V3.0_ATH5_VA30,supertrend,"ATR=7,M=3.0",3.0,5,30,25,16,9,64.0,255.65,413.4,-24.81,4098.45,-33.2,15.95,255.65,75631070,85631070,756.31,211989183003.81,1.59,3.09,947.0,end_of_data=10; hard_stop_30=7; supertrend_flip=8
P3,ST_7_3.0_V3.0_ATH7_VA10,supertrend,"ATR=7,M=3.0",3.0,7,10,31,17,14,54.8,197.97,382.22,-25.76,4098.45,-33.2,8.58,197.97,65834770,75834770,658.35,62904795760.21,1.51,3.11,820.5,end_of_data=10; hard_stop_30=11; supertrend_flip=10
P3,ST_7_3.0_V3.0_ATH7_VA15,supertrend,"ATR=7,M=3.0",3.0,7,15,28,15,13,53.6,225.76,444.65,-26.81,4098.45,-33.2,10.4,225.76,72166379,82166379,721.66,140262478255.86,1.56,3.32,804.0,end_of_data=8; hard_stop_30=11; supertrend_flip=9
P3,ST_7_3.0_V3.0_ATH7_VA20,supertrend,"ATR=7,M=3.0",3.0,7,20,28,15,13,53.6,226.4,444.65,-25.43,4098.45,-33.2,11.67,226.4,72912238,82912238,729.12,153527579149.31,1.56,3.73,818.4,end_of_data=8; hard_stop_30=10; supertrend_flip=10
P3,ST_7_3.0_V3.0_ATH7_VA30,supertrend,"ATR=7,M=3.0",3.0,7,30,26,17,9,65.4,256.93,406.08,-24.81,4098.45,-33.2,18.36,256.93,88001783,98001783,880.02,817221475396.82,1.66,3.09,1023.0,end_of_data=10; hard_stop_30=7; supertrend_flip=9
P3,ST_7_3.0_V3.0_ATH10_VA10,supertrend,"ATR=7,M=3.0",3.0,10,10,34,17,17,50.0,175.75,378.54,-27.04,4098.45,-37.85,6.19,175.75,59962407,69962407,599.62,28096190262.19,1.46,6.7,778.5,end_of_data=11; hard_stop_30=14; supertrend_flip=9
P3,ST_7_3.0_V3.0_ATH10_VA15,supertrend,"ATR=7,M=3.0",3.0,10,15,32,16,16,50.0,195.07,417.3,-27.17,4098.45,-37.85,8.06,195.07,68950914,78950914,689.51,94096100773.4,1.53,4.59,755.3,end_of_data=9; hard_stop_30=13; supertrend_flip=10
P3,ST_7_3.0_V3.0_ATH10_VA20,supertrend,"ATR=7,M=3.0",3.0,10,20,32,16,16,50.0,195.62,417.3,-26.05,4098.45,-37.85,8.79,195.62,69667585,79667585,696.68,102995089914.3,1.53,5.22,767.8,end_of_data=9; hard_stop_30=12; supertrend_flip=11
P3,ST_7_3.0_V3.0_ATH10_VA30,supertrend,"ATR=7,M=3.0",3.0,10,30,30,18,12,60.0,220.03,383.91,-25.79,4098.45,-37.85,12.1,220.03,84166622,94166621,841.67,548238953721.68,1.62,4.59,941.8,end_of_data=11; hard_stop_30=9; supertrend_flip=10
P3,ST_7_3.0_V3.0_ATH15_VA10,supertrend,"ATR=7,M=3.0",3.0,15,10,36,19,17,52.8,178.78,362.93,-27.04,4098.45,-37.85,6.65,178.78,76626379,86626379,766.26,237958708930.64,1.57,5.22,802.4,end_of_data=11; hard_stop_30=14; supertrend_flip=11
P3,ST_7_3.0_V3.0_ATH15_VA15,supertrend,"ATR=7,M=3.0",3.0,15,15,33,17,16,51.5,199.89,413.59,-27.17,4098.45,-37.85,8.65,199.89,82818103,92818103,828.18,474599067201.85,1.61,5.44,801.6,end_of_data=8; hard_stop_30=13; supertrend_flip=12
P3,ST_7_3.0_V3.0_ATH15_VA20,supertrend,"ATR=7,M=3.0",3.0,15,20,33,17,16,51.5,200.43,413.59,-26.05,4098.45,-37.85,9.48,200.43,83660652,93660652,836.61,519483519448.03,1.62,5.44,813.7,end_of_data=8; hard_stop_30=12; supertrend_flip=13
P3,ST_7_3.0_V3.0_ATH15_VA30,supertrend,"ATR=7,M=3.0",3.0,15,30,31,19,12,61.3,224.36,382.34,-25.79,4098.45,-37.85,13.0,224.36,100706345,110706345,1007.06,2765191051677.97,1.71,4.59,985.0,end_of_data=10; hard_stop_30=9; supertrend_flip=12
P3,ST_10_3.0_V3.0_ATH3_VA10,supertrend,"ATR=10,M=3.0",3.0,3,10,26,13,13,50.0,200.46,426.2,-25.28,4098.45,-33.2,7.04,200.46,40882161,50882161,408.82,1163202896.66,1.3,6.66,720.5,end_of_data=8; hard_stop_30=10; supertrend_flip=8
P3,ST_10_3.0_V3.0_ATH3_VA15,supertrend,"ATR=10,M=3.0",3.0,3,15,23,12,11,52.2,229.74,464.03,-25.84,4098.45,-33.2,8.57,229.74,42563530,52563530,425.64,1610071596.32,1.32,4.55,723.9,end_of_data=7; hard_stop_30=9; supertrend_flip=7
P3,ST_10_3.0_V3.0_ATH3_VA20,supertrend,"ATR=10,M=3.0",3.0,3,20,23,12,11,52.2,230.52,464.03,-24.22,4098.45,-33.2,9.49,230.52,43040671,53040671,430.41,1762341567.22,1.32,5.17,741.3,end_of_data=7; hard_stop_30=8; supertrend_flip=8
P3,ST_10_3.0_V3.0_ATH3_VA30,supertrend,"ATR=10,M=3.0",3.0,3,30,23,13,10,56.5,237.98,440.53,-25.33,4098.45,-33.2,10.22,237.98,47622919,57622919,476.23,4036012654.82,1.37,4.55,796.3,end_of_data=8; hard_stop_30=8; supertrend_flip=7
P3,ST_10_3.0_V3.0_ATH5_VA10,supertrend,"ATR=10,M=3.0",3.0,5,10,29,16,13,55.2,210.26,401.76,-25.42,4098.45,-33.2,8.86,210.26,64410339,74410339,644.1,52039462539.53,1.5,5.24,840.7,end_of_data=10; hard_stop_30=10; supertrend_flip=9
P3,ST_10_3.0_V3.0_ATH5_VA15,supertrend,"ATR=10,M=3.0",3.0,5,15,26,14,12,53.8,233.18,455.78,-26.52,4098.45,-33.2,9.6,233.18,62896150,72896150,628.96,42368775757.45,1.49,3.32,732.8,end_of_data=8; hard_stop_30=10; supertrend_flip=8
P3,ST_10_3.0_V3.0_ATH5_VA20,supertrend,"ATR=10,M=3.0",3.0,5,20,26,14,12,53.8,233.86,455.78,-25.04,4098.45,-33.2,10.84,233.86,63557859,73557859,635.58,46375735373.94,1.5,3.73,748.2,end_of_data=8; hard_stop_30=9; supertrend_flip=9
