label,exit_strategy,exit_params,vol_multiplier,ath_lookback,vol_avg_period,total_trades,winners,losers,win_rate,avg_return_pct,avg_winner_pct,avg_loser_pct,max_return_pct,max_loss_pct,profit_factor,expectancy,total_pnl,final_capital,total_return_pct,avg_hold_days,median_return_pct,exit_breakdown
FIX_T20_SL10_V1.25_ATH7_VA20,fixed_target,"T=20%,SL=10%",1.25,7,20,308,152,156,49.4,5.46,22.78,-11.41,43.61,-21.83,1.84,5.46,12888669,22888669,128.89,49.4,-0.85,end_of_data=14; stop_loss=150; target_hit=144
FIX_T20_SL10_V1.25_ATH7_VA30,fixed_target,"T=20%,SL=10%",1.25,7,30,304,146,158,48.0,5.02,22.77,-11.39,43.61,-21.83,1.77,5.02,11171739,21171739,111.72,49.0,-9.75,end_of_data=14; stop_loss=152; target_hit=138
FIX_T20_SL10_V1.25_ATH10_VA15,fixed_target,"T=20%,SL=10%",1.25,10,15,388,189,199,48.7,5.4,23.2,-11.5,43.92,-22.35,1.81,5.4,18053217,28053217,180.53,46.3,-4.92,end_of_data=15; stop_loss=192; target_hit=181
FIX_T20_SL10_V1.25_ATH10_VA20,fixed_target,"T=20%,SL=10%",1.25,10,20,384,186,198,48.4,5.3,23.21,-11.51,43.92,-22.35,1.79,5.3,17231322,27231322,172.31,46.3,-7.69,end_of_data=15; stop_loss=191; target_hit=178
FIX_T20_SL10_V1.25_ATH10_VA30,fixed_target,"T=20%,SL=10%",1.25,10,30,380,179,201,47.1,4.87,23.24,-11.5,43.92,-22.35,1.72,4.87,14796684,24796683,147.97,46.1,-10.05,end_of_data=15; stop_loss=194; target_hit=171
FIX_T20_SL10_V1.5_ATH3_VA15,fixed_target,"T=20%,SL=10%",1.5,3,15,235,113,122,48.1,5.51,23.56,-11.22,43.61,-21.83,1.84,5.51,8902202,18902202,89.02,51.7,-3.75,end_of_data=11; stop_loss=115; target_hit=109
FIX_T20_SL10_V1.5_ATH3_VA20,fixed_target,"T=20%,SL=10%",1.5,3,20,233,108,125,46.4,4.91,23.57,-11.22,43.61,-21.83,1.72,4.91,7538625,17538625,75.39,51.5,-10.03,end_of_data=11; stop_loss=118; target_hit=104
FIX_T20_SL10_V1.5_ATH3_VA30,fixed_target,"T=20%,SL=10%",1.5,3,30,225,102,123,45.3,4.49,23.42,-11.21,43.61,-21.83,1.66,4.49,6413831,16413831,64.14,49.8,-10.04,end_of_data=11; stop_loss=116; target_hit=98
FIX_T20_SL10_V1.5_ATH5_VA15,fixed_target,"T=20%,SL=10%",1.5,5,15,262,125,137,47.7,5.23,23.3,-11.27,43.61,-21.83,1.8,5.23,9610630,19610630,96.11,49.0,-6.72,end_of_data=12; stop_loss=130; target_hit=120
FIX_T20_SL10_V1.5_ATH5_VA20,fixed_target,"T=20%,SL=10%",1.5,5,20,259,119,140,45.9,4.6,23.26,-11.26,43.61,-21.83,1.68,4.6,7946653,17946653,79.47,48.9,-10.07,end_of_data=12; stop_loss=133; target_hit=114
FIX_T20_SL10_V1.5_ATH5_VA30,fixed_target,"T=20%,SL=10%",1.5,5,30,254,114,140,44.9,4.19,23.15,-11.25,43.61,-21.83,1.61,4.19,6843739,16843739,68.44,47.5,-10.1,end_of_data=12; stop_loss=133; target_hit=109
FIX_T20_SL10_V1.5_ATH7_VA15,fixed_target,"T=20%,SL=10%",1.5,7,15,285,141,144,49.5,5.53,22.8,-11.38,43.61,-21.83,1.87,5.53,11732493,21732493,117.32,50.2,-0.33,end_of_data=14; stop_loss=138; target_hit=133
FIX_T20_SL10_V1.5_ATH7_VA20,fixed_target,"T=20%,SL=10%",1.5,7,20,280,135,145,48.2,5.1,22.74,-11.33,43.61,-21.83,1.78,5.1,10175385,20175385,101.75,50.3,-6.72,end_of_data=14; stop_loss=139; target_hit=127
FIX_T20_SL10_V1.5_ATH7_VA30,fixed_target,"T=20%,SL=10%",1.5,7,30,275,129,146,46.9,4.6,22.64,-11.34,43.61,-21.83,1.7,4.6,8611811,18611811,86.12,49.0,-10.03,end_of_data=14; stop_loss=140; target_hit=121
FIX_T20_SL10_V1.5_ATH10_VA15,fixed_target,"T=20%,SL=10%",1.5,10,15,355,173,182,48.7,5.46,23.29,-11.5,43.92,-22.35,1.84,5.46,15927446,25927446,159.27,45.9,-3.96,end_of_data=15; stop_loss=175; target_hit=165
FIX_T20_SL10_V1.5_ATH10_VA20,fixed_target,"T=20%,SL=10%",1.5,10,20,351,168,183,47.9,5.15,23.25,-11.46,43.92,-22.35,1.77,5.15,14327445,24327445,143.27,45.9,-10.0,end_of_data=15; stop_loss=176; target_hit=160
FIX_T20_SL10_V1.5_ATH10_VA30,fixed_target,"T=20%,SL=10%",1.5,10,30,343,159,184,46.4,4.61,23.2,-11.46,43.92,-22.35,1.69,4.61,11721021,21721021,117.21,44.8,-10.07,end_of_data=15; stop_loss=177; target_hit=151
FIX_T20_SL10_V2.0_ATH3_VA15,fixed_target,"T=20%,SL=10%",2.0,3,15,198,90,108,45.5,4.57,23.65,-11.34,43.61,-21.83,1.66,4.57,5584484,15584484,55.84,49.1,-10.05,end_of_data=8; stop_loss=103; target_hit=87
FIX_T20_SL10_V2.0_ATH3_VA20,fixed_target,"T=20%,SL=10%",2.0,3,20,195,86,109,44.1,4.09,23.67,-11.36,43.61,-21.83,1.58,4.09,4778474,14778474,47.78,49.4,-10.09,end_of_data=8; stop_loss=104; target_hit=83
FIX_T20_SL10_V2.0_ATH3_VA30,fixed_target,"T=20%,SL=10%",2.0,3,30,188,83,105,44.1,4.08,23.66,-11.39,43.61,-21.83,1.58,4.08,4564996,14564996,45.65,46.6,-10.09,end_of_data=8; stop_loss=100; target_hit=80
FIX_T20_SL10_V2.0_ATH5_VA15,fixed_target,"T=20%,SL=10%",2.0,5,15,222,99,123,44.6,4.08,23.29,-11.37,43.61,-21.83,1.59,4.08,5592279,15592279,55.92,47.5,-10.11,end_of_data=9; stop_loss=118; target_hit=95
FIX_T20_SL10_V2.0_ATH5_VA20,fixed_target,"T=20%,SL=10%",2.0,5,20,217,96,121,44.2,3.95,23.28,-11.38,43.61,-21.83,1.56,3.95,5219412,15219412,52.19,47.1,-10.11,end_of_data=9; stop_loss=116; target_hit=92
FIX_T20_SL10_V2.0_ATH5_VA30,fixed_target,"T=20%,SL=10%",2.0,5,30,209,92,117,44.0,3.84,23.22,-11.41,43.61,-21.83,1.55,3.84,4803967,14803967,48.04,45.4,-10.12,end_of_data=9; stop_loss=112; target_hit=88
FIX_T20_SL10_V2.0_ATH7_VA15,fixed_target,"T=20%,SL=10%",2.0,7,15,245,116,129,47.3,4.75,22.82,-11.51,43.61,-21.83,1.71,4.75,7702163,17702163,77.02,51.4,-10.03,end_of_data=10; stop_loss=125; target_hit=110
FIX_T20_SL10_V2.0_ATH7_VA20,fixed_target,"T=20%,SL=10%",2.0,7,20,240,113,127,47.1,4.66,22.8,-11.48,43.61,-21.83,1.69,4.66,7318007,17318007,73.18,51.4,-10.04,end_of_data=10; stop_loss=123; target_hit=107
FIX_T20_SL10_V2.0_ATH7_VA30,fixed_target,"T=20%,SL=10%",2.0,7,30,228,107,121,46.9,4.57,22.77,-11.53,43.61,-21.83,1.69,4.57,6671951,16671951,66.72,49.8,-10.05,end_of_data=10; stop_loss=117; target_hit=101
FIX_T20_SL10_V2.0_ATH10_VA15,fixed_target,"T=20%,SL=10%",2.0,10,15,308,146,162,47.4,4.99,23.35,-11.55,43.92,-22.35,1.76,4.99,11287061,21287061,112.87,47.0,-10.04,end_of_data=11; stop_loss=157; target_hit=140
FIX_T20_SL10_V2.0_ATH10_VA20,fixed_target,"T=20%,SL=10%",2.0,10,20,298,142,156,47.7,5.11,23.33,-11.47,43.92,-21.83,1.78,5.11,11151493,21151494,111.51,45.5,-10.02,end_of_data=11; stop_loss=151; target_hit=136
FIX_T20_SL10_V2.0_ATH10_VA30,fixed_target,"T=20%,SL=10%",2.0,10,30,284,134,150,47.2,4.95,23.37,-11.51,43.92,-21.83,1.78,4.95,9938301,19938301,99.38,43.8,-10.05,end_of_data=11; stop_loss=145; target_hit=128
FIX_T20_SL10_V2.5_ATH3_VA15,fixed_target,"T=20%,SL=10%",2.5,3,15,168,76,92,45.2,4.58,23.9,-11.38,43.61,-21.83,1.66,4.58,4582695,14582695,45.83,44.1,-10.05,end_of_data=7; stop_loss=88; target_hit=73
FIX_T20_SL10_V2.5_ATH3_VA20,fixed_target,"T=20%,SL=10%",2.5,3,20,163,74,89,45.4,4.56,23.89,-11.52,43.61,-21.83,1.65,4.56,4392104,14392104,43.92,45.1,-10.07,end_of_data=6; stop_loss=86; target_hit=71
FIX_T20_SL10_V2.5_ATH3_VA30,fixed_target,"T=20%,SL=10%",2.5,3,30,156,71,85,45.5,4.69,24.12,-11.55,43.61,-21.83,1.67,4.69,4312231,14312231,43.12,43.9,-10.05,end_of_data=5; stop_loss=82; target_hit=69
FIX_T20_SL10_V2.5_ATH5_VA15,fixed_target,"T=20%,SL=10%",2.5,5,15,190,84,106,44.2,3.98,23.42,-11.42,43.61,-21.83,1.57,3.98,4483768,14483768,44.84,43.2,-10.12,end_of_data=8; stop_loss=102; target_hit=80
FIX_T20_SL10_V2.5_ATH5_VA20,fixed_target,"T=20%,SL=10%",2.5,5,20,184,82,102,44.6,4.04,23.4,-11.52,43.61,-21.83,1.58,4.04,4393976,14393976,43.94,43.7,-10.11,end_of_data=7; stop_loss=99; target_hit=78
FIX_T20_SL10_V2.5_ATH5_VA30,fixed_target,"T=20%,SL=10%",2.5,5,30,175,80,95,45.7,4.51,23.57,-11.54,43.61,-21.83,1.66,4.51,4726186,14726186,47.26,42.1,-10.09,end_of_data=6; stop_loss=92; target_hit=77
FIX_T20_SL10_V2.5_ATH7_VA15,fixed_target,"T=20%,SL=10%",2.5,7,15,209,99,110,47.4,4.8,22.88,-11.48,43.61,-21.83,1.72,4.8,6361963,16361963,63.62,47.4,-10.03,end_of_data=9; stop_loss=107; target_hit=93
FIX_T20_SL10_V2.5_ATH7_VA20,fixed_target,"T=20%,SL=10%",2.5,7,20,204,97,107,47.5,4.78,22.86,-11.6,43.61,-21.83,1.72,4.78,6148118,16148118,61.48,48.3,-10.04,end_of_data=8; stop_loss=105; target_hit=91
FIX_T20_SL10_V2.5_ATH7_VA30,fixed_target,"T=20%,SL=10%",2.5,7,30,191,93,98,48.7,5.24,23.03,-11.65,43.61,-21.83,1.81,5.24,6350824,16350824,63.51,46.7,-10.0,end_of_data=7; stop_loss=96; target_hit=88
FIX_T20_SL10_V2.5_ATH10_VA15,fixed_target,"T=20%,SL=10%",2.5,10,15,259,126,133,48.6,5.43,23.36,-11.57,43.92,-22.35,1.84,5.43,9963771,19963771,99.64,43.1,-9.49,end_of_data=10; stop_loss=129; target_hit=120
FIX_T20_SL10_V2.5_ATH10_VA20,fixed_target,"T=20%,SL=10%",2.5,10,20,249,122,127,49.0,5.51,23.33,-11.61,43.92,-21.83,1.86,5.51,9636713,19636713,96.37,42.5,-9.49,end_of_data=9; stop_loss=124; target_hit=116
FIX_T20_SL10_V2.5_ATH10_VA30,fixed_target,"T=20%,SL=10%",2.5,10,30,233,116,117,49.8,5.89,23.56,-11.63,43.92,-21.83,1.94,5.89,9649129,19649129,96.49,40.6,-1.38,end_of_data=8; stop_loss=114; target_hit=111
FIX_T40_SL15_V1.0_ATH3_VA15,fixed_target,"T=40%,SL=15%",1.0,3,15,272,128,144,47.1,11.25,41.58,-15.72,64.24,-30.03,2.07,11.25,34632537,44632537,346.33,122.3,-5.29,end_of_data=23; stop_loss=131; target_hit=118
FIX_T40_SL15_V1.0_ATH3_VA20,fixed_target,"T=40%,SL=15%",1.0,3,20,273,127,146,46.5,10.99,41.55,-15.59,64.24,-30.03,2.07,10.99,33336742,43336742,333.37,120.8,-6.63,end_of_data=24; stop_loss=132; target_hit=117
FIX_T40_SL15_V1.0_ATH3_VA30,fixed_target,"T=40%,SL=15%",1.0,3,30,266,125,141,47.0,11.23,41.57,-15.66,64.24,-30.03,2.11,11.23,33116958,43116958,331.17,116.9,-3.85,end_of_data=22; stop_loss=129; target_hit=115
FIX_T40_SL15_V1.0_ATH5_VA15,fixed_target,"T=40%,SL=15%",1.0,5,15,304,137,167,45.1,9.86,41.21,-15.86,64.24,-30.03,1.91,9.86,33140548,43140548,331.41,121.8,-15.0,end_of_data=27; stop_loss=153; target_hit=124
FIX_T40_SL15_V1.0_ATH5_VA20,fixed_target,"T=40%,SL=15%",1.0,5,20,303,135,168,44.6,9.6,41.15,-15.76,64.24,-30.03,1.9,9.6,31297785,41297785,312.98,120.8,-15.01,end_of_data=28; stop_loss=153; target_hit=122
FIX_T40_SL15_V1.0_ATH5_VA30,fixed_target,"T=40%,SL=15%",1.0,5,30,297,133,164,44.8,9.66,41.08,-15.82,64.24,-30.03,1.89,9.66,30514071,40514071,305.14,116.8,-15.02,end_of_data=26; stop_loss=151; target_hit=120
FIX_T40_SL15_V1.0_ATH7_VA15,fixed_target,"T=40%,SL=15%",1.0,7,15,336,157,179,46.7,10.48,40.51,-15.86,64.24,-30.03,2.05,10.48,45818431,55818431,458.18,126.0,-7.88,end_of_data=32; stop_loss=164; target_hit=140
FIX_T40_SL15_V1.0_ATH7_VA20,fixed_target,"T=40%,SL=15%",1.0,7,20,335,155,180,46.3,10.24,40.45,-15.77,64.24,-30.03,2.04,10.24,43434127,53434127,434.34,125.2,-8.56,end_of_data=33; stop_loss=164; target_hit=138
FIX_T40_SL15_V1.0_ATH7_VA30,fixed_target,"T=40%,SL=15%",1.0,7,30,330,153,177,46.4,10.23,40.37,-15.83,64.24,-30.03,2.02,10.23,41998766,51998766,419.99,121.3,-9.03,end_of_data=31; stop_loss=163; target_hit=136
FIX_T40_SL15_V1.0_ATH10_VA15,fixed_target,"T=40%,SL=15%",1.0,10,15,420,193,227,46.0,9.93,40.55,-16.1,64.24,-30.03,1.93,9.93,66546888,76546888,665.47,119.5,-15.0,end_of_data=36; stop_loss=211; target_hit=173
FIX_T40_SL15_V1.0_ATH10_VA20,fixed_target,"T=40%,SL=15%",1.0,10,20,418,192,226,45.9,9.91,40.52,-16.09,64.24,-30.03,1.94,9.91,65482395,75482395,654.82,118.7,-15.0,end_of_data=36; stop_loss=210; target_hit=172
FIX_T40_SL15_V1.0_ATH10_VA30,fixed_target,"T=40%,SL=15%",1.0,10,30,413,190,223,46.0,9.89,40.46,-16.15,64.24,-30.03,1.92,9.89,63426962,73426962,634.27,115.0,-15.01,end_of_data=34; stop_loss=209; target_hit=170
FIX_T40_SL15_V1.25_ATH3_VA15,fixed_target,"T=40%,SL=15%",1.25,3,15,255,125,130,49.0,12.59,41.84,-15.54,64.24,-30.03,2.28,12.59,38179699,48179699,381.8,120.8,-1.38,end_of_data=22; stop_loss=117; target_hit=116
FIX_T40_SL15_V1.25_ATH3_VA20,fixed_target,"T=40%,SL=15%",1.25,3,20,250,122,128,48.8,12.48,41.84,-15.5,64.24,-30.03,2.27,12.48,36095578,46095578,360.96,119.8,-1.5,end_of_data=22; stop_loss=115; target_hit=113
FIX_T40_SL15_V1.25_ATH3_VA30,fixed_target,"T=40%,SL=15%",1.25,3,30,247,119,128,48.2,12.01,41.73,-15.62,64.24,-30.03,2.23,12.01,32719300,42719300,327.19,115.6,-2.37,end_of_data=20; stop_loss=117; target_hit=110
FIX_T40_SL15_V1.25_ATH5_VA15,fixed_target,"T=40%,SL=15%",1.25,5,15,286,133,153,46.5,10.84,41.42,-15.74,64.24,-30.03,2.04,10.84,35527785,45527785,355.28,120.5,-7.88,end_of_data=26; stop_loss=139; target_hit=121
FIX_T40_SL15_V1.25_ATH5_VA20,fixed_target,"T=40%,SL=15%",1.25,5,20,281,130,151,46.3,10.72,41.41,-15.71,64.24,-30.03,2.03,10.72,33562899,43562899,335.63,119.6,-8.56,end_of_data=26; stop_loss=137; target_hit=118
FIX_T40_SL15_V1.25_ATH5_VA30,fixed_target,"T=40%,SL=15%",1.25,5,30,278,127,151,45.7,10.24,41.21,-15.81,64.24,-30.03,1.97,10.24,30140418,40140418,301.4,115.6,-13.84,end_of_data=24; stop_loss=139; target_hit=115
FIX_T40_SL15_V1.25_ATH7_VA15,fixed_target,"T=40%,SL=15%",1.25,7,15,312,150,162,48.1,11.49,40.89,-15.74,64.24,-30.03,2.18,11.49,47730077,57730077,477.3,123.0,-2.46,end_of_data=30; stop_loss=147; target_hit=135
FIX_T40_SL15_V1.25_ATH7_VA20,fixed_target,"T=40%,SL=15%",1.25,7,20,308,147,161,47.7,11.29,40.87,-15.71,64.24,-30.03,2.16,11.29,44790959,54790959,447.91,121.9,-3.26,end_of_data=30; stop_loss=146; target_hit=132
FIX_T40_SL15_V1.25_ATH7_VA30,fixed_target,"T=40%,SL=15%",1.25,7,30,304,144,160,47.4,10.95,40.68,-15.81,64.24,-30.03,2.12,10.95,40898796,50898796,408.99,118.5,-4.87,end_of_data=28; stop_loss=147; target_hit=129
FIX_T40_SL15_V1.25_ATH10_VA15,fixed_target,"T=40%,SL=15%",1.25,10,15,388,183,205,47.2,10.96,41.21,-16.04,64.24,-30.03,2.06,10.96,69944926,79944926,699.45,115.9,-6.92,end_of_data=32; stop_loss=189; target_hit=167
FIX_T40_SL15_V1.25_ATH10_VA20,fixed_target,"T=40%,SL=15%",1.25,10,20,384,180,204,46.9,10.8,41.19,-16.02,64.24,-30.03,2.04,10.8,65874819,75874819,658.75,115.0,-7.88,end_of_data=32; stop_loss=188; target_hit=164
FIX_T40_SL15_V1.25_ATH10_VA30,fixed_target,"T=40%,SL=15%",1.25,10,30,380,177,203,46.6,10.52,41.05,-16.1,64.24,-30.03,2.01,10.52,60458251,70458251,604.58,111.6,-11.09,end_of_data=30; stop_loss=189; target_hit=161
FIX_T40_SL15_V1.5_ATH3_VA15,fixed_target,"T=40%,SL=15%",1.5,3,15,235,115,120,48.9,12.6,41.85,-15.44,64.24,-30.03,2.35,12.6,32630733,42630733,326.31,124.0,-1.38,end_of_data=20; stop_loss=108; target_hit=107
FIX_T40_SL15_V1.5_ATH3_VA20,fixed_target,"T=40%,SL=15%",1.5,3,20,233,112,121,48.1,12.03,41.86,-15.59,64.24,-30.03,2.25,12.03,29415530,39415530,294.16,120.5,-2.37,end_of_data=19; stop_loss=110; target_hit=104
FIX_T40_SL15_V1.5_ATH3_VA30,fixed_target,"T=40%,SL=15%",1.5,3,30,225,107,118,47.6,11.78,42.18,-15.78,64.24,-30.03,2.19,11.78,26584022,36584022,265.84,113.2,-3.75,end_of_data=16; stop_loss=109; target_hit=100
FIX_T40_SL15_V1.5_ATH5_VA15,fixed_target,"T=40%,SL=15%",1.5,5,15,262,122,140,46.6,10.96,41.48,-15.63,64.24,-30.03,2.1,10.96,30720694,40720694,307.21,124.4,-6.92,end_of_data=23; stop_loss=127; target_hit=112
FIX_T40_SL15_V1.5_ATH5_VA20,fixed_target,"T=40%,SL=15%",1.5,5,20,259,119,140,45.9,10.55,41.48,-15.75,64.24,-30.03,2.02,10.55,27979095,37979095,279.79,119.4,-11.71,end_of_data=22; stop_loss=128; target_hit=109
FIX_T40_SL15_V1.5_ATH5_VA30,fixed_target,"T=40%,SL=15%",1.5,5,30,254,115,139,45.3,10.2,41.76,-15.91,64.24,-30.03,1.96,10.2,25424682,35424682,254.25,112.3,-15.03,end_of_data=19; stop_loss=129; target_hit=106
FIX_T40_SL15_V1.5_ATH7_VA15,fixed_target,"T=40%,SL=15%",1.5,7,15,285,136,149,47.7,11.43,41.08,-15.64,64.24,-30.03,2.23,11.43,39197195,49197195,391.97,127.4,-2.56,end_of_data=26; stop_loss=135; target_hit=124
FIX_T40_SL15_V1.5_ATH7_VA20,fixed_target,"T=40%,SL=15%",1.5,7,20,280,132,148,47.1,11.03,41.04,-15.73,64.24,-30.03,2.14,11.03,35279378,45279378,352.79,123.3,-4.87,end_of_data=25; stop_loss=135; target_hit=120
FIX_T40_SL15_V1.5_ATH7_VA30,fixed_target,"T=40%,SL=15%",1.5,7,30,275,127,148,46.2,10.51,41.27,-15.88,64.24,-30.03,2.06,10.51,31035046,41035046,310.35,115.4,-12.69,end_of_data=22; stop_loss=137; target_hit=116
FIX_T40_SL15_V1.5_ATH10_VA15,fixed_target,"T=40%,SL=15%",1.5,10,15,355,167,188,47.0,11.03,41.41,-15.96,64.24,-30.03,2.12,11.03,57779048,67779048,577.79,118.3,-6.63,end_of_data=28; stop_loss=173; target_hit=154
FIX_T40_SL15_V1.5_ATH10_VA20,fixed_target,"T=40%,SL=15%",1.5,10,20,351,164,187,46.7,10.8,41.39,-16.03,64.24,-30.03,2.06,10.8,53674501,63674501,536.75,115.5,-9.49,end_of_data=27; stop_loss=173; target_hit=151
FIX_T40_SL15_V1.5_ATH10_VA30,fixed_target,"T=40%,SL=15%",1.5,10,30,343,158,185,46.1,10.44,41.59,-16.16,64.24,-30.03,2.02,10.44,47448120,57448120,474.48,108.2,-15.01,end_of_data=24; stop_loss=173; target_hit=146
FIX_T40_SL15_V2.0_ATH3_VA15,fixed_target,"T=40%,SL=15%",2.0,3,15,198,92,106,46.5,11.08,41.96,-15.71,64.24,-30.03,2.16,11.08,19227899,29227899,192.28,122.5,-8.06,end_of_data=14; stop_loss=97; target_hit=87
FIX_T40_SL15_V2.0_ATH3_VA20,fixed_target,"T=40%,SL=15%",2.0,3,20,195,89,106,45.6,10.59,41.91,-15.7,64.24,-30.03,2.08,10.59,17429041,27429041,174.29,120.6,-11.71,end_of_data=14; stop_loss=97; target_hit=84
FIX_T40_SL15_V2.0_ATH3_VA30,fixed_target,"T=40%,SL=15%",2.0,3,30,188,87,101,46.3,11.33,42.95,-15.91,64.24,-30.03,2.14,11.33,18318511,28318511,183.19,109.7,-12.25,end_of_data=10; stop_loss=94; target_hit=84
FIX_T40_SL15_V2.0_ATH5_VA15,fixed_target,"T=40%,SL=15%",2.0,5,15,222,100,122,45.0,9.99,41.46,-15.8,64.24,-30.03,2.01,9.99,19515613,29515613,195.16,122.2,-15.02,end_of_data=17; stop_loss=112; target_hit=93
FIX_T40_SL15_V2.0_ATH5_VA20,fixed_target,"T=40%,SL=15%",2.0,5,20,217,98,119,45.2,10.05,41.43,-15.79,64.24,-30.03,2.0,10.05,19002261,29002261,190.02,120.4,-15.01,end_of_data=17; stop_loss=109; target_hit=91
