label,axis,slots,slot_pct,select,idle,cost_bps,rot_score,rot_margin,rot_max_per_day,rot_entrant,trim_mult,trim_when,min_fill_frac,rot_sell_only,hard_stop,hard_stop_pct,rot_dest,rot_trigger,rot_spill,topup_rank,topup_split,topup_cap,seed,cagr,maxdd,calmar,sharpe,trades,trades_per_yr,win_rate,avg_win,avg_loss,expectancy,max_loss_streak,invested_pct,w1_cagr,w1_dd,w2_cagr,w2_dd,w3_cagr,w3_dd,days_signal,days_bind,days_full,turned_away,cash_refused,entries_taken,swaps,swap_attempts,swaps_per_yr,trims,trims_per_yr,trim_notional,partial_fills,tax_paid,tax_st,tax_lt,turnover_x,pos_rs_med,cap_pct_med,cap_pct_p95,cap_over1pct,profit_total,top10_share,top10_share_all,mult_all,mult_drop10,topups,topups_per_yr,topup_notional,spills,topup_refused,elig_days,elig_total,elig_ge1,elig_ge2,elig_ge3,elig_max,elig_ge2_pct,elig_mean,max_pos_w
CTRL_measure_k0,MEASURE,16,0.0625,random,0.052,25.0,unreal,10.0,0,rs,0.0,month,0.0,0,0,0.92,entrant,signal,none,rs,1,0.0,7011,20.73,-35.44,0.585,1.179,691,31.9,48.3,37.56,-11.6,12.162,14,72.88,19.1,-32.58,22.3,-35.44,21.52,-20.58,1880,472,53,957,1971,691,0,0,0.0,0,0.0,0.0,0,7.634014e+06,6.67275e+06,961264.0,2.474,547751.0,0.431,4.53,32.6,64247359.0,40.1,40.1,3.5211077027247423e+20,2647444684800000.0,0,0.0,0.0,0,0,1399,532,425,91,15,4,6.5,0.38,19.32
CTRL_measure_k0,MEASURE,16,0.0625,random,0.052,25.0,unreal,10.0,0,rs,0.0,month,0.0,0,0,0.92,entrant,signal,none,rs,1,0.0,7012,21.55,-35.44,0.608,1.215,684,31.5,48.8,37.9,-11.42,12.664,14,73.04,18.99,-32.64,24.1,-35.44,21.82,-18.62,1880,467,41,965,1970,684,0,0,0.0,0,0.0,0.0,0,9.081265e+06,8.088872e+06,992394.0,2.456,541016.0,0.426,4.661,33.2,74981323.0,39.3,39.3,3.7008929479617445e+21,2.782621264248832e+16,0,0.0,0.0,0,0,1399,496,389,92,15,3,6.58,0.355,19.32
CTRL_measure_k0,MEASURE,16,0.0625,random,0.052,25.0,unreal,10.0,0,rs,0.0,month,0.0,0,0,0.92,entrant,signal,none,rs,1,0.0,7013,21.28,-35.44,0.6,1.199,685,31.6,49.2,37.28,-11.45,12.523,14,72.96,18.99,-32.64,23.54,-35.44,23.72,-17.47,1880,463,41,978,1956,685,0,0,0.0,0,0.0,0.0,0,8.603015e+06,7.635063e+06,967952.0,2.448,541224.0,0.413,4.507,32.6,71283109.0,38.9,38.9,2.6757326538088875e+21,2.011823025736909e+16,0,0.0,0.0,0,0,1401,488,383,89,14,4,6.35,0.348,19.32
CTRL_measure_k0,MEASURE,16,0.0625,random,0.052,25.0,unreal,10.0,0,rs,0.0,month,0.0,0,0,0.92,entrant,signal,none,rs,1,0.0,7014,21.19,-32.64,0.649,1.206,689,31.8,49.1,37.4,-11.64,12.418,14,72.87,18.94,-32.64,23.4,-32.51,22.49,-20.79,1880,467,41,991,1939,689,0,0,0.0,0,0.0,0.0,0,8.339183e+06,7.349077e+06,990107.0,2.485,548694.0,0.438,4.945,33.2,69927869.0,40.0,40.0,1.2456741240949608e+21,9365960020459520.0,0,0.0,0.0,0,0,1393,523,411,91,17,5,6.53,0.375,19.31
CTRL_measure_k0,MEASURE,16,0.0625,random,0.052,25.0,unreal,10.0,0,rs,0.0,month,0.0,0,0,0.92,entrant,signal,none,rs,1,0.0,7015,20.69,-32.59,0.635,1.183,686,31.6,49.3,36.56,-11.52,12.171,14,72.87,19.06,-32.59,22.26,-32.52,17.88,-19.94,1880,467,41,980,1953,686,0,0,0.0,0,0.0,0.0,0,8.170749e+06,7.198537e+06,972212.0,2.463,554311.0,0.423,4.777,32.8,64330519.0,35.0,35.0,7.376668898589179e+20,6802183982940160.0,0,0.0,0.0,0,0,1395,518,419,86,13,3,6.16,0.371,19.32
CTRL_measure_k0,MEASURE,16,0.0625,random,0.052,25.0,unreal,10.0,0,rs,0.0,month,0.0,0,0,0.92,entrant,signal,none,rs,1,0.0,7016,20.42,-32.64,0.626,1.169,685,31.6,48.9,36.66,-11.56,12.024,14,72.89,18.94,-32.64,21.81,-32.51,17.75,-17.82,1880,471,41,986,1948,685,0,0,0.0,0,0.0,0.0,0,7.808521e+06,6.846084e+06,962437.0,2.445,548227.0,0.418,4.71,32.6,61136892.0,35.7,35.7,2.542338284645987e+20,2344342400270336.0,0,0.0,0.0,0,0,1397,566,446,94,22,4,6.73,0.405,19.31
CTRL_measure_k0,MEASURE,16,0.0625,random,0.052,25.0,unreal,10.0,0,rs,0.0,month,0.0,0,0,0.92,entrant,signal,none,rs,1,0.0,7017,21.17,-32.59,0.65,1.2,688,31.7,49.0,37.6,-11.7,12.448,14,72.84,19.12,-32.59,23.17,-32.48,23.86,-19.75,1880,477,41,973,1958,688,0,0,0.0,0,0.0,0.0,0,8.366314e+06,7.359824e+06,1.00649e+06,2.463,557696.0,0.431,4.81,33.4,69728589.0,40.2,40.2,1.1969830345111796e+21,8999851639439360.0,0,0.0,0.0,0,0,1393,533,422,89,18,5,6.39,0.383,19.32
CTRL_measure_k0,MEASURE,16,0.0625,random,0.052,25.0,unreal,10.0,0,rs,0.0,month,0.0,0,0,0.92,entrant,signal,none,rs,1,0.0,7018,21.1,-35.44,0.595,1.195,689,31.8,48.9,37.26,-11.51,12.348,14,72.93,19.1,-32.58,23.07,-35.44,21.88,-21.23,1880,475,53,966,1964,689,0,0,0.0,0,0.0,0.0,0,8.222475e+06,7.252688e+06,969787.0,2.471,547107.0,0.426,4.415,33.2,68897646.0,39.8,39.8,1.200648120182929e+21,9027418887028736.0,0,0.0,0.0,0,0,1394,544,444,87,13,3,6.24,0.39,19.32
CTRL_measure_k0,MEASURE,16,0.0625,random,0.052,25.0,unreal,10.0,0,rs,0.0,month,0.0,0,0,0.92,entrant,signal,none,rs,1,0.0,7019,21.42,-35.93,0.596,1.221,686,31.6,48.8,37.85,-11.5,12.598,14,72.89,19.16,-32.58,23.64,-35.93,21.8,-20.48,1880,480,53,1010,1923,686,0,0,0.0,0,0.0,0.0,0,8.775863e+06,7.774194e+06,1.001668e+06,2.466,545157.0,0.431,4.774,33.2,73050818.0,39.9,39.9,2.7661790080753226e+21,2.079829537901773e+16,0,0.0,0.0,0,0,1398,542,426,100,16,3,7.15,0.388,19.32
CTRL_measure_k0,MEASURE,16,0.0625,random,0.052,25.0,unreal,10.0,0,rs,0.0,month,0.0,0,0,0.92,entrant,signal,none,rs,1,0.0,7020,20.84,-32.58,0.64,1.187,685,31.6,49.3,36.81,-11.63,12.271,14,72.89,19.16,-32.58,22.45,-32.07,16.56,-20.18,1880,476,53,961,1973,685,0,0,0.0,0,0.0,0.0,0,8.626405e+06,7.635299e+06,991106.0,2.462,560097.0,0.427,4.82,33.0,66278896.0,35.4,35.4,9.481996874956061e+20,8743540339245056.0,0,0.0,0.0,0,0,1393,554,451,87,15,4,6.25,0.398,19.31
