label,axis,slots,slot_pct,select,idle,cost_bps,rot_score,rot_margin,rot_max_per_day,rot_entrant,trim_mult,trim_when,min_fill_frac,rot_sell_only,hard_stop,hard_stop_pct,rot_dest,rot_trigger,rot_spill,topup_rank,topup_split,topup_cap,seed,cagr,maxdd,calmar,sharpe,trades,trades_per_yr,win_rate,avg_win,avg_loss,expectancy,max_loss_streak,invested_pct,w1_cagr,w1_dd,w2_cagr,w2_dd,w3_cagr,w3_dd,days_signal,days_bind,days_full,turned_away,cash_refused,entries_taken,swaps,swap_attempts,swaps_per_yr,trims,trims_per_yr,trim_notional,partial_fills,tax_paid,tax_st,tax_lt,turnover_x,pos_rs_med,cap_pct_med,cap_pct_p95,cap_over1pct,profit_total,top10_share,top10_share_all,mult_all,mult_drop10,topups,topups_per_yr,topup_notional,spills,topup_refused,elig_days,elig_total,elig_ge1,elig_ge2,elig_ge3,elig_max,elig_ge2_pct,elig_mean,max_pos_w
CTRL_anycash_k1_b60,COST,16,0.0625,random,0.052,60.0,unreal,10.0,1,rs,0.0,month,0.0,0,0,0.92,entrant,any,cash,rs,1,0.0,7019,18.98,-30.73,0.618,1.11,796,36.7,41.0,38.89,-10.38,9.798,12,70.65,18.0,-30.73,19.98,-28.87,19.48,-18.43,1880,446,63,892,1976,796,226,7849,10.42,0,0.0,0.0,0,5.253372e+06,3.986628e+06,1.266744e+06,2.844,505783.0,0.401,4.094,30.4,45721908.0,48.4,48.4,2.0740402226344755e+17,1083373846528.0,0,0.0,0.0,181,0,1340,46,45,1,0,2,0.07,0.034,25.43
CTRL_anycash_k1_b60,COST,16,0.0625,random,0.052,60.0,unreal,10.0,1,rs,0.0,month,0.0,0,0,0.92,entrant,any,cash,rs,1,0.0,7020,19.07,-30.73,0.62,1.11,800,36.9,40.6,39.4,-10.45,9.801,14,70.62,18.0,-30.73,20.15,-30.14,18.13,-20.66,1880,450,63,896,1968,800,226,7841,10.42,0,0.0,0.0,0,5.160758e+06,3.990856e+06,1.169902e+06,2.871,506955.0,0.436,4.191,31.0,46265568.0,49.2,49.2,1.6514401797197005e+17,862628937728.0,0,0.0,0.0,181,0,1336,46,45,1,0,2,0.07,0.034,24.9
CTRL_anycash_k1_b60,COST,16,0.0625,random,0.052,60.0,unreal,10.0,1,rs,0.0,month,0.0,0,0,0.92,entrant,any,cash,rs,1,0.0,7021,18.33,-30.73,0.596,1.08,794,36.6,40.8,38.63,-10.33,9.648,12,70.5,18.0,-30.73,18.64,-28.87,13.18,-24.98,1880,469,63,943,1926,794,224,7855,10.33,0,0.0,0.0,0,5.315972e+06,4.319972e+06,996001.0,2.845,505649.0,0.393,4.239,30.1,40845431.0,46.2,46.2,1.1780420983062528e+17,695925211136.0,0,0.0,0.0,180,0,1337,45,44,1,0,2,0.07,0.034,19.46
CTRL_anycash_k1_b60,COST,16,0.0625,random,0.052,60.0,unreal,10.0,1,rs,0.0,month,0.0,0,0,0.92,entrant,any,cash,rs,1,0.0,7022,18.63,-30.73,0.606,1.09,815,37.6,40.2,38.93,-10.42,9.444,12,70.59,18.0,-30.73,19.26,-30.65,13.02,-24.76,1880,454,63,918,1932,815,237,7827,10.93,0,0.0,0.0,0,5.199896e+06,4.307122e+06,892773.0,3.007,524118.0,0.419,4.224,30.9,42942158.0,51.6,51.6,4.929898324321894e+16,257512652800.0,0,0.0,0.0,191,0,1329,47,46,1,0,2,0.08,0.035,25.6
CTRL_anycash_k1_b60,COST,16,0.0625,random,0.052,60.0,unreal,10.0,1,rs,0.0,month,0.0,0,0,0.92,entrant,any,cash,rs,1,0.0,7023,19.32,-30.73,0.629,1.127,795,36.7,41.1,39.18,-10.36,10.016,12,70.73,18.0,-30.73,20.68,-28.87,14.16,-25.38,1880,482,63,967,1902,795,223,7855,10.28,0,0.0,0.0,0,5.853432e+06,4.803624e+06,1.049808e+06,2.885,505723.0,0.401,4.424,30.8,49036045.0,49.3,49.3,8.857327573537915e+17,4626622447616.0,0,0.0,0.0,178,0,1336,46,45,1,0,2,0.07,0.034,25.69
CTRL_anycash_k1_b60,COST,16,0.0625,random,0.052,60.0,unreal,10.0,1,rs,0.0,month,0.0,0,0,0.92,entrant,any,cash,rs,1,0.0,7024,19.26,-30.73,0.627,1.117,784,36.2,41.1,39.52,-10.36,10.13,12,70.71,18.0,-30.73,20.55,-28.87,14.38,-23.23,1880,472,63,946,1930,784,221,7864,10.19,0,0.0,0.0,0,5.721792e+06,4.633545e+06,1.088247e+06,2.804,503626.0,0.393,4.226,30.1,48388410.0,48.8,48.8,8.032148907255398e+17,4195588767744.0,0,0.0,0.0,180,0,1343,42,41,1,0,2,0.07,0.031,25.54
CTRL_anycash_k1_b60,COST,16,0.0625,random,0.052,60.0,unreal,10.0,1,rs,0.0,month,0.0,0,0,0.92,entrant,any,cash,rs,1,0.0,7025,18.81,-30.73,0.612,1.091,810,37.4,40.5,39.02,-10.46,9.575,12,70.64,18.0,-30.73,19.62,-30.66,14.81,-23.81,1880,456,63,920,1934,810,234,7832,10.79,0,0.0,0.0,0,5.333431e+06,4.388033e+06,945398.0,2.974,520384.0,0.432,4.291,31.4,44408408.0,51.1,51.1,8.608540390326272e+16,449666514944.0,0,0.0,0.0,189,0,1331,46,45,1,0,2,0.08,0.035,25.86
CTRL_anycash_k1_b60,COST,16,0.0625,random,0.052,60.0,unreal,10.0,1,rs,0.0,month,0.0,0,0,0.92,entrant,any,cash,rs,1,0.0,7026,19.53,-30.73,0.636,1.131,796,36.7,41.1,39.4,-10.37,10.075,12,70.58,18.0,-30.73,21.1,-30.66,16.96,-19.84,1880,465,63,932,1935,796,225,7848,10.38,0,0.0,0.0,0,6.06249e+06,4.821133e+06,1.241356e+06,2.891,513049.0,0.419,4.376,31.0,50973050.0,48.8,48.8,9.638305185189069e+17,5034568843264.0,0,0.0,0.0,181,0,1338,45,44,1,0,2,0.07,0.034,25.44
CTRL_anycash_k1_b60,COST,16,0.0625,random,0.052,60.0,unreal,10.0,1,rs,0.0,month,0.0,0,0,0.92,entrant,any,cash,rs,1,0.0,7027,18.52,-32.03,0.578,1.081,806,37.2,40.2,39.21,-10.47,9.501,16,70.6,18.0,-30.73,19.04,-32.03,15.83,-23.85,1880,442,63,888,1971,806,233,7834,10.74,0,0.0,0.0,0,4.926058e+06,4.051594e+06,874464.0,2.902,512484.0,0.425,4.08,30.8,41910189.0,51.0,51.0,3.458995720500019e+16,180680589312.0,0,0.0,0.0,187,0,1333,47,46,1,0,2,0.08,0.035,25.74
CTRL_anycash_k1_b60,COST,16,0.0625,random,0.052,60.0,unreal,10.0,1,rs,0.0,month,0.0,0,0,0.92,entrant,any,cash,rs,1,0.0,7028,18.62,-31.9,0.584,1.086,803,37.0,40.6,38.88,-10.48,9.556,16,70.64,18.0,-30.73,19.24,-31.9,16.56,-17.09,1880,448,63,900,1962,803,231,7844,10.65,0,0.0,0.0,0,5.105114e+06,3.981965e+06,1.123149e+06,2.894,508022.0,0.43,4.038,30.5,42792475.0,50.5,50.5,5.317592996223386e+16,277763948544.0,0,0.0,0.0,185,0,1336,47,46,1,0,2,0.07,0.035,25.47
