name,cagr,sharpe,sortino,max_drawdown,calmar,profit_factor,total_trades,win_rate,avg_win_pct,avg_loss_pct,final_value,total_return_pct,top3_pnl_pct,top3_symbols,cagr_ex_top3,exit_reason_counts
EMA_8_21_SL5_TP30,8.65,0.21,0.24,33.87,0.26,1.85,3390,30.7,27.4,-6.6,57096265,471.0,5.5,"['RADICO', 'ASTRAL', 'BIRLACORPN']",8.65,"{'SL_5pct': 2320, 'TP_30pct': 755, 'Time_180d': 290, 'End_of_Period': 25}"
EMA_9_21_Trail10,8.39,0.16,0.18,32.95,0.25,2.02,2699,43.2,21.1,-8.0,54261238,442.6,6.5,"['AUROPHARMA', 'MANAPPURAM', 'VSTIND']",8.38,"{'Trail_10pct': 2577, 'Time_252d': 97, 'End_of_Period': 25}"
EMA_9_21_Trail15,8.35,0.15,0.17,46.65,0.18,2.23,1582,45.7,30.1,-11.3,53887192,438.9,9.0,"['CEATLTD', 'SHREECEM', 'ADANIGREEN']",8.11,"{'Trail_15pct': 1299, 'Time_252d': 258, 'End_of_Period': 25}"
EMA_9_21_Trail20,8.84,0.18,0.2,44.98,0.2,2.6,1173,50.0,37.1,-14.3,59226045,492.3,7.3,"['AUROPHARMA', 'ADANIGREEN', 'TTKPRESTIG']",8.65,"{'Trail_20pct': 736, 'Time_252d': 412, 'End_of_Period': 25}"
EMA_9_21_ATH15,7.87,0.13,0.14,45.63,0.17,2.19,1448,43.9,31.7,-11.4,49072379,390.7,8.5,"['TVSMOTOR', 'AUROPHARMA', 'CEATLTD']",7.77,"{'ATH_DD_15pct': 1318, 'Time_365d': 105, 'End_of_Period': 25}"
EMA_9_21_ATH20,8.91,0.18,0.21,45.91,0.19,2.74,1010,46.1,46.0,-14.4,59967986,499.7,13.6,"['TTKPRESTIG', 'AUROPHARMA', 'GARFIBRES']",8.42,"{'ATH_DD_20pct': 780, 'Time_365d': 205, 'End_of_Period': 25}"
EMA_9_21_SL5_TP30,8.4,0.19,0.22,30.35,0.28,1.82,3336,30.2,27.5,-6.6,54337512,443.4,5.1,"['AARTIIND', 'APOLLOHOSP', 'SHREECEM']",8.45,"{'SL_5pct': 2296, 'TP_30pct': 720, 'Time_180d': 295, 'End_of_Period': 25}"
EMA_10_30_Trail10,8.31,0.15,0.17,30.44,0.27,2.01,2635,42.7,21.5,-8.0,53469714,434.7,7.4,"['AUROPHARMA', 'BRITANNIA', 'TVSMOTOR']",8.25,"{'Trail_10pct': 2525, 'Time_252d': 85, 'End_of_Period': 25}"
EMA_10_30_Trail15,8.55,0.16,0.18,37.43,0.23,2.32,1569,45.5,31.0,-11.1,56009310,460.1,7.0,"['AUROPHARMA', 'MPHASIS', 'BRITANNIA']",8.4,"{'Trail_15pct': 1291, 'Time_252d': 253, 'End_of_Period': 25}"
EMA_10_30_Trail20,8.35,0.15,0.17,34.98,0.24,2.56,1134,51.2,33.7,-13.8,53821733,438.2,9.7,"['MPHASIS', 'RAIN', 'ZENSARTECH']",8.05,"{'Trail_20pct': 687, 'Time_252d': 422, 'End_of_Period': 25}"
EMA_10_30_ATH15,8.75,0.17,0.19,36.04,0.24,2.52,1415,44.7,35.0,-11.2,58194061,481.9,10.0,"['AUROPHARMA', 'HEG', 'EICHERMOT']",8.51,"{'ATH_DD_15pct': 1278, 'Time_365d': 112, 'End_of_Period': 25}"
EMA_10_30_ATH20,9.05,0.19,0.21,36.4,0.25,3.02,964,49.0,44.8,-14.2,61668419,516.7,7.7,"['MPHASIS', 'RATNAMANI', 'MRPL']",8.88,"{'ATH_DD_20pct': 724, 'Time_365d': 215, 'End_of_Period': 25}"
EMA_10_30_SL5_TP30,8.46,0.2,0.24,28.78,0.29,1.84,3324,30.1,27.8,-6.5,55034973,450.4,5.1,"['BRITANNIA', 'BEL', 'JINDALSAW']",8.51,"{'SL_5pct': 2301, 'TP_30pct': 734, 'Time_180d': 264, 'End_of_Period': 25}"
EMA_13_34_Trail10,8.28,0.15,0.17,27.47,0.3,2.06,2592,43.1,21.0,-7.7,53105946,431.1,6.5,"['AUROPHARMA', 'AARTIIND', 'TVSMOTOR']",8.24,"{'Trail_10pct': 2477, 'Time_252d': 90, 'End_of_Period': 25}"
EMA_13_34_Trail15,8.49,0.16,0.18,34.41,0.25,2.42,1501,47.6,29.6,-11.1,55305441,453.0,9.9,"['HEG', 'CHOLAFIN', 'NBCC']",8.21,"{'Trail_15pct': 1226, 'Time_252d': 250, 'End_of_Period': 25}"
EMA_13_34_Trail20,8.68,0.17,0.19,35.51,0.24,2.78,1118,53.1,34.0,-13.8,57395872,474.0,10.0,"['MPHASIS', 'GRAPHITE', 'SONATSOFTW']",8.39,"{'Trail_20pct': 679, 'Time_252d': 414, 'End_of_Period': 25}"
EMA_13_34_ATH15,8.69,0.17,0.19,33.28,0.26,2.59,1368,46.4,33.6,-11.2,57516924,475.2,10.1,"['HEG', 'CHOLAFIN', 'NBCC']",8.44,"{'ATH_DD_15pct': 1226, 'Time_365d': 117, 'End_of_Period': 25}"
EMA_13_34_ATH20,9.03,0.19,0.21,35.57,0.25,3.1,947,50.5,43.6,-14.3,61402023,514.0,9.3,"['NBCC', 'SYMPHONY', 'MPHASIS']",8.79,"{'ATH_DD_20pct': 707, 'Time_365d': 215, 'End_of_Period': 25}"
