symbol,cohort,best_timeframe,best_variant,best_direction,best_exit_policy,best_n,best_mean_pct,best_wr,best_sharpe,best_payoff,n_high_quality_cells,n_mid_quality_cells,long_best_sharpe,long_best_n,short_best_sharpe,short_best_n,tf5_best_sharpe,tf10_best_sharpe,tf15_best_sharpe
ULTRACEMCO,B,5min,s_vm1.5_gapoff_norsi,short,T_R_TARGET_1.0R,11,0.27759999999999996,72.73,0.399,2.08,0,1,0.05934,23,0.399,11,0.399,0.23316,0.19947
ICICIBANK,A,15min,s_vm2.0_gap0.005_rsi40_60,short,T_R_TARGET_1.0R,17,0.6338,64.71,0.39343,2.461,0,8,0.28007,26,0.39343,17,0.15575,0.18784,0.39343
HINDZINC,B,5min,s_vm1.5_gap0.000_norsi,short,T_R_TARGET_1.0R,11,0.6147,72.73,0.38971,1.79,0,14,0.27151,15,0.38971,11,0.38971,0.29731,0.31569
ONGC,B,15min,s_vm3.0_gap0.000_norsi,short,T_NO,11,0.6339,72.73,0.38025,1.378,0,24,0.13724,10,0.38025,11,0.27613,0.30842,0.38025
NATIONALUM,B,5min,s_vm1.5_gap0.000_norsi,short,T_ATR_SL_0.3,10,2.3767,70.0,0.37413,3.436,0,12,0.2549,13,0.37413,10,0.37413,0.2549,0.13838
CANBK,B,5min,l_vm1.5_gap0.005_norsi,long,T_ATR_SL_0.5,19,0.7607,68.42,0.37385,1.764,0,12,0.37385,19,0.33689,17,0.37385,0.33689,0.32958
ABBOTINDIA,B,5min,s_vm2.0_gapoff_rsi40_60,short,T_R_TARGET_1.0R,12,0.43620000000000003,66.67,0.36277,1.591,0,10,0.3444,11,0.36277,12,0.36277,0.3444,0.14603
POWERGRID,B,10min,l_vm2.0_gapoff_norsi,long,T_R_TARGET_1.5R,10,0.4003,70.0,0.35913,1.455,0,12,0.35913,10,0.22399,12,0.32156,0.35913,0.14282
DLF,B,5min,s_vm2.0_gap0.000_norsi,short,T_ATR_SL_1.0,14,0.7572,78.57,0.35572,0.835,0,9,0.30483,13,0.35572,14,0.35572,0.30483,0.17671
HINDUNILVR,A,5min,s_vm3.0_gapoff_norsi,short,T_ATR_SL_1.0,24,0.5826,75.0,0.35235,1.186,0,10,0.21297,22,0.35235,24,0.35235,0.20064,0.21297
KOTAKBANK,A,10min,l_vm3.0_gap0.003_norsi,long,T_CHANDELIER_1.0,22,0.8189,63.64,0.33605,2.689,0,26,0.33605,22,0.26629,25,0.26629,0.33605,0.27769
BAJAJFINSV,B,15min,l_vm2.0_gap0.003_norsi,long,T_ATR_SL_0.3,10,1.1162,60.0,0.33295,4.109,0,2,0.33295,10,0.26119,11,0.26119,0.23137,0.33295
ASHOKLEY,B,15min,l_vm3.0_gap0.005_norsi,long,T_NO,10,0.6384,70.0,0.32723,1.202,0,15,0.32723,10,0.11706,10,0.26585,0.32557,0.32723
ADANIPORTS,B,10min,s_vm1.5_gap0.000_norsi,short,T_R_TARGET_1.5R,12,1.4073,66.67,0.32546,4.314,0,3,0.065,10,0.32546,12,0.04382,0.32546,0.27015
APLLTD,B,5min,l_vm1.5_gap0.005_norsi,long,T_R_TARGET_2.0R,13,1.1207,61.54,0.3205,1.919,0,2,0.3205,13,0.0,0,0.3205,0.15778,0.28523
AUBANK,B,15min,l_vm2.0_gap0.000_rsi40_60,long,T_R_TARGET_1.0R,14,0.6639,64.29,0.31745,1.905,0,4,0.31745,14,-0.0,12,0.13102,0.27979,0.31745
ITC,A,15min,s_vm2.0_gap0.003_rsi40_60,short,T_R_TARGET_2.0R,17,1.0873000000000002,58.82,0.31367,3.753,0,1,0.02055,26,0.31367,17,0.12165,0.18707,0.31367
BHEL,B,15min,s_vm1.5_gap0.003_norsi,short,T_NO,10,0.6737,80.0,0.3104,0.597,0,10,0.3094,14,0.3104,10,-0.0,0.24982,0.3104
LUPIN,B,10min,l_vm3.0_gapoff_norsi,long,T_NO,11,0.7058,72.73,0.30957,1.305,0,4,0.30957,11,0.18514,10,0.13694,0.30957,0.18514
CHENNPETRO,B,5min,s_vm1.5_gapoff_norsi,short,T_R_TARGET_1.5R,10,1.3228,70.0,0.30747,1.323,0,4,0.12637,13,0.30747,10,0.30747,0.22852,0.16193
BEL,B,15min,s_vm1.5_gap0.000_norsi,short,T_R_TARGET_1.0R,11,1.0388,72.73,0.30249,2.157,0,1,0.00734,16,0.30249,11,0.16942,0.15378,0.30249
FEDERALBNK,B,15min,l_vm1.5_gap0.005_rsi40_60,long,T_NO,14,0.722,57.14,0.29691,3.325,0,0,0.29691,14,0.12274,12,0.26158,0.2361,0.29691
TRENT,B,10min,s_vm2.0_gap0.000_norsi,short,T_CHANDELIER_1.0,11,0.6322,63.64,0.29619,1.622,0,0,0.12773,13,0.29619,11,0.14971,0.29619,0.29091
PFC,B,10min,l_vm2.0_gap0.003_rsi40_60,long,T_NO,15,1.0074,66.67,0.29609,1.731,0,0,0.29609,15,0.24075,15,0.26973,0.29609,0.24075
MUTHOOTFIN,B,10min,s_vm2.0_gapoff_norsi,short,T_R_TARGET_1.0R,13,0.8051,53.85,0.29458,3.851,0,0,0.17248,17,0.29458,13,0.28411,0.29458,0.24626
POLYCAB,B,10min,l_vm1.5_gapoff_rsi40_60,long,T_NO,21,0.8193,61.9,0.2878,1.93,0,0,0.2878,21,0.19688,12,0.18873,0.2878,0.21168
VBL,B,5min,l_vm2.0_gap0.000_norsi,long,T_R_TARGET_1.0R,10,0.501,80.0,0.28412,0.562,0,0,0.28412,10,0.24737,24,0.28412,0.18389,0.24737
SBIN,A,15min,l_vm3.0_gap0.000_norsi,long,T_R_TARGET_1.0R,21,0.571,57.14,0.28366,2.418,0,0,0.28366,21,0.21563,12,0.11404,0.18263,0.28366
REDINGTON,B,15min,s_vm1.5_gap0.005_norsi,short,T_R_TARGET_1.0R,15,0.49810000000000004,66.67,0.28234,1.389,0,0,0.18602,11,0.28234,15,0.13823,0.11076,0.28234
PNB,B,15min,s_vm1.5_gapoff_rsi40_60,short,T_R_TARGET_1.0R,16,0.9395,68.75,0.27544,1.52,0,0,0.26772,11,0.27544,16,0.20933,0.2348,0.27544
IDFCFIRSTB,B,5min,l_vm1.5_gapoff_rsi40_60,long,T_R_TARGET_1.0R,17,0.3892,64.71,0.27263,1.627,0,0,0.27263,17,0.21652,15,0.27263,0.19193,0.20792
CUMMINSIND,B,15min,l_vm1.5_gap0.003_rsi40_60,long,T_R_TARGET_1.5R,11,0.48960000000000004,72.73,0.26842,0.875,0,0,0.26842,11,0.22965,23,0.08825,0.22965,0.26842
TITAN,B,10min,l_vm1.5_gap0.003_norsi,long,T_R_TARGET_1.0R,17,0.2833,76.47,0.26365,0.727,0,0,0.26365,17,0.16549,12,0.16549,0.26365,0.09402
ABCAPITAL,B,15min,s_vm1.5_gapoff_rsi40_60,short,T_R_TARGET_1.0R,10,0.42700000000000005,70.0,0.26127,0.993,0,0,0.0591,10,0.26127,10,-0.0,0.01447,0.26127
ADANIENT,B,15min,s_vm2.0_gap0.000_rsi40_60,short,T_R_TARGET_2.0R,13,1.5168,61.54,0.26079,3.974,0,0,0.0,0,0.26079,13,0.09748,0.17873,0.26079
FORTIS,B,15min,s_vm2.0_gapoff_norsi,short,T_R_TARGET_1.5R,11,0.4709,54.55,0.26003,2.746,0,0,0.16449,14,0.26003,11,0.08393,0.19793,0.26003
ADANIPOWER,B,10min,s_vm1.5_gap0.000_norsi,short,T_R_TARGET_1.0R,10,1.0859,70.0,0.25546,1.668,0,0,0.14719,20,0.25546,10,0.14472,0.25546,0.23455
AXISBANK,B,15min,l_vm3.0_gap0.000_rsi40_60,long,T_ATR_SL_0.3,11,0.48009999999999997,54.55,0.25061,3.103,0,0,0.25061,11,0.19518,12,0.23531,0.20832,0.25061
HCLTECH,B,10min,s_vm2.0_gapoff_norsi,short,T_R_TARGET_1.5R,10,0.3885,70.0,0.2486,1.024,0,0,0.02742,17,0.2486,10,0.09886,0.2486,0.11423
SUNPHARMA,B,10min,l_vm1.5_gap0.003_norsi,long,T_CHANDELIER_1.0,14,0.33,64.29,0.23394,1.263,0,0,0.23394,14,0.05606,16,0.05606,0.23394,0.1955
AMBUJACEM,B,5min,s_vm2.0_gap0.000_norsi,short,T_R_TARGET_1.0R,10,0.7804,50.0,0.23244,5.627,0,0,0.01631,11,0.23244,10,0.23244,0.04335,0.12057
TCS,A,15min,s_vm1.5_gap0.003_norsi,short,T_R_TARGET_1.5R,38,0.3375,65.79,0.2204,1.258,0,0,0.19015,18,0.2204,38,0.10508,0.18968,0.2204
ABFRL,B,10min,l_vm2.0_gap0.000_norsi,long,T_R_TARGET_1.0R,10,0.2893,80.0,0.21846,0.479,0,0,0.21846,10,0.18722,14,0.16795,0.21846,0.18722
BHARTIARTL,A,5min,s_vm3.0_gap0.000_norsi,short,T_NO,24,0.5864,62.5,0.216,1.644,0,0,0.12607,26,0.216,24,0.216,0.11154,0.20504
M&M,B,5min,s_vm1.5_gapoff_rsi40_60,short,T_R_TARGET_1.0R,15,0.455,53.33,0.21359,2.389,0,0,0.07482,14,0.21359,15,0.21359,0.19327,0.06432
AIAENG,B,10min,l_vm2.0_gap0.005_norsi,long,T_R_TARGET_1.0R,10,0.3041,70.0,0.21261,0.835,0,0,0.21261,10,0.18616,11,0.18616,0.21261,0.06363
SBILIFE,B,5min,s_vm2.0_gapoff_norsi,short,T_NO,11,0.5279,54.55,0.21091,2.799,0,0,0.02259,25,0.21091,11,0.21091,0.02541,0.02184
INFY,A,5min,l_vm3.0_gap0.003_rsi40_60,long,T_ATR_SL_0.3,29,0.5315000000000001,51.72,0.20771,2.565,0,0,0.20771,29,0.03902,67,0.20771,0.15397,0.16552
RECLTD,B,15min,s_vm1.5_gapoff_rsi40_60,short,T_R_TARGET_1.0R,14,1.1462999999999999,50.0,0.20527,3.537,0,0,0.17014,18,0.20527,14,0.12975,0.20223,0.20527
BANKBARODA,B,15min,s_vm2.0_gapoff_norsi,short,T_R_TARGET_1.0R,11,0.7442,54.55,0.19971,2.528,0,0,0.05566,22,0.19971,11,0.0677,0.05566,0.19971
CDSL,B,5min,l_vm1.5_gap0.003_norsi,long,T_ATR_SL_0.5,17,1.4241,52.94,0.19896,2.588,0,0,0.19896,17,0.16488,21,0.19896,0.16488,0.10336
BSE,B,15min,s_vm1.5_gapoff_rsi40_60,short,T_R_TARGET_1.5R,12,0.8388,66.67,0.19893,1.11,0,0,0.15404,15,0.19893,12,0.12991,0.15404,0.19893
TVSMOTOR,B,10min,s_vm1.5_gap0.000_norsi,short,T_R_TARGET_1.0R,16,0.3646,56.25,0.19455,1.716,0,0,0.03345,12,0.19455,16,0.02231,0.19455,0.06515
INDUSINDBK,B,10min,l_vm1.5_gapoff_norsi,long,T_ATR_SL_0.3,23,0.5027,52.17,0.18979,2.41,0,0,0.18979,23,0.17512,16,0.17512,0.18979,0.11369
CIPLA,B,15min,s_vm1.5_gap0.005_norsi,short,T_R_TARGET_1.0R,19,0.1929,63.16,0.18388,1.116,0,0,0.13974,10,0.18388,19,0.13974,0.0904,0.18388
TECHM,B,5min,l_vm2.0_gapoff_rsi40_60,long,T_CHANDELIER_1.0,16,0.5301,56.25,0.18359,1.584,0,0,0.18359,16,0.03109,10,0.18359,0.17077,0.05302
NTPC,B,15min,s_vm1.5_gapoff_norsi,short,T_R_TARGET_1.0R,11,0.7907000000000001,54.55,0.18055,2.782,0,0,0.15538,12,0.18055,11,0.13158,0.16641,0.18055
HDFCLIFE,B,10min,s_vm1.5_gap0.005_norsi,short,T_NO,12,0.2886,66.67,0.17381,0.912,0,0,0.05298,16,0.17381,12,0.05298,0.17381,0.15925
DIVISLAB,B,10min,l_vm1.5_gap0.005_norsi,long,T_CHANDELIER_1.0,14,0.3869,64.29,0.17336,1.133,0,0,0.17336,14,0.01932,10,0.13791,0.17336,0.16348
HINDPETRO,B,15min,l_vm3.0_gap0.000_norsi,long,T_R_TARGET_1.0R,10,0.3895,60.0,0.17176,1.309,0,0,0.17176,10,0.12593,12,0.01082,0.04693,0.17176
HDFCBANK,A,15min,s_vm2.0_gapoff_norsi,short,T_R_TARGET_1.0R,46,0.25,69.57,0.16812,0.892,0,0,0.13022,15,0.16812,46,0.09529,0.15424,0.16812
TATAPOWER,B,10min,l_vm1.5_gap0.005_norsi,long,T_R_TARGET_1.0R,14,0.211,64.29,0.16797,1.008,0,0,0.16797,14,0.10549,15,0.15225,0.16797,0.0687
AAVAS,B,10min,l_vm2.0_gap0.005_norsi,long,T_CHANDELIER_2.0,15,0.6575,53.33,0.16727,1.864,0,0,0.16727,15,-0.02955,10,0.13708,0.16727,0.12952
BDL,B,15min,l_vm1.5_gap0.000_norsi,long,T_ATR_SL_0.3,20,0.7291,50.0,0.14483,2.15,0,0,0.14483,20,0.13465,18,0.09575,0.13465,0.14483
ASAHIINDIA,B,15min,s_vm1.5_gap0.003_norsi,short,T_R_TARGET_1.5R,13,0.5,53.85,0.14278,1.6,0,0,0.14101,12,0.14278,13,-0.05916,0.10284,0.14278
ADVENZYMES,B,10min,s_vm1.5_gapoff_norsi,short,T_NO,10,0.5637,50.0,0.14175,2.174,0,0,0.13809,10,0.14175,10,0.13634,0.14175,0.13809
HINDALCO,B,15min,s_vm1.5_gap0.003_norsi,short,T_R_TARGET_1.0R,11,0.34090000000000004,63.64,0.13938,0.982,0,0,0.09735,30,0.13938,11,0.11004,0.07609,0.13938
AMBER,B,5min,l_vm1.5_gap0.003_norsi,long,T_R_TARGET_1.0R,14,0.4334,64.29,0.13837,0.928,0,0,0.13837,14,0.13439,13,0.13837,0.10603,0.10372
TATASTEEL,B,5min,l_vm3.0_gap0.000_rsi40_60,long,T_ATR_SL_0.3,11,0.4829,45.45,0.13741,2.832,0,0,0.13741,11,0.0212,17,0.13741,0.11771,0.06528
DRREDDY,B,5min,l_vm3.0_gapoff_norsi,long,T_NO,10,0.35409999999999997,50.0,0.13166,2.07,0,0,0.13166,10,-0.00855,16,0.13166,0.11847,0.11346
BRITANNIA,B,15min,s_vm2.0_gapoff_norsi,short,T_ATR_SL_0.3,12,0.6295000000000001,41.67,0.12687,4.078,0,0,0.06503,10,0.12687,12,0.0621,0.08296,0.12687
GMDCLTD,B,10min,l_vm2.0_gap0.000_norsi,long,T_R_TARGET_1.0R,10,0.2559,60.0,0.12628,1.045,0,0,0.12628,10,0.12303,10,0.11191,0.12628,0.12078
HEROMOTOCO,B,10min,s_vm1.5_gapoff_rsi40_60,short,T_R_TARGET_1.0R,11,0.271,63.64,0.12394,0.919,0,0,0.02495,23,0.12394,11,0.00925,0.12394,0.01753
APLAPOLLO,B,15min,l_vm3.0_gapoff_norsi,long,T_ATR_SL_0.3,10,0.40299999999999997,50.0,0.11983,2.016,0,0,0.11983,10,0.0,0,0.07012,-0.03839,0.11983
GODREJCP,B,10min,s_vm1.5_gap0.005_rsi40_60,short,T_R_TARGET_1.0R,11,0.2457,45.45,0.11778,2.235,0,0,0.10735,11,0.11778,11,0.10655,0.11778,0.07848
APOLLOHOSP,B,10min,s_vm1.5_gap0.005_norsi,short,T_ATR_SL_0.3,15,0.1838,53.33,0.11431,1.464,0,0,0.06193,10,0.11431,15,0.06193,0.11431,-0.02353
INDIGO,B,10min,s_vm3.0_gap0.005_rsi40_60,short,T_CHANDELIER_1.0,15,0.3221,60.0,0.11344,1.039,0,0,0.06887,17,0.11344,15,0.07296,0.11344,0.11075
APOLLOTYRE,B,10min,s_vm1.5_gap0.000_rsi40_60,short,T_R_TARGET_1.0R,14,0.23570000000000002,57.14,0.11182,1.161,0,0,-0.0,18,0.11182,14,0.0289,0.11182,0.02363
ASTERDM,B,5min,l_vm3.0_gap0.000_norsi,long,T_ATR_SL_0.5,11,0.603,45.45,0.11022,2.162,0,0,0.11022,11,-0.01108,12,0.11022,0.02187,0.0097
HINDCOPPER,B,15min,l_vm2.0_gap0.003_norsi,long,T_ATR_SL_0.5,30,0.6757,43.33,0.09835,2.316,0,0,0.09835,30,0.0,0,0.07297,0.08162,0.09835
AKZOINDIA,B,5min,s_vm1.5_gapoff_norsi,short,T_R_TARGET_1.0R,10,0.16620000000000001,40.0,0.09576,2.961,0,0,0.0,0,0.09576,10,0.09576,0.0,0.0
SUZLON,B,15min,s_vm1.5_gap0.000_rsi40_60,short,T_ATR_SL_1.0,11,0.5117,45.45,0.08997,1.99,0,0,0.05123,13,0.08997,11,0.06501,0.03615,0.08997
AFFLE,B,5min,s_vm2.0_gapoff_norsi,short,T_R_TARGET_1.0R,10,0.1646,50.0,0.07408,1.459,0,0,-0.0,11,0.07408,10,0.07408,0.02924,-0.0
MCX,B,10min,s_vm2.0_gap0.000_rsi40_60,short,T_R_TARGET_2.0R,12,0.5687,50.0,0.06958,1.521,0,0,0.0,0,0.06958,12,0.04644,0.06958,-0.02653
PAYTM,B,10min,l_vm1.5_gapoff_norsi,long,T_R_TARGET_1.0R,16,0.10250000000000001,56.25,0.03171,0.892,0,0,0.03171,16,0.01128,13,0.01128,0.03171,-0.0
ALKEM,B,5min,l_vm3.0_gap0.000_norsi,long,T_R_TARGET_1.0R,10,0.053899999999999997,40.0,0.03102,1.801,0,0,0.03102,10,0.0,0,0.03102,-0.02496,0.00244
JSWSTEEL,B,15min,l_vm3.0_gap0.000_norsi,long,T_ATR_SL_0.3,13,0.056999999999999995,30.77,0.01449,2.531,0,0,0.01449,13,-0.00594,10,-0.0,0.01171,0.01449
AJANTPHARM,B,15min,l_vm2.0_gap0.000_rsi40_60,long,T_ATR_SL_0.3,15,-0.8924,0.0,-0.0,0.0,0,0,-0.0,15,0.0,0,-0.01949,-0.0382,-0.0
COALINDIA,B,5min,l_vm2.0_gap0.000_norsi,long,T_HARD_SL,10,-0.6477,0.0,-0.0,0.0,0,0,-0.0,10,0.0,0,-0.0,-0.05974,-0.07797
