symbol,date,pct_move,prev_close,close
LANDSMILL,2020-06-25,-50.0,0.1,0.05
LANDSMILL,2020-09-15,-50.0,0.1,0.05
LANDSMILL,2020-09-21,-50.0,0.1,0.05
LANDSMILL,2020-10-06,-50.0,0.1,0.05
LANDSMILL,2020-10-16,-50.0,0.1,0.05
LANDSMILL,2021-02-02,-94.0,2.5,0.15
LANDSMILL,2021-10-12,-93.8,3.2,0.2
LANDSMILL,2022-03-29,-93.7,7.15,0.45
LANDSMILL,2022-06-21,-93.5,5.35,0.35
LATTEYS,2018-06-20,-78.8,25.0,5.3
LEMERITE,2026-05-18,-80.4,470.05,92.25
MASTEK,2015-06-12,-66.0,438.05,148.94
MAWANASUG,2009-03-20,-44.3,27.02,15.05
MCL,2018-09-05,-65.0,112.5,39.35
MCL,2019-05-02,-47.6,79.75,41.75
MFSL,2007-03-12,-79.5,449.9,92.4
MIRZAINT,2023-03-29,-76.6,148.0,34.65
MOM30IETF,2022-08-12,-89.9,186.62,18.89
MPSLTD,2008-11-19,-43.0,7.1,4.05
MPSLTD,2008-11-21,-86.2,2.9,0.4
MPSLTD,2008-11-26,-96.7,1.5,0.05
MPSLTD,2009-02-05,-90.9,3.3,0.3
MPSLTD,2009-02-11,-49.1,2.75,1.4
MPSLTD,2009-02-26,-52.3,7.55,3.6
MPSLTD,2009-03-19,-79.2,2.4,0.5
MPSLTD,2010-11-26,-87.5,2.8,0.35
MPSLTD,2010-12-03,-67.0,4.7,1.55
MPSLTD,2010-12-21,-50.9,2.65,1.3
MPSLTD,2010-12-31,-88.5,1.3,0.15
MPSLTD,2011-07-14,-76.9,0.65,0.15
MPSLTD,2012-02-16,-43.4,3.8,2.15
MPSLTD,2012-02-17,-41.9,2.15,1.25
MPSLTD,2012-02-23,-56.1,2.85,1.25
MPSLTD,2012-02-28,-85.7,2.1,0.3
MPSLTD,2012-05-30,-77.4,1.55,0.35
MPSLTD,2012-06-08,-49.0,2.55,1.3
MUNJALAU,2006-07-20,-47.6,25.06,13.12
MWL,2026-05-18,-89.7,355.1,36.55
NAGREEKEXP,2007-06-18,-43.0,56.35,32.1
NAHARSPING,2007-03-23,-45.4,272.85,149.05
NARMADA,2026-05-18,-51.0,35.61,17.46
NBIFIN,2017-05-30,-51.5,3691.35,1790.33
NIFTYMIDSML400,2015-11-16,-56.4,4281.6,1865.75
NIITLTD,2023-06-08,-44.4,173.95,96.75
ONELIFECAP-BE,2019-02-21,-40.9,16.9,9.98
ORIENTPPR,2018-01-11,-49.9,104.45,52.3
PANACHE-BE,2019-07-18,-50.2,103.0,51.25
PANSARI,2017-03-27,-52.9,20.5,9.65
PARASPETRO,2017-01-31,-50.0,0.1,0.05
POCL,2026-05-18,-60.2,1544.8,615.0
PRAKASHSTL,2018-06-18,-50.0,0.1,0.05
PTL,2017-03-27,-62.8,71.45,26.55
PURVA,2008-10-24,-45.5,87.5,47.7
RAYMOND,2025-05-14,-42.2,953.0,551.2
RMDRIP,2026-02-18,-41.1,117.32,69.14
ROSSELLIND,2024-09-20,-72.5,621.65,170.85
SEJALLTD,2021-12-13,-98.6,1010.44,13.65
SHANKARA,2025-09-24,-75.5,990.5,242.25
SHEKHAWATI,2014-02-03,-40.3,3.85,2.3
SILINV,2006-06-12,-60.6,226.85,89.45
SOUTHWEST,2019-04-04,-46.3,57.2,30.7
SPCENET,2017-01-10,-63.0,1.35,0.5
SPLPETRO,2022-06-07,-49.1,850.95,433.1
STAR,2024-12-06,-48.6,1326.9,682.55
SUMMITSEC,2006-02-07,-83.5,361.15,59.7
SURANAT&P,2010-08-17,-56.5,9.6,4.18
SUVEN,2020-01-21,-94.7,277.7,14.7
TATACHEM,2020-03-04,-56.2,719.65,314.95
TATAMOTORS,2025-10-14,-40.2,660.75,395.45
TCC,2026-08-27,-80.3,235.15,46.35
TCI,2016-08-26,-47.0,368.0,195.15
TEMBO,2026-05-18,-90.2,576.1,56.2
THOMASCOOK,2019-12-05,-43.1,116.7,66.45
TNTELE,2019-02-21,-46.0,2.5,1.35
TRIVENI,2026-07-22,-41.6,471.5,275.5
TVSHLTD,2008-06-20,-57.2,182.4,78.1
UNITECH,2008-10-24,-49.7,61.6,31.0
UNITECH,2019-02-21,-40.5,2.1,1.25
UNITEDPOLY,2019-02-22,-52.9,1.38,0.65
VCL-BE,2022-06-21,-52.7,15.55,7.35
VEDL,2005-01-11,-42.1,0.95,0.55
VEDL,2005-01-13,-54.5,0.55,0.25
WEIZMANIND,2020-03-16,-40.0,23.35,14.0
YESBANK,2020-03-06,-56.1,36.8,16.15
ZFCVINDIA,2026-05-18,-83.5,14516.0,2393.0
