variant,symbol,entry_date,exit_date,entry_price,exit_price,qty,days_held,exit_reason,gross_pnl,net_pnl
baseline_50_2x_200_d10,TCS,2023-09-13,2023-09-28,3571.10,3528.00,39,15,DONCH_10_LOW,-1680.90,-1957.76
baseline_50_2x_200_d10,TRIDENT,2023-08-22,2023-10-03,36.40,37.35,3694,42,DONCH_10_LOW,3509.30,3236.87
baseline_50_2x_200_d10,NIACL,2023-09-18,2023-10-04,143.05,136.25,998,16,DONCH_10_LOW,-6786.40,-7065.14
baseline_50_2x_200_d10,KNRCON,2023-08-23,2023-10-16,273.00,277.00,501,54,DONCH_10_LOW,2004.00,1728.45
baseline_50_2x_200_d10,BAYERCROP,2023-09-06,2023-10-17,5272.00,5225.55,26,41,DONCH_10_LOW,-1207.70,-1480.64
baseline_50_2x_200_d10,LT,2023-09-13,2023-10-19,2943.50,3032.55,48,36,DONCH_10_LOW,4274.40,3987.55
baseline_50_2x_200_d10,MRPL,2023-10-18,2023-10-20,114.50,105.34,1243,2,INITIAL_STOP,-11385.88,-11659.14
baseline_50_2x_200_d10,RVNL,2023-09-05,2023-10-23,158.00,160.25,877,48,DONCH_10_LOW,1973.25,1694.14
baseline_50_2x_200_d10,STAR,2023-09-18,2023-10-23,440.45,438.55,324,35,DONCH_10_LOW,-615.60,-900.40
baseline_50_2x_200_d10,EDELWEISS,2023-10-05,2023-10-23,66.90,61.55,2127,18,INITIAL_STOP,-11383.70,-11656.91
baseline_50_2x_200_d10,GSFC,2023-10-17,2023-10-23,202.60,188.88,703,6,INITIAL_STOP,-9644.32,-9919.53
baseline_50_2x_200_d10,PNBHOUSING,2023-10-04,2023-10-25,738.05,699.25,193,21,DONCH_10_LOW,-7488.40,-7765.80
baseline_50_2x_200_d10,SUNDARMFIN,2023-09-13,2023-10-26,2756.75,3077.00,51,43,DONCH_10_LOW,16332.75,16035.23
baseline_50_2x_200_d10,BAJAJ-AUTO,2023-10-20,2023-10-26,5315.50,5108.07,26,6,INITIAL_STOP,-5393.11,-5664.12
baseline_50_2x_200_d10,BSE,2023-10-25,2023-10-26,583.50,536.82,239,1,INITIAL_STOP,-11156.52,-11424.28
baseline_50_2x_200_d10,GMDCLTD,2023-08-29,2023-11-02,252.00,343.00,544,65,DONCH_10_LOW,49504.00,49180.32
baseline_50_2x_200_d10,CREDITACC,2023-10-25,2023-11-17,1514.40,1640.00,92,23,DONCH_10_LOW,11555.20,11265.00
baseline_50_2x_200_d10,SOLARINDS,2023-11-20,2023-11-21,7500.00,6900.00,19,1,INITIAL_STOP,-11400.00,-11673.60
baseline_50_2x_200_d10,JINDALSAW,2023-10-31,2023-11-22,211.00,228.90,656,22,DONCH_10_LOW,11742.40,11453.83
baseline_50_2x_200_d10,NESTLEIND,2023-10-23,2023-11-28,1215.00,1200.40,116,36,DONCH_10_LOW,-1693.60,-1973.79
baseline_50_2x_200_d10,SONATSOFTW,2023-10-30,2023-11-28,595.00,625.60,232,29,DONCH_10_LOW,7099.20,6816.02
baseline_50_2x_200_d10,ADANIGREEN,2023-11-29,2023-11-30,1089.65,1010.97,133,1,INITIAL_STOP,-10464.11,-10743.49
baseline_50_2x_200_d10,PERSISTENT,2023-10-30,2023-12-05,3068.70,3138.00,45,36,DONCH_10_LOW,3118.50,2839.20
baseline_50_2x_200_d10,KPRMILL,2023-11-23,2023-12-07,881.50,834.45,164,14,DONCH_10_LOW,-7716.20,-7997.62
baseline_50_2x_200_d10,ADANIENT,2023-12-06,2023-12-08,3080.00,2833.60,46,2,INITIAL_STOP,-11334.40,-11606.43
baseline_50_2x_200_d10,IPCALAB,2023-10-25,2023-12-12,998.00,1092.05,139,48,DONCH_10_LOW,13072.95,12782.43
baseline_50_2x_200_d10,NIACL,2023-11-29,2023-12-15,228.00,224.40,636,16,DONCH_10_LOW,-2289.60,-2577.33
baseline_50_2x_200_d10,MCX,2023-09-29,2023-12-20,1970.00,3161.00,72,82,DONCH_10_LOW,85752.00,85382.57
baseline_50_2x_200_d10,CDSL,2023-11-01,2023-12-20,733.05,915.55,189,49,DONCH_10_LOW,34492.50,34180.91
baseline_50_2x_200_d10,OBEROIRLTY,2023-11-03,2023-12-20,1211.90,1405.00,118,47,DONCH_10_LOW,22785.80,22477.01
baseline_50_2x_200_d10,ZENSARTECH,2023-12-18,2023-12-20,596.95,553.54,240,2,INITIAL_STOP,-10418.91,-10695.03
baseline_50_2x_200_d10,HAL,2023-12-01,2023-12-21,2495.00,2651.00,57,20,DONCH_10_LOW,8892.00,8598.68
baseline_50_2x_200_d10,BSOFT,2023-11-02,2024-01-02,579.25,692.95,239,61,DONCH_10_LOW,27174.30,26870.24
baseline_50_2x_200_d10,BASF,2023-11-22,2024-01-08,3055.25,3003.95,46,47,DONCH_10_LOW,-2359.80,-2638.52
baseline_50_2x_200_d10,OIL,2023-12-21,2024-01-10,242.00,246.65,646,20,DONCH_10_LOW,3003.90,2688.23
baseline_50_2x_200_d10,TRIDENT,2024-01-09,2024-01-10,51.40,47.53,3108,1,INITIAL_STOP,-12028.53,-12336.01
baseline_50_2x_200_d10,HINDCOPPER,2023-12-22,2024-01-12,218.00,263.00,721,21,DONCH_10_LOW,32445.00,32098.20
baseline_50_2x_200_d10,GODREJCP,2023-12-22,2024-01-16,1076.15,1130.30,146,25,DONCH_10_LOW,7905.90,7583.76
baseline_50_2x_200_d10,ASTRAZEN,2024-01-11,2024-01-16,6629.75,6102.75,23,5,INITIAL_STOP,-12121.06,-12413.91
baseline_50_2x_200_d10,VBL,2023-12-21,2024-01-18,498.00,492.05,314,28,DONCH_10_LOW,-1868.30,-2179.18
baseline_50_2x_200_d10,FSL,2024-01-15,2024-01-18,210.60,196.05,769,3,INITIAL_STOP,-11185.93,-11498.65
baseline_50_2x_200_d10,CGCL,2024-01-17,2024-01-25,252.75,232.53,639,8,INITIAL_STOP,-12920.58,-13230.67
baseline_50_2x_200_d10,PNBHOUSING,2024-01-17,2024-01-30,839.00,779.98,192,13,INITIAL_STOP,-11330.97,-11641.82
baseline_50_2x_200_d10,VOLTAS,2023-12-21,2024-01-31,927.55,992.50,168,41,DONCH_10_LOW,10911.60,10589.03
baseline_50_2x_200_d10,CENTURYPLY,2023-12-13,2024-02-05,780.00,763.05,184,54,DONCH_10_LOW,-3118.80,-3402.72
baseline_50_2x_200_d10,LEMONTREE,2024-01-03,2024-02-07,132.00,134.45,1212,35,DONCH_10_LOW,2969.40,2646.46
baseline_50_2x_200_d10,GODFRYPHLP,2024-02-01,2024-02-09,827.00,763.98,191,8,INITIAL_STOP,-12037.31,-12341.18
baseline_50_2x_200_d10,NHPC,2024-02-06,2024-02-09,107.05,98.49,1479,3,INITIAL_STOP,-12666.16,-12970.14
baseline_50_2x_200_d10,TATAPOWER,2023-12-08,2024-02-12,331.95,366.85,432,66,DONCH_10_LOW,15076.80,14774.92
baseline_50_2x_200_d10,BALMLAWRIE,2023-12-11,2024-02-12,166.86,247.64,853,63,DONCH_10_LOW,68905.34,68551.77
baseline_50_2x_200_d10,SOUTHBANK,2024-01-19,2024-02-12,28.80,30.50,5562,24,DONCH_10_LOW,9455.40,9125.57
baseline_50_2x_200_d10,IRB,2024-01-31,2024-02-12,68.65,63.16,2297,12,INITIAL_STOP,-12615.12,-12917.89
baseline_50_2x_200_d10,TRITURBINE,2024-02-08,2024-02-12,477.20,439.02,332,4,INITIAL_STOP,-12674.43,-12978.62
baseline_50_2x_200_d10,NCC,2024-01-11,2024-02-13,195.00,207.10,814,33,DONCH_10_LOW,9849.40,9522.09
baseline_50_2x_200_d10,SHK,2024-02-12,2024-02-28,209.75,195.10,744,16,DONCH_10_LOW,-10899.60,-11200.81
baseline_50_2x_200_d10,ADVENZYMES,2024-02-14,2024-02-28,413.90,390.00,395,14,DONCH_10_LOW,-9440.50,-9758.04
baseline_50_2x_200_d10,OFSS,2024-01-19,2024-02-29,6066.50,7151.00,26,41,DONCH_10_LOW,28197.00,27853.35
baseline_50_2x_200_d10,BIRLACORPN,2024-02-12,2024-02-29,1720.00,1655.00,90,17,DONCH_10_LOW,-5850.00,-6153.75
baseline_50_2x_200_d10,DBL,2024-02-15,2024-02-29,455.00,431.05,359,14,DONCH_10_LOW,-8598.05,-8916.14
baseline_50_2x_200_d10,BASF,2024-02-13,2024-03-05,3304.85,3212.00,49,21,DONCH_10_LOW,-4549.65,-4868.98
baseline_50_2x_200_d10,BAJAJHLDNG,2024-03-01,2024-03-07,9154.30,8615.84,17,6,INITIAL_STOP,-9153.79,-9455.88
