variant,symbol,entry_date,exit_date,entry_price,exit_price,qty,days_held,exit_reason,gross_pnl,net_pnl
D3_chandelier_3,PFIZER,2019-12-05,2019-12-10,4449.00,4205.91,17,5,INITIAL_STOP,-4132.57,-4279.71
D3_chandelier_3,VBL,2019-11-06,2019-12-11,62.80,61.08,1225,35,CHANDELIER_3.0x,-2111.33,-2263.08
D3_chandelier_3,AAVAS,2019-12-13,2019-12-20,1931.00,1786.34,39,7,INITIAL_STOP,-5641.66,-5786.64
D3_chandelier_3,ICICIBANK,2019-11-27,2020-01-07,513.90,521.92,153,41,CHANDELIER_3.0x,1227.43,1068.95
D3_chandelier_3,ABBOTINDIA,2019-08-09,2020-01-10,9099.00,12519.43,9,154,CHANDELIER_3.0x,30783.89,30589.33
D3_chandelier_3,AARTIIND,2020-01-08,2020-01-13,444.50,420.96,171,5,INITIAL_STOP,-4025.62,-4173.61
D3_chandelier_3,ADANIGREEN,2019-10-09,2020-01-14,68.30,203.57,1180,97,CHANDELIER_3.0x,159613.63,159292.83
D3_chandelier_3,REDINGTON,2020-01-14,2020-01-15,68.15,62.70,1160,1,INITIAL_STOP,-6324.32,-6476.10
D3_chandelier_3,JSL,2020-01-13,2020-01-31,43.80,40.30,1815,18,INITIAL_STOP,-6359.76,-6512.39
D3_chandelier_3,GRANULES,2019-10-23,2020-02-01,116.00,139.18,667,101,CHANDELIER_3.0x,15458.61,15288.41
D3_chandelier_3,NAVINFLUOR,2019-12-23,2020-02-12,982.00,1123.66,77,51,CHANDELIER_3.0x,10907.69,10745.55
D3_chandelier_3,EIDPARRY,2019-12-10,2020-02-17,208.75,209.37,371,69,CHANDELIER_3.0x,231.09,75.97
D3_chandelier_3,MASFIN,2019-12-11,2020-02-17,270.00,344.12,285,68,CHANDELIER_3.0x,21125.50,20950.47
D3_chandelier_3,DIXON,2019-11-15,2020-02-24,657.00,837.72,117,101,CHANDELIER_3.0x,21144.37,20969.48
D3_chandelier_3,MGL,2020-01-16,2020-02-24,1102.00,1114.62,85,39,CHANDELIER_3.0x,1072.67,884.25
D3_chandelier_3,TATACONSUM,2020-01-15,2020-02-25,384.70,362.89,246,41,INITIAL_STOP,-5366.09,-5550.00
D3_chandelier_3,MIDHANI,2020-02-18,2020-02-27,226.00,207.92,435,9,INITIAL_STOP,-7864.80,-8053.56
D3_chandelier_3,TIMKEN,2020-02-26,2020-02-27,1090.00,1002.80,91,1,INITIAL_STOP,-7935.20,-8125.64
D3_chandelier_3,NAVINFLUOR,2020-02-26,2020-02-28,1475.00,1357.00,67,2,INITIAL_STOP,-7906.00,-8095.74
D3_chandelier_3,DEEPAKNTR,2020-02-26,2020-02-28,500.25,460.23,200,2,INITIAL_STOP,-8004.00,-8196.10
D3_chandelier_3,FDC,2019-11-19,2020-03-02,194.40,223.99,405,104,CHANDELIER_3.0x,11985.32,11815.87
D3_chandelier_3,TIINDIA,2020-02-28,2020-03-03,567.90,522.47,173,4,INITIAL_STOP,-7859.74,-8048.37
D3_chandelier_3,METROPOLIS,2020-03-04,2020-03-05,2050.00,1886.00,47,1,INITIAL_STOP,-7708.00,-7892.99
D3_chandelier_3,ATUL,2020-03-04,2020-03-05,5390.00,5001.31,18,1,INITIAL_STOP,-6996.46,-7183.51
D3_chandelier_3,MUTHOOTFIN,2020-02-18,2020-03-06,870.00,843.21,113,17,CHANDELIER_3.0x,-3027.06,-3220.66
D3_chandelier_3,MIDHANI,2020-02-28,2020-03-06,249.00,229.08,395,7,INITIAL_STOP,-7868.40,-8057.24
D3_chandelier_3,DEEPAKNTR,2020-03-04,2020-03-06,542.50,499.10,179,2,INITIAL_STOP,-7768.60,-7955.05
D3_chandelier_3,THYROCARE,2020-02-04,2020-03-09,604.15,555.82,157,34,INITIAL_STOP,-7588.12,-7770.24
D3_chandelier_3,BASF,2020-03-05,2020-03-09,1175.00,1081.00,82,4,INITIAL_STOP,-7708.00,-7892.99
D3_chandelier_3,COROMANDEL,2019-12-10,2020-03-12,511.45,559.11,151,93,CHANDELIER_3.0x,7197.09,7035.44
D3_chandelier_3,BSOFT,2020-02-01,2020-03-12,82.20,75.62,1140,40,INITIAL_STOP,-7496.64,-7676.56
D3_chandelier_3,PIDILITIND,2020-03-06,2020-03-13,784.60,742.99,121,7,INITIAL_STOP,-5034.79,-5219.63
D3_chandelier_3,IPCALAB,2020-02-13,2020-03-19,665.35,615.09,144,35,INITIAL_STOP,-7236.73,-7421.12
D3_chandelier_3,ABBOTINDIA,2020-04-09,2020-04-22,17929.95,16495.55,5,13,INITIAL_STOP,-7171.98,-7344.11
D3_chandelier_3,HINDUNILVR,2020-04-08,2020-04-29,2432.00,2237.44,37,21,INITIAL_STOP,-7198.72,-7371.49
D3_chandelier_3,COLPAL,2020-04-23,2020-05-04,1507.95,1387.31,59,11,INITIAL_STOP,-7117.52,-7288.34
D3_chandelier_3,AARTIIND,2020-05-06,2020-05-08,575.00,529.00,154,2,INITIAL_STOP,-7084.00,-7254.02
D3_chandelier_3,LAURUSLABS,2020-04-22,2020-05-11,93.70,86.20,969,19,INITIAL_STOP,-7263.62,-7437.95
D3_chandelier_3,JBCHEPHARM,2020-05-11,2020-05-13,328.70,302.40,267,2,INITIAL_STOP,-7021.03,-7189.54
D3_chandelier_3,ASTRAZEN,2020-04-30,2020-05-19,3180.00,2925.60,28,19,INITIAL_STOP,-7123.20,-7294.16
D3_chandelier_3,BHARTIARTL,2020-05-20,2020-05-27,593.85,546.34,144,7,INITIAL_STOP,-6841.15,-7005.34
D3_chandelier_3,TORNTPHARM,2020-04-08,2020-06-03,1190.00,1142.31,76,56,CHANDELIER_3.0x,-3624.26,-3801.52
D3_chandelier_3,IOB,2020-06-04,2020-06-09,10.50,9.66,8062,5,INITIAL_STOP,-6772.08,-6934.61
D3_chandelier_3,ADVENZYMES,2020-06-10,2020-06-12,175.00,161.00,479,2,INITIAL_STOP,-6706.00,-6866.94
D3_chandelier_3,GRANULES,2020-06-15,2020-06-29,216.75,199.41,384,14,INITIAL_STOP,-6658.56,-6818.37
D3_chandelier_3,DIVISLAB,2020-04-13,2020-07-01,2385.00,2267.10,38,79,CHANDELIER_3.0x,-4480.37,-4657.15
D3_chandelier_3,DRREDDY,2020-04-08,2020-07-07,705.00,768.01,128,90,CHANDELIER_3.0x,8065.53,7876.98
D3_chandelier_3,LUPIN,2020-04-13,2020-07-07,804.00,869.65,113,85,CHANDELIER_3.0x,7418.84,7229.72
D3_chandelier_3,GHCL,2020-07-08,2020-07-09,180.00,165.60,464,1,INITIAL_STOP,-6681.60,-6841.96
D3_chandelier_3,INDIACEM,2020-05-18,2020-07-10,115.80,121.36,746,53,CHANDELIER_3.0x,4146.05,3969.13
D3_chandelier_3,BAYERCROP,2020-05-28,2020-07-14,5299.90,5559.83,16,47,CHANDELIER_3.0x,4158.81,3985.06
D3_chandelier_3,BIOCON,2020-04-09,2020-07-29,334.00,393.16,272,111,CHANDELIER_3.0x,16091.08,15893.29
D3_chandelier_3,LINDEINDIA,2020-07-08,2020-07-30,679.00,624.68,123,22,INITIAL_STOP,-6681.36,-6841.71
D3_chandelier_3,BASF,2020-07-15,2020-08-12,1353.00,1270.39,61,28,CHANDELIER_3.0x,-5039.45,-5199.48
D3_chandelier_3,AUROPHARMA,2020-04-22,2020-08-21,650.00,854.88,139,121,CHANDELIER_3.0x,28478.56,28269.38
D3_chandelier_3,DRREDDY,2020-07-30,2020-08-28,878.80,880.09,97,29,CHANDELIER_3.0x,125.57,-45.04
D3_chandelier_3,CIPLA,2020-04-08,2020-08-31,496.95,727.19,182,145,CHANDELIER_3.0x,41902.97,41680.18
D3_chandelier_3,BOSCHLTD,2020-08-13,2020-08-31,14300.00,13175.87,5,18,INITIAL_STOP,-5620.67,-5758.05
D3_chandelier_3,ASAHIINDIA,2020-08-24,2020-08-31,232.00,213.44,374,7,INITIAL_STOP,-6941.44,-7108.03
