entryset,level,surv,outer,costmodel,n,total,mean,median,win_pct,worst,best,fire_pct,med_fire_hm,mean_cost
A0920,LEG75,SHOLD,STANDALONE,MEASURED,17,-11222,-660,12,53,-6809,4626,82,11:57,136
A0920,LEG75,SHOLD,VENUE,MEASURED,17,-15202,-894,-751,47,-3973,3793,76,11:42,226
A0920,LEG75,STRAIL,STANDALONE,MEASURED,17,-9245,-544,-174,47,-5118,4626,82,11:57,188
A0920,LEG75,STRAIL,VENUE,MEASURED,17,-9352,-550,-751,47,-3679,3793,76,11:42,233
A0920,RUP1500,SBOTH,STANDALONE,MEASURED,17,-8413,-495,-489,18,-2197,1194,100,09:45,286
A0920,RUP1500,SBOTH,VENUE,MEASURED,17,-8413,-495,-489,18,-2197,1194,100,09:45,286
A0920,RUP1500,SHOLD,STANDALONE,MEASURED,17,3553,209,944,59,-5076,3452,100,09:45,158
A0920,RUP1500,SHOLD,VENUE,MEASURED,17,-6902,-406,741,53,-4478,3452,100,09:45,203
A0920,RUP1500,STRAIL,STANDALONE,MEASURED,17,-8761,-515,-308,35,-3212,3452,100,09:45,263
A0920,RUP1500,STRAIL,VENUE,MEASURED,17,-8761,-515,-308,35,-3212,3452,100,09:45,263
A0920,RUP2500,SBOTH,STANDALONE,MEASURED,17,-5065,-298,-825,24,-3122,4626,82,10:20,241
A0920,RUP2500,SBOTH,VENUE,MEASURED,17,-1884,-111,-825,29,-3122,3793,76,09:57,271
A0920,RUP2500,SHOLD,STANDALONE,MEASURED,17,-4582,-270,260,71,-6809,4626,82,10:20,136
A0920,RUP2500,SHOLD,VENUE,MEASURED,17,-11508,-677,258,53,-3924,3793,76,09:57,233
A0920,RUP2500,STRAIL,STANDALONE,MEASURED,17,-10205,-600,-568,47,-5118,4626,82,10:20,203
A0920,RUP2500,STRAIL,VENUE,MEASURED,17,-4955,-291,-568,47,-3861,3793,76,09:57,241
A0920,RUP4000,SBOTH,STANDALONE,MEASURED,17,3868,228,-174,41,-2828,4626,47,11:17,151
A0920,RUP4000,SBOTH,VENUE,MEASURED,17,8237,485,-1113,47,-3294,4000,47,11:17,255
A0920,RUP4000,SHOLD,STANDALONE,MEASURED,17,-8159,-480,-101,47,-8438,4626,47,11:17,91
A0920,RUP4000,SHOLD,VENUE,MEASURED,17,223,13,342,53,-4284,4000,47,11:17,241
A0920,RUP4000,STRAIL,STANDALONE,MEASURED,17,-96,-6,-101,47,-5118,4626,47,11:17,128
A0920,RUP4000,STRAIL,VENUE,MEASURED,17,4884,287,342,53,-3679,4000,47,11:17,241
A0920,RUP6000,SBOTH,STANDALONE,MEASURED,17,11470,675,969,53,-3616,4788,29,11:43,106
A0920,RUP6000,SBOTH,VENUE,MEASURED,17,15210,895,1761,59,-3332,4000,24,12:39,240
A0920,RUP6000,SHOLD,STANDALONE,MEASURED,17,4215,248,969,53,-9099,4788,29,11:43,68
A0920,RUP6000,SHOLD,VENUE,MEASURED,17,14967,880,1761,59,-3361,4000,24,12:39,225
A0920,RUP6000,STRAIL,STANDALONE,MEASURED,17,9577,563,969,53,-4438,4788,29,11:43,83
A0920,RUP6000,STRAIL,VENUE,MEASURED,17,14967,880,1761,59,-3361,4000,24,12:39,225
A0920,RUP8000,SBOTH,STANDALONE,MEASURED,17,29938,1761,1761,71,-5150,7546,12,13:37,60
A0920,RUP8000,SBOTH,VENUE,MEASURED,17,19276,1134,3719,65,-3770,4000,0,,240
A0920,RUP8000,SHOLD,STANDALONE,MEASURED,17,31060,1827,1761,71,-4490,7546,12,13:37,45
A0920,RUP8000,SHOLD,VENUE,MEASURED,17,19276,1134,3719,65,-3770,4000,0,,240
A0920,RUP8000,STRAIL,STANDALONE,MEASURED,17,31060,1827,1761,71,-4490,7546,12,13:37,45
A0920,RUP8000,STRAIL,VENUE,MEASURED,17,19276,1134,3719,65,-3770,4000,0,,240
B0916,HOLD,-,STANDALONE,MEASURED,12,33974,2831,2336,92,-549,8362,0,,29
B0916,HOLD,-,STANDALONE,R114COST,12,31926,2660,2162,92,-713,8192,0,,200
B0916,HOLD,-,VENUE,MEASURED,12,4343,362,2125,58,-4474,3847,0,,243
B0916,LEG100,SBOTH,STANDALONE,MEASURED,12,3974,331,-167,50,-2570,4728,58,11:04,179
B0916,LEG100,SBOTH,VENUE,MEASURED,12,3247,271,-382,50,-3340,3847,58,11:04,264
B0916,LEG100,SHOLD,STANDALONE,MEASURED,12,5180,432,270,50,-5252,4728,58,11:04,105
B0916,LEG100,SHOLD,VENUE,MEASURED,12,3960,330,270,50,-3584,3847,58,11:04,211
B0916,LEG100,STRAIL,STANDALONE,MEASURED,12,3931,328,-304,42,-2192,4728,58,11:04,158
B0916,LEG100,STRAIL,VENUE,MEASURED,12,3204,267,-316,42,-3340,3847,58,11:04,243
B0916,LEG30,SBOTH,STANDALONE,MEASURED,12,-3259,-272,-266,25,-2571,2766,92,09:22,264
B0916,LEG30,SBOTH,STANDALONE,R114COST,12,-2488,-207,-180,25,-2480,2591,92,09:22,200
B0916,LEG30,SBOTH,VENUE,MEASURED,12,-3259,-272,-266,25,-2571,2766,92,09:22,264
B0916,LEG30,SHOLD,STANDALONE,MEASURED,12,15035,1253,2144,75,-3456,2766,92,09:22,147
B0916,LEG30,SHOLD,STANDALONE,R114COST,12,14397,1200,2102,75,-3499,2679,92,09:22,200
B0916,LEG30,SHOLD,VENUE,MEASURED,12,12440,1037,2144,75,-3558,2766,92,09:22,168
B0916,LEG30,STRAIL,STANDALONE,MEASURED,12,4657,388,330,67,-2828,2766,92,09:22,253
B0916,LEG30,STRAIL,STANDALONE,R114COST,12,5297,441,414,67,-2737,2679,92,09:22,200
B0916,LEG30,STRAIL,VENUE,MEASURED,12,4657,388,330,67,-2828,2766,92,09:22,253
B0916,LEG40,SBOTH,STANDALONE,MEASURED,12,1032,86,-266,42,-3134,4728,83,09:25,243
B0916,LEG40,SBOTH,VENUE,MEASURED,12,27,2,-266,42,-3134,3723,83,09:25,264
B0916,LEG40,SHOLD,STANDALONE,MEASURED,12,15451,1288,2103,75,-3456,4728,83,09:25,136
B0916,LEG40,SHOLD,VENUE,MEASURED,12,12798,1067,2103,75,-3349,3723,83,09:25,179
B0916,LEG40,STRAIL,STANDALONE,MEASURED,12,6339,528,520,58,-3515,4728,83,09:25,232
B0916,LEG40,STRAIL,VENUE,MEASURED,12,5553,463,520,58,-3296,3723,83,09:25,253
B0916,LEG50,SBOTH,STANDALONE,MEASURED,12,-775,-65,-353,33,-3735,4728,83,09:25,243
B0916,LEG50,SBOTH,VENUE,MEASURED,12,-1385,-115,-353,33,-3340,3723,75,09:25,264
B0916,LEG50,SHOLD,STANDALONE,MEASURED,12,9612,801,1550,75,-4080,4728,83,09:25,136
B0916,LEG50,SHOLD,VENUE,MEASURED,12,9455,788,1550,75,-3349,3723,75,09:25,179
B0916,LEG50,STRAIL,STANDALONE,MEASURED,12,2485,207,-64,50,-4069,4728,83,09:25,232
B0916,LEG50,STRAIL,VENUE,MEASURED,12,2209,184,-64,50,-3340,3723,75,09:25,253
B0916,LEG60,SBOTH,STANDALONE,MEASURED,12,-1798,-150,-389,33,-4575,4728,83,09:52,243
B0916,LEG60,SBOTH,VENUE,MEASURED,12,1628,136,-389,33,-3340,3847,67,09:37,264
B0916,LEG60,SHOLD,STANDALONE,MEASURED,12,8243,687,1309,75,-4080,4728,83,09:52,136
B0916,LEG60,SHOLD,VENUE,MEASURED,12,9958,830,1402,75,-3747,3847,67,09:37,189
B0916,LEG60,STRAIL,STANDALONE,MEASURED,12,2241,187,318,58,-4714,4728,83,09:52,222
B0916,LEG60,STRAIL,VENUE,MEASURED,12,5677,473,318,58,-3340,3847,67,09:37,253
B0916,LEG75,SBOTH,STANDALONE,MEASURED,12,5694,475,-528,42,-1641,4728,67,10:09,200
B0916,LEG75,SBOTH,VENUE,MEASURED,12,4984,415,-551,42,-3340,3847,58,09:53,264
B0916,LEG75,SHOLD,STANDALONE,MEASURED,12,11632,969,913,75,-4376,4728,67,10:09,115
B0916,LEG75,SHOLD,VENUE,MEASURED,12,8049,671,1080,75,-4043,3847,58,09:53,211
B0916,LEG75,STRAIL,STANDALONE,MEASURED,12,6938,578,-338,42,-2211,4728,67,10:09,179
B0916,LEG75,STRAIL,VENUE,MEASURED,12,6098,508,-338,42,-3340,3847,58,09:53,253
B0916,RUP1500,SBOTH,STANDALONE,MEASURED,12,1890,158,-302,33,-2043,4728,83,09:26,243
B0916,RUP1500,SBOTH,VENUE,MEASURED,12,885,74,-302,33,-2043,3723,83,09:26,264
B0916,RUP1500,SHOLD,STANDALONE,MEASURED,12,15174,1264,2037,75,-3456,4728,83,09:26,136
B0916,RUP1500,SHOLD,VENUE,MEASURED,12,11573,964,2037,75,-3349,3723,83,09:26,179
B0916,RUP1500,STRAIL,STANDALONE,MEASURED,12,6062,505,47,50,-2577,4728,83,09:26,232
B0916,RUP1500,STRAIL,VENUE,MEASURED,12,5056,421,47,50,-2577,3723,83,09:26,253
B0916,RUP2500,SBOTH,STANDALONE,MEASURED,12,3037,253,-477,42,-3340,4728,75,09:53,222
B0916,RUP2500,SBOTH,VENUE,MEASURED,12,5117,426,-477,42,-3340,3847,58,09:53,264
B0916,RUP2500,SHOLD,STANDALONE,MEASURED,12,11734,978,1175,75,-4376,4728,75,09:53,126
B0916,RUP2500,SHOLD,VENUE,MEASURED,12,9256,771,1253,75,-4043,3847,58,09:53,211
B0916,RUP2500,STRAIL,STANDALONE,MEASURED,12,5066,422,318,58,-3627,4728,75,09:53,200
B0916,RUP2500,STRAIL,VENUE,MEASURED,12,7304,609,318,58,-3340,3847,58,09:53,253
B0916,RUP4000,SBOTH,STANDALONE,MEASURED,12,9555,796,94,50,-2824,5548,42,10:28,136
B0916,RUP4000,SBOTH,VENUE,MEASURED,12,9529,794,1142,50,-3340,3847,42,10:28,264
B0916,RUP4000,SHOLD,STANDALONE,MEASURED,12,10427,869,304,50,-6517,5548,42,10:28,83
B0916,RUP4000,SHOLD,VENUE,MEASURED,12,13461,1122,1353,50,-3457,3847,42,10:28,221
B0916,RUP4000,STRAIL,STANDALONE,MEASURED,12,11507,959,304,50,-3457,5548,42,10:28,115
B0916,RUP4000,STRAIL,VENUE,MEASURED,12,11481,957,1353,50,-3457,3847,42,10:28,242
B0916,RUP6000,SBOTH,STANDALONE,MEASURED,12,3832,319,992,58,-4474,5548,33,11:43,115
B0916,RUP6000,SBOTH,VENUE,MEASURED,12,4835,403,2125,58,-4474,3847,8,11:43,243
B0916,RUP6000,SHOLD,STANDALONE,MEASURED,12,2340,195,992,58,-8192,5548,33,11:43,73
B0916,RUP6000,SHOLD,VENUE,MEASURED,12,5560,463,2125,58,-4474,3847,8,11:43,232
B0916,RUP6000,STRAIL,STANDALONE,MEASURED,12,3420,285,992,58,-5149,5548,33,11:43,105
B0916,RUP6000,STRAIL,VENUE,MEASURED,12,5560,463,2125,58,-4474,3847,8,11:43,232
B0916,RUP8000,SBOTH,STANDALONE,MEASURED,12,7419,618,1400,67,-5131,5548,25,11:42,94
B0916,RUP8000,SBOTH,VENUE,MEASURED,12,4343,362,2125,58,-4474,3847,0,,243
B0916,RUP8000,SHOLD,STANDALONE,MEASURED,12,9045,754,1400,67,-4418,5548,25,11:42,62
B0916,RUP8000,SHOLD,VENUE,MEASURED,12,4343,362,2125,58,-4474,3847,0,,243
B0916,RUP8000,STRAIL,STANDALONE,MEASURED,12,7065,589,1400,67,-5476,5548,25,11:42,83
B0916,RUP8000,STRAIL,VENUE,MEASURED,12,4343,362,2125,58,-4474,3847,0,,243
