cycle,n_pos,ret,equity,avg_margin_pct,date
2024-06,8,0.07033062549851127,18746427.794772167,0.11077583234907762,2024-06-30
2024-07,10,0.015652776997378447,19039861.44854119,0.12862096023617436,2024-07-31
2024-08,10,0.029997206296271374,19611004.100265507,0.11882018534990142,2024-08-31
2024-09,7,-0.022233159940947884,19174989.509501718,0.13701837815716697,2024-09-30
2024-10,10,-0.0035144021958532735,19107600.88426406,0.13840701953893914,2024-10-31
2024-11,7,0.0020532678674439067,19146833.907183662,0.12285915945096855,2024-11-30
2024-12,7,0.005116170282678349,19244792.369826972,0.13997993163371694,2024-12-31
2025-01,10,-0.04889594220657239,18303800.114334427,0.1352356116362035,2025-01-31
2025-02,8,0.02247382438165349,18715156.50362087,0.12171869865455637,2025-02-28
2025-03,10,-0.008424014964386887,18557499.745173525,0.13593151403018808,2025-03-31
2025-04,6,-0.037093658431849905,17869134.188276917,0.12450730385574792,2025-04-30
2025-05,10,-0.017005011920122163,17565269.348403007,0.1420433884547739,2025-05-31
2025-06,10,0.06658179425271427,18734796.498151883,0.13677100143023194,2025-06-30
2025-07,10,0.06794685727897791,20007767.041962504,0.13440181059591075,2025-07-31
2025-08,10,0.027907163118013383,20566127.060429767,0.15926059685908572,2025-08-31
2025-09,10,0.05987891777353377,21797604.49160129,0.14776801930251193,2025-09-30
2025-10,10,0.005676040883984687,21921328.585868545,0.14243750079712839,2025-10-31
2025-11,10,-0.0165765082836265,21557949.500976797,0.15723849646210436,2025-11-30
2025-12,10,0.07200533374266918,23110236.84960224,0.14276211897967778,2025-12-31
2026-01,10,-0.024010582536734534,22555346.600281384,0.14585551839762784,2026-01-31
2026-02,7,0.018870784784850225,22980983.691722997,0.14089690947716363,2026-02-28
2026-03,10,-0.007054763088330001,22818858.296241116,0.1316320023153004,2026-03-31
2026-04,10,0.02228106175022427,23327286.687009282,0.11665095890743604,2026-04-30
2026-05,8,-0.031674546342957154,22588405.46378616,0.13063782021817966,2026-05-31
2026-06,10,0.031292446238815545,23295251.927382253,0.11838437376927498,2026-06-30
2026-07,10,0.006377903114968142,23443826.787213873,0.13505581032630215,2026-07-31
2026-08,8,-0.0007719634322106437,23425729.010223065,0.14355748865307782,2026-08-31
2026-09,10,0.23428293842618897,28913977.637513746,0.1394782592827743,2026-09-30
