,mq,kc6,combined,nifty
2010-07-27,7711832.661511947,4119875.496411617,11831708.157923564,10477190.303493034
2010-07-28,7801466.141512703,4120665.6095205178,11922131.75103322,10391296.048864286
2010-07-29,7876455.401513457,4121455.87415796,11997911.275671417,10385569.765222369
2010-07-30,7872741.471514211,4122246.2903530044,11994987.761867216,10372208.436724566
2010-08-02,7905680.251516475,4123036.858134716,12028717.109651191,10481007.825920977
2010-08-03,7893205.571517231,4123827.5775321666,12017033.149049398,10496277.915632755
2010-08-04,7981689.306744323,4124618.448574433,12106307.755318757,10481007.825920977
2010-08-05,7945253.976745078,4125409.471290598,12070663.448035676,10536361.90112617
2010-08-06,7945197.0267458325,4126200.64570975,12071397.672455583,10469555.258637145
2010-08-09,8005422.656748101,4126991.971860982,12132414.628609084,10502004.19927467
2010-08-10,7945965.026748858,4127783.449773394,12073748.476522252,10490551.631990839
2010-08-11,7912148.646749615,4128575.0794760906,12040723.726225706,10444741.362855507
2010-08-12,7918007.07675037,4129366.860998182,12047373.937748551,10437106.317999618
2010-08-13,7970328.746751126,4130158.7943687844,12100487.54111991,10461920.213781258
2010-08-16,7994892.106753397,4130950.8796170196,12125842.986370416,10385569.765222369
2010-08-17,8065242.826754155,4131743.1167720146,12196985.94352617,10437106.317999618
2010-08-18,8172187.766754911,4132535.5058629024,12304723.272617813,10488642.870776866
2010-08-19,8209042.846755669,4133328.0469188215,12342370.893674491,10578354.647833556
2010-08-20,8230084.116756426,4134120.7399689155,12364204.856725343,10561175.796907807
2010-08-23,8271512.316758699,4134913.585042334,12406425.901801033,10668066.424890246
2010-08-24,8210071.396759457,4135706.5821682326,12345777.97892769,10553540.752051918
2010-08-25,8120232.516760215,4136499.731375772,12256732.248135988,10454285.168925367
2010-08-26,8152691.766760972,4137293.032694118,12289984.799455091,10479099.064707005
2010-08-27,8105820.836761729,4138086.486152443,12243907.322914172,10355029.585798817
2010-08-30,8114676.366764005,4138880.0917799245,12253556.45854393,10360755.869440733
2010-08-31,8093095.336764768,4139051.242658765,12232146.579423532,10330215.690017179
2010-09-01,8163399.1467655245,4139341.869814892,12302741.016580416,10454285.168925367
2010-09-02,8256150.126766285,4134969.7340036235,12391119.860769909,10486734.109562894
2010-09-03,8327697.776767044,4146658.5322746206,12474356.309041664,10481007.825920977
2010-09-06,8476586.266769323,4147453.7818561527,12624040.048625477,10656613.857606415
2010-09-07,8511321.096770084,4148249.1839513034,12659570.280721387,10700515.365527771
2010-09-08,8540511.326770842,4149044.7385893217,12689556.065360164,10704332.887955716
2010-09-09,8595884.8267716,4149840.4457994625,12745725.272571063,10797862.18744035
2010-09-13,8680196.626774643,4150636.305610986,12830832.932385629,11040274.861614812
2010-09-14,8618916.406775404,4151432.318053158,12770348.724828562,11097537.698033977
2010-09-15,8640500.456776163,4152228.4831552505,12792728.939931413,11213972.132086277
2010-09-16,8552977.176776927,4153024.8009465407,12706001.977723468,11164344.340523
2010-09-17,8658704.126777684,4153821.2714563115,12812525.398233995,11282687.535789274
2010-09-20,8710023.286779966,4154617.894713851,12864641.181493817,11462111.089902654
2010-09-21,8631375.796780732,4155414.670748454,12786790.467529185,11485016.22447032
2010-09-22,8559538.48678149,4156211.5995894196,12715750.086370908,11473563.657186486
2010-09-23,8564006.186782256,4157008.681266053,12721014.868048308,11452567.283832792
2010-09-24,8633946.946783016,4157805.915807666,12791752.862590682,11515556.403893871
2010-09-27,8626161.636785302,4158603.303243574,12784764.940028876,11603359.41973659
2010-09-28,8609509.616786065,4159400.8436031006,12768910.460389165,11567092.95667112
2010-09-29,8567821.93678683,4160198.536915573,12728020.473702403,11542279.060889482
2010-09-30,8580251.296787592,4160370.5693542887,12740621.86614188,11502195.075396067
2010-10-01,8747165.736788355,4139367.086961629,12886532.823749984,11759877.839282304
2010-10-04,8806940.516790643,4140160.938183786,12947101.45497443,11826684.48177133
2010-10-05,8845700.486791408,4140954.941651383,12986655.428442791,11841954.571483107
2010-10-06,8923230.846792169,4141749.0973936175,13064979.944185786,11840045.810269136
2010-10-07,8849424.316792935,4142543.405439693,12991967.722232629,11767512.884138193
2010-10-08,8811064.6367937,4143337.8658188186,12954402.502612518,11696888.719221225
2010-10-11,8883593.66679599,4144132.478560209,13027726.145356199,11815231.914487496
2010-10-12,8925694.226796756,4144927.2436930835,13070621.47048984,11715976.331360947
2010-10-13,9024873.116797518,4145722.1612466685,13170595.278044187,11962206.527963353
2010-10-14,9035138.366798285,4146517.2312501953,13181655.59804848,11838137.049055165
2010-10-15,8940474.806799049,4147312.453732901,13087787.260531949,11624355.793090284
2010-10-18,8890185.136801345,4147483.9533065874,13037669.090107933,11696888.719221225
2010-10-19,8918517.436802108,4149594.4319962626,13068111.868798371,11540370.299675511
2010-10-20,8948660.076802872,4143338.0479969196,13091998.124799792,11490742.508112235
2010-10-21,9046141.956803638,4158013.686594803,13204155.643398441,11717885.092574919
2010-10-22,9053885.386804404,4158811.1138771637,13212696.500681568,11626264.554304255
2010-10-25,9103638.366806706,4159608.694090784,13263247.06089749,11757969.078068333
2010-10-26,9056735.26680747,4160406.4272649935,13217141.694072464,11731246.421072723
2010-10-27,9028942.936808238,4161204.3134291265,13190147.250237364,11605268.180950563
2010-10-28,9082934.306809003,4162002.352612524,13244936.659421526,11618629.509448368
2010-10-29,9001477.446809769,4162800.544844532,13164277.991654301,11605268.180950563
2010-11-01,9127962.81681207,4162972.684881423,13290935.501693493,11803779.347203664
2010-11-02,9154099.326812837,4170697.8362730443,13324797.163085882,11836228.287841192
2010-11-03,9193212.346813606,4182029.490120225,13375241.83693383,11882038.556976521
2010-11-04,9248063.926814372,4182831.523173125,13430895.449987497,12015651.84195457
2010-11-05,9316642.046815138,4183633.710040583,13500275.75685572,12111089.902653178
2010-11-08,9303912.006817441,4184436.0507520977,13488348.05756954,12107272.380225234
2010-11-09,9316637.886818212,4185238.5453371736,13501876.432155386,12174079.02271426
2010-11-10,9366932.796818975,4186041.193825321,13552973.990644297,12105363.619011262
2010-11-11,9299100.626819747,4186843.996246055,13485944.623065801,11994655.468600878
2010-11-12,9067666.326820513,4184498.789230505,13252165.116051018,11742698.988356557
2010-11-15,9141120.37682282,4232426.480368671,13373546.857191492,11870585.989692688
2010-11-16,9019776.716823589,4197289.798194386,13217066.515017975,11628173.315518228
2010-11-18,9018032.886825128,4182475.535055501,13200508.421880629,11620538.27066234
2010-11-19,8905576.9368259,4154281.641397672,13059858.578223571,11416300.820767323
2010-11-22,8961301.586828208,4170765.3486409183,13132066.935469126,11654895.97251384
2010-11-23,8873393.826828975,4171565.221447507,13044959.048276482,11513647.6426799
2010-11-24,8767615.518828489,4172365.24765436,12939980.766482849,11389578.163771711
2010-11-25,8646896.33882926,4173165.4272908964,12820061.766120156,11255964.878793662
2010-11-26,8562213.438920096,4173965.7603865415,12736179.199306637,11147165.48959725
2010-11-29,8607661.656022895,4174766.2469707252,12782427.90299362,11309410.192784883
2010-11-30,8674924.856023666,4175566.887072884,12850491.743096549,11376216.835273907
2010-12-01,8779306.50800717,4176367.6807224597,12955674.18872963,11443023.477762932
2010-12-02,8829993.96800794,4177168.6279488998,13007162.59595684,11605268.180950563
2010-12-03,8733194.598008715,4177969.7287816573,12911164.326790372,11586180.568810843
2010-12-06,8694685.788011028,4178770.983250191,12873456.771261219,11536552.777247567
2010-12-07,8615299.6480118,4178943.783696301,12794243.431708101,11574728.001527008
2010-12-08,8529990.518012572,4179665.189846599,12709655.707859172,11385760.641343767
2010-12-09,8277837.4514382025,4153891.055278475,12431728.506716678,11171979.38537889
2010-12-10,8360149.120925955,4154969.455302373,12515118.576228328,11349494.178278297
2010-12-13,8421949.960928276,4180798.2319968385,12602748.192925114,11456384.806260739
2010-12-14,8472336.940929046,4200896.479329449,12673233.420258496,11532735.254819622
2010-12-15,8459464.54092982,4201702.1307090465,12661166.671638867,11402939.492269518
2010-12-16,8476035.501053728,4202507.9365971275,12678543.437650856,11511738.881465929
2010-12-20,8499973.691056821,4202681.718613211,12702655.409670033,11515556.403893871
2010-12-21,8558007.601057593,4199098.743752398,12757106.34480999,11570910.479099063
2010-12-22,8530212.691058366,4182218.339834451,12712431.030892817,11544187.822103454
2010-12-23,8526718.831059143,4183020.4091051044,12709739.240164246,11574728.001527008
2010-12-24,8543484.661059916,4183822.632197262,12727307.293257177,11610994.46459248
2010-12-27,8521200.991062237,4184625.009140423,12705826.00020266,11628173.315518228
2010-12-28,8519216.021063015,4185427.539964094,12704643.56102711,11626264.554304255
2010-12-29,8581730.051063787,4186230.224697786,12767960.275761573,11683527.39072342
2010-12-30,8609517.781064562,4187033.0633710157,12796550.844435578,11673983.58465356
2010-12-31,8683525.371065335,4187836.056013306,12871361.427078642,11811414.392059553
2011-01-03,8698335.221067661,4188639.2026541857,12886974.423721846,11866768.467264745
2011-01-04,8664959.80106844,4189442.503323188,12854402.304391628,11792326.779919833
2011-01-05,8652185.711069215,4190245.958049853,12842431.669119067,11733155.182286697
2011-01-06,8600728.02106999,4190419.233008869,12791147.25407886,11595724.374880703
2011-01-07,8411457.20408777,4187589.6560124597,12599046.860100228,11433479.67169307
2011-01-10,8258185.5740901,4166254.9486810872,12424440.522771187,11166253.101736972
2011-01-11,8274027.340700533,4146162.470308328,12420189.811008861,11046001.145256728
2011-01-12,8337154.489717799,4238393.967804596,12575548.457522396,11355220.461920215
2011-01-13,8281715.149718577,4250638.9597838195,12532354.109502397,11152891.77323917
2011-01-14,8235854.089719353,4250734.892341806,12486588.982061159,10984920.78640962
2011-01-17,8199999.798543663,4279208.445937597,12479208.24448126,10946745.562130177
2011-01-18,8294377.408544439,4285937.943318571,12580315.35186301,11097537.698033977
2011-01-19,8297121.948545217,4286759.904020029,12583881.852565246,11049818.667684672
2011-01-20,8268777.328545994,4287582.022357786,12556359.35090378,11091811.41439206
2011-01-21,8243360.098546771,4288404.298362074,12531764.396908846,11055544.95132659
2011-01-24,8261198.398549106,4289226.7320631305,12550425.130612236,11139530.444741363
2011-01-25,8220411.318549885,4290049.323491197,12510460.642041083,11030731.055544952
2011-01-27,8132627.528551441,4290872.0726765245,12423499.601227965,10872303.874785265
2011-01-28,7968714.248552219,4291694.979649367,12260409.228201587,10660431.38003436
2011-01-31,7982244.568554559,4291872.449726101,12274117.018280659,10587898.453903418
2011-02-01,7858209.378555336,4281283.3743055,12139492.752860837,10421836.228287842
2011-02-02,7901158.430098959,4284084.440980025,12185242.871078983,10427562.511929758
2011-02-03,7925483.540099739,4284310.649776924,12209794.189876664,10669975.186104218
2011-02-04,7784726.380100519,4292604.343466594,12077330.723567113,10429471.27314373
2011-02-07,7697474.95010286,4293427.582655752,11990902.532758612,10534453.139912197
2011-02-08,7602262.204096838,4293605.124379048,11895867.328475885,10301584.271807596
2011-02-09,7467318.623756953,4270666.295665572,11737984.919422526,10185149.837755296
2011-02-10,7431800.510971796,4248581.13378526,11680381.644757055,10139339.568619965
2011-02-11,7466136.719423544,4253015.314747356,11719152.0341709,10301584.271807596
2011-02-14,7590297.469425887,4263139.356304157,11853436.825730044,10595533.498759303
2011-02-15,7600882.279426666,4267130.610086155,11868012.889512822,10589807.215117387
2011-02-16,7596159.459427449,4267948.963901788,11864108.423329238,10639435.006680664
2011-02-17,7611150.309428229,4268767.474661988,11879917.784090217,10685245.275815995
2011-02-18,7560338.229429011,4269586.142396855,11829924.371825866,10576445.886619583
2011-02-21,7630576.109431356,4270404.967136493,11900981.07656785,10683336.514602022
2011-02-22,7583442.249432138,4271223.948911012,11854666.19834315,10620347.394540943
2011-02-23,7548324.4994329205,4272043.08775053,11820367.58718345,10467646.497423174
2011-02-24,7439013.8138381,4272862.383685167,11711876.197523266,10217598.778392822
2011-02-25,7451649.213838884,4273681.836745052,11725331.050583936,10272952.853598014
2011-02-28,7451307.185043548,4274501.446960318,11725808.632003866,10337850.734873066
2011-03-01,7558549.277439648,4275321.214361105,11833870.491800753,10645161.29032258
2011-03-03,7577109.227441214,4276141.138977558,11853250.366418771,10668066.424890246
2011-03-04,7591494.727441998,4276961.220839828,11868455.948281826,10725329.26130941
2011-03-07,7545954.12744435,4277781.459978072,11823735.587422423,10566902.080549723
2011-03-08,7580465.687445134,4278601.856422451,11859067.543867584,10660431.38003436
2011-03-09,7604322.917445918,4279422.410203136,11883745.327649053,10689062.79824394
2011-03-10,7579887.437446702,4280243.121350298,11860130.558797,10648978.812750524
2011-03-11,7548252.167447487,4281063.989894118,11829316.157341605,10561175.796907807
2011-03-14,7564886.097449841,4281885.015864783,11846771.113314625,10687154.037029969
2011-03-15,7470719.987450626,4282706.199292483,11753426.186743109,10557358.274479862
2011-03-16,7506862.107451411,4283527.540207416,11790389.647658827,10637526.24546669
2011-03-17,7449781.477452196,4284349.038639785,11734130.51609198,10542088.184768086
2011-03-18,7447396.027452982,4285170.694619798,11732566.72207278,10433288.795571674
2011-03-21,7420311.8574553365,4285992.508177671,11706304.365633007,10410383.661004009
2011-03-22,7437529.577456125,4286814.479343623,11724344.056799747,10498186.676846726
2011-03-23,7459477.287456909,4287636.608147881,11747113.89560479,10568810.841763694
2011-03-24,7473834.5674576955,4288458.8946206765,11762293.462078372,10683336.514602022
2011-03-25,7558607.297458484,4289281.338792248,11847888.63625073,10815041.0383661
2011-03-28,7588614.087460843,4290103.940692838,11878718.02815368,10992555.83126551
2011-03-29,7631121.04746163,4290926.700352698,11922047.747814327,11042183.622828785
2011-03-30,7680181.127462416,4291749.617802081,11971930.745264497,11179614.430234777
2011-03-31,7699487.997463204,4292572.693071248,11992060.690534452,11152891.77323917
2011-04-01,7692781.737463991,4293395.926190468,11986177.663654458,11255964.878793662
2011-04-04,7791572.657466351,4294219.317190011,12085791.974656362,11370490.55163199
2011-04-05,7824112.42746714,4295042.866100158,12119155.293567298,11336132.84978049
2011-04-06,7807343.347467928,4295866.572951191,12103209.92041912,11305592.670356939
2011-04-07,7831465.317468717,4296690.437773401,12128155.755242117,11282687.535789274
2011-04-08,7828312.647469505,4297514.460597084,12125827.108066589,11240694.789081886
2011-04-11,7833628.0174718695,4297692.171320866,12131320.188792735,11158618.056881085
2011-04-13,7971673.577473448,4317573.262846234,12289246.840319682,11326589.043710632
2011-04-15,7945072.667475025,4318401.2905952735,12263473.958070299,11194884.519946555
2011-04-18,7857580.357477394,4319229.477144155,12176809.834621549,11025004.771903036
2011-04-19,7819439.387478184,4320057.822523333,12139497.210001517,11034548.577972896
2011-04-20,7916354.280095493,4320886.3267632695,12237240.606858764,11294140.103073105
2011-04-21,7931798.240096282,4321714.98989443,12253513.229990713,11353311.700706242
2011-04-25,8026038.320099442,4322543.811947287,12348582.13204673,11360946.74556213
2011-04-26,8067452.440100235,4323372.792952318,12390825.233052552,11307501.43157091
2011-04-27,8077443.2801010255,4324201.932940007,12401645.213041034,11324680.28249666
2011-04-28,8032855.930101816,4325031.231940845,12357887.16204266,11168161.862950945
2011-04-29,8069111.020102609,4325860.689985327,12394971.710087936,11061271.234968506
2011-05-02,8040773.610104982,4326039.572881767,12366813.182986747,11005917.159763312
2011-05-03,8045868.500105773,4313618.928529443,12359487.428635217,10805497.23229624
2011-05-04,7963747.460106563,4304332.643042705,12268080.103149269,10740599.351021187
2011-05-05,7913347.3701073555,4286532.706782467,12199880.076889822,10614621.110899027
2011-05-06,7955102.200108151,4283366.387539203,12238468.587647354,10774957.052872688
2011-05-09,7955716.960110526,4284187.85506558,12239904.815176107,10769230.769230768
2011-05-10,7967876.060111318,4285009.480133675,12252885.540244993,10694789.081885856
2011-05-11,7998225.16011211,4285831.262773701,12284056.422885811,10742508.112235159
2011-05-12,7967298.100112905,4286653.203015877,12253951.303128783,10606986.066043139
2011-05-13,8039846.830113697,4287475.300890428,12327322.131004125,10731055.544951327
2011-05-16,8020384.010116075,4288297.556427585,12308681.566543661,10673792.708532164
2011-05-17,8029188.51011687,4289119.969657585,12318308.479774455,10521091.81141439
2011-05-18,8017282.560117663,4289942.54061067,12307225.100728333,10524909.333842335
2011-05-19,7997162.042851231,4290765.269317089,12287927.312168319,10589807.215117387
2011-05-20,8018287.032852025,4291588.155807095,12309875.18865912,10650887.573964495
2011-05-23,8001398.972854407,4292411.200110949,12293810.172965355,10460011.452567283
2011-05-24,7991084.822855202,4293234.402258915,12284319.225114116,10484825.348348921
2011-05-25,8006851.382855995,4294057.762281266,12300909.145137262,10395113.57129223
2011-05-26,8003752.422856791,4294881.280208279,12298633.703065071,10519183.05020042
2011-05-27,8033779.902135678,4295704.956070237,12329484.858205914,10669975.186104218
2011-05-30,8053756.532138063,4296528.789897429,12350285.322035491,10635617.48425272
2011-05-31,8133856.082138859,4297352.781720149,12431208.863859009,10740599.351021187
