,mq,kc6,combined
2023-02-16,6775766.787557984,4034602.9412463587,10810369.728804342
2023-02-17,6758370.190980633,4032108.963207694,10790479.154188327
2023-02-20,6725783.066505715,4032710.3187677613,10758493.385273477
2023-02-21,6723663.202548857,4026738.295413387,10750401.497962244
2023-02-22,6704664.8766925745,4017668.8085978967,10722333.68529047
2023-02-23,6688890.428941723,4060763.65378127,10749654.082722994
2023-02-24,6609493.309301148,4069625.6537282337,10679118.96302938
2023-02-27,6566344.653795952,4053246.8920425694,10619591.545838522
2023-02-28,6600011.112489864,4063140.4742241916,10663151.586714055
2023-03-01,6663505.788424045,4094297.3326557227,10757803.121079767
2023-03-02,6642272.831133324,4147364.306283379,10789637.137416702
2023-03-03,6669227.690857275,4148159.6912188306,10817387.382076107
2023-03-06,6731729.472163787,4148955.228693859,10880684.700857647
2023-03-08,6800278.429000413,4149750.9187377184,10950029.347738132
2023-03-09,6811852.44621698,4150546.761379668,10962399.207596648
2023-03-10,6774409.369305005,4151342.756648974,10925752.12595398
2023-03-13,6670405.283842437,4151514.4228836587,10821919.706726097
2023-03-14,6619215.936245816,4148583.3740839628,10767799.310329778
2023-03-15,6643243.560030106,4147969.444636338,10791213.004666444
2023-03-16,6606901.199957287,4141376.9502722956,10748278.150229583
2023-03-17,6626830.19987059,4157479.0766986725,10784309.276569262
2023-03-20,6560349.217908761,4158276.401453108,10718625.61936187
2023-03-21,6594410.500056003,4159073.87911914,10753484.379175143
2023-03-22,6600902.563609995,4159871.5097260945,10760774.073336089
2023-03-23,6576852.928574425,4160669.2933033025,10737522.221877728
2023-03-24,6486728.744952992,4161467.2298801006,10648195.974833092
2023-03-27,6461052.55261046,4162265.319485831,10623317.87209629
2023-03-28,6463875.404682524,4163063.5621498423,10626938.966832366
2023-03-29,6568837.658187208,4163235.7130630193,10732073.371250227
2023-03-31,6620240.2495092135,4170230.0073230593,10790470.256832272
2023-04-03,6664436.597329326,4192913.4394148747,10857350.0367442
2023-04-05,6661022.333549428,4196898.050156963,10857920.38370639
2023-04-06,6671562.252162141,4197702.934714528,10869265.18687667
2023-04-10,6676460.630045971,4197876.51803428,10874337.148080252
2023-04-11,6707344.996223619,4208084.3023528075,10915429.298576426
2023-04-12,6684946.841736405,4214567.9768491555,10899514.81858556
2023-04-13,6678597.096587661,4215376.250159784,10893973.346747445
2023-04-17,6676805.239444137,4216184.6784817325,10892989.917925868
2023-04-18,6680178.391037811,4216993.261844729,10897171.652882539
2023-04-19,6699596.471989984,4217802.000278507,10917398.472268492
2023-04-20,6709307.712303996,4218610.893812807,10927918.606116803
