label,mechanic,universe,max_age_m,min_bars,L,max_depth,rs_policy,rs_min,tight_max,pivot_mode,stop,trail,target,slots,size_pct,risk_pct,stop_mode,cost,gate,n_signals,w2_cagr,w2_cagr_lo,w2_cagr_hi,w2_dd,w2_dd_worst,w2_calmar,w2_n,w2_tpy,w2_win,w2_mean,w2_netexp,w2_avg_win,w2_avg_loss,w2_hold,w2_inv,w2_streak,wa_cagr,wa_cagr_lo,wa_cagr_hi,wa_dd,wa_dd_worst,wa_calmar,wa_n,wa_tpy,wa_win,wa_mean,wa_netexp,wa_avg_win,wa_avg_loss,wa_hold,wa_inv,wa_streak,wb_cagr,wb_cagr_lo,wb_cagr_hi,wb_dd,wb_dd_worst,wb_calmar,wb_n,wb_tpy,wb_win,wb_mean,wb_netexp,wb_avg_win,wb_avg_loss,wb_hold,wb_inv,wb_streak,secs
s1_tr10_tp100_sl6,nextday_pivot,clean,6,25,25,0.3,off,70.0,,close,0.06,10,1.0,8,0.1875,,pct,0.0025,False,1548,12.62,11.01,14.23,-46.87,-52.79,0.269,879,42.5,38.8,2.008,1.508,11.81,-4.24,11.0,25.0,13,17.08,16.79,17.36,-17.07,-17.34,1.001,129,12.9,54.3,6.548,6.048,15.29,-3.8,15.0,10.4,7,9.05,4.59,10.99,-48.15,-54.59,0.188,749,70.2,36.1,1.254,0.754,10.87,-4.29,10.0,38.7,13,7.2
s1_tr10_tp100_sl8,nextday_pivot,clean,6,25,25,0.3,off,70.0,,close,0.08,10,1.0,8,0.1875,,pct,0.0025,False,1548,12.74,10.78,14.26,-46.99,-53.08,0.271,872,42.2,38.8,2.036,1.536,12.0,-4.28,11.0,25.2,13,16.9,16.74,17.05,-16.85,-17.0,1.003,128,12.8,53.9,6.519,6.019,15.43,-3.77,15.0,10.4,7,8.91,4.62,10.95,-47.85,-54.26,0.186,744,69.7,36.2,1.25,0.75,11.09,-4.34,10.0,39.1,13,6.9
s1_tr10_tp100_sl10,nextday_pivot,clean,6,25,25,0.3,off,70.0,,close,0.1,10,1.0,8,0.1875,,pct,0.0025,False,1548,12.92,10.89,14.49,-47.86,-54.15,0.27,869,42.0,39.0,2.067,1.567,12.01,-4.31,11.0,25.4,13,17.21,17.05,17.36,-16.84,-16.99,1.022,128,12.8,54.7,6.649,6.149,15.34,-3.7,15.0,10.6,7,9.02,4.48,10.84,-48.51,-55.26,0.186,742,69.5,36.3,1.258,0.758,11.11,-4.39,11.0,39.3,12,6.0
s1_tr10_tp100_sl15,nextday_pivot,clean,6,25,25,0.3,off,70.0,,close,0.15,10,1.0,8,0.1875,,pct,0.0025,False,1548,12.81,10.65,14.36,-47.78,-52.46,0.268,867,41.9,38.8,2.062,1.562,12.04,-4.3,11.0,25.4,13,17.21,17.05,17.36,-16.84,-16.99,1.022,128,12.8,54.7,6.649,6.149,15.34,-3.7,15.0,10.6,7,8.69,4.49,10.45,-47.64,-54.53,0.182,739,69.3,35.9,1.231,0.731,11.16,-4.38,11.0,39.3,12,6.2
s1_tr10_tp100_nosl,nextday_pivot,clean,6,25,25,0.3,off,70.0,,close,0.99,10,1.0,8,0.1875,,pct,0.0025,False,1548,12.73,10.58,14.27,-47.78,-52.46,0.267,867,41.9,38.8,2.056,1.556,12.04,-4.31,11.0,25.4,13,17.21,17.05,17.36,-16.84,-16.99,1.022,128,12.8,54.7,6.649,6.149,15.34,-3.7,15.0,10.6,7,8.63,4.35,10.29,-47.64,-54.53,0.181,739,69.3,35.9,1.226,0.726,11.16,-4.39,11.0,39.3,12,6.2
s1_tr10_notp_sl6,nextday_pivot,clean,6,25,25,0.3,off,70.0,,close,0.06,10,,8,0.1875,,pct,0.0025,False,1548,12.13,10.69,13.71,-46.79,-52.79,0.259,875,42.3,38.9,1.937,1.437,11.6,-4.24,11.0,25.1,13,17.08,16.79,17.36,-17.07,-17.34,1.001,129,12.9,54.3,6.548,6.048,15.29,-3.8,15.0,10.4,7,7.91,3.99,9.97,-48.33,-54.6,0.164,746,69.9,36.2,1.147,0.647,10.63,-4.28,10.0,38.8,13,6.3
s1_tr10_notp_sl8,nextday_pivot,clean,6,25,25,0.3,off,70.0,,close,0.08,10,,8,0.1875,,pct,0.0025,False,1548,11.92,10.1,13.46,-47.02,-53.08,0.254,868,42.0,38.8,1.92,1.42,11.78,-4.29,11.0,25.2,13,16.9,16.74,17.05,-16.85,-17.0,1.003,128,12.8,53.9,6.519,6.019,15.43,-3.77,15.0,10.4,7,7.5,3.35,9.64,-48.28,-54.25,0.155,742,69.6,36.0,1.119,0.619,10.8,-4.35,10.0,39.1,13,6.3
s1_tr10_notp_sl10,nextday_pivot,clean,6,25,25,0.3,off,70.0,,close,0.1,10,,8,0.1875,,pct,0.0025,False,1548,12.1,10.3,13.71,-47.9,-54.15,0.253,865,41.9,39.0,1.946,1.446,11.78,-4.32,11.0,25.4,13,17.21,17.05,17.36,-16.84,-16.99,1.022,128,12.8,54.7,6.649,6.149,15.34,-3.7,15.0,10.6,7,7.51,3.23,9.57,-48.91,-55.26,0.154,739,69.3,36.2,1.125,0.625,10.82,-4.4,11.0,39.3,12,6.2
s1_tr10_notp_sl15,nextday_pivot,clean,6,25,25,0.3,off,70.0,,close,0.15,10,,8,0.1875,,pct,0.0025,False,1548,12.0,9.98,13.58,-47.84,-52.46,0.251,864,41.8,38.8,1.945,1.445,11.82,-4.31,11.0,25.4,13,17.21,17.05,17.36,-16.84,-16.99,1.022,128,12.8,54.7,6.649,6.149,15.34,-3.7,15.0,10.6,7,7.12,3.23,9.44,-47.91,-54.53,0.149,737,69.1,35.8,1.093,0.593,10.87,-4.39,11.0,39.3,12,6.7
s1_tr10_notp_nosl,nextday_pivot,clean,6,25,25,0.3,off,70.0,,close,0.99,10,,8,0.1875,,pct,0.0025,False,1548,11.93,9.91,13.49,-47.84,-52.46,0.249,864,41.8,38.8,1.938,1.438,11.82,-4.31,11.0,25.4,13,17.21,17.05,17.36,-16.84,-16.99,1.022,128,12.8,54.7,6.649,6.149,15.34,-3.7,15.0,10.6,7,7.05,3.08,9.29,-47.91,-54.53,0.147,737,69.0,35.8,1.089,0.589,10.87,-4.4,11.0,39.3,12,6.5
s1_tr15_tp25_sl6,nextday_pivot,clean,6,25,25,0.3,off,70.0,,close,0.06,15,0.25,8,0.1875,,pct,0.0025,False,1548,11.31,9.46,12.9,-47.57,-58.82,0.238,815,39.4,38.4,1.911,1.411,12.83,-4.91,14.0,28.1,18,14.84,14.29,15.4,-12.44,-13.05,1.193,139,13.9,47.1,5.235,4.735,16.18,-4.55,14.0,10.1,7,8.01,5.96,10.08,-47.89,-53.54,0.167,676,63.4,36.7,1.218,0.718,11.85,-4.97,13.0,45.0,18,7.1
s1_tr15_tp25_sl8,nextday_pivot,clean,6,25,25,0.3,off,70.0,,close,0.08,15,0.25,8,0.1875,,pct,0.0025,False,1548,11.75,8.87,13.32,-46.8,-58.02,0.251,796,38.5,39.1,2.005,1.505,12.91,-5.02,14.0,28.6,18,14.35,13.81,14.62,-11.98,-12.29,1.198,139,13.9,47.5,5.061,4.561,15.99,-4.87,14.0,10.3,7,9.12,6.85,12.16,-46.77,-54.58,0.195,660,61.8,37.4,1.345,0.845,12.05,-5.05,14.0,45.7,18,6.8
s1_tr15_tp25_sl10,nextday_pivot,clean,6,25,25,0.3,off,70.0,,close,0.1,15,0.25,8,0.1875,,pct,0.0025,False,1548,12.02,10.06,13.62,-46.75,-59.36,0.257,788,38.1,39.7,2.071,1.571,12.89,-5.1,14.0,28.8,18,14.96,14.42,15.23,-12.16,-12.47,1.23,136,13.6,49.3,5.414,4.914,15.9,-4.82,15.0,10.5,7,8.84,6.36,12.6,-49.83,-56.11,0.177,656,61.5,37.9,1.334,0.834,12.03,-5.15,14.0,46.0,18,7.7
s1_tr15_tp25_sl15,nextday_pivot,clean,6,25,25,0.3,off,70.0,,close,0.15,15,0.25,8,0.1875,,pct,0.0025,False,1548,11.45,9.47,13.16,-49.07,-60.44,0.233,784,37.9,39.3,1.987,1.487,12.86,-5.1,14.0,28.8,18,14.96,14.42,15.23,-12.16,-12.47,1.23,136,13.6,49.3,5.414,4.914,15.9,-4.82,15.0,10.5,7,8.05,5.35,11.34,-50.25,-56.57,0.16,653,61.2,37.6,1.269,0.769,11.97,-5.15,14.0,45.8,18,7.0
s1_tr15_tp25_nosl,nextday_pivot,clean,6,25,25,0.3,off,70.0,,close,0.99,15,0.25,8,0.1875,,pct,0.0025,False,1548,11.06,9.01,12.44,-49.07,-60.44,0.225,784,37.9,39.2,1.93,1.43,12.8,-5.11,14.0,28.8,18,14.96,14.42,15.23,-12.16,-12.47,1.23,136,13.6,49.3,5.414,4.914,15.9,-4.82,15.0,10.5,7,7.38,4.49,10.4,-50.33,-56.57,0.147,653,61.2,37.6,1.215,0.715,11.86,-5.18,14.0,45.8,18,7.0
s1_tr15_tp50_sl6,nextday_pivot,clean,6,25,25,0.3,off,70.0,,close,0.06,15,0.5,8,0.1875,,pct,0.0025,False,1548,13.41,11.52,14.87,-43.87,-55.46,0.306,741,35.8,39.7,2.428,1.928,13.63,-4.89,16.0,30.1,18,16.59,15.73,17.01,-14.7,-14.7,1.129,120,12.0,50.8,6.927,6.427,18.34,-4.76,19.0,12.1,5,11.24,8.59,12.88,-44.24,-50.36,0.254,621,58.2,37.7,1.622,1.122,12.4,-4.92,15.0,46.9,18,6.7
s1_tr15_tp50_sl8,nextday_pivot,clean,6,25,25,0.3,off,70.0,,close,0.08,15,0.5,8,0.1875,,pct,0.0025,False,1548,13.17,10.83,14.83,-41.72,-55.97,0.316,726,35.1,39.9,2.435,1.935,13.6,-5.0,16.0,30.5,18,16.41,15.39,16.74,-13.64,-13.77,1.203,119,11.9,51.3,6.912,6.412,18.24,-4.87,19.0,12.2,4,10.8,8.21,14.25,-42.84,-52.79,0.252,609,57.0,38.0,1.612,1.112,12.41,-5.05,16.0,47.4,18,7.2
s1_tr15_tp50_sl10,nextday_pivot,clean,6,25,25,0.3,off,70.0,,close,0.1,15,0.5,8,0.1875,,pct,0.0025,False,1548,13.3,11.1,15.06,-42.73,-57.38,0.311,721,34.9,40.5,2.474,1.974,13.57,-5.1,16.0,30.6,18,16.71,15.68,17.04,-13.64,-13.69,1.225,118,11.8,52.5,7.115,6.615,18.1,-4.92,20.0,12.4,4,10.92,8.01,14.51,-44.23,-54.65,0.247,604,56.6,38.4,1.623,1.123,12.36,-5.14,16.0,47.5,18,7.5
s1_tr15_tp50_sl15,nextday_pivot,clean,6,25,25,0.3,off,70.0,,close,0.15,15,0.5,8,0.1875,,pct,0.0025,False,1548,13.08,10.55,14.45,-42.62,-56.47,0.307,717,34.7,40.0,2.447,1.947,13.6,-5.1,17.0,30.6,18,16.55,15.53,16.89,-14.27,-14.27,1.16,118,11.8,52.5,7.039,6.539,18.1,-5.08,20.0,12.5,4,10.18,7.13,12.55,-45.05,-53.65,0.226,601,56.3,38.1,1.555,1.055,12.44,-5.14,16.0,47.5,18,7.3
s1_tr15_tp50_nosl,nextday_pivot,clean,6,25,25,0.3,off,70.0,,close,0.99,15,0.5,8,0.1875,,pct,0.0025,False,1548,12.96,10.48,14.38,-42.62,-56.65,0.304,717,34.7,40.0,2.427,1.927,13.6,-5.11,17.0,30.6,18,16.47,15.44,16.8,-14.91,-14.91,1.105,118,11.8,52.5,6.998,6.498,18.1,-5.17,20.0,12.5,4,10.11,7.23,12.51,-45.05,-53.92,0.224,601,56.3,38.1,1.556,1.056,12.42,-5.15,16.0,47.5,18,6.8
s1_tr15_tp100_sl6,nextday_pivot,clean,6,25,25,0.3,off,70.0,,close,0.06,15,1.0,8,0.1875,,pct,0.0025,False,1548,12.66,10.89,15.17,-41.5,-57.95,0.305,723,35.0,38.8,2.382,1.882,13.82,-4.94,16.0,30.6,18,16.05,15.19,16.46,-24.64,-24.64,0.651,115,11.5,51.3,7.06,6.56,18.59,-4.95,21.0,12.9,6,10.21,8.13,12.93,-42.76,-53.05,0.239,605,56.7,37.0,1.581,1.081,12.74,-4.97,15.0,47.1,18,6.8
s1_tr15_tp100_sl8,nextday_pivot,clean,6,25,25,0.3,off,70.0,,close,0.08,15,1.0,8,0.1875,,pct,0.0025,False,1548,12.79,10.6,15.0,-41.65,-59.65,0.307,706,34.2,39.6,2.462,1.962,13.96,-5.08,17.0,31.0,18,15.93,14.91,16.26,-23.51,-23.51,0.678,114,11.4,51.8,7.069,6.569,18.48,-5.04,21.0,13.1,5,10.33,7.31,15.38,-44.93,-54.46,0.23,594,55.6,37.4,1.622,1.122,12.8,-5.06,16.0,47.7,18,7.5
s1_tr15_tp100_sl10,nextday_pivot,clean,6,25,25,0.3,off,70.0,,close,0.1,15,1.0,8,0.1875,,pct,0.0025,False,1548,12.6,10.65,14.9,-43.22,-60.58,0.292,699,33.8,39.8,2.439,1.939,14.0,-5.17,17.0,31.1,18,16.11,15.09,16.45,-23.07,-23.07,0.699,112,11.2,52.7,7.28,6.78,18.52,-5.09,22.0,13.2,5,10.44,6.97,15.37,-46.05,-56.29,0.227,588,55.1,37.7,1.616,1.116,12.83,-5.18,16.0,47.7,18,6.6
s1_tr15_tp100_sl15,nextday_pivot,clean,6,25,25,0.3,off,70.0,,close,0.15,15,1.0,8,0.1875,,pct,0.0025,False,1548,12.58,10.51,14.62,-42.79,-59.42,0.294,695,33.6,39.5,2.447,1.947,14.04,-5.17,17.0,31.1,18,15.8,14.78,16.13,-25.12,-25.12,0.629,112,11.2,52.7,7.161,6.661,18.52,-5.34,22.0,13.2,5,10.32,7.09,15.23,-45.24,-55.08,0.228,584,54.8,37.5,1.616,1.116,12.93,-5.15,16.0,47.7,18,6.7
s1_tr15_tp100_nosl,nextday_pivot,clean,6,25,25,0.3,off,70.0,,close,0.99,15,1.0,8,0.1875,,pct,0.0025,False,1548,12.55,10.43,14.54,-42.79,-59.42,0.293,695,33.6,39.5,2.443,1.943,14.04,-5.19,17.0,31.1,18,15.66,14.64,15.99,-27.05,-27.05,0.579,112,11.2,52.7,7.11,6.61,18.52,-5.45,22.0,13.3,5,10.27,7.08,15.18,-45.24,-55.07,0.227,584,54.8,37.4,1.609,1.109,12.94,-5.15,16.0,47.7,18,7.9
s1_tr15_notp_sl6,nextday_pivot,clean,6,25,25,0.3,off,70.0,,close,0.06,15,,8,0.1875,,pct,0.0025,False,1548,12.09,10.53,14.24,-44.61,-57.95,0.271,722,34.9,38.8,2.287,1.787,13.58,-4.92,16.0,30.7,18,15.94,15.08,16.47,-24.64,-24.64,0.647,114,11.4,51.8,7.033,6.533,18.36,-4.87,21.0,13.0,6,9.42,7.79,12.14,-45.12,-53.06,0.209,605,56.7,37.0,1.464,0.964,12.42,-4.95,15.0,47.2,18,8.0
s1_tr15_notp_sl8,nextday_pivot,clean,6,25,25,0.3,off,70.0,,close,0.08,15,,8,0.1875,,pct,0.0025,False,1548,12.41,10.24,14.59,-43.36,-59.64,0.286,704,34.1,39.5,2.387,1.887,13.68,-5.06,17.0,31.0,18,15.82,14.93,16.28,-23.51,-23.51,0.673,113,11.3,52.2,7.042,6.542,18.25,-5.06,21.0,13.1,5,9.61,6.62,14.69,-46.38,-54.47,0.207,593,55.6,37.4,1.526,1.026,12.56,-5.06,16.0,47.8,18,8.0
s1_tr15_notp_sl10,nextday_pivot,clean,6,25,25,0.3,off,70.0,,close,0.1,15,,8,0.1875,,pct,0.0025,False,1548,12.34,10.31,14.5,-44.66,-60.57,0.276,697,33.7,39.9,2.401,1.901,13.73,-5.15,17.0,31.1,18,16.0,15.11,16.46,-23.07,-23.07,0.694,111,11.1,53.2,7.253,6.753,18.29,-5.11,22.0,13.2,5,9.57,6.07,14.54,-47.03,-56.29,0.203,587,55.0,37.8,1.529,1.029,12.53,-5.18,16.0,47.8,18,7.8
s1_tr15_notp_sl15,nextday_pivot,clean,6,25,25,0.3,off,70.0,,close,0.15,15,,8,0.1875,,pct,0.0025,False,1548,12.12,10.17,14.23,-43.58,-59.42,0.278,693,33.5,39.6,2.361,1.861,13.74,-5.16,17.0,31.1,18,15.69,14.8,16.15,-25.12,-25.12,0.625,111,11.1,53.2,7.134,6.634,18.29,-5.34,22.0,13.2,5,9.65,6.24,14.36,-45.78,-54.99,0.211,583,54.6,37.5,1.533,1.033,12.61,-5.15,16.0,47.7,18,7.5
s1_tr15_notp_nosl,nextday_pivot,clean,6,25,25,0.3,off,70.0,,close,0.99,15,,8,0.1875,,pct,0.0025,False,1548,12.03,10.09,14.14,-43.58,-59.42,0.276,693,33.5,39.6,2.349,1.849,13.74,-5.18,17.0,31.2,18,15.55,14.65,16.0,-27.05,-27.05,0.575,111,11.1,53.2,7.083,6.583,18.29,-5.44,22.0,13.3,5,9.6,6.2,14.31,-45.78,-55.09,0.21,583,54.6,37.5,1.528,1.028,12.61,-5.16,16.0,47.7,18,10.1
s1_tr20_tp25_sl6,nextday_pivot,clean,6,25,25,0.3,off,70.0,,close,0.06,20,0.25,8,0.1875,,pct,0.0025,False,1548,13.94,13.14,15.69,-42.18,-48.16,0.331,707,34.2,38.8,2.588,2.088,15.24,-5.37,17.0,30.9,18,14.1,13.73,14.46,-12.56,-12.95,1.122,129,12.9,44.5,5.293,4.793,17.86,-4.71,16.0,11.1,10,13.75,11.8,17.56,-43.25,-48.71,0.318,581,54.5,37.5,1.965,1.465,14.47,-5.49,17.0,49.3,18,7.5
s1_tr20_tp25_sl8,nextday_pivot,clean,6,25,25,0.3,off,70.0,,close,0.08,20,0.25,8,0.1875,,pct,0.0025,False,1548,14.9,13.11,16.73,-38.57,-46.43,0.386,686,33.2,39.9,2.813,2.313,15.25,-5.49,18.0,31.8,18,14.14,13.77,14.14,-12.75,-12.75,1.109,127,12.7,44.9,5.404,4.904,17.86,-4.74,17.0,11.5,9,15.04,12.14,19.53,-37.98,-49.62,0.396,561,52.6,38.6,2.157,1.657,14.57,-5.62,18.0,50.6,17,6.8
s1_tr20_tp25_sl10,nextday_pivot,clean,6,25,25,0.3,off,70.0,,close,0.1,20,0.25,8,0.1875,,pct,0.0025,False,1548,15.71,14.03,17.77,-34.75,-43.42,0.452,673,32.6,41.2,2.97,2.47,15.22,-5.54,19.0,32.0,18,14.78,14.4,14.78,-13.0,-13.0,1.136,124,12.4,46.8,5.8,5.3,17.68,-4.64,18.0,11.7,8,15.81,13.58,20.18,-33.81,-47.86,0.468,552,51.7,39.7,2.266,1.766,14.41,-5.71,19.0,50.9,17,7.1
s1_tr20_tp25_sl15,nextday_pivot,clean,6,25,25,0.3,off,70.0,,close,0.15,20,0.25,8,0.1875,,pct,0.0025,False,1548,15.61,13.76,17.74,-37.64,-44.28,0.415,670,32.4,41.0,2.981,2.481,15.29,-5.57,19.0,32.0,18,14.78,14.4,14.78,-13.0,-13.0,1.136,124,12.4,46.8,5.8,5.3,17.68,-4.64,18.0,11.7,8,16.04,13.85,19.65,-35.07,-47.94,0.457,548,51.4,39.8,2.28,1.78,14.58,-5.77,19.0,50.9,17,7.9
s1_tr20_tp25_nosl,nextday_pivot,clean,6,25,25,0.3,off,70.0,,close,0.99,20,0.25,8,0.1875,,pct,0.0025,False,1548,15.24,13.8,17.2,-37.64,-44.28,0.405,669,32.4,41.0,2.946,2.446,15.22,-5.58,19.0,32.0,18,14.97,14.59,14.97,-13.0,-13.0,1.151,124,12.4,46.8,5.883,5.383,17.68,-4.49,18.0,11.7,8,15.2,13.77,18.68,-35.15,-47.95,0.432,547,51.3,39.7,2.224,1.724,14.47,-5.8,19.0,50.9,17,7.5
s1_tr20_tp50_sl6,nextday_pivot,clean,6,25,25,0.3,off,70.0,,close,0.06,20,0.5,8,0.1875,,pct,0.0025,False,1548,16.2,14.76,17.79,-36.17,-45.9,0.448,625,30.3,40.0,3.363,2.863,16.49,-5.41,21.0,33.3,18,14.94,14.48,15.12,-13.81,-14.62,1.081,113,11.3,46.9,6.535,6.035,19.02,-4.71,22.0,13.3,6,16.94,14.77,20.43,-37.05,-52.19,0.457,515,48.2,38.3,2.593,2.093,15.62,-5.53,20.0,51.9,17,7.5
s1_tr20_tp50_sl8,nextday_pivot,clean,6,25,25,0.3,off,70.0,,close,0.08,20,0.5,8,0.1875,,pct,0.0025,False,1548,16.08,14.3,17.48,-36.17,-52.61,0.445,608,29.4,40.5,3.419,2.919,16.52,-5.49,22.0,33.9,18,14.92,14.46,15.06,-13.81,-13.81,1.08,112,11.2,47.3,6.6,6.1,19.27,-4.65,23.0,13.6,6,17.03,15.2,20.66,-36.13,-51.44,0.471,500,46.9,38.8,2.674,2.174,15.71,-5.64,21.0,52.9,17,7.8
s1_tr20_tp50_sl10,nextday_pivot,clean,6,25,25,0.3,off,70.0,,close,0.1,20,0.5,8,0.1875,,pct,0.0025,False,1548,16.67,15.0,18.31,-32.54,-46.53,0.512,599,29.0,41.7,3.582,3.082,16.43,-5.58,22.0,34.0,18,15.16,14.7,15.3,-13.81,-13.81,1.097,111,11.1,48.6,6.788,6.288,19.04,-4.69,23.0,13.8,6,17.77,14.78,21.14,-33.24,-48.09,0.535,491,46.0,40.1,2.79,2.29,15.59,-5.75,21.0,52.9,17,7.1
