symbol,entry_date,buy,inside_day_range,scale_ratio,day_open,day_high,day_low,day_close,prev_close,prev_high,open_above_buy,best_w,best_basis,best_gap,best_pivot,best_diff_pct,n_exact_hits,exact_min_w,exact_bases,fr3_last,fr3_last_diff,fr3_base,fr3_base_diff,fr5_last,fr5_last_diff,fr5_base,fr5_base_diff,vs_ath_high_pct,vs_ath_close_pct
MAHSCOOTER,2025-07-29,15314.0,True,1.0015,14915.0,15399.0,14817.0,15337.0,14908.0,15289.0,False,20,C,1,15314.0,0.0,113,5,CH,15480.0,1.072,15480.0,1.072,15480.0,1.072,15480.0,1.072,-1.07,0.0
SUVEN,2025-07-07,260.57,True,1.028,260.0,267.86,257.0,267.86,255.11,256.0,False,20,C,1,260.57,0.0,97,8,C,271.72,4.103,271.72,4.103,271.72,4.103,271.72,4.103,-16.44,-14.12
TFCILTD,2025-06-27,46.88,True,1.0079,46.3,47.6,45.9,47.25,46.2,46.4,False,5,C,1,46.9,0.0426,60,5,C,47.5,1.305,47.5,1.305,47.5,1.305,47.5,1.305,-12.37,-9.32
KFINTECH,2025-06-23,1286.6,True,1.0147,1261.55,1338.94,1246.95,1305.46,1264.04,1281.42,False,5,H,1,1281.42,0.4042,0,,,1275.36,0.881,1630.43,21.088,1275.36,0.881,1630.43,21.088,-21.09,-18.65
V2RETAIL,2025-05-26,191.11,True,1.0402,189.3,198.8,189.3,198.8,189.3,190.0,False,25,C,1,191.1,0.0052,45,15,C,193.5,1.235,209.7,8.865,197.5,3.235,209.7,8.865,-8.87,-5.95
HEG,2025-05-19,500.65,True,1.056,492.9,550.9,492.6,528.7,490.6,495.0,False,30,C,1,500.65,0.0,45,20,C,492.45,1.665,619.5,19.185,497.7,0.593,619.5,19.185,-49.48,-47.26
NAZARA,2025-05-09,271.84,True,1.0159,262.5,276.62,262.5,276.17,270.2,275.98,False,200,C,1,271.84,0.0,18,150,C,257.25,5.672,270.0,0.681,257.25,5.672,270.0,0.681,-35.2,-32.09
NAZARA,2025-05-07,266.06,True,1.0065,250.52,269.1,250.2,267.8,253.95,255.75,False,75,C,1,266.06,0.0,21,75,C,257.25,3.425,270.0,1.459,257.25,3.425,270.0,1.459,-36.58,-33.53
LAURUSLABS,2025-04-22,641.35,True,1.0161,643.05,657.4,636.75,651.7,640.35,645.0,True,50,C,1,641.35,0.0,58,40,C,638.9,0.383,646.2,0.751,638.9,0.383,646.2,0.751,-11.39,-9.5
HCG,2025-04-15,544.4,True,1.0556,541.1,582.0,541.1,574.65,533.9,539.9,False,15,C,1,544.4,0.0,116,5,CH,550.75,1.153,567.7,4.104,550.75,1.153,567.7,4.104,-4.1,0.0
ORIENTCEM,2025-04-08,352.45,True,1.0001,352.95,353.85,346.95,352.5,350.75,352.9,True,150,C,1,352.45,0.0,8,150,C,351.75,0.199,379.0,7.005,351.75,0.199,379.0,7.005,-7.01,-1.63
V2RETAIL,2025-04-02,174.6,True,1.0367,174.6,181.0,170.2,181.0,172.4,174.9,False,25,C,1,174.6,0.0,37,5,C,178.3,2.075,209.7,16.738,175.0,0.229,209.7,16.738,-16.74,-14.07
CARTRADE,2025-03-17,1582.4,True,1.0101,1568.85,1616.2,1546.75,1598.45,1559.0,1566.65,False,20,C,2,1582.4,0.0,3,15,C,1600.0,1.1,1836.85,13.853,1600.0,1.1,1836.85,13.853,-13.85,-10.43
GLOBUSSPR,2025-03-07,956.9,True,1.025,945.0,989.8,942.0,980.85,944.7,948.0,False,25,C,1,956.9,0.0,52,15,C,890.0,7.517,1369.75,30.141,980.0,2.357,1369.75,30.141,-45.62,-44.35
PGIL,2025-03-06,1456.9,True,1.0074,1420.0,1470.0,1412.95,1467.7,1398.65,1414.75,False,10,C,1,1456.9,0.0,46,5,C,1480.0,1.561,1717.0,15.149,1497.85,2.734,1717.0,15.149,-15.15,-13.86
GULFOILLUB,2025-03-06,1187.5,True,1.0066,1164.3,1221.9,1145.7,1195.3,1160.3,1164.3,False,40,H,5,1188.2,0.0589,2,40,CH,1148.3,3.414,1441.8,17.638,1174.1,1.141,1441.8,17.638,-19.81,-17.89
CHOLAFIN,2025-02-27,1395.25,False,1.0311,1406.15,1443.5,1400.5,1438.65,1367.8,1403.65,True,5,C,1,1395.25,0.0,79,5,C,1414.5,1.361,1652.0,15.542,1414.5,1.361,1652.0,15.542,-15.54,-15.01
CHAMBLFERT,2025-02-25,561.35,True,1.0051,537.5,566.7,537.1,564.2,537.85,547.95,False,5,C,1,561.35,0.0,110,5,CH,560.7,0.116,560.7,0.116,560.7,0.116,560.7,0.116,-2.26,0.0
APARINDS,2025-01-06,10956.15,True,1.0181,10961.5,11249.8,10715.3,11154.15,10950.7,11160.0,True,60,C,1,10956.15,0.0,68,5,CH,10368.55,5.667,11000.0,0.399,10500.0,4.344,11000.0,0.399,-1.83,0.0
FSL,2025-01-01,383.7,True,1.0007,374.5,387.45,372.1,383.95,376.0,379.25,False,15,C,1,383.7,0.0,113,5,C,376.5,1.912,391.5,1.992,391.5,1.992,391.5,1.992,-1.99,0.0
AMBER,2024-12-23,6542.6,True,1.0558,6185.0,6994.4,6102.75,6907.8,6122.9,6211.45,False,25,C,1,6542.6,0.0,100,15,CH,6786.4,3.592,7159.0,8.61,6786.4,3.592,7159.0,8.61,-8.61,0.0
AMBER,2024-11-21,6280.55,True,1.0417,6221.95,6679.5,6199.2,6542.6,6168.95,6425.0,False,15,C,1,6280.55,0.0,9,5,CH,6340.0,0.938,7159.0,12.271,7159.0,12.271,7159.0,12.271,-12.27,-1.99
FORTIS,2024-10-31,619.7,True,1.0081,612.8,631.75,609.1,624.7,614.1,615.95,False,15,C,1,619.7,0.0,119,5,CH,627.4,1.227,628.5,1.4,627.4,1.227,628.5,1.4,-1.4,0.0
COHANCE,2024-10-29,1276.8,True,1.0017,1266.9,1286.5,1250.0,1279.0,1266.9,1299.0,False,8,C,1,1276.8,0.0,95,5,C,1307.75,2.367,1307.75,2.367,1287.9,0.862,1287.9,0.862,-2.37,0.0
CHOICEIN,2024-09-24,464.3,False,1.0153,469.0,475.8,467.55,471.4,464.2,465.3,True,5,C,1,464.3,0.0,64,5,C,467.45,0.674,467.45,0.674,413.9,12.177,451.2,2.903,-1.61,0.0
BHAGCHEM,2024-08-19,374.11,True,1.026,356.81,392.09,356.11,383.85,356.46,357.96,False,15,C,1,373.81,0.0803,113,5,C,372.8,0.351,398.68,6.163,398.68,6.163,398.68,6.163,-6.16,0.08
GRWRHITECH,2024-08-08,2569.95,True,1.1192,2398.15,2876.39,2348.53,2876.39,2397.01,2432.92,False,20,H,3,2568.03,0.0748,2,15,H,2547.81,0.869,2622.67,2.01,2442.76,5.207,2622.67,2.01,-2.01,0.66
