cell,phase,params,seeds,window,x_med,cagr_med,cagr_min,cagr_max,cagr_worst_seed,dd_med,dd_worst,calmar_med,n_med,win_med,avg_win,avg_loss,mean_tr,median_tr,streak,tpy,signals,passed_up,yearly_med,runtime_s
p6F_piv30_sma20,p6f,"{""pivot_n"": 30, ""near_pct"": 0.2, ""rs_min"": 70.0, ""stop_pct"": 0.08, ""exit_kind"": ""sma20"", ""breakeven_at"": 0.0, ""slots"": 16, ""sizing"": ""fixed"", ""risk_pct"": 0.02, ""cap_pct"": 0.3, ""size_pct"": 0.0625, ""cost_bps"": 25.0, ""fill"": ""realistic"", ""gate"": """", ""gate_sma"": 200, ""tax"": true, ""cash_yield"": 0.05, ""start"": ""2012-01-01"", ""end"": ""2026-09-01"", ""selection"": ""random"", ""capwin"": 0.0, ""drop_topn"": 0}",10,2012-01-01:2026-09-01,77.17,34.5,31.25,38.01,31.25,-32.99,-36.82,1.076,3117,44.0,13.06,-4.35,3.276,-0.997,26,212.6,29714,26585,"{""2012"": 13.6, ""2013"": 16.0, ""2014"": 88.0, ""2015"": -1.2, ""2016"": 16.8, ""2017"": 113.2, ""2018"": -23.2, ""2019"": 12.9, ""2020"": 86.0, ""2021"": 109.8, ""2022"": 24.2, ""2023"": 55.2, ""2024"": 44.2, ""2025"": 14.2, ""2026"": 13.2}",8.7
p6F_piv30_sma50,p6f,"{""pivot_n"": 30, ""near_pct"": 0.2, ""rs_min"": 70.0, ""stop_pct"": 0.08, ""exit_kind"": ""sma50"", ""breakeven_at"": 0.0, ""slots"": 16, ""sizing"": ""fixed"", ""risk_pct"": 0.02, ""cap_pct"": 0.3, ""size_pct"": 0.0625, ""cost_bps"": 25.0, ""fill"": ""realistic"", ""gate"": """", ""gate_sma"": 200, ""tax"": true, ""cash_yield"": 0.05, ""start"": ""2012-01-01"", ""end"": ""2026-09-01"", ""selection"": ""random"", ""capwin"": 0.0, ""drop_topn"": 0}",10,2012-01-01:2026-09-01,51.9,30.9,22.91,36.1,22.91,-34.9,-42.29,0.882,1337,42.4,25.02,-6.47,6.919,-2.267,24,91.2,29714,28377,"{""2012"": 51.8, ""2013"": 9.6, ""2014"": 78.2, ""2015"": 0.2, ""2016"": 12.4, ""2017"": 96.9, ""2018"": -19.0, ""2019"": 15.3, ""2020"": 45.7, ""2021"": 107.4, ""2022"": 9.2, ""2023"": 71.2, ""2024"": 44.0, ""2025"": -13.3, ""2026"": 10.4}",8.0
p6F_piv50_sma15,p6f,"{""pivot_n"": 50, ""near_pct"": 0.2, ""rs_min"": 70.0, ""stop_pct"": 0.08, ""exit_kind"": ""sma15"", ""breakeven_at"": 0.0, ""slots"": 16, ""sizing"": ""fixed"", ""risk_pct"": 0.02, ""cap_pct"": 0.3, ""size_pct"": 0.0625, ""cost_bps"": 25.0, ""fill"": ""realistic"", ""gate"": """", ""gate_sma"": 200, ""tax"": true, ""cash_yield"": 0.05, ""start"": ""2012-01-01"", ""end"": ""2026-09-01"", ""selection"": ""random"", ""capwin"": 0.0, ""drop_topn"": 0}",10,2012-01-01:2026-09-01,152.67,40.9,36.1,42.47,36.1,-29.53,-35.75,1.344,3935,45.2,11.15,-3.79,2.993,-0.716,28,268.3,27618,23670,"{""2012"": 3.6, ""2013"": 12.6, ""2014"": 92.4, ""2015"": 17.1, ""2016"": 18.0, ""2017"": 112.7, ""2018"": -16.8, ""2019"": 8.2, ""2020"": 81.8, ""2021"": 132.4, ""2022"": 35.4, ""2023"": 67.4, ""2024"": 57.9, ""2025"": 20.5, ""2026"": 15.4}",8.6
p6F_piv50_sma20,p6f,"{""pivot_n"": 50, ""near_pct"": 0.2, ""rs_min"": 70.0, ""stop_pct"": 0.08, ""exit_kind"": ""sma20"", ""breakeven_at"": 0.0, ""slots"": 16, ""sizing"": ""fixed"", ""risk_pct"": 0.02, ""cap_pct"": 0.3, ""size_pct"": 0.0625, ""cost_bps"": 25.0, ""fill"": ""realistic"", ""gate"": """", ""gate_sma"": 200, ""tax"": true, ""cash_yield"": 0.05, ""start"": ""2012-01-01"", ""end"": ""2026-09-01"", ""selection"": ""random"", ""capwin"": 0.0, ""drop_topn"": 0}",10,2012-01-01:2026-09-01,105.7,37.4,34.76,40.46,34.76,-35.72,-41.98,1.064,3046,44.4,13.45,-4.35,3.536,-0.916,28,207.7,27618,24560,"{""2012"": 8.7, ""2013"": 22.2, ""2014"": 87.3, ""2015"": 6.0, ""2016"": 17.0, ""2017"": 105.4, ""2018"": -23.9, ""2019"": 7.4, ""2020"": 114.7, ""2021"": 118.6, ""2022"": 30.0, ""2023"": 63.7, ""2024"": 39.2, ""2025"": 20.8, ""2026"": 18.9}",8.6
p6F_piv50_sma50,p6f,"{""pivot_n"": 50, ""near_pct"": 0.2, ""rs_min"": 70.0, ""stop_pct"": 0.08, ""exit_kind"": ""sma50"", ""breakeven_at"": 0.0, ""slots"": 16, ""sizing"": ""fixed"", ""risk_pct"": 0.02, ""cap_pct"": 0.3, ""size_pct"": 0.0625, ""cost_bps"": 25.0, ""fill"": ""realistic"", ""gate"": """", ""gate_sma"": 200, ""tax"": true, ""cash_yield"": 0.05, ""start"": ""2012-01-01"", ""end"": ""2026-09-01"", ""selection"": ""random"", ""capwin"": 0.0, ""drop_topn"": 0}",10,2012-01-01:2026-09-01,43.68,29.38,26.49,32.78,26.49,-36.97,-41.1,0.805,1296,43.7,24.13,-6.66,6.84,-2.01,25,88.4,27618,26321,"{""2012"": 32.2, ""2013"": 15.3, ""2014"": 78.3, ""2015"": 2.5, ""2016"": 10.2, ""2017"": 103.8, ""2018"": -22.4, ""2019"": 8.6, ""2020"": 47.2, ""2021"": 109.1, ""2022"": 9.5, ""2023"": 52.2, ""2024"": 32.0, ""2025"": -6.7, ""2026"": 14.2}",8.7
p6F_piv75_sma15,p6f,"{""pivot_n"": 75, ""near_pct"": 0.2, ""rs_min"": 70.0, ""stop_pct"": 0.08, ""exit_kind"": ""sma15"", ""breakeven_at"": 0.0, ""slots"": 16, ""sizing"": ""fixed"", ""risk_pct"": 0.02, ""cap_pct"": 0.3, ""size_pct"": 0.0625, ""cost_bps"": 25.0, ""fill"": ""realistic"", ""gate"": """", ""gate_sma"": 200, ""tax"": true, ""cash_yield"": 0.05, ""start"": ""2012-01-01"", ""end"": ""2026-09-01"", ""selection"": ""random"", ""capwin"": 0.0, ""drop_topn"": 0}",10,2012-01-01:2026-09-01,135.22,39.74,32.93,44.89,32.93,-30.77,-37.2,1.251,3891,45.6,11.11,-3.78,2.975,-0.657,28,265.4,26489,22576,"{""2012"": 5.1, ""2013"": 10.7, ""2014"": 100.8, ""2015"": 18.4, ""2016"": 20.5, ""2017"": 119.6, ""2018"": -18.2, ""2019"": 11.2, ""2020"": 97.6, ""2021"": 141.3, ""2022"": 37.8, ""2023"": 57.1, ""2024"": 60.2, ""2025"": 19.8, ""2026"": 19.2}",9.1
p6F_piv75_sma20,p6f,"{""pivot_n"": 75, ""near_pct"": 0.2, ""rs_min"": 70.0, ""stop_pct"": 0.08, ""exit_kind"": ""sma20"", ""breakeven_at"": 0.0, ""slots"": 16, ""sizing"": ""fixed"", ""risk_pct"": 0.02, ""cap_pct"": 0.3, ""size_pct"": 0.0625, ""cost_bps"": 25.0, ""fill"": ""realistic"", ""gate"": """", ""gate_sma"": 200, ""tax"": true, ""cash_yield"": 0.05, ""start"": ""2012-01-01"", ""end"": ""2026-09-01"", ""selection"": ""random"", ""capwin"": 0.0, ""drop_topn"": 0}",10,2012-01-01:2026-09-01,106.69,37.45,34.52,39.82,34.52,-35.57,-39.38,1.061,3016,44.9,13.21,-4.34,3.577,-0.831,30,205.7,26489,23472,"{""2012"": 12.2, ""2013"": 17.6, ""2014"": 95.5, ""2015"": 7.4, ""2016"": 12.6, ""2017"": 113.0, ""2018"": -22.5, ""2019"": 6.2, ""2020"": 120.5, ""2021"": 109.4, ""2022"": 27.0, ""2023"": 56.9, ""2024"": 46.2, ""2025"": 15.2, ""2026"": 15.6}",8.8
p6F_piv75_sma50,p6f,"{""pivot_n"": 75, ""near_pct"": 0.2, ""rs_min"": 70.0, ""stop_pct"": 0.08, ""exit_kind"": ""sma50"", ""breakeven_at"": 0.0, ""slots"": 16, ""sizing"": ""fixed"", ""risk_pct"": 0.02, ""cap_pct"": 0.3, ""size_pct"": 0.0625, ""cost_bps"": 25.0, ""fill"": ""realistic"", ""gate"": """", ""gate_sma"": 200, ""tax"": true, ""cash_yield"": 0.05, ""start"": ""2012-01-01"", ""end"": ""2026-09-01"", ""selection"": ""random"", ""capwin"": 0.0, ""drop_topn"": 0}",10,2012-01-01:2026-09-01,45.25,29.69,26.82,36.94,26.82,-39.44,-43.7,0.746,1295,44.6,23.45,-6.63,6.821,-1.656,27,88.3,26489,25193,"{""2012"": 40.2, ""2013"": 5.7, ""2014"": 78.4, ""2015"": 7.8, ""2016"": 10.8, ""2017"": 103.2, ""2018"": -21.2, ""2019"": 2.8, ""2020"": 43.5, ""2021"": 131.4, ""2022"": 13.6, ""2023"": 56.4, ""2024"": 29.0, ""2025"": -3.2, ""2026"": 19.2}",8.5
p6F_piv120_sma15,p6f,"{""pivot_n"": 120, ""near_pct"": 0.2, ""rs_min"": 70.0, ""stop_pct"": 0.08, ""exit_kind"": ""sma15"", ""breakeven_at"": 0.0, ""slots"": 16, ""sizing"": ""fixed"", ""risk_pct"": 0.02, ""cap_pct"": 0.3, ""size_pct"": 0.0625, ""cost_bps"": 25.0, ""fill"": ""realistic"", ""gate"": """", ""gate_sma"": 200, ""tax"": true, ""cash_yield"": 0.05, ""start"": ""2012-01-01"", ""end"": ""2026-09-01"", ""selection"": ""random"", ""capwin"": 0.0, ""drop_topn"": 0}",10,2012-01-01:2026-09-01,113.82,38.11,36.18,42.84,36.18,-31.66,-36.08,1.237,3884,45.3,11.03,-3.81,2.881,-0.706,26,264.9,25390,21493,"{""2012"": 8.8, ""2013"": 10.2, ""2014"": 92.6, ""2015"": 21.2, ""2016"": 15.8, ""2017"": 100.1, ""2018"": -17.4, ""2019"": 10.0, ""2020"": 90.2, ""2021"": 135.4, ""2022"": 19.3, ""2023"": 65.9, ""2024"": 57.0, ""2025"": 17.0, ""2026"": 21.6}",8.6
p6F_piv120_sma20,p6f,"{""pivot_n"": 120, ""near_pct"": 0.2, ""rs_min"": 70.0, ""stop_pct"": 0.08, ""exit_kind"": ""sma20"", ""breakeven_at"": 0.0, ""slots"": 16, ""sizing"": ""fixed"", ""risk_pct"": 0.02, ""cap_pct"": 0.3, ""size_pct"": 0.0625, ""cost_bps"": 25.0, ""fill"": ""realistic"", ""gate"": """", ""gate_sma"": 200, ""tax"": true, ""cash_yield"": 0.05, ""start"": ""2012-01-01"", ""end"": ""2026-09-01"", ""selection"": ""random"", ""capwin"": 0.0, ""drop_topn"": 0}",10,2012-01-01:2026-09-01,90.94,36.01,33.38,39.32,33.38,-34.5,-37.89,1.072,3010,44.7,13.2,-4.37,3.467,-0.891,28,205.3,25390,22379,"{""2012"": 14.0, ""2013"": 12.8, ""2014"": 97.1, ""2015"": 9.4, ""2016"": 17.5, ""2017"": 101.5, ""2018"": -23.0, ""2019"": 9.2, ""2020"": 110.6, ""2021"": 115.6, ""2022"": 16.6, ""2023"": 59.6, ""2024"": 47.8, ""2025"": 7.6, ""2026"": 23.2}",7.7
p6F_piv120_sma50,p6f,"{""pivot_n"": 120, ""near_pct"": 0.2, ""rs_min"": 70.0, ""stop_pct"": 0.08, ""exit_kind"": ""sma50"", ""breakeven_at"": 0.0, ""slots"": 16, ""sizing"": ""fixed"", ""risk_pct"": 0.02, ""cap_pct"": 0.3, ""size_pct"": 0.0625, ""cost_bps"": 25.0, ""fill"": ""realistic"", ""gate"": """", ""gate_sma"": 200, ""tax"": true, ""cash_yield"": 0.05, ""start"": ""2012-01-01"", ""end"": ""2026-09-01"", ""selection"": ""random"", ""capwin"": 0.0, ""drop_topn"": 0}",10,2012-01-01:2026-09-01,38.23,28.19,26.29,31.52,26.29,-36.38,-42.43,0.776,1288,44.0,23.31,-6.75,6.534,-1.788,21,87.9,25390,24101,"{""2012"": 34.3, ""2013"": 5.7, ""2014"": 77.6, ""2015"": 10.6, ""2016"": 8.8, ""2017"": 95.0, ""2018"": -21.4, ""2019"": 7.6, ""2020"": 52.3, ""2021"": 125.8, ""2022"": 4.2, ""2023"": 60.3, ""2024"": 33.6, ""2025"": -5.2, ""2026"": 14.8}",6.8
p6F_gateoff200,p6f,"{""pivot_n"": 10, ""near_pct"": 0.2, ""rs_min"": 70.0, ""stop_pct"": 0.08, ""exit_kind"": ""sma15"", ""breakeven_at"": 0.0, ""slots"": 16, ""sizing"": ""fixed"", ""risk_pct"": 0.02, ""cap_pct"": 0.3, ""size_pct"": 0.0625, ""cost_bps"": 25.0, ""fill"": ""realistic"", ""gate"": """", ""gate_sma"": 200, ""tax"": true, ""cash_yield"": 0.05, ""start"": ""2012-01-01"", ""end"": ""2026-09-01"", ""selection"": ""random"", ""capwin"": 0.0, ""drop_topn"": 0}",10,2012-01-01:2026-09-01,192.64,43.16,38.08,47.08,38.08,-26.92,-30.29,1.595,4321,43.6,11.24,-3.52,2.902,-0.842,45,294.7,38213,33873,"{""2012"": 29.8, ""2013"": 5.4, ""2014"": 100.3, ""2015"": 1.9, ""2016"": 23.8, ""2017"": 114.5, ""2018"": -8.0, ""2019"": 14.8, ""2020"": 131.1, ""2021"": 125.9, ""2022"": 24.8, ""2023"": 68.8, ""2024"": 65.8, ""2025"": 9.9, ""2026"": 27.0}",8.3
p6F_gateNIFTYBEES200,p6f,"{""pivot_n"": 10, ""near_pct"": 0.2, ""rs_min"": 70.0, ""stop_pct"": 0.08, ""exit_kind"": ""sma15"", ""breakeven_at"": 0.0, ""slots"": 16, ""sizing"": ""fixed"", ""risk_pct"": 0.02, ""cap_pct"": 0.3, ""size_pct"": 0.0625, ""cost_bps"": 25.0, ""fill"": ""realistic"", ""gate"": ""NIFTYBEES"", ""gate_sma"": 200, ""tax"": true, ""cash_yield"": 0.05, ""start"": ""2012-01-01"", ""end"": ""2026-09-01"", ""selection"": ""random"", ""capwin"": 0.0, ""drop_topn"": 0}",10,2012-01-01:2026-09-01,73.48,34.05,32.27,36.13,32.27,-27.42,-28.93,1.266,3519,43.8,10.89,-3.37,2.847,-0.825,36,240.0,38213,26180,"{""2012"": 13.8, ""2013"": 7.5, ""2014"": 93.5, ""2015"": -7.1, ""2016"": 29.2, ""2017"": 104.9, ""2018"": -12.6, ""2019"": 7.1, ""2020"": 59.0, ""2021"": 129.6, ""2022"": 8.3, ""2023"": 81.6, ""2024"": 70.8, ""2025"": 16.4, ""2026"": -0.4}",4.7
p6F_gateNIFTYBEES100,p6f,"{""pivot_n"": 10, ""near_pct"": 0.2, ""rs_min"": 70.0, ""stop_pct"": 0.08, ""exit_kind"": ""sma15"", ""breakeven_at"": 0.0, ""slots"": 16, ""sizing"": ""fixed"", ""risk_pct"": 0.02, ""cap_pct"": 0.3, ""size_pct"": 0.0625, ""cost_bps"": 25.0, ""fill"": ""realistic"", ""gate"": ""NIFTYBEES"", ""gate_sma"": 100, ""tax"": true, ""cash_yield"": 0.05, ""start"": ""2012-01-01"", ""end"": ""2026-09-01"", ""selection"": ""random"", ""capwin"": 0.0, ""drop_topn"": 0}",10,2012-01-01:2026-09-01,85.56,35.42,30.68,37.06,30.68,-25.25,-31.41,1.384,3274,44.9,11.09,-3.38,3.091,-0.743,25,223.3,38213,24854,"{""2012"": 14.6, ""2013"": 9.1, ""2014"": 94.0, ""2015"": -3.0, ""2016"": 47.0, ""2017"": 90.6, ""2018"": -15.6, ""2019"": 13.6, ""2020"": 64.8, ""2021"": 111.4, ""2022"": 15.8, ""2023"": 58.6, ""2024"": 45.6, ""2025"": 17.4, ""2026"": 12.4}",4.6
