cell,phase,params,seeds,window,x_med,cagr_med,cagr_min,cagr_max,cagr_worst_seed,dd_med,dd_worst,calmar_med,n_med,win_med,avg_win,avg_loss,mean_tr,median_tr,streak,tpy,signals,passed_up,yearly_med,runtime_s
p6A_piv30_sma15,p6,"{""pivot_n"": 30, ""near_pct"": 0.2, ""rs_min"": 70.0, ""stop_pct"": 0.08, ""exit_kind"": ""sma15"", ""breakeven_at"": 0.0, ""slots"": 5, ""sizing"": ""risk"", ""risk_pct"": 0.02, ""cap_pct"": 0.3, ""size_pct"": 0.0625, ""cost_bps"": 25.0, ""fill"": ""realistic"", ""gate"": """", ""gate_sma"": 200, ""tax"": true, ""cash_yield"": 0.05, ""start"": ""2012-01-01"", ""end"": ""2026-09-01"", ""selection"": ""random"", ""capwin"": 0.0, ""drop_topn"": 0}",10,2012-01-01:2026-09-01,52.14,30.91,25.19,36.11,25.19,-35.28,-44.13,0.826,883,43.4,11.14,-3.82,2.717,-0.859,16,60.2,29714,28830,"{""2012"": 5.6, ""2013"": 10.9, ""2014"": 79.1, ""2015"": 8.2, ""2016"": 23.5, ""2017"": 80.3, ""2018"": -22.9, ""2019"": 14.3, ""2020"": 58.0, ""2021"": 109.9, ""2022"": 30.0, ""2023"": 63.2, ""2024"": 53.5, ""2025"": -3.2, ""2026"": -1.0}",6.4
p6A_piv30_sma20,p6,"{""pivot_n"": 30, ""near_pct"": 0.2, ""rs_min"": 70.0, ""stop_pct"": 0.08, ""exit_kind"": ""sma20"", ""breakeven_at"": 0.0, ""slots"": 5, ""sizing"": ""risk"", ""risk_pct"": 0.02, ""cap_pct"": 0.3, ""size_pct"": 0.0625, ""cost_bps"": 25.0, ""fill"": ""realistic"", ""gate"": """", ""gate_sma"": 200, ""tax"": true, ""cash_yield"": 0.05, ""start"": ""2012-01-01"", ""end"": ""2026-09-01"", ""selection"": ""random"", ""capwin"": 0.0, ""drop_topn"": 0}",10,2012-01-01:2026-09-01,59.0,32.05,23.75,34.93,23.75,-36.95,-49.96,0.828,674,43.3,13.56,-4.23,3.595,-1.151,14,46.0,29714,29040,"{""2012"": 12.6, ""2013"": 22.9, ""2014"": 76.2, ""2015"": 17.8, ""2016"": 6.7, ""2017"": 98.2, ""2018"": -21.1, ""2019"": 13.2, ""2020"": 50.9, ""2021"": 120.2, ""2022"": 11.6, ""2023"": 86.1, ""2024"": 35.0, ""2025"": -0.5, ""2026"": 23.1}",5.6
p6A_piv30_sma50,p6,"{""pivot_n"": 30, ""near_pct"": 0.2, ""rs_min"": 70.0, ""stop_pct"": 0.08, ""exit_kind"": ""sma50"", ""breakeven_at"": 0.0, ""slots"": 5, ""sizing"": ""risk"", ""risk_pct"": 0.02, ""cap_pct"": 0.3, ""size_pct"": 0.0625, ""cost_bps"": 25.0, ""fill"": ""realistic"", ""gate"": """", ""gate_sma"": 200, ""tax"": true, ""cash_yield"": 0.05, ""start"": ""2012-01-01"", ""end"": ""2026-09-01"", ""selection"": ""random"", ""capwin"": 0.0, ""drop_topn"": 0}",10,2012-01-01:2026-09-01,48.85,30.35,20.27,44.95,20.27,-42.38,-53.54,0.664,282,43.7,26.71,-6.4,8.528,-1.94,11,19.2,29714,29432,"{""2012"": 67.8, ""2013"": 21.1, ""2014"": 59.7, ""2015"": -1.2, ""2016"": 35.0, ""2017"": 74.3, ""2018"": -19.6, ""2019"": 5.0, ""2020"": 38.1, ""2021"": 102.4, ""2022"": 14.4, ""2023"": 69.4, ""2024"": 26.3, ""2025"": -13.3, ""2026"": 11.6}",5.2
p6A_piv30_sma150,p6,"{""pivot_n"": 30, ""near_pct"": 0.2, ""rs_min"": 70.0, ""stop_pct"": 0.08, ""exit_kind"": ""sma150"", ""breakeven_at"": 0.0, ""slots"": 5, ""sizing"": ""risk"", ""risk_pct"": 0.02, ""cap_pct"": 0.3, ""size_pct"": 0.0625, ""cost_bps"": 25.0, ""fill"": ""realistic"", ""gate"": """", ""gate_sma"": 200, ""tax"": true, ""cash_yield"": 0.05, ""start"": ""2012-01-01"", ""end"": ""2026-09-01"", ""selection"": ""random"", ""capwin"": 0.0, ""drop_topn"": 0}",10,2012-01-01:2026-09-01,19.33,22.21,16.28,31.11,16.28,-49.8,-54.79,0.458,119,40.2,49.13,-7.79,14.31,-3.448,9,8.1,29714,29595,"{""2012"": 34.2, ""2013"": 24.4, ""2014"": 47.1, ""2015"": 1.8, ""2016"": 10.7, ""2017"": 106.4, ""2018"": -34.0, ""2019"": 6.7, ""2020"": 20.2, ""2021"": 47.9, ""2022"": -4.4, ""2023"": 66.3, ""2024"": 54.7, ""2025"": -11.4, ""2026"": 13.8}",5.5
p6A_piv30_target25,p6,"{""pivot_n"": 30, ""near_pct"": 0.2, ""rs_min"": 70.0, ""stop_pct"": 0.08, ""exit_kind"": ""target25"", ""breakeven_at"": 0.0, ""slots"": 5, ""sizing"": ""risk"", ""risk_pct"": 0.02, ""cap_pct"": 0.3, ""size_pct"": 0.0625, ""cost_bps"": 25.0, ""fill"": ""realistic"", ""gate"": """", ""gate_sma"": 200, ""tax"": true, ""cash_yield"": 0.05, ""start"": ""2012-01-01"", ""end"": ""2026-09-01"", ""selection"": ""random"", ""capwin"": 0.0, ""drop_topn"": 0}",10,2012-01-01:2026-09-01,26.07,24.86,21.87,35.09,21.87,-36.41,-43.66,0.738,272,45.2,27.44,-9.86,6.882,-8.183,10,18.5,29714,29442,"{""2012"": 24.8, ""2013"": 13.9, ""2014"": 77.8, ""2015"": 4.4, ""2016"": 4.4, ""2017"": 46.2, ""2018"": -8.2, ""2019"": 21.0, ""2020"": 52.6, ""2021"": 71.8, ""2022"": 20.2, ""2023"": 51.6, ""2024"": 30.0, ""2025"": -11.6, ""2026"": 9.2}",5.8
p6A_piv50_sma15,p6,"{""pivot_n"": 50, ""near_pct"": 0.2, ""rs_min"": 70.0, ""stop_pct"": 0.08, ""exit_kind"": ""sma15"", ""breakeven_at"": 0.0, ""slots"": 5, ""sizing"": ""risk"", ""risk_pct"": 0.02, ""cap_pct"": 0.3, ""size_pct"": 0.0625, ""cost_bps"": 25.0, ""fill"": ""realistic"", ""gate"": """", ""gate_sma"": 200, ""tax"": true, ""cash_yield"": 0.05, ""start"": ""2012-01-01"", ""end"": ""2026-09-01"", ""selection"": ""random"", ""capwin"": 0.0, ""drop_topn"": 0}",10,2012-01-01:2026-09-01,69.68,33.56,26.53,39.07,26.53,-32.93,-40.94,1.032,867,44.5,11.0,-3.7,2.957,-0.758,14,59.1,27618,26751,"{""2012"": -4.4, ""2013"": 16.9, ""2014"": 77.8, ""2015"": 20.0, ""2016"": 10.6, ""2017"": 93.9, ""2018"": -17.4, ""2019"": 15.2, ""2020"": 68.3, ""2021"": 106.0, ""2022"": 29.2, ""2023"": 43.5, ""2024"": 41.2, ""2025"": 15.0, ""2026"": 10.9}",5.0
p6A_piv50_sma20,p6,"{""pivot_n"": 50, ""near_pct"": 0.2, ""rs_min"": 70.0, ""stop_pct"": 0.08, ""exit_kind"": ""sma20"", ""breakeven_at"": 0.0, ""slots"": 5, ""sizing"": ""risk"", ""risk_pct"": 0.02, ""cap_pct"": 0.3, ""size_pct"": 0.0625, ""cost_bps"": 25.0, ""fill"": ""realistic"", ""gate"": """", ""gate_sma"": 200, ""tax"": true, ""cash_yield"": 0.05, ""start"": ""2012-01-01"", ""end"": ""2026-09-01"", ""selection"": ""random"", ""capwin"": 0.0, ""drop_topn"": 0}",10,2012-01-01:2026-09-01,73.06,33.9,29.02,41.63,29.02,-33.35,-36.62,1.098,659,44.2,13.91,-4.27,3.719,-1.107,12,45.0,27618,26958,"{""2012"": 3.2, ""2013"": 25.3, ""2014"": 68.0, ""2015"": 30.0, ""2016"": -1.2, ""2017"": 95.6, ""2018"": -19.8, ""2019"": 9.2, ""2020"": 98.0, ""2021"": 77.7, ""2022"": 25.2, ""2023"": 58.6, ""2024"": 49.8, ""2025"": 13.2, ""2026"": 22.8}",5.3
p6A_piv50_sma50,p6,"{""pivot_n"": 50, ""near_pct"": 0.2, ""rs_min"": 70.0, ""stop_pct"": 0.08, ""exit_kind"": ""sma50"", ""breakeven_at"": 0.0, ""slots"": 5, ""sizing"": ""risk"", ""risk_pct"": 0.02, ""cap_pct"": 0.3, ""size_pct"": 0.0625, ""cost_bps"": 25.0, ""fill"": ""realistic"", ""gate"": """", ""gate_sma"": 200, ""tax"": true, ""cash_yield"": 0.05, ""start"": ""2012-01-01"", ""end"": ""2026-09-01"", ""selection"": ""random"", ""capwin"": 0.0, ""drop_topn"": 0}",10,2012-01-01:2026-09-01,23.52,24.02,21.14,32.61,21.14,-42.0,-52.97,0.612,281,43.0,24.98,-6.66,6.823,-2.132,11,19.2,27618,27337,"{""2012"": 7.1, ""2013"": 30.6, ""2014"": 72.6, ""2015"": -3.4, ""2016"": 28.4, ""2017"": 73.6, ""2018"": -21.2, ""2019"": 8.8, ""2020"": 45.0, ""2021"": 66.4, ""2022"": 11.9, ""2023"": 65.6, ""2024"": 35.0, ""2025"": -6.6, ""2026"": 6.0}",5.0
p6A_piv50_sma150,p6,"{""pivot_n"": 50, ""near_pct"": 0.2, ""rs_min"": 70.0, ""stop_pct"": 0.08, ""exit_kind"": ""sma150"", ""breakeven_at"": 0.0, ""slots"": 5, ""sizing"": ""risk"", ""risk_pct"": 0.02, ""cap_pct"": 0.3, ""size_pct"": 0.0625, ""cost_bps"": 25.0, ""fill"": ""realistic"", ""gate"": """", ""gate_sma"": 200, ""tax"": true, ""cash_yield"": 0.05, ""start"": ""2012-01-01"", ""end"": ""2026-09-01"", ""selection"": ""random"", ""capwin"": 0.0, ""drop_topn"": 0}",10,2012-01-01:2026-09-01,14.8,20.16,17.35,27.33,17.35,-45.53,-54.85,0.434,113,43.5,45.62,-8.16,13.562,-3.951,9,7.7,27618,27504,"{""2012"": 3.6, ""2013"": 26.7, ""2014"": 52.0, ""2015"": 8.9, ""2016"": 7.6, ""2017"": 96.0, ""2018"": -29.0, ""2019"": 18.8, ""2020"": 10.0, ""2021"": 48.8, ""2022"": 1.6, ""2023"": 60.2, ""2024"": 25.1, ""2025"": -14.8, ""2026"": 26.8}",5.0
p6A_piv50_target25,p6,"{""pivot_n"": 50, ""near_pct"": 0.2, ""rs_min"": 70.0, ""stop_pct"": 0.08, ""exit_kind"": ""target25"", ""breakeven_at"": 0.0, ""slots"": 5, ""sizing"": ""risk"", ""risk_pct"": 0.02, ""cap_pct"": 0.3, ""size_pct"": 0.0625, ""cost_bps"": 25.0, ""fill"": ""realistic"", ""gate"": """", ""gate_sma"": 200, ""tax"": true, ""cash_yield"": 0.05, ""start"": ""2012-01-01"", ""end"": ""2026-09-01"", ""selection"": ""random"", ""capwin"": 0.0, ""drop_topn"": 0}",10,2012-01-01:2026-09-01,33.7,27.07,16.96,31.75,16.96,-35.85,-50.24,0.781,257,46.6,27.56,-9.9,7.56,-8.149,10,17.6,27618,27360,"{""2012"": 22.0, ""2013"": 26.6, ""2014"": 73.6, ""2015"": 12.5, ""2016"": -1.0, ""2017"": 48.9, ""2018"": -16.4, ""2019"": 29.9, ""2020"": 39.8, ""2021"": 51.3, ""2022"": 32.6, ""2023"": 61.4, ""2024"": 27.5, ""2025"": -5.6, ""2026"": 8.9}",5.7
p6A_piv75_sma15,p6,"{""pivot_n"": 75, ""near_pct"": 0.2, ""rs_min"": 70.0, ""stop_pct"": 0.08, ""exit_kind"": ""sma15"", ""breakeven_at"": 0.0, ""slots"": 5, ""sizing"": ""risk"", ""risk_pct"": 0.02, ""cap_pct"": 0.3, ""size_pct"": 0.0625, ""cost_bps"": 25.0, ""fill"": ""realistic"", ""gate"": """", ""gate_sma"": 200, ""tax"": true, ""cash_yield"": 0.05, ""start"": ""2012-01-01"", ""end"": ""2026-09-01"", ""selection"": ""random"", ""capwin"": 0.0, ""drop_topn"": 0}",10,2012-01-01:2026-09-01,73.04,33.97,25.86,40.6,25.86,-40.64,-48.4,0.877,859,44.5,11.37,-3.69,2.941,-0.765,14,58.6,26489,25629,"{""2012"": -9.7, ""2013"": 15.0, ""2014"": 79.0, ""2015"": 25.4, ""2016"": 21.5, ""2017"": 99.1, ""2018"": -26.2, ""2019"": 12.0, ""2020"": 67.8, ""2021"": 116.0, ""2022"": 28.2, ""2023"": 50.0, ""2024"": 43.8, ""2025"": 11.0, ""2026"": 21.9}",5.5
p6A_piv75_sma20,p6,"{""pivot_n"": 75, ""near_pct"": 0.2, ""rs_min"": 70.0, ""stop_pct"": 0.08, ""exit_kind"": ""sma20"", ""breakeven_at"": 0.0, ""slots"": 5, ""sizing"": ""risk"", ""risk_pct"": 0.02, ""cap_pct"": 0.3, ""size_pct"": 0.0625, ""cost_bps"": 25.0, ""fill"": ""realistic"", ""gate"": """", ""gate_sma"": 200, ""tax"": true, ""cash_yield"": 0.05, ""start"": ""2012-01-01"", ""end"": ""2026-09-01"", ""selection"": ""random"", ""capwin"": 0.0, ""drop_topn"": 0}",10,2012-01-01:2026-09-01,63.02,32.64,28.18,40.42,28.18,-36.83,-46.78,0.883,657,44.5,13.42,-4.18,3.617,-0.898,13,44.8,26489,25831,"{""2012"": 0.1, ""2013"": 36.6, ""2014"": 80.7, ""2015"": 33.0, ""2016"": 6.6, ""2017"": 92.8, ""2018"": -24.0, ""2019"": 6.6, ""2020"": 81.8, ""2021"": 90.0, ""2022"": 31.6, ""2023"": 35.0, ""2024"": 26.4, ""2025"": 31.6, ""2026"": 22.0}",5.8
p6A_piv75_sma50,p6,"{""pivot_n"": 75, ""near_pct"": 0.2, ""rs_min"": 70.0, ""stop_pct"": 0.08, ""exit_kind"": ""sma50"", ""breakeven_at"": 0.0, ""slots"": 5, ""sizing"": ""risk"", ""risk_pct"": 0.02, ""cap_pct"": 0.3, ""size_pct"": 0.0625, ""cost_bps"": 25.0, ""fill"": ""realistic"", ""gate"": """", ""gate_sma"": 200, ""tax"": true, ""cash_yield"": 0.05, ""start"": ""2012-01-01"", ""end"": ""2026-09-01"", ""selection"": ""random"", ""capwin"": 0.0, ""drop_topn"": 0}",10,2012-01-01:2026-09-01,27.31,25.3,19.26,36.08,19.26,-44.91,-48.29,0.588,282,44.7,24.23,-6.42,7.04,-1.278,9,19.2,26489,26207,"{""2012"": 26.0, ""2013"": 21.2, ""2014"": 67.6, ""2015"": -0.7, ""2016"": 26.4, ""2017"": 67.8, ""2018"": -24.5, ""2019"": -1.2, ""2020"": 31.8, ""2021"": 91.7, ""2022"": 9.2, ""2023"": 54.8, ""2024"": 35.4, ""2025"": -4.2, ""2026"": 9.6}",5.0
p6A_piv75_sma150,p6,"{""pivot_n"": 75, ""near_pct"": 0.2, ""rs_min"": 70.0, ""stop_pct"": 0.08, ""exit_kind"": ""sma150"", ""breakeven_at"": 0.0, ""slots"": 5, ""sizing"": ""risk"", ""risk_pct"": 0.02, ""cap_pct"": 0.3, ""size_pct"": 0.0625, ""cost_bps"": 25.0, ""fill"": ""realistic"", ""gate"": """", ""gate_sma"": 200, ""tax"": true, ""cash_yield"": 0.05, ""start"": ""2012-01-01"", ""end"": ""2026-09-01"", ""selection"": ""random"", ""capwin"": 0.0, ""drop_topn"": 0}",10,2012-01-01:2026-09-01,17.83,21.71,15.82,29.0,15.82,-46.78,-57.13,0.45,113,42.2,46.07,-8.21,14.525,-3.928,8,7.7,26489,26375,"{""2012"": 8.2, ""2013"": 12.8, ""2014"": 54.6, ""2015"": 18.1, ""2016"": 10.0, ""2017"": 71.6, ""2018"": -27.2, ""2019"": 8.6, ""2020"": 28.5, ""2021"": 36.8, ""2022"": 6.8, ""2023"": 54.5, ""2024"": 33.0, ""2025"": -12.2, ""2026"": 27.6}",5.3
