signal,structure,symbol,date,expiry,spot,exp_spot,credit,max_risk,pnl,min_vol,year
conn,S3,TATASTEEL,2024-01-03,2024-01-25,128.75,127.18,2.45,6.55,2.45,16,2024
conn,S1,TCS,2024-01-03,2024-01-25,3691.75,3810.3,41.1,238.9,41.1,354,2024
conn,S2,TCS,2024-01-03,2024-01-25,3691.75,3810.3,71.9,128.1,71.9,3020,2024
conn,S3,TCS,2024-01-03,2024-01-25,3691.75,3810.3,56.55,223.45,56.55,241,2024
conn,S1,ULTRACEMCO,2024-01-03,2024-01-25,10111.55,9969.35,94.75,505.25,94.75,96,2024
conn,S2,ULTRACEMCO,2024-01-03,2024-01-25,10111.55,9969.35,160.45,339.55,29.8,76,2024
conn,S3,ULTRACEMCO,2024-01-03,2024-01-25,10111.55,9969.35,138.7,461.3,138.7,82,2024
conn,S1,HCLTECH,2024-01-04,2024-01-25,1419.95,1550.25,21.55,78.45,21.55,1,2024
conn,S2,HCLTECH,2024-01-04,2024-01-25,1419.95,1550.25,27.65,42.35,27.65,487,2024
conn,S3,HCLTECH,2024-01-04,2024-01-25,1419.95,1550.25,29.8,70.2,-0.45,1,2024
conn,S1,M&M,2024-01-04,2024-01-25,1641.7,1635.5,18.1,101.9,18.1,83,2024
conn,S2,M&M,2024-01-04,2024-01-25,1641.7,1635.5,24.6,55.4,20.1,846,2024
conn,S3,M&M,2024-01-04,2024-01-25,1641.7,1635.5,25.3,94.7,25.3,83,2024
conn,S1,BAJAJFINSV,2024-01-15,2024-02-29,1632.4,1593.8,34.75,115.25,28.55,1,2024
conn,S2,BAJAJFINSV,2024-01-15,2024-02-29,1632.4,1593.8,24.9,45.1,-1.3,1,2024
conn,S3,BAJAJFINSV,2024-01-15,2024-02-29,1632.4,1593.8,49.85,100.15,43.65,1,2024
conn,S1,EICHERMOT,2024-01-16,2024-02-29,3792.3,3792.4,53.2,146.8,53.2,19,2024
conn,S2,EICHERMOT,2024-01-16,2024-02-29,3792.3,3792.4,74.45,125.55,66.85,21,2024
conn,S3,EICHERMOT,2024-01-16,2024-02-29,3792.3,3792.4,80.95,119.05,80.95,1,2024
conn,S1,MUTHOOTFIN,2024-01-16,2024-02-29,1437.0,1303.75,31.5,68.5,-64.75,3,2024
conn,S2,MUTHOOTFIN,2024-01-16,2024-02-29,1437.0,1303.75,50.3,59.7,-59.7,1,2024
conn,S3,MUTHOOTFIN,2024-01-16,2024-02-29,1437.0,1303.75,45.05,54.95,-51.2,1,2024
conn,S1,ADANIENT,2024-01-17,2024-02-29,2880.4,3185.1,53.7,146.3,53.7,29,2024
conn,S2,ADANIENT,2024-01-17,2024-02-29,2880.4,3185.1,56.35,93.65,56.35,4,2024
conn,S3,ADANIENT,2024-01-17,2024-02-29,2880.4,3185.1,88.0,112.0,2.9,29,2024
conn,S1,ADANIPORTS,2024-01-17,2024-02-29,1166.85,1320.5,21.25,58.75,21.25,5,2024
conn,S2,ADANIPORTS,2024-01-17,2024-02-29,1166.85,1320.5,26.1,43.9,26.1,11,2024
conn,S3,ADANIPORTS,2024-01-17,2024-02-29,1166.85,1320.5,31.45,48.55,-18.55,5,2024
conn,S1,AMBUJACEM,2024-01-17,2024-02-29,520.55,605.9,13.4,41.6,13.4,1,2024
conn,S2,AMBUJACEM,2024-01-17,2024-02-29,520.55,605.9,10.75,19.25,10.75,6,2024
conn,S3,AMBUJACEM,2024-01-17,2024-02-29,520.55,605.9,16.8,38.2,-3.2,1,2024
conn,S1,AXISBANK,2024-01-17,2024-02-29,1082.3,1075.1,18.55,81.45,18.55,4,2024
conn,S2,AXISBANK,2024-01-17,2024-02-29,1082.3,1075.1,18.2,31.8,13.3,7,2024
conn,S3,AXISBANK,2024-01-17,2024-02-29,1082.3,1075.1,28.5,71.5,28.5,1,2024
conn,S1,CUMMINSIND,2024-01-17,2024-02-29,2009.9,2738.65,50.0,130.0,50.0,2,2024
conn,S2,CUMMINSIND,2024-01-17,2024-02-29,2009.9,2738.65,44.3,55.7,44.3,12,2024
conn,S3,CUMMINSIND,2024-01-17,2024-02-29,2009.9,2738.65,67.0,113.0,-13.0,2,2024
conn,S1,DIVISLAB,2024-01-17,2024-02-29,3728.8,3488.8,21.9,78.1,-78.1,14,2024
conn,S2,DIVISLAB,2024-01-17,2024-02-29,3728.8,3488.8,97.9,152.1,-152.1,4,2024
conn,S3,DIVISLAB,2024-01-17,2024-02-29,3728.8,3488.8,60.4,139.6,-39.6,14,2024
conn,S1,FEDERALBNK,2024-01-17,2024-02-29,145.9,150.4,2.95,10.05,2.95,1,2024
conn,S2,FEDERALBNK,2024-01-17,2024-02-29,145.9,150.4,2.0,3.0,2.0,198,2024
conn,S3,FEDERALBNK,2024-01-17,2024-02-29,145.9,150.4,4.25,8.75,4.25,1,2024
conn,S1,M&M,2024-01-17,2024-02-29,1597.7,1932.4,10.2,29.8,10.2,167,2024
conn,S2,M&M,2024-01-17,2024-02-29,1597.7,1932.4,34.0,66.0,34.0,116,2024
conn,S3,M&M,2024-01-17,2024-02-29,1597.7,1932.4,25.75,74.25,-74.25,36,2024
conn,S1,SUNPHARMA,2024-01-17,2024-02-29,1299.0,1577.95,12.25,87.75,12.25,1,2024
conn,S2,SUNPHARMA,2024-01-17,2024-02-29,1299.0,1577.95,22.6,27.4,22.6,1,2024
conn,S1,BAJAJ-AUTO,2024-01-18,2024-02-29,6908.5,7714.0,95.3,504.7,95.3,2,2024
conn,S2,BAJAJ-AUTO,2024-01-18,2024-02-29,6908.5,7714.0,135.35,364.65,135.35,56,2024
conn,S3,BAJAJ-AUTO,2024-01-18,2024-02-29,6908.5,7714.0,165.25,434.75,-134.75,2,2024
conn,S1,HAVELLS,2024-01-18,2024-02-29,1400.3,1531.35,14.05,35.95,14.05,1,2024
conn,S2,HAVELLS,2024-01-18,2024-02-29,1400.3,1531.35,19.0,31.0,19.0,1,2024
conn,S3,HAVELLS,2024-01-18,2024-02-29,1400.3,1531.35,30.65,69.35,-0.7,1,2024
conn,S1,HINDALCO,2024-01-18,2024-02-29,554.9,503.85,10.9,29.1,-25.25,52,2024
conn,S2,HINDALCO,2024-01-18,2024-02-29,554.9,503.85,7.3,12.7,-12.7,4,2024
conn,S3,HINDALCO,2024-01-18,2024-02-29,554.9,503.85,17.45,22.55,-18.7,13,2024
conn,S1,INDUSINDBK,2024-01-18,2024-02-29,1612.9,1474.9,18.55,81.45,-66.55,28,2024
conn,S2,INDUSINDBK,2024-01-18,2024-02-29,1612.9,1474.9,33.4,66.6,-66.6,25,2024
conn,S3,INDUSINDBK,2024-01-18,2024-02-29,1612.9,1474.9,33.55,66.45,-51.55,28,2024
conn,S1,NTPC,2024-01-18,2024-02-29,299.3,335.6,5.85,14.15,5.85,90,2024
conn,S2,NTPC,2024-01-18,2024-02-29,299.3,335.6,8.15,11.85,8.15,56,2024
conn,S3,NTPC,2024-01-18,2024-02-29,299.3,335.6,9.9,10.1,-5.7,75,2024
conn,S1,POWERGRID,2024-01-18,2024-02-29,233.45,282.85,4.75,12.75,4.75,2,2024
conn,S2,POWERGRID,2024-01-18,2024-02-29,233.45,282.85,3.25,6.75,3.25,1,2024
conn,S3,POWERGRID,2024-01-18,2024-02-29,233.45,282.85,6.25,11.25,-3.75,2,2024
conn,S1,TATAPOWER,2024-01-18,2024-02-29,345.55,371.75,8.6,16.4,8.6,3,2024
conn,S2,TATAPOWER,2024-01-18,2024-02-29,345.55,371.75,6.15,8.85,6.15,25,2024
conn,S3,TATAPOWER,2024-01-18,2024-02-29,345.55,371.75,11.9,13.1,10.15,1,2024
conn,S1,CHOLAFIN,2024-01-23,2024-02-29,1220.25,1089.2,32.6,67.4,-67.4,133,2024
conn,S2,CHOLAFIN,2024-01-23,2024-02-29,1220.25,1089.2,42.9,37.1,-37.1,55,2024
conn,S3,CHOLAFIN,2024-01-23,2024-02-29,1220.25,1089.2,45.9,54.1,-54.1,31,2024
conn,S1,DIVISLAB,2024-01-23,2024-02-29,3615.35,3488.8,55.55,144.45,44.35,94,2024
conn,S2,DIVISLAB,2024-01-23,2024-02-29,3615.35,3488.8,70.25,129.75,-40.95,178,2024
conn,S3,DIVISLAB,2024-01-23,2024-02-29,3615.35,3488.8,85.35,114.65,74.15,4,2024
conn,S1,DLF,2024-01-23,2024-02-29,739.3,901.2,12.45,37.55,12.45,75,2024
conn,S2,DLF,2024-01-23,2024-02-29,739.3,901.2,14.4,25.6,14.4,118,2024
conn,S3,DLF,2024-01-23,2024-02-29,739.3,901.2,20.85,29.15,-19.15,52,2024
conn,S1,EICHERMOT,2024-01-23,2024-02-29,3616.7,3792.4,36.5,113.5,36.5,1,2024
conn,S2,EICHERMOT,2024-01-23,2024-02-29,3616.7,3792.4,69.55,130.45,69.55,120,2024
conn,S3,EICHERMOT,2024-01-23,2024-02-29,3616.7,3792.4,68.6,121.4,68.6,1,2024
conn,S1,FEDERALBNK,2024-01-23,2024-02-29,140.25,150.4,2.1,7.9,2.1,48,2024
conn,S2,FEDERALBNK,2024-01-23,2024-02-29,140.25,150.4,2.45,4.55,2.45,15,2024
conn,S3,FEDERALBNK,2024-01-23,2024-02-29,140.25,150.4,3.25,6.75,2.85,48,2024
conn,S1,HCLTECH,2024-01-23,2024-02-29,1523.65,1663.85,11.45,68.55,11.45,1,2024
conn,S2,HCLTECH,2024-01-23,2024-02-29,1523.65,1663.85,23.75,46.25,23.75,19,2024
conn,S3,HCLTECH,2024-01-23,2024-02-29,1523.65,1663.85,20.65,59.35,-13.2,1,2024
conn,S1,INDUSINDBK,2024-01-23,2024-02-29,1441.7,1474.9,22.35,77.65,22.35,1026,2024
conn,S2,INDUSINDBK,2024-01-23,2024-02-29,1441.7,1474.9,26.75,53.25,26.75,107,2024
conn,S3,INDUSINDBK,2024-01-23,2024-02-29,1441.7,1474.9,35.4,64.6,35.4,902,2024
conn,S1,JINDALSTEL,2024-01-23,2024-02-29,694.65,776.25,11.9,28.1,11.9,6,2024
conn,S2,JINDALSTEL,2024-01-23,2024-02-29,694.65,776.25,17.85,12.15,17.85,3,2024
conn,S3,JINDALSTEL,2024-01-23,2024-02-29,694.65,776.25,21.3,18.7,-14.95,6,2024
conn,S1,SBIN,2024-01-23,2024-02-29,605.1,748.1,9.95,35.05,9.95,29,2024
conn,S2,SBIN,2024-01-23,2024-02-29,605.1,748.1,14.3,20.7,14.3,164,2024
conn,S3,SBIN,2024-01-23,2024-02-29,605.1,748.1,16.0,29.0,-19.0,29,2024
conn,S1,AXISBANK,2024-01-24,2024-02-29,1059.15,1075.1,13.25,66.75,13.25,1923,2024
conn,S2,AXISBANK,2024-01-24,2024-02-29,1059.15,1075.1,16.1,33.9,16.1,663,2024
conn,S3,AXISBANK,2024-01-24,2024-02-29,1059.15,1075.1,19.95,60.05,19.95,435,2024
conn,S1,TCS,2024-01-25,2024-02-29,3810.3,4095.1,27.5,232.5,27.5,19,2024
conn,S2,TCS,2024-01-25,2024-02-29,3810.3,4095.1,58.2,141.8,58.2,210,2024
conn,S3,TCS,2024-01-25,2024-02-29,3810.3,4095.1,39.35,220.65,24.25,19,2024
conn,S1,TCS,2024-01-29,2024-02-29,3801.0,4095.1,25.25,214.75,25.25,179,2024
conn,S2,TCS,2024-01-29,2024-02-29,3801.0,4095.1,51.65,128.35,51.65,245,2024
conn,S3,TCS,2024-01-29,2024-02-29,3801.0,4095.1,39.95,200.05,4.85,79,2024
conn,S1,TRENT,2024-01-30,2024-02-29,3054.95,3881.8,79.0,221.0,79.0,167,2024
conn,S2,TRENT,2024-01-30,2024-02-29,3054.95,3881.8,63.15,96.85,63.15,53,2024
conn,S3,TRENT,2024-01-30,2024-02-29,3054.95,3881.8,106.8,193.2,-33.2,42,2024
conn,S1,CHOLAFIN,2024-01-31,2024-02-29,1184.15,1089.2,18.95,81.05,-31.85,265,2024
conn,S2,CHOLAFIN,2024-01-31,2024-02-29,1184.15,1089.2,21.95,38.05,-38.05,242,2024
conn,S3,CHOLAFIN,2024-01-31,2024-02-29,1184.15,1089.2,29.7,70.3,-21.1,265,2024
conn,S1,BEL,2024-02-01,2024-02-29,183.4,205.1,3.35,9.65,3.35,30,2024
conn,S2,BEL,2024-02-01,2024-02-29,183.4,205.1,3.65,5.35,3.65,46,2024
conn,S3,BEL,2024-02-01,2024-02-29,183.4,205.1,4.6,8.4,-4.4,30,2024
conn,S1,LT,2024-02-01,2024-02-29,3398.0,3477.55,32.1,207.9,32.1,109,2024
conn,S2,LT,2024-02-01,2024-02-29,3398.0,3477.55,52.95,127.05,52.95,219,2024
conn,S3,LT,2024-02-01,2024-02-29,3398.0,3477.55,45.05,194.95,45.05,109,2024
conn,S1,TITAN,2024-02-01,2024-02-29,3627.45,3624.4,32.75,167.25,32.75,3320,2024
conn,S2,TITAN,2024-02-01,2024-02-29,3627.45,3624.4,58.25,101.75,58.25,12,2024
conn,S3,TITAN,2024-02-01,2024-02-29,3627.45,3624.4,52.3,147.7,52.3,320,2024
conn,S1,BHARTIARTL,2024-02-05,2024-02-29,1113.55,1123.35,11.9,68.1,11.9,870,2024
conn,S2,BHARTIARTL,2024-02-05,2024-02-29,1113.55,1123.35,15.7,34.3,15.7,759,2024
conn,S3,BHARTIARTL,2024-02-05,2024-02-29,1113.55,1123.35,17.4,62.6,17.4,870,2024
conn,S1,HAL,2024-02-05,2024-02-29,2932.5,3084.05,50.0,150.0,50.0,112,2024
conn,S2,HAL,2024-02-05,2024-02-29,2932.5,3084.05,80.05,79.95,80.05,6,2024
conn,S3,HAL,2024-02-05,2024-02-29,2932.5,3084.05,77.75,122.25,77.75,39,2024
conn,S1,LT,2024-02-05,2024-02-29,3341.75,3477.55,31.3,208.7,31.3,585,2024
conn,S2,LT,2024-02-05,2024-02-29,3341.75,3477.55,46.15,113.85,46.15,285,2024
conn,S3,LT,2024-02-05,2024-02-29,3341.75,3477.55,42.3,197.7,42.3,585,2024
conn,S1,TITAN,2024-02-05,2024-02-29,3552.05,3624.4,28.45,211.55,28.45,207,2024
conn,S2,TITAN,2024-02-05,2024-02-29,3552.05,3624.4,52.05,127.95,52.05,457,2024
conn,S3,TITAN,2024-02-05,2024-02-29,3552.05,3624.4,41.35,198.65,41.35,207,2024
conn,S1,BRITANNIA,2024-02-06,2024-02-29,5007.05,4965.2,94.95,305.05,94.95,8,2024
conn,S2,BRITANNIA,2024-02-06,2024-02-29,5007.05,4965.2,67.65,132.35,32.85,1077,2024
conn,S3,BRITANNIA,2024-02-06,2024-02-29,5007.05,4965.2,115.6,284.4,115.6,8,2024
conn,S1,APOLLOHOSP,2024-02-07,2024-02-29,6177.95,6101.6,85.65,314.35,85.65,223,2024
conn,S2,APOLLOHOSP,2024-02-07,2024-02-29,6177.95,6101.6,116.75,183.25,18.35,107,2024
conn,S3,APOLLOHOSP,2024-02-07,2024-02-29,6177.95,6101.6,131.75,268.25,131.75,1,2024
conn,S1,BAJAJFINSV,2024-02-08,2024-02-29,1570.55,1593.8,13.65,86.35,13.65,33,2024
conn,S2,BAJAJFINSV,2024-02-08,2024-02-29,1570.55,1593.8,24.3,55.7,24.3,38,2024
conn,S3,BAJAJFINSV,2024-02-08,2024-02-29,1570.55,1593.8,20.75,79.25,20.75,33,2024
conn,S1,GODREJPROP,2024-02-08,2024-02-29,2216.75,2398.05,38.85,121.15,38.85,72,2024
conn,S2,GODREJPROP,2024-02-08,2024-02-29,2216.75,2398.05,44.65,75.35,44.65,170,2024
conn,S3,GODREJPROP,2024-02-08,2024-02-29,2216.75,2398.05,53.0,107.0,34.95,58,2024
conn,S1,ICICIBANK,2024-02-08,2024-02-29,989.3,1052.2,8.95,61.05,8.95,309,2024
conn,S2,ICICIBANK,2024-02-08,2024-02-29,989.3,1052.2,15.3,34.7,15.3,962,2024
conn,S3,ICICIBANK,2024-02-08,2024-02-29,989.3,1052.2,12.1,57.9,12.1,309,2024
conn,S1,INDUSINDBK,2024-02-08,2024-02-29,1477.3,1474.9,18.6,101.4,18.6,173,2024
conn,S2,INDUSINDBK,2024-02-08,2024-02-29,1477.3,1474.9,25.3,54.7,20.2,1586,2024
conn,S3,INDUSINDBK,2024-02-08,2024-02-29,1477.3,1474.9,25.75,94.25,25.75,173,2024
conn,S1,M&M,2024-02-09,2024-02-29,1646.4,1932.4,21.25,98.75,21.25,105,2024
conn,S2,M&M,2024-02-09,2024-02-29,1646.4,1932.4,26.6,53.4,26.6,1450,2024
conn,S3,M&M,2024-02-09,2024-02-29,1646.4,1932.4,29.15,90.85,-50.85,105,2024
conn,S1,NTPC,2024-02-09,2024-02-29,324.9,335.6,2.75,19.75,2.75,143,2024
conn,S2,NTPC,2024-02-09,2024-02-29,324.9,335.6,5.0,12.5,5.0,137,2024
conn,S3,NTPC,2024-02-09,2024-02-29,324.9,335.6,3.8,18.7,3.8,138,2024
conn,S1,BEL,2024-02-12,2024-03-28,174.65,201.5,3.2,6.8,3.2,14,2024
conn,S2,BEL,2024-02-12,2024-03-28,174.65,201.5,2.15,2.85,2.15,11,2024
conn,S3,BEL,2024-02-12,2024-03-28,174.65,201.5,6.6,3.4,-3.4,2,2024
conn,S2,GAIL,2024-02-12,2024-03-28,162.65,174.45,7.0,8.0,7.0,1,2024
conn,S2,INDUSINDBK,2024-02-12,2024-03-28,1447.15,1553.0,26.6,33.4,26.6,16,2024
conn,S1,IRCTC,2024-02-12,2024-03-28,900.1,929.7,8.85,21.15,8.85,1,2024
conn,S2,IRCTC,2024-02-12,2024-03-28,900.1,929.7,33.75,16.25,33.75,1,2024
conn,S3,IRCTC,2024-02-12,2024-03-28,900.1,929.7,23.75,26.25,23.75,1,2024
conn,S1,JINDALSTEL,2024-02-12,2024-03-28,743.5,849.15,4.95,15.05,4.95,23,2024
conn,S2,JINDALSTEL,2024-02-12,2024-03-28,743.5,849.15,22.5,27.5,22.5,15,2024
conn,S3,JINDALSTEL,2024-02-12,2024-03-28,743.5,849.15,17.4,32.6,-31.75,5,2024
conn,S1,LT,2024-02-12,2024-03-28,3299.55,3763.9,38.4,161.6,38.4,33,2024
conn,S2,LT,2024-02-12,2024-03-28,3299.55,3763.9,61.05,138.95,61.05,32,2024
conn,S3,LT,2024-02-12,2024-03-28,3299.55,3763.9,74.0,126.0,-126.0,23,2024
conn,S1,NTPC,2024-02-12,2024-03-28,316.15,335.8,4.6,15.4,4.6,3,2024
conn,S2,NTPC,2024-02-12,2024-03-28,316.15,335.8,6.35,13.65,6.35,5,2024
conn,S3,NTPC,2024-02-12,2024-03-28,316.15,335.8,6.75,13.25,6.75,3,2024
conn,S1,PNB,2024-02-12,2024-03-28,114.92,120.9,2.35,7.65,2.35,1,2024
conn,S3,PNB,2024-02-12,2024-03-28,114.92,120.9,3.45,6.55,3.45,1,2024
conn,S1,TATAPOWER,2024-02-12,2024-03-28,361.7,394.2,6.55,13.45,6.55,26,2024
conn,S2,TATAPOWER,2024-02-12,2024-03-28,361.7,394.2,7.05,12.95,7.05,33,2024
conn,S3,TATAPOWER,2024-02-12,2024-03-28,361.7,394.2,15.5,9.5,6.3,13,2024
conn,S1,TATASTEEL,2024-02-12,2024-03-28,130.75,148.78,0.8,4.2,0.8,12,2024
conn,S2,TATASTEEL,2024-02-12,2024-03-28,130.75,148.78,1.05,3.95,1.05,12,2024
conn,S3,TATASTEEL,2024-02-12,2024-03-28,130.75,148.78,2.45,2.55,-2.55,12,2024
conn,S1,HINDALCO,2024-02-13,2024-03-28,510.1,560.25,7.8,22.2,7.8,6,2024
conn,S2,HINDALCO,2024-02-13,2024-03-28,510.1,560.25,6.1,18.9,6.1,1,2024
conn,S3,HINDALCO,2024-02-13,2024-03-28,510.1,560.25,13.9,16.1,3.65,6,2024
conn,S1,ULTRACEMCO,2024-02-14,2024-03-28,9787.8,9749.15,97.6,402.4,97.6,17,2024
conn,S2,ULTRACEMCO,2024-02-14,2024-03-28,9787.8,9749.15,252.0,248.0,1.15,4,2024
conn,S1,COLPAL,2024-02-20,2024-03-28,2536.15,2710.35,51.05,148.95,51.05,2,2024
conn,S1,EICHERMOT,2024-02-20,2024-03-28,3828.1,4019.3,46.6,153.4,46.6,37,2024
conn,S2,EICHERMOT,2024-02-20,2024-03-28,3828.1,4019.3,68.4,131.6,68.4,50,2024
conn,S3,EICHERMOT,2024-02-20,2024-03-28,3828.1,4019.3,57.0,143.0,57.0,3,2024
conn,S1,TCS,2024-02-20,2024-03-28,4030.65,3876.3,38.2,261.8,14.5,9,2024
conn,S2,TCS,2024-02-20,2024-03-28,4030.65,3876.3,53.25,146.75,-70.45,204,2024
conn,S3,TCS,2024-02-20,2024-03-28,4030.65,3876.3,67.3,232.7,43.6,9,2024
conn,S1,DIVISLAB,2024-02-21,2024-03-28,3649.1,3445.3,24.65,75.35,-30.05,26,2024
conn,S2,DIVISLAB,2024-02-21,2024-03-28,3649.1,3445.3,32.4,67.6,-67.6,26,2024
conn,S3,DIVISLAB,2024-02-21,2024-03-28,3649.1,3445.3,40.95,59.05,-13.75,15,2024
conn,S1,HCLTECH,2024-02-21,2024-03-28,1636.3,1543.55,26.6,123.4,-29.85,4,2024
conn,S2,HCLTECH,2024-02-21,2024-03-28,1636.3,1543.55,30.5,69.5,-69.5,14,2024
conn,S3,HCLTECH,2024-02-21,2024-03-28,1636.3,1543.55,39.95,110.05,-16.5,1,2024
conn,S1,HEROMOTOCO,2024-02-21,2024-03-28,4423.85,4606.7,53.0,247.0,53.0,14,2024
conn,S2,HEROMOTOCO,2024-02-21,2024-03-28,4423.85,4606.7,49.35,150.65,49.35,52,2024
conn,S3,HEROMOTOCO,2024-02-21,2024-03-28,4423.85,4606.7,125.15,174.85,125.15,14,2024
conn,S1,INFY,2024-02-21,2024-03-28,1655.55,1498.05,17.95,82.05,-82.05,283,2024
conn,S2,INFY,2024-02-21,2024-03-28,1655.55,1498.05,36.1,73.9,-73.9,67,2024
conn,S3,INFY,2024-02-21,2024-03-28,1655.55,1498.05,30.15,69.85,-69.85,1,2024
conn,S1,MUTHOOTFIN,2024-02-21,2024-03-28,1324.2,1480.45,30.85,69.15,30.85,23,2024
conn,S3,MUTHOOTFIN,2024-02-21,2024-03-28,1324.2,1480.45,45.8,54.2,-14.65,2,2024
conn,S1,IOC,2024-02-22,2024-03-28,169.04,157.35,2.25,12.75,-5.4,32,2024
conn,S2,IOC,2024-02-22,2024-03-28,169.04,157.35,2.55,7.45,-7.45,81,2024
conn,S3,IOC,2024-02-22,2024-03-28,169.04,157.35,6.6,8.4,-1.05,32,2024
conn,S1,APOLLOHOSP,2024-02-26,2024-03-28,6584.0,6356.8,83.85,316.15,40.65,101,2024
conn,S2,APOLLOHOSP,2024-02-26,2024-03-28,6584.0,6356.8,99.35,200.65,-143.85,77,2024
conn,S3,APOLLOHOSP,2024-02-26,2024-03-28,6584.0,6356.8,153.45,346.55,110.25,20,2024
conn,S1,BHARTIARTL,2024-02-26,2024-03-28,1110.05,1228.6,7.65,52.35,7.65,112,2024
conn,S2,BHARTIARTL,2024-02-26,2024-03-28,1110.05,1228.6,18.05,41.95,18.05,11,2024
conn,S3,BHARTIARTL,2024-02-26,2024-03-28,1110.05,1228.6,13.6,46.4,-25.0,22,2024
conn,S1,FEDERALBNK,2024-02-26,2024-03-28,151.5,150.2,2.2,8.8,2.2,2,2024
conn,S2,FEDERALBNK,2024-02-26,2024-03-28,151.5,150.2,2.45,3.55,1.65,15,2024
conn,S3,FEDERALBNK,2024-02-26,2024-03-28,151.5,150.2,3.05,7.95,3.05,2,2024
conn,S1,JSWSTEEL,2024-02-26,2024-03-28,808.75,830.2,6.85,23.15,6.85,87,2024
conn,S2,JSWSTEEL,2024-02-26,2024-03-28,808.75,830.2,18.25,31.75,18.25,8,2024
conn,S3,JSWSTEEL,2024-02-26,2024-03-28,808.75,830.2,11.2,18.8,11.2,25,2024
conn,S1,PNB,2024-02-26,2024-03-28,121.33,120.9,2.0,7.0,2.0,6,2024
conn,S2,PNB,2024-02-26,2024-03-28,121.33,120.9,2.0,4.0,1.9,12,2024
