path,variant,symbol,timeframe,exit_policy,exit_params,n_signals,mean_net,std_net,win_rate,pct_sl_first,composite_score,sharpe_score
E,rsi_rsi40_60_10min,HDFCBANK,10min,T0,time_only,67,0.093,4.005,52.239,0.0,-1.909,0.012130404494382024
F,priceCPR,HDFCBANK,5min,T3_RSI,rsi_cross_50,207,0.088,2.848,38.164,55.072,-1.336,0.011792247191011237
F,priceCPR,RELIANCE,5min,T3_RSI,rsi_cross_50,206,0.204,6.062,34.951,62.136,-2.827,0.011761801385681291
C,rng0.008_norsi,NIFTY50,5min,T2_TR10.0,tr_pts=10.0;hard_sl=50.0,227,1.938,53.219,32.159,18.502,-24.672,0.0117108818279186
E,cpr_5min,TCS,5min,T2_TR2.05,tr_pts=2.05;hard_sl=4.1,52,2.109,24.54,13.462,67.308,-10.161,0.011569420537897309
C,rngoff_norsi,NIFTY50,5min,T3_RSI,rsi_cross_50,315,1.94,65.181,38.73,58.095,-30.651,0.011527316242463293
C,rngoff_rsi40_60,NIFTY50,5min,T4_LVL,level_for_T4_cross,315,2.482,51.055,23.492,75.556,-23.045,0.011420457154049556
F,priceCPR,INFY,5min,T3_RSI,rsi_cross_50,189,0.212,7.381,39.683,56.085,-3.478,0.011397908142528113
E,cpr_5min,TCS,5min,T0,time_only,52,0.86,33.659,44.231,0.0,-15.97,0.011301185418461632
E,base_10min,HINDUNILVR,10min,T1_SL4.35,sl_pts=4.35,78,0.718,14.678,23.077,70.513,-6.621,0.011288517509197439
E,cpr_rsi_rsi40_60_5min,KOTAKBANK,5min,T2_TR1.0,tr_pts=1.0;hard_sl=2.0,43,0.71,11.834,18.605,46.512,-5.207,0.011162371134020618
E,rsi_rsi40_60_10min,HINDUNILVR,10min,T2_TR0.73,tr_pts=0.73;hard_sl=2.9,74,0.834,13.143,17.568,50.0,-5.737,0.011147920566080802
C,rng0.010_norsi,NIFTY50,5min,T3_RSI,rsi_cross_50,266,1.74,60.086,38.346,58.271,-28.303,0.011104423659421495
E,base_10min,KOTAKBANK,10min,T1_SL1.0,sl_pts=1.0,50,0.74,10.7,16.0,84.0,-4.61,0.011065420560747665
E,rsi_rsi40_60_10min,KOTAKBANK,10min,T4_LVL,level_for_T4_cross,43,0.699,11.761,18.605,72.093,-5.181,0.011057643907830967
C,rng0.008_rsi40_60,NIFTY50,5min,T2_TR10.0,tr_pts=10.0;hard_sl=50.0,226,1.819,53.263,32.301,18.584,-24.813,0.011031207217017443
E,base_5min,ITC,5min,T2_TR0.11,tr_pts=0.11;hard_sl=0.45,72,0.149,2.286,16.667,45.833,-0.994,0.010863442694663168
E,cpr_rsi_rsi40_60_5min,KOTAKBANK,5min,T2_TR0.5,tr_pts=0.5;hard_sl=2.0,43,0.691,11.836,18.605,46.512,-5.227,0.01086182409597837
E,cpr_5min,TCS,5min,T2_TR4.1,tr_pts=4.1;hard_sl=4.1,52,1.981,24.566,13.462,71.154,-10.302,0.010855744524953187
E,cpr_rsi_rsi40_60_10min,HDFCBANK,10min,T1_SL0.45,sl_pts=0.45,54,0.098,2.367,25.926,74.074,-1.085,0.01073404309252218
E,base_10min,BHARTIARTL,10min,T1_SL1.1,sl_pts=1.1,73,0.61,9.445,16.438,83.562,-4.113,0.010616389624139756
E,rsi_rsi40_60_10min,HDFCBANK,10min,T4_LVL,level_for_T4_cross,67,0.075,2.854,40.299,53.731,-1.352,0.010590136650315347
E,base_5min,ITC,5min,T2_TR0.22,tr_pts=0.22;hard_sl=0.45,72,0.134,2.296,18.056,50.0,-1.014,0.010537909407665507
C,rngoff_norsi,NIFTY50,5min,T4_LVL,level_for_T4_cross,315,2.335,51.035,22.857,76.19,-23.183,0.010457743705300284
E,cpr_rsi_rsi40_60_10min,BHARTIARTL,10min,T1_SL1.1,sl_pts=1.1,50,0.484,9.309,20.0,80.0,-4.17,0.010398539048232895
F,priceCPR,INFY,5min,T2_TR2.05,tr_pts=2.05;hard_sl=2.05,189,0.347,7.186,21.164,52.381,-3.246,0.01021974394656276
E,rsi_rsi40_60_10min,HINDUNILVR,10min,T2_TR1.45,tr_pts=1.45;hard_sl=2.9,74,0.765,13.162,17.568,54.054,-5.816,0.010210849414982525
E,base_10min,KOTAKBANK,10min,T2_TR2.0,tr_pts=2.0;hard_sl=2.0,50,0.618,10.914,18.0,66.0,-4.839,0.010192413413963717
B,rsi35_65_from1100,NIFTY50,5min,T2_TR10.0,tr_pts=10.0;hard_sl=50.0,402,2.642,64.805,24.876,20.149,-29.76,0.010141561916518787
E,rsi_rsi40_60_10min,BHARTIARTL,10min,T2_TR1.1,tr_pts=1.1;hard_sl=2.2,62,0.49,8.796,17.742,53.226,-3.908,0.009883560709413371
E,base_10min,RELIANCE,10min,T1_SL2.4,sl_pts=2.4,53,0.315,7.863,24.528,75.472,-3.616,0.009826173216329644
E,base_5min,ITC,5min,T2_TR0.45,tr_pts=0.45;hard_sl=0.45,72,0.124,2.298,18.056,52.778,-1.025,0.00974301131418625
D,priceCPR_rsi40_60,NIFTY50,5min,T0,time_only,413,1.785,91.912,49.637,0.0,-44.171,0.009639877817912784
E,cpr_15min,HINDUNILVR,15min,T3_RSI,rsi_cross_50,51,0.339,11.766,33.333,66.667,-5.544,0.009603847526772053
E,base_10min,KOTAKBANK,10min,T0,time_only,50,0.3,15.647,50.0,0.0,-7.524,0.009586502204895507
E,base_15min,ITC,15min,T1_SL0.45,sl_pts=0.45,56,0.137,3.141,21.429,75.0,-1.434,0.009346618911174784
E,rsi_rsi40_60_10min,BHARTIARTL,10min,T2_TR2.2,tr_pts=2.2;hard_sl=2.2,62,0.463,8.802,17.742,54.839,-3.938,0.009332590320381733
E,cpr_rsi_rsi40_60_5min,BHARTIARTL,5min,T4_LVL,level_for_T4_cross,63,0.461,12.728,25.397,68.254,-5.903,0.00919863057825267
E,base_15min,RELIANCE,15min,T0,time_only,48,0.198,11.69,54.167,0.0,-5.647,0.009174564585115485
E,base_5min,BHARTIARTL,5min,T1_SL2.2,sl_pts=2.2,89,0.447,10.416,21.348,78.652,-4.761,0.0091614400921659
E,rsi_rsi40_60_15min,RELIANCE,15min,T0,time_only,38,0.201,10.988,50.0,0.0,-5.292,0.009146341463414635
C,rng0.006_rsi40_60,NIFTY50,5min,T4_LVL,level_for_T4_cross,129,1.378,38.831,25.581,74.419,-18.037,0.009077957817207898
E,rsi_rsi40_60_5min,KOTAKBANK,5min,T1_SL3.0,sl_pts=3.0,58,0.411,11.733,25.862,63.793,-5.456,0.00905930452569675
C,rng0.010_rsi40_60,NIFTY50,5min,T2_TR20.0,tr_pts=20.0;hard_sl=50.0,266,1.556,61.414,35.714,26.692,-29.151,0.009048585664506465
E,rsi_rsi40_60_5min,SBIN,5min,T2_TR0.26,tr_pts=0.26;hard_sl=1.05,50,0.213,4.739,20.0,48.0,-2.156,0.00898923823591475
E,cpr_10min,TCS,10min,T0,time_only,42,0.626,31.599,45.238,0.0,-15.173,0.008961988670527549
