symbol,timeframe,variant,exit_policy,n_signals,mean_net,std_net,win_rate,sharpe_score,atr_proxy
RELIANCE,5min,rng0.010_rsi40_60,T0,99,0.234,6.909,44.4,0.015,29.87
RELIANCE,5min,rng0.010_norsi,T1_SL_1xATR,99,0.215,6.988,44.4,0.0137,29.87
RELIANCE,5min,rng0.010_rsi40_60,T1_SL_1xATR,99,0.215,6.988,44.4,0.0137,29.87
SBIN,10min,rng0.010_norsi,T0,74,0.129,4.376,45.9,0.0136,26.4
SBIN,10min,rng0.010_norsi,T1_SL_1xATR,74,0.129,4.376,45.9,0.0136,26.4
SBIN,15min,rngoff_norsi,T1_SL_1xATR,238,0.154,5.762,48.3,0.0129,26.4
SBIN,15min,rngoff_norsi,T0,238,0.153,5.866,48.3,0.0126,26.4
ITC,15min,rngoff_norsi,T0,235,0.071,2.596,44.7,0.0122,5.55
ICICIBANK,15min,rng0.010_norsi,T0,86,0.124,5.136,50.0,0.0121,22.21
ICICIBANK,15min,rng0.010_norsi,T1_SL_1xATR,86,0.124,5.136,50.0,0.0121,22.21
KOTAKBANK,10min,rngoff_rsi40_60,T1_SL_1xATR,234,0.181,6.894,46.2,0.0121,7.9
HDFCBANK,5min,rng0.008_norsi,T0,45,0.07,3.054,48.9,0.0112,14.52
HDFCBANK,5min,rng0.008_norsi,T1_SL_1xATR,45,0.07,3.054,48.9,0.0112,14.52
SBIN,15min,rngoff_rsi40_60,T0,211,0.135,5.888,48.3,0.0111,26.4
SBIN,15min,rng0.010_rsi40_60,T0,54,0.104,3.693,38.9,0.0109,26.4
SBIN,15min,rng0.010_rsi40_60,T1_SL_1xATR,54,0.104,3.693,38.9,0.0109,26.4
ICICIBANK,15min,rng0.008_rsi40_60,T0,26,0.102,5.973,53.8,0.0092,22.21
ICICIBANK,15min,rng0.008_rsi40_60,T1_SL_1xATR,26,0.102,5.973,53.8,0.0092,22.21
SBIN,5min,rng0.010_norsi,T0,79,0.08,4.012,44.3,0.0089,26.4
SBIN,5min,rng0.010_norsi,T1_SL_1xATR,79,0.08,4.012,44.3,0.0089,26.4
SBIN,5min,rng0.010_rsi40_60,T0,79,0.059,3.999,44.3,0.0066,26.4
SBIN,5min,rng0.010_rsi40_60,T1_SL_1xATR,79,0.059,3.999,44.3,0.0066,26.4
RELIANCE,5min,rngoff_norsi,T1_SL_1xATR,280,0.108,8.092,43.9,0.0059,29.87
SBIN,10min,rng0.008_rsi40_60,T0,34,0.044,3.561,47.1,0.0058,26.4
SBIN,10min,rng0.008_rsi40_60,T1_SL_1xATR,34,0.044,3.561,47.1,0.0058,26.4
ITC,15min,rngoff_rsi40_60,T0,216,0.033,2.611,44.9,0.0057,5.55
RELIANCE,5min,rngoff_rsi40_60,T1_SL_1xATR,280,0.1,8.1,43.9,0.0054,29.87
TCS,10min,rngoff_norsi,T1_SL_1xATR,225,0.219,22.391,48.4,0.0047,66.88
RELIANCE,5min,rngoff_norsi,T0,280,0.074,8.246,43.9,0.0039,29.87
RELIANCE,5min,rngoff_rsi40_60,T0,280,0.066,8.253,43.9,0.0035,29.87
HINDUNILVR,10min,rng0.008_rsi40_60,T0,34,0.063,8.442,47.1,0.0035,47.58
HINDUNILVR,10min,rng0.008_rsi40_60,T1_SL_1xATR,34,0.063,8.442,47.1,0.0035,47.58
TCS,10min,rngoff_norsi,T0,225,0.14,22.806,48.4,0.003,66.88
HDFCBANK,15min,rng0.008_norsi,T0,38,0.013,3.094,44.7,0.0019,14.52
HDFCBANK,15min,rng0.008_norsi,T1_SL_1xATR,38,0.013,3.094,44.7,0.0019,14.52
ICICIBANK,10min,rng0.010_norsi,T0,89,0.015,5.234,48.3,0.0014,22.21
ICICIBANK,10min,rng0.010_norsi,T1_SL_1xATR,89,0.015,5.234,48.3,0.0014,22.21
RELIANCE,10min,rng0.006_norsi,T0,5,-0.01,9.396,40.0,-0.0004,29.87
RELIANCE,10min,rng0.006_norsi,T1_SL_1xATR,5,-0.01,9.396,40.0,-0.0004,29.87
RELIANCE,10min,rng0.006_rsi40_60,T0,5,-0.01,9.396,40.0,-0.0004,29.87
RELIANCE,10min,rng0.006_rsi40_60,T1_SL_1xATR,5,-0.01,9.396,40.0,-0.0004,29.87
HINDUNILVR,5min,rng0.008_norsi,T0,32,-0.023,8.285,53.1,-0.0015,47.58
HINDUNILVR,5min,rng0.008_norsi,T1_SL_1xATR,32,-0.023,8.285,53.1,-0.0015,47.58
HINDUNILVR,5min,rng0.008_rsi40_60,T0,32,-0.023,8.285,53.1,-0.0015,47.58
HINDUNILVR,5min,rng0.008_rsi40_60,T1_SL_1xATR,32,-0.023,8.285,53.1,-0.0015,47.58
TCS,10min,rngoff_rsi40_60,T1_SL_1xATR,216,-0.109,21.922,48.6,-0.0024,66.88
SBIN,10min,rng0.006_norsi,T0,8,-0.025,2.772,37.5,-0.0034,26.4
SBIN,10min,rng0.006_norsi,T1_SL_1xATR,8,-0.025,2.772,37.5,-0.0034,26.4
ICICIBANK,15min,rng0.008_norsi,T0,35,-0.046,5.534,45.7,-0.0038,22.21
ICICIBANK,15min,rng0.008_norsi,T1_SL_1xATR,35,-0.046,5.534,45.7,-0.0038,22.21
TCS,10min,rngoff_rsi40_60,T0,216,-0.191,22.362,48.6,-0.0041,66.88
SBIN,15min,rng0.010_norsi,T0,71,-0.042,4.118,40.8,-0.0041,26.4
SBIN,15min,rng0.010_norsi,T1_SL_1xATR,71,-0.042,4.118,40.8,-0.0041,26.4
RELIANCE,15min,rngoff_rsi40_60,T1_SL_1xATR,232,-0.087,7.766,43.5,-0.0049,29.87
ICICIBANK,10min,rng0.008_rsi40_60,T0,33,-0.053,4.946,48.5,-0.0052,22.21
ICICIBANK,10min,rng0.008_rsi40_60,T1_SL_1xATR,33,-0.053,4.946,48.5,-0.0052,22.21
RELIANCE,15min,rngoff_norsi,T1_SL_1xATR,264,-0.102,7.529,41.3,-0.0056,29.87
RELIANCE,15min,rngoff_rsi40_60,T0,232,-0.133,7.975,43.5,-0.0073,29.87
ICICIBANK,5min,rng0.008_rsi40_60,T0,37,-0.095,5.596,43.2,-0.0073,22.21
ICICIBANK,5min,rng0.008_rsi40_60,T1_SL_1xATR,37,-0.095,5.596,43.2,-0.0073,22.21
RELIANCE,15min,rngoff_norsi,T0,264,-0.143,7.719,41.3,-0.0076,29.87
ITC,15min,rng0.010_rsi40_60,T0,81,-0.032,1.766,49.4,-0.009,5.55
ITC,15min,rng0.010_rsi40_60,T1_SL_1xATR,81,-0.032,1.766,49.4,-0.009,5.55
RELIANCE,5min,rng0.008_norsi,T0,44,-0.123,6.384,47.7,-0.0092,29.87
RELIANCE,5min,rng0.008_norsi,T1_SL_1xATR,44,-0.123,6.384,47.7,-0.0092,29.87
RELIANCE,5min,rng0.008_rsi40_60,T0,44,-0.123,6.384,47.7,-0.0092,29.87
RELIANCE,5min,rng0.008_rsi40_60,T1_SL_1xATR,44,-0.123,6.384,47.7,-0.0092,29.87
HINDUNILVR,10min,rngoff_rsi40_60,T0,236,-0.249,11.343,43.6,-0.0096,47.58
HINDUNILVR,10min,rngoff_rsi40_60,T1_SL_1xATR,236,-0.249,11.343,43.6,-0.0096,47.58
KOTAKBANK,15min,rngoff_norsi,T1_SL_1xATR,242,-0.14,6.309,43.8,-0.0097,7.9
HINDUNILVR,10min,rng0.008_norsi,T0,36,-0.201,8.892,44.4,-0.0101,47.58
HINDUNILVR,10min,rng0.008_norsi,T1_SL_1xATR,36,-0.201,8.892,44.4,-0.0101,47.58
TCS,5min,rngoff_norsi,T1_SL_1xATR,248,-0.47,20.654,47.6,-0.0108,66.88
ICICIBANK,10min,rng0.008_norsi,T0,37,-0.107,4.785,51.4,-0.0115,22.21
ICICIBANK,10min,rng0.008_norsi,T1_SL_1xATR,37,-0.107,4.785,51.4,-0.0115,22.21
ITC,10min,rng0.006_rsi40_60,T0,9,-0.022,1.054,55.6,-0.0117,5.55
ITC,10min,rng0.006_rsi40_60,T1_SL_1xATR,9,-0.022,1.054,55.6,-0.0117,5.55
ICICIBANK,5min,rng0.008_norsi,T0,38,-0.159,5.535,42.1,-0.0121,22.21
ICICIBANK,5min,rng0.008_norsi,T1_SL_1xATR,38,-0.159,5.535,42.1,-0.0121,22.21
TCS,5min,rngoff_rsi40_60,T1_SL_1xATR,248,-0.529,20.628,47.6,-0.0122,66.88
ICICIBANK,5min,rng0.010_rsi40_60,T0,89,-0.145,5.423,46.1,-0.0123,22.21
ICICIBANK,5min,rng0.010_rsi40_60,T1_SL_1xATR,89,-0.145,5.423,46.1,-0.0123,22.21
TCS,5min,rngoff_norsi,T0,248,-0.559,21.199,47.6,-0.0126,66.88
HDFCBANK,10min,rng0.010_norsi,T0,81,-0.084,3.083,48.1,-0.0131,14.52
HDFCBANK,10min,rng0.010_norsi,T1_SL_1xATR,81,-0.084,3.083,48.1,-0.0131,14.52
KOTAKBANK,10min,rngoff_norsi,T0,239,-0.238,8.741,48.1,-0.0131,7.9
HDFCBANK,10min,rngoff_rsi40_60,T0,212,-0.12,3.939,44.8,-0.0137,14.52
TCS,5min,rngoff_rsi40_60,T0,248,-0.619,21.174,47.6,-0.0139,66.88
RELIANCE,5min,rng0.006_norsi,T0,7,-0.279,8.476,42.9,-0.0141,29.87
RELIANCE,5min,rng0.006_norsi,T1_SL_1xATR,7,-0.279,8.476,42.9,-0.0141,29.87
RELIANCE,5min,rng0.006_rsi40_60,T0,7,-0.279,8.476,42.9,-0.0141,29.87
RELIANCE,5min,rng0.006_rsi40_60,T1_SL_1xATR,7,-0.279,8.476,42.9,-0.0141,29.87
HINDUNILVR,10min,rngoff_norsi,T0,241,-0.385,11.542,43.2,-0.0144,47.58
HINDUNILVR,10min,rngoff_norsi,T1_SL_1xATR,241,-0.385,11.542,43.2,-0.0144,47.58
ICICIBANK,5min,rng0.010_norsi,T0,90,-0.172,5.399,45.6,-0.0145,22.21
ICICIBANK,5min,rng0.010_norsi,T1_SL_1xATR,90,-0.172,5.399,45.6,-0.0145,22.21
HDFCBANK,10min,rngoff_norsi,T0,222,-0.136,3.894,43.7,-0.0153,14.52
HDFCBANK,10min,rng0.010_rsi40_60,T0,76,-0.102,3.128,50.0,-0.0163,14.52
HDFCBANK,10min,rng0.010_rsi40_60,T1_SL_1xATR,76,-0.102,3.128,50.0,-0.0163,14.52
BHARTIARTL,5min,rng0.008_norsi,T0,19,-0.308,7.711,42.1,-0.0168,35.42
BHARTIARTL,5min,rng0.008_norsi,T1_SL_1xATR,19,-0.308,7.711,42.1,-0.0168,35.42
TCS,15min,rngoff_norsi,T0,226,-0.863,21.316,45.6,-0.0185,66.88
SBIN,5min,rng0.008_norsi,T0,37,-0.164,3.308,37.8,-0.0187,26.4
SBIN,5min,rng0.008_norsi,T1_SL_1xATR,37,-0.164,3.308,37.8,-0.0187,26.4
TCS,15min,rngoff_norsi,T1_SL_1xATR,226,-0.891,21.136,45.6,-0.0192,66.88
SBIN,10min,rng0.006_rsi40_60,T0,6,-0.167,2.899,33.3,-0.0192,26.4
SBIN,10min,rng0.006_rsi40_60,T1_SL_1xATR,6,-0.167,2.899,33.3,-0.0192,26.4
HDFCBANK,10min,rngoff_rsi40_60,T1_SL_1xATR,212,-0.177,4.032,44.8,-0.0196,14.52
KOTAKBANK,10min,rngoff_rsi40_60,T0,234,-0.368,8.775,47.4,-0.0199,7.9
HDFCBANK,10min,rngoff_norsi,T1_SL_1xATR,222,-0.19,3.984,43.7,-0.0209,14.52
KOTAKBANK,5min,rng0.010_norsi,T1_SL_1xATR,66,-0.27,6.391,50.0,-0.0211,7.9
BHARTIARTL,10min,rng0.008_rsi40_60,T0,15,-0.487,10.064,46.7,-0.0226,35.42
BHARTIARTL,10min,rng0.008_rsi40_60,T1_SL_1xATR,15,-0.487,10.064,46.7,-0.0226,35.42
BHARTIARTL,5min,rng0.008_rsi40_60,T0,19,-0.418,7.734,42.1,-0.0228,35.42
BHARTIARTL,5min,rng0.008_rsi40_60,T1_SL_1xATR,19,-0.418,7.734,42.1,-0.0228,35.42
HDFCBANK,5min,rngoff_rsi40_60,T0,230,-0.199,4.027,47.0,-0.0232,14.52
KOTAKBANK,10min,rng0.010_norsi,T0,63,-0.399,6.794,39.7,-0.0233,7.9
HDFCBANK,5min,rngoff_norsi,T0,233,-0.208,4.003,46.4,-0.0241,14.52
HDFCBANK,5min,rngoff_rsi40_60,T1_SL_1xATR,230,-0.207,4.036,47.0,-0.0241,14.52
SBIN,5min,rng0.008_rsi40_60,T0,37,-0.208,3.272,37.8,-0.0241,26.4
SBIN,5min,rng0.008_rsi40_60,T1_SL_1xATR,37,-0.208,3.272,37.8,-0.0241,26.4
KOTAKBANK,5min,rng0.010_norsi,T0,66,-0.366,7.401,50.0,-0.0247,7.9
HDFCBANK,5min,rngoff_norsi,T1_SL_1xATR,233,-0.216,4.012,46.4,-0.0249,14.52
KOTAKBANK,5min,rngoff_norsi,T1_SL_1xATR,255,-0.397,6.794,42.7,-0.025,7.9
KOTAKBANK,5min,rng0.010_rsi40_60,T1_SL_1xATR,66,-0.333,6.376,48.5,-0.0253,7.9
BHARTIARTL,10min,rngoff_rsi40_60,T1_SL_1xATR,240,-0.56,9.134,42.1,-0.0258,35.42
KOTAKBANK,5min,rngoff_rsi40_60,T1_SL_1xATR,254,-0.417,6.805,42.5,-0.026,7.9
BHARTIARTL,10min,rngoff_rsi40_60,T0,240,-0.583,9.228,42.1,-0.0266,35.42
BHARTIARTL,10min,rngoff_norsi,T1_SL_1xATR,252,-0.576,9.016,42.1,-0.0269,35.42
HINDUNILVR,15min,rng0.008_rsi40_60,T0,27,-0.52,8.509,44.4,-0.0272,47.58
HINDUNILVR,15min,rng0.008_rsi40_60,T1_SL_1xATR,27,-0.52,8.509,44.4,-0.0272,47.58
BHARTIARTL,10min,rngoff_norsi,T0,252,-0.598,9.107,42.1,-0.0276,35.42
KOTAKBANK,5min,rng0.010_rsi40_60,T0,66,-0.43,7.388,48.5,-0.0282,7.9
HDFCBANK,15min,rng0.010_norsi,T0,77,-0.203,2.958,41.6,-0.0285,14.52
HDFCBANK,15min,rng0.010_norsi,T1_SL_1xATR,77,-0.203,2.958,41.6,-0.0285,14.52
KOTAKBANK,10min,rng0.010_norsi,T1_SL_1xATR,63,-0.452,6.229,39.7,-0.0288,7.9
KOTAKBANK,10min,rng0.010_rsi40_60,T0,61,-0.489,6.828,41.0,-0.0294,7.9
KOTAKBANK,10min,rng0.010_rsi40_60,T1_SL_1xATR,61,-0.443,6.171,41.0,-0.0295,7.9
BHARTIARTL,10min,rng0.008_norsi,T0,17,-0.694,9.474,41.2,-0.0302,35.42
BHARTIARTL,10min,rng0.008_norsi,T1_SL_1xATR,17,-0.694,9.474,41.2,-0.0302,35.42
KOTAKBANK,15min,rngoff_rsi40_60,T1_SL_1xATR,213,-0.457,6.241,41.8,-0.0306,7.9
HINDUNILVR,15min,rng0.006_norsi,T0,8,-0.487,9.885,62.5,-0.0308,47.58
HINDUNILVR,15min,rng0.006_norsi,T1_SL_1xATR,8,-0.487,9.885,62.5,-0.0308,47.58
TCS,5min,rng0.008_norsi,T0,35,-0.88,14.575,51.4,-0.0311,66.88
TCS,5min,rng0.008_norsi,T1_SL_1xATR,35,-0.88,14.575,51.4,-0.0311,66.88
HINDUNILVR,5min,rngoff_norsi,T1_SL_1xATR,260,-0.927,11.977,43.1,-0.0333,47.58
KOTAKBANK,15min,rng0.010_norsi,T0,63,-0.429,6.084,47.6,-0.0335,7.9
