symbol,timeframe,variant,exit_policy,n_signals,mean_net,std_net,win_rate,sharpe_score,atr_proxy
SBIN,15min,rng0.008_norsi,T1_SL_1xATR,37,-0.499,3.998,40.5,-0.0506,26.4
BHARTIARTL,5min,rngoff_norsi,T1_SL_1xATR,267,-1.167,9.503,41.6,-0.051,35.42
BHARTIARTL,5min,rngoff_norsi,T0,267,-1.168,9.51,41.6,-0.0511,35.42
ICICIBANK,5min,rngoff_rsi40_60,T1_SL_1xATR,243,-0.823,7.042,44.0,-0.0515,22.21
ICICIBANK,15min,rngoff_rsi40_60,T1_SL_1xATR,202,-0.714,6.433,46.5,-0.0516,22.21
ICICIBANK,5min,rngoff_norsi,T1_SL_1xATR,244,-0.83,7.029,43.9,-0.0518,22.21
ICICIBANK,15min,rngoff_rsi40_60,T0,202,-0.727,6.477,46.5,-0.0522,22.21
BHARTIARTL,5min,rngoff_rsi40_60,T0,266,-1.205,9.532,41.4,-0.0523,35.42
BHARTIARTL,5min,rngoff_rsi40_60,T1_SL_1xATR,266,-1.204,9.525,41.4,-0.0523,35.42
ICICIBANK,5min,rngoff_rsi40_60,T0,243,-0.858,7.171,44.0,-0.0527,22.21
HINDUNILVR,10min,rng0.006_rsi40_60,T0,6,-1.708,10.771,33.3,-0.0529,47.58
HINDUNILVR,10min,rng0.006_rsi40_60,T1_SL_1xATR,6,-1.708,10.771,33.3,-0.0529,47.58
ICICIBANK,5min,rngoff_norsi,T0,244,-0.865,7.157,43.9,-0.053,22.21
KOTAKBANK,5min,rng0.008_norsi,T1_SL_1xATR,21,-0.538,5.287,52.4,-0.0533,7.9
BHARTIARTL,15min,rng0.008_norsi,T0,15,-1.173,8.675,40.0,-0.0541,35.42
BHARTIARTL,15min,rng0.008_norsi,T1_SL_1xATR,15,-1.173,8.675,40.0,-0.0541,35.42
SBIN,15min,rng0.006_norsi,T0,9,-0.439,2.699,33.3,-0.0542,26.4
SBIN,15min,rng0.006_norsi,T1_SL_1xATR,9,-0.439,2.699,33.3,-0.0542,26.4
HINDUNILVR,15min,rngoff_norsi,T1_SL_1xATR,244,-1.552,11.381,40.6,-0.0553,47.58
HINDUNILVR,15min,rngoff_norsi,T0,244,-1.577,11.488,40.6,-0.0557,47.58
SBIN,5min,rng0.006_norsi,T0,8,-0.537,2.366,25.0,-0.0568,26.4
SBIN,5min,rng0.006_norsi,T1_SL_1xATR,8,-0.537,2.366,25.0,-0.0568,26.4
HINDUNILVR,15min,rng0.010_norsi,T0,73,-1.254,8.811,41.1,-0.0585,47.58
HINDUNILVR,15min,rng0.010_norsi,T1_SL_1xATR,73,-1.254,8.811,41.1,-0.0585,47.58
KOTAKBANK,15min,rng0.010_rsi40_60,T0,45,-0.764,5.924,46.7,-0.0602,7.9
KOTAKBANK,15min,rngoff_rsi40_60,T0,213,-1.204,8.548,43.7,-0.0615,7.9
KOTAKBANK,5min,rng0.008_rsi40_60,T1_SL_1xATR,21,-0.64,5.245,52.4,-0.064,7.9
SBIN,15min,rng0.008_rsi40_60,T0,27,-0.402,2.554,40.7,-0.0641,26.4
SBIN,15min,rng0.008_rsi40_60,T1_SL_1xATR,27,-0.402,2.554,40.7,-0.0641,26.4
TCS,10min,rng0.010_norsi,T0,72,-3.263,21.147,41.7,-0.0643,66.88
TCS,10min,rng0.010_norsi,T1_SL_1xATR,72,-3.36,21.42,41.7,-0.0654,66.88
HINDUNILVR,10min,rng0.010_norsi,T0,75,-1.607,9.394,38.7,-0.0662,47.58
HINDUNILVR,10min,rng0.010_norsi,T1_SL_1xATR,75,-1.607,9.394,38.7,-0.0662,47.58
INFY,15min,rngoff_norsi,T1_SL_1xATR,239,-1.503,9.387,41.4,-0.0663,39.03
INFY,15min,rngoff_norsi,T0,239,-1.523,9.474,41.4,-0.0666,39.03
KOTAKBANK,5min,rng0.008_norsi,T0,21,-0.783,5.956,52.4,-0.0689,7.9
BHARTIARTL,15min,rngoff_rsi40_60,T0,221,-1.825,9.444,35.7,-0.0691,35.42
INFY,15min,rng0.008_rsi40_60,T0,11,-1.009,5.281,36.4,-0.0695,39.03
INFY,15min,rng0.008_rsi40_60,T1_SL_1xATR,11,-1.009,5.281,36.4,-0.0695,39.03
HINDUNILVR,5min,rng0.010_norsi,T0,75,-1.43,8.804,44.0,-0.0715,47.58
HINDUNILVR,5min,rng0.010_norsi,T1_SL_1xATR,75,-1.43,8.804,44.0,-0.0715,47.58
HINDUNILVR,5min,rng0.010_rsi40_60,T0,75,-1.43,8.804,44.0,-0.0715,47.58
HINDUNILVR,5min,rng0.010_rsi40_60,T1_SL_1xATR,75,-1.43,8.804,44.0,-0.0715,47.58
BHARTIARTL,5min,rng0.010_norsi,T0,50,-1.777,8.899,36.0,-0.0719,35.42
BHARTIARTL,5min,rng0.010_norsi,T1_SL_1xATR,50,-1.777,8.899,36.0,-0.0719,35.42
HINDUNILVR,15min,rng0.010_rsi40_60,T0,64,-1.612,8.697,39.1,-0.0724,47.58
HINDUNILVR,15min,rng0.010_rsi40_60,T1_SL_1xATR,64,-1.612,8.697,39.1,-0.0724,47.58
INFY,5min,rngoff_norsi,T0,257,-1.824,10.456,42.0,-0.0733,39.03
BHARTIARTL,15min,rngoff_rsi40_60,T1_SL_1xATR,221,-2.021,9.859,35.7,-0.0733,35.42
INFY,10min,rngoff_norsi,T1_SL_1xATR,247,-1.79,10.167,41.7,-0.0734,39.03
INFY,10min,rngoff_norsi,T0,247,-1.795,10.188,41.7,-0.0735,39.03
BHARTIARTL,5min,rng0.010_rsi40_60,T0,50,-1.819,8.9,36.0,-0.0736,35.42
BHARTIARTL,5min,rng0.010_rsi40_60,T1_SL_1xATR,50,-1.819,8.9,36.0,-0.0736,35.42
KOTAKBANK,15min,rng0.010_rsi40_60,T1_SL_1xATR,45,-0.842,5.084,44.4,-0.0736,7.9
TCS,10min,rng0.010_rsi40_60,T0,68,-3.826,21.379,41.2,-0.0737,66.88
ICICIBANK,15min,rng0.006_norsi,T0,9,-1.256,3.781,22.2,-0.0738,22.21
ICICIBANK,15min,rng0.006_norsi,T1_SL_1xATR,9,-1.256,3.781,22.2,-0.0738,22.21
TCS,10min,rng0.010_rsi40_60,T1_SL_1xATR,68,-3.928,21.663,41.2,-0.0747,66.88
TCS,10min,rng0.008_norsi,T0,31,-3.374,17.332,38.7,-0.0754,66.88
TCS,10min,rng0.008_norsi,T1_SL_1xATR,31,-3.374,17.332,38.7,-0.0754,66.88
INFY,5min,rngoff_rsi40_60,T0,255,-1.895,10.54,42.0,-0.0754,39.03
KOTAKBANK,10min,rng0.008_norsi,T1_SL_1xATR,22,-0.948,5.139,40.9,-0.0754,7.9
KOTAKBANK,15min,rng0.008_norsi,T1_SL_1xATR,19,-0.718,4.955,52.6,-0.0763,7.9
INFY,10min,rngoff_rsi40_60,T0,237,-1.995,10.286,39.7,-0.0769,39.03
INFY,10min,rngoff_rsi40_60,T1_SL_1xATR,237,-1.989,10.264,39.7,-0.0769,39.03
INFY,5min,rngoff_norsi,T1_SL_1xATR,257,-1.968,10.734,42.0,-0.0771,39.03
SBIN,5min,rng0.006_rsi40_60,T0,7,-1.086,1.999,14.3,-0.0776,26.4
SBIN,5min,rng0.006_rsi40_60,T1_SL_1xATR,7,-1.086,1.999,14.3,-0.0776,26.4
BHARTIARTL,10min,rng0.010_rsi40_60,T0,47,-1.5,7.813,40.4,-0.0776,35.42
BHARTIARTL,10min,rng0.010_rsi40_60,T1_SL_1xATR,47,-1.5,7.813,40.4,-0.0776,35.42
INFY,10min,rng0.010_norsi,T1_SL_1xATR,49,-1.618,8.881,42.9,-0.0781,39.03
KOTAKBANK,5min,rng0.008_rsi40_60,T0,21,-0.886,5.914,52.4,-0.0784,7.9
INFY,10min,rng0.010_norsi,T0,49,-1.67,9.106,42.9,-0.0786,39.03
INFY,5min,rngoff_rsi40_60,T1_SL_1xATR,255,-2.04,10.817,42.0,-0.0791,39.03
ICICIBANK,5min,rng0.006_norsi,T0,7,-2.1,3.755,14.3,-0.0799,22.21
ICICIBANK,5min,rng0.006_norsi,T1_SL_1xATR,7,-2.1,3.755,14.3,-0.0799,22.21
ICICIBANK,5min,rng0.006_rsi40_60,T0,7,-2.1,3.755,14.3,-0.0799,22.21
ICICIBANK,5min,rng0.006_rsi40_60,T1_SL_1xATR,7,-2.1,3.755,14.3,-0.0799,22.21
HINDUNILVR,10min,rng0.010_rsi40_60,T0,73,-1.959,9.068,37.0,-0.0799,47.58
HINDUNILVR,10min,rng0.010_rsi40_60,T1_SL_1xATR,73,-1.959,9.068,37.0,-0.0799,47.58
INFY,10min,rng0.010_rsi40_60,T1_SL_1xATR,46,-1.758,9.079,41.3,-0.08,39.03
INFY,15min,rngoff_rsi40_60,T1_SL_1xATR,206,-2.097,9.749,37.4,-0.0804,39.03
INFY,10min,rng0.010_rsi40_60,T0,46,-1.814,9.313,41.3,-0.0805,39.03
INFY,15min,rngoff_rsi40_60,T0,206,-2.12,9.845,37.4,-0.0805,39.03
BHARTIARTL,15min,rng0.008_rsi40_60,T0,12,-1.9,9.815,41.7,-0.0807,35.42
BHARTIARTL,15min,rng0.008_rsi40_60,T1_SL_1xATR,12,-1.9,9.815,41.7,-0.0807,35.42
INFY,5min,rng0.010_norsi,T0,50,-1.74,8.555,40.0,-0.0814,39.03
INFY,5min,rng0.010_norsi,T1_SL_1xATR,50,-1.82,8.877,40.0,-0.082,39.03
BHARTIARTL,15min,rngoff_norsi,T0,251,-2.14,9.605,37.1,-0.0825,35.42
TCS,15min,rng0.010_norsi,T0,72,-3.766,17.673,40.3,-0.0858,66.88
BHARTIARTL,15min,rngoff_norsi,T1_SL_1xATR,251,-2.286,9.868,37.1,-0.0858,35.42
INFY,5min,rng0.010_rsi40_60,T0,49,-1.921,8.666,38.8,-0.086,39.03
KOTAKBANK,10min,rng0.008_rsi40_60,T0,21,-1.067,4.722,38.1,-0.086,7.9
TCS,15min,rng0.010_norsi,T1_SL_1xATR,72,-3.812,17.833,40.3,-0.0861,66.88
INFY,5min,rng0.010_rsi40_60,T1_SL_1xATR,49,-2.003,8.988,38.8,-0.0864,39.03
TCS,5min,rng0.010_norsi,T0,78,-3.265,16.606,44.9,-0.0882,66.88
TCS,5min,rng0.010_norsi,T1_SL_1xATR,78,-3.307,16.765,44.9,-0.0885,66.88
KOTAKBANK,15min,rng0.008_norsi,T0,19,-0.918,5.424,52.6,-0.0891,7.9
BHARTIARTL,10min,rng0.010_norsi,T0,49,-1.863,7.972,38.8,-0.0906,35.42
BHARTIARTL,10min,rng0.010_norsi,T1_SL_1xATR,49,-1.863,7.972,38.8,-0.0906,35.42
TCS,5min,rng0.010_rsi40_60,T0,78,-3.453,16.473,44.9,-0.0941,66.88
TCS,5min,rng0.010_rsi40_60,T1_SL_1xATR,78,-3.496,16.632,44.9,-0.0943,66.88
TCS,10min,rng0.008_rsi40_60,T0,29,-4.267,17.02,37.9,-0.0951,66.88
TCS,10min,rng0.008_rsi40_60,T1_SL_1xATR,29,-4.267,17.02,37.9,-0.0951,66.88
TCS,15min,rng0.008_rsi40_60,T0,29,-3.236,13.887,41.4,-0.0964,66.88
TCS,15min,rng0.008_rsi40_60,T1_SL_1xATR,29,-3.236,13.887,41.4,-0.0964,66.88
TCS,15min,rng0.010_rsi40_60,T0,60,-4.493,18.297,41.7,-0.1023,66.88
TCS,15min,rng0.010_rsi40_60,T1_SL_1xATR,60,-4.549,18.48,41.7,-0.1026,66.88
INFY,15min,rng0.010_norsi,T0,47,-2.26,9.265,42.6,-0.1038,39.03
INFY,15min,rng0.010_norsi,T1_SL_1xATR,47,-2.155,8.81,42.6,-0.1041,39.03
INFY,15min,rng0.010_rsi40_60,T0,39,-2.801,9.977,41.0,-0.1152,39.03
KOTAKBANK,10min,rng0.008_rsi40_60,T1_SL_1xATR,21,-1.464,4.83,38.1,-0.1155,7.9
INFY,15min,rng0.010_rsi40_60,T1_SL_1xATR,39,-2.675,9.475,41.0,-0.1158,39.03
HINDUNILVR,15min,rng0.006_rsi40_60,T0,6,-2.633,10.533,50.0,-0.125,47.58
HINDUNILVR,15min,rng0.006_rsi40_60,T1_SL_1xATR,6,-2.633,10.533,50.0,-0.125,47.58
ICICIBANK,10min,rng0.006_rsi40_60,T0,6,-1.933,2.502,16.7,-0.1288,22.21
ICICIBANK,10min,rng0.006_rsi40_60,T1_SL_1xATR,6,-1.933,2.502,16.7,-0.1288,22.21
BHARTIARTL,15min,rng0.010_norsi,T0,45,-3.423,7.68,31.1,-0.1387,35.42
KOTAKBANK,15min,rng0.008_rsi40_60,T1_SL_1xATR,13,-1.308,4.982,53.8,-0.1414,7.9
BHARTIARTL,15min,rng0.010_norsi,T1_SL_1xATR,45,-4.146,9.011,31.1,-0.1431,35.42
BHARTIARTL,15min,rng0.010_rsi40_60,T0,38,-3.63,7.928,31.6,-0.1446,35.42
BHARTIARTL,15min,rng0.010_rsi40_60,T1_SL_1xATR,38,-4.486,9.418,31.6,-0.1504,35.42
KOTAKBANK,15min,rng0.008_rsi40_60,T0,13,-1.608,5.627,53.8,-0.1538,7.9
ICICIBANK,10min,rng0.006_norsi,T0,9,-2.067,2.425,22.2,-0.1894,22.21
ICICIBANK,10min,rng0.006_norsi,T1_SL_1xATR,9,-2.067,2.425,22.2,-0.1894,22.21
