path,variant,symbol,timeframe,exit_policy,exit_params,n_signals,mean_net,std_net,median_net,p25_net,p75_net,win_rate,pct_sl_first,composite_score
E,cpr_rsi_rsi40_60_15min,ITC,15min,T2_TR0.22,tr_pts=0.22;hard_sl=0.45,37,-0.265,1.027,-0.55,-0.75,-0.1,13.514,64.865,-0.779
E,cpr_rsi_rsi40_60_10min,ITC,10min,T1_SL0.22,sl_pts=0.22,39,0.249,2.067,-0.35,-0.525,0.0,25.641,74.359,-0.785
E,cpr_rsi_rsi40_60_10min,HDFCBANK,10min,T3_RSI,rsi_cross_50,54,0.618,2.816,0.1,-1.3,2.375,51.852,42.593,-0.79
E,cpr_rsi_rsi40_60_15min,ITC,15min,T1_SL0.45,sl_pts=0.45,37,-0.201,1.185,-0.55,-0.75,-0.5,21.622,78.378,-0.794
E,cpr_rsi_rsi40_60_15min,ITC,15min,T2_TR0.45,tr_pts=0.45;hard_sl=0.45,37,-0.284,1.027,-0.55,-0.75,-0.1,13.514,67.568,-0.797
F,priceCPR,ITC,5min,T1_SL0.45,sl_pts=0.45,216,0.028,1.688,-0.55,-0.75,0.125,25.926,71.296,-0.816
E,cpr_10min,HDFCBANK,10min,T3_RSI,rsi_cross_50,61,0.605,2.855,0.1,-1.4,2.9,50.82,45.902,-0.822
E,base_10min,HDFCBANK,10min,T3_RSI,rsi_cross_50,80,0.736,3.194,-0.125,-1.312,2.275,47.5,48.75,-0.861
F,priceCPR,ITC,5min,T1_SL0.67,sl_pts=0.67,216,0.028,1.789,-0.75,-0.912,0.6,31.019,64.352,-0.867
F,priceCPR,ITC,5min,T4_LVL,level_for_T4_cross,216,0.041,1.848,-0.525,-0.962,0.65,31.481,62.5,-0.883
E,cpr_10min,ITC,10min,T1_SL0.45,sl_pts=0.45,42,0.19,2.222,-0.575,-0.8,1.05,28.571,71.429,-0.92
E,cpr_10min,ITC,10min,T4_LVL,level_for_T4_cross,42,0.219,2.297,-0.425,-0.8,1.05,35.714,61.905,-0.929
E,cpr_rsi_rsi40_60_10min,ITC,10min,T4_LVL,level_for_T4_cross,39,0.205,2.284,-0.35,-0.8,1.175,41.026,56.41,-0.937
E,cpr_10min,ITC,10min,T3_RSI,rsi_cross_50,42,-0.121,1.632,-0.225,-1.338,0.712,38.095,59.524,-0.937
E,cpr_15min,ITC,15min,T1_SL0.45,sl_pts=0.45,41,-0.216,1.455,-0.6,-0.75,0.0,24.39,73.171,-0.943
E,base_10min,ITC,10min,T3_RSI,rsi_cross_50,57,0.412,2.743,-0.35,-1.0,1.05,40.351,57.895,-0.959
E,cpr_15min,ITC,15min,T1_SL0.22,sl_pts=0.22,41,-0.438,1.048,-0.45,-0.7,-0.25,9.756,87.805,-0.962
E,cpr_rsi_rsi40_60_5min,HDFCBANK,5min,T3_RSI,rsi_cross_50,66,0.837,3.611,0.0,-1.4,3.275,50.0,48.485,-0.968
E,cpr_rsi_rsi40_60_10min,ITC,10min,T3_RSI,rsi_cross_50,39,-0.171,1.619,-0.05,-1.35,0.575,41.026,53.846,-0.98
E,cpr_rsi_rsi40_60_10min,ITC,10min,T1_SL0.45,sl_pts=0.45,39,0.109,2.186,-0.55,-0.825,0.95,30.769,69.231,-0.984
E,cpr_rsi_rsi40_60_15min,ITC,15min,T1_SL0.67,sl_pts=0.67,37,-0.293,1.394,-0.85,-1.05,0.5,27.027,72.973,-0.99
E,rsi_rsi40_60_10min,ITC,10min,T2_TR0.45,tr_pts=0.45;hard_sl=0.45,50,0.753,3.487,-0.3,-0.688,0.663,28.0,48.0,-0.991
E,base_5min,ITC,5min,T2_TR0.11,tr_pts=0.11;hard_sl=0.45,72,0.149,2.286,-0.275,-0.662,-0.038,16.667,45.833,-0.994
E,base_15min,ITC,15min,T3_RSI,rsi_cross_50,56,0.624,3.248,-0.35,-1.038,1.175,39.286,58.929,-1.0
E,cpr_rsi_rsi40_60_5min,ITC,5min,T2_TR0.11,tr_pts=0.11;hard_sl=0.45,52,0.012,2.028,-0.4,-0.762,-0.05,19.231,50.0,-1.002
E,cpr_15min,ITC,15min,T2_TR0.45,tr_pts=0.45;hard_sl=0.45,41,-0.356,1.292,-0.55,-0.75,-0.1,14.634,68.293,-1.002
E,rsi_rsi40_60_10min,ITC,10min,T2_TR0.22,tr_pts=0.22;hard_sl=0.45,50,0.737,3.482,-0.175,-0.6,0.188,26.0,44.0,-1.004
E,base_5min,ITC,5min,T2_TR0.22,tr_pts=0.22;hard_sl=0.45,72,0.134,2.296,-0.425,-0.762,-0.05,18.056,50.0,-1.014
E,rsi_rsi40_60_10min,HDFCBANK,10min,T3_RSI,rsi_cross_50,67,0.491,3.024,-0.1,-1.7,2.25,49.254,46.269,-1.021
E,cpr_rsi_rsi40_60_10min,HDFCBANK,10min,T2_TR0.22,tr_pts=0.22;hard_sl=0.9,54,0.216,2.479,-0.4,-1.075,0.0,22.222,31.481,-1.024
E,base_5min,ITC,5min,T2_TR0.45,tr_pts=0.45;hard_sl=0.45,72,0.124,2.298,-0.5,-0.762,-0.05,18.056,52.778,-1.025
E,rsi_rsi40_60_5min,ITC,5min,T2_TR0.22,tr_pts=0.22;hard_sl=0.45,70,0.099,2.254,-0.475,-0.738,-0.05,17.143,51.429,-1.028
E,cpr_15min,ITC,15min,T1_SL0.67,sl_pts=0.67,41,-0.213,1.631,-0.75,-1.05,0.75,29.268,68.293,-1.029
E,cpr_rsi_rsi40_60_5min,ITC,5min,T2_TR0.22,tr_pts=0.22;hard_sl=0.45,52,-0.011,2.037,-0.5,-0.812,-0.05,19.231,53.846,-1.029
E,cpr_rsi_rsi40_60_5min,ITC,5min,T4_LVL,level_for_T4_cross,52,0.077,2.214,-0.375,-0.888,0.75,36.538,57.692,-1.03
E,rsi_rsi40_60_5min,ITC,5min,T2_TR0.11,tr_pts=0.11;hard_sl=0.45,70,0.049,2.162,-0.3,-0.638,-0.05,14.286,45.714,-1.032
E,cpr_10min,ITC,10min,T1_SL0.67,sl_pts=0.67,42,0.107,2.29,-0.75,-1.0,1.05,33.333,66.667,-1.038
E,cpr_rsi_rsi40_60_5min,ITC,5min,T2_TR0.45,tr_pts=0.45;hard_sl=0.45,52,-0.024,2.039,-0.525,-0.812,-0.05,19.231,57.692,-1.044
E,rsi_rsi40_60_5min,ITC,5min,T2_TR0.45,tr_pts=0.45;hard_sl=0.45,70,0.074,2.26,-0.5,-0.75,-0.05,17.143,57.143,-1.056
E,cpr_15min,ITC,15min,T4_LVL,level_for_T4_cross,41,-0.206,1.709,-0.55,-0.85,0.75,29.268,68.293,-1.061
E,cpr_rsi_rsi40_60_10min,HDFCBANK,10min,T2_TR0.45,tr_pts=0.45;hard_sl=0.9,54,0.182,2.491,-0.4,-1.175,-0.0,22.222,33.333,-1.063
E,cpr_rsi_rsi40_60_10min,HDFCBANK,10min,T2_TR0.9,tr_pts=0.9;hard_sl=0.9,54,0.186,2.516,-0.55,-1.275,-0.0,24.074,37.037,-1.072
E,rsi_rsi40_60_10min,ITC,10min,T2_TR0.11,tr_pts=0.11;hard_sl=0.45,50,0.637,3.422,-0.25,-0.6,-0.0,22.0,42.0,-1.074
E,rsi_rsi40_60_10min,ITC,10min,T3_RSI,rsi_cross_50,50,0.378,2.909,-0.05,-1.225,0.875,40.0,52.0,-1.077
E,cpr_15min,HDFCBANK,15min,T3_RSI,rsi_cross_50,58,0.355,2.875,-0.25,-1.575,1.675,39.655,53.448,-1.083
E,cpr_rsi_rsi40_60_10min,HDFCBANK,10min,T1_SL0.45,sl_pts=0.45,54,0.098,2.367,-0.7,-0.9,-0.05,25.926,74.074,-1.085
E,rsi_rsi40_60_5min,ITC,5min,T1_SL0.22,sl_pts=0.22,70,-0.244,1.691,-0.45,-0.688,-0.3,14.286,85.714,-1.09
E,base_10min,ITC,10min,T2_TR0.22,tr_pts=0.22;hard_sl=0.45,57,0.588,3.359,-0.35,-0.6,0.0,21.053,45.614,-1.092
E,cpr_5min,ITC,5min,T2_TR0.11,tr_pts=0.11;hard_sl=0.45,53,-0.075,2.04,-0.5,-0.85,-0.05,16.981,54.717,-1.094
E,cpr_rsi_rsi40_60_10min,ITC,10min,T1_SL0.67,sl_pts=0.67,39,0.026,2.255,-0.8,-1.025,0.95,35.897,64.103,-1.102
E,base_5min,ITC,5min,T1_SL0.22,sl_pts=0.22,72,-0.162,1.882,-0.45,-0.762,-0.3,15.278,84.722,-1.103
E,base_10min,ITC,10min,T2_TR0.45,tr_pts=0.45;hard_sl=0.45,57,0.584,3.377,-0.5,-0.6,0.0,22.807,52.632,-1.104
E,rsi_rsi40_60_5min,ITC,5min,T1_SL0.45,sl_pts=0.45,70,0.042,2.298,-0.6,-0.8,0.075,25.714,74.286,-1.107
E,cpr_15min,ITC,15min,T3_RSI,rsi_cross_50,41,0.033,2.298,-0.5,-1.55,0.9,39.024,58.537,-1.116
E,rsi_rsi40_60_10min,ITC,10min,T4_LVL,level_for_T4_cross,50,0.768,3.77,-0.325,-0.7,1.5,40.0,54.0,-1.117
E,cpr_5min,ITC,5min,T2_TR0.22,tr_pts=0.22;hard_sl=0.45,53,-0.095,2.047,-0.55,-0.85,-0.05,16.981,58.491,-1.119
E,cpr_rsi_rsi40_60_5min,ITC,5min,T1_SL0.22,sl_pts=0.22,52,-0.173,1.891,-0.4,-0.8,-0.288,15.385,84.615,-1.119
E,base_15min,HDFCBANK,15min,T3_RSI,rsi_cross_50,76,0.424,3.086,-0.575,-1.525,1.425,39.474,53.947,-1.12
E,base_10min,ITC,10min,T4_LVL,level_for_T4_cross,57,0.682,3.623,-0.45,-0.8,1.15,35.088,64.912,-1.13
E,rsi_rsi40_60_10min,HDFCBANK,10min,T2_TR0.22,tr_pts=0.22;hard_sl=0.9,67,0.012,2.286,-0.4,-1.15,0.0,19.403,34.328,-1.131
E,cpr_5min,ITC,5min,T4_LVL,level_for_T4_cross,53,-0.05,2.181,-0.5,-1.0,0.65,30.189,64.151,-1.141
E,cpr_rsi_rsi40_60_5min,ITC,5min,T1_SL0.45,sl_pts=0.45,52,-0.105,2.073,-0.6,-0.85,-0.275,25.0,75.0,-1.141
E,cpr_rsi_rsi40_60_15min,ITC,15min,T4_LVL,level_for_T4_cross,37,-0.241,1.805,-0.55,-0.85,0.75,37.838,59.459,-1.143
E,cpr_5min,ITC,5min,T2_TR0.45,tr_pts=0.45;hard_sl=0.45,53,-0.119,2.05,-0.55,-0.85,-0.05,16.981,64.151,-1.144
E,rsi_rsi40_60_10min,ITC,10min,T1_SL0.22,sl_pts=0.22,50,0.605,3.507,-0.35,-0.55,0.188,26.0,72.0,-1.148
E,rsi_rsi40_60_10min,ITC,10min,T1_SL0.45,sl_pts=0.45,50,0.714,3.727,-0.55,-0.8,1.45,32.0,66.0,-1.149
E,base_10min,HDFCBANK,10min,T2_TR0.22,tr_pts=0.22;hard_sl=0.9,80,-0.032,2.239,-0.4,-1.2,-0.088,16.25,37.5,-1.152
E,cpr_5min,HDFCBANK,5min,T3_RSI,rsi_cross_50,71,0.755,3.815,0.1,-1.55,3.4,50.704,47.887,-1.153
E,cpr_10min,HDFCBANK,10min,T2_TR0.22,tr_pts=0.22;hard_sl=0.9,61,0.063,2.435,-0.4,-1.3,-0.1,18.033,37.705,-1.154
E,rsi_rsi40_60_10min,HDFCBANK,10min,T2_TR0.45,tr_pts=0.45;hard_sl=0.9,67,-0.015,2.294,-0.4,-1.275,-0.075,19.403,35.821,-1.162
E,cpr_rsi_rsi40_60_5min,ITC,5min,T1_SL0.67,sl_pts=0.67,52,-0.048,2.228,-0.8,-1.15,0.675,32.692,67.308,-1.162
E,rsi_rsi40_60_10min,HDFCBANK,10min,T2_TR0.9,tr_pts=0.9;hard_sl=0.9,67,0.007,2.344,-0.6,-1.375,-0.025,22.388,40.299,-1.165
E,base_5min,ITC,5min,T1_SL0.45,sl_pts=0.45,72,0.01,2.35,-0.6,-0.8,-0.5,22.222,77.778,-1.165
E,base_10min,ITC,10min,T2_TR0.11,tr_pts=0.11;hard_sl=0.45,57,0.482,3.309,-0.35,-0.6,0.0,17.544,45.614,-1.173
E,cpr_10min,HDFCBANK,10min,T2_TR0.45,tr_pts=0.45;hard_sl=0.9,61,0.037,2.443,-0.5,-1.4,-0.1,18.033,39.344,-1.185
E,cpr_5min,ITC,5min,T1_SL0.22,sl_pts=0.22,53,-0.247,1.888,-0.45,-0.8,-0.3,11.321,88.679,-1.191
E,cpr_10min,HDFCBANK,10min,T1_SL0.45,sl_pts=0.45,61,-0.002,2.384,-0.7,-1.25,-0.5,22.951,77.049,-1.194
E,base_10min,ITC,10min,T1_SL0.45,sl_pts=0.45,57,0.599,3.591,-0.6,-0.75,1.15,29.825,70.175,-1.197
E,base_5min,HDFCBANK,5min,T3_RSI,rsi_cross_50,98,0.695,3.808,0.15,-1.5,2.875,53.061,45.918,-1.209
E,base_10min,HDFCBANK,10min,T2_TR0.45,tr_pts=0.45;hard_sl=0.9,80,0.037,2.51,-0.5,-1.325,-0.1,17.5,41.25,-1.217
E,cpr_10min,HDFCBANK,10min,T2_TR0.9,tr_pts=0.9;hard_sl=0.9,61,0.007,2.452,-0.6,-1.4,-0.1,18.033,42.623,-1.22
E,base_10min,ITC,10min,T1_SL0.22,sl_pts=0.22,57,0.481,3.402,-0.4,-0.6,-0.25,24.561,75.439,-1.22
E,rsi_rsi40_60_5min,HDFCBANK,5min,T3_RSI,rsi_cross_50,87,0.579,3.602,-0.4,-1.65,2.7,45.977,54.023,-1.222
E,rsi_rsi40_60_10min,ITC,10min,T1_SL0.67,sl_pts=0.67,50,0.656,3.769,-0.725,-0.988,1.45,38.0,60.0,-1.228
E,base_10min,HDFCBANK,10min,T2_TR0.9,tr_pts=0.9;hard_sl=0.9,80,0.039,2.535,-0.7,-1.4,-0.088,18.75,43.75,-1.229
E,base_10min,HDFCBANK,10min,T1_SL0.45,sl_pts=0.45,80,-0.197,2.093,-0.8,-1.2,-0.5,21.25,78.75,-1.244
E,rsi_rsi40_60_10min,HDFCBANK,10min,T1_SL0.45,sl_pts=0.45,67,-0.116,2.257,-0.7,-1.0,-0.5,23.881,76.119,-1.244
E,cpr_5min,ITC,5min,T1_SL0.45,sl_pts=0.45,53,-0.211,2.077,-0.65,-0.9,-0.5,18.868,81.132,-1.25
F,priceCPR,HDFCBANK,5min,T2_TR0.22,tr_pts=0.22;hard_sl=0.9,207,-0.047,2.419,-0.5,-1.2,-0.1,14.493,42.029,-1.257
E,cpr_rsi_rsi40_60_10min,HDFCBANK,10min,T1_SL0.9,sl_pts=0.9,54,0.066,2.646,-1.1,-1.475,0.95,33.333,61.111,-1.257
E,cpr_rsi_rsi40_60_10min,HDFCBANK,10min,T4_LVL,level_for_T4_cross,54,0.156,2.851,-0.55,-1.7,1.525,40.741,51.852,-1.27
E,rsi_rsi40_60_15min,ITC,15min,T3_RSI,rsi_cross_50,45,0.497,3.557,-0.5,-1.35,0.9,31.111,62.222,-1.282
F,priceCPR,HDFCBANK,5min,T2_TR0.45,tr_pts=0.45;hard_sl=0.9,207,-0.08,2.439,-0.7,-1.2,-0.1,15.942,47.826,-1.299
E,base_10min,ITC,10min,T1_SL0.67,sl_pts=0.67,57,0.517,3.64,-0.75,-0.95,1.15,35.088,64.912,-1.303
F,priceCPR,HDFCBANK,5min,T1_SL0.45,sl_pts=0.45,207,0.071,2.752,-0.7,-1.1,-0.5,19.807,78.261,-1.304
E,cpr_5min,ITC,5min,T1_SL0.67,sl_pts=0.67,53,-0.22,2.198,-0.85,-1.15,-0.7,24.528,75.472,-1.319
E,base_15min,ITC,15min,T2_TR0.22,tr_pts=0.22;hard_sl=0.45,56,0.175,3.006,-0.525,-0.7,0.0,14.286,58.929,-1.328
E,cpr_rsi_rsi40_60_15min,ITC,15min,T3_RSI,rsi_cross_50,37,-0.161,2.338,-0.6,-1.6,0.75,29.73,67.568,-1.33
E,base_5min,ITC,5min,T4_LVL,level_for_T4_cross,72,0.517,3.7,-0.4,-0.8,0.762,30.556,69.444,-1.333
E,base_15min,ITC,15min,T2_TR0.11,tr_pts=0.11;hard_sl=0.45,56,0.163,2.995,-0.5,-0.7,0.0,12.5,53.571,-1.334
F,priceCPR,HDFCBANK,5min,T3_RSI,rsi_cross_50,207,0.088,2.848,-0.4,-1.65,1.15,38.164,55.072,-1.336
E,base_15min,ITC,15min,T1_SL0.67,sl_pts=0.67,56,0.344,3.363,-0.75,-0.95,0.788,30.357,66.071,-1.338
E,cpr_10min,HDFCBANK,10min,T1_SL0.9,sl_pts=0.9,61,0.002,2.682,-1.2,-1.5,0.8,29.508,67.213,-1.339
F,priceCPR,HDFCBANK,5min,T2_TR0.9,tr_pts=0.9;hard_sl=0.9,207,-0.018,2.658,-0.95,-1.25,-0.1,17.874,52.657,-1.347
E,rsi_rsi40_60_10min,HDFCBANK,10min,T4_LVL,level_for_T4_cross,67,0.075,2.854,-0.75,-1.8,1.75,40.299,53.731,-1.352
E,cpr_10min,HDFCBANK,10min,T4_LVL,level_for_T4_cross,61,0.122,2.965,-0.8,-1.7,1.6,37.705,60.656,-1.361
E,rsi_rsi40_60_15min,HDFCBANK,15min,T3_RSI,rsi_cross_50,57,0.022,2.767,-0.7,-2.0,1.3,42.105,50.877,-1.361
E,cpr_rsi_rsi40_60_15min,HDFCBANK,15min,T2_TR0.22,tr_pts=0.22;hard_sl=0.9,47,-0.639,1.478,-0.6,-1.3,-0.1,6.383,42.553,-1.378
E,rsi_rsi40_60_15min,HDFCBANK,15min,T2_TR0.22,tr_pts=0.22;hard_sl=0.9,57,-0.646,1.482,-0.6,-1.2,-0.1,7.018,43.86,-1.386
E,rsi_rsi40_60_10min,HDFCBANK,10min,T1_SL0.9,sl_pts=0.9,67,-0.121,2.549,-1.1,-1.5,0.6,31.343,64.179,-1.395
E,cpr_rsi_rsi40_60_15min,HDFCBANK,15min,T3_RSI,rsi_cross_50,47,-0.141,2.512,-1.1,-2.1,1.2,40.426,53.191,-1.397
E,base_10min,HDFCBANK,10min,T1_SL0.9,sl_pts=0.9,80,0.003,2.847,-1.2,-1.6,0.5,27.5,68.75,-1.42
E,cpr_rsi_rsi40_60_10min,HDFCBANK,10min,T1_SL1.35,sl_pts=1.35,54,-0.062,2.732,-1.4,-1.7,0.95,35.185,59.259,-1.428
E,base_15min,ITC,15min,T1_SL0.45,sl_pts=0.45,56,0.137,3.141,-0.6,-0.75,-0.388,21.429,75.0,-1.434
E,cpr_10min,HDFCBANK,10min,T1_SL1.35,sl_pts=1.35,61,-0.007,2.861,-1.4,-1.8,1.3,32.787,63.934,-1.437
E,rsi_rsi40_60_15min,HDFCBANK,15min,T2_TR0.45,tr_pts=0.45;hard_sl=0.9,57,-0.698,1.489,-0.7,-1.4,-0.1,7.018,49.123,-1.443
F,priceCPR,ITC,5min,T0,time_only,216,-0.023,2.846,0.075,-1.225,1.412,50.463,0.0,-1.446
E,rsi_rsi40_60_5min,ITC,5min,T4_LVL,level_for_T4_cross,70,0.447,3.786,-0.375,-0.838,0.788,35.714,62.857,-1.446
E,cpr_rsi_rsi40_60_15min,HDFCBANK,15min,T2_TR0.45,tr_pts=0.45;hard_sl=0.9,47,-0.703,1.486,-0.7,-1.5,-0.1,6.383,48.936,-1.446
E,rsi_rsi40_60_5min,ITC,5min,T1_SL0.67,sl_pts=0.67,70,0.428,3.765,-0.75,-1.1,0.788,34.286,64.286,-1.454
E,rsi_rsi40_60_15min,ITC,15min,T1_SL0.45,sl_pts=0.45,45,0.209,3.367,-0.55,-0.75,-0.5,20.0,77.778,-1.475
E,cpr_rsi_rsi40_60_15min,HDFCBANK,15min,T1_SL0.45,sl_pts=0.45,47,-0.796,1.364,-0.8,-1.2,-0.55,10.638,89.362,-1.478
E,base_15min,ITC,15min,T4_LVL,level_for_T4_cross,56,0.181,3.324,-0.575,-0.8,-0.088,23.214,75.0,-1.481
E,rsi_rsi40_60_15min,ITC,15min,T2_TR0.11,tr_pts=0.11;hard_sl=0.45,45,0.174,3.328,-0.5,-0.75,-0.05,13.333,60.0,-1.49
E,rsi_rsi40_60_15min,ITC,15min,T1_SL0.67,sl_pts=0.67,45,0.262,3.507,-0.8,-0.95,0.5,28.889,68.889,-1.491
E,base_15min,ITC,15min,T2_TR0.45,tr_pts=0.45;hard_sl=0.45,56,0.05,3.085,-0.55,-0.712,0.0,14.286,66.071,-1.492
E,rsi_rsi40_60_15min,HDFCBANK,15min,T1_SL0.45,sl_pts=0.45,57,-0.808,1.373,-0.8,-1.2,-0.5,10.526,89.474,-1.494
E,rsi_rsi40_60_5min,HDFCBANK,5min,T2_TR0.22,tr_pts=0.22;hard_sl=0.9,87,-0.452,2.102,-1.0,-1.35,-0.1,13.793,55.172,-1.503
E,rsi_rsi40_60_15min,ITC,15min,T2_TR0.22,tr_pts=0.22;hard_sl=0.45,45,0.16,3.331,-0.55,-0.75,-0.1,13.333,64.444,-1.505
E,rsi_rsi40_60_5min,HDFCBANK,5min,T2_TR0.45,tr_pts=0.45;hard_sl=0.9,87,-0.459,2.103,-1.0,-1.35,-0.125,13.793,55.172,-1.51
E,base_5min,ITC,5min,T1_SL0.67,sl_pts=0.67,72,0.365,3.753,-0.8,-1.1,0.762,30.556,68.056,-1.512
E,rsi_rsi40_60_15min,ITC,15min,T2_TR0.45,tr_pts=0.45;hard_sl=0.45,45,0.152,3.332,-0.55,-0.75,-0.1,13.333,66.667,-1.514
E,base_5min,ITC,5min,T3_RSI,rsi_cross_50,72,0.183,3.441,-0.3,-1.175,1.025,37.5,62.5,-1.538
E,cpr_rsi_rsi40_60_5min,HDFCBANK,5min,T2_TR0.22,tr_pts=0.22;hard_sl=0.9,66,-0.168,2.747,-1.0,-1.2,-0.1,15.152,53.03,-1.542
F,priceCPR,HDFCBANK,5min,T1_SL0.9,sl_pts=0.9,207,-0.092,2.909,-1.1,-1.5,-0.25,23.188,72.947,-1.547
E,cpr_rsi_rsi40_60_5min,HDFCBANK,5min,T2_TR0.45,tr_pts=0.45;hard_sl=0.9,66,-0.177,2.748,-1.0,-1.2,-0.1,15.152,53.03,-1.551
E,cpr_5min,HDFCBANK,5min,T1_SL0.45,sl_pts=0.45,71,-0.12,2.877,-0.9,-1.4,-0.6,19.718,80.282,-1.559
E,cpr_5min,HDFCBANK,5min,T2_TR0.22,tr_pts=0.22;hard_sl=0.9,71,-0.175,2.778,-1.0,-1.35,-0.1,14.085,54.93,-1.564
E,base_15min,ITC,15min,T1_SL0.22,sl_pts=0.22,56,-0.051,3.039,-0.55,-0.7,-0.3,10.714,87.5,-1.57
E,cpr_5min,HDFCBANK,5min,T2_TR0.45,tr_pts=0.45;hard_sl=0.9,71,-0.182,2.779,-1.0,-1.35,-0.1,14.085,54.93,-1.571
E,cpr_15min,HDFCBANK,15min,T2_TR0.22,tr_pts=0.22;hard_sl=0.9,58,-0.807,1.53,-1.05,-1.575,-0.2,5.172,56.897,-1.572
E,rsi_rsi40_60_15min,ITC,15min,T1_SL0.22,sl_pts=0.22,45,0.056,3.271,-0.5,-0.65,-0.25,8.889,88.889,-1.58
E,base_10min,HDFCBANK,10min,T4_LVL,level_for_T4_cross,80,0.032,3.26,-0.975,-1.7,0.5,28.75,70.0,-1.597
E,cpr_rsi_rsi40_60_5min,HDFCBANK,5min,T1_SL0.45,sl_pts=0.45,66,-0.206,2.783,-0.8,-1.2,-0.525,18.182,81.818,-1.597
E,rsi_rsi40_60_5min,HDFCBANK,5min,T1_SL0.45,sl_pts=0.45,87,-0.552,2.1,-0.9,-1.225,-0.6,14.943,85.057,-1.602
E,rsi_rsi40_60_15min,HDFCBANK,15min,T2_TR0.9,tr_pts=0.9;hard_sl=0.9,57,-0.749,1.718,-1.1,-1.5,-0.25,12.281,66.667,-1.608
E,cpr_rsi_rsi40_60_15min,KOTAKBANK,15min,T3_RSI,rsi_cross_50,24,5.025,13.278,2.1,-2.062,7.3,70.833,29.167,-1.614
E,rsi_rsi40_60_15min,ITC,15min,T4_LVL,level_for_T4_cross,45,0.178,3.586,-0.5,-0.85,0.7,33.333,60.0,-1.615
E,rsi_rsi40_60_5min,HDFCBANK,5min,T2_TR0.9,tr_pts=0.9;hard_sl=0.9,87,-0.553,2.126,-1.1,-1.45,-0.175,13.793,63.218,-1.617
E,cpr_15min,HDFCBANK,15min,T1_SL0.45,sl_pts=0.45,58,-0.828,1.594,-0.85,-1.4,-0.625,8.621,91.379,-1.625
E,cpr_rsi_rsi40_60_10min,SBIN,10min,T2_TR0.26,tr_pts=0.26;hard_sl=1.05,28,-0.507,2.252,-0.625,-1.312,-0.05,17.857,42.857,-1.633
E,cpr_5min,HDFCBANK,5min,T2_TR0.9,tr_pts=0.9;hard_sl=0.9,71,-0.227,2.811,-1.0,-1.525,-0.1,15.493,60.563,-1.633
E,cpr_15min,HDFCBANK,15min,T2_TR0.45,tr_pts=0.45;hard_sl=0.9,58,-0.884,1.533,-1.2,-1.6,-0.225,5.172,62.069,-1.651
