venue,dte,cell,scope,n_days,exc_p50,exc_p90,exc_p95,exc_p99,exc_max,term_p50,term_p90,term_p95,term_p99,term_max
NIFTY,0,G_09:20_90,dte_matched,358,36.6,73.0,87.4,141.0,418.6,21.5,53.2,68.8,107.3,274.3
NIFTY,0,G_09:20_90,dte_matched_ex2122,163,36.3,64.6,81.9,90.3,104.9,22.5,48.2,62.7,76.4,100.8
NIFTY,0,G_09:20_90,all_days,2753,34.8,72.2,89.4,149.0,1304.5,19.4,53.5,70.3,124.8,1167.5
NIFTY,0,G_09:20_H,dte_matched,358,65.9,141.4,167.0,276.6,898.7,40.6,118.2,152.6,260.3,497.8
NIFTY,0,G_09:20_H,dte_matched_ex2122,163,59.6,123.1,148.4,191.4,237.7,36.3,105.1,121.5,172.6,228.8
NIFTY,0,G_09:20_H,all_days,2753,65.8,138.4,174.1,299.2,1777.4,40.5,116.9,144.9,249.6,1556.8
NIFTY,0,G_09:20_H,dte_matched,358,65.9,141.4,167.0,276.6,898.7,40.6,118.2,152.6,260.3,497.8
NIFTY,0,G_09:20_H,dte_matched_ex2122,163,59.6,123.1,148.4,191.4,237.7,36.3,105.1,121.5,172.6,228.8
NIFTY,0,G_09:20_H,all_days,2753,65.8,138.4,174.1,299.2,1777.4,40.5,116.9,144.9,249.6,1556.8
NIFTY,0,G_09:20_H,dte_matched,358,65.9,141.4,167.0,276.6,898.7,40.6,118.2,152.6,260.3,497.8
NIFTY,0,G_09:20_H,dte_matched_ex2122,163,59.6,123.1,148.4,191.4,237.7,36.3,105.1,121.5,172.6,228.8
NIFTY,0,G_09:20_H,all_days,2753,65.8,138.4,174.1,299.2,1777.4,40.5,116.9,144.9,249.6,1556.8
NIFTY,0,G_09:50_120,dte_matched,358,34.1,67.2,90.6,136.6,578.6,20.0,53.2,75.0,99.1,411.7
NIFTY,0,G_09:50_120,dte_matched_ex2122,163,31.1,61.5,77.0,102.8,114.3,18.7,45.9,57.1,80.0,86.2
NIFTY,0,G_09:50_120,all_days,2754,32.4,69.8,88.9,157.6,1304.5,17.6,52.3,68.1,127.3,1071.7
NIFTY,0,G_09:50_120,dte_matched,358,34.1,67.2,90.6,136.6,578.6,20.0,53.2,75.0,99.1,411.7
NIFTY,0,G_09:50_120,dte_matched_ex2122,163,31.1,61.5,77.0,102.8,114.3,18.7,45.9,57.1,80.0,86.2
NIFTY,0,G_09:50_120,all_days,2754,32.4,69.8,88.9,157.6,1304.5,17.6,52.3,68.1,127.3,1071.7
NIFTY,0,G_09:50_120,dte_matched,358,34.1,67.2,90.6,136.6,578.6,20.0,53.2,75.0,99.1,411.7
NIFTY,0,G_09:50_120,dte_matched_ex2122,163,31.1,61.5,77.0,102.8,114.3,18.7,45.9,57.1,80.0,86.2
NIFTY,0,G_09:50_120,all_days,2754,32.4,69.8,88.9,157.6,1304.5,17.6,52.3,68.1,127.3,1071.7
NIFTY,0,G_09:50_60,dte_matched,358,24.8,53.3,66.8,99.6,238.2,14.3,41.2,53.3,83.4,157.5
NIFTY,0,G_09:50_60,dte_matched_ex2122,163,23.7,48.5,55.8,80.9,102.8,13.4,39.6,48.2,65.5,85.6
NIFTY,0,G_09:50_60,all_days,2754,24.0,53.4,68.4,105.3,1304.5,13.5,39.6,53.4,88.0,1167.5
NIFTY,0,G_09:50_60,dte_matched,358,24.8,53.3,66.8,99.6,238.2,14.3,41.2,53.3,83.4,157.5
NIFTY,0,G_09:50_60,dte_matched_ex2122,163,23.7,48.5,55.8,80.9,102.8,13.4,39.6,48.2,65.5,85.6
NIFTY,0,G_09:50_60,all_days,2754,24.0,53.4,68.4,105.3,1304.5,13.5,39.6,53.4,88.0,1167.5
NIFTY,0,G_09:50_60,dte_matched,358,24.8,53.3,66.8,99.6,238.2,14.3,41.2,53.3,83.4,157.5
NIFTY,0,G_09:50_60,dte_matched_ex2122,163,23.7,48.5,55.8,80.9,102.8,13.4,39.6,48.2,65.5,85.6
NIFTY,0,G_09:50_60,all_days,2754,24.0,53.4,68.4,105.3,1304.5,13.5,39.6,53.4,88.0,1167.5
NIFTY,0,G_09:50_90,dte_matched,358,29.2,63.5,80.8,107.8,578.6,19.0,48.6,61.2,99.5,379.5
NIFTY,0,G_09:50_90,dte_matched_ex2122,163,27.5,55.9,64.9,102.8,114.3,17.0,47.4,55.5,83.6,103.4
NIFTY,0,G_09:50_90,all_days,2754,28.2,63.0,80.5,133.1,1304.5,16.0,46.1,62.3,107.3,1100.8
NIFTY,0,G_09:50_90,dte_matched,358,29.2,63.5,80.8,107.8,578.6,19.0,48.6,61.2,99.5,379.5
NIFTY,0,G_09:50_90,dte_matched_ex2122,163,27.5,55.9,64.9,102.8,114.3,17.0,47.4,55.5,83.6,103.4
NIFTY,0,G_09:50_90,all_days,2754,28.2,63.0,80.5,133.1,1304.5,16.0,46.1,62.3,107.3,1100.8
NIFTY,0,G_09:50_90,dte_matched,358,29.2,63.5,80.8,107.8,578.6,19.0,48.6,61.2,99.5,379.5
NIFTY,0,G_09:50_90,dte_matched_ex2122,163,27.5,55.9,64.9,102.8,114.3,17.0,47.4,55.5,83.6,103.4
NIFTY,0,G_09:50_90,all_days,2754,28.2,63.0,80.5,133.1,1304.5,16.0,46.1,62.3,107.3,1100.8
NIFTY,0,G_09:50_H,dte_matched,358,63.2,133.0,171.7,254.9,813.8,39.0,105.5,141.0,234.3,416.1
NIFTY,0,G_09:50_H,dte_matched_ex2122,163,54.3,112.0,141.4,175.5,228.4,30.7,98.6,131.2,152.9,204.8
NIFTY,0,G_09:50_H,all_days,2754,60.1,130.2,169.3,273.6,1777.4,35.7,105.7,137.9,247.5,1556.8
NIFTY,0,G_09:50_H,dte_matched,358,63.2,133.0,171.7,254.9,813.8,39.0,105.5,141.0,234.3,416.1
NIFTY,0,G_09:50_H,dte_matched_ex2122,163,54.3,112.0,141.4,175.5,228.4,30.7,98.6,131.2,152.9,204.8
NIFTY,0,G_09:50_H,all_days,2754,60.1,130.2,169.3,273.6,1777.4,35.7,105.7,137.9,247.5,1556.8
NIFTY,0,G_09:50_H,dte_matched,358,63.2,133.0,171.7,254.9,813.8,39.0,105.5,141.0,234.3,416.1
NIFTY,0,G_09:50_H,dte_matched_ex2122,163,54.3,112.0,141.4,175.5,228.4,30.7,98.6,131.2,152.9,204.8
NIFTY,0,G_09:50_H,all_days,2754,60.1,130.2,169.3,273.6,1777.4,35.7,105.7,137.9,247.5,1556.8
NIFTY,0,G_10:20_120,dte_matched,358,31.1,67.7,84.1,134.5,524.5,18.4,52.4,64.9,109.6,326.2
NIFTY,0,G_10:20_120,dte_matched_ex2122,163,26.9,60.6,72.5,97.8,118.0,13.9,43.8,62.4,82.2,112.5
NIFTY,0,G_10:20_120,all_days,2754,29.7,65.3,85.4,146.2,698.8,16.7,49.2,65.2,113.0,661.7
NIFTY,0,G_10:20_120,dte_matched,358,31.1,67.7,84.1,134.5,524.5,18.4,52.4,64.9,109.6,326.2
NIFTY,0,G_10:20_120,dte_matched_ex2122,163,26.9,60.6,72.5,97.8,118.0,13.9,43.8,62.4,82.2,112.5
NIFTY,0,G_10:20_120,all_days,2754,29.7,65.3,85.4,146.2,698.8,16.7,49.2,65.2,113.0,661.7
NIFTY,0,G_10:20_120,dte_matched,358,31.1,67.7,84.1,134.5,524.5,18.4,52.4,64.9,109.6,326.2
NIFTY,0,G_10:20_120,dte_matched_ex2122,163,26.9,60.6,72.5,97.8,118.0,13.9,43.8,62.4,82.2,112.5
NIFTY,0,G_10:20_120,all_days,2754,29.7,65.3,85.4,146.2,698.8,16.7,49.2,65.2,113.0,661.7
NIFTY,0,G_10:20_60,dte_matched,358,21.3,50.9,66.3,114.4,524.5,10.9,38.6,48.5,82.7,326.4
NIFTY,0,G_10:20_60,dte_matched_ex2122,163,20.8,44.5,54.5,95.8,114.4,10.2,33.1,41.9,64.4,111.0
NIFTY,0,G_10:20_60,all_days,2754,21.2,47.5,62.0,108.1,695.1,11.2,34.9,46.8,90.3,502.3
NIFTY,0,G_10:20_60,dte_matched,358,21.3,50.9,66.3,114.4,524.5,10.9,38.6,48.5,82.7,326.4
NIFTY,0,G_10:20_60,dte_matched_ex2122,163,20.8,44.5,54.5,95.8,114.4,10.2,33.1,41.9,64.4,111.0
NIFTY,0,G_10:20_60,all_days,2754,21.2,47.5,62.0,108.1,695.1,11.2,34.9,46.8,90.3,502.3
NIFTY,0,G_10:20_60,dte_matched,358,21.3,50.9,66.3,114.4,524.5,10.9,38.6,48.5,82.7,326.4
NIFTY,0,G_10:20_60,dte_matched_ex2122,163,20.8,44.5,54.5,95.8,114.4,10.2,33.1,41.9,64.4,111.0
NIFTY,0,G_10:20_60,all_days,2754,21.2,47.5,62.0,108.1,695.1,11.2,34.9,46.8,90.3,502.3
NIFTY,0,G_10:20_90,dte_matched,358,26.6,57.4,73.4,128.7,524.5,13.7,43.7,53.1,94.7,358.5
NIFTY,0,G_10:20_90,dte_matched_ex2122,163,23.7,54.5,60.6,97.8,114.4,11.4,40.6,47.8,65.4,93.9
NIFTY,0,G_10:20_90,all_days,2754,25.8,57.4,73.3,132.3,695.1,13.8,41.4,55.8,105.3,484.8
NIFTY,0,G_10:20_90,dte_matched,358,26.6,57.4,73.4,128.7,524.5,13.7,43.7,53.1,94.7,358.5
NIFTY,0,G_10:20_90,dte_matched_ex2122,163,23.7,54.5,60.6,97.8,114.4,11.4,40.6,47.8,65.4,93.9
NIFTY,0,G_10:20_90,all_days,2754,25.8,57.4,73.3,132.3,695.1,13.8,41.4,55.8,105.3,484.8
NIFTY,0,G_10:20_90,dte_matched,358,26.6,57.4,73.4,128.7,524.5,13.7,43.7,53.1,94.7,358.5
NIFTY,0,G_10:20_90,dte_matched_ex2122,163,23.7,54.5,60.6,97.8,114.4,11.4,40.6,47.8,65.4,93.9
NIFTY,0,G_10:20_90,all_days,2754,25.8,57.4,73.3,132.3,695.1,13.8,41.4,55.8,105.3,484.8
NIFTY,0,G_10:20_H,dte_matched,358,58.3,125.8,155.9,254.4,758.5,33.1,101.4,135.2,224.9,362.8
NIFTY,0,G_10:20_H,dte_matched_ex2122,163,49.8,104.4,125.9,181.7,223.3,27.6,85.1,115.7,152.7,200.7
NIFTY,0,G_10:20_H,all_days,2754,55.4,125.7,155.9,278.0,1142.5,33.3,101.3,128.8,243.4,933.8
NIFTY,0,G_10:20_H,dte_matched,358,58.3,125.8,155.9,254.4,758.5,33.1,101.4,135.2,224.9,362.8
NIFTY,0,G_10:20_H,dte_matched_ex2122,163,49.8,104.4,125.9,181.7,223.3,27.6,85.1,115.7,152.7,200.7
NIFTY,0,G_10:20_H,all_days,2754,55.4,125.7,155.9,278.0,1142.5,33.3,101.3,128.8,243.4,933.8
NIFTY,0,G_10:20_H,dte_matched,358,58.3,125.8,155.9,254.4,758.5,33.1,101.4,135.2,224.9,362.8
NIFTY,0,G_10:20_H,dte_matched_ex2122,163,49.8,104.4,125.9,181.7,223.3,27.6,85.1,115.7,152.7,200.7
NIFTY,0,G_10:20_H,all_days,2754,55.4,125.7,155.9,278.0,1142.5,33.3,101.3,128.8,243.4,933.8
NIFTY,0,G_10:50_120,dte_matched,358,31.7,65.5,81.5,154.8,479.6,17.2,54.3,69.6,133.1,332.9
NIFTY,0,G_10:50_120,dte_matched_ex2122,163,26.6,63.3,70.3,83.4,158.3,15.1,49.7,57.8,74.8,150.5
NIFTY,0,G_10:50_120,all_days,2754,28.9,64.5,84.8,152.0,479.6,16.0,51.2,67.8,122.3,445.3
NIFTY,0,G_10:50_120,dte_matched,358,31.7,65.5,81.5,154.8,479.6,17.2,54.3,69.6,133.1,332.9
NIFTY,0,G_10:50_120,dte_matched_ex2122,163,26.6,63.3,70.3,83.4,158.3,15.1,49.7,57.8,74.8,150.5
NIFTY,0,G_10:50_120,all_days,2754,28.9,64.5,84.8,152.0,479.6,16.0,51.2,67.8,122.3,445.3
NIFTY,0,G_10:50_120,dte_matched,358,31.7,65.5,81.5,154.8,479.6,17.2,54.3,69.6,133.1,332.9
NIFTY,0,G_10:50_120,dte_matched_ex2122,163,26.6,63.3,70.3,83.4,158.3,15.1,49.7,57.8,74.8,150.5
NIFTY,0,G_10:50_120,all_days,2754,28.9,64.5,84.8,152.0,479.6,16.0,51.2,67.8,122.3,445.3
NIFTY,0,G_10:50_60,dte_matched,358,21.3,46.7,61.2,136.7,479.6,10.8,35.0,44.1,94.6,314.3
NIFTY,0,G_10:50_60,dte_matched_ex2122,163,19.1,44.0,50.6,79.4,91.4,10.0,34.0,40.8,48.2,76.7
NIFTY,0,G_10:50_60,all_days,2754,20.2,45.9,58.4,109.5,479.6,10.8,34.2,44.7,80.3,314.3
NIFTY,0,G_10:50_60,dte_matched,358,21.3,46.7,61.2,136.7,479.6,10.8,35.0,44.1,94.6,314.3
NIFTY,0,G_10:50_60,dte_matched_ex2122,163,19.1,44.0,50.6,79.4,91.4,10.0,34.0,40.8,48.2,76.7
NIFTY,0,G_10:50_60,all_days,2754,20.2,45.9,58.4,109.5,479.6,10.8,34.2,44.7,80.3,314.3
NIFTY,0,G_10:50_60,dte_matched,358,21.3,46.7,61.2,136.7,479.6,10.8,35.0,44.1,94.6,314.3
NIFTY,0,G_10:50_60,dte_matched_ex2122,163,19.1,44.0,50.6,79.4,91.4,10.0,34.0,40.8,48.2,76.7
NIFTY,0,G_10:50_60,all_days,2754,20.2,45.9,58.4,109.5,479.6,10.8,34.2,44.7,80.3,314.3
NIFTY,0,G_10:50_90,dte_matched,358,26.4,61.2,74.6,136.7,479.6,15.5,46.7,60.5,113.3,282.2
NIFTY,0,G_10:50_90,dte_matched_ex2122,163,22.7,53.7,67.0,83.4,101.4,13.3,45.6,56.8,73.3,95.9
NIFTY,0,G_10:50_90,all_days,2754,24.7,56.2,73.7,130.1,479.6,14.0,42.0,55.5,96.2,388.3
NIFTY,0,G_10:50_90,dte_matched,358,26.4,61.2,74.6,136.7,479.6,15.5,46.7,60.5,113.3,282.2
NIFTY,0,G_10:50_90,dte_matched_ex2122,163,22.7,53.7,67.0,83.4,101.4,13.3,45.6,56.8,73.3,95.9
NIFTY,0,G_10:50_90,all_days,2754,24.7,56.2,73.7,130.1,479.6,14.0,42.0,55.5,96.2,388.3
NIFTY,0,G_10:50_90,dte_matched,358,26.4,61.2,74.6,136.7,479.6,15.5,46.7,60.5,113.3,282.2
NIFTY,0,G_10:50_90,dte_matched_ex2122,163,22.7,53.7,67.0,83.4,101.4,13.3,45.6,56.8,73.3,95.9
NIFTY,0,G_10:50_90,all_days,2754,24.7,56.2,73.7,130.1,479.6,14.0,42.0,55.5,96.2,388.3
NIFTY,0,G_10:50_H,dte_matched,358,55.8,121.9,160.3,235.5,712.6,32.8,102.9,125.6,218.4,318.6
NIFTY,0,G_10:50_H,dte_matched_ex2122,163,48.1,99.7,120.6,172.1,192.8,29.3,89.2,113.8,143.2,184.0
NIFTY,0,G_10:50_H,all_days,2754,53.6,119.7,154.1,256.1,733.1,31.5,98.1,124.3,210.9,638.4
NIFTY,0,G_10:50_H,dte_matched,358,55.8,121.9,160.3,235.5,712.6,32.8,102.9,125.6,218.4,318.6
NIFTY,0,G_10:50_H,dte_matched_ex2122,163,48.1,99.7,120.6,172.1,192.8,29.3,89.2,113.8,143.2,184.0
NIFTY,0,G_10:50_H,all_days,2754,53.6,119.7,154.1,256.1,733.1,31.5,98.1,124.3,210.9,638.4
NIFTY,0,G_10:50_H,dte_matched,358,55.8,121.9,160.3,235.5,712.6,32.8,102.9,125.6,218.4,318.6
NIFTY,0,G_10:50_H,dte_matched_ex2122,163,48.1,99.7,120.6,172.1,192.8,29.3,89.2,113.8,143.2,184.0
NIFTY,0,G_10:50_H,all_days,2754,53.6,119.7,154.1,256.1,733.1,31.5,98.1,124.3,210.9,638.4
NIFTY,0,G_11:20_120,dte_matched,358,29.5,71.2,87.7,143.3,209.8,16.7,53.2,72.8,128.5,198.1
NIFTY,0,G_11:20_120,dte_matched_ex2122,163,26.2,58.8,71.2,123.1,142.2,13.5,47.6,63.2,107.7,130.0
NIFTY,0,G_11:20_120,all_days,2753,29.3,68.6,88.5,143.3,576.1,16.3,51.3,68.7,120.9,538.8
NIFTY,0,G_11:20_120,dte_matched,358,29.5,71.2,87.7,143.3,209.8,16.7,53.2,72.8,128.5,198.1
NIFTY,0,G_11:20_120,dte_matched_ex2122,163,26.2,58.8,71.2,123.1,142.2,13.5,47.6,63.2,107.7,130.0
NIFTY,0,G_11:20_120,all_days,2753,29.3,68.6,88.5,143.3,576.1,16.3,51.3,68.7,120.9,538.8
NIFTY,0,G_11:20_120,dte_matched,358,29.5,71.2,87.7,143.3,209.8,16.7,53.2,72.8,128.5,198.1
NIFTY,0,G_11:20_120,dte_matched_ex2122,163,26.2,58.8,71.2,123.1,142.2,13.5,47.6,63.2,107.7,130.0
NIFTY,0,G_11:20_120,all_days,2753,29.3,68.6,88.5,143.3,576.1,16.3,51.3,68.7,120.9,538.8
NIFTY,0,G_11:20_60,dte_matched,358,22.1,50.8,64.2,106.6,185.1,13.1,39.0,49.9,78.6,147.7
NIFTY,0,G_11:20_60,dte_matched_ex2122,163,18.3,40.3,53.9,79.4,94.4,10.3,32.0,44.4,70.3,83.0
NIFTY,0,G_11:20_60,all_days,2753,19.9,45.5,57.6,94.4,359.2,11.2,33.0,45.5,75.9,347.8
NIFTY,0,G_11:20_60,dte_matched,358,22.1,50.8,64.2,106.6,185.1,13.1,39.0,49.9,78.6,147.7
NIFTY,0,G_11:20_60,dte_matched_ex2122,163,18.3,40.3,53.9,79.4,94.4,10.3,32.0,44.4,70.3,83.0
NIFTY,0,G_11:20_60,all_days,2753,19.9,45.5,57.6,94.4,359.2,11.2,33.0,45.5,75.9,347.8
NIFTY,0,G_11:20_60,dte_matched,358,22.1,50.8,64.2,106.6,185.1,13.1,39.0,49.9,78.6,147.7
NIFTY,0,G_11:20_60,dte_matched_ex2122,163,18.3,40.3,53.9,79.4,94.4,10.3,32.0,44.4,70.3,83.0
NIFTY,0,G_11:20_60,all_days,2753,19.9,45.5,57.6,94.4,359.2,11.2,33.0,45.5,75.9,347.8
NIFTY,0,G_11:20_90,dte_matched,358,26.9,58.5,71.7,129.5,192.1,13.4,46.4,59.3,112.1,173.4
NIFTY,0,G_11:20_90,dte_matched_ex2122,163,22.9,49.7,61.6,94.4,142.2,12.2,37.3,47.0,79.3,134.5
