venue,dte,cell,b_frac_per_bp,source,sl20_fires_at_bp,sl25_fires_at_bp,sl50_fires_at_bp
NIFTY,4,G_14:20_120,0.000586,cell(n=8),341.3,426.6,853.2
NIFTY,4,G_14:20_H,0.000586,cell(n=8),341.3,426.6,853.2
NIFTY,4,G_14:30_60,0.000353,cell(n=8),565.8,707.2,1414.4
NIFTY,4,G_14:30_90,0.000353,cell(n=8),565.8,707.2,1414.4
NIFTY,4,G_14:30_120,0.000353,cell(n=8),565.8,707.2,1414.4
NIFTY,4,G_14:30_H,0.000353,cell(n=8),565.8,707.2,1414.4
NIFTY,4,DEP_0930_1100,0.000988,cell(n=15),202.4,253.0,506.0
NIFTY,4,DEP_1000_1200,0.000706,cell(n=12),283.1,353.9,707.8
NIFTY,4,DEP_1030_1200,0.000538,cell(n=10),371.9,464.8,929.6
NIFTY,4,DEP_1300_1400,0.000887,pooled(n=570),225.4,281.7,563.4
NIFTY,4,DEP_1300_1520,0.000968,cell(n=13),206.6,258.2,516.4
NIFTY,3,G_09:20_60,0.000607,cell(n=10),329.2,411.5,823.1
NIFTY,3,G_09:20_90,0.000662,cell(n=11),302.1,377.7,755.3
NIFTY,3,G_09:20_120,0.000675,cell(n=12),296.4,370.4,740.9
NIFTY,3,G_09:20_H,0.00142,cell(n=15),140.8,176.0,352.0
NIFTY,3,G_09:50_60,0.000678,cell(n=10),295.2,368.9,737.9
NIFTY,3,G_09:50_90,0.001095,cell(n=11),182.7,228.3,456.7
NIFTY,3,G_09:50_120,0.001452,cell(n=12),137.8,172.2,344.4
NIFTY,3,G_09:50_H,0.001825,cell(n=16),109.6,137.0,274.0
NIFTY,3,G_10:20_60,0.001291,pooled(n=558),154.9,193.6,387.3
NIFTY,3,G_10:20_90,0.001618,cell(n=9),123.6,154.5,308.9
NIFTY,3,G_10:20_120,0.001627,cell(n=12),122.9,153.7,307.4
NIFTY,3,G_10:20_H,0.00175,cell(n=15),114.3,142.9,285.8
NIFTY,3,G_10:50_60,0.001291,pooled(n=558),154.9,193.6,387.3
NIFTY,3,G_10:50_90,0.001143,cell(n=9),175.0,218.7,437.5
NIFTY,3,G_10:50_120,0.001901,cell(n=12),105.2,131.5,263.0
NIFTY,3,G_10:50_H,0.001733,cell(n=14),115.4,144.3,288.6
NIFTY,3,G_11:20_60,0.000847,cell(n=10),236.2,295.3,590.5
NIFTY,3,G_11:20_90,0.001714,cell(n=12),116.7,145.9,291.8
NIFTY,3,G_11:20_120,0.001806,cell(n=14),110.8,138.4,276.9
NIFTY,3,G_11:20_H,0.001694,cell(n=16),118.1,147.6,295.2
NIFTY,3,G_11:50_60,0.001614,cell(n=11),123.9,154.9,309.8
NIFTY,3,G_11:50_90,0.001642,cell(n=12),121.8,152.2,304.5
NIFTY,3,G_11:50_120,0.001671,cell(n=13),119.7,149.7,299.3
NIFTY,3,G_11:50_H,0.001578,cell(n=14),126.7,158.4,316.8
NIFTY,3,G_12:20_60,0.001611,cell(n=8),124.1,155.2,310.3
NIFTY,3,G_12:20_90,0.001549,cell(n=10),129.1,161.4,322.8
NIFTY,3,G_12:20_120,0.001549,cell(n=10),129.1,161.4,322.8
NIFTY,3,G_12:20_H,0.001735,cell(n=14),115.3,144.1,288.2
NIFTY,3,G_12:50_60,0.001291,pooled(n=558),154.9,193.6,387.3
NIFTY,3,G_12:50_90,0.000962,cell(n=9),208.0,260.0,520.0
NIFTY,3,G_12:50_120,0.001018,cell(n=10),196.4,245.6,491.1
NIFTY,3,G_12:50_H,0.001008,cell(n=12),198.5,248.1,496.2
NIFTY,3,G_13:20_60,0.001291,pooled(n=558),154.9,193.6,387.3
NIFTY,3,G_13:20_90,0.000933,cell(n=9),214.5,268.1,536.2
NIFTY,3,G_13:20_120,0.00115,cell(n=12),173.9,217.4,434.8
NIFTY,3,G_13:20_H,0.00115,cell(n=12),173.9,217.4,434.8
NIFTY,3,G_13:50_60,0.001291,pooled(n=558),154.9,193.6,387.3
NIFTY,3,G_13:50_90,0.00045,cell(n=11),444.7,555.8,1111.7
NIFTY,3,G_13:50_120,0.00045,cell(n=11),444.7,555.8,1111.7
NIFTY,3,G_13:50_H,0.00045,cell(n=11),444.7,555.8,1111.7
NIFTY,3,G_14:20_60,0.000997,cell(n=8),200.5,250.7,501.4
NIFTY,3,G_14:20_90,0.000997,cell(n=8),200.5,250.7,501.4
NIFTY,3,G_14:20_120,0.000997,cell(n=8),200.5,250.7,501.4
NIFTY,3,G_14:20_H,0.000997,cell(n=8),200.5,250.7,501.4
NIFTY,3,G_14:30_60,0.00074,cell(n=10),270.4,338.0,676.1
NIFTY,3,G_14:30_90,0.00074,cell(n=10),270.4,338.0,676.1
NIFTY,3,G_14:30_120,0.00074,cell(n=10),270.4,338.0,676.1
NIFTY,3,G_14:30_H,0.00074,cell(n=10),270.4,338.0,676.1
NIFTY,3,DEP_0930_1100,0.000423,cell(n=9),473.3,591.7,1183.3
NIFTY,3,DEP_1000_1200,0.001467,cell(n=12),136.3,170.4,340.9
NIFTY,3,DEP_1030_1200,0.002345,cell(n=10),85.3,106.6,213.3
NIFTY,3,DEP_1300_1400,0.001291,pooled(n=558),154.9,193.6,387.3
NIFTY,3,DEP_1300_1520,0.0008,cell(n=12),250.0,312.5,625.1
NIFTY,2,G_09:20_60,0.001408,cell(n=10),142.1,177.6,355.1
NIFTY,2,G_09:20_90,0.001408,cell(n=10),142.1,177.6,355.1
NIFTY,2,G_09:20_120,0.0014,cell(n=10),142.9,178.6,357.2
NIFTY,2,G_09:20_H,0.002016,cell(n=14),99.2,124.0,248.0
NIFTY,2,G_09:50_60,0.001221,pooled(n=464),163.8,204.7,409.5
NIFTY,2,G_09:50_90,0.001221,pooled(n=464),163.8,204.7,409.5
NIFTY,2,G_09:50_120,0.000389,cell(n=9),513.8,642.2,1284.4
NIFTY,2,G_09:50_H,0.000807,cell(n=14),247.7,309.7,619.3
NIFTY,2,G_10:20_60,0.001221,pooled(n=464),163.8,204.7,409.5
NIFTY,2,G_10:20_90,0.000451,cell(n=8),443.7,554.7,1109.4
NIFTY,2,G_10:20_120,0.000641,cell(n=8),312.1,390.1,780.2
NIFTY,2,G_10:20_H,0.001148,cell(n=14),174.1,217.7,435.4
NIFTY,2,G_10:50_60,0.001221,pooled(n=464),163.8,204.7,409.5
NIFTY,2,G_10:50_90,0.001221,pooled(n=464),163.8,204.7,409.5
NIFTY,2,G_10:50_120,0.001221,pooled(n=464),163.8,204.7,409.5
NIFTY,2,G_10:50_H,0.001653,cell(n=14),121.0,151.3,302.5
NIFTY,2,G_11:20_60,0.001221,pooled(n=464),163.8,204.7,409.5
NIFTY,2,G_11:20_90,0.001221,pooled(n=464),163.8,204.7,409.5
NIFTY,2,G_11:20_120,0.001381,cell(n=8),144.8,181.0,362.1
NIFTY,2,G_11:20_H,0.001932,cell(n=13),103.5,129.4,258.8
NIFTY,2,G_11:50_60,0.001221,pooled(n=464),163.8,204.7,409.5
NIFTY,2,G_11:50_90,0.001221,pooled(n=464),163.8,204.7,409.5
NIFTY,2,G_11:50_120,0.002108,cell(n=8),94.9,118.6,237.2
NIFTY,2,G_11:50_H,0.002044,cell(n=13),97.8,122.3,244.6
NIFTY,2,G_12:20_60,0.001221,pooled(n=464),163.8,204.7,409.5
NIFTY,2,G_12:20_90,0.001221,pooled(n=464),163.8,204.7,409.5
NIFTY,2,G_12:20_120,0.002037,cell(n=10),98.2,122.8,245.5
NIFTY,2,G_12:20_H,0.001307,cell(n=13),153.0,191.3,382.6
NIFTY,2,G_12:50_60,0.001221,pooled(n=464),163.8,204.7,409.5
NIFTY,2,G_12:50_90,0.001477,cell(n=9),135.4,169.3,338.6
NIFTY,2,G_12:50_120,0.001477,cell(n=11),135.4,169.3,338.6
NIFTY,2,G_12:50_H,0.001355,cell(n=12),147.6,184.5,369.1
NIFTY,2,G_13:20_60,0.001517,cell(n=9),131.8,164.8,329.5
NIFTY,2,G_13:20_90,0.001517,cell(n=13),131.8,164.8,329.5
NIFTY,2,G_13:20_120,0.00116,cell(n=13),172.4,215.5,431.1
NIFTY,2,G_13:20_H,0.00116,cell(n=13),172.4,215.5,431.1
NIFTY,2,G_13:50_60,0.001221,pooled(n=464),163.8,204.7,409.5
NIFTY,2,G_13:50_90,0.000921,cell(n=9),217.1,271.4,542.9
NIFTY,2,G_13:50_120,0.000921,cell(n=9),217.1,271.4,542.9
NIFTY,2,G_13:50_H,0.000921,cell(n=9),217.1,271.4,542.9
NIFTY,2,G_14:20_60,0.001221,pooled(n=464),163.8,204.7,409.5
NIFTY,2,G_14:20_90,0.001221,pooled(n=464),163.8,204.7,409.5
NIFTY,2,G_14:20_120,0.001221,pooled(n=464),163.8,204.7,409.5
NIFTY,2,G_14:20_H,0.001221,pooled(n=464),163.8,204.7,409.5
NIFTY,2,G_14:30_60,0.001221,pooled(n=464),163.8,204.7,409.5
NIFTY,2,G_14:30_90,0.001221,pooled(n=464),163.8,204.7,409.5
NIFTY,2,G_14:30_120,0.001221,pooled(n=464),163.8,204.7,409.5
NIFTY,2,G_14:30_H,0.001221,pooled(n=464),163.8,204.7,409.5
NIFTY,2,DEP_0930_1100,0.000532,cell(n=11),376.1,470.2,940.4
NIFTY,2,DEP_1000_1200,0.001221,pooled(n=464),163.8,204.7,409.5
NIFTY,2,DEP_1030_1200,0.001221,pooled(n=464),163.8,204.7,409.5
NIFTY,2,DEP_1300_1400,0.001221,pooled(n=464),163.8,204.7,409.5
NIFTY,2,DEP_1300_1520,0.001431,cell(n=12),139.7,174.7,349.3
SENSEX,3,G_09:20_60,0.000607,cell(n=13),329.6,412.1,824.1
SENSEX,3,G_09:20_90,0.00078,cell(n=15),256.3,320.4,640.7
SENSEX,3,G_09:20_120,0.000965,cell(n=16),207.2,259.0,517.9
SENSEX,3,G_09:20_H,0.001143,cell(n=17),175.0,218.7,437.4
SENSEX,3,G_09:50_60,0.000597,cell(n=11),335.2,419.0,837.9
SENSEX,3,G_09:50_90,0.000597,cell(n=13),335.2,419.0,837.9
SENSEX,3,G_09:50_120,0.000533,cell(n=15),375.2,469.0,937.9
SENSEX,3,G_09:50_H,0.000781,cell(n=18),256.1,320.2,640.3
SENSEX,3,G_10:20_60,0.000791,cell(n=8),252.8,316.0,631.9
SENSEX,3,G_10:20_90,0.001143,cell(n=8),175.0,218.7,437.5
SENSEX,3,G_10:20_120,0.001087,cell(n=11),184.0,230.1,460.1
SENSEX,3,G_10:20_H,0.000997,cell(n=16),200.5,250.7,501.3
SENSEX,3,G_10:50_60,0.001019,cell(n=8),196.2,245.2,490.5
SENSEX,3,G_10:50_90,0.000967,cell(n=11),206.8,258.5,517.0
SENSEX,3,G_10:50_120,0.00125,cell(n=13),160.0,200.0,400.0
SENSEX,3,G_10:50_H,0.001138,cell(n=16),175.8,219.8,439.5
SENSEX,3,G_11:20_60,0.001411,cell(n=9),141.8,177.2,354.4
SENSEX,3,G_11:20_90,0.001588,cell(n=13),125.9,157.4,314.8
SENSEX,3,G_11:20_120,0.001428,cell(n=14),140.0,175.0,350.1
SENSEX,3,G_11:20_H,0.001124,cell(n=17),178.0,222.5,444.9
SENSEX,3,G_11:50_60,0.001721,cell(n=9),116.2,145.2,290.5
SENSEX,3,G_11:50_90,0.00147,cell(n=10),136.0,170.0,340.1
SENSEX,3,G_11:50_120,0.001219,cell(n=11),164.0,205.1,410.1
SENSEX,3,G_11:50_H,0.000967,cell(n=14),206.7,258.4,516.8
SENSEX,3,G_12:20_60,0.001668,cell(n=8),119.9,149.8,299.7
SENSEX,3,G_12:20_90,0.001296,cell(n=9),154.4,193.0,385.9
SENSEX,3,G_12:20_120,0.00131,cell(n=10),152.6,190.8,381.6
SENSEX,3,G_12:20_H,0.0011,cell(n=15),181.7,227.2,454.4
SENSEX,3,G_12:50_60,0.000871,pooled(n=553),229.7,287.2,574.4
SENSEX,3,G_12:50_90,0.000575,cell(n=9),347.5,434.4,868.9
SENSEX,3,G_12:50_120,0.000729,cell(n=10),274.3,342.8,685.7
SENSEX,3,G_12:50_H,0.000583,cell(n=12),342.9,428.6,857.1
SENSEX,3,G_13:20_60,0.000871,pooled(n=553),229.7,287.2,574.4
SENSEX,3,G_13:20_90,0.000871,pooled(n=553),229.7,287.2,574.4
SENSEX,3,G_13:20_120,0.000384,cell(n=8),521.1,651.3,1302.6
SENSEX,3,G_13:20_H,0.000384,cell(n=8),521.1,651.3,1302.6
SENSEX,3,G_13:50_60,0.000871,pooled(n=553),229.7,287.2,574.4
SENSEX,3,G_13:50_90,0.00039,cell(n=11),513.4,641.8,1283.5
SENSEX,3,G_13:50_120,0.00039,cell(n=11),513.4,641.8,1283.5
SENSEX,3,G_13:50_H,0.00039,cell(n=11),513.4,641.8,1283.5
SENSEX,3,G_14:20_60,0.000871,pooled(n=553),229.7,287.2,574.4
SENSEX,3,G_14:20_90,0.000871,pooled(n=553),229.7,287.2,574.4
SENSEX,3,G_14:20_120,0.000871,pooled(n=553),229.7,287.2,574.4
SENSEX,3,G_14:20_H,0.000871,pooled(n=553),229.7,287.2,574.4
SENSEX,3,G_14:30_60,0.000871,pooled(n=553),229.7,287.2,574.4
SENSEX,3,G_14:30_90,0.000871,pooled(n=553),229.7,287.2,574.4
SENSEX,3,G_14:30_120,0.000871,pooled(n=553),229.7,287.2,574.4
SENSEX,3,G_14:30_H,0.000871,pooled(n=553),229.7,287.2,574.4
SENSEX,3,DEP_0930_1100,0.000635,cell(n=15),314.7,393.4,786.8
SENSEX,3,DEP_1000_1200,0.001265,cell(n=12),158.1,197.6,395.1
SENSEX,3,DEP_1030_1200,0.000814,cell(n=10),245.7,307.1,614.1
SENSEX,3,DEP_1300_1400,0.000871,pooled(n=553),229.7,287.2,574.4
SENSEX,3,DEP_1300_1520,0.000709,cell(n=11),282.2,352.8,705.6
SENSEX,2,G_09:20_60,0.001363,cell(n=9),146.8,183.4,366.9
SENSEX,2,G_09:20_90,0.001339,cell(n=11),149.4,186.7,373.4
SENSEX,2,G_09:20_120,0.001342,cell(n=12),149.0,186.3,372.6
SENSEX,2,G_09:20_H,0.00129,cell(n=17),155.1,193.8,387.6
SENSEX,2,G_09:50_60,0.000702,cell(n=10),284.9,356.1,712.2
SENSEX,2,G_09:50_90,0.00075,cell(n=14),266.7,333.4,666.8
SENSEX,2,G_09:50_120,0.001329,cell(n=16),150.5,188.1,376.2
SENSEX,2,G_09:50_H,0.001224,cell(n=17),163.5,204.3,408.6
SENSEX,2,G_10:20_60,0.001226,pooled(n=580),163.1,203.9,407.9
SENSEX,2,G_10:20_90,0.001281,cell(n=11),156.1,195.1,390.2
SENSEX,2,G_10:20_120,0.001348,cell(n=12),148.4,185.5,371.0
SENSEX,2,G_10:20_H,0.001102,cell(n=15),181.5,226.8,453.6
SENSEX,2,G_10:50_60,0.001235,cell(n=8),161.9,202.4,404.8
SENSEX,2,G_10:50_90,0.001249,cell(n=9),160.1,200.1,400.3
SENSEX,2,G_10:50_120,0.001249,cell(n=13),160.1,200.1,400.3
SENSEX,2,G_10:50_H,0.001333,cell(n=15),150.0,187.5,375.0
SENSEX,2,G_11:20_60,0.001241,cell(n=10),161.1,201.4,402.8
SENSEX,2,G_11:20_90,0.001051,cell(n=11),190.2,237.8,475.6
SENSEX,2,G_11:20_120,0.001199,cell(n=12),166.8,208.5,417.0
SENSEX,2,G_11:20_H,0.001059,cell(n=15),188.8,236.0,472.0
SENSEX,2,G_11:50_60,0.000611,cell(n=8),327.2,409.0,818.0
SENSEX,2,G_11:50_90,0.001343,cell(n=10),148.9,186.1,372.3
SENSEX,2,G_11:50_120,0.001113,cell(n=12),179.7,224.6,449.2
SENSEX,2,G_11:50_H,0.001456,cell(n=15),137.4,171.7,343.5
SENSEX,2,G_12:20_60,0.001226,pooled(n=580),163.1,203.9,407.9
