venue,cell,weekday,n,exc_p50,exc_p90,exc_p95,exc_max,mon_cur_era_n,mon_cur_p50,mon_cur_p95
NIFTY,W_1000_1030,Mon,548,17.0,37.0,45.0,246.5,39,15.4,39.9
NIFTY,W_1000_1030,Thu,554,16.6,35.6,44.0,150.8,,,
NIFTY,W_1000_1030,Tue,553,18.1,38.2,49.3,110.8,,,
NIFTY,W_1000_1030,Wed,557,17.1,39.4,49.2,200.3,,,
NIFTY,W_1000_1045,Fri,542,22.0,47.8,65.4,1252.0,,,
NIFTY,W_1000_1045,Mon,548,19.8,46.2,59.0,572.6,39,19.6,39.9
NIFTY,W_1000_1045,Thu,554,20.2,42.9,51.6,150.8,,,
NIFTY,W_1000_1045,Tue,553,21.2,46.2,57.9,139.8,,,
NIFTY,W_1000_1045,Wed,557,20.7,46.2,57.2,200.3,,,
NIFTY,W_1000_1100,Fri,542,24.2,55.8,72.8,1304.5,,,
NIFTY,W_1000_1100,Mon,548,22.0,52.2,66.8,572.6,39,21.2,58.5
NIFTY,W_1000_1100,Thu,554,22.8,47.4,62.6,208.1,,,
NIFTY,W_1000_1100,Tue,553,24.1,51.5,66.4,201.9,,,
NIFTY,W_1000_1100,Wed,557,22.7,51.5,66.7,200.3,,,
NIFTY,W_1000_1115,Fri,542,27.3,59.0,74.7,1304.5,,,
NIFTY,W_1000_1115,Mon,548,24.4,54.4,78.3,572.6,39,22.3,58.5
NIFTY,W_1000_1115,Thu,554,24.7,53.0,74.0,545.6,,,
NIFTY,W_1000_1115,Tue,553,25.6,57.9,72.5,236.9,,,
NIFTY,W_1000_1115,Wed,557,24.8,55.1,75.4,200.3,,,
NIFTY,W_1000_1130,Fri,542,29.8,64.5,79.5,1304.5,,,
NIFTY,W_1000_1130,Mon,548,26.6,58.7,84.9,572.6,39,22.8,73.5
NIFTY,W_1000_1130,Thu,554,26.3,58.3,80.5,545.6,,,
NIFTY,W_1000_1130,Tue,553,27.5,59.5,79.3,242.8,,,
NIFTY,W_1000_1130,Wed,557,25.5,59.1,78.8,226.6,,,
NIFTY,W_1000_1145,Fri,542,31.3,67.7,87.2,1304.5,,,
NIFTY,W_1000_1145,Mon,548,28.1,61.4,86.3,572.6,39,24.6,86.3
NIFTY,W_1000_1145,Thu,554,28.8,63.0,81.7,545.6,,,
NIFTY,W_1000_1145,Tue,553,29.9,63.0,84.5,317.6,,,
NIFTY,W_1000_1145,Wed,557,27.1,63.3,83.2,226.6,,,
NIFTY,W_1000_1200,Fri,542,32.6,72.6,91.3,1304.5,,,
NIFTY,W_1000_1200,Mon,548,30.0,66.0,88.8,572.6,39,25.7,86.3
NIFTY,W_1000_1200,Thu,554,30.2,66.7,84.9,545.6,,,
NIFTY,W_1000_1200,Tue,553,30.2,66.7,88.4,317.6,,,
NIFTY,W_1000_1200,Wed,557,29.1,68.9,85.8,226.6,,,
NIFTY,W_1015_1045,Fri,542,16.9,39.2,54.0,1342.6,,,
NIFTY,W_1015_1045,Mon,548,15.6,34.1,45.1,572.6,39,15.1,31.8
NIFTY,W_1015_1045,Thu,554,15.2,35.0,45.4,144.8,,,
NIFTY,W_1015_1045,Tue,553,15.7,35.8,46.8,196.9,,,
NIFTY,W_1015_1045,Wed,557,16.4,34.5,43.5,117.4,,,
NIFTY,W_1015_1100,Fri,542,20.8,48.6,61.6,1395.5,,,
NIFTY,W_1015_1100,Mon,548,18.1,40.2,56.8,572.6,39,17.5,37.0
NIFTY,W_1015_1100,Thu,554,18.6,41.9,51.4,210.2,,,
NIFTY,W_1015_1100,Tue,553,19.3,43.8,53.2,259.4,,,
NIFTY,W_1015_1100,Wed,557,19.3,40.8,54.9,171.0,,,
NIFTY,W_1015_1115,Fri,542,23.6,52.0,71.3,1395.5,,,
NIFTY,W_1015_1115,Mon,548,20.7,45.5,64.0,572.6,39,20.0,47.1
NIFTY,W_1015_1115,Thu,554,20.7,48.9,61.4,509.4,,,
NIFTY,W_1015_1115,Tue,553,22.3,52.3,63.9,294.6,,,
NIFTY,W_1015_1115,Wed,557,21.4,45.5,62.0,188.6,,,
NIFTY,W_1015_1130,Fri,542,25.2,56.1,79.3,1395.5,,,
NIFTY,W_1015_1130,Mon,548,23.1,51.1,71.4,572.6,39,20.7,55.4
NIFTY,W_1015_1130,Thu,554,22.9,53.3,67.0,509.4,,,
NIFTY,W_1015_1130,Tue,553,24.6,55.6,69.0,300.5,,,
NIFTY,W_1015_1130,Wed,557,23.1,56.1,68.8,196.1,,,
NIFTY,W_1015_1145,Fri,542,27.2,60.2,84.5,1395.5,,,
NIFTY,W_1015_1145,Mon,548,24.6,55.5,73.3,572.6,39,20.7,62.5
NIFTY,W_1015_1145,Thu,554,24.8,56.0,69.9,509.4,,,
NIFTY,W_1015_1145,Tue,553,26.6,59.7,76.0,375.7,,,
NIFTY,W_1015_1145,Wed,557,25.3,58.1,72.9,245.3,,,
NIFTY,W_1015_1200,Fri,542,29.0,64.7,89.7,1395.5,,,
NIFTY,W_1015_1200,Mon,548,26.0,61.2,75.8,572.6,39,20.7,62.5
NIFTY,W_1015_1200,Thu,554,27.0,59.9,73.3,509.4,,,
NIFTY,W_1015_1200,Tue,553,28.1,62.3,81.7,375.7,,,
NIFTY,W_1015_1200,Wed,557,27.4,62.5,79.4,264.8,,,
NIFTY,W_1015_1215,Fri,542,31.1,69.9,96.7,1399.4,,,
NIFTY,W_1015_1215,Mon,548,27.9,65.0,85.3,572.6,39,22.7,63.1
NIFTY,W_1015_1215,Thu,554,29.2,66.1,79.3,509.4,,,
NIFTY,W_1015_1215,Tue,553,29.7,66.8,84.2,375.7,,,
NIFTY,W_1015_1215,Wed,557,29.3,64.5,84.4,264.8,,,
NIFTY,W_1030_1100,Fri,542,15.3,35.4,45.9,325.0,,,
NIFTY,W_1030_1100,Mon,548,14.9,33.2,43.6,572.6,39,15.2,28.6
NIFTY,W_1030_1100,Thu,554,14.9,32.6,40.6,213.3,,,
NIFTY,W_1030_1100,Tue,553,14.8,33.1,45.7,177.3,,,
NIFTY,W_1030_1100,Wed,557,14.9,32.0,44.9,150.0,,,
NIFTY,W_1030_1115,Fri,542,18.8,42.6,53.4,346.2,,,
NIFTY,W_1030_1115,Mon,548,17.8,41.4,51.9,572.6,39,16.9,41.5
NIFTY,W_1030_1115,Thu,554,17.3,41.2,51.2,496.5,,,
NIFTY,W_1030_1115,Tue,553,17.9,42.8,54.2,212.2,,,
NIFTY,W_1030_1115,Wed,557,18.2,37.8,51.8,167.7,,,
NIFTY,W_1030_1130,Fri,542,21.1,47.3,61.7,441.8,,,
NIFTY,W_1030_1130,Mon,548,20.5,47.2,61.1,572.6,39,18.0,50.9
NIFTY,W_1030_1130,Thu,554,20.1,46.4,57.4,496.5,,,
NIFTY,W_1030_1130,Tue,553,21.4,46.6,62.8,218.1,,,
NIFTY,W_1030_1130,Wed,557,20.1,44.7,57.0,188.9,,,
NIFTY,W_1030_1145,Fri,542,23.5,56.1,67.0,453.7,,,
NIFTY,W_1030_1145,Mon,548,22.6,53.1,67.1,572.6,39,18.9,63.7
NIFTY,W_1030_1145,Thu,554,22.6,51.6,66.2,496.5,,,
NIFTY,W_1030_1145,Tue,553,22.8,52.0,67.4,292.7,,,
NIFTY,W_1030_1145,Wed,557,22.3,50.0,63.2,293.6,,,
NIFTY,W_1030_1200,Fri,542,25.9,59.0,76.3,505.8,,,
NIFTY,W_1030_1200,Mon,548,25.0,56.0,75.1,572.6,39,19.6,63.7
NIFTY,W_1030_1200,Thu,554,25.4,57.2,67.5,496.5,,,
NIFTY,W_1030_1200,Tue,553,24.7,57.7,70.6,292.7,,,
NIFTY,W_1030_1200,Wed,557,24.3,55.6,71.9,313.1,,,
NIFTY,W_1030_1215,Fri,542,28.4,62.0,84.5,520.4,,,
NIFTY,W_1030_1215,Mon,548,26.9,63.7,83.2,572.6,39,20.8,63.7
NIFTY,W_1030_1215,Thu,554,27.0,60.9,72.2,496.5,,,
NIFTY,W_1030_1215,Tue,553,27.4,61.5,75.5,292.7,,,
NIFTY,W_1030_1215,Wed,557,26.3,59.7,78.3,313.1,,,
NIFTY,W_1030_1230,Fri,542,30.2,66.4,88.1,520.4,,,
NIFTY,W_1030_1230,Mon,548,29.4,70.7,88.0,572.6,39,22.6,75.1
NIFTY,W_1030_1230,Thu,554,29.0,65.9,79.7,496.5,,,
NIFTY,W_1030_1230,Tue,553,28.9,64.3,80.9,292.7,,,
NIFTY,W_1030_1230,Wed,557,29.2,64.0,84.2,313.1,,,
NIFTY,W_1045_1115,Fri,542,15.1,32.4,46.9,297.1,,,
NIFTY,W_1045_1115,Mon,548,14.5,34.2,44.3,200.7,39,11.1,50.3
NIFTY,W_1045_1115,Thu,554,13.7,29.7,42.3,488.1,,,
NIFTY,W_1045_1115,Tue,553,14.7,33.8,45.5,153.3,,,
NIFTY,W_1045_1115,Wed,557,14.1,31.8,38.3,152.3,,,
NIFTY,W_1045_1130,Fri,542,18.1,41.6,52.6,297.1,,,
NIFTY,W_1045_1130,Mon,548,17.7,41.8,51.9,255.1,39,15.4,53.0
NIFTY,W_1045_1130,Thu,554,16.7,39.3,46.6,488.1,,,
NIFTY,W_1045_1130,Tue,553,17.3,39.7,51.9,205.4,,,
NIFTY,W_1045_1130,Wed,557,17.3,39.4,48.1,161.6,,,
NIFTY,W_1045_1145,Fri,542,20.8,47.6,59.0,305.3,,,
NIFTY,W_1045_1145,Mon,548,19.7,47.6,60.0,279.3,39,16.8,65.8
NIFTY,W_1045_1145,Thu,554,19.5,44.4,53.3,488.1,,,
NIFTY,W_1045_1145,Tue,553,19.8,48.2,59.5,205.4,,,
NIFTY,W_1045_1145,Wed,557,19.8,46.3,56.0,205.6,,,
NIFTY,W_1045_1200,Fri,542,23.6,52.2,64.9,356.6,,,
NIFTY,W_1045_1200,Mon,548,22.0,51.9,69.3,279.3,39,17.6,65.8
NIFTY,W_1045_1200,Thu,554,22.1,48.3,57.1,488.1,,,
NIFTY,W_1045_1200,Tue,553,21.6,52.1,64.5,205.4,,,
NIFTY,W_1045_1200,Wed,557,21.7,52.0,65.3,225.2,,,
NIFTY,W_1045_1215,Fri,542,25.4,54.8,75.4,414.3,,,
NIFTY,W_1045_1215,Mon,548,24.9,58.0,76.0,305.3,39,19.2,65.8
NIFTY,W_1045_1215,Thu,554,24.2,53.4,66.1,488.1,,,
NIFTY,W_1045_1215,Tue,553,24.1,56.3,68.7,205.4,,,
NIFTY,W_1045_1215,Wed,557,23.7,55.6,75.8,260.9,,,
NIFTY,W_1045_1230,Fri,542,27.1,60.6,77.0,458.2,,,
NIFTY,W_1045_1230,Mon,548,26.4,64.8,82.9,305.3,39,21.5,74.7
NIFTY,W_1045_1230,Thu,554,26.8,57.5,69.9,488.1,,,
NIFTY,W_1045_1230,Tue,553,26.8,58.2,75.2,205.4,,,
NIFTY,W_1045_1230,Wed,557,26.7,61.2,78.8,269.9,,,
NIFTY,W_1045_1245,Fri,542,29.3,65.0,87.9,458.2,,,
NIFTY,W_1045_1245,Mon,548,28.9,70.3,89.7,305.3,39,23.8,74.7
NIFTY,W_1045_1245,Thu,554,29.6,61.7,75.5,488.1,,,
NIFTY,W_1045_1245,Tue,553,29.1,66.1,81.5,250.5,,,
NIFTY,W_1045_1245,Wed,557,29.4,63.7,84.7,404.2,,,
NIFTY,W_1100_1130,Fri,542,14.6,35.2,44.1,233.5,,,
NIFTY,W_1100_1130,Mon,548,14.5,33.7,40.7,231.6,39,13.0,27.9
NIFTY,W_1100_1130,Thu,554,13.6,31.4,39.0,344.8,,,
NIFTY,W_1100_1130,Tue,552,14.3,36.5,47.4,129.5,,,
NIFTY,W_1100_1130,Wed,557,13.9,30.4,41.1,131.1,,,
NIFTY,W_1100_1145,Fri,542,18.0,43.9,53.2,245.3,,,
NIFTY,W_1100_1145,Mon,548,17.4,38.3,50.9,255.9,39,16.4,45.8
NIFTY,W_1100_1145,Thu,554,17.0,39.0,50.5,344.8,,,
NIFTY,W_1100_1145,Tue,553,17.2,45.9,56.5,203.5,,,
NIFTY,W_1100_1145,Wed,557,16.6,37.9,48.0,206.4,,,
NIFTY,W_1100_1200,Fri,542,20.6,47.9,58.9,296.3,,,
NIFTY,W_1100_1200,Mon,548,20.2,45.6,59.2,255.9,39,16.6,45.9
NIFTY,W_1100_1200,Thu,554,20.1,44.8,58.2,344.8,,,
NIFTY,W_1100_1200,Tue,553,20.1,50.4,63.5,203.5,,,
NIFTY,W_1100_1200,Wed,557,18.9,45.3,58.2,226.0,,,
NIFTY,W_1100_1215,Fri,542,22.7,50.8,66.6,394.0,,,
NIFTY,W_1100_1215,Mon,548,22.2,51.2,70.9,282.0,39,20.2,52.1
NIFTY,W_1100_1215,Thu,554,22.2,50.8,66.6,344.8,,,
NIFTY,W_1100_1215,Tue,553,22.4,54.0,67.1,203.5,,,
NIFTY,W_1100_1215,Wed,557,21.1,52.0,64.6,226.0,,,
NIFTY,W_1100_1230,Fri,542,24.9,55.0,75.2,437.7,,,
NIFTY,W_1100_1230,Mon,548,24.8,58.2,75.3,282.0,39,20.9,62.2
NIFTY,W_1100_1230,Thu,554,24.7,55.9,68.5,344.8,,,
NIFTY,W_1100_1230,Tue,553,24.5,57.7,71.3,203.5,,,
NIFTY,W_1100_1230,Wed,557,23.7,56.1,73.2,226.0,,,
NIFTY,W_1100_1245,Fri,542,26.8,62.2,80.2,437.7,,,
NIFTY,W_1100_1245,Mon,548,26.6,64.3,81.1,282.0,39,21.3,73.9
NIFTY,W_1100_1245,Thu,554,27.5,59.7,71.3,344.8,,,
NIFTY,W_1100_1245,Tue,553,27.9,63.2,74.4,269.5,,,
NIFTY,W_1100_1245,Wed,557,27.3,58.5,78.0,372.9,,,
NIFTY,W_1100_1300,Fri,542,28.3,68.8,88.5,493.9,,,
NIFTY,W_1100_1300,Mon,548,28.6,69.9,87.4,282.0,39,23.3,76.0
NIFTY,W_1100_1300,Thu,554,29.0,62.9,81.9,344.8,,,
NIFTY,W_1100_1300,Tue,553,30.1,68.2,83.6,269.5,,,
NIFTY,W_1100_1300,Wed,557,29.3,67.0,83.5,459.0,,,
NIFTY,W_1115_1145,Fri,542,14.3,31.9,42.3,159.8,,,
NIFTY,W_1115_1145,Mon,548,13.9,27.6,38.3,129.4,39,12.1,38.0
NIFTY,W_1115_1145,Thu,554,13.6,31.3,40.9,133.2,,,
NIFTY,W_1115_1145,Tue,552,14.3,34.0,45.7,104.1,,,
NIFTY,W_1115_1145,Wed,557,14.0,33.1,41.2,216.1,,,
NIFTY,W_1115_1200,Fri,542,17.3,38.1,51.6,230.2,,,
NIFTY,W_1115_1200,Mon,548,16.9,36.3,48.2,129.4,39,14.4,41.1
NIFTY,W_1115_1200,Thu,554,17.5,38.6,50.1,134.0,,,
NIFTY,W_1115_1200,Tue,552,17.0,39.9,55.1,112.4,,,
NIFTY,W_1115_1200,Wed,557,17.3,40.6,52.5,235.7,,,
NIFTY,W_1115_1215,Fri,542,19.9,44.7,56.8,361.2,,,
NIFTY,W_1115_1215,Mon,548,20.0,44.2,57.3,153.3,39,16.8,44.2
NIFTY,W_1115_1215,Thu,554,21.3,43.9,56.8,149.2,,,
NIFTY,W_1115_1215,Tue,552,19.8,46.0,63.8,148.3,,,
NIFTY,W_1115_1215,Wed,557,19.5,46.7,57.4,235.7,,,
NIFTY,W_1115_1230,Fri,542,22.3,49.8,65.9,404.8,,,
NIFTY,W_1115_1230,Mon,548,22.2,50.2,63.8,297.5,39,19.5,51.6
NIFTY,W_1115_1230,Thu,554,23.5,49.2,65.3,178.1,,,
NIFTY,W_1115_1230,Tue,552,22.6,52.2,69.4,174.5,,,
NIFTY,W_1115_1230,Wed,557,21.7,50.9,64.0,235.7,,,
NIFTY,W_1115_1245,Fri,542,25.3,55.7,77.0,404.8,,,
NIFTY,W_1115_1245,Mon,548,24.3,57.6,77.8,297.5,39,21.0,61.4
NIFTY,W_1115_1245,Thu,554,25.5,54.8,68.4,242.5,,,
NIFTY,W_1115_1245,Tue,552,26.0,56.2,74.8,187.8,,,
NIFTY,W_1115_1245,Wed,557,24.9,54.9,71.8,333.6,,,
NIFTY,W_1115_1300,Fri,542,27.0,60.5,81.9,491.0,,,
NIFTY,W_1115_1300,Mon,548,26.3,61.8,83.9,297.5,39,22.2,71.3
NIFTY,W_1115_1300,Thu,554,27.9,61.3,74.0,242.5,,,
NIFTY,W_1115_1300,Tue,552,27.6,65.0,84.8,219.7,,,
NIFTY,W_1115_1300,Wed,557,27.2,59.8,79.1,419.3,,,
NIFTY,W_1115_1315,Fri,542,29.1,69.1,90.6,617.5,,,
NIFTY,W_1115_1315,Mon,548,28.2,68.5,87.5,297.5,39,23.5,71.3
NIFTY,W_1115_1315,Thu,554,29.8,66.3,85.1,242.5,,,
NIFTY,W_1115_1315,Tue,552,30.2,74.0,91.0,270.7,,,
NIFTY,W_1115_1315,Wed,557,30.2,66.5,85.9,519.9,,,
NIFTY,W_1130_1200,Fri,542,14.2,29.8,38.2,160.4,,,
NIFTY,W_1130_1200,Mon,548,13.1,31.1,38.9,186.8,39,12.6,30.4
NIFTY,W_1130_1200,Thu,554,13.5,30.6,40.9,231.6,,,
NIFTY,W_1130_1200,Tue,553,13.4,32.3,42.9,111.0,,,
NIFTY,W_1130_1200,Wed,557,13.8,33.2,42.8,230.5,,,
NIFTY,W_1130_1215,Fri,542,16.9,36.4,46.0,279.9,,,
NIFTY,W_1130_1215,Mon,548,16.2,39.1,49.4,186.8,39,16.6,40.3
NIFTY,W_1130_1215,Thu,554,17.1,39.9,51.9,258.8,,,
NIFTY,W_1130_1215,Tue,553,17.3,39.5,50.8,123.5,,,
NIFTY,W_1130_1215,Wed,557,16.8,40.4,50.4,230.5,,,
NIFTY,W_1130_1230,Fri,542,19.2,44.4,57.0,323.1,,,
NIFTY,W_1130_1230,Mon,548,19.1,45.3,60.5,282.4,39,21.5,43.7
NIFTY,W_1130_1230,Thu,554,19.7,44.5,59.6,258.8,,,
NIFTY,W_1130_1230,Tue,553,20.4,44.5,59.9,165.7,,,
NIFTY,W_1130_1230,Wed,557,19.9,46.5,60.4,230.5,,,
NIFTY,W_1130_1245,Fri,542,21.5,50.7,69.2,393.5,,,
NIFTY,W_1130_1245,Mon,548,22.3,51.8,68.6,282.4,39,21.5,52.0
NIFTY,W_1130_1245,Thu,554,22.3,48.8,62.8,265.8,,,
NIFTY,W_1130_1245,Tue,553,23.0,52.6,66.1,165.7,,,
NIFTY,W_1130_1245,Wed,557,22.6,51.0,66.9,250.5,,,
NIFTY,W_1130_1300,Fri,542,23.7,56.4,72.5,503.0,,,
NIFTY,W_1130_1300,Mon,548,24.6,58.9,79.0,282.4,39,22.5,56.6
NIFTY,W_1130_1300,Thu,554,24.7,56.5,68.3,265.8,,,
NIFTY,W_1130_1300,Tue,553,25.4,60.2,78.7,179.6,,,
NIFTY,W_1130_1300,Wed,557,25.1,57.4,75.6,335.5,,,
NIFTY,W_1130_1315,Fri,542,27.1,62.5,79.9,629.7,,,
NIFTY,W_1130_1315,Mon,548,26.8,63.0,81.4,282.4,39,23.5,56.6
