venue,cell,scope,n,exc_p50,exc_p90,exc_p95,exc_p99,exc_max,term_p50,term_p95,term_max
NIFTY,W_0916_0946,monday_cur_era,39,20.6,37.1,47.0,82.0,82.0,15.5,40.7,44.9
NIFTY,W_0916_0946,dte_matched,353,21.6,47.1,59.0,104.4,291.4,12.9,44.9,287.5
NIFTY,W_0916_0946,monday_all_eras,547,24.2,52.2,65.7,124.7,248.1,14.1,50.4,248.1
NIFTY,W_0916_0946,monday_cur_era,39,20.6,37.1,47.0,82.0,82.0,15.5,40.7,44.9
NIFTY,W_0916_0946,dte_matched,353,21.6,47.1,59.0,104.4,291.4,12.9,44.9,287.5
NIFTY,W_0916_0946,monday_all_eras,547,24.2,52.2,65.7,124.7,248.1,14.1,50.4,248.1
NIFTY,W_0916_0946,monday_cur_era,39,20.6,37.1,47.0,82.0,82.0,15.5,40.7,44.9
NIFTY,W_0916_0946,dte_matched,353,21.6,47.1,59.0,104.4,291.4,12.9,44.9,287.5
NIFTY,W_0916_0946,monday_all_eras,547,24.2,52.2,65.7,124.7,248.1,14.1,50.4,248.1
NIFTY,W_0916_0946,monday_cur_era,39,20.6,37.1,47.0,82.0,82.0,15.5,40.7,44.9
NIFTY,W_0916_0946,dte_matched,353,21.6,47.1,59.0,104.4,291.4,12.9,44.9,287.5
NIFTY,W_0916_0946,monday_all_eras,547,24.2,52.2,65.7,124.7,248.1,14.1,50.4,248.1
NIFTY,W_0916_0946,monday_cur_era,39,20.6,37.1,47.0,82.0,82.0,15.5,40.7,44.9
NIFTY,W_0916_0946,dte_matched,353,21.6,47.1,59.0,104.4,291.4,12.9,44.9,287.5
NIFTY,W_0916_0946,monday_all_eras,547,24.2,52.2,65.7,124.7,248.1,14.1,50.4,248.1
NIFTY,W_0916_0946,monday_cur_era,39,20.6,37.1,47.0,82.0,82.0,15.5,40.7,44.9
NIFTY,W_0916_1001,dte_matched,353,26.2,57.4,69.3,117.3,321.4,14.6,54.4,288.2
NIFTY,W_0916_1001,monday_all_eras,547,28.6,60.1,73.1,133.4,279.7,15.8,55.8,267.5
NIFTY,W_0916_1001,monday_cur_era,39,25.4,43.8,53.0,82.0,82.0,15.1,36.0,54.1
NIFTY,W_0916_1001,dte_matched,353,26.2,57.4,69.3,117.3,321.4,14.6,54.4,288.2
NIFTY,W_0916_1001,monday_all_eras,547,28.6,60.1,73.1,133.4,279.7,15.8,55.8,267.5
NIFTY,W_0916_1001,monday_cur_era,39,25.4,43.8,53.0,82.0,82.0,15.1,36.0,54.1
NIFTY,W_0916_1001,dte_matched,353,26.2,57.4,69.3,117.3,321.4,14.6,54.4,288.2
NIFTY,W_0916_1001,monday_all_eras,547,28.6,60.1,73.1,133.4,279.7,15.8,55.8,267.5
NIFTY,W_0916_1001,monday_cur_era,39,25.4,43.8,53.0,82.0,82.0,15.1,36.0,54.1
NIFTY,W_0916_1001,dte_matched,353,26.2,57.4,69.3,117.3,321.4,14.6,54.4,288.2
NIFTY,W_0916_1001,monday_all_eras,547,28.6,60.1,73.1,133.4,279.7,15.8,55.8,267.5
NIFTY,W_0916_1001,monday_cur_era,39,25.4,43.8,53.0,82.0,82.0,15.1,36.0,54.1
NIFTY,W_0916_1001,dte_matched,353,26.2,57.4,69.3,117.3,321.4,14.6,54.4,288.2
NIFTY,W_0916_1001,monday_all_eras,547,28.6,60.1,73.1,133.4,279.7,15.8,55.8,267.5
NIFTY,W_0916_1001,monday_cur_era,39,25.4,43.8,53.0,82.0,82.0,15.1,36.0,54.1
NIFTY,W_0916_1001,dte_matched,353,26.2,57.4,69.3,117.3,321.4,14.6,54.4,288.2
NIFTY,W_0916_1001,monday_all_eras,547,28.6,60.1,73.1,133.4,279.7,15.8,55.8,267.5
NIFTY,W_0916_1001,monday_cur_era,39,25.4,43.8,53.0,82.0,82.0,15.1,36.0,54.1
NIFTY,W_0916_1001,dte_matched,353,26.2,57.4,69.3,117.3,321.4,14.6,54.4,288.2
NIFTY,W_0916_1001,monday_all_eras,547,28.6,60.1,73.1,133.4,279.7,15.8,55.8,267.5
NIFTY,W_0916_1001,monday_cur_era,39,25.4,43.8,53.0,82.0,82.0,15.1,36.0,54.1
NIFTY,W_0916_1001,dte_matched,353,26.2,57.4,69.3,117.3,321.4,14.6,54.4,288.2
NIFTY,W_0916_1001,monday_all_eras,547,28.6,60.1,73.1,133.4,279.7,15.8,55.8,267.5
NIFTY,W_0916_1001,monday_cur_era,39,25.4,43.8,53.0,82.0,82.0,15.1,36.0,54.1
NIFTY,W_0916_1001,dte_matched,353,26.2,57.4,69.3,117.3,321.4,14.6,54.4,288.2
NIFTY,W_0916_1001,monday_all_eras,547,28.6,60.1,73.1,133.4,279.7,15.8,55.8,267.5
NIFTY,W_0916_1001,monday_cur_era,39,25.4,43.8,53.0,82.0,82.0,15.1,36.0,54.1
NIFTY,W_0916_1001,dte_matched,353,26.2,57.4,69.3,117.3,321.4,14.6,54.4,288.2
NIFTY,W_0916_1001,monday_all_eras,547,28.6,60.1,73.1,133.4,279.7,15.8,55.8,267.5
NIFTY,W_0916_1001,monday_cur_era,39,25.4,43.8,53.0,82.0,82.0,15.1,36.0,54.1
NIFTY,W_0916_1001,dte_matched,353,26.2,57.4,69.3,117.3,321.4,14.6,54.4,288.2
NIFTY,W_0916_1001,monday_all_eras,547,28.6,60.1,73.1,133.4,279.7,15.8,55.8,267.5
NIFTY,W_0916_1001,monday_cur_era,39,25.4,43.8,53.0,82.0,82.0,15.1,36.0,54.1
NIFTY,W_0916_1016,dte_matched,353,29.4,63.9,75.4,141.5,376.6,15.7,64.5,375.3
NIFTY,W_0916_1016,monday_all_eras,547,32.5,64.0,78.9,150.7,279.7,18.1,61.5,267.5
NIFTY,W_0916_1016,monday_cur_era,39,27.3,47.0,62.4,82.0,82.0,15.2,36.4,65.2
NIFTY,W_0916_1016,dte_matched,353,29.4,63.9,75.4,141.5,376.6,15.7,64.5,375.3
NIFTY,W_0916_1016,monday_all_eras,547,32.5,64.0,78.9,150.7,279.7,18.1,61.5,267.5
NIFTY,W_0916_1016,monday_cur_era,39,27.3,47.0,62.4,82.0,82.0,15.2,36.4,65.2
NIFTY,W_0916_1016,dte_matched,353,29.4,63.9,75.4,141.5,376.6,15.7,64.5,375.3
NIFTY,W_0916_1016,monday_all_eras,547,32.5,64.0,78.9,150.7,279.7,18.1,61.5,267.5
NIFTY,W_0916_1016,monday_cur_era,39,27.3,47.0,62.4,82.0,82.0,15.2,36.4,65.2
NIFTY,W_0916_1016,dte_matched,353,29.4,63.9,75.4,141.5,376.6,15.7,64.5,375.3
NIFTY,W_0916_1016,monday_all_eras,547,32.5,64.0,78.9,150.7,279.7,18.1,61.5,267.5
NIFTY,W_0916_1016,monday_cur_era,39,27.3,47.0,62.4,82.0,82.0,15.2,36.4,65.2
NIFTY,W_0916_1016,dte_matched,353,29.4,63.9,75.4,141.5,376.6,15.7,64.5,375.3
NIFTY,W_0916_1016,monday_all_eras,547,32.5,64.0,78.9,150.7,279.7,18.1,61.5,267.5
NIFTY,W_0916_1016,monday_cur_era,39,27.3,47.0,62.4,82.0,82.0,15.2,36.4,65.2
NIFTY,W_0916_1016,dte_matched,353,29.4,63.9,75.4,141.5,376.6,15.7,64.5,375.3
NIFTY,W_0916_1016,monday_all_eras,547,32.5,64.0,78.9,150.7,279.7,18.1,61.5,267.5
NIFTY,W_0916_1016,monday_cur_era,39,27.3,47.0,62.4,82.0,82.0,15.2,36.4,65.2
NIFTY,W_0916_1016,dte_matched,353,29.4,63.9,75.4,141.5,376.6,15.7,64.5,375.3
NIFTY,W_0916_1016,monday_all_eras,547,32.5,64.0,78.9,150.7,279.7,18.1,61.5,267.5
NIFTY,W_0916_1016,monday_cur_era,39,27.3,47.0,62.4,82.0,82.0,15.2,36.4,65.2
NIFTY,W_0916_1016,dte_matched,353,29.4,63.9,75.4,141.5,376.6,15.7,64.5,375.3
NIFTY,W_0916_1016,monday_all_eras,547,32.5,64.0,78.9,150.7,279.7,18.1,61.5,267.5
NIFTY,W_0916_1016,monday_cur_era,39,27.3,47.0,62.4,82.0,82.0,15.2,36.4,65.2
NIFTY,W_0916_1016,dte_matched,353,29.4,63.9,75.4,141.5,376.6,15.7,64.5,375.3
NIFTY,W_0916_1016,monday_all_eras,547,32.5,64.0,78.9,150.7,279.7,18.1,61.5,267.5
NIFTY,W_0916_1016,monday_cur_era,39,27.3,47.0,62.4,82.0,82.0,15.2,36.4,65.2
NIFTY,W_0916_1016,dte_matched,353,29.4,63.9,75.4,141.5,376.6,15.7,64.5,375.3
NIFTY,W_0916_1016,monday_all_eras,547,32.5,64.0,78.9,150.7,279.7,18.1,61.5,267.5
NIFTY,W_0916_1016,monday_cur_era,39,27.3,47.0,62.4,82.0,82.0,15.2,36.4,65.2
NIFTY,W_0916_1016,dte_matched,353,29.4,63.9,75.4,141.5,376.6,15.7,64.5,375.3
NIFTY,W_0916_1016,monday_all_eras,547,32.5,64.0,78.9,150.7,279.7,18.1,61.5,267.5
NIFTY,W_0916_1016,monday_cur_era,39,27.3,47.0,62.4,82.0,82.0,15.2,36.4,65.2
NIFTY,W_0916_1031,dte_matched,353,32.0,66.8,82.0,156.0,494.3,17.8,68.3,426.9
NIFTY,W_0916_1031,monday_all_eras,547,34.3,66.9,84.4,150.7,279.7,18.8,72.6,267.5
NIFTY,W_0916_1031,monday_cur_era,39,31.2,55.7,62.4,82.0,82.0,14.4,52.7,72.6
NIFTY,W_0916_1031,dte_matched,353,32.0,66.8,82.0,156.0,494.3,17.8,68.3,426.9
NIFTY,W_0916_1031,monday_all_eras,547,34.3,66.9,84.4,150.7,279.7,18.8,72.6,267.5
NIFTY,W_0916_1031,monday_cur_era,39,31.2,55.7,62.4,82.0,82.0,14.4,52.7,72.6
NIFTY,W_0916_1031,dte_matched,353,32.0,66.8,82.0,156.0,494.3,17.8,68.3,426.9
NIFTY,W_0916_1031,monday_all_eras,547,34.3,66.9,84.4,150.7,279.7,18.8,72.6,267.5
NIFTY,W_0916_1031,monday_cur_era,39,31.2,55.7,62.4,82.0,82.0,14.4,52.7,72.6
NIFTY,W_0916_1031,dte_matched,353,32.0,66.8,82.0,156.0,494.3,17.8,68.3,426.9
NIFTY,W_0916_1031,monday_all_eras,547,34.3,66.9,84.4,150.7,279.7,18.8,72.6,267.5
NIFTY,W_0916_1031,monday_cur_era,39,31.2,55.7,62.4,82.0,82.0,14.4,52.7,72.6
NIFTY,W_0916_1031,dte_matched,353,32.0,66.8,82.0,156.0,494.3,17.8,68.3,426.9
NIFTY,W_0916_1031,monday_all_eras,547,34.3,66.9,84.4,150.7,279.7,18.8,72.6,267.5
NIFTY,W_0916_1031,monday_cur_era,39,31.2,55.7,62.4,82.0,82.0,14.4,52.7,72.6
NIFTY,W_0916_1031,dte_matched,353,32.0,66.8,82.0,156.0,494.3,17.8,68.3,426.9
NIFTY,W_0916_1031,monday_all_eras,547,34.3,66.9,84.4,150.7,279.7,18.8,72.6,267.5
NIFTY,W_0916_1031,monday_cur_era,39,31.2,55.7,62.4,82.0,82.0,14.4,52.7,72.6
NIFTY,W_0916_1031,dte_matched,353,32.0,66.8,82.0,156.0,494.3,17.8,68.3,426.9
NIFTY,W_0916_1031,monday_all_eras,547,34.3,66.9,84.4,150.7,279.7,18.8,72.6,267.5
NIFTY,W_0916_1031,monday_cur_era,39,31.2,55.7,62.4,82.0,82.0,14.4,52.7,72.6
NIFTY,W_0916_1031,dte_matched,353,32.0,66.8,82.0,156.0,494.3,17.8,68.3,426.9
NIFTY,W_0916_1031,monday_all_eras,547,34.3,66.9,84.4,150.7,279.7,18.8,72.6,267.5
NIFTY,W_0916_1031,monday_cur_era,39,31.2,55.7,62.4,82.0,82.0,14.4,52.7,72.6
NIFTY,W_0916_1031,dte_matched,353,32.0,66.8,82.0,156.0,494.3,17.8,68.3,426.9
NIFTY,W_0916_1031,monday_all_eras,547,34.3,66.9,84.4,150.7,279.7,18.8,72.6,267.5
NIFTY,W_0916_1031,monday_cur_era,39,31.2,55.7,62.4,82.0,82.0,14.4,52.7,72.6
NIFTY,W_0916_1031,dte_matched,353,32.0,66.8,82.0,156.0,494.3,17.8,68.3,426.9
NIFTY,W_0916_1031,monday_all_eras,547,34.3,66.9,84.4,150.7,279.7,18.8,72.6,267.5
NIFTY,W_0916_1031,monday_cur_era,39,31.2,55.7,62.4,82.0,82.0,14.4,52.7,72.6
NIFTY,W_0916_1031,dte_matched,353,32.0,66.8,82.0,156.0,494.3,17.8,68.3,426.9
NIFTY,W_0916_1031,monday_all_eras,547,34.3,66.9,84.4,150.7,279.7,18.8,72.6,267.5
NIFTY,W_0916_1031,monday_cur_era,39,31.2,55.7,62.4,82.0,82.0,14.4,52.7,72.6
NIFTY,W_0916_1046,dte_matched,353,33.7,73.5,87.8,191.5,494.3,17.6,76.5,333.3
NIFTY,W_0916_1046,monday_all_eras,547,35.5,71.6,89.8,178.0,289.8,21.1,71.0,242.9
NIFTY,W_0916_1046,monday_cur_era,39,31.8,55.7,65.8,82.0,82.0,14.9,47.4,68.3
NIFTY,W_0916_1046,dte_matched,353,33.7,73.5,87.8,191.5,494.3,17.6,76.5,333.3
NIFTY,W_0916_1046,monday_all_eras,547,35.5,71.6,89.8,178.0,289.8,21.1,71.0,242.9
NIFTY,W_0916_1046,monday_cur_era,39,31.8,55.7,65.8,82.0,82.0,14.9,47.4,68.3
NIFTY,W_0916_1046,dte_matched,353,33.7,73.5,87.8,191.5,494.3,17.6,76.5,333.3
NIFTY,W_0916_1046,monday_all_eras,547,35.5,71.6,89.8,178.0,289.8,21.1,71.0,242.9
NIFTY,W_0916_1046,monday_cur_era,39,31.8,55.7,65.8,82.0,82.0,14.9,47.4,68.3
NIFTY,W_0916_1046,dte_matched,353,33.7,73.5,87.8,191.5,494.3,17.6,76.5,333.3
NIFTY,W_0916_1046,monday_all_eras,547,35.5,71.6,89.8,178.0,289.8,21.1,71.0,242.9
NIFTY,W_0916_1046,monday_cur_era,39,31.8,55.7,65.8,82.0,82.0,14.9,47.4,68.3
NIFTY,W_0916_1046,dte_matched,353,33.7,73.5,87.8,191.5,494.3,17.6,76.5,333.3
NIFTY,W_0916_1046,monday_all_eras,547,35.5,71.6,89.8,178.0,289.8,21.1,71.0,242.9
NIFTY,W_0916_1046,monday_cur_era,39,31.8,55.7,65.8,82.0,82.0,14.9,47.4,68.3
NIFTY,W_0916_1046,dte_matched,353,33.7,73.5,87.8,191.5,494.3,17.6,76.5,333.3
NIFTY,W_0916_1046,monday_all_eras,547,35.5,71.6,89.8,178.0,289.8,21.1,71.0,242.9
NIFTY,W_0916_1046,monday_cur_era,39,31.8,55.7,65.8,82.0,82.0,14.9,47.4,68.3
NIFTY,W_0916_1046,dte_matched,353,33.7,73.5,87.8,191.5,494.3,17.6,76.5,333.3
NIFTY,W_0916_1046,monday_all_eras,547,35.5,71.6,89.8,178.0,289.8,21.1,71.0,242.9
NIFTY,W_0916_1046,monday_cur_era,39,31.8,55.7,65.8,82.0,82.0,14.9,47.4,68.3
NIFTY,W_0916_1046,dte_matched,353,33.7,73.5,87.8,191.5,494.3,17.6,76.5,333.3
NIFTY,W_0916_1046,monday_all_eras,547,35.5,71.6,89.8,178.0,289.8,21.1,71.0,242.9
NIFTY,W_0916_1046,monday_cur_era,39,31.8,55.7,65.8,82.0,82.0,14.9,47.4,68.3
NIFTY,W_0916_1046,dte_matched,353,33.7,73.5,87.8,191.5,494.3,17.6,76.5,333.3
NIFTY,W_0916_1046,monday_all_eras,547,35.5,71.6,89.8,178.0,289.8,21.1,71.0,242.9
NIFTY,W_0916_1046,monday_cur_era,39,31.8,55.7,65.8,82.0,82.0,14.9,47.4,68.3
NIFTY,W_0916_1046,dte_matched,353,33.7,73.5,87.8,191.5,494.3,17.6,76.5,333.3
NIFTY,W_0916_1046,monday_all_eras,547,35.5,71.6,89.8,178.0,289.8,21.1,71.0,242.9
NIFTY,W_0916_1046,monday_cur_era,39,31.8,55.7,65.8,82.0,82.0,14.9,47.4,68.3
NIFTY,W_0916_1046,dte_matched,353,33.7,73.5,87.8,191.5,494.3,17.6,76.5,333.3
NIFTY,W_0916_1046,monday_all_eras,547,35.5,71.6,89.8,178.0,289.8,21.1,71.0,242.9
NIFTY,W_0916_1046,monday_cur_era,39,31.8,55.7,65.8,82.0,82.0,14.9,47.4,68.3
NIFTY,W_0916_1101,dte_matched,353,35.7,78.2,94.2,210.5,494.3,19.9,71.1,334.1
NIFTY,W_0916_1101,monday_all_eras,547,36.5,73.4,93.7,178.0,375.4,21.7,73.4,254.6
NIFTY,W_0916_1101,monday_cur_era,39,32.2,70.6,79.7,87.4,87.4,19.7,54.7,74.6
NIFTY,W_0916_1101,dte_matched,353,35.7,78.2,94.2,210.5,494.3,19.9,71.1,334.1
NIFTY,W_0916_1101,monday_all_eras,547,36.5,73.4,93.7,178.0,375.4,21.7,73.4,254.6
NIFTY,W_0916_1101,monday_cur_era,39,32.2,70.6,79.7,87.4,87.4,19.7,54.7,74.6
NIFTY,W_0916_1101,dte_matched,353,35.7,78.2,94.2,210.5,494.3,19.9,71.1,334.1
NIFTY,W_0916_1101,monday_all_eras,547,36.5,73.4,93.7,178.0,375.4,21.7,73.4,254.6
NIFTY,W_0916_1101,monday_cur_era,39,32.2,70.6,79.7,87.4,87.4,19.7,54.7,74.6
NIFTY,W_0916_1101,dte_matched,353,35.7,78.2,94.2,210.5,494.3,19.9,71.1,334.1
NIFTY,W_0916_1101,monday_all_eras,547,36.5,73.4,93.7,178.0,375.4,21.7,73.4,254.6
NIFTY,W_0916_1101,monday_cur_era,39,32.2,70.6,79.7,87.4,87.4,19.7,54.7,74.6
NIFTY,W_0916_1101,dte_matched,353,35.7,78.2,94.2,210.5,494.3,19.9,71.1,334.1
NIFTY,W_0916_1101,monday_all_eras,547,36.5,73.4,93.7,178.0,375.4,21.7,73.4,254.6
NIFTY,W_0916_1101,monday_cur_era,39,32.2,70.6,79.7,87.4,87.4,19.7,54.7,74.6
NIFTY,W_0916_1101,dte_matched,353,35.7,78.2,94.2,210.5,494.3,19.9,71.1,334.1
NIFTY,W_0916_1101,monday_all_eras,547,36.5,73.4,93.7,178.0,375.4,21.7,73.4,254.6
NIFTY,W_0916_1101,monday_cur_era,39,32.2,70.6,79.7,87.4,87.4,19.7,54.7,74.6
NIFTY,W_0916_1101,dte_matched,353,35.7,78.2,94.2,210.5,494.3,19.9,71.1,334.1
NIFTY,W_0916_1101,monday_all_eras,547,36.5,73.4,93.7,178.0,375.4,21.7,73.4,254.6
NIFTY,W_0916_1101,monday_cur_era,39,32.2,70.6,79.7,87.4,87.4,19.7,54.7,74.6
NIFTY,W_0916_1101,dte_matched,353,35.7,78.2,94.2,210.5,494.3,19.9,71.1,334.1
NIFTY,W_0916_1101,monday_all_eras,547,36.5,73.4,93.7,178.0,375.4,21.7,73.4,254.6
NIFTY,W_0916_1101,monday_cur_era,39,32.2,70.6,79.7,87.4,87.4,19.7,54.7,74.6
NIFTY,W_0916_1101,dte_matched,353,35.7,78.2,94.2,210.5,494.3,19.9,71.1,334.1
NIFTY,W_0916_1101,monday_all_eras,547,36.5,73.4,93.7,178.0,375.4,21.7,73.4,254.6
NIFTY,W_0916_1101,monday_cur_era,39,32.2,70.6,79.7,87.4,87.4,19.7,54.7,74.6
NIFTY,W_0916_1101,dte_matched,353,35.7,78.2,94.2,210.5,494.3,19.9,71.1,334.1
NIFTY,W_0916_1101,monday_all_eras,547,36.5,73.4,93.7,178.0,375.4,21.7,73.4,254.6
NIFTY,W_0916_1101,monday_cur_era,39,32.2,70.6,79.7,87.4,87.4,19.7,54.7,74.6
NIFTY,W_0916_1101,dte_matched,353,35.7,78.2,94.2,210.5,494.3,19.9,71.1,334.1
NIFTY,W_0916_1101,monday_all_eras,547,36.5,73.4,93.7,178.0,375.4,21.7,73.4,254.6
NIFTY,W_0916_1101,monday_cur_era,39,32.2,70.6,79.7,87.4,87.4,19.7,54.7,74.6
NIFTY,W_0916_1116,dte_matched,353,36.7,79.3,96.9,238.5,494.3,20.5,75.9,344.4
NIFTY,W_0916_1116,monday_all_eras,547,38.3,78.9,101.5,178.0,426.2,22.9,80.1,424.7
NIFTY,W_0916_1116,monday_cur_era,39,34.4,70.6,79.7,87.4,87.4,19.3,48.4,74.1
NIFTY,W_0916_1116,dte_matched,353,36.7,79.3,96.9,238.5,494.3,20.5,75.9,344.4
NIFTY,W_0916_1116,monday_all_eras,547,38.3,78.9,101.5,178.0,426.2,22.9,80.1,424.7
NIFTY,W_0916_1116,monday_cur_era,39,34.4,70.6,79.7,87.4,87.4,19.3,48.4,74.1
NIFTY,W_0916_1116,dte_matched,353,36.7,79.3,96.9,238.5,494.3,20.5,75.9,344.4
NIFTY,W_0916_1116,monday_all_eras,547,38.3,78.9,101.5,178.0,426.2,22.9,80.1,424.7
NIFTY,W_0916_1116,monday_cur_era,39,34.4,70.6,79.7,87.4,87.4,19.3,48.4,74.1
NIFTY,W_0916_1116,dte_matched,353,36.7,79.3,96.9,238.5,494.3,20.5,75.9,344.4
NIFTY,W_0916_1116,monday_all_eras,547,38.3,78.9,101.5,178.0,426.2,22.9,80.1,424.7
NIFTY,W_0916_1116,monday_cur_era,39,34.4,70.6,79.7,87.4,87.4,19.3,48.4,74.1
NIFTY,W_0916_1116,dte_matched,353,36.7,79.3,96.9,238.5,494.3,20.5,75.9,344.4
NIFTY,W_0916_1116,monday_all_eras,547,38.3,78.9,101.5,178.0,426.2,22.9,80.1,424.7
NIFTY,W_0916_1116,monday_cur_era,39,34.4,70.6,79.7,87.4,87.4,19.3,48.4,74.1
NIFTY,W_0916_1116,dte_matched,353,36.7,79.3,96.9,238.5,494.3,20.5,75.9,344.4
NIFTY,W_0916_1116,monday_all_eras,547,38.3,78.9,101.5,178.0,426.2,22.9,80.1,424.7
NIFTY,W_0916_1116,monday_cur_era,39,34.4,70.6,79.7,87.4,87.4,19.3,48.4,74.1
NIFTY,W_0916_1116,dte_matched,353,36.7,79.3,96.9,238.5,494.3,20.5,75.9,344.4
NIFTY,W_0916_1116,monday_all_eras,547,38.3,78.9,101.5,178.0,426.2,22.9,80.1,424.7
NIFTY,W_0916_1116,monday_cur_era,39,34.4,70.6,79.7,87.4,87.4,19.3,48.4,74.1
NIFTY,W_0916_1116,dte_matched,353,36.7,79.3,96.9,238.5,494.3,20.5,75.9,344.4
NIFTY,W_0916_1116,monday_all_eras,547,38.3,78.9,101.5,178.0,426.2,22.9,80.1,424.7
NIFTY,W_0916_1116,monday_cur_era,39,34.4,70.6,79.7,87.4,87.4,19.3,48.4,74.1
NIFTY,W_0916_1116,dte_matched,353,36.7,79.3,96.9,238.5,494.3,20.5,75.9,344.4
NIFTY,W_0916_1116,monday_all_eras,547,38.3,78.9,101.5,178.0,426.2,22.9,80.1,424.7
NIFTY,W_0916_1116,monday_cur_era,39,34.4,70.6,79.7,87.4,87.4,19.3,48.4,74.1
NIFTY,W_0916_1116,dte_matched,353,36.7,79.3,96.9,238.5,494.3,20.5,75.9,344.4
NIFTY,W_0916_1116,monday_all_eras,547,38.3,78.9,101.5,178.0,426.2,22.9,80.1,424.7
NIFTY,W_0916_1116,monday_cur_era,39,34.4,70.6,79.7,87.4,87.4,19.3,48.4,74.1
NIFTY,W_0916_1116,dte_matched,353,36.7,79.3,96.9,238.5,494.3,20.5,75.9,344.4
NIFTY,W_0916_1116,monday_all_eras,547,38.3,78.9,101.5,178.0,426.2,22.9,80.1,424.7
NIFTY,W_0916_1116,monday_cur_era,39,34.4,70.6,79.7,87.4,87.4,19.3,48.4,74.1
NIFTY,W_0930_1000,dte_matched,353,21.3,46.1,56.8,104.2,221.2,12.5,44.1,188.3
NIFTY,W_0930_1000,monday_all_eras,548,22.4,48.0,58.1,102.4,219.2,13.4,51.0,168.0
NIFTY,W_0930_1000,monday_cur_era,39,20.6,38.2,41.9,57.6,57.6,8.7,34.1,42.7
NIFTY,W_0930_1000,dte_matched,353,21.3,46.1,56.8,104.2,221.2,12.5,44.1,188.3
NIFTY,W_0930_1000,monday_all_eras,548,22.4,48.0,58.1,102.4,219.2,13.4,51.0,168.0
NIFTY,W_0930_1000,monday_cur_era,39,20.6,38.2,41.9,57.6,57.6,8.7,34.1,42.7
NIFTY,W_0930_1000,dte_matched,353,21.3,46.1,56.8,104.2,221.2,12.5,44.1,188.3
NIFTY,W_0930_1000,monday_all_eras,548,22.4,48.0,58.1,102.4,219.2,13.4,51.0,168.0
NIFTY,W_0930_1000,monday_cur_era,39,20.6,38.2,41.9,57.6,57.6,8.7,34.1,42.7
NIFTY,W_0930_1000,dte_matched,353,21.3,46.1,56.8,104.2,221.2,12.5,44.1,188.3
NIFTY,W_0930_1000,monday_all_eras,548,22.4,48.0,58.1,102.4,219.2,13.4,51.0,168.0
NIFTY,W_0930_1000,monday_cur_era,39,20.6,38.2,41.9,57.6,57.6,8.7,34.1,42.7
NIFTY,W_0930_1000,dte_matched,353,21.3,46.1,56.8,104.2,221.2,12.5,44.1,188.3
NIFTY,W_0930_1000,monday_all_eras,548,22.4,48.0,58.1,102.4,219.2,13.4,51.0,168.0
NIFTY,W_0930_1000,monday_cur_era,39,20.6,38.2,41.9,57.6,57.6,8.7,34.1,42.7
NIFTY,W_0930_1000,dte_matched,353,21.3,46.1,56.8,104.2,221.2,12.5,44.1,188.3
NIFTY,W_0930_1000,monday_all_eras,548,22.4,48.0,58.1,102.4,219.2,13.4,51.0,168.0
NIFTY,W_0930_1000,monday_cur_era,39,20.6,38.2,41.9,57.6,57.6,8.7,34.1,42.7
NIFTY,W_0930_1000,dte_matched,353,21.3,46.1,56.8,104.2,221.2,12.5,44.1,188.3
NIFTY,W_0930_1000,monday_all_eras,548,22.4,48.0,58.1,102.4,219.2,13.4,51.0,168.0
