assets,signal,horizon,window,n_obs,ic_mean,ic_t,ic_hit,top_ann,mid_ann,bot_ann,spread_ann,monotone
SECT9,MADIST200,1m,half1,66,0.0641,1.33,59.1,7.22,15.81,0.37,6.84,False
SECT9,MADIST200,1m,half2,69,0.0222,0.47,42.0,20.17,22.68,15.67,4.51,False
SECT9,MADIST200,3m,full,133,0.046,1.43,54.9,13.53,18.23,10.55,2.98,False
SECT9,MADIST200,3m,half1,66,0.078,1.87,63.6,6.75,15.54,5.57,1.18,False
SECT9,MADIST200,3m,half2,67,0.0144,0.3,46.3,20.22,20.89,15.46,4.75,False
SECT9,ACCEL,1m,full,127,0.0524,1.37,55.1,20.47,14.24,13.38,7.09,True
SECT9,ACCEL,1m,half1,58,0.0649,1.08,56.9,15.78,14.09,5.83,9.95,True
SECT9,ACCEL,1m,half2,69,0.0418,0.85,53.6,24.42,14.36,19.73,4.69,False
SECT9,ACCEL,3m,full,125,0.0665,1.79,57.6,20.03,16.09,13.1,6.93,True
SECT9,ACCEL,3m,half1,58,0.0391,0.62,53.4,15.85,14.66,10.23,5.62,True
SECT9,ACCEL,3m,half2,67,0.0903,2.14,61.2,23.65,17.32,15.59,8.06,True
SECT9,REVERSAL21,1m,full,138,-0.012,-0.34,47.8,12.28,14.01,12.68,-0.39,False
SECT9,REVERSAL21,1m,half1,69,0.0213,0.43,50.7,5.71,9.87,3.86,1.85,False
SECT9,REVERSAL21,1m,half2,69,-0.0452,-0.91,44.9,18.86,18.16,21.5,-2.64,False
SECT9,REVERSAL21,3m,full,136,-0.0109,-0.33,42.6,13.94,13.08,13.56,0.39,False
SECT9,REVERSAL21,3m,half1,69,-0.0457,-0.9,42.0,6.36,11.41,7.29,-0.93,False
SECT9,REVERSAL21,3m,half2,67,0.0249,0.58,43.3,21.75,14.8,20.01,1.74,False
SECT9,REVERSAL63,1m,full,136,-0.049,-1.46,43.4,10.54,12.27,18.77,-8.22,False
SECT9,REVERSAL63,1m,half1,67,-0.0617,-1.3,41.8,4.29,8.43,11.41,-7.13,False
SECT9,REVERSAL63,1m,half2,69,-0.0367,-0.76,44.9,16.62,15.99,25.91,-9.29,False
SECT9,REVERSAL63,3m,full,134,-0.0553,-1.65,39.6,11.49,14.88,15.64,-4.15,False
SECT9,REVERSAL63,3m,half1,67,-0.0502,-0.97,40.3,7.45,12.26,7.75,-0.29,False
SECT9,REVERSAL63,3m,half2,67,-0.0604,-1.39,38.8,15.52,17.51,23.53,-8.01,False
SECT9,REVERSAL252,1m,full,127,-0.01,-0.29,48.0,12.86,19.13,16.11,-3.25,False
SECT9,REVERSAL252,1m,half1,58,0.0034,0.07,46.6,11.01,10.73,13.96,-2.96,False
SECT9,REVERSAL252,1m,half2,69,-0.0213,-0.45,49.3,14.41,26.2,17.91,-3.49,False
SECT9,REVERSAL252,3m,full,125,-0.0037,-0.1,43.2,15.6,17.88,15.75,-0.15,False
SECT9,REVERSAL252,3m,half1,58,-0.0279,-0.52,34.5,14.24,14.1,12.41,1.84,True
SECT9,REVERSAL252,3m,half2,67,0.0172,0.34,50.7,16.77,21.16,18.64,-1.87,False
SECT9,VOLSCMOM126,1m,full,133,0.0261,0.8,46.6,15.28,15.22,12.0,3.28,True
SECT9,VOLSCMOM126,1m,half1,64,0.0326,0.68,50.0,11.2,11.03,3.0,8.2,True
SECT9,VOLSCMOM126,1m,half2,69,0.02,0.45,43.5,19.06,19.11,20.34,-1.28,False
