src,K,slots,stocksig,clock,offset,cagr,maxdd,calmar,sharpe,vol,turnover_yr,exposure
synth20,2,15,riskadj126,Q,1,21.341,-50.353,0.424,0.677,27.223,24.74,1.004
synth20,2,15,riskadj126,Q,2,19.742,-50.202,0.393,0.628,27.155,22.12,1.004
synth20,2,15,riskadj126,Q,3,26.257,-46.298,0.567,0.824,27.28,28.16,1.004
synth20,2,15,disthigh252,M,0,15.084,-46.131,0.327,0.488,26.083,38.86,1.006
synth20,2,15,disthigh252,M,1,15.987,-43.907,0.364,0.52,25.957,40.33,1.003
synth20,2,15,disthigh252,M,2,12.642,-46.108,0.274,0.409,25.289,32.32,1.003
synth20,2,15,disthigh252,M,3,16.383,-45.423,0.361,0.538,25.529,35.77,1.003
synth20,2,15,disthigh252,Q,0,21.955,-45.832,0.479,0.673,28.738,27.22,1.015
synth20,2,15,disthigh252,Q,1,20.805,-49.698,0.419,0.647,28.132,23.98,1.004
synth20,2,15,disthigh252,Q,2,18.499,-50.206,0.368,0.577,28.147,21.59,1.004
synth20,2,15,disthigh252,Q,3,21.981,-46.959,0.468,0.686,27.859,23.16,1.004
synth20,2,20,mom126,M,0,23.081,-42.052,0.549,0.738,26.749,42.22,1.006
synth20,2,20,mom126,M,1,20.452,-45.126,0.453,0.657,26.646,38.49,1.002
synth20,2,20,mom126,M,2,18.104,-44.113,0.41,0.584,26.509,34.28,1.003
synth20,2,20,mom126,M,3,21.327,-42.726,0.499,0.683,26.751,37.29,1.003
synth20,2,20,mom126,Q,0,26.576,-43.385,0.613,0.843,26.847,31.75,1.015
synth20,2,20,mom126,Q,1,22.718,-49.968,0.455,0.724,26.904,24.95,1.004
synth20,2,20,mom126,Q,2,23.91,-49.928,0.479,0.757,27.079,27.08,1.004
synth20,2,20,mom126,Q,3,27.932,-44.593,0.626,0.875,27.211,30.47,1.004
synth20,2,20,momskip126,M,0,20.394,-41.536,0.491,0.654,26.769,38.8,1.006
synth20,2,20,momskip126,M,1,18.574,-46.44,0.4,0.591,27.122,35.91,1.002
synth20,2,20,momskip126,M,2,17.735,-45.777,0.387,0.565,27.041,33.26,1.003
synth20,2,20,momskip126,M,3,20.154,-42.082,0.479,0.648,26.617,35.11,1.003
synth20,2,20,momskip126,Q,0,26.694,-43.392,0.615,0.84,27.124,33.51,1.015
synth20,2,20,momskip126,Q,1,21.656,-49.723,0.436,0.671,28.25,24.65,1.004
synth20,2,20,momskip126,Q,2,22.711,-49.662,0.457,0.697,28.551,26.08,1.004
synth20,2,20,momskip126,Q,3,27.585,-43.805,0.63,0.866,27.133,30.85,1.004
synth20,2,20,riskadj126,M,0,20.937,-41.977,0.499,0.681,26.105,38.9,1.005
synth20,2,20,riskadj126,M,1,18.713,-45.094,0.415,0.623,25.099,36.23,1.002
synth20,2,20,riskadj126,M,2,17.212,-44.169,0.39,0.56,25.994,32.59,1.002
synth20,2,20,riskadj126,M,3,20.369,-42.803,0.476,0.66,26.293,36.76,1.003
synth20,2,20,riskadj126,Q,0,24.433,-43.759,0.558,0.796,25.937,28.55,1.015
synth20,2,20,riskadj126,Q,1,21.042,-49.897,0.422,0.682,26.228,23.66,1.004
synth20,2,20,riskadj126,Q,2,21.976,-49.842,0.441,0.709,26.416,24.93,1.004
synth20,2,20,riskadj126,Q,3,26.819,-43.687,0.614,0.845,27.066,29.75,1.004
synth20,2,20,disthigh252,M,0,19.268,-42.219,0.456,0.652,24.512,42.13,1.006
synth20,2,20,disthigh252,M,1,17.382,-44.21,0.393,0.589,24.223,39.52,1.003
synth20,2,20,disthigh252,M,2,14.817,-44.178,0.335,0.479,25.967,33.6,1.003
synth20,2,20,disthigh252,M,3,16.657,-42.863,0.389,0.542,25.974,34.84,1.003
synth20,2,20,disthigh252,Q,0,24.458,-42.536,0.575,0.787,26.405,29.58,1.015
synth20,2,20,disthigh252,Q,1,22.09,-50.145,0.441,0.716,26.237,25.16,1.004
synth20,2,20,disthigh252,Q,2,20.486,-49.619,0.413,0.669,25.97,23.59,1.004
synth20,2,20,disthigh252,Q,3,24.715,-42.873,0.576,0.791,26.616,27.09,1.004
synth20,3,10,mom126,M,0,21.944,-43.498,0.504,0.659,29.913,52.63,1.006
synth20,3,10,mom126,M,1,21.462,-41.178,0.521,0.648,29.608,50.17,1.003
synth20,3,10,mom126,M,2,21.848,-40.638,0.538,0.662,29.409,47.29,1.003
synth20,3,10,mom126,M,3,26.73,-36.26,0.737,0.8,29.268,63.19,1.003
synth20,3,10,mom126,Q,0,31.736,-43.491,0.73,0.908,30.576,49.29,1.015
synth20,3,10,mom126,Q,1,33.17,-41.021,0.809,0.952,30.211,51.13,1.004
synth20,3,10,mom126,Q,2,30.254,-41.177,0.735,0.881,29.973,40.21,1.004
synth20,3,10,mom126,Q,3,31.678,-42.889,0.739,0.918,29.983,39.26,1.004
synth20,3,10,momskip126,M,0,19.531,-41.811,0.467,0.595,29.517,50.17,1.006
synth20,3,10,momskip126,M,1,20.088,-42.919,0.468,0.614,29.151,47.22,1.003
synth20,3,10,momskip126,M,2,21.269,-39.375,0.54,0.651,28.936,50.18,1.003
synth20,3,10,momskip126,M,3,27.193,-37.066,0.734,0.819,28.948,66.48,1.003
synth20,3,10,momskip126,Q,0,32.021,-48.308,0.663,0.939,29.458,54.72,1.016
synth20,3,10,momskip126,Q,1,29.091,-47.591,0.611,0.864,29.316,43.69,1.004
synth20,3,10,momskip126,Q,2,28.238,-46.903,0.602,0.799,31.674,41.41,1.004
synth20,3,10,momskip126,Q,3,30.04,-47.505,0.632,0.883,29.589,41.01,1.004
synth20,3,10,riskadj126,M,0,20.245,-41.592,0.487,0.642,27.299,53.08,1.006
synth20,3,10,riskadj126,M,1,19.225,-39.675,0.485,0.617,26.79,48.99,1.003
synth20,3,10,riskadj126,M,2,17.546,-47.765,0.367,0.562,26.831,46.32,1.003
synth20,3,10,riskadj126,M,3,22.752,-37.096,0.613,0.709,27.905,52.12,1.003
synth20,3,10,riskadj126,Q,0,31.244,-38.178,0.818,0.873,31.655,53.04,1.015
synth20,3,10,riskadj126,Q,1,31.97,-35.395,0.903,0.953,28.77,51.64,1.004
synth20,3,10,riskadj126,Q,2,28.065,-35.865,0.783,0.849,28.593,42.33,1.004
synth20,3,10,riskadj126,Q,3,30.871,-40.132,0.769,0.869,31.364,41.55,1.004
synth20,3,10,disthigh252,M,0,15.069,-40.368,0.373,0.483,26.603,45.61,1.006
synth20,3,10,disthigh252,M,1,17.083,-40.546,0.421,0.532,28.288,51.09,1.004
synth20,3,10,disthigh252,M,2,14.733,-34.77,0.424,0.486,24.879,44.39,1.004
synth20,3,10,disthigh252,M,3,19.906,-38.386,0.519,0.647,26.153,53.5,1.004
synth20,3,10,disthigh252,Q,0,16.287,-41.863,0.389,0.492,30.401,20.79,1.013
synth20,3,10,disthigh252,Q,1,21.788,-50.024,0.436,0.607,34.418,28.31,1.004
synth20,3,10,disthigh252,Q,2,17.231,-50.722,0.34,0.536,28.4,22.21,1.004
synth20,3,10,disthigh252,Q,3,17.392,-50.051,0.347,0.53,29.623,20.53,1.005
synth20,3,15,mom126,M,0,23.283,-37.554,0.62,0.722,28.058,52.07,1.006
synth20,3,15,mom126,M,1,23.007,-39.847,0.577,0.741,26.464,51.55,1.002
synth20,3,15,mom126,M,2,21.346,-36.014,0.593,0.671,27.567,43.24,1.003
synth20,3,15,mom126,M,3,24.18,-37.105,0.652,0.764,27.166,47.49,1.003
synth20,3,15,mom126,Q,0,26.537,-41.974,0.632,0.811,28.365,33.26,1.014
synth20,3,15,mom126,Q,1,26.693,-41.905,0.637,0.822,28.006,31.88,1.004
synth20,3,15,mom126,Q,2,24.475,-44.814,0.546,0.754,28.222,28.5,1.004
synth20,3,15,mom126,Q,3,24.185,-50.352,0.48,0.751,27.877,23.38,1.004
synth20,3,15,momskip126,M,0,21.283,-38.773,0.549,0.641,29.662,49.46,1.006
synth20,3,15,momskip126,M,1,20.309,-37.206,0.546,0.612,29.768,46.28,1.003
synth20,3,15,momskip126,M,2,19.489,-37.642,0.518,0.618,27.31,38.89,1.003
synth20,3,15,momskip126,M,3,24.266,-41.322,0.587,0.765,27.27,46.4,1.003
synth20,3,15,momskip126,Q,0,28.118,-43.991,0.639,0.865,27.913,38.72,1.015
synth20,3,15,momskip126,Q,1,27.498,-45.036,0.611,0.851,27.719,37.13,1.004
synth20,3,15,momskip126,Q,2,26.067,-45.774,0.569,0.811,27.649,31.67,1.004
synth20,3,15,momskip126,Q,3,26.911,-46.358,0.581,0.804,29.224,29.12,1.004
synth20,3,15,riskadj126,M,0,19.966,-37.565,0.532,0.656,25.737,46.52,1.006
synth20,3,15,riskadj126,M,1,17.473,-37.414,0.467,0.577,25.378,39.61,1.003
synth20,3,15,riskadj126,M,2,19.781,-35.998,0.55,0.641,26.299,44.39,1.003
synth20,3,15,riskadj126,M,3,22.187,-34.285,0.647,0.72,26.156,46.22,1.003
synth20,3,15,riskadj126,Q,0,23.879,-41.151,0.58,0.76,26.894,29.3,1.014
synth20,3,15,riskadj126,Q,1,25.706,-42.314,0.608,0.818,26.744,31.03,1.004
synth20,3,15,riskadj126,Q,2,24.388,-42.908,0.568,0.778,26.739,28.01,1.004
synth20,3,15,riskadj126,Q,3,24.914,-45.885,0.543,0.797,26.615,27.0,1.004
synth20,3,15,disthigh252,M,0,15.073,-41.769,0.361,0.493,25.522,43.33,1.006
synth20,3,15,disthigh252,M,1,16.324,-36.923,0.442,0.554,24.029,45.64,1.003
synth20,3,15,disthigh252,M,2,16.421,-32.452,0.506,0.566,23.366,45.3,1.003
synth20,3,15,disthigh252,M,3,22.119,-30.0,0.737,0.772,23.465,58.69,1.004
synth20,3,15,disthigh252,Q,0,17.066,-42.653,0.4,0.533,28.176,20.69,1.013
synth20,3,15,disthigh252,Q,1,22.584,-42.905,0.526,0.706,27.752,28.22,1.004
synth20,3,15,disthigh252,Q,2,19.386,-43.525,0.445,0.637,25.633,23.31,1.004
synth20,3,15,disthigh252,Q,3,19.389,-46.107,0.421,0.626,26.427,21.23,1.004
synth20,3,20,mom126,M,0,23.629,-36.743,0.643,0.754,26.811,48.47,1.006
synth20,3,20,mom126,M,1,20.52,-36.435,0.563,0.657,26.796,42.13,1.002
synth20,3,20,mom126,M,2,20.827,-38.013,0.548,0.653,27.701,40.14,1.003
synth20,3,20,mom126,M,3,25.126,-39.224,0.641,0.787,27.442,47.09,1.003
synth20,3,20,mom126,Q,0,24.242,-44.716,0.542,0.763,27.357,26.89,1.014
synth20,3,20,mom126,Q,1,25.663,-47.468,0.541,0.806,27.293,27.67,1.004
synth20,3,20,mom126,Q,2,24.856,-44.889,0.554,0.78,27.41,27.28,1.004
synth20,3,20,mom126,Q,3,25.534,-48.322,0.528,0.811,26.849,26.21,1.004
synth20,3,20,momskip126,M,0,21.344,-32.496,0.657,0.685,26.674,46.21,1.006
synth20,3,20,momskip126,M,1,18.768,-35.681,0.526,0.588,27.822,38.74,1.002
synth20,3,20,momskip126,M,2,20.123,-35.132,0.573,0.634,27.466,39.02,1.003
synth20,3,20,momskip126,M,3,23.685,-40.155,0.59,0.743,27.483,42.92,1.003
synth20,3,20,momskip126,Q,0,25.029,-40.265,0.622,0.797,26.785,29.33,1.014
synth20,3,20,momskip126,Q,1,23.644,-42.113,0.561,0.76,26.482,27.03,1.004
synth20,3,20,momskip126,Q,2,23.871,-42.598,0.56,0.757,27.016,27.26,1.004
synth20,3,20,momskip126,Q,3,25.25,-44.671,0.565,0.797,27.107,26.8,1.004
synth20,3,20,riskadj126,M,0,19.575,-33.813,0.579,0.654,25.012,40.54,1.005
synth20,3,20,riskadj126,M,1,18.983,-32.263,0.588,0.626,25.481,39.89,1.002
synth20,3,20,riskadj126,M,2,19.788,-32.076,0.617,0.653,25.497,38.9,1.003
synth20,3,20,riskadj126,M,3,21.899,-35.33,0.62,0.729,25.139,41.37,1.003
synth20,3,20,riskadj126,Q,0,22.586,-41.817,0.54,0.728,26.436,25.13,1.014
synth20,3,20,riskadj126,Q,1,22.418,-45.269,0.495,0.724,26.35,24.77,1.004
synth20,3,20,riskadj126,Q,2,23.505,-42.509,0.553,0.758,26.336,27.35,1.004
synth20,3,20,riskadj126,Q,3,22.979,-46.857,0.49,0.773,24.768,23.54,1.004
synth20,3,20,disthigh252,M,0,19.803,-33.209,0.596,0.666,24.775,50.52,1.006
synth20,3,20,disthigh252,M,1,18.781,-36.328,0.517,0.658,23.161,49.62,1.003
synth20,3,20,disthigh252,M,2,19.145,-30.47,0.628,0.677,22.866,48.5,1.003
synth20,3,20,disthigh252,M,3,21.83,-31.228,0.699,0.777,22.826,54.17,1.003
synth20,3,20,disthigh252,Q,0,21.925,-39.205,0.559,0.694,27.199,26.5,1.014
synth20,3,20,disthigh252,Q,1,26.386,-38.987,0.677,0.875,25.178,34.05,1.004
synth20,3,20,disthigh252,Q,2,22.486,-41.293,0.545,0.748,25.177,26.68,1.004
synth20,3,20,disthigh252,Q,3,22.325,-45.416,0.492,0.755,24.592,24.08,1.004
synth20,4,10,mom126,M,0,23.763,-47.312,0.502,0.706,30.165,55.41,1.006
synth20,4,10,mom126,M,1,23.007,-42.665,0.539,0.685,30.125,53.3,1.002
synth20,4,10,mom126,M,2,18.658,-45.906,0.406,0.562,30.349,41.99,1.003
synth20,4,10,mom126,M,3,24.22,-39.136,0.619,0.723,29.775,52.13,1.003
synth20,4,10,mom126,Q,0,33.36,-41.403,0.806,0.956,30.252,51.38,1.016
synth20,4,10,mom126,Q,1,30.874,-40.397,0.764,0.896,30.053,51.47,1.004
synth20,4,10,mom126,Q,2,31.253,-42.682,0.732,0.91,29.846,43.02,1.004
synth20,4,10,mom126,Q,3,30.6,-42.86,0.714,0.901,29.443,41.33,1.004
synth20,4,10,momskip126,M,0,24.826,-43.743,0.568,0.746,29.422,68.47,1.006
synth20,4,10,momskip126,M,1,22.306,-44.538,0.501,0.677,29.236,55.44,1.003
synth20,4,10,momskip126,M,2,23.321,-44.672,0.522,0.7,29.684,63.85,1.003
synth20,4,10,momskip126,M,3,26.521,-42.012,0.631,0.791,29.475,63.33,1.003
synth20,4,10,momskip126,Q,0,34.113,-42.671,0.799,0.991,29.54,67.77,1.017
synth20,4,10,momskip126,Q,1,28.038,-46.379,0.605,0.837,29.23,43.72,1.004
synth20,4,10,momskip126,Q,2,26.876,-46.975,0.572,0.771,31.222,39.08,1.004
synth20,4,10,momskip126,Q,3,27.283,-48.243,0.566,0.818,29.092,38.3,1.004
synth20,4,10,riskadj126,M,0,19.515,-39.225,0.498,0.622,27.137,49.75,1.006
synth20,4,10,riskadj126,M,1,21.53,-38.76,0.555,0.686,27.01,55.49,1.003
synth20,4,10,riskadj126,M,2,18.665,-47.378,0.394,0.592,27.369,49.53,1.003
synth20,4,10,riskadj126,M,3,24.249,-41.966,0.578,0.742,28.59,53.45,1.003
synth20,4,10,riskadj126,Q,0,34.138,-40.862,0.835,0.953,31.18,59.22,1.016
synth20,4,10,riskadj126,Q,1,33.828,-38.125,0.887,1.011,28.436,59.18,1.004
synth20,4,10,riskadj126,Q,2,32.151,-41.276,0.779,0.973,28.091,51.02,1.004
synth20,4,10,riskadj126,Q,3,32.149,-39.592,0.812,0.907,31.017,48.28,1.004
synth20,4,10,disthigh252,M,0,16.677,-39.892,0.418,0.543,25.995,53.71,1.007
synth20,4,10,disthigh252,M,1,20.495,-41.435,0.495,0.637,28.184,67.01,1.004
synth20,4,10,disthigh252,M,2,16.744,-37.837,0.443,0.556,25.069,54.57,1.004
synth20,4,10,disthigh252,M,3,16.142,-42.904,0.376,0.524,26.081,47.83,1.004
synth20,4,10,disthigh252,Q,0,17.65,-41.982,0.42,0.535,29.952,23.71,1.013
synth20,4,10,disthigh252,Q,1,18.254,-50.624,0.361,0.519,34.421,26.84,1.004
synth20,4,10,disthigh252,Q,2,18.472,-48.572,0.38,0.571,28.678,23.16,1.005
synth20,4,10,disthigh252,Q,3,17.232,-50.704,0.34,0.541,27.907,18.17,1.005
synth20,4,15,mom126,M,0,24.241,-43.593,0.556,0.75,28.109,52.95,1.006
synth20,4,15,mom126,M,1,21.913,-39.29,0.558,0.701,26.824,46.19,1.002
synth20,4,15,mom126,M,2,20.861,-39.428,0.529,0.665,27.018,43.04,1.003
synth20,4,15,mom126,M,3,22.884,-41.548,0.551,0.716,27.717,43.21,1.003
synth20,4,15,mom126,Q,0,27.339,-41.477,0.659,0.837,28.195,33.29,1.014
synth20,4,15,mom126,Q,1,25.852,-42.213,0.612,0.795,28.153,32.06,1.004
synth20,4,15,mom126,Q,2,25.786,-42.156,0.612,0.794,28.112,30.26,1.004
synth20,4,15,mom126,Q,3,25.847,-43.829,0.59,0.805,27.628,29.02,1.004
synth20,4,15,momskip126,M,0,22.563,-41.966,0.538,0.679,29.542,54.63,1.006
synth20,4,15,momskip126,M,1,21.396,-40.539,0.528,0.673,27.568,47.07,1.002
synth20,4,15,momskip126,M,2,20.298,-38.068,0.533,0.636,27.803,45.99,1.003
synth20,4,15,momskip126,M,3,24.648,-41.89,0.588,0.773,27.457,53.49,1.003
synth20,4,15,momskip126,Q,0,30.812,-40.472,0.761,0.949,27.554,46.41,1.015
synth20,4,15,momskip126,Q,1,25.335,-44.8,0.566,0.79,27.608,33.55,1.004
synth20,4,15,momskip126,Q,2,27.176,-43.299,0.628,0.85,27.317,37.1,1.004
synth20,4,15,momskip126,Q,3,26.207,-44.668,0.587,0.791,28.893,32.3,1.004
synth20,4,15,riskadj126,M,0,21.188,-36.571,0.579,0.697,25.689,49.86,1.006
synth20,4,15,riskadj126,M,1,19.034,-37.823,0.503,0.625,25.738,41.34,1.002
synth20,4,15,riskadj126,M,2,18.42,-37.754,0.488,0.59,26.845,43.43,1.003
synth20,4,15,riskadj126,M,3,21.779,-36.422,0.598,0.701,26.536,46.77,1.003
synth20,4,15,riskadj126,Q,0,27.01,-37.618,0.718,0.859,26.694,36.36,1.014
synth20,4,15,riskadj126,Q,1,24.627,-40.803,0.604,0.788,26.632,30.61,1.004
synth20,4,15,riskadj126,Q,2,25.422,-40.685,0.625,0.813,26.567,31.14,1.004
synth20,4,15,riskadj126,Q,3,25.694,-41.251,0.623,0.825,26.413,31.07,1.004
synth20,4,15,disthigh252,M,0,18.186,-38.533,0.472,0.618,24.217,56.19,1.006
synth20,4,15,disthigh252,M,1,21.224,-35.46,0.599,0.726,24.164,64.32,1.003
synth20,4,15,disthigh252,M,2,15.554,-35.282,0.441,0.543,22.712,47.75,1.004
synth20,4,15,disthigh252,M,3,18.792,-32.426,0.58,0.663,22.902,51.83,1.004
synth20,4,15,disthigh252,Q,0,15.771,-44.655,0.353,0.511,26.063,19.72,1.012
synth20,4,15,disthigh252,Q,1,19.076,-47.139,0.405,0.602,27.575,23.89,1.004
synth20,4,15,disthigh252,Q,2,17.407,-45.062,0.386,0.576,25.213,21.41,1.004
synth20,4,15,disthigh252,Q,3,18.457,-45.4,0.407,0.616,24.937,19.81,1.005
synth20,4,20,mom126,M,0,25.902,-39.528,0.655,0.817,27.093,54.93,1.006
synth20,4,20,mom126,M,1,23.879,-37.027,0.645,0.758,26.997,50.37,1.002
synth20,4,20,mom126,M,2,22.018,-37.187,0.592,0.683,28.1,45.53,1.002
synth20,4,20,mom126,M,3,24.891,-44.161,0.564,0.773,27.795,46.49,1.003
synth20,4,20,mom126,Q,0,26.503,-40.463,0.655,0.829,27.372,29.56,1.014
synth20,4,20,mom126,Q,1,23.19,-45.386,0.511,0.728,27.548,25.05,1.004
synth20,4,20,mom126,Q,2,22.938,-45.277,0.507,0.726,27.145,24.54,1.004
synth20,4,20,mom126,Q,3,24.254,-51.081,0.475,0.775,26.701,24.42,1.004
synth20,4,20,momskip126,M,0,23.874,-40.028,0.596,0.761,26.803,53.82,1.006
synth20,4,20,momskip126,M,1,22.686,-38.082,0.596,0.726,26.682,47.33,1.002
synth20,4,20,momskip126,M,2,20.632,-40.85,0.505,0.662,26.666,40.08,1.002
synth20,4,20,momskip126,M,3,23.959,-49.136,0.488,0.769,26.526,44.32,1.003
synth20,4,20,momskip126,Q,0,28.041,-39.432,0.711,0.887,26.804,36.76,1.015
synth20,4,20,momskip126,Q,1,24.781,-39.962,0.62,0.795,26.493,30.47,1.004
synth20,4,20,momskip126,Q,2,23.61,-43.354,0.545,0.759,26.449,27.8,1.004
synth20,4,20,momskip126,Q,3,23.614,-46.266,0.51,0.762,26.315,25.66,1.004
synth20,4,20,riskadj126,M,0,21.899,-42.224,0.519,0.732,25.038,47.27,1.006
synth20,4,20,riskadj126,M,1,20.669,-37.516,0.551,0.679,25.68,43.03,1.002
synth20,4,20,riskadj126,M,2,18.172,-36.484,0.498,0.595,25.76,38.16,1.002
synth20,4,20,riskadj126,M,3,20.827,-38.236,0.545,0.687,25.527,42.55,1.003
synth20,4,20,riskadj126,Q,0,23.587,-37.743,0.625,0.751,26.827,26.67,1.013
synth20,4,20,riskadj126,Q,1,22.362,-42.118,0.531,0.73,25.924,25.52,1.004
synth20,4,20,riskadj126,Q,2,20.13,-41.915,0.48,0.675,24.86,22.22,1.004
synth20,4,20,riskadj126,Q,3,22.975,-43.24,0.531,0.779,24.498,25.03,1.004
synth20,4,20,disthigh252,M,0,19.366,-37.506,0.516,0.667,23.842,52.99,1.006
synth20,4,20,disthigh252,M,1,22.066,-37.361,0.591,0.789,22.702,63.5,1.003
synth20,4,20,disthigh252,M,2,19.235,-31.547,0.61,0.703,21.781,53.22,1.003
synth20,4,20,disthigh252,M,3,20.304,-36.473,0.557,0.742,21.888,54.03,1.003
synth20,4,20,disthigh252,Q,0,17.585,-38.056,0.462,0.585,25.017,20.09,1.012
synth20,4,20,disthigh252,Q,1,19.409,-39.13,0.496,0.645,25.184,23.11,1.004
synth20,4,20,disthigh252,Q,2,18.531,-44.888,0.413,0.644,23.414,19.66,1.004
synth20,4,20,disthigh252,Q,3,16.115,-47.708,0.338,0.55,23.725,17.41,1.004
synth20,5,10,mom126,M,0,21.405,-42.156,0.508,0.612,33.087,48.41,1.006
synth20,5,10,mom126,M,1,23.889,-44.14,0.541,0.672,33.275,52.26,1.002
synth20,5,10,mom126,M,2,20.654,-45.488,0.454,0.592,33.12,44.0,1.003
synth20,5,10,mom126,M,3,19.563,-48.378,0.404,0.567,32.759,39.03,1.003
synth20,5,10,mom126,Q,0,30.971,-39.067,0.793,0.834,33.783,45.44,1.015
synth20,5,10,mom126,Q,1,30.437,-38.83,0.784,0.826,33.472,46.98,1.004
synth20,5,10,mom126,Q,2,29.005,-39.891,0.727,0.794,33.355,39.13,1.004
synth20,5,10,mom126,Q,3,27.776,-41.964,0.662,0.772,32.833,35.99,1.004
synth20,5,10,momskip126,M,0,23.547,-42.352,0.556,0.674,32.228,64.36,1.006
