symbol,timeframe,variant,direction,exit_policy,n_signals,mean_net_pts,std_net_pts,median_net_pts,p25_net_pts,p75_net_pts,mean_net_pct,std_net_pct,win_rate,avg_win_pct,avg_loss_pct,payoff_ratio,mean_mfe_pct,mean_mae_pct,capture_efficiency,sharpe_score,expectancy_pct
RELIANCE,5min,l_vm3.0_gapoff_rsi40_60,long,T_CHANDELIER_1.0,6,22.5167,17.036,16.95,12.8,34.6,0.015784,0.012118,83.33,1.9017,-0.0384,49.524,2.0628,0.504,0.7652,1.08546,1.5784
RELIANCE,5min,l_vm3.0_gapoff_rsi40_60,long,T_CHANDELIER_1.5,6,22.5167,17.036,16.95,12.8,34.6,0.015784,0.012118,83.33,1.9017,-0.0384,49.524,2.0628,0.504,0.7652,1.08546,1.5784
RELIANCE,5min,l_vm3.0_gapoff_rsi40_60,long,T_CHANDELIER_2.0,6,22.5167,17.036,16.95,12.8,34.6,0.015784,0.012118,83.33,1.9017,-0.0384,49.524,2.0628,0.504,0.7652,1.08546,1.5784
RELIANCE,15min,s_vm3.0_gap0.000_norsi,short,T_R_TARGET_3.0R,7,14.9786,11.9722,13.8,9.5,22.325,0.010447,0.008383,85.71,1.2795,-0.3638,3.517,1.8911,0.766,0.5525,1.06815,1.0447
RELIANCE,15min,s_vm3.0_gapoff_norsi,short,T_R_TARGET_3.0R,7,14.9786,11.9722,13.8,9.5,22.325,0.010447,0.008383,85.71,1.2795,-0.3638,3.517,1.8911,0.766,0.5525,1.06815,1.0447
RELIANCE,15min,l_vm2.0_gap0.000_rsi40_60,long,T_NO,11,15.2,13.6187,12.65,8.0,15.3,0.010942,0.009518,90.91,1.2228,-0.1913,6.392,1.5804,0.4459,0.6923,1.04513,1.0942
RELIANCE,15min,l_vm2.0_gap0.000_rsi40_60,long,T_ATR_SL_1.0,11,15.2,13.6187,12.65,8.0,15.3,0.010942,0.009518,90.91,1.2228,-0.1913,6.392,1.5804,0.4459,0.6923,1.04513,1.0942
RELIANCE,15min,l_vm2.0_gap0.000_rsi40_60,long,T_CHANDELIER_1.0,11,15.2,13.6187,12.65,8.0,15.3,0.010942,0.009518,90.91,1.2228,-0.1913,6.392,1.5804,0.4459,0.6923,1.04513,1.0942
RELIANCE,15min,l_vm2.0_gap0.000_rsi40_60,long,T_CHANDELIER_1.5,11,15.2,13.6187,12.65,8.0,15.3,0.010942,0.009518,90.91,1.2228,-0.1913,6.392,1.5804,0.4459,0.6923,1.04513,1.0942
RELIANCE,15min,l_vm2.0_gap0.000_rsi40_60,long,T_CHANDELIER_2.0,11,15.2,13.6187,12.65,8.0,15.3,0.010942,0.009518,90.91,1.2228,-0.1913,6.392,1.5804,0.4459,0.6923,1.04513,1.0942
RELIANCE,15min,s_vm3.0_gap0.000_norsi,short,T_R_TARGET_2.0R,7,13.8214,11.4366,11.8,8.2,21.9,0.00964,0.008,85.71,1.1854,-0.3638,3.258,1.7841,0.766,0.5403,1.03294,0.964
RELIANCE,15min,s_vm3.0_gapoff_norsi,short,T_R_TARGET_2.0R,7,13.8214,11.4366,11.8,8.2,21.9,0.00964,0.008,85.71,1.1854,-0.3638,3.258,1.7841,0.766,0.5403,1.03294,0.964
RELIANCE,15min,s_vm3.0_gap0.003_norsi,short,T_R_TARGET_3.0R,5,17.17,13.4812,14.8,13.8,29.85,0.01194,0.009455,80.0,1.5835,-0.3638,4.353,2.2695,0.6315,0.5261,1.01029,1.194
RELIANCE,15min,s_vm3.0_gap0.005_norsi,short,T_R_TARGET_3.0R,5,17.17,13.4812,14.8,13.8,29.85,0.01194,0.009455,80.0,1.5835,-0.3638,4.353,2.2695,0.6315,0.5261,1.01029,1.194
RELIANCE,15min,l_vm2.0_gap0.003_rsi40_60,long,T_NO,8,16.3313,15.7872,11.925,5.6375,21.325,0.01189,0.010989,87.5,1.3862,-0.1913,7.246,1.5805,0.3825,0.7523,0.9468,1.189
RELIANCE,15min,l_vm2.0_gap0.003_rsi40_60,long,T_ATR_SL_1.0,8,16.3313,15.7872,11.925,5.6375,21.325,0.01189,0.010989,87.5,1.3862,-0.1913,7.246,1.5805,0.3825,0.7523,0.9468,1.189
RELIANCE,15min,l_vm2.0_gap0.003_rsi40_60,long,T_CHANDELIER_1.0,8,16.3313,15.7872,11.925,5.6375,21.325,0.01189,0.010989,87.5,1.3862,-0.1913,7.246,1.5805,0.3825,0.7523,0.9468,1.189
RELIANCE,15min,l_vm2.0_gap0.003_rsi40_60,long,T_CHANDELIER_1.5,8,16.3313,15.7872,11.925,5.6375,21.325,0.01189,0.010989,87.5,1.3862,-0.1913,7.246,1.5805,0.3825,0.7523,0.9468,1.189
RELIANCE,15min,l_vm2.0_gap0.003_rsi40_60,long,T_CHANDELIER_2.0,8,16.3313,15.7872,11.925,5.6375,21.325,0.01189,0.010989,87.5,1.3862,-0.1913,7.246,1.5805,0.3825,0.7523,0.9468,1.189
RELIANCE,15min,l_vm2.0_gap0.005_rsi40_60,long,T_NO,8,16.3313,15.7872,11.925,5.6375,21.325,0.01189,0.010989,87.5,1.3862,-0.1913,7.246,1.5805,0.3825,0.7523,0.9468,1.189
RELIANCE,15min,l_vm2.0_gap0.005_rsi40_60,long,T_ATR_SL_1.0,8,16.3313,15.7872,11.925,5.6375,21.325,0.01189,0.010989,87.5,1.3862,-0.1913,7.246,1.5805,0.3825,0.7523,0.9468,1.189
RELIANCE,15min,l_vm2.0_gap0.005_rsi40_60,long,T_CHANDELIER_1.0,8,16.3313,15.7872,11.925,5.6375,21.325,0.01189,0.010989,87.5,1.3862,-0.1913,7.246,1.5805,0.3825,0.7523,0.9468,1.189
RELIANCE,15min,l_vm2.0_gap0.005_rsi40_60,long,T_CHANDELIER_1.5,8,16.3313,15.7872,11.925,5.6375,21.325,0.01189,0.010989,87.5,1.3862,-0.1913,7.246,1.5805,0.3825,0.7523,0.9468,1.189
RELIANCE,15min,l_vm2.0_gap0.005_rsi40_60,long,T_CHANDELIER_2.0,8,16.3313,15.7872,11.925,5.6375,21.325,0.01189,0.010989,87.5,1.3862,-0.1913,7.246,1.5805,0.3825,0.7523,0.9468,1.189
RELIANCE,15min,s_vm3.0_gap0.003_norsi,short,T_R_TARGET_2.0R,5,15.55,13.0591,14.8,9.2,29.0,0.010811,0.009143,80.0,1.4423,-0.3638,3.964,2.1198,0.6315,0.51,0.94588,1.0811
RELIANCE,15min,s_vm3.0_gap0.005_norsi,short,T_R_TARGET_2.0R,5,15.55,13.0591,14.8,9.2,29.0,0.010811,0.009143,80.0,1.4423,-0.3638,3.964,2.1198,0.6315,0.51,0.94588,1.0811
RELIANCE,15min,l_vm3.0_gap0.000_norsi,long,T_R_TARGET_1.5R,6,8.5,8.3677,10.525,5.5875,15.425,0.00596,0.005853,83.33,0.8195,-0.5216,1.571,0.9967,0.1801,0.598,0.84865,0.596
RELIANCE,15min,l_vm3.0_gapoff_norsi,long,T_R_TARGET_1.5R,6,8.5,8.3677,10.525,5.5875,15.425,0.00596,0.005853,83.33,0.8195,-0.5216,1.571,0.9967,0.1801,0.598,0.84865,0.596
RELIANCE,5min,l_vm3.0_gap0.000_rsi40_60,long,T_ATR_SL_0.5,6,20.684,19.7834,16.95,12.8,34.6,0.014374,0.014224,83.33,1.9017,-0.884,2.151,2.0628,0.4707,0.6969,0.84211,1.4374
RELIANCE,5min,l_vm3.0_gapoff_rsi40_60,long,T_ATR_SL_0.5,6,20.684,19.7834,16.95,12.8,34.6,0.014374,0.014224,83.33,1.9017,-0.884,2.151,2.0628,0.4707,0.6969,0.84211,1.4374
BHARTIARTL,15min,l_vm2.0_gapoff_rsi40_60,long,T_R_TARGET_1.0R,5,7.91,7.0413,6.95,3.0,13.8,0.005317,0.005067,80.0,0.6914,-0.1072,6.45,1.1027,0.3787,0.4822,0.83952,0.5317
BHARTIARTL,15min,l_vm2.0_gap0.000_norsi,long,T_R_TARGET_1.0R,5,8.22,7.0264,8.5,3.0,13.8,0.005253,0.005081,80.0,0.6834,-0.1072,6.375,1.0817,0.2897,0.4856,0.82709,0.5253
BHARTIARTL,15min,l_vm2.0_gap0.003_norsi,long,T_R_TARGET_1.0R,5,8.22,7.0264,8.5,3.0,13.8,0.005253,0.005081,80.0,0.6834,-0.1072,6.375,1.0817,0.2897,0.4856,0.82709,0.5253
BHARTIARTL,15min,l_vm2.0_gap0.005_norsi,long,T_R_TARGET_1.0R,5,8.22,7.0264,8.5,3.0,13.8,0.005253,0.005081,80.0,0.6834,-0.1072,6.375,1.0817,0.2897,0.4856,0.82709,0.5253
RELIANCE,15min,s_vm3.0_gap0.000_norsi,short,T_CHANDELIER_2.0,7,17.2064,17.8182,14.8,9.5,31.7223,0.011954,0.012465,85.71,1.5932,-1.1912,1.337,2.2258,0.9739,0.5371,0.82203,1.1954
RELIANCE,15min,s_vm3.0_gapoff_norsi,short,T_CHANDELIER_2.0,7,17.2064,17.8182,14.8,9.5,31.7223,0.011954,0.012465,85.71,1.5932,-1.1912,1.337,2.2258,0.9739,0.5371,0.82203,1.1954
RELIANCE,15min,s_vm3.0_gap0.000_norsi,short,T_NO,7,17.05,17.7014,14.8,9.5,31.175,0.011846,0.012385,85.71,1.5806,-1.1912,1.327,2.2258,0.9739,0.5322,0.81981,1.1846
RELIANCE,15min,s_vm3.0_gapoff_norsi,short,T_NO,7,17.05,17.7014,14.8,9.5,31.175,0.011846,0.012385,85.71,1.5806,-1.1912,1.327,2.2258,0.9739,0.5322,0.81981,1.1846
RELIANCE,15min,l_vm3.0_gap0.000_norsi,long,T_CHANDELIER_1.0,6,17.8897,18.7833,14.625,6.35,30.775,0.012652,0.013142,83.33,1.6365,-0.5915,2.767,1.931,0.4465,0.6552,0.80227,1.2652
RELIANCE,15min,l_vm3.0_gapoff_norsi,long,T_CHANDELIER_1.0,6,17.8897,18.7833,14.625,6.35,30.775,0.012652,0.013142,83.33,1.6365,-0.5915,2.767,1.931,0.4465,0.6552,0.80227,1.2652
RELIANCE,15min,s_vm3.0_gap0.003_norsi,short,T_CHANDELIER_2.0,5,20.2889,20.2265,30.9446,14.8,32.5,0.01405,0.014176,80.0,2.054,-1.1912,1.724,2.7382,0.9226,0.5131,0.7929,1.405
RELIANCE,15min,s_vm3.0_gap0.005_norsi,short,T_CHANDELIER_2.0,5,20.2889,20.2265,30.9446,14.8,32.5,0.01405,0.014176,80.0,2.054,-1.1912,1.724,2.7382,0.9226,0.5131,0.7929,1.405
RELIANCE,15min,s_vm3.0_gap0.003_norsi,short,T_NO,5,20.07,20.1156,29.85,14.8,32.5,0.013898,0.0141,80.0,2.0351,-1.1912,1.708,2.7382,0.9226,0.5076,0.78855,1.3898
RELIANCE,15min,s_vm3.0_gap0.005_norsi,short,T_NO,5,20.07,20.1156,29.85,14.8,32.5,0.013898,0.0141,80.0,2.0351,-1.1912,1.708,2.7382,0.9226,0.5076,0.78855,1.3898
BHARTIARTL,15min,l_vm2.0_gapoff_rsi40_60,long,T_R_TARGET_2.0R,5,12.67,12.5013,6.95,3.0,27.6,0.008495,0.008669,80.0,1.0887,-0.1072,10.156,1.4422,0.3787,0.5891,0.78397,0.8495
RELIANCE,15min,l_vm2.0_gap0.000_norsi,long,T_CHANDELIER_1.0,12,13.1824,14.6558,11.925,5.6375,14.65,0.009537,0.010235,83.33,1.2228,-0.3914,3.124,1.5171,0.4804,0.6286,0.77656,0.9537
BHARTIARTL,15min,l_vm2.0_gap0.000_norsi,long,T_R_TARGET_2.0R,5,12.98,12.3742,8.5,3.0,27.6,0.008431,0.008701,80.0,1.0807,-0.1072,10.081,1.4213,0.2897,0.5932,0.77521,0.8431
BHARTIARTL,15min,l_vm2.0_gap0.003_norsi,long,T_R_TARGET_2.0R,5,12.98,12.3742,8.5,3.0,27.6,0.008431,0.008701,80.0,1.0807,-0.1072,10.081,1.4213,0.2897,0.5932,0.77521,0.8431
BHARTIARTL,15min,l_vm2.0_gap0.005_norsi,long,T_R_TARGET_2.0R,5,12.98,12.3742,8.5,3.0,27.6,0.008431,0.008701,80.0,1.0807,-0.1072,10.081,1.4213,0.2897,0.5932,0.77521,0.8431
BHARTIARTL,15min,l_vm2.0_gapoff_rsi40_60,long,T_R_TARGET_1.5R,5,11.05,10.7283,6.95,3.0,20.7,0.007482,0.007727,80.0,0.9621,-0.1072,8.975,1.3091,0.3787,0.5716,0.77464,0.7482
RELIANCE,15min,l_vm3.0_gap0.000_norsi,long,T_ATR_SL_0.5,6,17.599,19.2061,14.625,6.35,30.775,0.012461,0.013415,83.33,1.6365,-0.706,2.318,1.931,0.4465,0.6453,0.77405,1.2461
RELIANCE,15min,l_vm3.0_gapoff_norsi,long,T_ATR_SL_0.5,6,17.599,19.2061,14.625,6.35,30.775,0.012461,0.013415,83.33,1.6365,-0.706,2.318,1.931,0.4465,0.6453,0.77405,1.2461
BHARTIARTL,15min,l_vm2.0_gap0.000_norsi,long,T_R_TARGET_1.5R,5,11.36,10.6272,8.5,3.0,20.7,0.007418,0.007754,80.0,0.9541,-0.1072,8.9,1.2881,0.2897,0.5759,0.7653,0.7418
BHARTIARTL,15min,l_vm2.0_gap0.003_norsi,long,T_R_TARGET_1.5R,5,11.36,10.6272,8.5,3.0,20.7,0.007418,0.007754,80.0,0.9541,-0.1072,8.9,1.2881,0.2897,0.5759,0.7653,0.7418
BHARTIARTL,15min,l_vm2.0_gap0.005_norsi,long,T_R_TARGET_1.5R,5,11.36,10.6272,8.5,3.0,20.7,0.007418,0.007754,80.0,0.9541,-0.1072,8.9,1.2881,0.2897,0.5759,0.7653,0.7418
BHARTIARTL,15min,l_vm2.0_gapoff_rsi40_60,long,T_R_TARGET_3.0R,5,15.43,16.4063,6.95,3.0,27.6,0.010158,0.010642,80.0,1.2965,-0.1072,12.095,1.6073,0.3787,0.632,0.76362,1.0158
BHARTIARTL,15min,l_vm2.0_gapoff_rsi40_60,long,T_NO,5,15.49,16.5015,6.95,3.0,27.6,0.010194,0.010692,80.0,1.3011,-0.1072,12.137,1.7043,0.3787,0.5982,0.76272,1.0194
BHARTIARTL,15min,l_vm2.0_gapoff_rsi40_60,long,T_HARD_SL,5,15.49,16.5015,6.95,3.0,27.6,0.010194,0.010692,80.0,1.3011,-0.1072,12.137,1.7043,0.3787,0.5982,0.76272,1.0194
BHARTIARTL,15min,l_vm2.0_gapoff_rsi40_60,long,T_ATR_SL_0.5,5,15.49,16.5015,6.95,3.0,27.6,0.010194,0.010692,80.0,1.3011,-0.1072,12.137,1.7043,0.3787,0.5982,0.76272,1.0194
BHARTIARTL,15min,l_vm2.0_gapoff_rsi40_60,long,T_ATR_SL_1.0,5,15.49,16.5015,6.95,3.0,27.6,0.010194,0.010692,80.0,1.3011,-0.1072,12.137,1.7043,0.3787,0.5982,0.76272,1.0194
BHARTIARTL,15min,l_vm2.0_gapoff_rsi40_60,long,T_CHANDELIER_1.5,5,15.49,16.5015,6.95,3.0,27.6,0.010194,0.010692,80.0,1.3011,-0.1072,12.137,1.7043,0.3787,0.5982,0.76272,1.0194
BHARTIARTL,15min,l_vm2.0_gapoff_rsi40_60,long,T_CHANDELIER_2.0,5,15.49,16.5015,6.95,3.0,27.6,0.010194,0.010692,80.0,1.3011,-0.1072,12.137,1.7043,0.3787,0.5982,0.76272,1.0194
RELIANCE,15min,l_vm3.0_gap0.003_norsi,long,T_CHANDELIER_1.0,5,18.9377,20.4153,16.6,4.25,35.5,0.013551,0.014226,80.0,1.8418,-0.5915,3.114,1.9363,0.4436,0.6998,0.76204,1.3551
RELIANCE,15min,l_vm3.0_gap0.005_norsi,long,T_CHANDELIER_1.0,5,18.9377,20.4153,16.6,4.25,35.5,0.013551,0.014226,80.0,1.8418,-0.5915,3.114,1.9363,0.4436,0.6998,0.76204,1.3551
RELIANCE,15min,l_vm3.0_gap0.000_norsi,long,T_R_TARGET_1.0R,6,8.4167,9.4787,8.25,3.725,16.3,0.005782,0.006353,83.33,0.7982,-0.5216,1.53,0.8176,0.1801,0.7072,0.75845,0.5782
RELIANCE,15min,l_vm3.0_gapoff_norsi,long,T_R_TARGET_1.0R,6,8.4167,9.4787,8.25,3.725,16.3,0.005782,0.006353,83.33,0.7982,-0.5216,1.53,0.8176,0.1801,0.7072,0.75845,0.5782
BHARTIARTL,15min,l_vm2.0_gap0.000_norsi,long,T_R_TARGET_3.0R,5,15.74,16.2571,8.5,3.0,27.6,0.010094,0.010678,80.0,1.2885,-0.1072,12.02,1.5864,0.2897,0.6363,0.75624,1.0094
BHARTIARTL,15min,l_vm2.0_gap0.003_norsi,long,T_R_TARGET_3.0R,5,15.74,16.2571,8.5,3.0,27.6,0.010094,0.010678,80.0,1.2885,-0.1072,12.02,1.5864,0.2897,0.6363,0.75624,1.0094
BHARTIARTL,15min,l_vm2.0_gap0.005_norsi,long,T_R_TARGET_3.0R,5,15.74,16.2571,8.5,3.0,27.6,0.010094,0.010678,80.0,1.2885,-0.1072,12.02,1.5864,0.2897,0.6363,0.75624,1.0094
BHARTIARTL,15min,l_vm2.0_gap0.000_norsi,long,T_NO,5,15.8,16.352,8.5,3.0,27.6,0.01013,0.010728,80.0,1.293,-0.1072,12.062,1.6834,0.2897,0.6018,0.75538,1.013
BHARTIARTL,15min,l_vm2.0_gap0.000_norsi,long,T_HARD_SL,5,15.8,16.352,8.5,3.0,27.6,0.01013,0.010728,80.0,1.293,-0.1072,12.062,1.6834,0.2897,0.6018,0.75538,1.013
BHARTIARTL,15min,l_vm2.0_gap0.000_norsi,long,T_ATR_SL_0.3,5,15.8,16.352,8.5,3.0,27.6,0.01013,0.010728,80.0,1.293,-0.1072,12.062,1.6834,0.2897,0.6018,0.75538,1.013
BHARTIARTL,15min,l_vm2.0_gap0.000_norsi,long,T_ATR_SL_0.5,5,15.8,16.352,8.5,3.0,27.6,0.01013,0.010728,80.0,1.293,-0.1072,12.062,1.6834,0.2897,0.6018,0.75538,1.013
BHARTIARTL,15min,l_vm2.0_gap0.000_norsi,long,T_ATR_SL_1.0,5,15.8,16.352,8.5,3.0,27.6,0.01013,0.010728,80.0,1.293,-0.1072,12.062,1.6834,0.2897,0.6018,0.75538,1.013
BHARTIARTL,15min,l_vm2.0_gap0.000_norsi,long,T_CHANDELIER_1.5,5,15.8,16.352,8.5,3.0,27.6,0.01013,0.010728,80.0,1.293,-0.1072,12.062,1.6834,0.2897,0.6018,0.75538,1.013
BHARTIARTL,15min,l_vm2.0_gap0.000_norsi,long,T_CHANDELIER_2.0,5,15.8,16.352,8.5,3.0,27.6,0.01013,0.010728,80.0,1.293,-0.1072,12.062,1.6834,0.2897,0.6018,0.75538,1.013
BHARTIARTL,15min,l_vm2.0_gap0.003_norsi,long,T_NO,5,15.8,16.352,8.5,3.0,27.6,0.01013,0.010728,80.0,1.293,-0.1072,12.062,1.6834,0.2897,0.6018,0.75538,1.013
BHARTIARTL,15min,l_vm2.0_gap0.003_norsi,long,T_HARD_SL,5,15.8,16.352,8.5,3.0,27.6,0.01013,0.010728,80.0,1.293,-0.1072,12.062,1.6834,0.2897,0.6018,0.75538,1.013
BHARTIARTL,15min,l_vm2.0_gap0.003_norsi,long,T_ATR_SL_0.3,5,15.8,16.352,8.5,3.0,27.6,0.01013,0.010728,80.0,1.293,-0.1072,12.062,1.6834,0.2897,0.6018,0.75538,1.013
BHARTIARTL,15min,l_vm2.0_gap0.003_norsi,long,T_ATR_SL_0.5,5,15.8,16.352,8.5,3.0,27.6,0.01013,0.010728,80.0,1.293,-0.1072,12.062,1.6834,0.2897,0.6018,0.75538,1.013
BHARTIARTL,15min,l_vm2.0_gap0.003_norsi,long,T_ATR_SL_1.0,5,15.8,16.352,8.5,3.0,27.6,0.01013,0.010728,80.0,1.293,-0.1072,12.062,1.6834,0.2897,0.6018,0.75538,1.013
BHARTIARTL,15min,l_vm2.0_gap0.003_norsi,long,T_CHANDELIER_1.5,5,15.8,16.352,8.5,3.0,27.6,0.01013,0.010728,80.0,1.293,-0.1072,12.062,1.6834,0.2897,0.6018,0.75538,1.013
BHARTIARTL,15min,l_vm2.0_gap0.003_norsi,long,T_CHANDELIER_2.0,5,15.8,16.352,8.5,3.0,27.6,0.01013,0.010728,80.0,1.293,-0.1072,12.062,1.6834,0.2897,0.6018,0.75538,1.013
BHARTIARTL,15min,l_vm2.0_gap0.005_norsi,long,T_NO,5,15.8,16.352,8.5,3.0,27.6,0.01013,0.010728,80.0,1.293,-0.1072,12.062,1.6834,0.2897,0.6018,0.75538,1.013
BHARTIARTL,15min,l_vm2.0_gap0.005_norsi,long,T_HARD_SL,5,15.8,16.352,8.5,3.0,27.6,0.01013,0.010728,80.0,1.293,-0.1072,12.062,1.6834,0.2897,0.6018,0.75538,1.013
BHARTIARTL,15min,l_vm2.0_gap0.005_norsi,long,T_ATR_SL_0.3,5,15.8,16.352,8.5,3.0,27.6,0.01013,0.010728,80.0,1.293,-0.1072,12.062,1.6834,0.2897,0.6018,0.75538,1.013
BHARTIARTL,15min,l_vm2.0_gap0.005_norsi,long,T_ATR_SL_0.5,5,15.8,16.352,8.5,3.0,27.6,0.01013,0.010728,80.0,1.293,-0.1072,12.062,1.6834,0.2897,0.6018,0.75538,1.013
BHARTIARTL,15min,l_vm2.0_gap0.005_norsi,long,T_ATR_SL_1.0,5,15.8,16.352,8.5,3.0,27.6,0.01013,0.010728,80.0,1.293,-0.1072,12.062,1.6834,0.2897,0.6018,0.75538,1.013
BHARTIARTL,15min,l_vm2.0_gap0.005_norsi,long,T_CHANDELIER_1.5,5,15.8,16.352,8.5,3.0,27.6,0.01013,0.010728,80.0,1.293,-0.1072,12.062,1.6834,0.2897,0.6018,0.75538,1.013
BHARTIARTL,15min,l_vm2.0_gap0.005_norsi,long,T_CHANDELIER_2.0,5,15.8,16.352,8.5,3.0,27.6,0.01013,0.010728,80.0,1.293,-0.1072,12.062,1.6834,0.2897,0.6018,0.75538,1.013
