label,mode,offset,tax,rt,cash_y,w0_cagr,w0_dd,w0_sharpe,w0_calmar,wa_cagr,wa_dd,wa_sharpe,wa_calmar,w1_cagr,w1_dd,w1_sharpe,w1_calmar,w2_cagr,w2_dd,w2_sharpe,w2_calmar,fills,donch_exits,gate_events,avg_inv,secs
U_top200_rt50_tax0,top200,0,0,0.005,0.065,22.21,-21.37,1.28,1.04,23.98,-19.01,1.39,1.26,17.8,-18.22,1.13,0.98,31.59,-17.13,1.6,1.84,159,723,42,0.43,0.0
U_top200_rt50_tax1,top200,0,1,0.005,0.065,18.29,-25.48,1.07,0.72,19.62,-25.48,1.16,0.77,13.85,-24.76,0.88,0.56,26.03,-19.04,1.35,1.37,159,723,42,0.43,0.1
U_top200_rt75_tax0,top200,0,0,0.0075,0.065,20.73,-21.99,1.21,0.94,22.4,-21.45,1.31,1.04,16.02,-20.46,1.03,0.78,30.01,-17.95,1.53,1.67,159,723,42,0.43,0.0
U_top200_rt75_tax1,top200,0,1,0.0075,0.065,16.81,-27.79,1.0,0.6,18.05,-27.79,1.07,0.65,12.08,-26.88,0.78,0.45,24.46,-19.86,1.28,1.23,159,723,42,0.43,0.1
U_top200_cash5_tax1,top200,0,1,0.003,0.05,18.51,-24.95,1.09,0.74,19.95,-24.95,1.17,0.8,14.47,-24.27,0.92,0.6,26.29,-19.14,1.36,1.37,159,723,42,0.43,0.1
U_top500_off0_tax0,top500,0,0,0.003,0.065,33.17,-23.4,1.78,1.42,32.71,-22.76,1.75,1.44,24.69,-22.76,1.29,1.08,33.9,-19.63,1.78,1.73,159,718,42,0.43,3.7
U_top500_off0_tax1,top500,0,1,0.003,0.065,27.63,-28.8,1.47,0.96,26.94,-28.8,1.44,0.94,19.85,-28.8,1.05,0.69,28.02,-22.39,1.48,1.25,159,718,42,0.43,0.1
U_top500_off1_tax0,top500,1,0,0.003,0.065,35.64,-24.01,1.84,1.48,34.08,-24.01,1.8,1.42,26.26,-23.8,1.35,1.1,36.21,-24.01,1.88,1.51,158,715,42,0.43,3.5
U_top500_off1_tax1,top500,1,1,0.003,0.065,29.71,-30.61,1.53,0.97,28.04,-30.61,1.48,0.92,21.25,-30.61,1.1,0.69,29.87,-25.12,1.57,1.19,158,715,42,0.43,0.1
U_top500_off2_tax0,top500,2,0,0.003,0.065,32.05,-25.33,1.71,1.27,30.29,-19.6,1.66,1.55,21.7,-18.67,1.13,1.16,30.84,-19.6,1.7,1.57,156,713,42,0.42,3.6
U_top500_off2_tax1,top500,2,1,0.003,0.065,26.84,-26.98,1.42,0.99,25.19,-25.83,1.38,0.98,17.31,-25.83,0.92,0.67,25.75,-22.87,1.42,1.13,156,713,42,0.42,0.1
U_top500_off3_tax0,top500,3,0,0.003,0.065,33.22,-26.77,1.78,1.24,30.7,-26.77,1.69,1.15,16.88,-26.77,0.97,0.63,36.13,-18.73,1.87,1.93,161,728,42,0.42,3.5
U_top500_off3_tax1,top500,3,1,0.003,0.065,27.81,-32.29,1.48,0.86,25.62,-32.29,1.4,0.79,13.05,-32.29,0.77,0.4,30.35,-18.73,1.56,1.62,161,728,42,0.42,0.1
U_top500_off4_tax0,top500,4,0,0.003,0.065,33.99,-28.63,1.76,1.19,29.18,-28.63,1.58,1.02,21.73,-28.63,1.14,0.76,36.57,-24.62,1.86,1.49,164,734,42,0.43,3.4
U_top500_off4_tax1,top500,4,1,0.003,0.065,28.24,-35.22,1.45,0.8,24.16,-35.22,1.3,0.69,17.17,-35.22,0.91,0.49,30.49,-26.41,1.55,1.15,164,734,42,0.43,0.1
U_top500_off5_tax0,top500,5,0,0.003,0.065,27.38,-29.04,1.5,0.94,24.3,-29.04,1.37,0.84,19.24,-29.04,1.04,0.66,30.25,-18.43,1.61,1.64,163,751,42,0.41,3.5
U_top500_off5_tax1,top500,5,1,0.003,0.065,22.7,-34.65,1.24,0.66,20.23,-34.65,1.14,0.58,15.39,-34.65,0.85,0.44,25.11,-20.01,1.34,1.26,163,751,42,0.41,0.1
U_top500_off6_tax0,top500,6,0,0.003,0.065,26.02,-22.18,1.44,1.17,22.11,-22.18,1.26,1.0,21.26,-22.18,1.17,0.96,22.37,-18.3,1.24,1.22,163,752,43,0.41,3.8
U_top500_off6_tax1,top500,6,1,0.003,0.065,21.54,-28.54,1.19,0.75,18.34,-28.54,1.05,0.64,17.57,-28.54,0.97,0.62,18.24,-23.24,1.03,0.79,163,752,43,0.41,0.1
U_top500_off7_tax0,top500,7,0,0.003,0.065,22.81,-35.77,1.31,0.64,17.52,-35.77,1.04,0.49,12.54,-35.77,0.74,0.35,25.36,-16.65,1.37,1.52,163,766,44,0.41,3.6
U_top500_off7_tax1,top500,7,1,0.003,0.065,19.03,-39.68,1.1,0.48,14.64,-39.68,0.88,0.37,9.81,-39.68,0.6,0.25,21.2,-17.83,1.15,1.19,163,766,44,0.41,0.1
U_top500_off8_tax0,top500,8,0,0.003,0.065,21.61,-34.79,1.23,0.62,16.26,-34.79,0.97,0.47,12.72,-34.79,0.75,0.37,17.47,-22.3,1.0,0.78,165,754,44,0.41,3.7
U_top500_off8_tax1,top500,8,1,0.003,0.065,17.74,-39.05,1.02,0.45,13.22,-39.05,0.8,0.34,9.76,-39.05,0.6,0.25,14.19,-25.54,0.83,0.56,165,754,44,0.41,0.1
U_top500_off9_tax0,top500,9,0,0.003,0.065,21.37,-37.63,1.21,0.57,16.19,-37.63,0.96,0.43,12.08,-37.63,0.71,0.32,18.05,-27.22,1.03,0.66,168,769,44,0.42,4.0
U_top500_off9_tax1,top500,9,1,0.003,0.065,17.55,-41.85,1.0,0.42,13.21,-41.85,0.8,0.32,9.08,-41.85,0.56,0.22,14.95,-27.22,0.86,0.55,168,769,44,0.42,0.1
U_top500_off10_tax0,top500,10,0,0.003,0.065,22.28,-40.57,1.25,0.55,16.84,-40.57,1.0,0.42,8.52,-40.57,0.54,0.21,17.58,-22.42,1.01,0.78,166,778,42,0.42,4.0
U_top500_off10_tax1,top500,10,1,0.003,0.065,18.37,-43.65,1.04,0.42,13.79,-43.65,0.83,0.32,6.09,-43.65,0.41,0.14,14.71,-22.42,0.86,0.66,166,778,42,0.43,0.1
U_top500_off11_tax0,top500,11,0,0.003,0.065,21.23,-33.48,1.2,0.63,16.25,-33.48,0.96,0.49,13.94,-33.48,0.8,0.42,16.19,-20.56,0.93,0.79,168,766,43,0.43,4.1
U_top500_off11_tax1,top500,11,1,0.003,0.065,17.44,-38.24,1.0,0.46,13.26,-38.24,0.8,0.35,10.95,-38.24,0.65,0.29,13.44,-23.37,0.78,0.58,168,766,43,0.43,0.1
U_top500_rt50_tax0,top500,0,0,0.005,0.065,31.87,-24.48,1.71,1.3,31.35,-24.48,1.69,1.28,23.18,-24.48,1.22,0.95,32.58,-20.26,1.72,1.61,159,718,42,0.43,0.0
U_top500_rt50_tax1,top500,0,1,0.005,0.065,26.34,-30.43,1.41,0.87,25.59,-30.43,1.38,0.84,18.36,-30.43,0.98,0.6,26.71,-23.56,1.42,1.13,159,718,42,0.43,0.1
U_top500_rt75_tax0,top500,0,0,0.0075,0.065,30.27,-26.58,1.64,1.14,29.67,-26.58,1.61,1.12,21.33,-26.58,1.14,0.8,30.95,-21.05,1.64,1.47,159,718,42,0.43,0.0
U_top500_rt75_tax1,top500,0,1,0.0075,0.065,24.75,-32.43,1.34,0.76,23.92,-32.43,1.3,0.74,16.53,-32.43,0.9,0.51,25.09,-25.0,1.35,1.0,159,718,42,0.43,0.1
U_top500_cash5_tax1,top500,0,1,0.003,0.05,26.6,-29.97,1.43,0.89,25.95,-29.97,1.4,0.87,18.99,-29.97,1.01,0.63,27.0,-23.31,1.44,1.16,159,718,42,0.43,0.1
U_tvfloor_off0_tax0,tvfloor,0,0,0.003,0.065,30.22,-25.72,1.59,1.18,33.06,-25.14,1.75,1.32,20.4,-25.14,1.1,0.81,47.05,-18.34,2.26,2.57,159,713,42,0.44,1.2
U_tvfloor_off0_tax1,tvfloor,0,1,0.003,0.065,25.26,-31.83,1.33,0.79,27.52,-31.83,1.45,0.86,16.94,-31.83,0.92,0.53,39.31,-21.79,1.88,1.8,159,713,42,0.44,0.1
U_tvfloor_off1_tax0,tvfloor,1,0,0.003,0.065,31.31,-22.78,1.64,1.37,34.2,-21.53,1.81,1.59,19.38,-21.53,1.04,0.9,50.05,-15.6,2.44,3.21,158,726,42,0.44,1.1
U_tvfloor_off1_tax1,tvfloor,1,1,0.003,0.065,26.21,-28.63,1.37,0.92,28.53,-28.63,1.5,1.0,16.1,-28.63,0.87,0.56,41.82,-18.22,2.0,2.3,158,726,42,0.44,0.1
U_tvfloor_off2_tax0,tvfloor,2,0,0.003,0.065,30.82,-26.5,1.63,1.16,32.75,-25.66,1.75,1.28,14.69,-25.66,0.82,0.57,50.07,-15.37,2.47,3.26,156,730,42,0.42,1.1
U_tvfloor_off2_tax1,tvfloor,2,1,0.003,0.065,25.82,-31.68,1.36,0.82,27.36,-31.68,1.44,0.86,11.51,-31.68,0.65,0.36,41.89,-16.84,2.01,2.49,156,730,42,0.42,0.1
U_tvfloor_off3_tax0,tvfloor,3,0,0.003,0.065,28.16,-25.42,1.53,1.11,32.66,-25.42,1.77,1.28,10.56,-25.42,0.64,0.42,52.24,-17.43,2.54,3.0,161,749,42,0.42,1.2
U_tvfloor_off3_tax1,tvfloor,3,1,0.003,0.065,23.64,-31.46,1.28,0.75,27.46,-31.46,1.46,0.87,7.98,-31.46,0.5,0.25,43.82,-19.25,2.07,2.28,161,749,42,0.42,0.1
U_tvfloor_off4_tax0,tvfloor,4,0,0.003,0.065,27.42,-31.55,1.49,0.87,30.05,-31.55,1.65,0.95,10.93,-31.55,0.65,0.35,52.05,-25.92,2.51,2.01,164,761,42,0.43,1.2
U_tvfloor_off4_tax1,tvfloor,4,1,0.003,0.065,22.91,-37.47,1.23,0.61,25.17,-37.47,1.36,0.67,8.17,-37.47,0.5,0.22,43.39,-28.58,2.03,1.52,164,761,42,0.43,0.1
U_tvfloor_off5_tax0,tvfloor,5,0,0.003,0.065,25.93,-28.28,1.42,0.92,28.72,-28.28,1.58,1.02,11.23,-28.28,0.67,0.4,47.13,-24.72,2.29,1.91,163,748,42,0.42,1.1
U_tvfloor_off5_tax1,tvfloor,5,1,0.003,0.065,21.62,-33.76,1.18,0.64,24.03,-33.76,1.31,0.71,8.95,-33.41,0.55,0.27,39.2,-26.93,1.86,1.46,163,748,42,0.42,0.1
U_tvfloor_off6_tax0,tvfloor,6,0,0.003,0.065,24.81,-28.37,1.34,0.87,26.24,-28.37,1.42,0.92,7.98,-28.11,0.51,0.28,45.21,-28.37,2.14,1.59,163,760,43,0.42,1.2
U_tvfloor_off6_tax1,tvfloor,6,1,0.003,0.065,20.52,-33.22,1.11,0.62,21.73,-33.22,1.17,0.65,5.78,-33.22,0.39,0.17,37.47,-31.43,1.74,1.19,163,760,43,0.42,0.1
U_tvfloor_off7_tax0,tvfloor,7,0,0.003,0.065,20.8,-37.69,1.18,0.55,23.52,-37.69,1.31,0.62,3.65,-37.69,0.29,0.1,43.37,-26.75,2.08,1.62,163,778,44,0.42,1.2
U_tvfloor_off7_tax1,tvfloor,7,1,0.003,0.065,17.28,-41.45,0.98,0.42,19.55,-41.45,1.09,0.47,1.86,-41.45,0.19,0.04,36.15,-29.66,1.7,1.22,163,778,44,0.42,0.1
U_tvfloor_off8_tax0,tvfloor,8,0,0.003,0.065,17.19,-34.13,1.01,0.5,18.64,-34.13,1.09,0.55,6.17,-34.13,0.43,0.18,30.73,-29.57,1.61,1.04,165,770,44,0.42,1.2
U_tvfloor_off8_tax1,tvfloor,8,1,0.003,0.065,13.95,-38.38,0.83,0.36,15.09,-38.38,0.89,0.39,4.21,-38.38,0.32,0.11,25.15,-33.57,1.31,0.75,165,770,44,0.42,0.1
U_tvfloor_off9_tax0,tvfloor,9,0,0.003,0.065,17.17,-35.13,1.0,0.49,19.16,-35.13,1.1,0.55,9.33,-35.13,0.58,0.27,30.28,-24.58,1.56,1.23,168,797,44,0.42,1.1
U_tvfloor_off9_tax1,tvfloor,9,1,0.003,0.065,13.98,-39.34,0.82,0.36,15.53,-39.34,0.9,0.39,7.31,-39.34,0.48,0.19,24.77,-29.26,1.27,0.85,168,797,44,0.42,0.1
U_tvfloor_off10_tax0,tvfloor,10,0,0.003,0.065,15.78,-37.96,0.92,0.42,16.2,-37.96,0.97,0.43,8.01,-37.96,0.51,0.21,22.77,-25.83,1.28,0.88,166,788,42,0.43,1.1
U_tvfloor_off10_tax1,tvfloor,10,1,0.003,0.065,12.59,-41.71,0.75,0.3,12.81,-41.71,0.77,0.31,6.14,-41.71,0.42,0.15,18.18,-33.28,1.02,0.55,166,788,42,0.43,0.1
U_tvfloor_off11_tax0,tvfloor,11,0,0.003,0.065,18.27,-33.87,1.03,0.54,17.38,-33.87,1.01,0.51,10.1,-33.87,0.62,0.3,26.58,-23.77,1.42,1.12,168,777,43,0.43,1.2
U_tvfloor_off11_tax1,tvfloor,11,1,0.003,0.065,14.83,-38.77,0.84,0.38,13.93,-38.77,0.82,0.36,7.76,-38.77,0.49,0.2,21.86,-29.48,1.16,0.74,168,777,43,0.43,0.1
U_tvfloor_rt50_tax0,tvfloor,0,0,0.005,0.065,28.94,-26.74,1.53,1.08,31.65,-26.74,1.69,1.18,18.93,-26.74,1.03,0.71,45.55,-19.08,2.2,2.39,159,713,42,0.44,0.0
U_tvfloor_rt50_tax1,tvfloor,0,1,0.005,0.065,23.99,-33.35,1.27,0.72,26.13,-33.35,1.38,0.78,15.48,-33.35,0.85,0.46,37.84,-22.66,1.81,1.67,159,713,42,0.44,0.1
U_tvfloor_rt75_tax0,tvfloor,0,0,0.0075,0.065,27.35,-28.7,1.46,0.95,29.92,-28.7,1.6,1.04,17.11,-28.7,0.94,0.6,43.69,-19.99,2.12,2.19,159,713,42,0.44,0.0
U_tvfloor_rt75_tax1,tvfloor,0,1,0.0075,0.065,22.42,-35.2,1.2,0.64,24.41,-35.2,1.3,0.69,13.68,-35.2,0.77,0.39,36.02,-24.74,1.74,1.46,159,713,42,0.44,0.1
U_tvfloor_cash5_tax1,tvfloor,0,1,0.003,0.05,24.26,-32.93,1.28,0.74,26.53,-32.93,1.4,0.81,16.11,-32.93,0.88,0.49,38.22,-22.16,1.83,1.72,159,713,42,0.44,0.1
