symbol,entry_date,exit_date,entry_px,exit_px,qty,reason,held_days,ret_net_pct
ASTEC,2020-08-04,2020-09-02,1002.35,1080.7,691,rebalance_out,29,7.28
APLLTD,2020-08-04,2020-09-02,982.5,915.0,698,rebalance_out,29,-7.33
DEEPAKNTR,2020-08-04,2020-11-03,651.55,725.0,1064,rebalance_out,91,10.72
ESCORTS,2020-08-04,2021-01-04,1106.0,1304.85,624,rebalance_out,153,17.39
GUJENERGY,2020-08-04,2021-01-04,307.9,381.0,346,rebalance_out,153,23.12
PRIVISCL,2020-09-02,2020-10-05,546.22,559.06,1388,rebalance_out,33,1.84
ATUL,2020-09-02,2020-10-05,5970.0,6121.0,127,rebalance_out,33,2.02
FINEORG,2020-09-02,2020-10-05,2540.0,2664.0,300,rebalance_out,33,4.36
JUBLFOOD,2020-09-02,2020-11-03,427.0,435.15,1758,rebalance_out,62,1.4
COFORGE,2020-09-02,2020-11-03,379.0,427.0,1191,rebalance_out,62,12.1
ASTRAZEN,2020-09-02,2021-01-04,3610.05,4840.0,210,rebalance_out,124,33.4
APLAPOLLO,2020-09-02,2021-10-04,242.0,859.0,3149,rebalance_out,397,253.19
AARTIDRUGS,2020-10-05,2020-11-03,821.0,661.45,1025,rebalance_out,29,-19.84
THYROCARE,2020-10-05,2020-12-02,253.8,359.4,3288,rebalance_out,58,40.9
MPHASIS,2020-10-05,2021-02-02,1270.1,1455.7,650,rebalance_out,120,14.04
LALPATHLAB,2020-10-05,2021-02-02,932.5,1169.1,891,rebalance_out,120,24.75
VAIBHAVGBL,2020-10-05,2021-04-05,381.85,818.2,2176,rebalance_out,182,113.2
MUTHOOTFIN,2020-11-03,2020-12-02,1249.7,1130.0,677,rebalance_out,29,-10.03
BERGEPAINT,2020-11-03,2020-12-02,523.65,548.35,1324,rebalance_out,29,4.19
HAVELLS,2020-11-03,2021-02-02,781.6,1073.0,1072,rebalance_out,91,36.6
ASIANPAINT,2020-11-03,2021-02-02,2193.9,2460.0,385,rebalance_out,91,11.57
DIXON,2020-11-03,2021-04-05,1909.6,3599.95,440,rebalance_out,153,87.58
TATAELXSI,2020-12-02,2021-03-02,1628.0,2645.75,543,rebalance_out,90,61.7
ALKYLAMINE,2020-12-02,2021-10-04,1597.95,3805.0,557,rebalance_out,306,136.93
DEEPAKNTR,2020-12-02,2021-11-02,866.9,2317.0,1021,rebalance_out,335,165.94
ASTEC,2021-01-04,2021-02-02,1289.95,1052.45,751,rebalance_out,29,-18.82
ADFFOODS,2021-01-04,2021-07-02,123.97,173.42,7935,rebalance_out,179,39.19
CHOLAFIN,2021-01-04,2021-07-02,415.0,509.9,1,rebalance_out,179,22.25
BAJFINANCE,2021-02-02,2021-03-02,510.0,530.0,2057,rebalance_out,28,3.4
PGHL,2021-02-02,2021-03-02,6981.5,6445.5,150,rebalance_out,28,-8.14
HONAUT,2021-02-02,2021-03-02,41350.0,46599.0,12,rebalance_out,28,12.13
ASTRAL,2021-02-02,2021-04-05,989.3,1255.65,1068,rebalance_out,62,26.29
KNRCON,2021-02-02,2021-05-04,206.95,198.0,5143,rebalance_out,91,-4.8
LTTS,2021-02-02,2021-07-02,2550.0,2913.0,420,rebalance_out,150,13.67
SBICARD,2021-03-02,2021-04-05,1127.0,979.0,1087,rebalance_out,34,-13.57
PNCINFRA,2021-03-02,2021-05-04,269.6,228.5,4458,rebalance_out,63,-15.67
FILATEX,2021-03-02,2021-06-02,33.75,46.19,35842,rebalance_out,92,36.18
GUJENERGY,2021-03-02,2021-10-04,566.7,618.0,747,rebalance_out,216,8.51
SONATSOFTW,2021-04-05,2021-08-03,196.3,298.3,6216,rebalance_out,120,51.2
PRIVISCL,2021-04-05,2021-08-03,844.97,1794.91,1460,rebalance_out,120,111.36
MPHASIS,2021-04-05,2021-08-03,1661.8,2530.9,738,rebalance_out,120,51.54
TATAELXSI,2021-04-05,2021-12-02,2780.0,5913.0,442,rebalance_out,241,111.64
VAIBHAVGBL,2021-05-04,2021-06-02,870.0,834.9,1117,rebalance_out,29,-4.51
DIXON,2021-05-04,2021-08-03,4281.25,4369.85,321,rebalance_out,91,1.56
HESTERBIO,2021-06-02,2021-07-02,2730.55,2538.27,513,rebalance_out,30,-7.51
NEWGEN,2021-06-02,2021-08-03,196.13,295.73,7127,rebalance_out,62,50.03
ASTRAL,2021-06-02,2022-02-02,1400.0,1654.6,994,rebalance_out,245,17.6
POLYCAB,2021-07-02,2021-08-03,2025.0,1872.0,776,rebalance_out,32,-8.02
GUFICBIO,2021-07-02,2021-08-03,184.7,194.0,8538,rebalance_out,32,4.51
COFORGE,2021-07-02,2021-11-02,839.0,1024.0,1358,rebalance_out,123,21.44
HGINFRA,2021-07-02,2021-12-02,401.45,609.85,1,rebalance_out,153,51.15
RAJRATAN,2021-08-03,2021-09-02,517.84,396.79,3473,rebalance_out,30,-23.76
GPIL,2021-08-03,2021-09-02,83.65,56.4,20751,rebalance_out,30,-32.91
PRINCEPIPE,2021-08-03,2021-09-02,687.96,648.56,2512,rebalance_out,30,-6.2
CDSL,2021-08-03,2021-09-02,714.4,597.5,2450,rebalance_out,30,-16.78
LUXIND,2021-08-03,2021-10-04,4241.35,3671.25,407,rebalance_out,62,-13.87
BALAMINES,2021-08-03,2021-11-02,3500.0,3344.0,516,rebalance_out,91,-4.93
MASTEK,2021-08-03,2021-11-02,2644.2,2805.0,647,rebalance_out,91,5.55
PUNJABCHEM,2021-09-02,2021-10-04,1874.0,1600.0,897,rebalance_out,32,-15.05
KNRCON,2021-09-02,2021-10-04,330.0,291.9,4974,rebalance_out,32,-11.99
LAURUSLABS,2021-09-02,2021-10-04,659.8,622.05,1929,rebalance_out,32,-6.19
PERSISTENT,2021-09-02,2022-03-03,1675.5,1983.5,992,rebalance_out,182,17.79
MANALIPETC,2021-10-04,2021-11-02,130.0,123.0,13255,rebalance_out,29,-5.86
FILATEX,2021-10-04,2021-11-02,52.77,50.0,32329,rebalance_out,29,-5.72
SRF,2021-10-04,2021-11-02,2226.75,2140.5,751,rebalance_out,29,-4.35
POLYPLEX,2021-10-04,2021-11-02,1770.0,1682.0,943,rebalance_out,29,-5.45
SHAREINDIA,2021-10-04,2021-12-02,141.0,165.8,11970,rebalance_out,59,17.0
MPHASIS,2021-10-04,2021-12-02,2944.7,2899.1,225,rebalance_out,59,-2.04
TRIVENI,2021-10-04,2022-03-03,195.0,259.5,8676,rebalance_out,150,32.41
PRINCEPIPE,2021-11-02,2021-12-02,734.7,745.11,2213,rebalance_out,30,0.91
DIXON,2021-11-02,2021-12-02,5300.0,5083.0,303,rebalance_out,30,-4.57
AMRUTANJAN,2021-11-02,2021-12-02,924.4,891.9,1750,rebalance_out,30,-4.0
BAJFINANCE,2021-11-02,2021-12-02,747.0,709.0,2174,rebalance_out,30,-5.56
CHOLAFIN,2021-11-02,2021-12-02,588.0,560.05,2739,rebalance_out,30,-5.23
NEOGEN,2021-11-02,2022-02-02,1233.26,1670.87,1312,rebalance_out,92,34.81
CDSL,2021-11-02,2022-03-03,700.0,712.5,2323,rebalance_out,121,1.28
BEL,2021-11-02,2022-08-02,67.35,95.3,24120,rebalance_out,273,40.79
APLAPOLLO,2021-12-02,2022-01-04,927.8,950.0,1760,rebalance_out,33,1.88
POLYMED,2021-12-02,2022-01-04,1058.0,960.95,605,rebalance_out,33,-9.63
RSYSTEMS,2021-12-02,2022-02-02,313.95,306.0,5195,rebalance_out,62,-3.02
MOLDTKPAC,2021-12-02,2022-02-02,665.47,744.39,2456,rebalance_out,62,11.3
KOPRAN,2021-12-02,2022-02-02,274.0,302.0,6163,rebalance_out,62,9.67
COFORGE,2021-12-02,2022-02-02,1084.0,962.0,1509,rebalance_out,62,-11.7
CHAMBLFERT,2021-12-02,2022-02-02,396.95,423.0,4084,rebalance_out,62,6.03
POLYPLEX,2021-12-02,2022-03-03,1853.0,1835.25,876,rebalance_out,91,-1.45
ESCORTS,2021-12-02,2022-04-04,1848.0,1699.9,878,rebalance_out,123,-8.47
GUFICBIO,2022-01-04,2022-02-02,246.8,233.4,1887,rebalance_out,29,-5.9
SHAREINDIA,2022-01-04,2022-03-03,215.0,219.0,8267,rebalance_out,58,1.35
TIPSMUSIC,2022-02-02,2022-03-03,231.0,196.8,7521,rebalance_out,29,-15.23
TATAELXSI,2022-02-02,2022-03-03,7580.0,6744.4,230,rebalance_out,29,-11.47
SRF,2022-02-02,2022-03-03,2460.6,2380.0,704,rebalance_out,29,-3.76
UNIDT,2022-02-02,2022-03-03,530.88,444.19,3253,rebalance_out,29,-16.75
ASTEC,2022-02-02,2022-03-03,1646.1,1538.6,1062,rebalance_out,29,-7.0
AUBANK,2022-02-02,2022-03-03,675.0,607.05,811,rebalance_out,29,-10.52
KNRCON,2022-02-02,2022-04-04,314.5,295.6,5544,rebalance_out,61,-6.48
CHOLAFIN,2022-02-02,2022-06-02,642.0,669.0,2636,rebalance_out,120,3.69
PGHH,2022-03-03,2022-04-04,15600.0,14523.25,103,rebalance_out,32,-7.37
BCLIND,2022-04-04,2022-05-04,47.42,44.32,32291,rebalance_out,30,-7.0
TATAELXSI,2022-04-04,2022-05-04,8988.0,7748.0,164,rebalance_out,30,-14.23
TRIVENI,2022-04-04,2022-05-04,321.0,318.0,4598,rebalance_out,30,-1.43
NEOGEN,2022-04-04,2022-05-04,1730.59,1581.5,848,rebalance_out,30,-9.07
MASTEK,2022-04-04,2022-05-04,3375.0,2861.75,442,rebalance_out,30,-15.63
PERSISTENT,2022-04-04,2022-05-04,2367.5,2075.0,620,rebalance_out,30,-12.79
CARYSIL,2022-04-04,2022-05-04,886.34,740.76,1704,rebalance_out,30,-16.84
FILATEX,2022-04-04,2022-05-04,63.6,57.56,8702,rebalance_out,30,-9.95
SHAREINDIA,2022-04-04,2022-06-02,258.2,237.0,5749,rebalance_out,59,-8.67
ANGELONE,2022-04-04,2022-06-02,156.7,149.4,9503,rebalance_out,59,-5.13
SRF,2022-04-04,2022-06-02,2650.0,2397.0,559,rebalance_out,59,-10.0
GUFICBIO,2022-04-04,2022-06-02,254.1,220.25,5770,rebalance_out,59,-13.75
POLYPLEX,2022-04-04,2022-07-04,2499.0,2248.0,592,rebalance_out,91,-10.49
CHAMBLFERT,2022-05-04,2022-06-02,462.9,356.9,3091,rebalance_out,29,-23.28
MANALIPETC,2022-05-04,2022-06-02,135.75,101.05,10546,rebalance_out,29,-25.93
MOLDTKPAC,2022-05-04,2022-06-02,755.88,734.18,1907,rebalance_out,29,-3.36
APLAPOLLO,2022-05-04,2022-07-04,1029.0,849.0,1386,rebalance_out,61,-17.9
SUMICHEM,2022-05-04,2022-07-04,442.0,425.8,2598,rebalance_out,61,-4.15
ASTEC,2022-05-04,2022-08-02,2083.85,1837.95,736,rebalance_out,90,-12.24
RAJRATAN,2022-05-04,2022-11-02,681.98,906.96,1992,rebalance_out,182,32.33
CAMPUS,2022-06-02,2022-07-04,359.0,336.0,3596,rebalance_out,32,-6.87
TATAELXSI,2022-06-02,2022-09-02,8649.0,9099.0,151,rebalance_out,92,4.68
NAVINFLUOR,2022-08-02,2022-09-02,4349.7,4350.0,304,rebalance_out,31,-0.49
EIDPARRY,2022-08-02,2022-09-02,556.5,542.05,2380,rebalance_out,31,-3.08
HINDUNILVR,2022-08-02,2022-09-02,2600.0,2615.0,510,rebalance_out,31,0.08
APLAPOLLO,2022-08-02,2022-09-02,982.5,1037.85,1344,rebalance_out,31,5.11
PGHH,2022-08-02,2022-09-02,14730.0,14073.75,50,rebalance_out,31,-4.93
ATGL,2022-08-02,2022-10-04,3206.72,3178.75,412,rebalance_out,63,-1.37
KEI,2022-08-02,2022-10-04,1259.7,1429.0,1055,rebalance_out,63,12.87
MOLDTKPAC,2022-08-02,2022-10-04,807.9,870.53,1647,rebalance_out,63,7.21
CHOLAFIN,2022-08-02,2022-10-04,734.95,716.0,1805,rebalance_out,63,-3.06
FINEORG,2022-08-02,2022-11-02,5500.4,5673.65,240,rebalance_out,92,2.64
COROMANDEL,2022-08-02,2022-11-02,1048.0,964.0,1266,rebalance_out,92,-8.47
PSPPROJECT,2022-08-02,2022-11-02,620.32,590.49,2131,rebalance_out,92,-5.28
PAGEIND,2022-08-02,2022-12-02,49216.0,47501.0,26,rebalance_out,122,-3.97
VINYLINDIA,2022-09-02,2022-10-04,578.65,605.0,2631,rebalance_out,32,4.03
SRHHYPOLTD,2022-09-02,2022-10-04,799.25,790.0,1766,rebalance_out,32,-1.65
VISHNU,2022-09-02,2022-10-04,383.04,390.61,3620,rebalance_out,32,1.47
SBCL,2022-09-02,2022-12-02,405.9,405.53,3472,rebalance_out,91,-0.59
RPGLIFE,2022-09-02,2022-12-02,796.0,859.0,314,rebalance_out,91,7.38
TIINDIA,2022-09-02,2023-02-02,2284.0,2602.0,618,rebalance_out,153,13.35
RHIM,2022-10-04,2022-11-02,671.39,631.89,2137,rebalance_out,29,-6.35
SUMICHEM,2022-10-04,2022-12-02,514.0,470.45,2777,rebalance_out,59,-8.93
TITAN,2022-10-04,2022-12-02,2629.0,2648.0,500,rebalance_out,59,0.22
ALLCARGO,2022-10-04,2023-01-03,90.01,89.48,15991,rebalance_out,91,-1.08
EIDPARRY,2022-10-04,2023-01-03,592.0,583.0,2410,rebalance_out,91,-2.01
SOLARINDS,2022-10-04,2023-02-02,4034.95,3931.0,355,rebalance_out,121,-3.06
APLAPOLLO,2022-10-04,2023-04-05,1067.0,1180.0,1329,rebalance_out,183,10.04
ASTEC,2022-11-02,2022-12-02,2112.85,1971.9,642,rebalance_out,30,-7.14
ATGL,2022-11-02,2023-02-02,3676.14,1705.96,369,rebalance_out,92,-53.83
GRAVITA,2022-11-02,2023-03-02,362.7,459.95,3758,rebalance_out,120,26.18
KPITTECH,2022-11-02,2023-04-05,717.9,770.65,1892,rebalance_out,154,6.81
KEI,2022-11-02,2023-08-02,1608.7,2275.05,848,rebalance_out,273,40.72
