label,start,end,entry,cadence,rank,slots,buffer,state,k,tv_floor,mask,mask_missing,exits,weights,index_gate,gate_action,fill,cost_bps,tax,cash_yield,max_position_pct,n_paths,path_kind,cagr_gross,cagr_net,cagr_net_tax,cagr_net_tax_min,cagr_net_tax_max,cagr_net_tax_worstpath,maxdd,maxdd_worst,calmar,sharpe,trades_per_yr,win_rate,avg_win_pct,avg_loss_pct,expectancy_net_pct,max_losing_streak,turnover_x_nav_yr,avg_pct_invested,capacity_ratio,n_trades,final_x,yearly
A2_profit_g3_N8,2018-08-01,2022-06-30,rebalance,monthly,profit_g3,8,1.5,near,0.9,2.0,research/160_quality_growth_near_ath/results/masks_study/b7_g10_qual_mc.npz,fail,none,equal,none,block_new,next_open,25.0,True,0.05,0.3,12,offset,12.71,12.71,12.71,8.87,18.1,8.87,-38.86,-46.61,0.33,0.42,34.5,42.8,28.0,-10.3,5.48,14,4.25,92.9,0.0046,135,1.6,"{""2018"": [-18.19, -24.63], ""2019"": [23.53, -23.04], ""2020"": [27.13, -38.01], ""2021"": [60.42, -17.79], ""2022"": [-24.87, -37.16]}"
A2_profit_g3_N10,2018-08-01,2022-06-30,rebalance,monthly,profit_g3,10,1.5,near,0.9,2.0,research/160_quality_growth_near_ath/results/masks_study/b7_g10_qual_mc.npz,fail,none,equal,none,block_new,next_open,25.0,True,0.05,0.3,12,offset,14.07,14.07,14.07,8.3,19.2,8.3,-39.09,-42.32,0.37,0.5,41.4,40.3,30.89,-10.42,6.33,16,4.12,90.6,0.0038,162,1.67,"{""2018"": [-17.08, -23.4], ""2019"": [23.81, -20.16], ""2020"": [30.91, -38.09], ""2021"": [68.48, -16.36], ""2022"": [-25.86, -36.57]}"
A2_profit_g3_N15,2018-08-01,2022-06-30,rebalance,monthly,profit_g3,15,1.5,near,0.9,2.0,research/160_quality_growth_near_ath/results/masks_study/b7_g10_qual_mc.npz,fail,none,equal,none,block_new,next_open,25.0,True,0.05,0.3,12,offset,15.57,15.57,15.57,8.07,18.69,8.07,-37.27,-39.7,0.43,0.59,53.3,41.3,31.68,-10.87,7.264,21,3.63,84.8,0.0029,208,1.76,"{""2018"": [-14.45, -20.38], ""2019"": [19.16, -17.89], ""2020"": [28.0, -36.84], ""2021"": [77.94, -11.68], ""2022"": [-24.55, -32.25]}"
A2_opm_slope3_N8,2018-08-01,2022-06-30,rebalance,monthly,opm_slope3,8,1.5,near,0.9,2.0,research/160_quality_growth_near_ath/results/masks_study/b7_g10_qual_mc.npz,fail,none,equal,none,block_new,next_open,25.0,True,0.05,0.3,12,offset,19.99,19.99,19.99,11.6,23.81,11.6,-39.69,-46.97,0.49,0.69,32.1,41.4,30.8,-10.04,7.848,14,4.04,92.9,0.0045,125,2.04,"{""2018"": [-18.32, -24.04], ""2019"": [36.63, -21.26], ""2020"": [45.55, -33.53], ""2021"": [51.98, -20.02], ""2022"": [-25.02, -38.8]}"
A2_opm_slope3_N10,2018-08-01,2022-06-30,rebalance,monthly,opm_slope3,10,1.5,near,0.9,2.0,research/160_quality_growth_near_ath/results/masks_study/b7_g10_qual_mc.npz,fail,none,equal,none,block_new,next_open,25.0,True,0.05,0.3,12,offset,19.8,19.8,19.8,11.62,26.09,11.62,-39.7,-43.73,0.49,0.7,39.6,42.3,33.14,-10.18,8.379,14,4.04,90.5,0.0045,155,2.03,"{""2018"": [-15.8, -22.99], ""2019"": [32.67, -19.58], ""2020"": [46.67, -33.89], ""2021"": [61.05, -19.96], ""2022"": [-26.66, -39.7]}"
A2_opm_slope3_N15,2018-08-01,2022-06-30,rebalance,monthly,opm_slope3,15,1.5,near,0.9,2.0,research/160_quality_growth_near_ath/results/masks_study/b7_g10_qual_mc.npz,fail,none,equal,none,block_new,next_open,25.0,True,0.05,0.3,12,offset,17.49,17.49,17.49,9.9,22.24,9.9,-36.34,-41.1,0.49,0.65,51.2,40.9,32.51,-10.25,7.964,16,3.57,84.7,0.0029,200,1.88,"{""2018"": [-13.43, -19.4], ""2019"": [26.93, -16.14], ""2020"": [36.26, -35.4], ""2021"": [59.14, -17.25], ""2022"": [-24.55, -35.65]}"
A2_z_rs_profit_N8,2018-08-01,2022-06-30,rebalance,monthly,z_rs_profit,8,1.5,near,0.9,2.0,research/160_quality_growth_near_ath/results/masks_study/b7_g10_qual_mc.npz,fail,none,equal,none,block_new,next_open,25.0,True,0.05,0.3,12,offset,15.49,15.49,15.49,10.8,24.07,10.8,-38.99,-44.65,0.4,0.51,33.1,40.6,36.11,-10.83,8.249,12,4.06,92.9,0.0047,129,1.76,"{""2018"": [-17.21, -26.19], ""2019"": [19.84, -22.8], ""2020"": [29.08, -36.74], ""2021"": [78.12, -18.47], ""2022"": [-23.13, -35.55]}"
A2_z_rs_profit_N10,2018-08-01,2022-06-30,rebalance,monthly,z_rs_profit,10,1.5,near,0.9,2.0,research/160_quality_growth_near_ath/results/masks_study/b7_g10_qual_mc.npz,fail,none,equal,none,block_new,next_open,25.0,True,0.05,0.3,12,offset,16.83,16.83,16.83,11.79,24.19,11.79,-37.46,-41.49,0.45,0.59,39.1,40.1,33.64,-10.44,7.844,12,3.82,90.7,0.0041,153,1.84,"{""2018"": [-16.3, -23.7], ""2019"": [20.6, -20.93], ""2020"": [33.87, -36.43], ""2021"": [76.91, -16.21], ""2022"": [-23.1, -34.72]}"
A2_z_rs_profit_N15,2018-08-01,2022-06-30,rebalance,monthly,z_rs_profit,15,1.5,near,0.9,2.0,research/160_quality_growth_near_ath/results/masks_study/b7_g10_qual_mc.npz,fail,none,equal,none,block_new,next_open,25.0,True,0.05,0.3,12,offset,16.92,16.92,16.92,11.35,22.46,11.35,-36.28,-39.96,0.46,0.61,50.4,42.4,33.57,-10.71,8.658,13,3.46,85.0,0.0033,197,1.84,"{""2018"": [-12.34, -19.3], ""2019"": [24.07, -17.16], ""2020"": [32.23, -34.21], ""2021"": [73.38, -14.49], ""2022"": [-26.06, -35.01]}"
A2_z_rs_opm_N8,2018-08-01,2022-06-30,rebalance,monthly,z_rs_opm,8,1.5,near,0.9,2.0,research/160_quality_growth_near_ath/results/masks_study/b7_g10_qual_mc.npz,fail,none,equal,none,block_new,next_open,25.0,True,0.05,0.3,12,offset,21.47,21.47,21.47,13.34,25.02,13.34,-37.33,-43.92,0.58,0.74,32.6,41.6,35.7,-9.87,9.367,12,3.89,93.3,0.005,127,2.14,"{""2018"": [-14.61, -22.87], ""2019"": [23.2, -19.59], ""2020"": [51.7, -34.15], ""2021"": [74.56, -20.7], ""2022"": [-23.51, -37.33]}"
A2_z_rs_opm_N10,2018-08-01,2022-06-30,rebalance,monthly,z_rs_opm,10,1.5,near,0.9,2.0,research/160_quality_growth_near_ath/results/masks_study/b7_g10_qual_mc.npz,fail,none,equal,none,block_new,next_open,25.0,True,0.05,0.3,12,offset,19.03,19.03,19.03,13.46,23.19,13.46,-37.07,-42.25,0.5,0.65,38.3,40.5,34.57,-9.92,8.874,13,3.72,90.7,0.004,150,1.98,"{""2018"": [-12.78, -21.1], ""2019"": [27.12, -17.43], ""2020"": [38.14, -33.94], ""2021"": [75.22, -18.37], ""2022"": [-24.76, -36.66]}"
A2_z_rs_opm_N15,2018-08-01,2022-06-30,rebalance,monthly,z_rs_opm,15,1.5,near,0.9,2.0,research/160_quality_growth_near_ath/results/masks_study/b7_g10_qual_mc.npz,fail,none,equal,none,block_new,next_open,25.0,True,0.05,0.3,12,offset,19.42,19.42,19.42,14.98,25.19,14.98,-34.95,-39.39,0.6,0.74,49.5,43.3,36.71,-10.23,9.723,15,3.4,85.0,0.0033,193,2.0,"{""2018"": [-12.19, -18.24], ""2019"": [25.46, -15.92], ""2020"": [37.56, -33.74], ""2021"": [77.97, -14.7], ""2022"": [-24.71, -33.5]}"
A2_mcap_desc_N8,2018-08-01,2022-06-30,rebalance,monthly,mcap_desc,8,1.5,near,0.9,2.0,research/160_quality_growth_near_ath/results/masks_study/b7_g10_qual_mc.npz,fail,none,equal,none,block_new,next_open,25.0,True,0.05,0.3,12,offset,-0.07,-0.07,-0.07,-3.44,3.29,-3.44,-34.98,-38.73,-0.0,-0.17,28.6,36.9,18.89,-9.61,0.717,12,3.34,92.6,0.0012,112,1.0,"{""2018"": [-14.1, -19.12], ""2019"": [31.1, -17.11], ""2020"": [14.31, -34.98], ""2021"": [0.36, -16.66], ""2022"": [-22.93, -32.98]}"
A2_mcap_desc_N10,2018-08-01,2022-06-30,rebalance,monthly,mcap_desc,10,1.5,near,0.9,2.0,research/160_quality_growth_near_ath/results/masks_study/b7_g10_qual_mc.npz,fail,none,equal,none,block_new,next_open,25.0,True,0.05,0.3,12,offset,2.73,2.73,2.73,-0.3,8.48,-0.3,-34.73,-37.32,0.08,-0.03,35.4,39.3,20.35,-9.8,1.818,12,3.31,90.6,0.0012,138,1.11,"{""2018"": [-12.58, -18.59], ""2019"": [33.03, -15.63], ""2020"": [22.41, -34.67], ""2021"": [5.56, -15.74], ""2022"": [-24.21, -33.91]}"
A2_mcap_desc_N15,2018-08-01,2022-06-30,rebalance,monthly,mcap_desc,15,1.5,near,0.9,2.0,research/160_quality_growth_near_ath/results/masks_study/b7_g10_qual_mc.npz,fail,none,equal,none,block_new,next_open,25.0,True,0.05,0.3,12,offset,7.06,7.06,7.06,4.62,13.83,4.62,-36.41,-38.13,0.2,0.2,46.0,40.0,25.61,-10.27,3.986,17,2.98,84.8,0.001,180,1.31,"{""2018"": [-11.13, -16.45], ""2019"": [26.62, -14.11], ""2020"": [33.35, -36.17], ""2021"": [21.23, -13.28], ""2022"": [-25.96, -32.71]}"
A3_invvol_N15,2018-08-01,2022-06-30,rebalance,monthly,rs,15,1.5,near,0.9,2.0,research/160_quality_growth_near_ath/results/masks_study/b7_g10_qual_mc.npz,fail,none,invvol,none,block_new,next_open,25.0,True,0.05,0.3,12,offset,19.81,19.81,19.81,12.69,24.83,12.69,-33.68,-36.25,0.63,0.77,49.6,42.4,37.54,-10.86,10.353,17,3.26,84.0,0.0033,194,2.03,"{""2018"": [-11.79, -18.16], ""2019"": [24.66, -15.12], ""2020"": [35.88, -32.5], ""2021"": [82.07, -13.25], ""2022"": [-25.14, -32.32]}"
A2b_noexit_N8,2018-08-01,2022-06-30,rebalance,monthly,rs,8,1.5,near,0.9,2.0,research/160_quality_growth_near_ath/results/masks_study/b7_g10_qual_mc.npz,fail,none,equal,none,block_new,next_open,25.0,True,0.05,0.3,12,offset,21.8,21.8,21.8,17.19,29.01,17.19,-36.1,-43.75,0.6,0.72,31.3,44.5,35.85,-10.71,10.241,12,3.73,92.8,0.0056,122,2.16,"{""2018"": [-13.72, -22.79], ""2019"": [21.61, -19.05], ""2020"": [41.45, -33.09], ""2021"": [91.64, -16.41], ""2022"": [-24.59, -35.95]}"
A2b_st20_3_N8,2018-08-01,2022-06-30,rebalance,monthly,rs,8,1.5,near,0.9,2.0,research/160_quality_growth_near_ath/results/masks_study/b7_g10_qual_mc.npz,fail,st_trail:20_3,equal,none,block_new,next_open,25.0,True,0.05,0.3,12,offset,20.76,20.76,20.76,13.73,24.86,13.73,-30.6,-36.25,0.65,0.84,42.3,39.3,26.03,-7.27,6.001,13,5.04,71.5,0.0049,165,2.09,"{""2018"": [-7.08, -12.79], ""2019"": [9.79, -14.36], ""2020"": [51.75, -16.82], ""2021"": [72.06, -12.85], ""2022"": [-24.61, -30.61]}"
A2b_st10_3_N8,2018-08-01,2022-06-30,rebalance,monthly,rs,8,1.5,near,0.9,2.0,research/160_quality_growth_near_ath/results/masks_study/b7_g10_qual_mc.npz,fail,st_trail:10_3,equal,none,block_new,next_open,25.0,True,0.05,0.3,12,offset,20.3,20.3,20.3,13.52,24.89,13.52,-31.19,-36.42,0.65,0.81,41.8,38.8,26.79,-7.47,6.149,12,5.0,72.4,0.0047,163,2.06,"{""2018"": [-7.7, -13.81], ""2019"": [11.19, -15.16], ""2020"": [47.47, -17.41], ""2021"": [72.51, -13.86], ""2022"": [-23.84, -31.19]}"
A2b_noexit_N10,2018-08-01,2022-06-30,rebalance,monthly,rs,10,1.5,near,0.9,2.0,research/160_quality_growth_near_ath/results/masks_study/b7_g10_qual_mc.npz,fail,none,equal,none,block_new,next_open,25.0,True,0.05,0.3,12,offset,21.78,21.78,21.78,17.75,28.84,17.75,-35.16,-41.44,0.68,0.77,37.3,42.6,35.84,-10.38,10.529,12,3.68,91.1,0.0047,146,2.16,"{""2018"": [-12.55, -20.88], ""2019"": [23.19, -18.29], ""2020"": [38.99, -31.26], ""2021"": [94.03, -15.53], ""2022"": [-24.0, -34.7]}"
A2b_st20_3_N10,2018-08-01,2022-06-30,rebalance,monthly,rs,10,1.5,near,0.9,2.0,research/160_quality_growth_near_ath/results/masks_study/b7_g10_qual_mc.npz,fail,st_trail:20_3,equal,none,block_new,next_open,25.0,True,0.05,0.3,12,offset,21.77,21.77,21.77,16.47,27.52,16.47,-29.37,-35.6,0.72,0.93,51.0,38.2,26.85,-7.11,6.072,15,4.98,69.4,0.004,199,2.16,"{""2018"": [-5.98, -11.59], ""2019"": [12.58, -12.96], ""2020"": [44.95, -15.39], ""2021"": [83.02, -11.7], ""2022"": [-23.7, -29.38]}"
