symbol,entry_date,exit_date,entry_px,exit_px,qty,reason,held_days,ret_net_pct
MOLDTKPAC,2022-01-04,2022-03-03,788.23,675.46,3876,rebalance_out,58,-14.73
NEOGEN,2022-01-04,2022-03-03,1668.88,1614.18,649,rebalance_out,58,-3.76
TIPSMUSIC,2022-02-02,2022-03-03,231.0,196.8,7509,rebalance_out,29,-15.23
MPHASIS,2022-03-03,2022-04-04,3053.0,3218.7,821,rebalance_out,32,4.9
ESCORTS,2022-03-03,2022-04-04,1871.9,1699.9,2833,rebalance_out,32,-9.64
BEL,2022-03-03,2022-04-04,72.65,72.5,34598,rebalance_out,32,-0.7
CHOLAFIN,2022-03-03,2022-04-04,695.0,709.95,3017,rebalance_out,32,1.64
KNRCON,2022-03-03,2022-04-04,314.0,295.6,5575,rebalance_out,32,-6.33
SRF,2022-03-03,2022-07-04,2380.0,2136.05,891,rebalance_out,123,-10.7
BCLIND,2022-04-04,2022-05-04,47.42,44.32,48571,rebalance_out,30,-7.0
NEOGEN,2022-04-04,2022-05-04,1730.59,1581.5,1873,rebalance_out,30,-9.07
MASTEK,2022-04-04,2022-05-04,3375.0,2861.75,200,rebalance_out,30,-15.63
PERSISTENT,2022-04-04,2022-05-04,2367.5,2075.0,1,rebalance_out,30,-12.79
SHAREINDIA,2022-04-04,2022-06-02,258.2,237.0,9740,rebalance_out,59,-8.67
ANGELONE,2022-04-04,2022-06-02,156.7,149.4,14702,rebalance_out,59,-5.13
GPIL,2022-05-04,2022-06-02,85.0,59.1,26981,rebalance_out,29,-30.82
CHAMBLFERT,2022-05-04,2022-06-02,462.9,356.9,5481,rebalance_out,29,-23.28
MANALIPETC,2022-05-04,2022-06-02,135.75,101.05,2563,rebalance_out,29,-25.93
ASTEC,2022-05-04,2022-08-02,2083.85,1837.95,1310,rebalance_out,90,-12.24
RAJRATAN,2022-05-04,2022-11-02,681.98,906.96,3703,rebalance_out,182,32.33
APLAPOLLO,2022-06-02,2022-07-04,983.9,849.0,1376,rebalance_out,32,-14.14
BEL,2022-06-02,2022-08-02,82.75,95.3,37736,rebalance_out,61,14.59
SUMICHEM,2022-06-02,2022-08-02,473.0,444.9,6761,rebalance_out,61,-6.41
TATAELXSI,2022-06-02,2022-09-02,8649.0,9099.0,200,rebalance_out,92,4.68
MOLDTKPAC,2022-06-02,2022-10-04,734.18,870.53,3863,rebalance_out,124,17.98
TORNTPHARM,2022-07-04,2022-08-02,1463.45,1525.65,1889,rebalance_out,29,3.73
CAMPUS,2022-07-04,2022-08-02,336.0,434.9,6740,rebalance_out,29,28.79
POLYPLEX,2022-08-02,2022-09-02,2493.6,2150.05,876,rebalance_out,31,-14.21
PAGEIND,2022-08-02,2022-09-02,49216.0,50860.0,63,rebalance_out,31,2.82
ATGL,2022-08-02,2022-10-04,3206.72,3178.75,536,rebalance_out,63,-1.37
KEI,2022-08-02,2022-10-04,1259.7,1429.0,2179,rebalance_out,63,12.87
FINEORG,2022-08-02,2022-11-02,5500.4,5673.65,369,rebalance_out,92,2.64
APCOTEXIND,2022-08-02,2022-11-02,560.0,501.4,3744,rebalance_out,92,-10.91
TIINDIA,2022-08-02,2023-04-05,2023.6,2561.85,1136,rebalance_out,246,25.97
VINYLINDIA,2022-09-02,2022-10-04,578.65,605.0,3579,rebalance_out,32,4.03
SRHHYPOLTD,2022-09-02,2022-11-02,799.25,695.95,2340,rebalance_out,61,-13.36
VISHNU,2022-09-02,2022-11-02,383.04,354.11,7657,rebalance_out,61,-8.01
SBCL,2022-10-04,2022-12-02,495.9,405.53,4126,rebalance_out,59,-18.63
KPITTECH,2022-10-04,2023-01-03,669.7,696.75,1353,rebalance_out,91,3.52
RHIM,2022-10-04,2023-03-02,671.39,638.71,5659,rebalance_out,149,-5.34
SOLARINDS,2022-10-04,2023-04-05,4034.95,3712.25,878,rebalance_out,183,-8.46
GOKULAGRO,2022-11-02,2022-12-02,65.62,58.64,22094,rebalance_out,30,-11.08
KEI,2022-11-02,2023-01-03,1608.7,1488.0,2033,rebalance_out,62,-7.96
ALLCARGO,2022-11-02,2023-01-03,94.18,89.48,26311,rebalance_out,62,-5.46
RPGLIFE,2022-11-02,2023-01-03,842.0,855.7,1870,rebalance_out,62,1.12
ATGL,2022-11-02,2023-02-02,3676.14,1705.96,772,rebalance_out,92,-53.83
RVNL,2022-12-02,2023-03-02,75.15,62.0,22352,rebalance_out,90,-17.91
KIRLFER,2022-12-02,2023-06-02,323.35,441.1,3942,rebalance_out,182,35.74
GOKULAGRO,2023-01-03,2023-02-02,63.88,59.66,21533,rebalance_out,30,-7.07
REDINGTON,2023-01-03,2023-03-02,188.55,169.85,8545,rebalance_out,58,-10.37
GRAVITA,2023-01-03,2023-07-04,450.0,608.0,5669,rebalance_out,182,34.44
JSL,2023-01-03,2023-12-04,253.3,523.95,9258,rebalance_out,335,105.82
BSHSL,2023-02-02,2023-03-02,603.85,282.0,3709,rebalance_out,28,-53.53
DATAPATTNS,2023-02-02,2023-08-02,1343.24,2000.9,259,rebalance_out,181,48.22
SAKSOFT,2023-03-02,2023-05-03,116.15,150.4,18038,rebalance_out,62,28.84
KPITTECH,2023-03-02,2023-07-04,842.95,1078.05,1258,rebalance_out,124,27.25
SONATSOFTW,2023-03-02,2023-08-02,391.0,525.8,6057,rebalance_out,153,33.8
IONEXCHANG,2023-03-02,2023-10-04,337.98,529.91,5732,rebalance_out,216,56.01
RVNL,2023-04-05,2023-06-02,76.65,119.3,24162,rebalance_out,58,54.87
TIIL,2023-04-05,2023-08-02,1358.0,1717.0,1144,rebalance_out,119,25.81
